[00:00.000] 印象里头这是一千几百亿的给我看了一个实验了，刚刚去我就没了，我做了一上午。
[03:36.940] Mp295。
[03:39.300] 这样
[03:40.940] 玻璃谁知。
[03:45.100] 我看一下车外观。
[03:46.740] 外观和公里数。
[03:49.140] 不是您修好。
[03:50.220] 你们把钥匙给他。
[03:51.590] 负责保险的吗？
[03:52.980] 您还得上保险是吧？
[03:54.160] 不是我说。
[03:54.650] 运费他们只负责啥的？
[03:56.460] 是走保险修车，
[03:57.710] 比如你把汤给撞了。
[04:01.090] 那时候用药是不
[04:04.200] 没有要拿到各种东西了是吧？
[04:06.220] 过去好了。
[04:15.270] 量一下。
[05:07.890] 说
[05:09.010] 行。
[06:34.010] 既然这样，
[06:35.330] 你俩这边轮车的。
[06:47.510] 不用
[06:48.370] 用tmd出宝检测坐在成龙，
[06:53.080] 在彭龙修车的，现在都
[08:38.010] 我们这边都是现成的，你这边只要有配方有
[08:43.770] 我觉得您好，您看一下。
[08:47.000] 现在挂的也干吗？其实花纹跟原车一样，原车是UHT的好玩，
[08:53.320] 现在只有三脚或者
[08:56.280] 国内只有三层，然后这个是老牌的这个事随着申报的不一样，
[09:02.570] 他这个是有4条，北京有今天明天后天到，
[09:08.230] 然后价格也差200块钱。
[09:14.790] 100. 
[09:16.100] 600. 
[09:17.140] 经常账户的。
[09:18.470] 093要多长时间？
[09:21.820] 还得还给我。
[09:23.490] 等。
[09:24.880] 10 10多分钟。
[09:26.580] 谁知
[09:33.610] 然后咱们是
[09:35.600] 要300。
[09:38.000] 那个是2180。
[09:40.460] 然后您车外观车漆伤打算修吗？
[09:45.940] 车外观划伤。
[09:48.000] 保修的话今天也拿不走了。
[09:50.560] 不是您修的话咱那有活动。
[09:52.970] 有什么活动，昨天下午。
[09:54.840] 下边的
[09:56.600] 前面的保险杠还有右前车门有坑，前面保险杠有划。
[10:01.090] 了这么多钱。
[10:02.380] 修一次和2500，修两次再返2500。
[10:11.860] 了。
[10:14.350] 心不凶的。
[10:15.390] 那边。
[10:22.320] 东远。
[10:26.090] 您住哪儿就住这附近。
[10:27.960] 三。
[10:29.790] 然后跑中午还修车的。
[10:31.500] 但是
[10:35.790] 的检查。
[10:37.000] 新。
[10:39.600] 反正我也记不清了。
[10:46.520] 走保险不都一样吗？
[10:49.050] 他们上次
[10:51.660] 500块钱免费
[11:00.790] 场、场、
[11:08.070] 场、
[11:12.360] 的。
[11:14.710] 的
[11:17.120] 数据。
[11:20.440] 的。
[11:28.330] 要
[11:50.860] 句
[11:56.890] 数据
[11:59.380] 数据
[12:02.840] 了。
[12:14.400] 的
[12:17.360] 的。
[12:27.110] 保修期前的检测不用交费，背面4个车车轮的动平衡是交费的。
[12:32.160] 您要想看这回头等开始了，我给您打电话，您上
[12:36.390] 什么时候弄您自个看看，这也行。
[12:39.220] 要嫌热就在这等着也行。
[12:41.220] 我一会走了。
[12:42.730] 逐渐的
[12:43.920] 完了。
[12:44.880] 晚上。
[12:46.930] 就是说轱辘车族的。
[12:50.810] 千块的问题。
[12:54.430] 特厉害，妈斗得。
[12:57.170] 那天我们同事开了家，我吃他说我的车子，但是我开始好像。
[13:02.560] 那还错都没有吗？
[13:04.300] 不知道大家就都淹了，意思是说走了吗？
[13:10.250] 自个开着对。
[13:12.460] 自己也没啥感觉。
[13:14.400] 疼了。
[13:16.970] 上活动了吗？
[13:20.800] 说这个东西也减轻了。
[13:23.370] 对，你只能给他拆下来，装在机器上班去每一个鼓楼去做都还是我们去。
[13:28.390] 这样咱们来一行正在。
[13:30.360] 刚看没有用，那看不出来可以。
[13:32.920] 那也没法检测了。
[13:35.370] 然后
[13:39.220] 二。
[13:41.860] 就删了。
[13:49.770] 完了。
[13:51.330] 什么时候您自个开车，你觉得有问题的话来说。
[13:54.160] 一个地方画画这个的话。
[14:00.600] 对。
[14:09.550] 我外提一句，您这个车是到今年的
[14:12.290] 9月25号就到保修期了，
[14:15.170] 如果要没有换车的计划，考虑一下要不要买个延长质保。
[14:18.880] 原创这不就能卖出。
[14:22.040] 车的时候不是三年的保修期，三年之内说话的时候，比如发动机有故障什么的不是免费的。
[14:27.150] 过了9月份，比如车载坏了，花钱维修了，然后要是买延长质保了还是免费，
[14:34.080] 可以考虑一下，给您留个取车子担保。
[14:37.520] 但是问题是一般的情况下不都是
[14:42.710] 大。
[14:44.360] 自个琢磨，反正说不好我也没法说，这四五年以后就会坏不了。
[14:48.940] 我看看都是你们不能有许多的
[14:56.280] 没事的好吧？
[14:57.320] 我那动平衡删了就坐着。
[15:02.290] 这么快。
[15:03.960] 本来就没什么。
[15:05.950] 给我打电话说了。
[15:07.570] 本来也没什么毛病。
[15:11.120] 没啥大毛病，这常规的电脑里边没有故障是吧？底盘也不漏油。
[15:16.110] 我看了明天。
[15:19.550] 行，那就在这等着也行。
[15:23.440] 好
[15:25.760] 完事给您打电话里边休息一下照一下。
[15:31.400] 看。
[15:32.360] 一楼二楼
[15:34.650] 自个找点。
[15:37.040] 场
[15:42.160] 场
[15:46.920] 数据
[15:48.220] 场、
[15:52.820] 场
[15:55.890] 数据
[15:58.410] 场。
[16:01.920] 数据
[16:05.560] 的
[16:07.120] 场
[16:10.830] 数据
[16:11.720] 场
[16:21.810] 场
[16:23.760] 场
[16:28.650] 场
[16:33.960] 车
[16:38.870] 数据。
