[00:00.000] 接待朋友介绍的一个先生还没见着面，
[28:13.600] 66段里面，然后不是这是多少钱？
[28:17.560] 时候豪车税的话我们要交的话，
[28:21.940] 您开票价的13%，
[28:27.180] 我们教我们得交到国家，就是做方面13%，我们教给我，你们发票给我开多少？
[28:32.750] 16万开2,371,800，
[28:36.780] 你开票开了你去哪家店都给你这么开，他有不这么开的店。
[28:41.940] 没搞懂我那。
[28:43.670] 您没法弄，您也。
[28:46.930] 好弄。
[28:47.730] 您的钱出去了，您拿着报不了帐，你要从怎么弄，除非是个人那不知道他个人现在少都是。
[28:58.120] 这么什么借用可以肯定瘦了会嫂嫂吗？
[29:02.510] 162，反正北京我没听说谁家敢开，
[29:06.500] 都是正常的收多少钱开多少钱票不是。
[29:10.450] 对能理解，我知道这么漂亮的这东西现在你
[29:17.060] 别找事儿是吧？跟我们没关系。
[29:19.650] 关系跟你没有关系，对。
[29:23.920] 你这样因为就是说
[29:25.690] 回去不媳妇商量一下，
[29:28.140] 你们只有知道哪个是过去的。
[29:30.560] 蓝的纸。
[29:32.480] 的不管理。
[29:33.670] 看中的也在自适应减震。
[29:36.950] 分手就我们现在到了这几台车都在40个点阵，
[29:40.960] 秘史类的。
[29:43.460] 绿的不带。
[29:44.650] 绿豆不带灰色的累对吧？
[29:46.900] 灰的。
[29:49.420] 一般民警大概几盒包装是什么？应该跟他设备简陋这一块。
[29:54.560] 一块的。
[29:57.650] 不在绿的不
[30:01.060] 绿色不对，就绿的是就带一个橄榄色的，那期那是162，那车就162。
[30:08.760] 然后
[30:13.670] 我们这几台车我得跟您说一下，这几台车都做过服务措施，就是随着这车到这了，然后赶着有着回来，我们在内部就做了，但是做了最后得跟您签协议。
[30:23.210] 有的是结构减震的，有派出所的，
[30:26.120] 好都得跟您说明白，我们会有一个单子就告知有一告知单，然后这个车做个服务措施，换过减震，那个是
[30:34.470] 做过服务措施是茶树召回都给你说明白，都跟你说清楚不模糊片。
[30:39.590] 为什么？
[30:40.660] 蓝色的我给您看一下。
[30:42.860] 只能
[30:44.500] 半年中华药都没用。
[30:47.250] 900的蓝的是做过服务措施，
[30:50.820] 换过减震。
[30:52.440] 电能早，这是。
[30:55.550] 这车减震到这就车到了我们也检查吗？
[31:00.270] 到这儿就发现就漏油，这应该就是简单究就来了，装的装配检查器有问题直接换一新的。
[31:07.300] 特简单，就几个螺丝拆下来装上，这都没事。
[31:10.640] 看过。
[31:12.390] 然后其他的到没有，然后
[31:19.200] 然后我们那个里面那台神秘中的，其实那神秘中的也行，带几国的光速大灯和
[31:28.410] 然后谁知。
[31:31.640] 这没做过，
[31:34.260] 这个就没有服务措施。
[31:38.110] 最新的就是门口里面最里面沙漠黄的那台，
[31:42.430] 那叫
[31:43.670] 矿砂抗没杀错，然后也在滋生减震。
[31:48.080] 唐山也是吧？
[31:52.640] 投不住，没见过开过大家。
[31:55.130] 有我们这卖了两个了，有几个客户都是特意上订那色的。
[31:59.560] 他们都玩的不现在弄得跟美军是的挺好看的。
[32:04.840] 开。
[32:05.530] 刚才黄色里面怎么样了？
[32:07.660] 内饰是。
[32:09.680] 的。
[32:10.690] 中的
[32:11.300] 中队这两台车我这蓝的和什么是黑的，
[32:15.640] 这是。
[32:17.120] 对吧？里面学术新手的是类似的。
[32:21.050] 黑色非常。
[32:22.280] 其实中的反身背的差不多。
[32:28.190] 行，这样的话我跟你是不是商量一下，告诉您联系一下，您贵姓我系统。
[32:36.990] 杨红、林、
[32:43.260] 426
[32:44.480] 27415
[32:47.200] 41
[33:12.190] 的
[33:13.660] 我
[33:15.750] 还有
[33:25.680] 的
[33:27.190] 好。
[33:32.080] 中国
[33:36.060] 三
[33:39.440] 的
[33:44.320] 的
[33:50.800] 您别我没有别的什么没有需求是吧？
[33:54.780] 行。
[33:56.330] 我了解是吧？我们再来看一下。
[33:58.650] 我觉得
[34:01.390] 不仅
[34:03.970] 你S车用途。
[34:08.360] 我不知道谁知
[34:12.230] 红楼不同。
[34:15.180] 电信。
[34:28.460] 了
[34:35.630] 要
[34:36.900] 的。
[34:40.300] 把
[34:45.160] 睡觉你半天了，完了那什么呢？
[34:51.940] 第二
[35:24.080] 白色。
[35:28.500] 是吗？
[35:32.810] 还没地方说。
[36:19.560] 接了吗？
[36:21.810] 第三才能找厨房下。
[36:23.840] 你这已经看好了，就看好5名了。
[36:27.050] 他说570457。
[36:29.110] 然后8年接待，只要带孩子有带保姆带孩子，你们直接中间暑假虽然假没事直接推定了。
[36:36.710] 我刚才帮你接了一下我。
[36:38.870] 没停，我这一直就没停。
[36:41.250] 手卡去看看，就是天才登录虚拟的。
[36:44.420] 带保姆带小孩好勒。
[36:47.050] 三旁边
[37:05.320] 基本上
[37:07.450] 老胡帮我建立信息都不电话，
[37:12.770] 你知道吗？
[37:14.210] 就帮我接了一个gd的who在。
[37:17.520] 还有570就是带保姆带孩子的。
[37:22.150] 不知道刚才这一片就一走的那里头，
[37:26.350] 你找着这些都是一个
[37:33.490] 真衰
[37:37.480] 记什么能买点半夜了。
[37:39.840] 来不了了。
[37:40.880] 怎么
[37:42.480] 说是一公里吗？没有了不会再来了，GGG多少？
[37:46.770] 就来来不了了。
[37:48.080] 明年见了阿姨来不了了，来不了肯定来不了，肯定不来了，那么奔驰升压
[37:53.140] 你赶紧辞职，他进来以后
[37:55.840] 他没有车了。
[37:57.780] 不知道我知道，11月份给让到10月10月份上G350，然后到明年再说，明年上有可能不
[38:06.930] 有人传说是8缸发动机过不了国流弊。
[38:11.960] 的。
[38:14.240] 三。
[38:16.610] 6，
[38:18.200] 客户了解G500的价格，带媳妇过来看一眼颜色，
[38:24.100] 喜欢
[38:25.910] 祖母绿，但是已经卖了推的是海蓝色，
[38:31.500] 明天给客户打电话，他回家跟媳妇商量商量颜色再说。
[38:50.400] 定出来了吗兄弟？
[38:52.330] 不谈定了一样。
[38:54.290] 看你吗？一会我把我那订单写出来唱。
[38:57.610] 啥听明白了。
[39:00.090] 你得刺激。
[39:03.480] 我他妈信你。
[39:11.900] 你这有一老头找你说我这午餐钱张伟的我就找张美这车我就要了，你别给我动了。
[39:18.130] 是吗？钱交了吗？
[39:20.460] 优化了，行好，你是不是该还我一个？
[39:24.880] 要是过来就给你完事了。
[39:26.530] 你别老盯着老头买，指定是你认识他，他给你让他马上去找你。
[39:33.600] 你给他开的车，
[39:35.690] 我待会正好有客户看车，他开了在上面做半天说有没有？我说这个没有。
[39:42.330] 您好，您说说谢谢。
[39:45.250] 这260哭吗？
[39:48.360] 我给您看一下。
[39:50.440] 我去其他店都是说优惠25,000~3万，您
[39:55.880] 25,000~3万您能定吗？能定我给您申请这样的。
[39:59.720] 最近我一定这两周
[40:02.390] 我也是想看看每家店合适25,000没问题，
[40:06.520] 3万能得在他单谈了。
[40:08.750] 3万是综合优惠还是现金3万，说实话就是说比如说您
[40:16.280] 这只能后续再谈你有没有置换，有置换的话置换我们这还送点保险，加起来就差不多快3万了。
[40:23.670] 综合
[40:25.770] 不加这个的话，
[40:28.220] 您全款分期。
[40:30.270] 夫妻。
[40:31.560] 分期好，然后您这桩事在店里做，我们这不强制所有问问您是选装这些，不是比如说贴膜、脚垫、行车记录仪、后备箱垫，
[40:42.260] 基本上买车都得去做的这几项，我们这有13,800套餐。
[40:47.040] 看情况，对，所以就是说你要综合下来，我觉得应该找领导给您申请应该没问题，3万。
[40:53.580] 差不多。
[40:54.380] 就是说您这边如果能做点，我们这边给您让点了，综合了咱们一块晚上给您使个劲，咱要合适您就在这订一个。
[41:01.860] 因为之前谈的是如果优惠点五落地就已经是37个，我觉得有点贵。
[41:07.600] 33优惠完了是33万，然后再加上3万的增值税，1万的保险，
[41:15.000] 您做分期被慢慢还着，你也甭着急。
[41:19.360] 主要是觉得现在1.5。
[41:23.320] 您试过吗？试试了，其实开的动力真的是挺好。
[41:27.470] 速效他都是在就一段路，但是没有车，我们这是的远我们这是来回9公里，要不然你在我们这儿给您弄一个，您是说赶时间，所以
[41:38.050] 我给您留个名片，您哪天约着我怎样，
[41:41.080] 平常哪天有时间咱俩提前约，然后咱们凑一个，路上您能稍微开一点点，然后我实在不行申请一下咱们走个，因为这个动力我觉得
[41:50.860] 老姐不是说天桥或者盛丰C苦配，他基本上这不就做俩吗？对，您就算坐仨，后面那哥们也不舒服。
[41:59.760] 是对，所以你那车其实基本上就做俩，有可能平时您天天上班就一个人，偶尔才能坐两个人，所以动力您可以试一下，咱俩我这咱们也很胖的，
[42:11.320] 但是您咱俩一块做一下，您看着觉得动力没问题就肯定没问题。
[42:15.070] 行行，我有时间再您给我打电话，好勒，这么着，好勒曼到您感谢您光临。
[42:25.520] 没见过我。
[42:27.090] 我是洁卡，你结卡了人家客户都在这儿了，干嘛直接改天今天带来溜一圈。
[42:33.090] 我这没接班卡，你结卡算啥？
[42:37.950] 没听说赶时间赶时间刚都说感受了。
[42:42.610] 微信我听你说赶时间微信，
[42:56.910] 你丞相的关系，
[42:58.100] 看见朋友这块现在已经
[43:00.180] 快乐对很正常，谢谢不用了。
[43:03.360] 不是从外星来的。
[43:05.400] 行了，我想说明白点了可以了。
[43:18.450] 首先
[43:30.730] 所以。
