[00:02.750] OK又
[20:45.600] 数据、
[20:47.320] 数据
[20:50.140] 的
[21:10.310] 的
[21:12.510] 的
[21:19.360] 的
[21:26.880] 三
[21:33.070] 的
[21:36.230] 的
[21:47.220] 数据、
[21:49.900] 数据、
[22:00.120] 场
[22:12.140] 打
[22:17.590] 回去了，微信方面可以操往后工作微信有问题方便。
[22:27.850] 谁知
[22:32.590] 价格您不用看，以刚才签字为准，因为他召回的他也费用差价给我们不用收。
[22:40.470] 马上了。
[22:43.970] 这可以了是吧？
[22:45.500] OK了，那就该忙忙您的，行行。
[22:49.760] 到我会给你打电话，应该周六或者都是咱随时联系，因为您这个涉及到
[22:56.900] 维修挺man的，挺费劲的，我还得订货，然后咱随时联系，好我给你发信息好慢点行。
[23:06.870] 现在从那边
[23:09.930] 手花钱也有任务。
[23:12.120] 一直有。
[23:14.260] 就跟22B一样，
[23:16.260] 他就走两两遍，
[23:18.100] 没有园长才两遍了。
[23:20.180] 远场了，对。
[23:22.130] 你要是够的话，
[23:28.470] 原厂的不算数了。
[23:34.910] 谁知
[23:38.870] 一
[23:43.990] 用
[23:48.000] 数据
[23:50.680] 数据
[23:52.240] 数据、
[23:54.970] 数据、
[23:56.530] 数据
[23:59.430] 的
[24:01.360] 的
[24:03.160] 的
[24:09.510] 数据。
[24:16.090] 花。
[24:23.520] 没关系，还是
[24:25.760] 上
[24:30.780] 自己做。
[24:40.250] 的
[24:42.840] 应该
[24:47.370] 别的没有。
[24:56.700] 来了你说的
[25:02.690] 4000块钱不是走走，我这边
[25:09.230] 就是一个出口的话，
[25:11.970] 我觉得
[25:13.710] 没有用的时候，对有的没多少有用就啥都有，别的没有。
[25:19.620] 对，你不弄我也不够感觉。
[25:23.230] 就说
[25:24.930] 我也得弄数据，
[25:28.930] 弄也不行。
