[00:16.270] 张你好。
[08:19.330] 目前7月份是送两次。
[08:21.900] 送两对。
[08:24.310] 他可能33来就因为他G2C的政策每个月可能会有变化，也可能没变化。
[08:30.810] 上个月是两次，这个月是两次，下个月有可能没有了，或者说变成其他的形式，也有可能他每个月都会调一次。
[08:44.560] 跟豪华的有
[08:49.210] 的
[08:51.340] 大概差多少？是价格还是配置？
[09:02.220] 到店。
[09:03.370] 豪华的指导价是4938。
[09:06.070] 对。
[09:10.770] 现在豪华优惠是4万，
[09:16.750] 优惠完是4538
[09:22.100] 刚才说的300的动感的话是
[09:25.870] 34498
[09:29.570] 点35，
[09:31.320] 再减掉一个45,000。
[09:35.810] 4
[09:36.740] 我们说刚才是
[09:38.780] 49 38
[09:41.300] 减去4498，
[09:44.970] 两款车差44,000，
[09:46.940] 但是优惠的话差5000，等于说再加一个5000的话差49,000。
[09:52.070] 保险
[09:54.760] 保险送。
[09:56.850] 保险还是保养？保险。
[10:01.200] 保险的保险。
[10:03.970] 保险没有第一年的保险先生，
[10:07.160] 咱们这不送第一年保险吗？咱们这儿没有第一年的保险，现在都怎么我去其他店里有送头一年的保险，是全国你加一个
[10:18.070] 房地产
[10:19.690] 送保险在家中身的A保养，
[10:24.250] 金冠是吧？是金冠对。
[10:28.040] 终身A保养我知道，但是送头衔我不知道他应该是
[10:32.440] 他是不是你第二年的保费还是怎么着，我1万块钱的
[10:38.210] 1万块钱的基金，
[10:39.740] 你先处置，第二年你可以直接用这个钱，对就提前处置。
[10:45.200] 他提前储值的话，你在第二年再去选择保险的时候，你只有唯一的去他去做保险，这是第一个。
[10:54.650] 第二个的话你第二年本身应享受的续保的折扣，可能您的折扣力度就不像正常一个普通的客户去保险公司，
[11:04.630] 一个网点去续保，能达到拿到的折头那么大，比如说您去正常的第二年的话可能是一个6折，
[11:12.270] 可能在他那的话可能是7折。
[11:14.830] 对，你看上去好像是便宜便宜了，但是实际上你提前他把钱收上来了，你第二年拿不了那么多折扣，里外里这一算
[11:23.080] 差不太多。
[11:24.560] 终身A保是这样。
[11:26.280] 金冠那个店的话现在面临的明年要搬迁，
[11:30.230] 他那个店的话要迁到南六环，所以说它的话特别需要有一些售后的客户
[11:37.740] 追随着他去
[11:39.510] 很远的店，意思
[11:41.360] 可能有一部分的客户的话，因为嫌远的原因，
[11:45.090] 可能就做一两次就不去了。
[11:47.440] 这是第一。第二个的话它只能在它这儿使，
[11:51.940] 这是第二。
[11:53.170] 第三的话您每次使得话还得伴随着他，必须要求您做其他的项目，
[11:59.820] 你才能用。
[12:00.910] 他这不是说听上去好像是挺大的优惠，但是
[12:04.460] 好多条条框框，
[12:07.840] 然后。
[12:12.190] 咱别的装饰
[12:14.200] 咱们这不要求做，但是也没有赠送，
[12:16.970] 没有装饰强加的要求，你做也行，不做也行，你要是不做的话，那就是车
[12:24.620] 保险
[12:25.600] 你要做的话就是车税，保险再加装饰，这个不要求没有强调提到数大概多少钱。
[12:36.370] 比如说刚才给您算的4498这款，
[12:40.020] 现在是优惠45,000，优惠完了是404800，
[12:44.560] 购置税的话是35823加上
[12:50.080] 多少里的？
[12:51.350] 40。
[12:53.440] 4800是吧是。
[12:57.790] 连车带税是40万出点头，这车的保险大概在1万块钱左右，就只能是一个预估的粗算。
[13:06.060] 您上的多可能一万二三，上的少可能
[13:09.650] 9000 8000决定保险是一个预估值，如果是按照11,000姑的话，等于说车
[13:17.420] 险三个加起来是45万45万，
[13:22.200] 明白
[13:30.250] 这个车我多问一句，您是想一次性付吗？
[13:33.720] 一次性为什么不考虑分期？
[13:36.370] 有可能也要就算
[13:38.460] 还要置换。
[13:40.400] 好了，收到你让张先生嘴巴时间稍作，我就过去找她留个电话，帮我留个电话。
[13:48.000] 这车分期很合适，为什么不分期？我是最不要那么麻烦。
[13:58.270] 喜欢简单一点，对就简单。
[14:01.810] 所以说你看我来我
[14:04.220] 直接就告诉你怎么那个算，你给我算出来就行。
[14:10.190] 我比较简单，
[14:13.340] 塌下来也就45万。
[14:16.480] 45左右，
[14:18.570] 对吧？其他事
[14:22.970] 行明白了，你这没现车那也没办法。
[14:25.930] 对您再找找。
[14:27.280] 如果说实在是找了好多家都没有的话，您再考虑考虑要不要订计划的车。
[14:34.500] 好吧，我再给你打电话好了，咱们自己听了A那进了您不是给我名片吗？到时有需要的话您随时联系我就行了。
[14:42.710] 好，谢谢您先这样，没事，那点时间。
[14:47.130] 好。
[15:06.430] 张先生，
[15:07.480] 今天
[15:08.280] 我的被子
[15:09.390] 专业
[15:10.340] 给女士指导一下，嫂子马这谁写的少一些了。
[15:14.730] 怎么了？不要了，哪个318611331183对。
[15:23.310] 什么时候？
[15:50.720] 陈先生今天是28。
[15:53.400] 那个时候您是在店里开车了吗？
[15:59.840] 车来你那边去了。
[16:02.220] 阶段晃过了，
[16:05.890] 双向有风险，有一些客户
[16:14.160] 后面
[16:15.160] 想村分享核心客户有气哈哈。
[16:21.520] 不看手机。
[16:25.300] 你告诉我。
[16:36.610] 韩春小孩很小，天津客户把它打开，
[16:47.530] 等等，我先给你稍等关机行没事。
[16:53.040] 您登记一下。
[16:54.490] 没问题，他马上过来
[16:56.110] 了。
[16:58.300] 放开A
[17:01.390] 刚才李红说。
