[00:00.570] 2020年7月22号刘伟将客户
[04:04.640] 进隧道下地库，傍晚擦黑，平常不需要做操作的。
[04:08.400] 左侧雾灯雨雪天按一下开的同时，
[04:11.810] 橙色角都有提示，
[04:13.940] 右侧的小旋钮上下旋转是仪表盘的亮度调整，
[04:18.490] 手刹在下面金属件
[04:21.190] 本身是电子手刹，
[04:22.720] 平常这个案件不用管，
[04:24.430] 标识是红色影片P
[04:26.720] 现在是上锁状态，咱们挂档看一下，
[04:30.440] 您给油它就自动解除了。
[04:32.760] 停车在您摘到P档以后，
[04:36.010] 咱们灭车或者是您的主架开门，
[04:39.050] 手刹是自动上的，
[04:40.920] 所以平常手刹大灯都不用管，
[04:45.080] 右侧小旋钮，上下旋转式这两个仪表盘的亮度调整上，梁辖
[04:52.100] 方向盘的左侧有两个胆敢尝的，首先集中的功能转向灯左右一样，
[04:58.470] 雨刷的位置是左侧这小三角。
[05:01.190] 事项零是关闭，虚线这两个是感应的，开的话你往上顶指向曲线，
[05:06.800] 事关一次，
[05:08.020] 下雨自动刮刷，不下雨不刮是吧？
[05:11.040] 第二个速度比下边块灵敏度也更高，
[05:13.780] 单实现双实线是机械到
[05:16.770] 强制慢速度一直惯性，
[05:18.960] 快速度以直观根据需求去选择，
[05:21.540] 玻璃水侧面按键按住别撒手就出现了。
[05:25.140] 黄人的话搂回来闪亮一下，远光推出去是一样的。
[05:29.350] 放盘的调整也是手动电控左边第二个短暂感，一个是前后，
[05:34.870] 一个是高低特别短的小两根。
[05:39.360] 中控的控制，这还有一个意见。
[05:42.730] 左边小汽车有一个I标识，
[05:45.680] 这个车有一个抬头显示，
[05:47.410] 一下打开按下关闭是在咱们驾驶员正前方，
[05:52.660] 风挡玻璃下有小的电子屏，显示的是朝向和当前速度，只有特别正的位置才能看到，
[05:58.510] 习惯就开始不习惯关了就可以。
[06:01.630] 中控的控制相对来说简单一些，这三根箭控制左侧仪表盘，
[06:07.580] 这三个控制右边小房子都是主界面，按一下出现练标以后，黑色按键
[06:13.710] 直接左右滑动选择，
[06:15.410] 按一下相当于确认进入行驶一段时间，首先会有4个轮胎的压力值，
[06:21.200] 快到保养对应保养提示，
[06:23.470] 冷却机油对应缺失也会有种提示告诉您，左侧是返回行程里这个车的基础信息里程10.9上下滑动，
[06:33.210] 蓝色剩余油量续航121公里，
[06:36.260] 平常车辆的驾驶习惯记录，
[06:39.600] 包括您百公里油耗，平均速度驾驶时间公里数，
[06:43.710] 总体成交话驾驶员供述，还有就是当前速度，这一圈也会传过来，
[06:48.720] 导航、收音机、媒体电话这4个选项和右侧是完全同步的，内容是一样的。
[06:54.540] 待会又厕所介绍，
[06:55.900] 它都显示了您自己可以调整，第一个是位置指的是高低，这是角的高低，还有一个就是明暗的变化，
[07:02.880] 还有显示的内容，
[07:04.340] 根据需求去调整就可以。
[07:06.790] 样式指的是这两个仪表盘的风格，现在是经典蓝色根据喜好切换成运动，
[07:12.920] 或者是前卫，喜欢哪个界面自行去调整就可以。
[07:16.850] 这个可能一般用的多一些。
[07:19.790] 岗位变化最大是怀档的一个设计在这儿了，提示都在这，标识是一致的。
[07:26.210] 方块内的白色字母是您的钢琴档位，
[07:29.220] 这个案件事主车P档，
[07:31.360] 灭车之前按一下就行，其他事用不着，挂档的话跟其他车一样必须踩刹车，
[07:36.370] 否则那就叫P对A下是P打
[07:39.420] 挂档往下是前进，
[07:41.560] 给揉的话手刹会自动解除，
[07:44.180] 雷达也会在右边大平潭ping出现，
[07:47.040] 我先挂一个倒档往上推是到达，
[07:50.260] 首先候影出现360度也会启动，这个是四周状态，这是后营。
[07:56.290] 黑色这个是您车辆的后保险杠，
[07:59.580] 红线是车辆平均的临界点，
[08:02.180] 内侧的两个大宽现在是车轮胎的行走位置，
[08:05.970] 动方向盘它就告诉你怎么拐弯了。
[08:08.780] 左右两个小细黄线是您车辆的宽度，什么时候您就不能到了。
[08:14.100] 现在是后边是墙对吧？
[08:16.660] 随着距离接近，首先车辆
[08:19.330] 对应位置出现黄橙红的小，
[08:21.770] 颜色越深距离越近，红格亮的同时警报响，现在杠离这个墙就这么样，
[08:29.360] 这个车一圈哪里进来都是一种提示完全一致的。
[08:33.550] 这个雷达只要离近了，它自动就蹦出来了，只有倒影是需要挂档才能出现。
[08:39.560] 对。
[08:41.350] 停好车您需要做的按一下建筑车皮，
[08:46.670] 归档以后灭车，手刹会自动上锁，车离开就结束了。
[08:52.110] 没问题，你那个店不用管，这不用管，它是电子的，对您一灭车或者说
[08:58.320] 您贵到P档没灭车，一开门他也会自动上。
[09:01.240] 对。
[09:02.410] 不中控这块儿的话报表
[09:05.960] 这个也是右边大屏幕，开关盒包装，你说操作的话，说了这次案件还有中控都是控制右边的，
[09:12.970] 小房子就有老大不小了，别说人家了回家了，
[09:17.460] 发动点击确定这也是一样的，对民警让或者活动这些是中文对应的英文导航登机媒体电话上下有对应，这就一键进入导航都找不着，
[09:29.820] 他怎么没装导航卡，稍等我们看一下。
[09:35.960] 到时再说待会再说。
[09:37.280] 我行。
[09:38.900] 不知道了。
[09:40.200] 好好那
[09:43.720] 好好就这么着。
[09:47.760] 为什么？
[09:54.600] 您看着
[10:00.460] 数据控制的。
[10:08.680] 句
[10:09.960] 的。
[10:15.080] 窗口插上就可以了。
[10:17.620] 他是平房就可以用。
[10:21.920] 原车导航的使用也简单，待会儿刚才说了给您激活一个me互联的功能，实际上是这两个按键激活以后，这两个店只要您摁的话，它会自动接到奔驰的服务后台会有人工接电话。
[10:33.390] 救援，
[10:34.250] 密室信息咨询，右边可以订机票、酒店、餐厅，
[10:39.640] 查询兴趣点，
[10:40.990] 导航的预设定，旅程的咨询服务，包括道路救援都是右侧这一个。
[10:45.800] 中间这个是紧急呼叫，有人伤紧急情况，红色的除了连接后台120自动连接，
[10:52.660] 一会集中激活明天启用。
[10:56.560] 导航条用旧iPhone直接按一下行吗？打开暗红色，这个是直接就出去了，那么它人工接完电话你就往目的地告诉号码就可以，导航会自动发过来，
[11:07.610] 它会显示中文是否启用导航，一个是一个否选择试点，确定档次就开启了。
[11:13.690] 收音机调频也是存好的，上下滑动快速切换，
[11:17.920] 当前能搜到的都会有，
[11:19.820] 这都一样。
[11:21.870] 音量上大下小，这也是一致的，对静音一下就可以。
[11:27.120] 您把您蓝牙看看，我给您贴上来的电话，
[11:31.230] 设置开个蓝牙，也就是他导航是不是到时候每年都要续费这样。
[11:36.990] 不是三年免费升级的话，车载会有提示。
[11:41.920] 您的名字来过选中系统片搜索，
[11:45.410] 车辆会查找当天的蓝牙，找到以后选确认，
[11:48.740] 它会提示您的手机做一个对应的配备，
[11:51.960] 配备。
[11:53.460] 然后您选
[11:56.000] 通话记录电话本会马上同步车内
[11:59.550] 点上，
[12:02.880] 司机拉手机卡了，
[12:05.650] 电池电量用信号已经出现了，但是您要没点允许通讯录他不会导入，
[12:12.370] 待会再试一下，卡了可能。
[12:15.170] 把忽略
[12:16.220] 出来。
[12:17.750] 信息正在同步里面。
[12:22.930] 您手机的通讯录在这会都出现，来电一波的同时，屏幕手机都会显示咱们自己开车，
[12:28.990] 这个案件直接上推是接听下推出挂断。
[12:31.960] 车上有朋友手机接的时候选一下手机听筒，其他人就听到了，下车通过蓝牙连接它就自动断开，信息就清空了，
[12:41.330] 下次上车找开蓝牙就自动链接，
[12:44.300] 原车的导航都不如自己的手机，高德百度不够好用，咱们有car play的车载投，
[12:50.710] 把您的手机打开，设置通用选项，
[12:54.260] 原车的数据线我教你怎么用下投屏功能。
[12:59.320] 苹果的手机自带功能，它不这车载点一下OK到这部插线板，
[13:04.420] 一定插USB接口才行。
[13:06.920] 只能是对。
[13:08.850] 它会提示自动手动选择自动确认，
[13:12.090] 然后咱们点一个接受，
[13:13.960] 前提您的手机还要开启siri这个功能。
[13:17.730] 没事。
[13:20.830] 你退一下你地系边离开。
[13:23.020] Is要是安卓你得在下个软件。
[13:27.100] 百度
[13:28.220] 再退一步，
[13:29.990] C认证打开就行了。
[13:32.990] 开心就行。
[13:34.890] 您安卓你下一个百度的坑来福才能出去知道，对。
[13:39.540] 应该
[13:40.620] 你的屏幕旧手机屏幕就过来了。
[13:43.540] 这个是您手机的主界面。
[13:46.680] 对，能用的功能就是电话短信、音乐播放器和导航视频类的功能都不可以。
[13:54.090] 比如说您想用高德这打开高德手机图像倒高头就可以了，直接推出直接导试一下，
[14:00.170] 这个不用想着不用退出就行了。
[14:03.160] 直接大退。
[14:04.390] 开启高度就可以
[14:06.610] 了。
[14:08.050] 随便倒内容是完全一致的。
[14:10.350] 声音也会跟车载软
[14:12.760] 一般的话更多人去习惯是
[14:16.800] 因为它更方便了。
[14:19.700] 我们出发了，前方路口右转，
[14:23.230] 用就记住插这根线已经设置完了，下回插件就投屏，不用就拔掉就可以了。
[14:41.340] 前面就是一个口，
[14:42.880] 这有两个
[14:45.640] 插U盘都行。
[14:48.120] 这个区域无线充电，
[14:50.030] 手机把以上的苹果谁知
[14:53.950] 直接告诉
[14:57.580] 看到提示，
[15:00.430] 手机听歌，联盟蓝牙选择媒体，
[15:04.750] 他这有一个
[15:06.520] 媒体员，
[15:08.030] 第一个就是你在来音品，
[15:11.310] 手机直接放歌就可以了，
[15:14.640] 打开音乐播放器政策都可以。
[15:17.610] 不放那也行。
[15:19.950] 就是裂纹蓝牙通过蓝牙连接，你就把音乐播放器任何一个打开就直接放进手机过去了，
[15:25.140] 还是从车载直接转出的？
[15:27.340] 对什么QQ都可以，对网易对都行。
[15:32.680] 中华也
[15:37.270] 不上，
[15:44.230] 他下载的歌没法听听无损的，只能用联，您现在什么都不管的意思吗？
[15:53.820] 什么意思没太明白，你说SD卡就是USB的那种的没法听，没有下载无损的吗？能吗？
[16:01.170] 有具体的话是不知道，你得试试，好。
[16:06.350] 随便放，对随便放都行。
[16:08.610] 您手机歌曲从车载转出而已。
[16:12.800] 对。
[16:15.330] 都可以。
[16:17.200] 剩下一首就直接滑动合同，这个都是一致的，但是听外置装置都是在媒体这个选项，
[16:24.590] 这个选项收音机就是什么？
[16:27.590] 像刚才跟您说了，
[16:29.320] 现在听得是您
[16:31.480] 来音频，如果是听U盘插在哪个端口，选择对应输出增强。
[16:36.440] OK没问题，
[16:38.880] 然后再继续了，
[16:42.820] 车辆里功能选项相对多一点，
[16:46.320] 首先说一下驾驶辅助，这里都是这个车的主动空间安全默认开启，咱们不做任何的变更或关闭。
[16:53.780] 然后除此之外，照明设定里这个车是有氛围灯的，
[16:59.110] 不太明显蓝色
[17:02.560] 颜色是64种，咱们看一下这样就比较明显了。
[17:07.180] 64种颜色根据喜好调整色法自己自动就见面了，左边那个是
[17:12.650] 亮度明暗变化，根据需求去调整就行了。
[17:16.330] 晚上停车左右的镜子下面有对应的照地灯出现，
[17:20.050] 锁车离开的同时大灯照亮一会延迟熄灭，建议15秒够用了一半，对车内岩石也是对应的。
[17:27.550] 设定里都是小功能，比如说安全带系的时候会累一下有预警，
[17:32.870] 锁车喇叭显示T恤，
[17:35.000] 锁车进口电动折叠，
[17:37.510] 车速达到15公里，4门中控自动所致，还有后备箱现在是完全在一起，也可以选择只开一半状态，
[17:46.230] 完全开启消费方便点诈骗，
[17:48.360] 方便出入三种状态，第一种方向盘如果是高位下车自动可以做，做以后车
[17:54.970] 给您一个相对大的上下车空间。
[17:57.040] 第二种只是方预防可以做，或者什么都不行，根据需求去调整一下行。
[18:04.440] 用户手册实际上是车的电子版车书有时间等人走各对应学习都没有问题。
[18:10.880] 时间我给您对一下。
[18:15.560] OK市区对主要都是自动的，你都不用管。
[18:18.900] 这一行对应的全是空调的手动调整，蓝红店条左右的温度上加下减，
[18:25.880] 风向吹什么位置，根据需求去选择。
[18:30.260] 风量最大是7冠，第三个文件要关到头，
[18:34.710] 整个断掉开的话都可以无所谓。
[18:38.430] 自动空调您可以设定车内的一个合适的温度，点亮or two这个案件，
[18:44.010] 车内会一直保持这个状态。
[18:46.210] 起雾的话，雨雪天前窗后窗除雾点亮这两个按键就可以了。
[18:51.530] 按键不亮洞左右是分区空调，个人控制个人，
[18:55.660] 按量变成同步状态。
[18:58.080] 现在外循环亮灯内循环，
[19:01.040] 雾霾扬尘制冷开空调建议内循环，
[19:03.990] 长途驾驶不建议，制冷的话，一定开AC才有这种状态，综合是自然风，
[19:09.940] 出风口小竖线冲上都是开启，
[19:13.570] 水平状态都是关闭。
[19:15.620] 前排一共是6个，包括都是一致的。
[19:18.850] 驾驶模式这个案件对应的是这儿阑点C字母上下选择由低到高，分别是节油，一书是C运动S和运动。
[19:30.590] 这4档模式首先由低到高，每上一档功率都相应放大，
[19:35.200] 越往上调提速越快，动力越强，但是相对油耗会高。
[19:39.100] 最上面这个叫个性化设置，
[19:42.110] 自己是可以调整放弃的功率光盘的转向和一SB开启的，不开手挡一般很少使用，
[19:48.320] 建议咱们C输出就可以了。
[19:51.110] 这个行使过程中您可以直接切换，不用停车的。
[19:55.080] 第二个雷达关闭，刚才演示雷达离近了对应一圈，黄钟晓阁提示。
[20:00.180] 第二个文件点亮，
[20:02.170] 全车雷达，
[20:03.620] 洗车机的时候有可能会用到平常这么着，
[20:06.480] 自动泊车。
[20:09.470] 是有试驾过吗？
[20:12.110] 停车怎么样？
[20:13.410] 我们都不干，直接倒，对，看着那个看着是别扭，没事，你要说这个是这样，首先这个功能它能自己找车位能自己停，
[20:23.220] 但如果说您技术过硬，用不用这两可，如果说您手潮没抚，使
[20:29.370] 保证安全不蹭，
[20:31.230] 而且他能自己停进去，然后需要的话一会咱们在外面吃上，没事待会做个演示，待会出去。
[20:38.100] 这个是启停放弃自动熄火这功能默认开启，
[20:41.840] 基本上北京堵车也不太适用，基本上就是启动直接的面就可以了，启动以后直接面就行了，但是每次启动它又会每次开，
[20:51.870] 这个是最后边阻挡车辆
[20:55.440] 一下开一下关。
[20:59.510] 开一下。
[21:01.320] 上面这一排都是灯光都相对简单，阅读灯左侧。
[21:05.900] 对您右侧有一个
[21:08.140] 这儿这个状态是设了一个开门亮灯官号，4门自动熄灭。
[21:14.790] 前排照明，
[21:16.240] 然后这是后排两侧能独立开启天窗，遮阳帘就这一个案件第一下掀开。
[21:22.950] 两个一起开吗？对，他是受到中间的东西往上推是换气的一个状态。
[21:29.840] 往后退市平开那个状态，
[21:33.020] 找到合适的位置，按一下调整空间放床就开到最大的一个状态了。
[21:38.790] 反之往下往前事关两下，
[21:41.420] 先关天窗后关这样练，
[21:46.600] 您后排那4个人见，前排的2个分别是左右的玻璃和遮阳帘，
[21:51.930] 后边那两个，一个是后风挡张店，一个上面张假你都能独立控制，对，左右两个门，现在我在网上没有，
[22:02.070] 像我上
[22:03.580] 你们到位，
[22:06.580] 应该是右侧的。
[22:09.050] 右侧那个右边右侧，对，往下。
[22:12.680] 跟头没反应。
[22:15.900] 抱歉我锁着玻璃你在
[22:19.430] 我刚才把那后排所指忘忘了解除了。
[22:23.090] 对，都是一样的。
[22:25.040] 小三角窗那两个张良是手动挂上去的，对哪个是什么话，后面两个侧面小三不是边上小三角，
[22:33.840] 边上就这边那是手动挂上去的。
[22:38.580] 我带您10号摩托车先这个功能用的话，比如说您到了停车场，咱想这车自己找车位怎么用？
[22:45.840] 首先自己挂A前进，
[22:47.510] 挂完以后按一下这上头，
[22:49.800] 按完了它会提示您钱警察有停车位置，您需要做的现在就是正常的开车。
[22:55.640] 但这个车位不管是在。
[22:57.690] 左侧。
[22:58.510] 侧方式垂直，车位就是一种状态，侧方左侧右侧侧方左侧是右侧是无非就这几种。
[23:05.230] 您就开就行了，找到车位的同时，他会在这对应的车位标识告诉您，
[23:10.120] 不管地上有没有这种地上停车位的标线都不重要，它是靠距离测空间的。
[23:17.840] 咱们去找个位置试一下。
[23:26.500] 哥们现在做完空气这里边没有什么甲醛之类的，没有。
[23:31.730] 本身奔驰车上您不做，他也是都达标的。
[23:35.290] 他后边什么？
[23:39.480] 有一个卡扣是吗？对点的是吗？
[23:42.780] 你看刚才他连续识别设备，他代表他找到了，对你要想停这时候就刹停车辆，在你找一没车的地方试一下。
[23:52.160] 但您估计您要是老自己倒觉得这个过程会比较慢，对，而且它是有机械助力，还有点咯吱咯吱您的方向盘声音。
[24:02.150] 我先把车让过去。
[24:08.040] 只要您开这个路上只要有车位，它就会自动识别。
[24:12.380] 如果说路上这一大牌一个车都没有，
[24:16.560] 他也不识别，它认为不需要
[24:19.350] 行使当中，然后直接按一下就行是吧？
[24:24.000] 这是几个意思。
[24:42.170] 只要这个空间够它进，它就会自动暴露出来。
[24:45.770] 咱去库里找个地方试一下，
[24:51.440] 这边也有看这边，
[24:56.550] 比如说这就是标准停车场，
[24:59.250] 对吧？从这儿过去要开这个功能，它就开过，一定是特别在后方它才会识别，
[25:05.900] 并不是说起点头，
[25:08.170] 你就正常从这儿过，比如这个车位你一定要开过，
[25:15.010] 当然医生提示代表他找到了，现在想停，咱们自己首先自己刹停车辆停住以后，
[25:21.440] 他这会变成确认驻车，因为就一个车位没得选权确定，如果是左右或上下是多个车位，你就需要滑动出空间选一个
[25:29.930] 暂决定
[25:31.380] 及时关注到达。
[25:33.800] 现在开始自动波车就启动了，您现在需要做的事，
[25:38.540] 交代刹车，控制车速，其它全不管，就这样一个状态。
[25:45.400] 一定带啥就控制车速，宽的绿色的是轮胎的行走位置，
[25:50.110] 远端的短的小红线是它的刹车点，
[25:55.420] 到那它进不去了，他就刹停换挡往往上了
[25:59.710] 这样一个过程，材料应该他要上一把这位置，他
[26:05.520] 垂直的这种状态就差一点，因为他贴这个边它不像咱们正经贴，如果说是垂直车位，他会咱们贴那脚贴的很死，
[26:13.940] 他是居中近，所以要比咱们正常停的把手要多。
[26:17.900] 对，这太费劲了。
[26:20.850] 但是他找到他能进去，但是就是过程相对慢了。
[26:24.830] 他肯定不像咱们想的状态，你像咱们这贴右脚，因为他
[26:29.840] 贴的比较少，
[26:32.430] 但是他会
[26:33.650] 沙坪换挡反向打轮，对换挡反向打轮，这个过程是相当man，对只控制速度，
[26:41.970] 其他都不管，到一定的晚上自己对他就挂到倒了。
[26:53.400] 杀的就是你要是稍微放一点，他采都会比较硬。
[26:57.340] 哼着歌罗坑是你采的，是不是他自己采的，我要踩成这样。
[27:03.530] 麻烦了，谁开车这么惨，
[27:07.310] 要是咱们正常贴可能200就过来了，他就有好几百，
[27:11.660] 这过程就比较慢。
[27:13.360] 基本上你要说
[27:14.940] 技术过硬，基本没有人说，除非手特别长。
[27:19.250] 对。
[27:20.240] 太费了牛，B侧方随时都行。
[27:26.000] 对停进来他也会测这两个车的距离，地上虽然有限才会
[27:30.600] 听完以后它会切换成主车P档，就是按一下这个举动电瓶车就结束了。
[27:36.830] 反正男士基本上
[27:39.390] 都不太喜欢，因为自己都是停车。
[27:42.620] 对，学生学车都是大车，根本就没有看过倒影什么的，
[27:46.680] 对吧？就是两面镜子就够使了，
[27:49.510] 有顶多有个雷达就够使了。
[28:05.640] 行车记录仪双了。
[28:08.080] 我待会完事给您叫一行车记录仪，师傅再给你手机下一个软件。
[28:12.890] 因为
[28:14.080] 可都是在自己手机上看，
[28:54.050] 您的位置是不是被别人占了？
[28:57.950] 完了没地儿
[28:59.960] 站着。
[29:07.240] 自己到就没有这事儿了。
[29:09.460] 他那机械助理的就那样。
[29:20.630] 列车直接一下就可以。
[29:25.190] 这时候车内并不断变，比如说您等人听歌是可以的，
[29:29.180] 但是咱们开到后就断了
[29:33.040] 这样一状态。
[29:35.630] 都是这个药是干嘛的？
[29:38.200] 这不是USB接口吗？
[29:40.710] 经常充电，对后排充电用的。
[29:46.350] 要是两个下车都给您试一下，行，后备箱里有点东西。
[29:51.200] 来。
[29:53.560] 没问题是吧？没问题，这一块就停了。
[30:15.660] 我跟您说一下，两个钥匙都试一下，让他先出去了。
[30:23.550] 这是一把锁车，
[30:25.440] 开锁。
[30:26.380] 第二把
[30:27.520] 火车
[30:28.800] 开锁这车本身有无钥匙进入以后，这要是您带在身上包里带着，这两图就是一模一样，不分主次，
[30:35.680] 锁车以后就是4个把手都一小高层，按一下就所指控，
[30:40.090] 开锁您要是离近了，手往中间一格自然就开了，待着就行，不用拿出来。
[30:46.020] 后备厢油箱盖一定是开锁的前提下，按一下才能打开，锁车以后连动锁死的。
[30:51.470] 后备箱您按最下面那件
[30:56.000] 最下面那念长按是独立开后备箱。
[30:58.610] N著
[30:59.460] 又开了。
[31:01.410] 三脚架原车自带，
[31:03.620] 然后脚垫后备箱垫已经拖完了，这是随车的一些东西，苹果那线给你搁车里了，这还有个安卓的线。
[31:11.110] 荧光救生衣，有一个急救包放在纱布剪刀，
[31:14.730] 车出城手册到全指南在这里是保养信息，导航卡也没用空了，
[31:21.110] 这两个东西扔了。
[31:24.310] 这是您装饰单子，这是干嘛的？您行车记录仪前面原车的钙它全部加了摄像头了吗？现行留着。
[31:34.560] 您记录。
[31:37.570] 你看前面是带一个摄像头的。
[31:41.250] 对，我知道，待会我完事给您叫师傅过来。
[31:45.290] 哪个带的我把这受伤反正
[31:49.700] 这边有一个
[31:51.350] 行车记录仪，这上面本来有一个原车的概念，现在换成这个了，对，你就留着就行了。
[31:57.610] 了，对。
[31:58.410] 后备箱里是原车的，这是后装的。
[32:01.640] 坐车咱们成功就行。
[32:06.950] 这后边又管用，不是。
[32:08.950] 您听听。
[32:10.780] 左就单，不要同时您同时有可能是手指头先进去，他就是开口状态。
[32:16.860] 档案室锁搁在中间是开阿四都可以都一样。
[32:39.400] 您做。
[32:45.490] 您喝点什么吗？
[32:46.820] 妇科没有。
[32:48.070] 行。
[32:50.210] 您身份原件给我对等的。
[32:54.550] 然后一会给您激活功能，咱们手机下载软件。
[33:01.150] 这种情况。
[33:04.680] 说
[33:10.550] 你做到了
[33:20.300] 7点了，
[33:23.150] 这个东西没用过。
[33:25.200] 但是这个时候谁知
[33:29.150] 别的
[33:30.150] 李女士留您电话。
[33:32.120] 1312您说。
[33:33.960] 0056。
[33:36.180] 不是军人吗您？
[33:37.640] 不是好了，谁知
[33:44.250] 请您手机马上翻一个6位数字的激活短信，收到您告
[33:49.120] 激活了导航。
[33:50.690] 不是，是车上me妇联案件二
[33:54.960] 一
[33:56.340] 316068。
[34:01.070] 这120120。
[34:03.530] 您把您的手机打开，APP先下载软件。
[34:08.550] 是吗？
[34:10.200] 带一个什么英文搜索MEIMI对。
[34:15.130] 上面有一个梅赛德斯me客户端，
[34:19.070] 直接下载就行了。
[34:21.770] 对，你期货了不是一样。
[34:31.240] 保持编制。
[34:32.440] 这个软件回头能读取您自己这台车的信息，
[34:36.320] 比如说这车跑了多少公里，剩多少油，或者水师傅缺失，轮胎压力，什么时候保养都能看到。
[34:43.260] 你就干啥没有定位，
[34:46.760] 他后期是不是如果你用几年之后，也许费用三年后就是这样，
[34:52.450] 去了多少钱，具体的您得问后台，因为每一项服务价格应该是不一样的。
[34:58.430] 跟那个指标咱们已经
[35:01.630] 他们不是问题。
[35:03.070] 没有。
[35:36.680] 下完了以后直接点登录，
[35:38.980] 这样把车给您分过去就可以了。
[35:42.760] 这对接受机器人
[35:46.140] 应该选一个中国简体中文。
[35:53.340] 登录。
[35:54.930] 做登录对
[35:58.180] 的。
[36:00.080] 的
[36:03.630] 账号的话到那步了吗？
[36:07.280] 帐号是加号，86您的电话。
[36:11.630] 加减号加号，数字里加号。
[36:15.160] 二
[36:16.140] 336您电话。
[36:19.720] 要是
[36:24.120] 初始的话是大A小A123456，
[36:29.440] 谁知
[36:33.250] 我给您今天激活，
[36:35.820] 然后大概七八分钟以后会有一个实名制认证通过的短信，然后
[36:40.820] 正常的数据是在24小时之内同步在您的手机上。
[36:48.410] 要
[36:59.350] 我说激活之后表示对进去的话应该能有车的照片，但是数据还不会进来。
[37:07.120] 照片不是这车的事，
[37:09.060] 大概你300那车的
[37:13.660] 身份证这样拿着拍照片，口罩您临时占一下需要
[37:20.820] 好，不要等着身份证号，OK。
[37:24.370] 身份证您收好了就完了了，对。
[37:27.610] 明天登录看一眼，但是今天后端的数据有点问题，你这使用条款点不了，有可能会滞后一点。
[37:35.160] 没事。
[37:37.260] 听众您几句，第一就是新车刚开始不要开，快告诉咱们先放120，这个速度要超三，
[37:43.910] 前1500公里咱们尽量平稳驾驶，把它加速急刹车，
[37:48.150] 出了1500公里，您正常用这个就可以。
[37:51.950] 基本也是北京用油的话，95号就够了，如果说偶尔去卖，或者说
[37:57.230] 有些小地方不太好，
[37:59.150] 稍微高一点。
[38:02.390] 如果用品不达标，
[38:16.360] 二
[38:36.210] 号
[38:52.640] 您那个车是
[38:53.990] 6月17号财产的。
[38:56.460] 7月7号。
[39:04.330] 这车开票是7月19号，
[39:09.400] 这个是三方我做过检测，然后在那边157793
[39:14.730] 电话生产，有人停电，
[39:17.310] 时间缝隙。
