[00:00.180] 接待售后都不错。
[06:57.230] 在中国
[06:58.300] 算自驾游特别流行，
[07:03.810] 这个比我现在车长多少，对这车
[07:08.170] 的话409。
[07:09.640] 我自己还可以不小，因为您如果要看gia的话有点太大了，那是个7座车。
[07:18.160] 咱们就是说像城区开车还比较多，
[07:22.130] 所以说我们那里也不错，但是这车的整车更好。
[07:25.560] 整车进口就现在车少了就是个事儿，那倒是不着急。
[07:30.760] 350多少钱？
[07:32.860] 350办了80多人。
[07:35.690] 什么叫干起了您家人或者是保险吗？你的？
[07:43.600] 购置税保险。
[07:46.370] 有置换的还能这话，我没有单独的置换补贴，在商业险里边可能多补贴5000块钱。
[07:53.010] 车给您评估多少，到时候您可以把您那台别克开过来，但是要10年的别克估计不准。
[08:00.470] 在大概明白，因为美国车贬值比较厉害，您比如说要是德国的话，还有日汽车都算比较保守，
[08:09.670] 美国、法国这些什么雪铁龙、标致这些，
[08:13.060] 包括您说的别克、凯迪拉克这些品质率都比较高。
[08:19.930] 350没有这个样的。
[08:22.300] 没有车队，没有车展，是咱们这一个系列就长了这么一台。
[08:27.950] 因为车比较少，我现在要订的话什么时候能造出来？
[08:31.540] 有现车有限，现车就一有一台水归还钙石蓝
[08:38.360] 棕色那种，然后路上
[08:41.180] 马上要到一台黑车，工作中就没有。
[08:46.610] 这就是棕内饰是刚才您做进去，我在这看，
[08:51.310] 一个是深蓝色的，一个是黑色的，现在那台黑色也是算准，现车快到了。
[08:58.010] 深蓝色。
[08:59.930] 深蓝色我觉得挺好看的。
[09:02.000] 但是看您就有些客户可能觉得黑色太商务，他就想要一个稍微
[09:07.440] 偏一点点的颜色，但有的客户就觉得买奔驰还是黑色大气，可能就要黑色的，
[09:13.570] 因为奔驰确实黑的多的是什么？
[09:16.340] 比您这衣服颜色深一点点。
[09:18.850] 行差不多，阳光不照也是黑的，是阴天的时候就是黑的。
[09:29.130] 谁知
[09:32.670] 像这种
[09:35.790] 您到时候也可以办分期，平均下来就特别你才3点多，
[09:42.070] 奔驰不收分期手续费，
[09:44.030] 他跟宝马一样，宝马的要分期，他有手机费贷款的快速点，
[09:50.950] 整体的内饰，这个车您在开10年那是都不过时，科技感比较强，
[09:56.980] 而这前两年也比较大，
[09:59.360] 满天星中网也是现在贷款之后的主要的一个
[10:02.400] 设计。
[10:04.720] 您看您朋友买的家具320里边那是跟他没法比，
[10:08.920] 是吧？小屏幕才那么大，也不便宜，对。
[10:19.670] 这裸车多少？
[10:21.760] 裸车的话您看这个车分这么多配置
[10:25.170] 的
[10:26.890] 的
[10:28.460] 配置
[10:29.820] 的
[10:32.680] 的性价比比较高。
[10:36.280] 指导价738,800。
[10:40.400] 谁知
[10:42.900] 因为跟着低配也不差了2万多块钱，但是这低配前脸甚至有两毛半跟老的甜点一样多，
[10:51.160] 所以让人一看还跟老的现在干嘛买这么台车，所以就差不了多少钱才能买到食堂，我现在还是个小甜头，
[10:59.720] 一个SUV小偏方看着珍宝
[11:03.160] 等，对，所以性价比高的就是配置。
[11:08.000] 豪华没给您推荐，因为他是个期货，还有两年上下太麻烦了，反正不是说过什么，
[11:16.110] 带着少奋斗工程雅宝宝什么人多，一般都不买。
[11:25.310] 多。
[11:26.570] 这是指导价714,800的。
[11:28.890] 然后这切38,800没
[11:31.040] 这好几十万的话，咱差公司肯定要这档案。
[11:33.950] 性价比高。
[11:44.390] 他现在重点好，流线型也好看。
[11:51.130] 看看快乐。
[11:55.410] 这车本来也没有那么窄，你看边上那家OK他比照可以打多少？
[11:59.260] 您先接电话。
[12:14.630] 我没在我
[12:16.060] 听出门办事了，拿走了。
[12:18.700] 你放在保安那行吗？
[12:22.190] 谁知
[12:25.480] 我是6
[12:27.160] 韩将联合
[12:28.350] 6号楼3单元1楼第二个
[12:32.250] 三。
[12:35.110] 31号南门是吧？
[12:37.560] 35元。
[12:38.600] 南门北门都行，我那个针管。
[12:42.670] 今天我们期待
[12:44.770] 让他给。
[12:45.410] 安全点希望下午好吧？
[12:49.900] 好好的，完了再给你。
[12:53.410] 拜拜。
[13:03.260] 反正我给您推荐的性价比比较高这么一个配置，然后到时候您可以带着家里人一块来看看这个车。
[13:09.950] 到时候来试驾一下，我说了。
[13:12.460] 对。
[13:13.670] 我留您一个联系方式，因为主要。
[13:17.190] 夫人开，对您下回带着夫人来咱试驾一下，感觉他那车换一下。
[13:26.300] 你说。
[13:27.430] 王先生是吧？1390。
[13:30.870] 106
[13:32.320] 099 99点。
[13:34.330] 97
[13:37.560] 70多万，
[13:39.260] 旋转点八.8十 80。
[13:42.340] 80. 
[13:43.200] 20出头加上购置税保险80，我估计有个82
[13:48.690] 就能下来。
[13:51.630] 反正到时候您可以考虑分析看看分期全款都无所谓，不影响咱成交价，就因为现在越贵的车，
[13:58.220] 到时候将来贬值率肯定都要高，如果同样比如说十几万买的车跟八十几万买的车，都是一年按10%
[14:05.510] 来贬值的保值率，那肯定是越贵的车，
[14:08.800] 很独罩在大家的投资的意向，就是想着不愿意把所有的钱都投资在贬值产品上，
[14:15.910] 所以会考虑分歧，到时候您看想想分析就分析小成本，就全款不受咱最后的成交价格影响。
[14:22.930] 就这电话。
[14:24.120] 对电话在这边。
[14:26.610] 好的。
[14:28.030] 对。
[14:29.400] 1891086093号。
[14:34.010] 我回去商量商量对。
[14:36.330] 我有一张。
[14:37.620] 到时候带着主要还是您试驾感觉一下。
[14:40.900] 是我觉得挺好。
[14:43.040] 反正你要是说跟参数做对比的话，我是对这个产品是有信心的，因为
[14:48.490] 一您也是开惯了咱们奔驰这个车了，还有一个您也知道奔驰的钢架
[14:54.050] 本身也比宝马更加要又
[14:56.120] 他整个AC就屈服强度达到1500兆，塔式什么概念？就拿枪打着钢架打不透，
[15:03.180] 可能之前没了解那么透，就是他打不透的情况下，然后
[15:09.710] 一个边这两个边比宝马都要高500兆帕，
[15:13.400] 所以它强度要高很多。
[15:16.810] 安全性，因为首先SUV底盘就高，它的稳定性就不像您开的，
[15:22.090] 一的话您其实买个两驱就行了，但是您买SUV一定要买个全时四驱。
[15:26.980] mv。
[15:28.120] 老觉得SUV
[15:33.740] 互砍、
[15:34.550] 什么会？
[15:35.470] 的话，对主要是因为这个原因，因为他要保持车身稳定性的同时，
[15:40.350] 还要保持舒适性，他必须得把这全挂条硬。
[15:43.900] 但是好就好了，咱们这个车配的是一个空气悬挂，空气悬挂的话就要软一些，
[15:49.220] 您可以先去试保马双宝马，您再是奔驰，您一下就能感觉出来特别明显。
[15:55.190] 因为咱四环路说实在的也挺
[15:58.660] 也挺颠的，全是井盖的，咱这边您是不是离这也不远？
[16:02.840] 我还可以在
[16:05.590] 更加合理。
[16:06.580] 那不远。
[16:07.680] 到时候您可以其他对比一下。
[16:18.530] 的
[16:21.320] 好你先忙过来。
[16:23.980] 我这没必要。
[16:27.070] 行，你等会我先接着客户等一下会。
[16:31.590] 拜拜。
[16:34.730] 反正跟家里人说说，然后我是建议您既然咱换台车开的时间也不短，
[16:40.260] 能开车
[16:41.560] 老是觉得一下放到交易还是没问题的，换一个开到最后70多，我60多岁，
[16:49.410] 60多岁开到70多0，最后开车
[16:56.580] 然后二手车
[16:58.460] 二手车这个是之前已试驾车名义上的老板一直开，
[17:12.500] 这是个S但是现在我刚才也没给您推荐S因为S太长了，这车得5米，
[17:20.750] 小米3了。
[17:27.410] 的
[17:29.430] 的。
[17:30.440] 他在小的SUV就这样说，太小了我就出去玩，谁知
[17:37.890] 这200一块差多少？
[17:41.090] 国产
[17:42.160] 空间小，
[17:45.630] 多霸气。
[17:47.600] 有这个预算，既然对比到三五来，反正买这个我觉得合适吗？对他跟他有。
[17:53.260] 一边对。
[17:55.850] 我之前跟客户聊也是，我说你要车比价格，我们确实比不过宝马现在全体公司都要便宜一些，
[18:02.250] 但是好多客户
[18:04.320] 看了综合评价，就是说这车换了也不是特别亲，因为现在还是那句话，为什么做分期的多，就是那个车编制我人民币我知道。
[18:13.550] 为什么
[18:14.680] 买好车那个车大家就觉得我不想换车了，因为他简直
[18:19.310] 上了一台车开始10年就成海，
[18:26.060] 你不做空。
[18:27.110] 七有有利吗？有力气没有手续费。
[18:30.940] 只有奔驰是这样，因为之前我们公司是既有一些也收手续费，后来不是去年西安的我们要这事儿。
[18:38.210] 然后奔驰就作为说实在他也不是豪华品牌，
[18:41.710] 这么多年历史了，它必须得拿出一个态度来，所以就是咬牙把水它就取消了，这样的话人家少赚了不少钱，利息也不3点多，
[18:52.380] 三点都不高。
[18:57.180] 了。
[18:58.680] 看您1年2年3年4年5年都能做，但是一般做分期的都是3年期较多。
[19:07.330] 5年期也有。
[19:12.390] 因为我不知道平常您的
[19:14.660] 资金是做不做理财，因为如果理财的话，就好多客户都知道，一换算他就觉得它结构设计，
[19:21.610] 因为钱越来越不值钱，因为这会一次性把这80多万桌上，
[19:25.720] 到时候不过他要是看到时候咱资质给他吃多少？
[19:29.900] 对180万。
[19:34.330] 对你说。
[19:36.400] 您可以考虑，对明白的让您买车，这个利息肯定是有的，您要是跟一次性付款，那肯定是多交钱了。
[19:45.930] 咱避免不了，但是就根据咱们就是说别的来说，其实您如果自己
[19:51.790] 您自己单从银行贷款，甭管买不买单，从银行贷款的话，基本上都是5点多的利息。
[19:57.330] 因为我们跟银行有合作，可以将老参展有一部分贴息，谁知一点多。
[20:03.600] 所以
[20:05.580] 多多少少还能咱不能说赚多少钱是吧？所以因为这车还是减值，
[20:11.990] 你得把通货膨胀考虑进去，
[20:16.550] 我上次不安宁，我不知道您是五几年吗？
[20:20.440] 56 56年，我刚卖了一天交C5年的，
[20:23.760] 也是一个跟陈老客户跟我
[20:27.080] 他说小王我问一下他现在是不是都分期，我说咱多大岁数我都不一定能批得下来，说我也想设计说
[20:35.950] 我原来觉得分期多花钱了，后来我问我身家他都退下来了，都出去玩，都打听都换车，
[20:43.110] 全分清，我就觉得我跟根据好像不认识了，我所以我都问问你，我说这账您自己算，我说我只能跟您说他确实多花钱了，但是您就看多花这钱您知不知道？
[20:56.690] 他也是他55年的梦想，年8月份。
[21:01.310] 他就出去玩。
[21:03.390] 老钓鱼、
[21:05.060] 坝上，然后基本上石家庄附近
[21:10.440] 自己开车去
[21:17.410] 分析这条路。
[21:22.480] 没跟说想不到，就是刚才聊到这我一想
[21:30.040] 说道
[21:31.930] 号。
[21:38.250] 先
[21:41.320] 这一点
[21:45.350] 谁知
[21:47.200] 如果是假的信封是吗？对裸车价格。
[21:50.810] 有优惠吗？也不知道。
[21:52.040] 的行，待会看一下，谢谢。
[21:54.850] 这是优惠完的价格元，价格销售价是多少钱？
[21:59.920] 有373,800万。
[22:02.940] 放弃了，这块下来多少把你了40多。
[22:08.360] 就是的好，后面看着后边SUV都能换轿车放过。
[22:15.730] 这也是主动
[22:17.650] 也是电动的给他放在看
[22:20.920] 的。
[22:22.520] 他就想要一个套路是房子是
[22:27.510] 现在为什么购买SUV的多了，是因为这个原因。
[22:32.440] 这个货都不能
[22:35.150] 后果调不了，不能动，调不了就不能做对。
[22:41.500] 这角度什么都调不了，能放倒我是想放倒的，我怕弄到您这个时候可能造成放平。
[22:49.490] 我是这样也是分开的，这边涨只能这样了。
[22:54.230] 主要这边放也能放心呆呆，那就是不对。
[22:58.800] 完了然后也可以收，刚才动作可以调不能调不了也
[23:06.150] 在咱们看着交易的空调，
[23:09.600] 茶叶在这里，
[23:14.160] 谁知
[23:21.710] 对这个空间够用，您可以坐上去感觉一下。
[23:25.670] 因为这个加长轴距了。
[23:28.310] 好，如果您说这款跟差三对比的话，差三比它要短10。
[23:32.920] 公分。
[23:33.930] 作家
[23:36.560] 的
[23:40.520] 这叫纯城市里。
[23:42.780] 大概是。
[23:44.150] 元的价格了，
[23:45.240] 这个事儿就能桃花万千4时3
[23:48.670] 四十三四了。
[23:51.460] 第4行多少米？3米6多。
[23:54.100] 不是1米7。
[23:55.910] 4600还是这是最低配的那款吗？这不是对排量最低配置37万多，对。
[24:05.450] 然后最近像刚才我跟您说的最低配前两现在长得一样，这种两道杠不是满天星的吗？
[24:17.660] 因为既然咱想
[24:21.640] 10年买
[24:27.510] 您先让我看这到点歇一歇一会了。
[24:33.260] 在此
[24:34.320] 喝点水，然后定在11:30就可以去食堂先用个餐，然后到他跟家里人商量商量，全部上手来你再给我打电话。
[24:42.150] 好好谢谢，没事，咱歇一会，好好，有需要再联系。
[24:47.630] 再见不客气。
[25:01.040] 怎么了？看你难受我站不住了。
[25:03.760] 后来干着吗？
[25:05.960] 晕着你站着。
[25:10.190] 你看着他难受，你打电话。
[25:14.320] 他做完之后，早上梁宇在能源叫一下，您稍等。
[25:18.800] 梁宇说到了良缘怎么称呼呢？
[25:21.610] 杨柳杨禹，余粮禹杨先生后天前财长
[25:26.590] 的。
[25:30.570] 好了，你睡稍坐一会坐在
[25:33.400] 你账号能不能这样你看不出来，你该谢谢你。
[25:37.940] 老杨你回来。
[25:41.530] 你还要干嘛？
[25:42.890] 晚上
[26:28.580] 拍拖。
[26:31.560] 安排稍微介绍一下吗？
[26:34.010] 好。
[26:37.260] 好了。
[26:48.520] 好看吗？
[27:33.080] 我不知道你上回不是约演出吗？打表干嘛？
[27:40.540] 敷衍。
[27:42.840] 基本上
[27:51.670] 大
[28:01.560] 的
[29:02.050] 张先生
[29:23.950] 您好。
[29:25.360] 看错的。
[29:29.840] 就是约了看捉是吗？
[29:33.770] 看G吗？
[29:35.320] 什么看G吗？
[29:37.100] 您登记一下怎么称呼我就行，不是打电话那电话是多少？
[29:42.780] 咱们这打电话您拿手机打电话，1861104018。
[29:48.510] 行好了，全都大了。
[29:50.460] 212排一下，行，您看看说有焦虑找你。
[31:14.040] 好。
[31:14.900] 安排销售后再给您做个登记先生，微信姓张。
[31:19.880] 张先生留个联系方式，1323775995。
[31:26.560] 6776777，对，具体想了解哪款车吗？
[31:33.520] 才能采血。
[31:35.750] 您先看一下休息一下，一会。
[31:39.400] 快两个月了还没。
[31:41.860] 现在杨玉良宇
[31:44.670] 客户找你
[31:46.280] 了，
[31:49.880] 晚上
[31:55.770] 一点。
[32:08.280] 银行。
[32:09.200] 我问一下价格一三两千万，
[32:12.320] 现在保险
[32:13.840] dk大家
[32:15.200] 进而以低配的时候，您看一下价格公司卡那边有没有特价的。
[32:21.370] 没有优惠吗？
[32:23.190] 有一定的优惠给您安排销售安排一下，我不知道了，我就打这问题。
[32:29.890] 谁能知道呢？
[32:31.390] 写GRE3。
[32:33.740] 20的低配的
[32:35.410] 大概是多少钱？交易的450动感，
[32:39.430] 是吧？入门的3.07的办齐了，大概在应该是90多不到100多少钱。
[32:47.010] 有多少裸车，那个车是834,800。
[32:50.360] 当时那车不是平价销售的，车开票价要比指导价高5万，
[32:55.770] 相当于88万多开票，
[32:58.280] 所以您办齐了这90多不到100。
[33:00.700] 没听明白是什么叫比较开票价和对不对？
[33:05.740] 那就是他不是平价销售没有优惠，他的开票价比制造价要高。
[33:14.300] 450这车就这么销售。
[33:16.680] 是有跟350不一样，350的话再指导价基础上还能优惠25,000。
[33:21.440] 30和3506。
[33:24.640] 对，2:00 074章车号。
[33:28.340] 您是开车进来的？
[33:30.770] 您待会还去送奥迪保时捷什么的吗？
[33:33.960] 您做完了最后再记得扫个停车卷，因为在我们这扫完了10分钟得出去慢走，您
[33:44.010] 我不见。
[33:48.610] 因为有的客户20多分钟
[33:51.270] 对着你去做一些喜欢的，你想句号我本来也该换了。
[33:58.030] 没错，你干也没事儿，
[34:00.070] 让他一人站一天都没事。
[34:02.590] 是不是？
[34:37.740] 通过二分钟才到
[34:39.120] 了。
[34:39.910] 你在20分钟干嘛？
[34:45.770] 一个手提。
[34:47.370] 行。
