[00:00.000] 我们着想是吧？有一个臆想还行，你这收什么出保全检测这个应该都知道是吧？
[13:28.970] 高有升级有什么，而且可能这样一直没上。
[13:34.050] 然后还想是左边响是吧？
[13:38.920] 我听着方式他说我听不出来，他说当然是吗？我也不怎么着，
[13:46.870] 他那是什么就没有时间，不是优化很大，早点去也没听见，现在他听见他是被刚才有确实行，
[13:56.110] 可能去就行，不然您知道唐一年有两次机会，一块钱，
[14:01.170] 五然为啥我说先找人给您试一下，不让你走，要不然回头到派到车间师傅没给你是让他自己吃，他都是他又吃不出来。
[14:09.210] 反正这也有可能，反正我先让
[14:13.080] 他是不是来找这是不是您食物吃喝听了听，
[14:18.460] 咱没招都没招了，我估计还得愿意，还得让您再抽空儿再来一趟，
[14:23.790] 还得再确认一下故障点。
[14:26.580] 我之前我真没发现，刚才到这门口，我感觉我看咱们E级车不是有一个
[14:35.860] 收回吗？刚刚估计我看是做完了的。
[14:40.700] 今年年初场场
[14:51.120] 的
[14:58.370] 的
[15:04.160] 场。
[15:05.170] 花、
[15:14.410] 数据
[15:17.420] 数据
[15:23.130] 数据坏数据。
[15:28.830] 数据
[15:36.600] 场
[15:42.010] 场
[15:43.550] 数据
[15:50.470] 五
[15:57.640] 数据
[16:01.220] 三
[16:03.830] 场。
[16:05.020] 三。
[16:11.200] 我把这一块简单说一下，你刚才列什么样都是这样。
[16:15.450] 你们不成功。
[16:17.520] 经过这样讲，
[16:19.290] 数据
[16:25.030] 数据
[16:31.040] 的
[16:39.550] 坏数据。
[16:44.810] 五
[16:54.470] 的
[17:01.470] 的
[17:11.130] 的
[17:12.410] 的
[17:13.930] 数据
[17:16.970] 数据
[17:20.360] 的
[17:24.720] 月
[17:27.290] 数据、
[17:36.580] 数据
[17:43.150] 五
[17:44.430] 数据
[17:50.080] 数据
[17:50.980] 数据。
[17:51.920] 月。
[17:55.520] 月
[17:56.440] 数据
[18:02.280] 的
[18:04.240] 坏数据。
[18:08.840] 场
[18:13.290] 场
[18:22.930] 五
[18:26.870] 场
[18:32.650] 五
[18:37.660] 数据。
[18:41.300] 一共三下载给您对一下。
[18:52.940] 还有一个免费的快速报销钱的检测。
[18:57.670] 反正一共三项，
[18:59.220] 那个地方调整照相机的位置，
[19:03.830] 那个不太好弄，
[19:05.910] 谁知有什么处理有什么，他有一个转机修包，里边是有点转机，转向以后里边有一个指挥舰，有一个
[19:16.470] 现为的一个东西，可能重新得调一下，
[19:20.600] 谁知你不就直接T了，这的哪个一定。
[19:27.890] 不是，那得让他们车间再试一下，再确认一下。
[19:33.320] 不可能半天
[19:35.040] 回来之后他放行，没事，只要他能她试出来了，能听见响就行。
[19:40.590] 就好多了，其实刚才张老师差不多的，咱们是过来，
[19:48.640] 谁知
[19:51.770] 的。
[19:52.920] 然后今天约您来，除了有一个出版权检测的话，其实还有一个事就是有一个车辆延长保修，这是最后的一个机会了。
[19:59.990] 之前买车或者说后续在保养过程中有了解到这事儿吗？我是有人给我收回来，
[20:06.220] 因为保修期之内才能沿，过了保修就没法言了。
[20:10.760] 然后今天来踩，
[20:13.910] 我再给您再重新再查一下。
[20:17.270] 规划它是分成两种，就是一一个叫整车的叫做核心部件，就是比较重要的零部件，
[20:26.960] 整车延保是目前咱们车一年是7000，一两年就差不多翻倍，
[20:32.530] 就14,000。
[20:33.860] 然后核心部件
[20:35.800] 因为咱们今天来参加厂家出保前检测活动，他还有一个优惠，优惠完了应该是3412一年，
[20:43.030] 两年是6713。
[20:45.400] 你说那什么核心部件，包括核心部件，就是那几大件发动机并不
[20:50.040] 全书荣，
[20:51.030] 就车辆最贵的那三个
[20:54.170] 最贵的那些部分，
[20:57.240] 反正为了为后续什么
[21:01.470] 因为是明白，因为一般情况下，他如果出了
[21:08.970] 三年以后就知道
[21:11.350] 了，就没救没法再向厂家申请这事了，如果没有延保的话，
[21:17.180] 队形大概再跟您说一下，因为只能在保修期之内厂家才给你，
[21:24.750] 你过了保修就不给你了，想也养不了
[21:28.400] 的。
[21:29.390] 我再给你打分，然后就
[21:35.730] 礼拜五
[21:38.660] 估计快的话也得礼拜一。
[21:41.110] 礼拜一下午。
[21:48.630] 的
[21:57.210] 场。
[21:58.370] 场
[22:00.680] 场
[22:02.030] 的
[22:07.630] 数据
[22:16.020] 谁知的
[22:20.320] 数据
[22:27.930] 出来
[22:31.150] 远。
[22:43.180] 数据。
[22:44.560] 礼拜一上午
[22:49.720] 我跟厂家说一声，
[22:52.880] 主要得订一个件，那个东西修高可能没有，而且是不是修高问题得待会我送你得让他们再确认一下，因为只有技师才能定这些东西，
[23:04.360] 我是没法直接给你订货了。
[23:07.400] 拿出来了。
[23:15.030] 反正先描述这么多东西，黑屏，简单黑屏基本就是升级送去就插电脑那等着了。
[23:23.300] 主要就是车小人稍微麻烦点，
[23:31.480] 行，别的也没啥事了，我这单子也拍完了，然后大概今天来的那些事儿都跟您说了。
[23:37.750] 等你的电话您打我电话就行了。
[23:40.520] 完了现在还有一个我刚刚欧莱雅外观好像也没有什么需要走保险修的第二对。
[23:46.970] 反正简单提一下，这个月公司跟保险公司有一个合作，就是存1500交1500，
[23:52.750] 然后你出险修车每次可以返你2000，51，年可以返你两回，一年有效期有这么一活动。
[23:59.410] 好吧？如果有必要的话，
[24:02.310] 建议先反正能省钱。
[24:05.120] 就是说如果确实车上面有需要修的地方，可以建议您先考虑弄一个。
[24:09.920] 你要没啥，就因为我刚才看了看，我刚才看没对我们因为一般我们职业都是绕车转一圈，
[24:17.370] 看了也没什么明显的伤，没有上面的一般都是门的上边。
[24:22.930] 对小泽小块。
[24:25.360] 小车里没什么要拿的了，你明白。
[24:31.570] 根据有PPT，
[24:34.180] 我这没有我这份G片拿走了，行，那就这么着，隔壁桌让你看看。
[24:40.130] 有的我您看哪庄有你有直接拿过来摁一下吗？
[24:43.090] 别的没什么要拿的不是吧？
[24:45.310] 行，那就到时候您给我电话。
[24:49.080] 慢点儿喝慢点去。
[24:53.740] 你说啥？
[24:55.840] 膜材料，
[24:58.160] 谁知
[25:00.130] 是吧？因为B的B就做EP在家一雄杰
[25:05.850] 6万公里，
[25:09.330] 换了大致说了2000块钱。
[25:15.250] 白天就这样。
[25:17.510] 我的目的就告诉你，
[25:19.450] 受不了就不再来电了。
[25:21.880] 看到了
[25:28.480] 消费自己。
[25:30.390] 好，我给你了。
[25:32.200] 期待。
[25:33.420] 到时候算了，别到时候待着，说了自己不错在这。
[25:41.740] 检查
[25:43.220] 保证
[25:53.510] 你不划定。
