[00:00.000] 你给我我也不跟你私了上就要加我微信，这是粉单子带着的吗？
[07:57.280] 那对不对？能就了那条让保险公司去打，反正他先把钱赔给我，然后如果他要不来钱算，我出一次险我就认了。
[08:05.340] 对，但是他把钱赔给您的前提下，是符合这种代为求偿的程序，他才喷泉，我都跟他们打好，我就这意思，我妈妈说句我都交上了，下午去了就行了，我那就行，咱们再看见车
[08:19.690] 不是对方的行驶信息我都要了，录音也有了，那就没问题了，再补一个录音就都行了，应该没问题了咱们这边。
[08:29.430] 数字证书最后要公司真要是我不给弄了，你咱店没关系。
[08:35.350] 没问题。
[08:37.650] 我们20多
[08:39.160] 走了，走我把这车在街完了吗？
[08:43.280] DV om这车怎么跑，能不能跑这上面就出来了是吧？
[08:49.650] 什么车是今天那个吗？完了
[08:53.870] 他怎么上去的，这一脚油倒车没注意就上去了。
[08:58.080] 这都行，这是看到下不来了，没心情你就下不来。
[09:02.870] 谁知
[09:05.320] 非常
[09:06.910] 来要钥匙在你那吗？走能看到跟他在等一下行了。
[09:12.890] 积累一下，谁知知道。
[09:17.030] 什么都知道，你投资的时候我都知道，
[09:19.640] 你都知道，你哪知道他们跟我说来着那边，为啥他说你那个客户不去你们家了，怎么投诉什么的，我说什么那知道，
[09:27.050] 我投诉你们肯定是你们具体哪方面，我就看客户了。
[09:33.270] 然后拍张总监跟你说别的OK肯定是你介绍他们见吗？
[09:38.050] 咱下午您先给我，我先看看里程数的，连一会还得回来，没事到时您先搁着，一会还得回来。
[09:44.850] 把客户送走了以后
[09:47.080] 把他们家首播了，
[09:49.220] 看他们怎么忽悠都走了，我也不想在那。
[09:52.400] 你看你也不去了，已经去了好多时候去到就到那了，他说你藏在他那修。
[09:59.230] 然后到后来我
[10:01.680] 再说说我快乐，
[10:12.680] 车您停哪了？
[10:14.410] 走。
[10:17.680] 然后我有一个担心，就我
[10:20.480] 我那个房子限购出来了，
[10:22.970] 然后也能与
[10:25.480] 了给予了人也没事，然后我怕他那线路车流短路，感觉联盟
[10:30.940] 不会没着车也没通电。
[10:32.840] 对，但是如果我一开车他那就停电了。
[10:36.660] 不用
[10:37.700] 那么夸张，不会没这么夸张，所以我能先让我说帮我把车罩起来。
[10:45.990] 相当于现在
[10:47.280] 布置咱们反光镜跟咱们的门吗？对。
[10:49.870] 门页子板。
[10:52.010] 对，还有我记得应该就到。
[10:54.930] 不反正刚拍完照应该就是到这个位置了，因为我看我这一点，我这边再一个还有咱们这A柱，
[11:01.350] AA柱这一块，
[11:02.940] 会不会不要我拍了，您看您没事。
[11:07.030] 看着你那没事。
[11:08.870] 我看着都变形了，肯定变形的，谁都不用想了。
[11:12.700] 这肯定都变形了。
[11:19.470] 您妈没把您气帘状出来就不错了，他是这意思这个。
[11:23.250] 真是说句话，就是咱奔驰
[11:25.240] 能换别的车，明天晚上
[11:26.890] 肯定绝对的。
[11:42.680] 来一号您给我帮您看你什么流量。
[11:47.980] 咱们现在是23,350公里，
[11:51.410] 2335023350，
[11:54.040] 流量是一半。
[11:55.880] 什么车上没有什么贵重品了吗？我在您再看一眼。
[12:02.820] 要是对先给您收拾完之后，您到时候把钥匙给我就行。
[12:08.040] 我在简您再检查一下。
[12:16.510] 刚刚跟轮胎有点蹭的痕迹，但是跟这次事故没关系。
[12:22.470] 这修不了。
[12:27.580] 因为叶子反正都没有跟对方有接触吗？
[12:35.910] 应该没了。
[12:37.040] 怕什么都有，我看一下给逼了一下关上。
[12:41.270] 荷叶现在都不对位置。
[12:43.670] 这不也挺
[12:45.330] 我不轻松。
[12:47.040] 肯定不轻。
[12:50.920] 头版打电话甭管了。
[12:58.990] 能就这样了。
[13:01.700] 没事我们再说了，您走吧你走吧。
[13:07.670] 对防冻液报警了，我跟他说了不加先。
[13:18.640] 行车还放着。
[13:28.700] 帮你
[13:29.540] 办个手续就完事儿了。
[13:46.430] 回家以后，
[13:48.310] 他不是搁这弄了，百得利，相当于说所有的
[13:51.740] 品牌都是摆能力的对吧？
[13:53.280] 这着院里面都是
[13:55.120] 咱百得利是一个公司，然后第一集团卖掉，品质就是卖奔驰有鸡毛，节卖沃。
[14:03.650] 原来本是一样的，
[14:04.820] 相当于是一个大的集团。
[14:06.600] 下面各个品牌
[14:15.460] 操作一下。
[14:16.760] 我这边打完单子您一会帮我签字，我这边赶快给您拆一下报价，抓紧时间维修，您说之前没人投诉过他们吗？
[14:25.170] 谁知道不知道，谁都知道，他们店里边我不会
[14:29.410] 也是第一个投诉他们的。
[14:31.180] 为啥骗过去现在不行了走。
[14:35.940] 对。
[14:36.920] 不就是后现场去了，就联盟在店不是，因为就出事的时候大家都是蒙的，
[14:42.300] 然后他一跟我女朋友说说只能去那有他也不知道怎么办，然后当时我中午给男店员打电话，我没联系上，
[14:50.250] 然后后来我给你们打电话的时候，
[14:56.460] 好了。
[14:57.790] 号
[15:00.780] 4
[15:06.540] QD6325
[15:12.070] 200
[15:14.780] 定损报价是到时候短信会发给我这块中心。
[15:21.770] 对，然后我到时候就拿定损，报价最后我来维修，完了交钱的价格
[15:27.690] 就不会有。
[15:29.080] 对没错，然后我就拿价格来试一下对方反正他要给我钱，
[15:33.080] 那就让她过来交钱取车了，他交的钱如果他不给我钱，我就拿这个录音去让人保处理后面的。
[15:39.080] 没错对吧？没错，人保不给我钱，我就告诉他就是这意思。
[15:44.970] 而且我想我把我追偿权转让给他，为什么我还得帮他搜集挣钱咋办？
[15:49.320] 我都说这玩意我自己打官司。
[15:51.240] 可以，但是不是麻烦吗？相当于您不是委托人保帮您打官司了这样对吧？
[16:00.600] 稍等，我这没有网了。
[16:13.750] 万
[16:25.300] 飞行数据、
[16:30.480] OK
[16:33.110] 数据
[16:51.520] 上午
[16:56.010] 能瞎了。
[16:58.350] 我刚才又称的
[17:00.120] 结盟的
