[00:01.570] 6月9号在他坐后面看收益的开始，
[19:08.460] 对营销稍微对吧？
[19:13.400] 右边最上面。
[19:15.670] 抵押登记了。
[19:22.280] 给您做一下，我去给您问下这价格去好了。
[20:04.350] 什么95,000？
[20:06.790] 什么老婆你说的什么95,000，
[20:10.040] 你买个醋，
[20:11.640] 文雅出去了，
[20:14.070] 后面
[20:15.630] 刚才她做。
[20:18.140] 你看一下行了。
[20:23.530] 号。
[20:24.600] 医院的。
[20:27.720] 还有
[20:41.800] 发错了。
[20:43.860] 跟别人说的。
[20:55.650] 到企业
[21:00.860] 185，
[21:04.200] 只能看到
[21:16.470] 这套技术还是
[21:17.420] 记得
[21:18.320] 注意。
[21:21.540] 当时这个东西
[21:23.110] 成功了
[21:25.720] 的。
[21:26.640] 的
[21:35.640] 不一样。
[21:38.480] 不一样的。
[21:47.070] 这张表
[21:51.040] 关于
[21:51.880] 昨天拿眼光
[21:54.030] 那种这样的
[21:55.690] 的电话你这样后面
[21:57.920] 都不懂。
[21:59.790] 院机关
[22:03.220] 搞土地革命。
[22:04.890] 所以谁知
[22:07.890] 谁知
[22:09.750] 输入一下好了，我先不管他了好吧，你把Q
[22:15.540] 这三给我们才能落实一下。
[22:18.380] 行，我现在在三店，
[22:21.160] 人家
[22:22.750] 评估合适，
[22:24.370] 谁解决合适给了我们，赶紧看完了没问题，你不用看。
[22:28.820] 好吧，我是觉得特别好的家里家人，
[22:42.760] 又来了。
[22:44.770] 那个不着急了，你现在先把这客户单给我烙进一下，看车里不用看。
[22:52.470] 二你这差太远了。
[22:59.260] 高配高费交费，什么叫高分？因为你跟我怎么分呢？
[23:02.860] 我跟我
[23:05.290] 带加热带
[23:08.480] 带村庄，
[23:10.110] 逐渐的不是
[23:12.020] 不是一键启动，
[23:14.200] 在加热带瓶，在天窗这是能够带来的。
[23:19.900] 还不知道。
[23:27.000] 你现在6年前的车，老婆你问我我记得我买的不高。
[23:32.790] 这刚刚
[23:37.590] 多少钱吗？
[23:38.950] 你看到了车反正是医疗费面前。
[23:45.470] 都多少都是整数，马上这边
[23:49.260] 他这边主要有一个评估，就是吃饭了有6000块钱的保险补助，
[23:59.890] 远。
[24:03.710] 的
[24:11.240] 没有
[24:13.050] 没有。
[24:14.680] 不可能是吧？
[24:17.990] 照片你们看看。
[24:25.920] 它是一个房车里边改装过的事，
[24:31.900] 有电视。
[24:34.720] 行，你看。
[24:35.850] 你看他在
[24:45.620] 越看越
[24:48.480] 二
[24:50.510] 了
[24:54.840] 怎么样？
[25:03.340] 300分。
[25:04.480] 三年
[25:09.330] 整个万八千块钱1万块钱6000块钱这样。
[25:17.350] 没有拿到了。
[25:19.970] 63年。
[25:21.270] 那个人阶段也很多，也你说我这东西大概那么多，等我回来，
[25:26.970] 他目前百分对我
[25:31.260] 这保险1万块钱和非常
[25:33.900] 的，但是
[25:37.660] 我那个小争执当时我们就不算没上，8000块钱就不去了，好几百块钱。
[25:42.140] 连接上面。
[25:44.510] 潍坊
[25:45.710] 你只要在他的
[25:57.670] 我在承包可能我也会这边
[26:02.280] 阿姨当时有人
[26:04.920] 没有权利。
[26:19.880] 刚刚
[26:20.780] 玩儿我就看完车，一会儿我这边就报告一的系统，然后价格就出来了，出来以后我告诉您您看合适好好。
[26:27.770] 完了因为现在给汽车多吃饭了，这车价格现在挺透明的了，
[26:32.160] 您觉得合适就我没有问对吧？你爸跟要是差别不大了，咱们你想想办法弄，要是差的特别大了。
[26:39.620] 好吧，因为
[26:41.860] 稍绷紧了。
[26:44.120] 尽量给招人了吗？明白。
[26:47.600] 反正
[26:50.430] 包括
[26:53.580] 是吗在这，
[27:00.880] 谁知
[27:03.530] 我那个非常好，我知道你的快乐，因为
[27:08.560] 这方面
[27:27.400] 开始说
[27:28.880] 了是没有人买的。
[27:32.570] 不懂
[27:34.640] 没有了，没有就看作是有交易，你老板有
[27:41.740] 为。
[27:43.610] 老公我刚才弄一下分店，
[27:53.020] 8号是吧？
[27:54.540] 我这忙完了我去接，你不要把车开回来了是吧？是意思吧？
[27:59.510] 不是都是他那车是不二。
[28:03.790] 我弄晕了，那就周六咱们感觉好吧？
[28:07.960] 他去哪个店说好了到时直接开过去就完了，我那车电瓶坏了，没电瓶我都给找个自己变成了
[28:17.050] 营销员，没有这种。
[28:20.080] 你要这么说吗？
[28:22.400] 那种餐馆如果你要立交
[28:25.780] 应该是没有好转。
[28:29.120] 6个月
[28:31.760] 是。
[28:35.480] 可以找到张。
[28:42.020] 干嘛？
[28:43.440] 叫三找不到，能告诉了你，说这是我还跟老公说一声，
[28:50.310] 你老洪把车放到这了，还有上午几点突破控制，他说里边
[28:59.970] 是吧？
[29:02.840] 但是
[29:04.270] 老公那边跟我说了，然后围绕着产品的
[29:08.400] 这颜色也没有。
[29:10.730] 对。
[29:11.420] 我跟你说一声。
[29:14.570] 好，咱们等周六好吧，我说你了。
[29:21.050] 好好我这
[29:25.800] 在高新那边。
[29:28.110] 对，不是，他只能是走了多少开心吗？不是。
[29:40.370] 对，节假日周末可以在进完才能进入的，他不是说像限号那时段
[29:47.150] 是环保要求。
[29:49.660] 没有一样。
[29:52.880] 好。
[29:54.120] 对好了直接把完了。
[30:05.020] 我现在也这样做的，但是
[30:12.690] 就会卖掉。
[30:20.550] 卖掉
[30:24.360] 大家
[30:30.390] 的
[30:32.180] 您没有其他目标了，
[30:35.830] 拿宁波现在一楼工作偏离，
[30:40.100] 我问一下有一辆车就可以了。
[30:42.750] 对。
[30:43.970] 你现在还保留了维修了，联想到
[30:48.180] 刚到家感到老家在
[30:51.700] 等一会维修边上经理
[30:54.820] 就这样。
[30:59.430] 我是河北的知道。
[31:03.870] 应该每年拨6。
[31:06.390] 空间
[31:09.630] 是吧？
[31:10.340] 就去了后来
[31:16.110] 你的卖了。
[31:19.550] 我觉得
[31:25.810] 山东。
[31:30.370] 山东、
[31:39.350] 要
[31:40.490] 了我跟你说一下。
[31:44.100] 价格算比较优惠的，现金肯定是整个北京市都没有这样价格，直接48,000现金。
[31:48.940] 48,000现金，
[31:50.230] 然后在这个基础上现金多优惠了，3000月，这个月把发票开了，额外送两年的保养，
[31:56.450] 一个小宝一个大宝，
[31:57.990] 他不是厂家就送两一两地的厂家，不是送两2D厂家没有两个两地。
[32:04.650] 我那都是这样的。
[32:06.010] 什么意思？
[32:08.540] 我买了几个车都是送的，不是您这是050版本的新款，咱们在奔驰官网都能查到，没有保养赠送。
[32:16.380] 对，奔驰官网都能看到，你看我那天
[32:20.460] 蓝色的。
[32:22.280] 我那去我在红大道咱们可能达到平那边开吗？因为颜色当时他只有那有下载口袋的颜色，然后。
[32:31.090] 这车不给我了。
[32:33.030] 他告诉这是两个包养我去不是我一天在房山吗？我怎么去那了，给我保养一下，因为我那有个
[32:40.990] 反正买车人送了我3000块钱维修基金博士，为啥你知道？
[32:44.550] 然后
[32:46.590] 我就在良乡您保养，她说你刚回来。
[32:49.860] 我就保养消前台接待叫什么人说哥你跟你们还有两次保养不是激活了，
[32:56.850] 他说这个都是厂家都弄了俩月2G他分车型，你像GRE的话也没有，但是一级的话就3A3B
[33:03.990] 每个车不一样，C是俩有2D是吧？对然后哪次说行在官网上能看到那出来的孩子，我说你回去保养得了，你不要钱，我说对我说别折腾了，我说你把空调回来，我那3000块钱我得。
[33:16.830] 给我发回来。
[33:18.490] 二它每个车型不一样。
[33:19.360] 每个人都一样对要有的话对他。
[33:22.540] 无会少了您的，因为自动您车跟车走的，对两次保养也就是两个以内，就是一年做一次，一个对一年一笔，一个A保一个必保，而且给的是大宝跑去工时费的保养，这桩事咱就别做了。
[33:37.010] 还有什么装饰？你看你自己背，因为里面的隐藏式记录仪他按不了外面
[33:42.260] 这说的路线的。
[33:43.870] 没用，对，他也不贴膜什么的，记录于纸分持的记录是对它是隐藏式的。
[33:50.690] 你要单买3800，
[33:52.750] 拿不定走套餐的没必要，我觉得管理我们班
[33:57.650] 套餐是全车，您直接买装饰吗？不是，我自己装了一个全车的防爆多少贴膜，
[34:04.150] 然后模式的
[34:05.540] 非顾的都是威固顶级的。
[34:09.200] 对，因为8月份要上市了百得利，所以他给的套餐餐不错，成本都非常高。
[34:14.520] 然后我先跟您说一下，本来不是15,800，我们套餐就是15,800，后来申请的，因为您这边是买了好几台车了，您老的意思是给减4000，按成本价格走一下就完事了。
[34:23.830] 内容的话都不变，给您内容也挺多的，维度全程环保多少贴膜，维护最顶级的奔驰的隐藏式记录仪，这跟您买的不一样，那不是外挂似的，
[34:32.930] 它是奔驰隐藏的，也跟直说的，
[34:35.100] 不会说影响您路线，产生一些质保部给您。
[34:38.360] 然后全包围立体脚垫，他站在地毯式那种包围的
[34:42.410] 旧城的那种，然后相恋后整个的一个封面读经中用全周期的
[34:49.800] 三。
[34:51.730] 11,000多，对11,000。
[34:56.690] 的。
[34:58.340] 两车的优惠多少？48,000 48,000现金，然后
[35:03.650] 送两年保养再给优惠4。
[35:06.310] 现在这个价格吗？之前给您算价格等于又给优惠了1万块钱里外里。
[35:14.630] 的
[35:19.680] 看您要是装饰叫做
[35:22.310] 都行对吧？这等于工作了，对，看你自己主要是对。
[35:27.870] 他磨用的高端，你要成交进口机那都行，因为我的魔在外面这不对。
[35:34.050] 确实怪确实贵对吧？对于我们企业的钱看到钱你看全都带着，
[35:40.550] 你看对外面怎么着，你最少得花7000，只要贴威固的龙猫跟3M便宜，
[35:47.170] 对，但是不妨碍不让跑高速易崩裂了。
[35:51.660] 差不多他车库的怎么样了？
[35:57.730] 等车叫。
[35:59.730] 这位行，您过来。
[36:03.960] 那块灵了8成。
[36:06.000] 好勒行行，我在那边看看。
[36:09.480] 韩寒还得有一会等会。
[36:12.520] 扒下来了8000我想给你做，
[36:16.200] 我老客户介绍新客户还能送一次保养，你可以再加一次。
[36:21.650] 他只能说。
[36:22.740] 给它下它里面好那也行。
[36:25.190] 不要行吗？行，我不给你行驶证。
[36:29.140] 你之前提的是什么？车上一个。
[36:31.780] 他说老师弟弟大地也没有送保养，我没好意思没有这。
[36:37.150] 这500这车吗？什么都没有，保险没有，保险保障没有，什么都没有。
[36:41.060] 哪一次？
[36:42.140] 厂家什么都不贴这车，什么叫迈巴赫S450那有吗？
[36:47.160] 没有。慢慢说这500都是加强的，车钱都没有一块钱平价卖评价，但是并没有优惠对不对？
[36:54.550] 您大卖谁中间那朋友？
[36:57.030] 我没给他打招呼了，我是钱我停那。
[37:00.790] 刚才我给您看的是黑内的车基本上15毫升场，
[37:05.670] 然后20多号才能提车，
[37:07.190] 中内的车可能在得等半个月。
[37:10.160] 带您看看那两个是那天可能没看清楚这块有咱看一眼。
[37:15.450] 看一下。
[37:19.400] 的。
[37:22.990] 全部在这儿。
[37:25.280] 对，谢谢晚上。
[38:33.640] 他又什么的。
[38:36.010] 今天回来的他也到不了您那还得做抵押登记。
[38:39.590] 三个工作日才
[38:42.750] 地方是不是已经做错了？
[38:45.010] 你来东西做了，家里本身才
[38:47.880] 应该说才刚
[38:49.420] 当时连带着身份证加大工作的一些
[38:52.320] 贷款黄了，包括他在内，
[38:54.940] 身份都要把日本
[38:58.870] 到时候这身份证回来以后照照反正
[39:01.720] 这些东西我
[39:04.050] 局金融卡也在里边是吧？快乐。
[39:11.440] 今天
[39:12.320] 您修车的时候我没带，然后我们同事说帮干嘛，然后当时沟通联系一下，然后利用王
[39:20.010] 你看是不是他那个单子也是我们公司的销售员？
[39:28.280] 有一套当时看了一下，
[39:30.120] 看一下这个地方，
[39:31.610] 我内心一个
[39:33.370] 一个规模，
[39:50.920] 2000 3830。
[39:55.050] 看着已经知道
[39:57.580] 发货，但是没有完成结算。
[40:00.800] 这原件。
[40:02.630] 原价。
[40:05.280] 不用。
[40:06.100] 我觉得还是整体的
[40:12.220] 这是前导。
[40:15.590] 黑色的
[40:16.900] 两个目的
[40:19.830] 有点道理。
[40:21.210] 对，然后你后来不改的话，我想再加一个。
[40:26.100] 对，但是我知道你的计算机多少钱吗？
[40:29.510] 人家是3000，你要是做你的3%
[40:34.410] 是你人口，
[40:35.940] 你这大礼包的话怎么说？
[40:38.950] 我看了一下你那已经有一个
[40:41.970] 因为我不知道这张怎么你的人怎么算的，当时有两层中的，一个
[40:48.150] 一个是
[40:49.780] 一个是小便次数的。
[40:51.800] 对一个酒店住不行，对我当时。
[40:55.020] 侧面了解一下说是当时是您做贴膜后面的，但是这两天已经送。
[41:00.830] 您后面谁知部队这种事其实不是这么车上有划痕，
[41:07.490] 然后就等于是给
[41:12.620] 因为刚才图标正在楼上开会了，没他去问的。
[41:18.030] 反正
[41:19.340] 我看到这个单子都是这样。
[41:21.070] 行这样。
[41:22.830] 反正现在车上是有一个装箱价，一个小亮评价。
[41:27.150] 然后那两市
[41:28.900] 不用支付费用的，
[41:30.260] 然后看那个单子出了，但是没结算。
[41:33.000] 你在这里包是多少钱？
[41:35.640] 大礼包是13,800，都肯定在5800，
[41:39.710] 然后14,800都有的。
[41:42.510] 他们的其实就是规模，
[41:45.610] 俊杰交流小小的一个侦察的。
[41:51.870] 记录仪在
[41:53.510] 另一种方式。
[41:55.410] 在这个东西上面，
[41:58.310] 广大
[42:06.540] 那会儿就后边
[42:08.060] 看见了这块开以后我们就好了。
[42:12.180] 这就是路演过的，你坐。
[42:15.310] 比如企业2000，原价是3000，水坝减拿点纸，
[42:22.090] 反正在广州打点
[42:24.720] 走。
[42:31.760] 餐厅点一下看看。
[42:39.940] 对，就是一深一浅。
[42:47.280] 看看。
[42:48.790] 要不然的话
[42:50.200] 的
[42:52.720] 我周边的人现在全部都分了，
[42:55.740] 活动前8%
[42:57.340] 全是东西，其实我觉得
[43:00.280] 反正太白的人比较少。
[43:11.080] 我先问一下。
[43:12.560] 我先问一下那车有没有被卖，我的课表看不见车，你先看一下这个车子是什么时候的。
[43:18.110] 谁确实挺我先看看被卖了，副表上没有了。
[43:21.690] 这车
[43:22.500] 车上没办法。
[43:24.440] 看看好。
[43:26.910] 等等。
[43:29.000] 完了然后
[43:31.070] 今天回到那个单位可能估价还出来，抵押贷款三天也我刚才拍了张照片给人家，人家到多少钱了，
[43:39.730] 他们应该加上后台价值网群遍寻最高价。
[43:43.300] 白鸽后听GLC环保局检测那车卖了吗？
[43:48.900] 他圆圆的还那不是围栏围着吗？
[43:57.020] 在旁边。
[44:00.040] 他不一样。
[44:07.820] 那是谁的？
[44:09.330] 你们看着现在看到的不是上面写着6A6B
[44:14.600] 环保检测，
[44:20.960] 谁知
[44:22.230] 但是
[44:25.460] 对，怎么了？
[44:29.050] 我知道了绥靖那个吗？
[44:31.400] 总共1600连一块债权等化解矛盾。
[44:37.200] 等一下，
[44:38.820] 我们刚才说的1600。
[44:41.590] 1600贷款的话，
[44:45.040] 行喂你听见了吧？
[44:50.840] 再确认一下。
[44:52.180] 基本上是这样。
[44:55.700] 行，然后我问一下，
[45:00.890] 对。
[45:02.270] 传统银行是吧？
[45:07.080] 不是，他一直以为二手车它跟人人车它是二手车。
[45:11.230] 人最想买个二手车。
[45:13.300] 结果他问我这车得交税，
[45:15.420] 他就不想要了。
[45:16.760] 怎么开会？
[45:20.280] 不是，等于说直接把门了，睡觉模式沟通过来给当时办的拿，当然交税当时看有
[45:29.110] 一个赠送过购置税，正常交往说彰显了。
[45:33.170] 听一下。
[45:34.010] 说到时候电车回来了，行好勒。
[45:37.770] 拜拜卖了。
[45:41.600] 这不是环保的车，这是
[45:46.140] 23曾经发生故障是吧？对。
[45:51.230] 不是，他是电磁什么变速箱报电气故障码，换了一个小板铁，
[45:57.370] 救生衣模块升级了一个模块，不写了吗？已更换，那叙述交了等于咱不用交税了。
[46:04.820] 车船税不用交，200多块钱，车船不用不对，正常行车也那边交纳，没有寻常。
[46:12.650] 睡你得调试新车，对。
[46:15.000] 出院的。
[46:16.150] 后来开开了一个单位，
[46:18.670] 就有一个阀体损坏是不是号里面的，但是现在奔驰比较严谨，这必须得说，
[46:24.650] 他维修记录好多不行，一般就把单子上海行用心的是吧？
[46:30.950] 校园
[46:32.370] 发展的优势，对，他肯定入市没测试，这不写的吗？
[46:36.760] 升级了电脑，然后他又加了2年吃饱了，但是6年的保养6年免费保养，然后再加上研究对
[46:44.530] 1600 48对就3月3D，然后把山上咱们家放羊的是就像一块夹心层都是真的骄傲，这些都
[46:56.480] 里边
[46:57.370] 看看也就算了，这就说明了
[47:00.630] 所以我专业的角度不知道。
[47:03.080] 应该没事，他开车肯定没事儿，就怕你怕捣乱，明白吗？但是
[47:09.050] 那不显得吗？远场索赔原厂的换什么？
[47:13.720] 变更香电话不换刚换的发起
[47:18.160] 模块，
[47:19.730] 如果让
[47:21.680] 但是你看姐都在这里，
[47:23.810] 他选车不是环保，
[47:28.060] 三谁巴公为啥可以报故障管理？
[47:31.850] 好勒，你先留一下。
[47:34.660] 对，你先问一下，选不
[47:36.660] 得先跟他说一下，问问他选不选这个颜色，他们能不能接受？
[47:45.260] 都有，对，而且正常新车连着交税，部长换了他
[47:50.220] 要
[47:51.680] 勉强您，不是我就看你们可以了，没有我直接给您，您是之前咨询的，我就天天了，人家说你要是说出来做的电话，天天在电话里面做，
[48:04.330] 什么颜色其实都行，我感觉还好。
[48:07.400] 我们是在如果您他说的对，咱们静开白了，
[48:12.240] 清楚，但是既然那种这也是白了，你说是吧？我都给你听，我总不能交
[48:18.450] 主。
[48:19.460] 还有一个如果他要买白的，你就让他选择黑，那是的飞那是的，不是这边能有保养吗？
[48:25.930] 报价单。
[48:27.750] 这样。
[48:28.910] 你要选综合类是不是下月来了吗？
[48:31.360] 太远保养什么就是什么保养，这不有一个两年保养，要不当月开票两年保养。
[48:37.940] 对这个乐队还有你问问您滴滴这个政策不知道会不会变吗？您就是说按商业走，等于咱们目前只能交订金，比如说定的也就是交易定金，然后等到七八月份
[48:52.550] 开票这意思吗？不是有车立马开票。
[48:56.410] 对，但是白飞不是你快点的，基本上不能交割，
[49:01.530] 但你要订的白中的不就得下月吗？
[49:05.230] 他保管不愿意做的吗？包括你的用户认可不都一样，我们你刚才怎么说这都是一样的。
[49:14.990] 咱们
[49:15.810] 他利率低，吸利率有变动，对他每个月跟政策不一样，4567因为分类疫情给大家推出过这个低息方案，
[49:24.310] 您看这是他要飞的，
[49:26.730] 明天到了我给你算了。
[49:28.830] 你旁边过去。
[49:36.180] 整体
[49:37.140] 原谅之前，所以S1走关系那车，然后他是交了车船税，那个车还能走不能进入吗？
[49:46.190] 贷款。
[49:50.790] 接下来又打错，老给你打。
[49:54.110] 怎么回事儿？
[49:56.690] 我估计是拜拜。
[50:13.130] 之前的绥靖lc有一个车船税没交了，
[50:17.080] 升级的控制单元那个车还能走奔竞吗？
[50:39.230] 51824车。
[50:41.100] 应该是。
[50:43.610] 号
[50:49.260] 开车那是只有一台现车了，周一台检查了。
[50:54.690] 对。
[50:56.460] 6月19号生产的，6月28号到的。
[51:03.060] 对。
[51:03.860] 剩下的就是7月，一个就是7月底，后边就是7月30号生产和8月20号生产的。
[51:13.390] 还没铲。
[51:15.590] 就正常的班。
[51:17.090] 新时代。
[51:18.170] 像7月30号这个药上估计得8月中下旬可以是吧？然后8月这个厂行好勒。
[51:25.370] 岸线河流6月9号。
[51:28.190] 6月28号。
[51:30.030] 这都不影响是吧？不影响新车，没想好的前车一出门你们都有。
[51:38.730] 问题是您还过来吗？要是合适的话您就是转定金。
[51:45.730] 行。
[51:47.010] 我们一会协议过来了，您加入一个微信方便，这手机号都没问题，它的价格随着师傅把车是多少，你加我微信给我通过一下。
[51:57.650] 我就按照活动价格，你哥他不能赶紧过户吗给你？
[52:01.480] 我他那批新车跟这也没关系。
[52:03.720] 但是
[52:05.050] 再打过来了，我觉得还是自己起码他所有的
[52:10.910] 我问一下您车上，咱们不是你这加油，它自动就
[52:16.670] 自动不是他那个东西没有水又滑，对就早上起来了您的那套手续，谁知
[52:25.390] 除了大绿本和深圳的什么从书本上
[52:29.210] 发票。
[52:30.600] 您好，手机下午活动，现在老师干了，你谁知
[52:36.320] 我联系什么的去明天留那天，咱们明天您今天听完了，您刚才介绍两个，一个有然后不断的交流，让开发商
[52:46.030] 我现在让他们P一下比较好。
[52:48.480] 没有意见。
[52:49.890] 我觉得没事，今天听说这次没打电话，还得同一点是我跟他们说的时候客户电话了，我给他发了一个预约，我的预约写的时候了，这个事儿决定我也贴，
[53:03.370] 所以明天会之前这头碰一下确认一下可以吧？
[53:07.140] 可以，主要还得讲他们走了，他更强管理西藏，看看完了怀念他们客户，回来可能
[53:14.670] 看到这样的。
[53:18.760] 我知道你我认为
[53:22.020] 你分之三。
[53:23.460] 还有问题我
[53:26.090] 这样我问你就是没用，你应该多用他你得拿出来了。
[53:32.990] 你也没用，有一个单子，包括什么事业，
