[00:00.000] 客户看A35，沃尔沃的哥们介绍过来，
[04:30.510] 基本上客户如果说一次赚了三四家店就特别烦，平时现在也这样，我刚来那会儿应该修改，我就去坏人看看电视一样，我都过来找你买了。
[04:38.980] 跟我说现在你妈的都以前是一
[04:41.460] 他的
[04:44.410] 不一样。
[04:45.320] 你啥三天两件事都
[04:46.760] 好多了，原来过去看一下，
[04:57.490] 我们这就订机票。
[04:59.590] 还有
[05:01.640] 天上朋友，
[05:02.800] 我要按照这今天走，
[05:04.840] 你也什么平衡公式？对他在这边走，然后ppi正常，
[05:09.990] 那不就像公司
[05:33.260] 王浩你
[05:34.860] A35是你卖了吗？
[05:37.530] 我车叫
[05:40.250] 这是什么？
[05:42.270] 我说
[05:43.240] 期货你这玩意咋聊，对不起，
[05:47.160] 然后再聊。
[05:52.390] 给定见。
[05:53.650] 有资源吗？
[05:59.430] 昨天买的那边。
[06:00.890] 昨天买的。
[06:02.130] 什么样呢？
[06:05.340] 烟草味道买2万块9。
[06:10.080] 不是你MB
[06:13.080] 人家也有
[06:14.480] 有必要。
[06:15.160] 你倒没有。
[06:16.650] 还有装饰的。
[06:18.110] 没有什么。
[06:19.580] 他
[06:20.640] 他对价格不
[06:21.650] 的对，你看我们说买2万多，你们都差不多都这样。
[06:24.760] 还得加入我明白他的。
[06:27.150] 所以
[06:28.320] 房价要没喝，
[06:53.850] 要不他妈48就
[06:55.780] 也是这样。
[06:57.030] 这多少钱你要各自选择，但是那行吗？
[07:00.850] 点操控没有。
[07:02.100] 选过来分B转换吗？是修修。
[07:05.080] 到时候回来又不能不
[07:07.060] 了，
[07:07.920] 不能不便宜的说40多4周都便宜，走不开30453还多少钱呢？
[07:13.710] A33A30.30多，
[07:25.880] 觉得I3700，
[07:30.630] 6%。
[07:31.800] 6。
[07:57.190] 小白。
[07:58.250] 没有多少。
[08:03.800] 等0.135。
[08:06.070] AA2052，
[08:29.400] 他有钱行。
[08:30.560] 有钱咱那行。
[08:37.930] 老爷子有时间我就去了。
[08:46.640] 特别客气。
[08:48.290] 我男朋友
[08:49.250] 虽然
[08:51.430] 我问了
[09:06.200] 低调人，
[09:10.520] 我都长那样。
[09:27.440] 我讲了
[09:35.400] 我还想着135有车的结果，
[09:38.570] 总之你俩
[09:40.860] 我也说不打电动车回来是ppc违约来的，
[09:44.420] 他接不回来我
[09:45.880] 他在bc的客户都走了，
[09:48.180] 什么都给他了，
[09:50.990] 让你介B她能接受准备。
[09:57.590] 我说你帮你，
[09:59.990] 所以500块的没动静，
[10:02.190] 你拉你
[10:12.960] 拿回去
[10:13.760] 组合一下你知道吧？
[10:15.770] 这啥什么地方也不知道，
[10:22.360] 他到这房间喝酒怎么样，我想去喝。
[10:25.590] 但是
[10:26.440] 我班20多块钱买都是自己招，
[10:37.470] 我已经消费100块了，咋
[10:40.080] 了没挪凳子吗？
[10:53.960] 我骑车看看桌上的字，拿来赶紧收去。
[10:57.160] 刚才我都下来了，我说琢磨我上去我再看看去，别你妈带来一下了。
