[00:10.940] 平时开着都没什么问题了，还行还可以。
[05:28.060] 数据。
[05:34.780] 数据。
[05:39.440] 花。
[05:43.140] 数据
[05:46.880] 的
[05:55.360] 花
[05:57.290] 五
[05:59.040] 的
[06:07.790] 数据。
[06:11.600] 9
[06:18.000] 数据
[06:19.740] 场
[06:25.990] 的
[06:28.870] 数据、
[06:33.150] 数据、
[06:38.260] 坏
[06:42.360] 坏数据，
[06:52.380] 场
[06:55.560] 坏。
[06:59.000] 坏
[07:01.350] 坏
[07:08.010] 数据
[07:09.130] 的
[07:13.160] 数据
[07:14.870] 的
[07:18.070] 数据
[07:24.800] 远
[07:27.670] 远场
[07:34.190] 场
[07:35.940] 远
[07:39.050] 场。
[07:48.440] 场
[07:49.340] 话
[08:02.920] 刚才店里的卡元系统里边帮您搜了一下，没有，我在上厂家的看一下是不是信息没同步过来，厂家也没有就买车库就没改。
[08:17.580] 然后我再给您报保养的费用，
[08:21.260] 帮您核实好了。
[08:23.720] 没事。
[08:34.430] 号
[08:37.080] 五
[08:40.740] 稍微等我一会。
[08:43.530] 您能稍微等我几分钟，电话是135的号吗？
[08:48.500] 135。
[08:49.980] M611353129是这。
[08:54.420] 行，您要不等会，我一会给你打电话，不好意思，同时也结束了。
[09:02.110] 您办完了我再联系。
[09:06.180] 撞车。
[09:11.720] 2131861L
[09:15.470] 389381。
[09:19.930] 坏。
[09:20.920] 坏数据。
[09:28.120] 都没有给您报个价。
[09:37.080] 上面
[09:39.160] 咱们正常保养的话就是A保B保，然后手宝从A宝开始做。
[09:48.540] 我
[09:51.770] 你上我可以先给您办完了，您到时候接完车您再去问问，因为我确实两
[10:00.340] 我知道地方都查了，都没看到。
[10:06.470] 如果他当时已经都录到系统里的话，那没问题，我肯定能查得到。
[10:15.240] 然后现在就大概跟您说一下，这个月我们公司也在推出两个活动，
[10:22.170] 一个叫保养少花钱，就是什么意思？就是说因为正常咱们现在所有的保养项目正常来说也是享受厂家的套餐价，
[10:31.400] 然后我们店也就是说在他厂家套餐价基础上，工时这方面还能再给您打一个85折，
[10:38.660] 意思是什么？它是相当于两两2000一包两次B保的算是一个预存。
[10:47.020] 这个话它会有一个我们打完工时8折以后有一个售价，
[10:52.430] 会比您每次走套餐还会划算一点，然后同时
[10:58.330] 目前这个月也会搞促销活动，就是说会送一些保养项目，比如说前面水箱冷凝器的一个清洁，因为刚才咱们看了水乡比较高，丹青
[11:08.770] 也是
[11:09.900] 会有额外收费的，我这个月我们有活动会送给您。
[11:13.800] 然后我刚才我帮您查一下，咱们这车如果参加活动，
[11:20.590] 1350是吧？
[11:22.640] 四驱，
[11:23.900] 也就说咱们一组保养就是一个A保一个B宝，那么这两个一一大一小加一块，如果按厂家的套餐价走势2646，
[11:32.700] 那么咱们如果参加房少花钱的活动也就是两次，
[11:36.510] 两两两组就相当于两组的话，走完工时85折以后是4954，比如4954，您可以做4次基础类的保养，
[11:46.840] 这也是每次悼念，比如说每年
[11:49.960] 或每1万公里咱们需要做的一个项目，
[11:52.660] 也算是相当于预存一个
[11:56.340] 那就一层一个4000 4954块钱，您先交这个钱，5000块钱咱就娶个涨5000块钱，
[12:03.580] 未来的41万到4万的保养都有了，而且今天咱们这保养先可以用一次，
[12:09.430] 排成三次，而且按您使用情况估计一年差不多得做两个月保养。
[12:14.840] 两年也差不多了，行吧？
[12:18.250] 我这边我先给您走，如果能找着想咱们在这如果那边确实说比如买车当时没给您，我觉得这是如果早今往后
[12:27.190] 走进去不可以都可以，你找包养也可以留在后边。
[12:32.490] 没关系这个东西。
[12:34.020] 完了咱今儿就喂饱网，其实简单来说就是换机油机还有环境纪律，然后
[12:39.720] 来让他把水箱给您清了，清一点营造新情况也确实有毛8，对，你这
[12:45.860] 春天没办法，对，因为咱们散热的隔山开度也比别的稍微大一点，因为奔驰的发动机本来也属于那种高热型发动机，所以它需要一个良好的反射。
[12:58.290] 产品还有完了。
[13:01.130] 然后还有一个活动，为什么跟你说两个活动，一个叫保养少花钱，一个叫做出险有补偿，
[13:06.850] 出现有补偿，刚才比如说我接车的时候，咱们前杠虽然贴着车一了，但是7肯定受损了，
[13:13.810] 受损以后像咱们平常之前肯定就是说想修这块期的话，走自己的划痕险就修了，对吧？
[13:21.070] 那么现在为什么要出现有补偿？它的名字叫代步车补偿险，其实叫本存折乡里。
[13:28.250] 为什么这么说？为什么要补偿？
[13:30.230] 就是说您去一个代步车险，那么您正常报您的房产来修车，
[13:35.090] OK好，交一个1500块钱跟正常保险一样一年，
[13:40.180] 他是从哪天交开始算，跟您之前商检不沾边，
[13:43.950] 等待一个15天往外维修，那么您每次过来正常出险维修可以获赔一个2500块钱的现金，
[13:52.180] 这个是之前没有的，有时间也就是说您报险修了你就修了，现在您不光修修还能拿到钱。
[13:59.060] 比如说基本上咱们比如说现在眼目前如果您想把钱搞重新喷下漆，
[14:04.080] 您就把这就是交一个千五回2500还能剩下换个
[14:09.630] 这半个车一就不行了，车一咱们这车E不属于保险公司范畴，因为保险公司也不赔车，
[14:17.050] 只是对于比如说疯涨裂了，
[14:20.430] 有玻璃险对吧？你说正常手机的保险流程，
[14:24.320] 或者是追尾对方责任也可以来，只要您来百利修车，甭管不是您的责任，
[14:32.350] 出险正常出险修车就可以获赔了钱，所以为什么要出险有补偿是吧？
[14:37.910] 就这样两个活动。
[14:40.510] 这个一个是关于咱们车辆保养的，一个是关于咱们车辆出险的，也算算是贴合咱们
[14:48.650] 用车的一个实际的情况，对吧？
[14:52.730] 对。
[14:53.810] 然后公司月精心制定两个活动，
[14:57.960] 可是这个倒还合适，因为这个是直接返给咱们，说白了直接返给他们现金下来了。
[15:05.320] 之前反正没有这个的时候也就出险了。
[15:11.600] 这样的话，
[15:13.600] 一方面可能是鼓励咱们客户
[15:16.300] 保险别白交了，每年
[15:19.310] 咱们该出险出险，
[15:21.500] 然后尽可能的把一个修车期间的交通的
[15:27.060] 不变的损失，还有一个保险的损失帮您做一个弥补。
[15:32.490] 就是这个目的
[15:37.430] 您可以考虑一下，这个也是直接去我们保险不投保就可以，
[15:43.180] 然后15天以后就可以着手过来报案维修了。
[15:47.870] 然后修到修完以后，他就会把这个钱到时候就直接返给您了。
[15:54.190] 我说为什么这个不在你了？
[15:57.540] 这个得我需要我带您去保险不上去，因为保险部会单独给您开一份合同，一个叫做反文章相比的合同，
[16:05.560] 像刚才保养这方面都是我来给您做就可以了，
[16:10.640] 然后我这边打个取车单给您就可以了。
[16:28.300] 因为有的时候估计要贴车衣，您前边要是不平的话，车一他也贴不了。
[16:34.350] 因为前提是车身必须
[16:39.760] 完成。
[16:49.750] 咱们头批过来的手宝也简单，项目也少，然后估计闪过投钱就能完事儿。
[16:58.030] 然后咱们所有的费用都是取车的时候，您再交就可以了，对。
[17:03.220] 对吧？
[17:05.030] 第二，
[17:10.530] 新时期阳光，对我给您写上，而且也是直接行，您不用钱花就拿，对您拿着他就行了。
[17:19.590] 完事我会给您打电话打，然后保养那是您待会再问问，完了有什么事您告诉我，完了我这边到处正常给您开活动，就这4次的。
[17:30.510] 然后专享礼这事你也可以考虑一下，
[17:33.440] 如果需要的话，需要拿着行驶证，
[17:36.500] 身份证还有一个商业险保单，然后我就直接带您过去找专员，咱们会续续一个专享比较。
[17:44.890] 反正一年的时间也是吧，1500块钱也不贵，反正出一次险就回本了，行行好吧？
[17:52.850] 您考虑一下。
[18:04.650] 然后让人发现了我怎么办，我还管
[18:12.320] 原来的三
[18:16.720] 我知道数据。
[18:32.420] 远远
[18:38.060] 走
[18:45.690] 走。
[18:47.250] 再说一下。
[18:50.410] 等会儿。
[18:53.220] 卡。
[18:56.470] 数据
[18:58.840] 场。
[18:59.660] 数据
[19:02.640] 的
[19:04.680] prs
[19:08.680] K28。
[19:11.120] 李杰。
[19:17.460] 批量C接收剥离部分水礼节，
[19:26.200] 说一下。
[19:29.770] 你给
[19:33.300] 二
[19:38.160] 把
