[00:00.050] 电话。
[23:38.340] 差不多这两款一样。
[23:43.700] 现在只有白色的颜色。
[23:46.080] 现在就这一台，白色的也就是那一台。
[23:50.590] 这种车比较少，
[23:54.210] 这属于轿车，所谓
[23:57.100] 这是SUV。
[23:59.060] 就做一在这行吗？没事我还专门看。
[24:08.010] 三
[24:17.450] 好好的
[24:31.520] 可能优惠了
[25:14.110] 在这能找到这
[25:39.560] 要。
[25:41.490] 性能要好，这是八钢的对。
[25:45.570] 他们在北京城里门票吗？
[25:47.680] 不是，你开
[25:49.960] 没人会拿它去跑起来，就是稳定性，你跟车跟6缸车你坐里面的感觉声音什么那些都不一样。
[25:58.510] 这个比
[26:00.470] 这比那便宜这90。
[26:04.170] 91。
[26:05.270] 那个和108吗？
[26:07.160] 便宜17万。
[26:20.930] 它也属于SUV，SUV，
[26:25.270] 全价也是空气悬架。
[26:30.910] 它的高度是自动调的。
[26:32.780] 根据路况。
[26:34.240] 对。
[26:35.720] 是我们这调好它是自动。
[26:38.820] 谁知
[26:41.910] 包括他简单的软和硬都可以自动
[26:46.800] 你再说说跟还有什么不同的车？
[26:49.900] 这个跟
[26:51.550] 他应该品质会更个有钱各有千秋，就是说它的特点就是你像它的发动机，
[26:59.210] 它是8缸的吗？20T它的发动机是不是流水线下来的，是个人那种组装
[27:06.000] 下来的一人一机，
[27:10.240] 从头到尾
[27:12.740] 从头到尾他的
[27:14.220] 发动机的组装都是由一个人来做的，这是emc的一个特点核心的地方，然后整个内饰做工什么这些都是手工做的。
[27:22.560] 所以而且这个是八钢的，也是奔驰现在AMD用的最成熟最稳定的一款发动机，可以说是
[27:29.700] 油耗包括提速这些都没问题，提速很快应该在4点
[27:35.020] 44.28我记得是百公里加速很快，然后同时它SUV也是全时4驱，
[27:41.700] 你甭管在血路，还是说这语录或者说冰的路面，它抓dd也非常好，因为轮胎也宽，
[27:49.170] 对，轮胎也宽。
[27:52.360] 轮毂也非常大，他
[27:55.060] 宽嘴巴应该也觉得这个是26545
[27:59.470] 20的，
[28:00.580] 后边雨量还大，
[28:03.730] 后边那是295的，前后不一边宽，
[28:06.900] 然后不一样，这两个事儿这俩不一样，那是国产的，对，这是进口的。
[28:13.570] 这是纯德国生产的，而且它用的漆也不一样，用的漆
[28:18.950] 一般白色的车的漆都是普通期，但是它可以做成金属，
[28:23.480] 旗面会更硬更亮一些，
[28:25.720] 给人别人划了也不是一样。
[28:28.190] 咱没说华一期本身就都怕滑，整个说咱不花洗干净放在这好看。
[28:34.530] 排斥。
[28:38.080] 之前有一个白色，现在就一台白色的，
[28:57.700] 像她这里头用的皮都是真皮桌椅，
[29:01.040] 你的后备箱可以，咱们从后面打开，
[29:09.400] 这种态势
[29:11.350] 不干了，
[29:36.760] 不要白色的，没有别的色。
[29:38.340] 行，就这一台，而且这种车
[29:42.450] 别的电视还有费用。
[29:45.510] 现在我了解的北京市场都是白色的多，对，没有其他颜色这种车。
[29:57.990] 这车其它颜色也不太好看。
[30:01.470] 你像他车颜色好看，你要这个车要换成白色的，
[30:06.240] 就不好看了。
[30:07.530] 车型。
[30:14.100] 这个可以吗？
[30:16.520] 怎么着这车？
[30:18.100] 的确挺好看的，特别精致，因为这个车是这款里的最顶配的，你像他原厂的这种
[30:25.410] 黄色的拉花什么这些都属于这款车的一个标配，
[30:28.410] 它的性能比他还要好一些，因为毕竟它要比它又贵了将近20万。
[30:34.210] 30。
[30:36.370] 120
[30:39.230] 它像它用开了
[30:42.060] 它这款车整个的发动机功率努力会比那要大，而且用了刹车
[30:46.760] 比刹车也要要好一些，座椅
[30:51.550] 完全又不一样，
[30:56.870] 这是一顶配。
[31:05.710] 的。
[31:07.010] 明显感觉里头做空就精细了是吧？
[31:23.330] 坐下吗？
[31:25.950] 中
[31:27.110] 它其实
[31:28.760] 他申购了
[31:32.630] 他这个空间其实用也够用，
[31:35.590] 因为他设计后面刘备的射精，可能您会觉得后排空间小，但后备箱打开你看也不
[31:45.350] 平时您就说家用放一些东西完全够用了，
[31:49.520] 下面没有备胎都可以放东西的。
[31:54.130] 对。
[31:55.120] 我们俩人都撞。
[31:57.400] 你那空间要大点，或者你挨着我，我挨着你觉得太高估了，
[32:03.010] 但是天空音乐可能就很大
[32:05.780] 了，但是您又觉得大了开着是吗？
[32:08.630] 我坐里面前面看不见，我个儿不高，我觉得他特别对我来说有点大，
[32:14.120] 他在小的就是这个了。
[32:17.210] 这颜色觉得没有挑的。
[32:20.720] 可能
[32:23.440] 这个和其实两个前排都差不了太多。
[32:26.780] 后排稍微大一点，头部后排完整，对，他说是因为他空的机会萍过来，这是刘备下来，
[32:36.910] 但是外观比外观好看不清楚，对。
[32:42.250] 谁知。
[32:43.480] 对。
[32:45.050] 反正永远都是好看跟实用，不能
[32:48.680] 兼顾。
[32:51.310] 食用了肯定就不好看了。
[32:53.310] 你看它那个毛看看，
[32:59.080] 但是我们家都更高生态。
[33:03.040] 所以你
[33:05.070] 还要后面的做生意。
[33:08.120] 他觉得
[33:09.160] 这是和细长的。
[33:11.350] 帮我推荐一天，晚上看到空间，如果空间大，像您说的说是家里都比较壮的话，
[33:18.810] 反正你还是我挨着你的，如果觉得大那就是这个了。
[33:23.860] 这个比稍微好一点，你要是那个的话，
[33:27.830] 经常是您一个人开吗？还是说是平时很坐很多人，还是大部分您一个人在开饵出去？
[33:34.300] 大夫就我一个人开，您就不用考虑家里人，您就考虑自己就行了。
[33:38.800] 因为大部分是您自己在用车，家里人给您做的时候，基本上也都是短途或者城区，
[33:45.270] 这些。
[33:46.140] 对，所以说您要考虑您
[33:48.680] 好长队不保程度，
[33:50.720] 您要考虑您就行了，你好多人都进了误区，说为了家里面那位老人什么这些，但是你真正能用几回？
[33:57.720] 等一下我的稍等。
[34:10.490] 为
[34:12.930] 我就怎么着。
[34:20.870] 你甭管了，我教行真挂了。
[34:26.840] 行我知道挂了。
[34:30.910] 你爸听说
[34:32.890] 那个车太高。
[34:34.280] 我上这个车
[34:37.170] 因为那个车太高了，我靠不开，看不清前面这没问题，你那座椅调一下。
[34:43.190] 您没事上我给您调。
[34:46.540] 您调好开着没问题。
[34:50.860] 高低合适吗？
[34:52.790] 可以，您往后坐，对，靠在那上面，我给您调到合适的位置。
[35:01.050] 这种
[35:02.670] 这边重新补了一部分是我也哪
[35:06.640] 前面堵了一块是这样的吗？对，是鼓出来了，是有一点。
[35:11.300] 有点鼓着。
[35:13.130] 那个车太大，这角度合适吗？
[35:16.510] 但是您这么开行能开吗？这方程高低也能。
[35:19.990] 前后轮子也可以调是吧？
[35:23.460] 轮高跌它自动的，他剪空气悬架他自己就调高低了，自动根据路况。
[35:31.030] 人家如果是屏幕一直他都是那个样子，比如你现在这么高，您时速100 100以上的时候，它自己就低了，
[35:39.140] 您越快他越低，
[35:40.950] 他给你的时速来判定你这个高度，这也是运作运动作业队，
[35:47.860] 但是没有那个运动对吧？稍等我接个电话。
[35:53.400] 先生。
[35:55.120] A
[36:00.990] 恩。
[36:13.700] 别被逮着。没事儿。
[36:18.850] 早晨没事，就是你从那完事往回走的时候，你要是说在那等着，你说等他办个手续，你回来他就给你一个临牌，就怕你在那等不了那么长时间。
[36:27.860] 他真要说说下午3点这里面才出来，您不能说
[36:31.320] 比如说中午12点说您可以回来了，可以回来贴膜了，
[36:34.490] 您这没
[36:37.520] 到我这儿。
[36:39.840] 到我这。
[36:41.610] 我要不然就别办了，你再折腾一趟，我觉得什么你明天直接去就行了，然后你回来的时候直接
[36:48.630] 左边警察直接开回店里了，就这一咕噜。
[36:53.380] 了
[36:54.220] 没事。
[36:55.560] 对，要不然你就直接就回家，然后等临牌它弄完回来之后，我给你发个快递给您发过去，您再过来。
[37:13.240] 对，甭折腾了，明天早上你直接去验车去。
[37:18.870] 对，南四环我微信发给您了，您看一眼。
[37:24.070] 就是7321。
[37:25.440] 那就是7421，
[37:27.240] 南四环再奔南走，快到南五环了。
[37:35.190] 行地址联系人时间就按去
[37:38.760] 看。
[37:40.330] 他门口他那检测厂万钱，咱从那集第二大集合完了之后，往前溜达100米就到了。
[37:51.460] 明天我看一下奔驰应该得够15个了，还不算奥迪、保时捷、
[37:57.080] 沃尔沃，
[38:00.440] 没问题，他们那三四个人干着活。
[38:04.650] 行了，有事你给我打，但是您身份证明儿就好吧，好勒再见先生。
[38:13.400] 不好意思。
[38:14.950] 这个最低价钱多少钱，最多少钱，我给您看一下。
[38:21.870] 您都是上北京条，当时您问您。
[38:31.240] 我们跟那个一样吗？
[38:32.420] 这个比那还宽。
[38:33.960] 这个门比那个时候还宽。
[38:35.920] 对。
[38:36.730] 这比那性能又好。
[38:40.660] 假如C63口本，
[38:43.750] 128万 88的
[38:46.360] 知道家是吧？
[38:50.480] 15。
[38:51.910] 1,288,800。
[38:54.280] 288,800。
[38:57.070] 15万。
[39:00.160] 1,138,000。
[39:01.440] 跟比91差10 10，没有。
[39:07.380] 14号。
[39:09.800] 对，那是91~113。
[39:12.350] 可是我平时
[39:14.680] 消耗量也不大的产品转圈，
[39:17.560] 觉得
[39:18.620] 这是不是买的有点可惜，也不在外面跑的话可挺可惜的，不是说可惜不可惜，您想的东西不一样，您说您在城区住一个别墅，跟在城区住一个
[39:29.000] 塔楼都是住这一方的地方，但是您住的感觉不一样，对不对？就一个东西您买的是一个8层4207，平时城区这么开，您买20T的平时也这么开，但是给您带来地感觉是不一样的。
[39:39.730] 这种感觉。
[39:46.260] 顶级8买的就是精致，
[39:49.550] 包括座椅什么用这些，只有这顶配的才是这样的。
[39:53.550] 包括它的碳纤维内饰，
[39:55.630] 这都是工作。
[39:58.610] 这个配色应该外面都看不到。
[40:01.070] 这种
[40:02.850] 红色黄色的这种风险，
[40:06.010] 包括外观也非常的红色，
[40:14.370] 一到顶配的段订购，
[40:16.800] 这个很好地贴上，
[40:18.640] 其实很贴上。
[40:20.300] 哪个基本上一样，但是要不然的吗用什么正常洗车什么那些都没用，这个野田对。
[40:27.630] 开一样，他喷的漆不得了不？
[40:34.520] 他那些法学不会掉不会亮，您只要不要管控你们这些
[40:40.390] 正常洗车，甭管怎么洗不掉，
[40:43.370] 挂不到别怨人家这个了。
[40:49.530] 这地方baby
[40:53.160] 这个机制精致，二是动力性的采访，然后
[40:58.230] 四驱也不一样，他似趋势公开去加上的话，
[41:02.680] 所以加上一般的四驱都是红A点，没有红色的加号，她四驱的前后输出这个值是可以自动来条的。
[41:10.640] 你比如说前轮打滑了，两个都打滑了，他把所有缸机动力完全传到后边，
[41:15.620] 这样自动来切换。
[41:17.750] 而且包括用的这些刹车制动效果，你可能
[41:21.100] 一般的车100迈的时候，百分之成功率在40米，你要踩到死可能也就35 33米，我都感觉。
[41:28.460] 因为它发出强还是比较大。
[41:33.970] 包括用的黄灯这些都是
[41:36.480] 402是吧？
[41:37.570] 4.0
[41:39.340] 双
[41:46.290] 然后我把发动机打开，您看一下它发动机一人一机怎么做的，上面都有工程师的签名，
[42:02.690] 过来
[42:03.640] 交流热播，
[42:06.850] 在德国
[42:08.270] 德国它有一个mg的工厂吗？
[42:11.060] 德国现在这个是工程师的名字，像这种工程师在德国应该是有180名的一个工程师，但是坐63发动机的现在应该值不到
[42:20.480] 不到40，比如说做专门的组装8缸4.0T的发动机，它每每台车的
[42:26.560] 这个名字都会打在这个上面，
[42:29.670] 比A包里面还挺不错，对，因为毕竟发动机比较大，而且它是双涡轮增压的发动机，
[42:37.230] 两个增压器都在这个位置。
[42:42.400] 电子配置也非常的全了，像什么自动刹车，自适应巡航跟车这些都是一些顶配的都会有。
[42:50.440] 其实这里面
[42:51.800] 好多都是没用会有用，您真正用的时候您就知道，其实根本就用不上。
[42:57.610] 在北京城里打一会那次去下雪的时候，北京一年能下去，
[43:04.670] 下雪
[43:11.990] 开
[43:14.330] 黄金周等
[43:15.970] 我怎么就完了。
[43:21.400] 我儿子看看，
[43:23.520] 看不见了什么？
[43:25.830] 你儿子喜欢车？
[43:27.600] 反正在美国，
[43:30.090] 他应该美国买车便宜。
[43:32.190] 没有他怎么说我那个车小，他让我买个空间大点，你现在开的不是SUV哪款，我看的是奥迪SQQ3Q我买了好多年了，
[43:45.660] 所以我就想
[43:48.700] 他说你要不然就买一个轿车，
[43:52.260] 后来但是我觉得您开关SUV可能开轿车有点会，
[43:56.440] 短时间适应不过来，因为轿车的作业是跟坑似的，现在就是一个奥迪A8没有4大车就晕，视野什么的没有。
[44:05.760] 但是我也看着要宽阔一下，车也挺大的，我想买一个
[44:11.080] 当然我觉得这个里面好热好的好东西我用不上，才觉得
[44:15.070] 那个车挺好，但他们说太大了。
[44:17.870] 要完成这个事儿，对，要拿着白色的。
[44:23.030] 你白色
[44:24.530] 不行。
[44:27.100] 铁你要是真是不喜欢那颜色，你先说我的车也是黑的，你不要买个黑的，我说买个白的或者蓝色的那种，
[44:35.420] 他说有一个金色的金色好像是差股，
[44:39.540] 宝马叉5在翻译出来一个君子谦谦的奥迪，奔驰好像没有，
[44:44.460] 风光宝马一般金色多奔驰也有金色，但是那种金色我觉得现在
[44:49.950] 不太流行了，的颜色多，对阳光山辉，
[44:53.170] 这叫什么？
[44:53.770] 亚光扇灰，晚上亚光扇灰，不是水泥，我们的水平微水泥会高兴不咱
[45:02.630] 官方叫亚光删徽，臼浇水泥灰，
[45:06.440] 他漆都是亚光的，你看了吗？
[45:09.300] 摸着感觉都不一样，光扇灰。
[45:12.830] 这样
[45:18.730] 反正
[45:19.960] 这两个
[45:22.560] 那个地方不考虑太高了，太大了我问您驾驭不了。
[45:27.000] 但是不能太高了，人人
[45:31.440] 两个其实您要平时自己开，都是家里做人的话够用的。
[45:36.090] 完全够用。
[45:37.360] 什么用？
[45:39.090] 大小空间性能。
[45:42.710] 轴距是
[45:44.350] 两米
[45:45.510] 740我记得好像是。
[45:48.180] 车长是4米6，
[45:51.820] 4米6多一点。
[45:54.460] 46618。
[45:58.770] 这事不放吗？
[46:00.280] 国产的。
[46:01.500] 我就不反对，小我估计您坐里头跟您现在做哪一笔，您一般还I
[46:11.640] 我们去保时捷看就定这两个模型，下次过来找你，行行。
[46:17.440] 好，咱们留着电梯下去好吧？来咱加个微信吗？可以。
[46:22.120] 你有什么直接微信，你记得我别下次我再找你，我明白，来看哪个车我都忘了，我一会
[46:28.290] 发给您您
[46:29.770] 我站到die我心上来，行，你扫我一下。
[46:34.110] 33。
[46:39.350] 你能骗女孩的名字？
[46:44.920] 信号不太好吧，发个
[46:52.070] 可以了按语好。
[46:55.270] 然后完了以后，
[46:57.550] 我要把我的车号你们都画出来了，车号
[47:02.020] 不型号不知道什么东西。
[47:04.990] 您说行行不用，我记得我们后台，我说这两个你要把G
[47:11.680] 你看必要系上这个型号什么的，就加入C交C的63这俩字叫角C63，一个是coupe，一个是普通的。
[47:20.460] 这个突破就是酷版，就是裤边运动版本的，这个是标准版本，主要就是外观不同。
[47:26.720] 对，我一会发给您，我发给您，还有我现在和儿子看出来，行行。
[47:32.530] 照片什么的我还用什么都发给我，行，我把两个对好，我一会微信。
[47:42.220] 宝洁那边有熟悉的销售吗？
[47:44.360] 没有，我给您介绍一个跟我关系比较好的，就是你们这个楼对我们这院的，我给他打一电话。
[47:51.830] 来您在这边我带您先去洗手间。
[47:54.370] 谁知
[48:06.620] 直走右手边，就是在这边打得特别晚。
[48:09.430] 出来对，完事等您直走右手边。
[48:12.150] 好了。
[48:13.050] 上班吗是吧？
[48:15.190] 我一会儿再接待一客户，然后
[48:18.010] 看omg，看完M记来看看保时捷，我让他过来找你。
[48:22.950] 好勒OK。
[48:27.920] 您先生您记一下这电话，到时候您到保时捷那约联系他就行了，明天给他打电话了。
[48:33.840] 13913910171017263。
[48:39.460] 139101763，对石磊我是介绍过，刚才跟他说了。
[48:46.130] 你跟他说，因为他行。
[48:50.870] 别人都会了吗？
[48:52.700] 现在这两款基本上给我们优惠都是算比较大的，优惠10万，一个有个15万。
[48:58.490] 然后还有什么？
[49:00.850] 现在应该是首保什么，这些都是免费的。
[49:04.320] 这两款车。
[49:05.380] 其他的没了，像什么圆场，什么脚垫、后备箱垫，这肯定是基本都会给您配齐了。
[49:11.640] 没什么可配的，也这种车是吗？了一下。
[49:40.840] 你比如说mm是400改款了是吧？
[49:46.900] 停产
[49:59.930] 100多，
[50:00.960] 把他踢了5块，
[50:02.540] 能换个10多万。
[50:04.370] 哪年呢？
[50:05.670] 10年。
[50:07.370] 才跑了4米。
[50:09.300] 2007的是吧？
[50:12.820] 按明细顶配的能换10多万了。
[50:18.640] 10
[50:19.660] 10万上下。
[50:21.160] 你10万块钱肯定能换的，对，10多万不好说，10多万你说15我也答不了。
[50:28.070] 10年的
[50:29.200] 10年了，那10年才跑了4万块钱，你
[50:33.270] 连灯那就
[50:35.910] 他们按什么？
[50:37.470] 按年限。
[50:39.520] 公里数少，
[50:41.150] 会比同年限会高卖一点，但不会高太多。
[50:45.970] 毕竟10年您想您5您要是6年的时候
[50:50.660] 能卖一半，因为现在新的Q5 31 31，你要6年的车能卖15，
[50:57.380] 6年的车14年1
[51:00.320] 114年14年的车现在能卖15，您是10年的。
[51:04.190] 那也就10万一年。
[51:05.760] 2010年8200费了，对也就10万差不多了，我才跑了41,000。
[51:12.590] 什么颜色的？
[51:14.010] 那个叫什么达堪米。
[51:17.790] 那种金色的外观是金色的，对。
[51:23.410] 好多人少，那车的利用率其实不是很高，
[51:27.080] 先送孩子上学，送孩子去美国了，也没得送买这换车干嘛，因为工作需要还是是因为
[51:35.270] 他那个指标是借朋友的，
[51:38.140] 然后前两天不是有说什么一个人名下一只有一台车，因为他如果假如说要实施的话，
[51:47.440] 说是要试试，这不就
[51:50.850] 在报废的话就没指标了。
[51:53.840] 保胎对。
[51:55.720] 你要是
[51:57.580] 他没考虑，如果说就是说你那Q5如果你不卖的话，在你名下不他名下他们明天没有材料，就是说你如果实施的话，你在
[52:07.240] 你要不卖你就一直开到废了，对除非你现在换了之后的话，
[52:11.440] 一样你要在开通费再说天不行，对，那基本我不换了，几乎基本上就不用换车了。
[52:19.390] 就是这意思，没别的要说。
[52:22.080] 我听到这话，
[52:23.580] 那就换一个一步到位的，
[52:26.440] 短时间内换一个不会再换的车了，就到时你别买两天又后悔了。
[52:30.870] 是现在就说说万一要实施的话，他也是他说什么，
[52:36.320] 因为他借他那个朋友你想一下有好多车，然后不是说只能过户给父母，子女
[52:43.630] 又过户不了那么出去。
[52:45.960] 他不借了个主任，
[52:49.020] 他就一个孩子一个家的死了还是的
[52:56.090] 了。
[52:57.830] 他来了之后也拿了，然后看着
[53:01.870] 小时候还有
[53:03.200] 好医生。
[53:06.250] 35 3 3 33页。
[53:14.220] 你们那个要求，然后
[53:17.000] 要是你从那里直走就是奥迪，
[53:20.850] 奥迪现在可便宜了，
[53:23.710] 是吧？
[53:27.240] 要不然买的就是对这两年奔驰卖的头确实活两年，你看马路奔驰车的多，
[53:33.440] 因为
[53:34.720] 可能还是因为产品
[53:38.210] 你看奥迪Q5
[53:40.660] 对标奔驰的是加入C
[53:42.800] 角C跟Q放在一起肯定是交cm，I就是浩瀚，
[53:47.080] 但是卖得最多还是
[53:50.160] 我没有将C平台Q我的奥迪的销量在走下坡，奥迪帮派一直现在都在走上坡，
