[00:01.900] 汽车交车就可以了吧。
[09:01.730] 其实上礼拜我们还在聊这个事儿，然后他这个礼拜一我去跟他聊，还是他是我领导的，还是到一个地方这个报告这事，然后他说
[09:12.060] 他把那钱先还了房子了，他得等他行没问题，反正就到时候那什么了。
[09:18.090] 他说你不能说就来，
[09:22.000] 百得利再上去就好，行行，谢谢。
[09:26.420] 谢谢。
[09:27.270] 谢大哥呢？
[09:28.530] 谁知咱们做我知道您看鲜花我给你，他待会回来到快点。
[09:34.790] 我觉得这很知道，就像你千万别跟您朋友说给了您这么多保养就行了。
[09:40.640] 谢谢。
[09:42.160] 等下我给您发过去，您收到
[09:45.100] 一个说明，你没有文化走了。
[09:49.590] 受伤人员
[09:50.920] 每个人口是2万，然后华简单
[09:55.500] 是保持没有了，然后还有玻璃险，
[09:59.700] 从小到第三方，
[10:01.440] 然后接下来就像的人才，
[10:04.420] 加上有关的资料分析清楚了，在这点对了，
[10:10.410] 点它，然后点击打开网址是吧？
[10:16.340] 完了然后下一步。
[10:18.040] 我现在签了是吧？您现在千还是等一下，行行，反正那待会点着就行了，好好。
[10:28.310] 产品
[10:44.360] 的
[10:50.300] 没事不着急等一会。
[10:57.430] 没事。
[10:58.620] 给我爸这边。
[11:04.100] 您看一眼装东西上还是现在
[11:24.590] 跟我说1万次。
[11:26.140] 北京周六
[11:27.980] 公司在
[11:29.490] 你千万
[11:33.030] 他这给我发过来就不是特别清楚。
[11:35.510] 我不知道您能不能把
[11:39.770] 如果我现在想我现在还有什么事情要做，现在就是我打单子，咱们单子你再签个字，然后咱们去交钱开票就行了，等着二手车我联系他了。
[11:49.600] 我先把这个就按这么来了，就先签没钱
[11:54.600] 了。
[11:55.850] 你还有问题您问您朋友他问问。
[11:59.240] 艳了，问问一下问一下。
[12:03.160] 零七百。
[12:05.360] 但是相信他们950相同点是加一个运费，一共是11,850块。
[12:11.980] 包括这个模式后面的通过的主要工作，
[12:20.410] 还是放大的不同的模特质量差别在哪？
[12:24.440] 主要调节的隔热和防炮。
[12:27.310] 焦点没事你等等一下等他，因为这单子一旦打完之后就没法改了。
[12:33.710] 这样
[12:35.320] 900。
[12:36.620] 再加一点。
[12:38.010] 950就200多，我能问你一个问题吗？能够看看为什么录不进去呢？
[12:47.350] 讲
[12:54.950] 数据。
[13:05.340] 要
[13:18.120] 的。
[13:20.150] 上来了。
[13:32.430] 这个不是说
[13:34.790] 说明了
[13:37.420] 谁知
[13:47.200] 说。
[13:50.330] 您是张小波我这边。
[13:53.880] 我二哥你好。
[13:59.890] 好
[14:05.080] 把这签一些。
[14:18.480] 您帮我签了个字OK了。
[14:21.300] 一个是二张小了，您核对的金额11,000对吧？
[14:26.940] 11,000一个A
[14:29.620] 没有进来，
[14:32.480] 一个是收购，
[14:35.480] 11,000是吧？OK，然后马上花钱，然后一会再给我核对一下账号。
[14:41.360] 这个东西这个是没错还是没错，没法让我们他会出现刚才王聪
[14:48.790] 就偷着乐。
[14:50.040] 我看是吗？这样的不明白，不会看到没，所以很少。
[14:56.200] 别着急，不是刚刚还让姑娘拍张照片那种，他们说第二。
[15:03.390] 对，他觉得你可能会马上。
[15:05.420] 我开个房三里河支行，
[15:09.160] 或者自己还得不说，每天早上付给了
[15:12.280] 三轮车支行，没错，有卡号不再参加和执法。
[15:19.070] 我确实。
[15:20.890] 对你给他打个电话，待会直接表现在直接马上就给发过来，是不是？这里面它的客服我打你电话就达达9588是吧？
[15:28.070] 电话
[15:28.840] 了，视频它里边有一个
[15:31.800] 语音提示，他给您发过来
[15:37.200] 的就你工资卡第二因为什么？他又不叫什么网络安全。
[15:46.230] 号
[15:53.150] 听话听，
[16:05.480] 的。
[16:06.800] 咖啡没喝的是吧？
[16:13.240] 您好，开户行查询。
[16:21.370] 的
[16:23.840] 我不在那边了点
[16:28.590] 便便
[16:38.410] 的。
[16:46.570] 数据。
[16:48.050] 什么板块，
[16:49.560] 然后
[16:54.600] 开户行
[16:55.910] 在帮
[16:58.070] 这边就行。
[16:59.210] 您把奔驰的电话就行了。
[17:02.080] 108181188我一会给您发过去。
[17:05.760] 好。
[17:09.580] 没事好。
[17:13.030] 然后再通过
[17:16.640] 上午
[17:23.310] 银行名称为主。
[17:25.890] 银行。
[17:26.880] 北京市市辖区北京分行营业部夜市号0000。
[17:34.120] 三。
[17:35.190] 近日内北京市西城区复兴门南大街号将广电信息发送短信只有技巧二。
[17:43.010] 您把短信发过去了。
[17:45.210] 照片
[17:45.920] 给你，你明白你看应该不是30分之后。
[17:49.760] 好。
[17:50.860] 你挂了对。
[17:52.440] 离开短信。
[17:55.880] 听。
[17:56.740] 因为是这样的，
[17:57.800] 这两个也不要
[18:01.180] 假如说我们
[18:03.160] 电车他们要回来。
[18:05.120] 放在这大概需要多少？
[18:08.050] 你下午过来。
[18:08.990] 完了重新写了是吧？
[18:10.620] 对。
[18:11.440] 你。
[18:12.940] 你该怎么做，不要
[18:16.720] 阶段关口，
[18:28.550] 北京市市辖区
[18:36.770] 等他放营业部。
[18:42.040] 营业是
[18:49.640] 把这个事情马写上800003，
[18:52.680] 服务业它差不多不用，现在他网银汇的时候他有一下拉菜单，他必须找这个地方了，你说就找不着到这个部门给您汇，我就把您说不用标价吗？标一下营业网点可能有用，
[19:08.390] 网点代码，D厂您那是大单位，你找着好家伙，银行是全部耗尽这儿，
[19:14.770] 他们除了营业室都放在这儿了，对吧？还得用你别说我这样
[19:19.400] 4个点。
[19:24.010] 好，您现在我就没问过。
[19:29.380] 先生，
[19:34.790] 您这有短信提示这钱一道是吧？
[19:37.390] 有没写一下现在时间。
[19:39.500] 7月9号7月9号，现在是10点，10月份大概二 10 40 4:00这么写了。
[19:47.710] 每张
[19:48.920] 还有您知道有时候违章特别麻烦，现在主要是违章，
[19:55.370] 他说没有这车给我了，什么叫违章？你开车过来的路上违章了没盼头给照下来了，今天主要界定这个时间，其他的没事，
[20:06.200] 是吧？这就没有了，不用这也是斗争里边的经验说不清楚。
[20:13.860] 太多了，你要一个两个0分100也都好车都来，谁受得了？
[20:22.530] 这份给您，这边您就不用签了，我在二手车就留账，对我听得懂吗？
[20:29.090] 今天留着了钱都给您了，钱就给。
[20:34.190] 上次那车我开不走上来不是无缝对接吗？新车不是今天为什么让你办手续，说新车今天不是您开走吗？
[20:41.180] 不是建模什么的吗？不得验完车之后吗大哥？
[20:48.160] 贴膜现在给您贴了，咱咋去验车了？
[20:50.630] 做完马票这我知道，电视不是你们帮我一下吗？
[20:54.170] 练车是您开着车跟着我们验车师傅一起去的，我们给您跑手续我知道，但是我的意思就是说
[21:01.830] 当时不是说是什么天王怎么可以交给我们的时候，然后我跟您说
[21:08.170] 不是谁知后才能贴的，不能说你说新车没问题，有时候就是什么时候我就拿回去，您新车放这个里边，您旧车放的时候办新车手续的时候车就放这了，我不知道叶蕾跟你怎么说的，那我晚点办这手续也可以，晚两天下次来我再把手机
[21:29.630] 价格怎么保证不了？
[21:32.470] 价格还保证我就差两天都保证不了，你这二手市场现在都关门了，
[21:37.740] 一经街都关了，什么样二手车市场，现在停止交易就一个疫情，现在主要我跟您那车是每年什么车，哪年的什么07年的舆论，大部分车都走外地，
[21:49.700] 现在外地不来，北京来不了，来了回来你隔离，所以现在二楼市场部现在掉价了，
[21:56.310] 您听到了吗？现在这车我们拿过来，
[21:59.920] 也是存着，
[22:01.190] 就先过我一个客户押着，
[22:04.010] 等二哥什么开药店买来卖，那不一样的，你纯粹和我开开两天有什么区别？
[22:09.260] 对他不是我把家里存的是二手车商存的，
[22:12.950] 明白吗？我要那什么用您明白了，人家收一些
[22:18.680] 就沟通的，所以这个地方跟他商量，上次说的是我
[22:24.810] 我把二手车苏宁说的还是怎么，燕蕾不是给您打电话了吗？给我打了电话给我打电话让我给涨1000块钱，这是我涨1000块钱，我给你涨了1000块钱知道吧？就是。
[22:37.490] 对，但是并没说交接的事，交接这就是您开着新车旧车搁着对吧？
[22:44.140] 一般都是这样，不是你今天新政能不能开到，我现在把手机没问题，您上回跟您说新车给您办灵堂不是贴膜还是天王吗？
[22:52.750] 贴膜不得验完车才能贴吗？
[22:55.190] 您说的什么意思？贴完膜可能开走了，不知道为什么。
[22:59.580] 您今天的开导，然后在实验车再去贴膜，不是贴还哪天，
[23:04.060] 天不跌了一天，对，还是我们就是说天皇肯定贴完了在开车吗？
[23:09.240] 我跟您说一下流程，这个流程是这样的，今天咱们把旧车您放在这儿，新车给您办手续，新车办理手续的话您有两种选择，当然了肯定是希望您您能别耽误您用车什么的，您把新车开走，新车是有临时牌照的，
[23:23.400] 您开新车走，等到二手车这边给您过完户，我们负责给您更新指标，
[23:27.870] 大哥的指标更新出来了，然后他会我这边给您安排新车的一个交税，做工商认证，
[23:33.780] 交完税做完工伤认证之后，给您约验车上牌的一个时间，验车上完牌约完了之后您就验车当天一个是我们验车师傅去现场就可以了，然后回来
[23:44.140] 你不用说了我知道了，但是有个问题是什么？
[23:47.020] 就是说今天我车跟我开什么开车税也没交，夜车没也车我开什么开着开不走的，
[23:54.390] 不是有意思，谁知指标登王室车指标这期间是临牌。
[24:00.880] 对，你二手车放这儿，只孩子他跟你二手车不放着，他永远都给你过不了户，你指标永远都更新不出来，然后永远都到不了下一步。
[24:09.830] 这是一个还的，您旧车不给我们怎么去过户，跟车不过户你永远没有指标。
[24:18.030] 是一环套一环的是吗？我应该就这意思，我这小问题不重要，我这听懂了。
[24:26.030] 我想问你一下，我这个车牌能够比如是跟户口挂钩吗？还是跟什么挂钩？
[24:32.830] 张晓彬挂钩，跟我加强了挂钩了，我的户口在哪，这个车就是哪个牌子是吗？
[24:42.090] 是不是？
[24:42.940] 不是您车牌号看到这车牌号今安徽的
[24:48.410] 经LA3716跟张小挂钩，您知道吧？他们哪挂着呢？
[24:56.240] 您现在两种选择，一个我还可以继续保留LAN716，一个您可以放弃，但是这个谁也拿不走，您只能您不要LV给李小洛给王小波给不了你知道吧？但是他们通过什么形式一张纸那种指标指标
[25:13.400] 的形式，车牌的指标是指标，因为您名下张晓明下您可以有一个指标，您可以用100个指标，您看现在您名下多少台车，然后但是LA6371LA3716
[25:25.910] 可以挂在奔驰上，挂不了挂到别的地方，我知道问题不是一个问题，我的问题就是说
[25:33.040] 我这个车牌是
[25:35.640] 能够看出来我是人参，车牌是西城的车还是东城差不多，他还是丰台的车，那是你个人隐私，
[25:43.670] 只有车管所也能
[25:45.750] 我那车子怎么
[25:47.480] 漏洞，您记者正在写。
[25:49.900] 我信上写的是什么？不是信上写的是你个人户口的地址，对，就是身份证的地址就是跟户口挂钩，其实这个车是哪的车，就是
[25:59.960] 是哪个城区其实跟户口挂钩是吧？
[26:02.520] 你要这么理解也可以，因为他中国有一个地址吗是吧？按照地址就是这样的，将来都预测完了以后怎么算，他现在因为不是我问问题的目的就是因为他可能下一步不是城区郊区分开，首都北京分开，首都和北京您现在西城是吧？对，我现在是西城永远是首都了。
[26:22.450] 我儿子是吧？就按照这地址，
[26:26.680] 但是您没有您现在西城区了。
[26:28.890] 对没有，您现在身份证地址走了，您身份证城东城深圳西城对知道了，反正就跟着身份证走了，这也是一样，您现在对。
[26:39.640] 对身份证您给我们一块去变一下。
[26:42.210] 就跟着身份证走了，没关系，对，因为他是这样，他登记的时候，
[26:48.110] 您登记使用LA3716的时候，你会出示证件，您给我们提供哪个证件？
[26:53.610] 那就行，这边这个吗？对您当时提供的证据，因为现在唯一的证件就是身份证，我估计他以前都不存在，然后车其实也无所谓，你把里面东西掏干了，我让他们交接了，
[27:08.900] 是无所谓什么东西，我还把我的车里面的那些东西也得掏干净，对etc手串、眼镜、光盘、cd什么
[27:17.940] 连接线，所有东西你差干全部拆干净，你知道吧？
[27:22.470] 您就给我留好了一个备胎一个三角盘，然后那个车里我都给撤销了，
[27:28.670] 我不单子反正我也不要了，对那地方你得抄一下就也没有了，你过两天我打电话想起来我还一串，对这行程不是他给行行是不是就给你了？
[27:38.510] 然后咱们下一步约您身份证什么方面给不给我事，今天给我还是以后给。
[27:43.060] 什么节约还有D调了，我不知道明天不要我了，下次我就可以考虑下次上次我上午还得过来，要是您越晚您指标获得什么时候给我身份证，那天起开始咱们计算您获得指标日期，
[27:58.210] 因为我需要过户，需要用您的身份证还得早早点给你是吧？当然了其实最好您追求无缝链接的时候，应该是先把就这一礼拜之前给我，您今天一个指标都出来了，然后您直接用电车上班了，
[28:11.330] 你知道我礼拜天才开车才就订车了，我就没停，我这已经是算算是最到最高效率了，
[28:20.320] 所以您要追求无缝链接的时候，好多时候咱们就尽量往前改是吧？
[28:26.770] 购置税本，
[28:28.470] 购置税本一个小的题本，
[28:31.750] 当年证明您这车是花钱交了税，还是境外人员自己带回来？
[28:37.590] 他是说这个是国家奖励您的，现在还吗？我怎么知道这车交没交过税？
[28:45.200] 它是一个凭证您知道吗？谁知因为有境外人员免税回家给找一下，他肯定都没有了。
[28:54.030] 肯定交过税是吧？别到时候我们过户卡咳了，到时一会这车倒过来再减税怎么了？你说反正
[29:01.870] 我给你必须全部交完了，你放心好吧？
[29:04.480] OK，然后交强险保单，您现在在您邮箱里了，我们可以您方便登录您的邮箱给打印或者您微信，然后发过来我操。
[29:12.370] 交强险保单上商业险，谁知忘了回家慢慢弄，咱们先做新车进去你知道吗？
[29:19.990] 不是这个就一块弄了。
[29:21.870] 你不是还得找吗？
[29:23.540] 交强险保单是吧？
[29:25.140] 专家有保单。
[29:27.420] 我车上应该有好像。
[29:28.950] 打印出来的是吧？因为乾程电子了你知道吗？打印出来了。
[29:32.850] 交强险保单我可以。
[29:35.730] 对，我就说孙总这应该你先把这些东西都保单不都是电子的吗？咱查不到是吧？
[29:41.840] 怎么查我上哪查呢？
[29:44.080] 不，我商量上您的隐私这边，我再发到您的邮箱里头有电子版的吗？
[29:51.590] 让他们我看看让这没关系，不用非得进去，你们知道您每天都
[29:58.490] 到时您给我发个微信，发一条邮箱，发一张都成。
[30:02.420] 因为电子都非常方便。
[30:05.880] 这有这段。
[30:08.210] 你有抽烟你的微信吗？或者你打印出来打印，我把发给您，完了您发过去了，就是这个吗是吧？看时间对不对？
[30:17.410] 时间对不对？您看看时间再对有效期，
[30:21.860] 只不过2020年1月19号到2021也是月没问题，好，我就把这商业险您自己
[30:30.080] 退能退您钱。
[30:32.700] 因为保险是按天计费，
[30:35.530] 你使用一天扣一天钱你知道吧？你有多少天为我先把您稍等一下，我先把发给分享。
[30:46.240] 然后我看我商业有什么商业险，一般第三者，对他就是三者。
[30:52.490] 你看总金额8，
[30:55.230] 总金额500多万算这一天没扣一块钱，还有一个一个500多块钱第三者，
[31:04.330] 您统共500多块钱，你就算你只了多少天，然后还剩多少钱，
[31:09.420] 是吧？一个人看你对不对？
[31:11.180] 你要不退了，因为赠与我们了，你就这么用了，要不不现在您退了您快是吧？
[31:15.790] 我从20刚才还是那个时间，还是从2020年1月9号，一是要算起是吧？
[31:22.130] 死到今天是到明天吗？你明天对明天说死了半年还剩200多块钱，可能半年是吧？
[31:30.950] 然后第三个你怎么算怎么睡去营业厅，
[31:34.890] 它宝在左下角写着，我让他底下的地址这边有地址。
[31:41.770] 北京市丰台区什么巢湖的号源航航空的好远，对。
[31:46.800] 我就跟他说一下，下一个您买车的时候购车发票还有吗？没有了。
[31:52.290] 没有了是吧？剩下的备用药
[31:57.120] 我现在不在我手上，
[31:58.510] 您下次过来时候帮我带过来，我得记下，备用药必须得这是必须给的是吧？
[32:06.350] 基本上要起火备备用钥匙，对购置这边您记一下，回去找找找不到找不着是吧？都是这个是我今天去县办的，完了您导线现在下一步您身份证您看您什么时候给我开始办手续，一会能给你就给你们，行，我万一我过两天要出差有什么事
[32:24.920] 使用了这两天不出门，这样给你保管几天？
[32:29.230] 2~3天那行，那我三天等到我就没过了几次就完了。
[32:34.200] 我现在去给你办到，他说就是说我要换车，然后保险能够退钱是吧？
[32:40.750] 我现在
[32:45.470] 这两天换车对。
[32:47.720] 天。
[32:49.060] 然后车
[32:51.360] 听说
[32:53.080] 之前的商业保险就可以退了是吧？之前的
[32:59.250] 商业
[33:01.310] 保险还可以退余额，
[33:05.980] 那么他怎么操作？他愿意操作，对，幸亏我还没有
[33:11.240] 桌上，因为他有时候车老他不给多长好，你想花钱都给你上了，盗抢险你上本来我也不想上，我去
[33:22.970] 你看能不能操你看方便的方式操作。
[33:25.750] 然后下一步一会您把车里东西清空以后，你把车给我做成您车，现在在哪多少在院里，
[33:33.560] 北京几乎妈就幸福是吧？
[33:36.010] 对。
[33:36.840] 咱们交接了。
[33:40.440] 您记住您走的时候千万别送三小时，马停车你不要管了，您不要管了，离婚这车今天不出院，你知道吗？待会您说马我都不去了，
[33:51.810] 能少点是少点水这个标怎么办？
[33:55.640] 要就无所谓，因为我不玩酷又换心的没用，
[34:00.310] 现在是不用贴，反正东西往往车到北京没人查，就是出了北京外地我放在车里就行了，对你打一张纸这么说是是吧？
[34:09.660] 我们不放车里面不用pia拍拍，做好很难看，我因为他现在全国政策不统一，一地方一政策特别好用等等，我这
[34:18.540] 这个卡我收起来身份证先放这，对，您看您这还有什么不明白需要问我的，
[34:25.550] 我还要给
[34:26.590] 您给我个电话，我问你我13911391098
[34:32.310] 09802050205陈迪，
[34:37.460] 您待会一会需要把车钥匙给我，你给我打电话是吗？对。
[34:40.940] 好了，谢谢先过去，好好。
[34:44.620] 那天你帮我股子下是吧？不是污泥这样糊里糊涂地。
[34:54.710] 很多问题。
[34:57.360] 在那边觉得人说一般般，问啥这部分这麻烦了，然后自己
[35:04.230] 你怎么样？
[35:05.400] 可以说我可以
[35:10.290] 动手。
[35:11.450] 没问题了，OK不用吧你动手。
[35:15.990] 你跟一个美女说动手我吓坏了，我不知道我听到动手还是剁手，我听到了剁手了。
[35:23.030] 对，我告诉你们说是动手还是说动手应该动手，昨天他动手，我说你怎么回事，你要剁手可以剁自己手可以立马都给动手就
[35:33.850] 不合适动手做起来。
[35:35.770] 我就给您贴上了装饰，再加上那个来。
[35:38.510] 行可以来说我就7000也就无所谓，你们当时I颜色怎么定？
[35:44.270] 颜色深色浅色到时候您贴的时候会选会让你选的。
[35:47.240] 您订您说的算每个人喜欢不一样，我就喜欢这声音，我也是真心喜欢不喜欢看着搁外边随便一口都
[35:59.910] 那块黑也不行。
[36:01.770] 其实也没关系，其实我们一般开车有些女同事开车希望亮一点，然后倒个车什么的，其实你
[36:07.870] 我现在到时候我压根就不需要看，我就
[36:10.940] 就看两个机子旧了。
[36:13.860] 就开两个新字，对，不是你后边不有那个影像了吗？对，然后其次假我就看两性，我好了，我现在就开始打单子了，打完单子之后咱们公司去交钱开票没菜了。
[36:25.690] 不是我咱抓紧办手续，让你把它塞回去，对，让你把新车开着，新车今天什么税什么都不干，谁知等到指标出来不是那就是给一个没事赶紧开着这意思吧？
[36:37.410] 给个临时号牌对拍照了，我很生气地把我那几个爬上去摘，就是哪个出入证，车子气场肯定一会真别忘了，
[36:46.310] 一会没事一会我慢慢弄，咱别着急，那还慢慢骑着我那车好乱，
[36:51.830] 完了我都搞死，行，要不开个新车去赴约。
[36:55.500] 要算要不算了就刚刚出来。
[37:00.610] 你完了以后你自己教给大家，让我这个是不合适。
[37:04.860] 在这尽量帮我，后来
[37:06.380] 你到银行网点是弄这边。
[37:09.220] 对。
[37:10.420] 还得起来还是很有经验。
[37:13.860] 文件不是都是要带芯片的，信用卡带来的这种，然后不出来了。
[37:21.630] 对，刚才道理听明白你那个车不退，人家不是后面进这种，对，唯一就是说其实他对也好，
[37:31.230] 还是我以为让他们还看看的还有新车，对，我也不想我这么快就得跟我身高别了，10年的感情还没有三年13年10 13年没事，我没说今天告别，我原来说的可能还要再开两天，你们这里有什么口岸糖什么的。
[37:49.280] 没有大哥上有。
[37:50.880] 我是中午我那里没有，我在网上是这样，反正。
[37:54.850] 你说服了。
[38:07.760] 以后那车里为什么不能搞那么乱吗？
[38:13.870] 这种东西不要发这么多。
[38:16.070] 被告也是自己的名字，然后就有关。
[38:20.070] 拿着身份证带着银行卡，然后直接到他们搜了，我
[38:25.550] 觉得应该是报记者签字，北京老板打电话看看到哪儿去
[38:31.260] 报销。
[38:32.490] 然后这个钱用来当时是有优惠是吧？
[38:37.050] 公司把。
[38:38.480] 然后我让出口单位的话做个首先然后把。
[38:44.200] 保险公司并可以开始
[38:51.420] 中间。
[38:53.380] 主要。
[38:55.050] 被告人是自己的名字，然后就有关。
[39:01.450] 拿着身份证带着银行卡，
[39:04.430] 这个地方保险公司
[39:06.590] 这个应该是包括。
[39:08.100] 现金支付的话的我个人同意报销，
[39:13.630] 然后这个钱应该当时是有优惠是吧？然后现在我们向保险公司没管好天道，
[39:20.800] 出保单的话给做了授权，然后把
[39:25.300] 保险公司给你退钱是按天。
[39:33.010] 你就联系保险公司就行，然后自己去退去，然后让那头给保险公司那头给个授权码，然后钱退到你卡里之后，然后我再一档
[39:43.010] 出保单哪头合算一下，应该再返给他多少钱就行了。
[39:48.240] 然后钱全都给你卡里之后，然后你把优惠那部分钱
[39:53.090] 然后转给我再转给他就可以。
[39:55.760] 你是哪年的私车来卖了多少钱，卖了吗？
[40:00.950] 是置换还是什么？
[40:04.370] 换车要买新车的话，新车商业保险正常情况下，你在店里买是没有优惠的，
[40:11.860] 你可以单独的就出个交强险，
[40:14.990] 然后商业险的我单独给你出优惠还挺多的。
[40:21.120] 你看我们优惠，
[40:25.570] 反正肯定
[40:30.170] 明年我就不一定
[40:32.390] 也没有一定要在这儿保险了是吧？那不用，您在哪保险都行。
[40:56.930] 能变吗？
[41:02.900] 这种
[41:04.100] 他们都说你好，你刚才那几个是我
[41:10.750] 一个是我那个车置换，在4S店置换，然后是07年的
[41:17.100] 明锐斯柯达，
[41:19.130] 四川明锐1.8T的自动挡，
[41:22.480] 然后
[41:24.500] 对20072。
[41:27.100] 17年。
[41:27.950] 2007年。
[41:29.580] 对13年了1.8T的，然后现在4S店给我置换了11,000块钱，
[41:45.430] 然后保险在这边他给我优惠6000。
[41:54.810] 对又。
[41:56.430] 买G1C
[42:00.700] 坐奔驰G lc。
[42:06.950] 一一共是12,000多，13,000多1万13,000出头。
[42:13.440] 1万多块钱。
[42:16.550] 对。
[42:19.240] 是13,000。
[42:20.520] 12,00012,000多，一
[42:23.160] 1万12,00012,000多114,000 1万12,000对。
[42:30.490] 对。
[42:35.070] 你好，我现在要交车，我D进入魔笔的门店管理端，它
[42:40.980] 对是什么？是Bot还是是吗？
[42:44.460] 然后是代办条写道安全感是吧？
[42:50.180] 然后利率是二点，那密码上面大概二二点
[42:54.960] 222.6。
