[00:00.000] 7月5号下午2:48开始接到意思客户郑先生看交易。
[05:26.610] 073就是10公里，066000 10 10 14就那。
[05:31.380] 那块la4点对那房子还挺经典的，你要的车开了这么长时间，开了多少公里了？
[05:38.620] 开这么多，11 11 10二二三1年不到1万公里，就是家用车他
[05:45.350] 家里谁知
[05:46.730] 所以说这个指标
[05:48.520] 然后是这样，我们一定要自己的特点，以后比如说。
[05:53.480] 家里成都一台车，或者说然后如果的话他这个人名下什么系统，因为现在不同心，打比方有效，就是你谁知。
[06:04.020] 打比方你现在有三个指标。
[06:06.190] 人家一个家里银行价格你们还没有说完，没有了，我们要保证每个人都有一种。
[06:12.100] 然后卖掉一个手袋的
[06:16.940] 以后慢慢
[06:18.170] 只能考虑目标，
[06:20.200] 以家庭为单位交流或者个人为单位，然后
[06:25.500] 说那个指标你觉得怎么样还好，其实他怎么说，对他可能也不动手动的，因为越帅在发展过程中，
[06:37.450] 我看我开车也是可用的，现在没有手动吗？在钱上
[06:42.930] 写用我都不选手动的，因为什么？你看一开盘手动挡的，一开始出场没关系，离开温暖你开走手机了，我还不会。
[06:51.110] 注重我在摸索着开始觉着开这都好像是方便也方便一点。
[06:56.300] 咱们对于车这块有没有什么要求？谁知？
[06:59.280] 介绍，我觉得
[07:01.720] 现在我看反正my轿车合适，我觉得这种车不太实用，说实话。
[07:06.940] 我觉得是开车不是自个上班这么待着上班开车我就要出去玩，可能这种车
[07:15.790] 真正的视频还上班。
[07:18.210] 我觉得这车太大了，现在您是一个有计划吗？
[07:23.700] 刚才看来一一百万以内两太多了，那么多现在十九九八九左右就行。
[07:30.010] 然后第二一点的话，咱们轿车SUV都可以是吧？对。
[07:35.670] 主要就是家用的是吧？家用就医难应该用，然后来讲平时咱们就开车为主。
[07:43.140] 我觉得我们开车时间特少，我们家这车现在差不多一个星期能出来一次不错，现在上班也不开车，上班进去，不是现在不在家，上班房号不接，都连上班都不用去，开车都用不着，
[07:58.330] 而且我还惨，那本还没起来都是他开，所以我们家那车基本那搁着这让为了未来买车去夜里出去玩儿，
[08:07.730] 看孩子大了就没带是吧？
[08:10.810] 您出去开车了，枕头为了我们一块出去玩，另外就是买
[08:16.090] 头有没有擦，我还得买了房子，他怕不大的那车。
[08:20.650] 早点车票。
[08:22.200] 现在就一个指标还好，人家将来这车牌怎么弄，这买能买到，
[08:28.330] 没指标的买指标你就想你十大你怎么买，你要是买如果买到您取的留下来，如果说
[08:35.350] 费用钱买他抄底，20 85还没打车的对出来。
[08:40.240] 如果说你想换到。
[08:43.260] 走那种结婚。
[08:44.380] 婚的这种就差不多十几万，
[08:47.850] 10分到300万左右，实在不知道了，然后大部分收入不了就不算。
[08:53.770] 因为没必要，反正家里有一个就行，也不用就是说如果有两会更舒服一点，对。
[09:01.250] 没意思，现在不也是搅乱了吗是吧？没有，然后我的
[09:05.640] 给您跑过来，我得跑回来以后有销售对他，要不然我们早就拿，
[09:11.250] 我们早就拿俩了，我当时就买了，
[09:14.700] 后来就算了就完了。
[09:17.440] 咱们对于车来讲的话，你。
[09:20.020] 看这大小，然后
[09:23.070] 这个高低小高肯定是SUV逮到。
[09:27.080] 轿车吗？这边你们有没有什么对于配置上或者是有什么特殊要求的？
[09:32.020] 没什么痛，现在没定my show都没人买轿车的。
[09:37.490] 好像不好，而且现在
[09:39.560] 好多人说其实SUV不舒服，说其实还是教师
[09:45.840] 各有特点，因为这个轿车来讲的话，它的优势在于像说的
[09:52.370] 舒适舒适度比较好，因为他的坐姿跟。
[09:56.050] Sb不一样，SUV是值得做。
[09:58.150] 一般都是也相对说比较超值，轿车是因为养着做，然后还有一点，
[10:03.830] 轿车会比SB又为要一本，因为它离地面的面积。
[10:08.460] 比较近，这样的话会相对来说开起来以后比SUV要稳定一些，开起来这种驾驶感受的好，但是SUV它的特点是什么？就是说
[10:18.130] 是让你感觉很厚重，您的车很厚重，你事业因为你做的。
[10:24.090] 高。
[10:24.740] 坐姿高，看的要远，然后给您的因为人家事件也好，以后心情就比较开阔，
[10:30.440] 然后再加上他的离职间距比轿车要高，所以说上一些比如说出去玩的时候，因为有的时候可能
[10:37.720] 无法被有无法判断路况吗？没去过的路况，比如说有的时候有沟或者说有一些土包，
[10:44.280] 轿车可能就不太好通过了，
[10:46.120] 但是SUV项目都很好，
[10:48.500] 而且这个很有旅行的这种感觉，SUV，
[10:51.880] 而且又是最主要的是SUV，还有一点就是全时四驱，您不论在这个城市路况还是这种乡村路况。
[10:58.920] 有下雨、下雪结冰，相对来说会比轿车要安全一些，比两驱车。
[11:04.700] 所以说这就是这两个车的不同的特点和特性。
[11:09.200] 这样我简单总结一下您的需要，第一咱们的预算的话差不多七八十万100万之内，只要看好了，我觉得您都能接受，因为对咱们家里这一台目前想买这一台车来兼顾这个
[11:21.310] 家用了，还有日常的使用。那么第二一点的话主要用途就是家里面使用，第三点的话就是上北京牌，因为咱们目前就这一个指标，
[11:29.930] 咱们店里可以置换，就是说您比如说看好咱们的车了，你把那车我们我们给您做一个价，谈好了以后您就不用担心了。
[11:38.680] 对用北京指标，第四一点的话就是说。
[11:43.390] 想可以说因为一台车兼顾会比较多，私用也好，或者说咱们一家人用也好，
[11:50.530] 能平时自己代步。
[11:53.780] 要休假的时候咱们可以出去出行，出去玩不能兼顾着是吧？但是我觉得不管怎么着，一定要有很好的这种舒适度和空间吧，我觉得最起码要比您现在这个车空间要大一点是吧？
[12:06.200] 因为毕竟孩子都大了，知道是不是行，其实这样我想一想。
[12:12.550] 如果根据。
[12:15.000] 我的推荐平时您二位对您开车您不开是吧？
[12:20.280] 学生过程当中。
[12:22.030] 过程当中这块学下来了。
[12:24.840] 这样我给您推荐两款车型，
[12:28.720] 如果说SUV的话，我就推荐35350。
[12:33.320] 上就是它的价格是738,800那款。
[12:36.840] 为什么推荐这一块？因为我觉得。
[12:39.160] 向您及您家里的固定台车应该是。
[12:42.110] 考虑到几方面，考虑就是第一空间可能较大，比较更舒服，别的比赛强，你看比如说我们确实要跟小Y方向，比如说白色的
[12:52.190] 这个车您其实也可以考虑，但是来讲的话这个就比较适合于什么？
[12:57.220] 这块比较适合于30岁到40岁左右的。
[13:03.410] 刚才有小还有宝宝。
[13:06.330] 一个阶段，然后一家人其乐融融不开。
[13:09.380] 但是这个空间不行，多少钱，这个是834,800。
[13:14.000] 83万左右。
[13:15.500] 但这个车我觉得更适合咱们现在是这状态，这个状态就是说咱们比较惬意的孩子有道理，咱们没事出去玩玩什么的空间，
[13:23.820] 也不用太紧吵得开紧凑一点。
[13:27.080] 那叫。
[13:28.120] 这就是你们算了，这个是大型豪华也行，觉得只是我推荐您的一个理由。另外一点的话，如果你选择轿车的话，我首先推荐的是
[13:37.270] st从80
[13:40.180] 52,800的指导价格，77F35要求进口的，
[13:46.480] 目前轿车推荐SB的，
[13:49.620] 因为我们现在考虑就买进口，买多少是因为国产来讲的话，
[13:55.150] 第一他空间没有进口能力大可以接受的，对现在国产的都是家常什么L什么之类，你看哪个车，你比如拿自主国产车的，
[14:05.230] 这就是国产轿车最大的问题，但是也没有给你推荐S的生产。
[14:08.880] S哪没见一会当今在你车边上走，
[14:12.410] 走冬天不太喜欢汽车了，然后不太喜欢跟吃亏，
[14:17.800] 怕喜欢奔驰，
[14:19.640] 跟着说放飞了，不是，其实知道我觉得很多客人
[14:26.200] 比较认可认识的，对我说话我觉得这车就挺好，20多万。
[14:31.060] 这个事A这小车我看出来吗？
[14:35.510] 一人开第一个大家对他们的印象非常好的认可的更多品牌，因为奔驰确实也比较少，它汽车第一个品牌。
[14:43.570] 那么第二一点的话增持最能代表奔驰的
[14:46.790] IP，
[14:48.450] 写马云的C。
[14:50.960] 因为跟池它会把所有的最好的技术，最新的这种。
[14:55.360] 科技用在S上面，对，所以说能代表奔驰的车就是。
[15:01.680] 所以这是我给您体验。
[15:03.310] 这个待着很多喜欢奔驰的客户，可能会先买一个C级车买一车，但最后还是要换一个这个车，因为通过刚才跟您的了解，您是计算在80万左右都可以接受，其实这个车就还应考虑的要求。
[15:17.480] 价格上
[15:19.230] 证据标准第二一点的话，它又能代表奔驰的品质，
[15:22.390] 而且又能适合现在咱们现阶段状态，而且
[15:27.570] 怎么说这个车买奔驰尽量如果
[15:32.270] 预算没有太大问题的东西，一定要买S
[15:35.110] 因为S它就代表真实的技术，
[15:37.540] 等他把技术再提升，在这上面更多一点最好的东西。
[15:41.200] 有很多成功人士都有自己的公司。
[15:45.730] 现在你马路上看到的不说了，认识不认识了？
[15:49.410] 你像
[15:51.230] 原来习主席去哪儿去德国，
[15:53.640] 默克尔总理接待他用的都是M
[15:55.750] 包括普京有她自己的S
[15:58.510] 现在很多国家领导人，比如说
[16:01.740] 不是比如说有的时候咱们国家这些登录能力也是有的，我们一直在联系
[16:07.000] 交通管制，如果大领导的话，作家都是ss，他不是奥迪也不是宝马，是奔驰S系是这个阶段对这个级别的车。
[16:15.420] 所以说它才能代表顶级。
[16:17.260] 也是成功人士的一个代表。
[16:20.120] 所以说比如打个比方，现在我感觉我还没有这实力，但是如果可能过10年20年我也行了，我也得。
[16:26.910] 有一个
[16:28.090] 所以说奔驰一定要体现李亚鹏当时去买的，
[16:32.790] 还是上网第二行还有一个里边第帮忙的，谁知
[16:39.190] 他们房产
[16:41.880] 销售的时间代价，对，所以说这个是我给您推荐的一个理由方面。
[16:47.510] 我觉得
[16:52.080] 我想问你，
[16:53.720] 如果您说我根本就不想
[16:57.160] 不想展示，
[16:59.060] 没有这种想
[17:03.290] 实用舒适。
[17:05.110] 这两个是最关注舒适有没有实用性。
[17:10.360] 具体说彰显对张主任这些我们来说没有这个需求，明白。
[17:16.430] 咱们这样，我现在就针对于您说的舒适性，简单给您介绍一下。
[17:22.360] 您到我这个角度来，咱们就看先生现在坐的位置。
[17:26.260] 为什么刚才给您推荐这个车型，S级它的内饰做工是相当的讲究的，也比较细致，
[17:32.100] 你比如说像它的
[17:34.410] 就是这块的皮革的包裹，这都是皮革包裹的双横线的设计。
[17:40.450] 棕色的搭配，木木门木是带条的搭配，然后闲阶层这一条就是您视觉上看上去并不烦乱，看看你感觉看起来非常自然，因为这个车采用了非常多的这种弧线的设计，
[17:54.670] 非常多的这种图片的设计，包括中间的红线流线型的设计，
[17:59.130] 因为直线看上去很突兀很硬朗，但是福建让他看上去非常的美。
[18:04.930] 让你放看上去非常的自然。
[18:07.470] 这有人说也能契合了您对舒适性的要求，舒适性体现在哪些方面，视觉舒适性也是很舒服的，对吗？
[18:15.190] 是这就是我跟您说到一个视觉舒适性的特点，它这个车在设计
[18:20.850] 是吧？设计比较精细，而且
[18:23.510] 看上去比较舒适，
[18:25.250] 又不吃这种高雅。
[18:26.750] 雅跟这种档次，另外的话让你看能力非常的棒，这是视觉上的冲击。第二一点。
[18:32.060] 其实您可以试一下。
[18:33.850] 我们现场刚才做的座椅，他做第二的厚度，
[18:38.370] 包裹性对于咱们人体的支撑是达到一个极致的。
[18:41.880] 可以这么说，如果您可以做完这个成绩来坐那个车，这辆车感觉就有点不一样的。
[18:48.780] 所以说为什么你推荐这个车型，就是他刚才提到了您对舒适性的一个要求。
[18:53.240] 一个升级就不同的，所以说这就讲究了它的一个内在的品质。第三一点就是您看这个车
[19:00.060] 有两块12.31分大屏幕，这个屏幕我给量的交易的程度，
[19:05.510] 对吧？
[19:06.410] 你所有的功能都可以，比如说您的。
[19:08.900] 醋或者是多媒体。
[19:11.140] 空调信息、
[19:12.310] 都可以在这方面显示。另外如果在你看今天的天气比较暗，可能又下雨，
[19:16.840] 我们如果连上要是以后，我们连上电以后。
[19:21.270] 这个车内饰有非常多的这种颜色的氛围灯，有64种颜色的氛围灯，
[19:25.100] 奔驰的颜色的氛围灯，它不是为了。
[19:27.800] 做出有灯光效果，而是。
[19:29.850] 是为了营造一种。
[19:31.090] 氛围中。
[19:32.000] 让你感受到这个感觉，我今天比如说我穿个裙子，我想弄一个粉色的或者弄一个蓝色的，就感觉上心情非常的舒爽凉爽。
[19:41.520] 比如明天我作为一张正装，打个比方，我可能要调成橙色的或者是其他颜色，
[19:48.250] 而且它的颜色还可以分几条，有10种主题都可以调节，一会咱们再可以邀请您做试驾，
[19:54.630] 试驾的时候可以感受一下。
[19:58.700] 它所有的功能都集中在。
[20:01.210] 屏幕上还有这中间的出版上，而且方向盘也是经过特殊的设计的，就是您双手几乎不用离开方向盘，
[20:08.710] 就可以完成所有的这种功能的操作，那种商业人士你看
[20:13.240] 这两个黑点，
[20:14.560] 就像您的智能手机一样，
[20:17.100] 伟华我的手机是这么划的，他那黑点就在黑点上。
[20:21.220] 进行在一个牛上划就可以。
[20:22.750] 非常方便。
[20:24.660] 然后另外的话它的档位在方向盘下边。
[20:27.620] 你的手不用离开方向盘，就可以直接完成换挡，它是电子怀档的设计，所有的奔驰。
[20:33.040] 最经典的设计就是点睛之笔，您是干嘛的触控板出口。
[20:40.030] 你比如说可以手写，
[20:41.590] 比如说你可以她除了这块出口以外，中间还可以触控，副驾驶的人也可以出动都没问题。
[20:48.820] 另外你感受一下后排的乘坐空间。
[20:51.100] 你做一下感受一下试试。
[20:53.640] 特别是
[20:54.920] 谁知
[20:56.140] 要
[20:59.840] 您觉得
[21:01.710] 咱们在用的话应该能满足咱们的空间。
[21:08.200] 先生您坐在后排试试。
[21:13.570] 也对这个是典藏版，
[21:19.080] 这是它的一个主因，要特别晚，所以说他有奔驰logo的投射灯，这车
[21:24.620] 你这车店
[21:29.360] 车要开，
[21:30.820] 觉得能开多少年车辆
[21:33.580] 离开的话开始修复，20年没问题，只要是正常的，因为北京楼房非常的好，它没有
[21:39.270] 北方的路，发现车门不是有点旅行也没问题，但是你不能走那种直接
[21:46.590] 如果
[21:47.420] 那种比如说中午没事，
[21:50.730] 我们也不走路也没再喜欢对吧？
[21:53.840] 对。
[21:55.040] 都没有任何意义。
[21:57.960] 德国谁知
[22:03.880] 我想问你一个问题，就是说
[22:05.980] 他有这种
[22:07.470] 要求有，然后这里有运动模式，有舒适模式，经济模式这种个性化，
[22:14.150] 你根据你自己的习惯，
[22:17.970] 3点。
[22:18.960] 我没有人。
[22:19.990] 没有
[22:20.960] 了。
[22:22.210] 三
[22:23.350] 很多客户都不想要2.0.13.0T。
[22:26.900] 而且这个车您不用太担心，轿车必然就要什么？
[22:32.680] 为什么要不是您我给你推荐的都没有，这个是咱们有的没有。
[22:39.910] 对真的。
[22:43.840] 350也是23.44点也，但是他具体负责很。
[22:49.840] 因为它是两区的是不的。
[22:52.390] 对。
[22:53.580] 所以说咱家用上两句就足够
[22:56.620] 让他送他看了。
[23:00.280] 发动机数据目标。
[23:02.960] 对，但是庄子后面没有互动。
[23:05.030] 没有我接电话
[23:08.510] 来。
[23:13.040] 你看完了，
[23:18.830] 睡觉。
[23:25.280] 行，然后咱们车刚才给您介绍了它的
[23:29.020] 这次的一个特点，
[23:31.920] 包括里边内饰的一个特点，还有跟女士介绍了他的一个舒适性，
[23:36.790] 是觉得这种舒适，还有您身体的这种触觉的特色，还有空间感舒适。第三点，
[23:42.390] 咱们
[23:44.400] 其实这个车
[23:45.500] 颜色它大概有白色，有黑色、银色，
[23:48.950] 七八种颜色，如果你选的话你会喜欢哪种？
[23:51.790] 我觉得这点可以做图片比较经典的颜色，我这一块这个有意思吗？
[23:57.320] 还有明颜色，
[23:58.590] 它是有白的，什么灰的什么银的，但是这是经典色。
[24:04.620] 太
[24:05.990] 透透风卖点
[24:07.500] 带来。
[24:08.730] 这个颜色咱们回头再说多少。
[24:12.440] 对然后这边我再您看看这边有个
[24:15.790] iPad 2WiFi的理解是一样。
[24:18.210] 这样谁知
[24:25.720] 这车的驾驶室20万太贵了。
[24:29.540] 这个是高配的，咱们450咱们我给你推荐是。
[24:32.500] 85万多那款。
[24:34.730] 85万3万。
[24:38.710] 到不了。
[24:52.440] 但是这个车说实话卖的比较好的还是黑色，
[24:55.110] 没有介绍黑色，
[24:56.400] 里边有三种颜色，
[24:58.130] 棕色的。
[24:59.270] 米色的
[25:00.650] 和灰色。
[25:02.900] 然后咱们那边也有漆面跟一个亮点，一般你看
[25:06.300] 要不要买出来，你现在是优惠的话有优惠吗？有优惠一会回来我给您做一个报价。
[25:13.310] 然后咱们现在车型这块我已经给您介绍到这儿了，对于展厅讲解这块您还有什么疑问或者问题没有？
[25:18.970] 基本就这样，咱们邀请您试驾一下，咱们也有S级的试乘试驾车，什么时候试驾？
[25:25.050] 现在我想看看这le是的，你去他们做其他业务是这样。
[25:31.620] 坐下去了理解，就是今天因为咱们第一次来吗，因为周末人比较多，咱们现在目前今儿已经您10+1台车型，
[25:40.510] 你可以试加D加这个
[25:43.060] S2.1倍，
[25:45.730] 然后人太多了排不过来了，S级试驾，
[25:51.070] S320，
[25:53.240] 然后如果是建议是要么自己零花，
[25:57.570] 一点
[26:01.460] 我看见
[26:06.880] 听你的。
[26:08.160] 你买我都不想吃，
[26:10.340] 我也想去看看别的，
[26:13.410] 我们再看看别的这种，你看哪个你想再看奔驰这样理解指着旁边宝马是宝马，没有他这院里还没包，对没有宝马。
[26:24.590] 有没有会卧底？
[26:29.510] 我看他睡觉。
[26:31.910] 但是您都来了，感受一下买不买都没关系，也不是说是专家咱就买了，对不对？
[26:37.840] 那就是而这地方吗？
[26:39.720] 其实
[26:40.500] 听你的，其实这个微信让我想问他不会，但你猜丁壳我要看。
[26:45.880] 你自己觉得我挺。
[26:47.640] 喜欢这样一，但是你喜欢的轿车，
[26:50.740] 我觉得我不想买SUVSUV吗？
[26:55.800] 什么S的东西，
[26:59.610] 一下18谁而已，行感觉交给了咱们我结果然后
[27:39.190] 为什么？
[27:43.520] 了
[27:45.700] 元
[27:48.200] 数据
[27:51.060] 数据
[27:52.590] 数据
[27:56.630] 坏
[28:05.270] 的。
[28:09.110] 没有
[28:13.440] 的
[28:54.220] 三
[29:05.730] 手机
[29:17.890] 咱们继续看，手机今天看到。
[29:20.190] 车10分钟。
[29:21.630] 好。
[29:44.920] 小学的
[29:46.840] 数据化管理不能你孩子的高考了，
[29:51.810] 而且比较大系统问题，请检查是否成功，
[29:58.260] 或者稍后再来试试，他们看着点激动。
[30:04.460] 我一说这么多人，你还不耽误自己吃，我一说你认识吗？
[30:15.630] 马
[30:21.630] 号
[30:23.820] 的。
[30:30.490] 花
[30:32.370] 清楚了。
[30:34.810] 还有吃完了。
[30:37.180] 谁知
[30:39.190] 他说不是你过了过
[30:41.960] 回来对着记得。
[30:47.450] 爸爸
[30:49.040] 也二大爷他们那些事这不是他的吗？
[30:52.820] 先擦手这他写走了。
[30:55.050] 写上了。
[30:57.270] 看完头他结不行，我一开始在点头，我和他的时候还要给他的，
[31:07.090] 你们放心的。
[31:08.790] 没事儿，没啥他手不管。
[31:13.240] 他人危险的。
[31:18.840] 说
[31:20.570] 还
[31:23.720] 牛黄清心丸，
[31:27.230] 先得喝点水。
[31:29.190] 不客气吃饭吗？23和的地方。
[31:42.650] 我今晚的味道。
[31:49.590] 别的不。
[31:50.840] 我们在哪，谁知
[32:08.100] 我明天去报名学过朋友了。
[32:10.900] 你报没报上去了？
[32:13.240] 你知道你报名报了名什么还没什么的。
[32:17.670] 没有规划没有。
[32:20.240] 真是那可不是
[32:23.310] 我心里合适了，不是。
[32:25.900] 为什么给他钱还不让你学，我的心里都是好多B是吧？是不是和属于移动，为什么你知道吗？都不行。
[32:34.340] 为什么两天
[32:35.860] 交钱就是什么？
[32:38.910] 不是出来这一句话不错的了吗？
[32:42.220] 是不是？说什么死了？
[32:47.140] 在家了就不用了。
[32:51.160] 刚才
[32:57.710] 然后没准
[33:10.670] 坏
[33:17.650] 所以
[33:22.130] 它是坏的。
[33:28.640] 你要是快
[33:31.690] 他那兢兢业业的24秒的时候，他们擅长时间还不能玩，
[33:39.120] 我这个二手车这台已经换了，打不出来，我都已经点完了
[33:43.860] 了。
[33:45.390] 她点头默认。
[33:47.170] 你了，你这点一个人
[33:50.500] 从来
[33:51.480] 不到
[33:52.910] 好多看我哪是谁的，是这么判断。
[34:04.040] 不碰的。
[34:10.730] 我们觉得怎么不
[34:14.310] 不是下雨了吗？快下。
[34:17.160] 昌平特别大光了，调理特别大。
[34:22.740] 王紫棋、黄梓琪。
[34:24.870] 在哪里？
[34:26.530] 把交易事件停止时间。
[34:28.990] 好这车子都回来，我给他
[34:34.580] 在哪？
[34:38.030] 还新车。
[34:39.300] 什么？
[34:46.490] 常见
[34:48.910] 的
[34:51.880] 学生证
[35:03.090] 明天
[35:05.000] 一下。
[35:06.320] 说过了。
[35:07.920] 了。
[36:02.590] 来，郑先生。
[36:03.680] 周先生。
[36:05.360] 来帮我签个字就没用。
[36:08.690] 只能
[36:10.650] 后来。
[36:14.150] 这边您帮我填两个字。
[36:17.040] 介绍你先说好。
[36:18.770] 这要选对给打开水。
[36:22.910] 矿泉水行吧？
[36:24.540] 咱2000块钱，谁知
[36:28.540] 我应该怎么办？
[36:31.440] 来接着干水路来说一下我。
[36:35.510] 是咱们的市场私下协议，赡养协议的内容，咱们说法就是注意交通安全，别违章就行，违章是你自己承担。
[36:43.710] 如果说不小心发生了交通事故的话，对方责任对方赔偿，我方在。
[36:48.450] 这是咱们的试乘试驾路线图，咱们店在这里，然后再定慧北桥调头，然后在南坞桥调头回来一圈9公里，大概20分钟左右去的时候，我开回来时候您开再主动实现这块可以试试加速杀，自动刹车加速什么的。
[37:02.790] 行，咱们您帮我签个字就行了。
[37:06.690] 等等。
[37:08.800] 想问一下刚才出来的急着上对方签字，您哪个级别？
[37:14.890] 还有C裤配一股派，还有cos都是进口的。
[37:20.800] 也要。
[37:22.430] 也有进口的。
[37:24.600] 三十五六万I其实我觉得这也可以坐一会都可以。
[37:32.480] 等等。
[37:37.450] 完了给我的。
[37:40.040] 还好。
[37:42.560] 行吧。
[37:45.980] 一句话，但这不在昌平也不在里头30是吧？
[37:50.690] 东莞三联主动他们签名，电线非常忙，
[37:56.640] 自动这确实。
[38:01.190] 没有，我找半天我照了一下可以用天性天性
[38:09.050] 里边
[38:10.280] 这个时期
[38:13.860] 李看半天链接，
[38:19.850] 要找工作了，知道4条之前
[38:24.680] 这条600。
[38:30.910] 走，咱们去吃下去做。
[38:35.400] 还有猪脚不知道。
[38:43.730] 我不能开的，
[38:50.020] 谁知
[38:53.510] 我能不能圆润？
[38:58.580] 有条件的。
[39:00.140] 怎么咱们试驾这台车，咱们先试乘试驾，天去的时候看一下体验，
[39:05.680] 来的时候您自己在做交易关联的观察过来了吗？
[39:11.470] 待等你。
[39:18.570] 欢迎车上吗张桂玲。
[39:31.120] 另外明天帮我开一个
[39:33.150] 朋友的衣服了，我想一个公司
[39:36.440] 场
[39:38.670] 座椅往后调太
[39:43.880] 每次上车都
[39:48.840] 然后
[39:50.140] 咱们系好安全带，
[39:58.260] 系统您的
[40:01.000] 然后后排不用系了。
[40:03.610] 先把什么？
[40:08.270] 他的倒霉事这个吗？对档位成刹车，挂到D挡
[40:13.440] 就可以走了，明白了吗？
[40:15.540] 要是出去玩，我觉得开着车，
[40:19.910] 然后咱们座椅在这调整，然后还有靠背，
[40:25.530] 然后后视镜调整好了，咱们就可以走了。
[40:29.180] 别放那呢。
[40:31.600] 然后这边
[40:34.960] 右边然后调整好了，这是空调的这条天穿的号。
[40:42.410] 通了。
[40:44.510] 说
[40:49.500] 对吧？
[40:54.150] 场
[40:56.180] 你打开。
[41:02.430] 今天这观众吗？
[41:03.920] 但是感觉他不热吗？
[41:06.430] 马上就热了。
[41:08.070] 还了。
