[00:00.000] 2020年7月15号，刘章良客户刘希教授录音。
[05:08.550] 今天实名认证以后，明天这个手机会看到这个车所有的对应数据，
[05:13.520] 跑多少公里是不是？
[05:15.380] 轮胎缺不缺气，什么时候保养？
[05:17.580] 这些都可以看到，包括定位也可以，
[05:21.170] 咱们去说理，然后去讲下工作。
[05:24.430] 今天数据库提示明天会有
[05:30.810] 这是您的是吧？
[05:32.280] 来咱们走这边。
[05:36.600] 没有开店。
[05:38.470] 没有台阶没有。
[05:40.400] 谁知
[05:42.800] 谁知
[05:46.590] 领导
[05:48.170] 谁知
[05:50.290] 人。
[06:02.950] 没事没过去，您之前开的是哪款？
[06:06.100] CC是吗？
[06:09.250] 您坐后面坐前面。
[06:18.430] 还不够。
[06:19.390] 坐后边我听了
[06:21.660] 做
[06:23.160] 我做暑假。
[06:24.840] 做电镀价空间大一点，查他还不是他做这边，他这么听着零的不行。
[06:30.160] 我这往后多来点。
[06:31.850] 没事的。
[06:36.480] 我先分析一下就条码。
[06:39.920] 您找个销售都会谁卖您车的，您去找他好几个人，都说让我找谁教我，
[06:46.290] 谁销售是谁，我就在这吗？销售是谁？
[06:50.120] 您销售是谁？衣服我没找到刘卫娟，您找他一下，我这忙不过来，我今天一天
[06:56.180] 上午我到现在饭还没吃。
[07:00.110] 您张美娟给您
[07:01.640] 都能教您怎么交不了。
[07:04.670] 要不您要回来电话再沟通，就是实在太忙。
[07:09.760] 之前开了C级是吧？
[07:12.360] 还是排档了吗那会儿？
[07:14.550] 是这儿的。
[07:15.690] 对。
[07:17.740] 我没关系。
[07:19.280] 没事。
[07:20.260] 他没对他们管。
[07:22.370] 不让启动是一致的。
[07:24.420] 然后座椅调节都一样，看看
[07:27.120] 看看开始了。
[07:28.480] 稍等等水温上来。
[07:30.430] 座椅调节都是一样，您那车之间有记忆吗？
[07:34.110] 也有着都一样，加热也是一致的，对。
[07:36.940] 这都不用讲多了，副驾调节念点亮，我在动是您的位置方便，这都知道是吧？门市也都没问题。
[07:44.510] 就想想这玩意讲讲这块咱不会
[07:49.020] 中控能控制是吧？别的都会。
[07:51.740] 对，就是这个部分。
[07:53.810] 特别
[07:54.970] 系统其实也没有什么特殊的屏幕开关这个案件，
[07:59.230] 操作右边的大屏幕，一个是对这三个文件，还有中控板，
[08:05.370] 小房子小房子对应的是右侧的主界面，
[08:09.520] 这儿直接左右滑动，点击确定，这是一致的。
[08:13.390] 这个方面附加控制。
[08:15.330] 导航原车自带C以前没有导航吗？没到。
[08:18.520] 导航刚才给您激活功能，实际上对应的是车载这两个文件叫me。
[08:24.190] 激活以后这两个案件您按它会接到奔驰的服务后台，
[08:28.530] 首先是人工24小时接电话的，同时又是三年免费使用周期，
[08:33.670] 密标识信息咨询，
[08:35.780] 比如说咱们想订机票、酒店、餐厅查询兴趣点，
[08:39.970] 旅程的咨询服务，包括车辆的道路救援，
[08:43.690] 都是通过U盘的硬件来服务的。
[08:46.230] 中间SOS是一个紧急呼叫键，
[08:49.630] 假设咱们在行政过程中遇有人员受伤或者紧急情况，
[08:54.060] 按这红色的除了连接后台120自动连接，
[08:57.500] 导航的使用，您可以直接按下按键，后台人工接完电话以后，您把目的地告诉后台就可以了。
[09:04.110] 导航会自动发送到大屏上，它会提示中文是否启动导航，
[09:08.510] 一个是一个否选择试点，确定的行会自动开启。
[09:12.140] 对，是这样造成了这种膜雌鸡如果不用他，我自己说的你手机设置就比较难了。
[09:19.100] 它是搜索了艾老黄咋还没给你装，稍等我看一眼。
[09:23.080] 慢点。
[09:24.280] 了。
[09:28.330] 唐牙真
[09:29.760] 真不容易。
[09:30.840] 办了。
[09:39.210] 徐涛说送我副脚垫在哪？
[09:41.480] 大家都没到。
[09:42.680] 我没办法跟你说了，
[09:52.190] 您用的苹果手机。
[09:53.580] L安卓手机、苹果、苹果有带数据线吗？您带。
[09:57.380] 我给您找一个，您这个车能把您自己手机高德、百度、Google直接投过来原车。
[10:02.700] 的导航没有咱们手机好用稍等。
[10:07.450] 他这的孩子不错，
[10:11.240] 数据
[10:13.160] 场
[10:32.430] 打电话
[10:34.390] 用。
[10:38.290] 谁知
[10:40.800] 就这么着就行了。
[10:42.200] 看看。
[10:47.040] 这个给你。
[10:56.770] 不是你得搁回家去。
[10:58.520] 不上牌的。
[11:08.840] 你怎么中午饭都没吃来不及，现在后边还排着，
[11:14.240] 都是中午才交车，早上都不来，11:30开始半点应该早吃去。
[11:20.010] 然后这样我先把您连电话连台手机您设置开个蓝牙，告诉我一下您的蓝牙名。
[11:28.210] 也行。
[11:30.110] 系统快速搜索，车辆会自动查找当前匹配能找到个蓝牙，
[11:39.610] 您那时来是不是一直开着？
[11:41.680] 您关一下再开，时间太长了可能也送不到您。
[11:45.560] 然后在蓝牙选项里
[11:48.420] 设置里看一下，
[11:50.120] 没找着。
[11:51.310] 你以前一直是
[11:53.720] 以前天多久？
[11:56.180] 我来这店6年多了。
[11:59.040] 那也很长队，你这个是叫什么名，您不用找我开蓝牙重新开一下就行，我这会重新搜一下。
[12:11.030] 这个事cc
[12:12.640] 找到以后选重点确认手机它会对应提示您配对的。
[12:18.480] 免费对。
[12:21.590] 允许就算了。
[12:25.730] 抱歉20分钟。
[12:28.640] 马上
[12:32.480] 拜拜。
[12:35.190] OK
[12:36.950] 好拜拜。
[12:38.500] 往下。
[12:42.000] 电池电量移动信号会出现的，屏幕上右侧的放大镜是这个车，
[12:48.020] 所有的通讯录他马上会同步进来，
[12:51.200] 在来电一波的同时，屏幕手机是同时显示的亲和就行，自己开车右侧按键上飞机下废话断断续续，
[13:00.200] 如果说您车上有朋友不是很方便，
[13:03.280] 手机接听的同时，您选择一下手机听筒，其他人是听不到的，要不然他是功放在处理，
[13:09.270] 下车自动张开信息清空不存在车上，
[13:12.670] 因为这个车它升级了，
[13:15.540] car play车载
[13:17.550] 原车的导航现在地图装上以后，它没有
[13:22.120] 没有以前好用。
[13:24.290] 抱歉。
[13:26.100] 没事，你怎么了张伟？
[13:29.110] 交着排队，后边没捐，你交完了才能是你。
[13:35.090] 恩拜拜没事。
[13:38.590] 抱歉了。
[13:40.440] 你把这地图给连过去，打开您的手机设置通用选项，
[13:47.440] 有一个cup的车载看到吗？
[13:51.120] 点一下，然后把这个线直接插，
[13:54.400] 投屏的时候，咱们数据线一定要插在USB接口才可以，我每次用还得每次投屏，
[14:01.410] 不是需要一次设置你设备，
[14:04.950] 我们插上去怎么用？
[14:08.560] 对。
[14:09.800] 这是不是有手机壳的过程？
[14:13.560] 前面区域
[14:16.130] 账户自动弹屏，
[14:18.480] 然后选择一个接受继续。
[14:21.310] 前提手机咱们要开几次试这个功能，还有
[14:25.500] 还要分类无法启用，什么意思？
[14:30.080] 小小今后不会玩电脑的，看车都开不了，我
[14:35.190] 不至于。
[14:37.140] 一定是可以的，您这个估计是
[14:40.050] 这个线有点虚，这手机壳的过程。
[14:42.700] 然后
[14:44.210] 等一下让我试一下。
[14:54.600] 我就直接把你的手机屏幕拖过来，这个左下角就是您大屏幕的选项其实是内容一样的。
[15:02.010] 这是手机，如果说您手机靠谱，这连完以后您能干吗？就是电话短信音乐播放器已成票房，
[15:10.200] 视频类的都不可以，比如说您想用高德，您在您自己的手机上打开高德，
[15:17.190] 这样的对应型的高德就可以了。
[15:20.180] 然后内容是完全一致的，没有切出来。
[15:25.060] 你
[15:26.140] 想了点虚拟账号，
[15:28.160] 彻底没有
[15:31.410] 还黑屏。
[15:33.960] 什么情况这是？
[15:35.650] 应该
[15:42.110] 地图是完全一样的，然后您手机随便倒，
[15:45.780] 内容是完全一样的，对。
[15:50.120] 他同车再转车，我每次用的时候我都需要插线，设置不用连了，因为连过一次以后他就会默认是这种现去，我听明白了，今后准备条件
[16:03.350] 用就插线不用就拔掉，同时还电吗通这个车除了这个以外，
[16:10.050] 还多了无线充电功能，苹果的8以上的手机咱们放在这个区域，
[16:15.530] 然后自动冲，
[16:17.050] 稍等7个别的界面。
[16:23.790] 你充上吗？
[16:25.480] 他就机壳用冲着他这有金属片吗？没有有这个不行，有没有我这行不行？
[16:34.310] 只要是8以上都可以充，你估计有金属片的过，
[16:38.170] 能充上它会提升就自动充了，如果咱们手机没有无线充电线充，
[16:45.720] 还有这里面两个USB接口都是没有问题的。
[16:48.920] 大家SD彩色SD卡是现在的导航卡位置，您要拔掉用对吧？你要不用车载导航您就
[16:58.880] 其实因为游客不这车载导航用不用两口K对因为他肯定没有苹果高德好用，
[17:09.240] 手机您收好了。
[17:11.430] 还有的新功能不太一样的，就是这个车有氛围灯64册。
[17:19.020] 对我看看。
[17:20.220] 来这里坐这里，首先咱们是在车辆设定的，给了原车带的，
[17:27.820] 对，原车后边他没有，我给你拿了一本没事。
[17:30.790] 这个叫照明设定。
[17:32.880] 首先第一个就是氛围灯，颜色这个车是64种，
[17:37.260] 咱们现在什么意思？取消的色彩不明显，这个能看出来了吧？
[17:41.700] 喜欢什么颜色色法，您自己去调整他就换了。
[17:45.480] 对，晚上比较明显，白天因为光线强不是特别明显，
[17:50.900] 它是随时可换的，喜欢什么样的条件，我看了晚上停车左右镜子下面OK。
[17:57.270] OK设定好了，
[17:58.890] 都严实，你都调过了，打开15秒就够了。
[18:02.720] 33 30秒39。
[18:05.790] 行外部不好意思，外部15秒是够的，内部你最好是30秒没问题。
[18:14.840] 20手慢，
[18:16.620] 车辆设定里对应的小功能都开启了，到现在这个时候有预警OK这些我都知道没问题是吧？行。
[18:24.610] 还有不太一样，这个车有一新功能文件自动泊车，
[18:30.110] 这个车可以完全的自己找车位，同时自己听。
[18:33.920] 使用的方法也比较简单，还是策划还是后方都可以，垂直侧方都没问题。
[18:42.080] 靠谱可以带您试一下，以后您用不用自己决定？
[18:49.320] 看看这车停
[18:51.760] 了，胁迫捞着。
[18:53.400] 您这车贴的特别快。
[19:03.910] 我先教您用一下，稍等。
[19:06.100] 一条一条去库里找一个车。
[19:09.930] 雷达不一样，这是360度的，以前那事不是没有，我都没有前后雷达，而且没有影像。
[19:17.450] 另外这怎么走买了七八年了，比较薄款，首先说一下如果这个自动泊车使用的话，假设您现在到了停车场，咱们自己挂完钱进场以后，
[19:28.350] 问一下这个摄像头，
[19:30.120] 按完以后它会提示全行车道停车位置，
[19:32.920] 这个车位不管是在左边，右边是竖直的测风还是和尚的垂直，
[19:38.570] 只要您从这开过去，它识别到这儿能停进去，它会自动在这有提示。
[19:42.800] 然后的话不管地上着停车位有没有标线不重要，
[19:48.270] 他认为这个单子能平静，这车他就会提示
[19:52.440] 你需要做开车，比如说车位这有一个
[19:56.030] 用的话一定要开过车位，它才会提示。
[19:59.810] 这个有没收到
[20:01.310] 有数的过程。
[20:03.080] 看着就是找到了左侧的垂直，
[20:06.840] 侧方是竖着的对吧？
[20:09.310] 从那破对，他只要能他就会连续识别，你从那开过它会连续食品，
[20:15.300] 是这样一个过程。
[20:16.740] 但如果说您这个地儿，比如这树了一大，
[20:20.450] 一个车都没有，侧方它不识别，为什么？他因为不需要对她就是谁明白了明白，他有前提的，对。
[20:29.500] 比如已经开过他也会
[20:33.870] 开过以后的话需要做什么，想停看看收费就刹停，车辆是自己
[20:39.400] 停住以后他就问了选择并确认，
[20:42.710] 一个车位没得选确定，如果是左右或上下是多个车位，那就要选一个了，N确定现在挂完倒档，
[20:53.680] 自动泊车完全启动了，您现在需要做的视角带刹车控制车速，
[20:59.590] 其他的全部管理。
[21:01.100] 绿色的两个大宽限是轮胎的行走位置，
[21:05.220] 远端小红线是它的刹车点，到他进不去的时候，它会自动刹停换档在上，
[21:12.110] 这玩意就无人驾驶了，不用踩刹车，您叫岱山是吧？带着控制车速，要不然刹车他会踩的比较硬，无人驾驶
[21:23.490] 建起来了。
[21:24.760] 没问题，基本上
[21:26.680] 把这档子真牛。
[21:28.320] 然后如果您看这事怎么办？
[21:31.420] 到这儿他会杀停。
[21:33.240] 自己对他刹停会换挡，它会停在两车中间，
[21:37.640] 他还得再换，容易把小孩真nb
[21:41.130] 停好以后
[21:43.080] 摘为P
[21:45.860] 体重键结束下车就OK了，只不过停的时候你得掉一头，
[21:51.490] 因为说停在左侧不好下，你现在要开出去一样，
[21:56.810] 你就自己或者你用它也行，现在如果想出还可以赞一下。
[22:02.220] 他还有驶出车位，
[22:04.440] 因为这个侧方咱们只能用出他那不限制，如果你是垂直车位，它会让你选左侧还是右出？
[22:10.680] 一样指出你还是选择确认，
[22:13.010] 他又开始了。
[22:14.480] 他现在先挂这套的。
[22:17.210] 存还
[22:19.100] 出现了，
[22:20.390] 停住以后它就换挡了，这笔钱然后他又往外打，看到吗？
[22:25.390] 看见没车，
[22:27.370] 不让这个时候你下去要控制，这个时候你刹车就用还用了，你要干刹车的，
[22:34.510] 出不去他就换挡了，他会揉，
[22:37.860] 这个车位还是比较大一把劲，我在这停过一个一前后下车，最后大概也就40公分揉了600。
[22:45.210] 他们里面周600说塞进去了。
[22:47.900] 因为当时开过去的时候，我目测我觉得这个小，就是咱们自己挺能差点事儿，这时候就需要自己控制了，提示您了，出来以后就需要自己控制了。
[23:00.070] 测风水之都没问题，
[23:03.080] 但是一定记住挂完倒档以后一定要带刹车，要不然他距离远它初速会比较快，刹车会踩得很硬，有点点头。
[23:12.290] 然后再有一个就是这个车，刚才咱们在自动泊车的过程中它是机械助力，
[23:18.210] 如果原地打他可能放完井没有咯吱咯吱响的声音，咱们自己看就没有这问题。
[23:24.600] 除了带刹车，
[23:26.030] 其他都不管。
[23:27.580] 再有的话，这个车的雷达跟以前不是不太一样了，
[23:32.360] 说一下雷达的状态，
[23:35.430] 车速不够，所以还有我切一下把雷达关掉，
[23:39.290] 完全颠倒您正常的开车，
[23:42.740] 咱们车里障碍物进来的同时，雷达会自动蹦出，
[23:48.420] 您就不用说刻意的去
[23:51.100] 找他，
[23:52.430] 它就弹出来了。
[23:54.320] 颜色离得越近，小格的颜色会越深，红歌量的同时，
[23:59.980] 车距现在30公分左右，建议红和亮就不动车了，这一圈哪里进来都会有，对应两侧也会有。
[24:10.480] 全。
[24:11.860] 车都有。
[24:17.490] 怎么
[24:20.240] 你要干嘛？
[24:25.550] 你发
[24:29.540] 我也弄不了，我后面现在排着撒娇车，现在2:30。
[24:34.060] 你不忙你自己先整一下。
[24:38.200] 你就等着我交完三轮车有时间就给你整，你直接就明早上，那没办法，其实你们都11:30才开始交，全都对得中午了。
[25:01.130] 然后只要理解他都会蹦，就是建议咱们开的
[25:06.090] 距离近的时候稍微慢一点。
[25:08.920] 然后以前那时候只有雷达没有影像是吧？
[25:12.440] 咱们这个车的摄像头是在
[25:15.020] 后备箱的，
[25:16.470] 开口的上面它是隐藏式的，
[25:19.280] 正常的话它都是隐藏起来的，咱们再挂到等同时才翻下来。
[25:24.470] 这样的话比如说您洗车什么都不容易污损下雨。
[25:27.950] 对，他一直而且这个摄像头现在是非常清楚的，
[25:31.400] 上一代的可能晚上看会有什么雪花的那种状态，
[25:35.500] 这个就都不会有非常清楚。
[25:45.120] 雷达关闭这个平常不要关，就是洗车机的时候有可能用
[25:50.730] 腰部支撑座椅侧面在都没问题，好这干嘛呢？
[25:55.720] 这是快捷键导航键进入，然后收音机什么调到调主页面里面有一个内容什么？
[26:06.430] 您说还是这属于
[26:14.960] 首先不接这不靠谱，不是有可能手机说
[26:19.280] 娱乐媒体不是免费，您说
[26:23.810] 现在连荷兰牙了，
[26:25.660] 他这个娱乐多媒体可以听哪些外事装置，首先咱们选择一下媒体，
[26:31.370] 第一个是您的手机蓝牙音频很明显，除此之外一个SD卡的位置以及对应三个月对接口SD卡不是那个打卡，对，你要是不用插到SD卡也可以，比如说听手机的歌曲，您要选择第一个，
[26:46.960] 如果是插在二号1GB上，你要选择二号SB书出来。
[26:51.300] 对比如说现在选您的手机，任何播放器放歌都OK OK，
[26:55.380] C的有吗？没有cd取消了，这车没cd了，已经升级没有了，您在下一代车型连USB接口都没有，都变成TC了。
[27:04.240] 好了，
[27:05.320] 现在已经没有cd了，
[27:07.440] 现在只有什么车上有S450迈巴赫，后排在cd，市内所有车都没有，只有这种轿车类的才会有，
[27:17.010] 已经都取消了行了。
[27:19.850] 好，基本上没什么其它了，其它的对，您记我个电话吗？您这边着急后机动车，如果您哪有问题随时打我电话。
[27:29.910] 139
[27:31.070] 您存一个。
[27:32.750] 1098。
[27:33.960] 6961。
[27:35.910] 郭进这电话也是微信号，如果说
[27:39.500] 对说不明白了，您到时候发微信，小时候照片你赶紧忙去，你先发了，谢谢您真想好好小伙子。
[27:50.710] 没问题是吧？好了你赶紧查了，您加上了是吧？好勒，感谢你的去吧，拜拜。
[27:56.270] 再见感谢放心用说，并且还有最后一个问题，他说现在他有一个还环保企业的东西，对我可以
[28:06.730] 当时是关闭，好拜拜感谢。
[28:11.760] 曼总您好。
[28:15.160] 进来了。
[28:16.730] 过不了马上。
[28:19.480] 我想过不起了，
[28:22.340] 我回去了，而且等于又抓了，
[28:25.380] 搞不起来人家没扣他们的。
[28:29.690] 晾不干了？
[28:31.790] 走了在这了，没走马上走。
[28:34.520] 这个不能用
[28:39.210] 安全
[28:40.200] 电器
[28:41.600] 好为
[28:42.810] 降价。
[28:44.120] 你的衣服
[28:46.440] 还有灭法，还有一个医生三
[28:49.180] 都是
[28:55.930] 以前都不以前现在所有的事都是什么？
