[00:01.880] 要是你有
[17:43.090] 你稍等一下，你给这先生说一下。
[17:52.440] 4835，
[18:03.970] 这个做了先生
[18:09.040] 然后时间的话现在是3.4.0，
[18:12.740] 反正5点左右差不多。
[18:15.920] 换了火花塞还带走，带走就接着他带的话，到时候你放车里
[18:19.790] 滤芯的什么的？
[18:21.890] 放后备箱了。
[18:27.730] 基友就基友政策不要吧。
[18:31.550] 反正你要就机油的话，你再给我准备冲，你要有通的话，到时候我能接着。
[18:39.730] 不要了是吧？
[18:46.120] 走。
[18:53.130] 花
[18:55.830] 了
[18:59.360] 吗
[19:02.580] 5点
[19:07.810] 然后你现在不是车过来了，
[19:10.180] 他烫花在没法下手。
[19:13.950] 烧尽
[19:15.620] 我把单打你帮我箱子，
[19:18.420] 就叫放车里，
[19:56.470] 你帮我签字。
[19:57.920] 重写。
[20:09.220] 场
[20:54.640] 的
[21:01.250] 上面
[21:05.540] 我告诉
[21:14.270] 的
[21:16.950] 的
[21:28.590] 两
[21:31.230] 了
[21:39.540] 我觉得。
