[00:00.000] 公里数来说不太可能。
[11:23.950] 他不是送A保养，我不知道是什么用，
[11:27.790] 他说告诉我那肯定就得送她答应了，
[11:32.280] 就没送到账户里。
[11:35.510] 我查一下不知道是什么时候送，是不是过期了。
[11:38.960] 给苹果说要不给你
[11:42.750] 对吧？
[11:45.160] 接下来开始。
[12:08.280] 骄慢我。
[12:09.200] 谁？刘汉元。
[12:10.940] 我对，我在您店里上班。
[12:15.720] 谁知
[12:19.430] 你说是你送了一个对
[12:23.110] 号，
[12:25.100] 你们说是你说了一个保养跟去年不说份额保养，
[12:31.120] 去年在你修修车，然后说过了，
[12:35.870] 你还能想起来吗？那个时候开始。
[12:39.630] 他们磕头了。
[12:43.740] 去年大概这块
[12:46.400] 推进
[12:55.950] 反正最后
[12:59.870] 月
[13:02.740] 一
[13:07.900] F远场，
[13:13.020] 的
[13:15.490] 数据。
[13:19.840] 坏
[13:23.120] 数据
[13:24.680] 场。
[13:27.880] 的
[13:28.660] 数据
[13:30.830] 数据、
[14:03.920] 数据
[14:05.360] 远。
[14:06.450] 数据
[14:07.850] 数据、
[14:12.510] 五
[14:17.600] 的
[14:22.940] 场
[14:25.650] 的。
[14:29.440] 三
[14:34.490] 10
[14:36.080] 五。
[14:40.920] 上
[15:39.660] 了
[15:51.670] 了
[15:53.090] 了
[15:56.840] 谁知
[15:58.120] 一块发挥到最好是过两两天，因为他玻璃是打交道，
[16:03.220] 看起来好点，
[16:04.910] 因为今天的话他要干的办法比保护他们
[16:08.120] 的身体大了，有可能会有点轻微的，但是你看看出来，我说回去洗车，谁知
[16:14.510] 说一般会问题没事，
[16:16.780] 然后过两天
[16:19.070] 明天再开始我在
[16:21.510] 上。
[16:23.080] 这样
[16:25.550] 这下有什么影响？
[16:28.350] 海水没有。
[16:29.720] 谁知
[16:31.200] 数据
[16:34.030] 数据
[16:35.390] 数据
[16:36.840] 点、
[16:39.610] 数据
[16:44.200] 数据
[16:49.510] 坏
[16:54.120] 场
[16:55.140] 数据
[16:59.550] 一
[17:03.890] 二
[17:06.300] 管理的问题，你能不能给他讲了，谁知
[17:10.680] 找你的
[17:16.310] 第三个
[17:17.550] 这两天算一样的，709最后
[17:21.860] 发票您开公司，现在中学生。
[17:24.200] 这是有效的，对，可能千万要。
[17:30.650] 这确实是110。
[17:34.330] 从我等一会才能
[17:36.020] 用。
[17:37.200] 开始你问我没问题，今天开走吗？你看一下。
[17:40.920] 好，你把空调录好了，明天
[17:43.610] 晚上12点之前开始了，这一会我今天下午已经把
[17:49.480] 我刚才给你找个位置过去的，他们
[17:55.210] 开到
[17:58.390] 数据
[18:02.950] 数据
[18:05.140] 的
[18:10.830] 数据，
[18:16.810] 上海
[18:23.230] 五
[18:26.440] 场
[18:29.310] 的。
[18:37.630] 数据、
[18:39.760] 数据、
[18:45.990] 钱
[18:56.970] 这样
[19:01.560] 的
[19:05.590] 的
[19:10.460] 三
[19:12.810] 的。
[19:21.200] 的
[19:25.940] 场
[19:27.160] 数据
[19:28.410] 的
[19:35.740] 三
[19:37.680] 10。
[19:38.640] 要
[19:40.400] 远场
[19:45.990] 数据
[19:49.890] 场、
[19:53.610] 数据
[20:01.450] 早晚
[20:03.960] 后来看咱们一般都是员工的，
[20:11.770] 就签了。
[20:15.240] 谁知
[20:17.520] 还有多少
[20:19.640] 的
[20:22.740] 这个车右边
[20:25.060] 那边有一个
[20:38.290] 你看一下。
[20:39.400] 你开过来。
[20:41.120] 刚才看一下。
[20:42.340] 对在介绍你好10%，完了咱再给我来回打。
[20:54.990] 远远
[20:56.700] 的
[20:57.480] 才
[20:59.450] 场
[21:02.780] 的
[21:04.360] 的
[21:10.360] 句。
[21:17.530] 坏
[21:18.360] 数据。
[21:31.680] 的
[21:33.570] 数据
[21:38.600] 数据、
[21:43.100] 数据、
[21:44.290] 数据
[21:48.740] 场、
[21:54.140] 的
[21:56.790] 五
[22:00.800] 数据、
[22:07.610] 句
[22:15.630] 过来。
[22:24.170] 的
[22:44.350] 好
[22:53.350] 的
[22:56.270] 五
[23:01.310] 的
[23:03.280] 的
[23:11.470] 另外
[23:16.210] 坏数据，
[23:25.110] 坏
[23:37.830] 场。
[24:10.040] 的
[24:12.280] 的
[24:58.930] 保养、
[25:03.520] 的
[25:13.570] 了
[25:16.280] 咖啡。
[25:22.560] 远
[25:23.950] 数据
[25:27.470] 还得涨。
[25:39.890] 那个叫啥名？
[25:41.710] 二
[25:45.320] 数据
[25:50.280] 对
[25:54.270] 直接搜索就行了。
[26:04.710] 七
[26:13.200] 场
[26:22.690] 坏。
[26:26.330] 场。
[26:29.850] 场。
[26:30.970] 两两的事完了之后然后看
[26:35.000] 一会儿查一下可以有的。
[26:36.600] 63127
[26:42.790] 要
[26:44.790] 没有。
[26:52.600] 不用和办证吗？
[26:54.710] 他说
[26:58.260] 不用和办事，就是他们劳动
[27:03.980] 不是来一客户
[27:06.230] 做保养。
[27:07.380] 之前在你们那分期修车撞车了吗？
[27:12.040] 修来的时候让人给撞，
[27:14.060] 然后说不用抄送A保养，
[27:16.900] 你找
[27:23.130] 这么大。
[27:25.300] 一生气了。
[27:30.680] 你好
[27:40.620] 到时候你给充一下。
[27:51.460] 我估计今够呛。
[28:00.870] 没用。
[28:02.190] 你确实有能给客户办这事就没问题。
[28:06.620] 我对业绩这方面不我注重的是客户感受，
[28:20.990] 明白。
[28:23.610] 没事。
[28:29.860] 的
[28:36.380] 出门。
[28:40.180] 一
[28:40.870] 远场
[28:42.960] 二
[28:44.440] 五
[28:46.610] 的。
[28:49.820] 赵哥。
[28:51.360] 给你回了。
[28:52.920] 稍等一会。
[28:56.510] 没问题行是这样。
[29:01.530] 谁知
[29:07.120] 还有
[29:10.130] 就得跟看车辆车间实际情况，因为你现在11点了，
[29:14.980] 你11点了，他别的活你正常你能给我先做，管管那些，比方说先测电瓶弄过去，
[29:21.200] 我得一块下单，人家得看这个单子具体做什么拍往下拍，不能你不能我就先下一保养给人家了，我一会加一个电瓶，一会加个刹车片，我一会又加个火花塞。
[29:32.460] 人家还干不干？主要是不是电瓶在办公室见过，电瓶肯定要。
[29:36.870] 完了。
[29:37.960] 对吧？我电瓶肯定要挂上，先给我弄是不？
[29:41.800] 有句话你得到什么好好打的，全部
[29:45.670] 估计快跑快跑干不了
[29:48.990] 远。
[29:53.890] 数据
[29:57.350] 场
[30:05.840] 他不是说他也是这样，
[30:08.790] 等维修组的师傅时间长，
[30:12.930] 谁知
[30:17.450] 不了解。
[30:19.880] 我没看过。
[30:22.160] 看照片。
[30:24.910] 没错朋友。
[30:27.590] 我这一个R级的车他换电瓶
[30:32.510] 得拆过几，
[30:33.800] 然后他还有保养，但是保养这边他还定不下来到底具体的项目。
[30:38.400] 但是电瓶肯定话
[30:41.650] 他如果要是说连保养再做换电调今儿
[30:47.080] 把
[30:58.340] 他要是他啥时间也白花了，但是不知道这边换不换，然后
[31:05.400] 刹车电话诈骗这一块。
[31:08.780] 主要是那些空调那些防盗什么的，我在我店他说刹车片换电瓶，
[31:21.800] 我先给你。
[31:24.400] 别的沙龙
[31:27.460] 把那个了
[31:34.800] 为
[31:37.040] 场
[31:39.110] 数据
[31:41.110] 数据
[31:42.010] 场
[31:46.450] 了。
[31:50.970] 数据、
[31:52.350] 数据、
[31:54.520] 场、
[31:55.580] 场
[31:57.850] A
[32:02.010] 数据
[32:05.600] 网络
[32:09.160] 给你看看。
[32:12.020] 号。
[32:16.560] 数据
[32:20.240] 的
[32:24.570] 数据、
[32:34.730] 场
[32:41.250] 花、
[32:45.870] 坏数据
[32:53.330] 的
[33:00.020] 远。
[33:05.090] 对。
[33:08.930] 血管
[33:15.450] 了改一下。
[33:24.840] 保养得弄，
[33:26.990] 空调滤芯待定。
[33:28.790] 雨刷片。
[33:30.840] 点评规划对。
[33:33.350] 我有问题我拍片子。
[33:36.240] 那就留一个
[33:41.790] A宝
[33:44.320] 前后片点评，
[33:46.140] 对吧？对天下尤其是凉的冬天打官司，
[33:53.450] 你在家我的方向盘感觉有点重，是因为我没拍，可能是因为开的不习惯。
[34:01.110] 好，完了开的不习惯要求是吧？
[34:06.400] 您刚才看没啥问题，我看我也没开，开车40万开始。
[34:12.010] 这里边
[34:12.900] 反正这车是液压助力的，比现在大部分车都是电子功率的。
[34:18.040] 用品，对，肯定比别的车要用，就看你平时开什么车了，你要平时开个电子助力的，就肯定感觉这车
[34:28.490] 谁知
[34:31.840] 现在好多车都是电子转向助力液，
[34:36.520] 要求
[34:39.550] 现在为什么说它错加上没有？
[34:46.730] 这电话原来702
[34:49.180] 第2315在帮我那个东西改一下。
[34:54.540] 对我这个车
[34:59.880] 就过两天目标，我要主要是要改行图，然后需要什么特别的做的，没什么
[35:09.330] 没什么出来的照片的就行，
[35:11.840] 或者刹车没事气没问题，你查别的都白搭的，那些东西都是
[35:16.840] 什么3200项280项的检查都给黑色都没什么。
[35:22.210] 9360。
[35:24.010] 不会其他那些没多少钱。
[35:27.690] A保养刹车片，
[35:33.780] 这是单独一个操作的东西。
[35:35.920] 就是放电瓶的电动车。
[35:38.580] 然后有一个
[35:40.730] 换机油的时候，一个清洁剂有300多350没了，
[35:46.440] 我可以说别的没多少钱。
[35:48.720] 刚才
[35:50.290] 咱兑换就清一句，
[35:52.840] 你换机油的7有一个清洁剂就是有必要的是吗？
[35:58.530] 可以这么说，也不是必要。
[36:00.680] 你要说让人家非得让人车间我不掏这钱，你让时间给我找点，
[36:08.360] 正常都得用，通常都在用。
[36:18.380] 这里边
[36:20.850] 这是只刚才打的，包括这里边空调滤芯是空调这方面是1300多，
[36:28.590] 然后就有几有时还有三个养护，
[36:32.710] 是1000多块钱加一块，
[36:34.940] 1万没结算不行，快时间不多对吧？
[36:38.570] 我说钱就在那，对跟主要是提升的，也不影响基本性的话，您
[36:43.260] 跟他们这边的联系，
[36:44.920] 也让他是否能让他们开开窗纸给什么，还有一段时间
[36:50.270] 才回来叫做不靠谱，那就到时你可以等跑完长途回来的时候把变速箱油换。
[36:56.720] 对收购了变速箱油换了是吧？
[37:01.300] 这是建筑那些。
[37:03.960] 差不多。
[37:08.500] 对也可以，他这边电费账单他们对
[37:14.790] 协调，但是金能取也不错。
[37:17.440] 因为你应该可以这块
[37:20.800] 我就说整天定期的反正我先回家，
[37:25.900] 谁知你等会他肯定出不来，
[37:32.380] 他要是出来也得下午三四秒。
[37:34.340] 但是不知道没事小时点的，要是晚上七八点，我那不可能我5:30下班，他肯定得下班之前给弄出来。
[37:41.610] 但我5点
[37:43.340] 5.4小时用过推广，起码那个东西发表一下，
[37:48.850] 电子做一个地方，
[37:51.650] 我再给你
[37:53.960] 车上有。
[37:56.230] 对。
[38:01.280] 旧的刹车片用给您搁车里，
[38:05.300] 这是13年3月份，您先给我留着
[38:09.800] 型刹车片，
[38:12.840] 我就基本上不
[38:15.380] 不可能绝对没换过。
[38:17.810] 因为你这车这边车撞了的时候，煤矿没有4月份，不可能你这车总共就跑了28,000 2000不可能了
[38:25.610] 了。
[38:33.980] 完了
[38:35.030] 2万多羞得像个花
[38:38.040] 了。
[38:40.730] 后来
[38:49.210] 然后他们那边保养，
[38:52.160] 他证明
[38:56.180] 这就是能比A宝的她刚才那么跟我说的，
[39:00.890] 他充那个券他
[39:03.470] 他说如果你要是明天去的话，
[39:06.590] 那个圈就是咱们正好能用上了，但是你要是今取车那个圈不一定能充。
[39:13.090] 笑容比900多对几年了，没事销售管理。
[39:17.800] 然后按照之前
[39:19.760] 然后应该就在原告的诉讼，
[39:23.790] 谁知
[39:25.690] 然后活动内容
[39:29.710] 这个没有了。
[39:34.520] 这样你可以这样，你有微信吗？如果金钥匙用不上的话，你让他冲完了以后给你发一个微信结局。
[39:43.850] 证明I我已经冲上了，这个车确实
[39:46.640] 去年过了还是口号他也没跟我。
[39:52.170] 我忘了。
[39:56.320] 三
[39:57.590] 对。
[39:59.650] 推动感觉药店一般我给客户充我都发个截图，但是如果电话
[40:05.290] 因为我一天有可能接10多个客户，一年得结多少客户，
[40:10.750] 记住多少？
[40:11.790] 我发个截图，你自己手里留好了，队取得了。
[40:15.920] 到时候你拿着照片一看也能想起来。
[40:21.000] 好这一块。
[40:32.840] 虽然说从客户体验跟服务上来说可能不太好，
[40:36.810] 因为你得给客户记着，但是这东西我觉得还是稳妥点不详细，对我觉得还是稳妥第一位，稳妥是第一位。
[40:47.740] 我拿进去了给您做。
[40:50.760] 给新车没走吗？
[40:53.510] 一点。
[40:58.780] 了
[41:03.840] 这应该可以。
[41:11.650] 不知道吗？
[41:14.190] 还是
[41:15.250] 谁知
[41:18.080] 你别那个账面。
[41:20.410] 对，你看看那里边出料的谁知。
[41:29.310] 了
[41:31.730] 了。
[41:32.720] 下面介绍用微信加一下，你帮我接一下。
[41:43.930] 我找你了。
[41:45.300] 谁知
[41:49.030] 好了，
[41:50.550] 对销售送来主要的地方。
[43:05.770] 有那么个说法，
[43:07.480] 这是一个好事。
[43:09.790] 但是跟您介绍一下咱们做什么事就是
[43:15.030] 这是啥意思看看对。
[43:18.850] 首先是这样，
[43:20.190] 他这个东西
[43:21.380] 是一个保险。
[43:23.010] 什么意思？
[43:24.420] 如果你这车
[43:25.940] 来百得利走保险修车了，
[43:28.210] 比如说来买单给的人家，包括你们说说哪儿有伤出租车走保险就说
[43:34.960] 他就单班
[43:36.340] 在您那查就给他提供一个原因，
[43:39.890] 他可以给你返2500块钱，
[43:43.230] 不管被保险人之间，
[43:45.820] 比如有可能我这个车的保单，
[43:48.560] 我这车的保单被保险人是我
[43:51.750] 或者是某某公司，
[43:54.380] 没关系，
[43:55.960] 谁交这个钱，他把钱打到谁行。
[43:58.940] 比如说我开你们家的车，我开你的钱，我要买激励他们，我自己花钱花了1400块钱在这上一个代理车险，
[44:07.850] 等我给你这修车的时候走保险，他不管这车是谁，
[44:11.870] 也不管这个车是被保险人是什么，
[44:15.140] 只要我出保险，
[44:16.620] 我走保险，他就给我找2000块钱，
[44:20.210] 这个不是无限期的。
[44:21.860] 你看污染期的房子日后看着车初出茅庐比较多，
[44:25.800] 然后他每年是
[44:27.600] 最多是两次，就相当于一年出两块钱给你，一次给你2000万。
[44:32.140] 5000块钱。
[44:33.960] 有效期是一年，这一年不断。
[44:37.410] 比如说从今天开始
[44:39.880] 到明年的经费，就是他跟你的保单有效期。
[44:45.020] 没关系，对你明白，这是一个额外的，对他一个额外的，而且它是不管是全责还是无责，
[44:52.050] 你比如说我开车自己碰撞，
[44:54.170] 这个钱也不，然后我开车被别人送，
[44:58.100] 这个钱也
[44:59.770] 就是说照明的个人
[45:03.240] 就那么多活动，
[45:05.770] 就为了鼓励客户来定。
[45:07.980] 我想说因为现在他保险车比较
[45:11.630] 这是百得利公司跟保险修车的得到，
[45:17.310] 这是我们百得利集团跟各大保险公司合作的一个
[45:23.040] 而且这个事
[45:25.500] 不占用额外的出险次数。
[45:28.900] 就是说您比如说我这车要出个门，
[45:32.070] 然后对我就让他报保险修理一下，但是这个就不再单独占用房子，有车修了有人给你，如果要是今天我就出一次险，
[45:42.310] 你就挣1000块钱，因为你交了1490，他烦你了，不高你不
[45:52.550] 您
[45:54.600] 咱比方说您之前肯定也来修过车钱，以前就是什么我修了车了，出了钱了就修完了就完了。
[46:01.990] 就没事了，但是现在是我了，总想有人给我有点钱，
[46:08.280] 而且也不少1000多1000块钱到您手里是1000块钱。
[46:13.720] 别动。
[46:23.660] 三
[46:29.140] 有需要
[46:34.640] 保养的
[46:39.750] 的话，
[46:40.700] 还有您的光临一般会用多少时间？用年。
[46:47.710] 如果打算常用，
[46:49.990] 很清晰在
[46:52.550] 我们在
[46:53.800] 7月底之前还有这几天，一节可以延长保留期，再延长2年或者是延长4年。
