[00:00.000] 7月17下午三点几点出的时候，我会看一下哪个是我看
[05:36.460] 怎么才能给准确给实际领导，您什么时候换？
[05:40.370] 你置换的话，现在反正待会对我的
[05:47.520] 然后要拿我问一下我谁知肯定不一样。
[05:53.520] 我当时刚才今天我才过来，
[05:57.780] 后来
[06:00.800] 差太多。
[06:01.590] 我不知道是不是你谁知
[06:04.610] 沃尔沃
[06:07.560] 不是ID，比其他的国内有没有关系，尤其是在奔驰这方面，他所有的价格全部整个市场都是透明，因为公司不强制东西，
[06:16.790] 没什么可比的，都是税交国家的保险，你想上什么验车，正常店里都是统一的，目前基本上2~3500。
[06:25.430] 电影。
[06:27.240] 我去拿个单子您稍等。
[06:33.990] 场
[06:37.410] 场
[06:38.280] 场
[07:25.850] 的名字吗？
[07:32.770] 句
[07:35.950] 实在点。
[08:25.280] 你说方法。
[08:30.860] 杭州银行一样的。
[08:33.240] 高。
[08:36.130] 现在
[08:37.620] 方面
[08:40.470] 自营店级别
[08:42.620] 安全性，
[08:44.180] 自动驾驶L1L2
[08:48.710] 他叫4成型和驾驶辅助组件不一样，
[08:52.350] 它是识别的，它是可以设置距离，一格代表是100米的距离。
[08:57.160] 好这样他只是怎么说自身巡航在中国这其实意义并不大，因为在国外可以达到自动杂志，中国这都给他减弱了，
[09:05.790] 老配置能锁定的都锁定了，
[09:07.580] 所以在中国就是属于这种偏向无人驾驶算法。
[09:11.310] 人
[09:12.710] 要
[09:19.920] 使用一下。
[09:21.310] 三板。
[09:21.920] 300。
[09:22.880] 还有号码。
[09:38.120] 4
[09:53.300] 号
[10:22.430] 参加
[10:49.870] 这边您也是分期是吧？
[10:52.250] 想带几年？
[10:54.190] 有你利率达多少着？奔驰金融的大概一年合不到一点几。
[11:01.510] 一点，这是奔驰金融参加这些。
[11:04.640] 没有属于最高是三年，奔驰没有手续费，那就
[11:08.220] 三年和两年。
[11:10.340] 快三年了，行，稍等，我给您算一下首付比例想控制在多少？一半。
[11:15.320] 一半行。
[13:29.240] 他这远净事
[13:31.340] 只做的舒服程度是吧？
[13:33.250] 您是指哪？
[13:34.820] 可变悬挂调节它是多连杆式悬架可以自动调节，比如说他店这种保证室内的舒适性，
[13:43.270] 他不是高级的有关系，不是高低的。
[13:47.320] 不是那种叫空气什么北京
[14:13.530] 保养不高，
[14:15.490] 比宝马要便宜点，增持的A宝是1158倍，保是1600度AB循环一年11,000公里，保养不行，
[14:23.630] 可能甚至比官网还便宜的，对分支现在各项都是按照服务公约执行，各项都非常透明，
[14:29.950] 这也是10,100对1万或者一年一保养就行。
[14:34.300] 我那车一般都超一点，也不我也。
[14:36.920] 对你直接上去三大在抄几百公里之内也不超太多。
[14:43.040] 比如说假如说到1万不到1万公里到一年了，应该包含肯定的话，机油是保质期了。
[16:31.680] 有时间了。
[16:32.520] 可以，谁知
[16:34.740] 但是我有着标了，
[16:36.250] 大概客户产品不想让他得要原件。
[16:38.710] 电脑上。
[16:43.600] 这让卖。
[16:54.120] 应该是假的话，它就是复印在私下协议上的。
[16:59.460] 给您看一下，在报价之前给你宣读了公司的雇佣军，
[17:03.780] 咱们是秉着客户为主，以礼相待，诚信经营、书法得体，明码标价、公开声明，佩戴渠道信息公示，然后购买中介说是全部捆绑销售强制消费，
[17:12.880] 售后维修保险绝不使用价值，以及同行4008181抱抱接个电话。
[17:18.890] 这边给您介绍一下，
[17:20.900] 购车人王先生指标人，然后lc260豪华300没写为
[17:25.430] 手机号，这是18210383068。
[17:29.360] 颜色这边你先打给我电话。
[17:31.330] 这不是您的吗？
[17:39.170] 我看一下。
[17:42.620] 可能他们开拓卡了没事。
[17:44.640] 我就不对，您是139的是吧？
[17:47.360] 同时开两个没事以后给您。
[17:50.560] 然后指导价就咱们公司价格，咱们公示价格牌422,800，优惠现金43,000，优惠百分379,800。
[17:58.520] 开票价格
[17:59.650] 税的话咱们开票价除以11.3，就是准数上下活动在几毛钱，33,611。
[18:05.260] 不是电力验车，北京牌2500%，保险像人保平安太平洋人寿选择那边
[18:10.910] 上什么险种客户自主选择，因为经常买第一年保险都是打83折，什么车都一样，
[18:15.900] 这车大概在1万块钱左右，基本上到不了1万以内置换，旧车价格单算新车直接补贴6000商业险，假如您上1万咱自费4000就可以。
[18:25.200] 然后而且购车的话给您提供一些EB两次保养，
[18:28.700] 相当于两年的连工时费都免，什么钱都不用花了。
[18:31.590] 然后落地选款的话就睡验车，
[18:33.970] 车价税验车保险房去补贴总共是419,000将近42，
[18:39.600] 分期的话这边50%首付，就车价的一半189,900，代189,900。
[18:45.410] 36期三年的每个月还利息的还5563块多，
[18:49.800] 本金还完36期5000多块钱，连连利息尾款的话都还完了，
[18:54.980] 待了将近19万，差100块钱，
[18:57.170] 三年总共利息10,390块钱。
[18:59.670] 对利息相当于1.1.8号转化的一点。
[19:04.520] 银行年化换算利率是1.8。
[19:07.920] 对这非常低，而且本身没有任何手续费的，这是然后这300的话就是车因为基本没什么车，他就优惠少，
[19:14.480] 少了小孩没少到哪一一千块钱。
[19:17.460] 449,800，然后优惠完是407,800，
[19:21.620] 税36,089，保险的话这车大概在1万左右，
[19:25.610] 然后也是回来6000一样的提供ea B
[19:28.690] 电车也是固定的，落地的话是452,000，
[19:31.840] 然后也是一半贷二十万三千九十八万三千九，每个月还6000来块钱。
[19:37.490] 然后您三年总共利息的话是11,000多，但是分怎么说，你要是贷款300就2.0合适了，
[19:43.590] 因为他一折合你就花掉什么钱，首付多交1万多块钱，
[19:48.010] 您总利息你看着是11,000多，
[19:52.310] 这是10,300多，差几百块钱的利息。
[19:56.500] 行对，这里我还可以奔驰非常没什么可比的东西，就这个价格就是最后价格，这是销售顾问实际的价格，就是最近您购车能给您的随时都有效，具体的话肯定得找领导谈在网上。
[20:10.420] 在网上估计如果他定的话，而且没法给您保证准确，才能假如说今天来了，您确定了就能给你说，我给您申请完了，您就这么一条忙，
[20:21.030] 这今儿来了您能申请完你能定吗？
[20:24.350] 或者说您是对当天有效给您申请完了，您不订这价格都废了。
[20:30.150] 对，没有用。
[20:31.960] 对，您看对着报价单还有什么疑问吗？他给您解答，没有什么顾虑方面的吗？
[20:37.930] 数据就是看看这个
[20:41.120] 我们再想一想，如果比如大家差不多的时候，
[20:44.100] 因为原来看的是不如了，对再跟你说行没问题，这哪怎么说，刚才您说的您开往上不能往下管。
[20:51.870] 对，你要是网上换都没问题，或者您过来了就不用了，您才多大？
[20:58.080] 下边二维码要是能扫描对服务中心进行调研，回家整都可以。
[21:02.650] 这边的话您下次过来的话，最好带着驾照带人一起过来一下，感觉一下。
[21:09.630] 车辆您都了解过是吗？行没问题。
[21:16.670] 你要是老客户介绍有优惠吗？
[21:19.280] 在这买过车吗？
[21:21.130] 叫老客户介绍那就出来。
[21:23.100] 对，您得问一下老朱，在这介绍的话，他是给老客户会推提供一个采访，
[21:28.840] 这样对您开车了吗？没开车行，明天这边会占用您一两分钟给您打个回访电话，您开始上午下午几点钟方便打扰您休息？
[21:38.570] 下午
[21:40.300] 我中午就完了，行慢点我随时打电话看车，主要和我们还有别的这边宝洁那边我记得
[21:48.930] 我们之前都看到了，
[21:51.400] 我高兴我怎么过去对他们走出来，我在网上买观察，拜拜。
[21:57.440] 沿着走吗？
[22:02.800] 没给我打电话。
[22:04.140] 大哥不是不好意思。
[22:07.670] 水滴这是个操拿过来我的价格敲我的。
[22:13.270] 我怎么价格？
[22:14.790] 房屋的价格，
[22:20.370] 张嘴这有个10来万，我说你赶紧买。
[22:42.550] 行着吗？
[22:43.650] 凝胶你给他拉上去。
[22:48.690] 下午I我专长。
[22:50.600] 这边真的
[22:52.390] 上路了。
[22:54.560] 我看看你都忘了，可以搞一点。
[22:58.840] 看头发没做，还是公开还没项目。
[23:01.950] 他的紫薇
[23:03.880] 她上报之后，你看看照片上手机号139105348，
[23:10.050] 置换就说明开了更
[23:14.290] 三年一半，
[23:17.130] 两个人和皇后300公里，202 364、205，
[23:23.990] 这三
[23:25.890] 重点就是说国家考虑代人小时候的味道今天不在家。
