[00:04.480] 行，我看着车去，您在这稍坐一会儿。
[05:46.490] 然后谁知。
[05:49.200] 谁知。
[05:52.680] 百
[06:06.030] 上次
[06:08.610] 您那车上
[06:13.800] 您这车上次存了一个这次的基础B宝，基础B宝是不用花钱，其他的我再给你检查一下。
[06:20.530] 别的用这有什么事没有没什么，从小想
[06:25.890] 风声还是什么事是什么声，
[06:29.340] 我的客户就过去了，然后正好报小狗那堵他，然后就撤了，行行好吧。
[06:37.410] 行，然后涂了多少钱，上次就预审了这次基础B保养。
[06:43.000] 就是B保养换机油、机滤空滤不用花钱。
[06:46.090] 那是当时办了一个套餐出来了。
[06:50.070] 好像都少了，对少了。
[06:53.360] 少花200多块钱。
[06:55.640] 这个账号。
[06:58.990] 而且
[07:02.050] 谁知
[07:04.190] 我就正常给您做就行。
[07:11.100] 点。
[07:17.040] 五
[07:18.790] 数据。
[07:20.920] 的
[07:24.120] 写得差了。
[07:29.470] 我可以给您一明细，
[07:34.680] 但是给不了发票了，对他的
[07:42.590] 下半年就可以，不是上次等于上次那钱就收了，这次不收钱了我知道，但是这回去我也跟会计说一下，明白是吧？对。
[07:53.390] 对，我给您一个账单。
[07:56.270] 把。
[08:05.820] 气囊没货了。
[08:11.950] 还是。
[08:16.840] 你肯定也有过。
[08:20.230] 现在把这个了。
[08:23.760] 行行等会保险。
[08:26.620] 修车了，保险停车它就可以把。
[08:31.390] 能单独还给您。
[08:33.770] 都可以。
[08:34.800] 现在。
[08:40.350] 你在别的保险
[08:45.210] 一个卖包装，然后
[08:50.220] 约了，然后
[08:52.440] 这段时间好，告诉要。
[08:57.310] 意思比如说您的车，比如说你这车上边有外观上有方，
[09:02.720] 场
[09:05.200] 数据
[09:27.420] 坏。
[09:38.020] 为
[09:42.640] 我知道昨天了。
[09:46.000] 没事。
[09:48.950] 咱2万也好，
[09:56.800] 23
[10:04.090] 因为它这个是固定的，单次最高罚缴分离，
[10:07.240] 焦点怎么可能我心想这个办法，
[10:11.540] 这是咱们的宝贝这个是吧？
[10:16.160] 对了，我看您那车玻璃上也有伤，您打算今年走保险要
[10:22.570] 要是准备指导，对，就要是想弄的话，您可以办一
[10:28.850] 这走一次给返一次钱。
[10:31.140] 跟您正常走保险是一样。
[10:33.740] 只要您想修他想走保险，我就说还是交易制度。
[10:38.090] 1500交一个1500走一次，您这车不管是别人是走这份保险，还是走别的车保险的，是别人把您车蹭了，
[10:48.530] 它就是一个代步车补偿险，您不是没车开了吗？
[10:51.830] 有一次给你2500块钱，
[10:54.900] 我交1400。
[10:56.200] 交1500 1498，
[10:58.860] 走一次，不管是花多少钱，跟您这车花多少钱没关系，
[11:03.260] 超过10万了那就给你直接给1万。
[11:07.300] 如果要是低于10万，每次是给您返2000，51年反帝反两次，为啥说你要是想修的话那是最合适的，现在这是最合适的。
[11:17.290] 完她当时谁知
[11:23.870] 就把按照二做一块，有一次给1000。
[11:29.010] 他一共如果总我们之前的东西都不是弄之前，这是疫情期间刚有的从上个月
[11:37.130] 从上个月刚开始办的，就是到什么时候我们也不太清楚，也应该能做一段时间。
[11:43.910] 但是他有一个提前您得提前15天交，比如我想今天就修，这不行，咱怎么
[11:53.650] 谁能不能给修了，修上之后应该是一周或者10来天应该就能打到，您就打到
[12:00.740] 被保险人的账户上。
[12:02.770] 被保险人是你们。
[12:04.440] 公司那就打到公司的账户。
[12:07.640] 对，那应该是打到公司账户上。
[12:10.910] 这应该肯定是合适的保险。
[12:14.980] 在这诉讼
[12:18.390] 我问你。
[12:22.150] 这个也都是正常开发票的，反正这样就是公司和
[12:26.800] 我们看看啥叫什么同时消费，对，这就是公司格式，要是。
[12:32.000] 前两天有一个被保险人公司的车被保险人是。
[12:36.390] 是客人自己上的，谁过来办保险，他半个他自己的走一次保险你直接打到他这了，不。
[12:44.300] 有如果您查。
[12:46.840] 您看您保单。No。
[12:49.040] 了吗？您看您那保单，我感觉第一次也无所谓。
[12:53.010] 看你这样自己推荐的，
[12:56.750] 那就更合适了，要是自己的那也合适。
[13:01.870] 第二版本有专门的都是自己的公司，都是自己的钱肯定是。
[13:10.160] 走一次保险肯定是。
[13:15.520] 保险、
[13:30.040] 行，您就休息一会，这边尽快给您做，大概。
[13:34.570] 开始你们开的周五，周五您二楼休息会，一会要什么事你再给我打电话。
[13:41.620] 好吧？可以。
[13:44.120] 您坐一会儿还是给你不用了，您说等我一下。
[13:55.090] 要
[13:59.800] 给你们
[14:05.440] 已经有客户。
[14:08.200] 这东西。
[14:11.020] 保险的跟你有关系又不。
[14:15.960] 我觉得没那么便宜。
[14:18.760] 有点不信了是吧？我刚才跟您说您。
[14:21.660] 您一年保险花多少钱，您就想这么大店在这，他不可能骗人的。
[14:27.190] 心想就算年年保险基金。
[14:30.470] 大家要积极往前数两块板块，
[14:37.430] 保险公司客户也会比方说要广告没办法，
[14:49.410] 400
[14:51.040] 点完了。
[14:53.860] 我还说然后小的时候用前面那个合同。
[14:58.600] 拿到了，然后把那个东西未来
[15:02.650] 然后反正都是正常的高照片，然后搜了一下，
[15:06.780] 说等等您这车修完了就好了，好你们单独把这2500块钱打了。
