[00:02.760] 2020年7月28号韩春晓客户李莉教授录音，
[05:09.150] 小旋钮上下传是仪表盘的亮度，
[05:12.360] 屏幕的亮度调整，
[05:15.350] 方向盘左侧只有这一个长胆敢集成的功能，转向灯，
[05:19.280] 左和右
[05:20.410] 雨刷看一下，分前后左侧小三角是全域刷，
[05:25.020] 指向当前零是关闭，
[05:26.930] 上面有两个虚线两个实现，这个虚线代表感应的开的话，你往上顶指向曲线，
[05:32.570] 首先会刮一次，
[05:33.990] 下雨的话会自动刮刷，不下雨不完刷。
[05:37.180] 第二个速度要更快一些，灵敏度高一点，
[05:40.390] 上面的单实现双实线，这是强制慢速度一直
[05:45.420] 快速度与卦根据需求去选择就行。
[05:48.630] 玻璃水前风挡的话是侧面按键，
[05:51.750] 这个按住别撒手。
[05:53.580] 这是后雨刷按一下。
[05:55.780] 后雨刷。
[05:57.130] 这会有提示。
[05:58.650] 赞一下是关闭
[06:00.620] 左边滋水的案件尝试后风挡的玻璃水，
[06:04.660] 黄仁的话是不是都会来闪两下？
[06:07.130] 眼光推出去，这都是一致的。
[06:10.320] 等会让我再想一下，您说的只要是圆圈的都是钱的是吧？前玻璃的对小小三角全是，包括所有的全是钱的，只有版，这两个是后面的号。
[06:25.440] 我就这样。
[06:26.550] 然后方向盘的调整，这个车是。
[06:29.610] 卡扣在这，打开。
[06:31.960] 根据习惯前后高低。
[06:34.490] 小位置。
[06:36.120] 完以后死就可以了。
[06:39.520] 这个方向盘可以。
[06:41.600] 也是直上直下的是吗？就是一个前后的位置，然后高低也有一个俯角是吧？那就行，四向调节都是四向调节。
[06:52.210] 对，因为有些是两向的是吧？
[06:55.120] 晕控的控制，咱们看这三个文件控制是左侧。
[06:59.120] 一盘散沙。
[06:59.750] 这三个对应控制右边，
[07:01.610] 首先小房子是一个主界面，让您按一下以后他会切到主界面的一个状态，黑色中间这个按键直接左右滑动去选，
[07:10.110] 选好了按一下相当于却身进入
[07:13.350] 行程里第一项，这是这台车的里程9.5公里上下滑动。
[07:19.490] 当前车速
[07:21.760] 车辆的一个能耗记录，
[07:24.050] 包括
[07:25.210] 您平常驾驶习惯的记录，
[07:28.090] 百公里油耗平均速度驾驶公里数，
[07:31.240] 总里程的话驾驶员公里数，
[07:33.350] 蓝色是剩余油量，续航还有74公里，
[07:36.840] 这个界面根据喜好随时调整都可以，喜欢哪个界面搁在哪个上面就可以了。
[07:43.090] 咱们再看电话、
[07:45.350] 导航、收音机、媒体这几个界面和。
[07:48.320] 物业是完全一致的，待会又4次介绍。
[07:51.520] 主题和险是指的是仪表盘的风格界面，
[07:55.890] 经典是蓝色，
[07:57.830] 运动是黄色，
[07:59.780] 前卫、红色，根据自己的喜好去调整仪表盘风格。
[08:04.000] 再有
[08:05.780] 保养，这里都是一些基础性集体，是比如说行驶一段时间，首先会有4个轮胎的压力值，
[08:12.230] 缺席会有报警，
[08:13.660] 快到您保养的时候会有提示，
[08:16.140] 对应的冷却液机油缺失也都会有中文提示。
[08:20.240] 左边、
[08:21.330] 对，不用转，它会自动蹦出来。
[08:22.900] 一般搁在行程就可以了。
[08:25.040] 岗位的话试驾过，首先怀挡在这儿了，提示能够在
[08:29.380] 方块内的白色字母字母代表您在当前档位挂档的前提必须踩刹车，否则挂不上。
[08:36.150] 往下是前进，
[08:38.130] 档位跳转，手刹解除，雷达会在右侧大屏自动弹屏出现，咱们随着距离的接近，看一下雷达的状态，
[08:47.850] 他就蹦出来了，颜色黄橙红离得越近，
[08:51.700] 颜色越深，
[08:52.970] 红个量的同时警报响。
[08:55.690] 收费站漂亮跟
[08:58.350] 记住红歌量30。
[09:00.090] 对，咱就不再动车了。
[09:01.600] 这车头好像还真是。
[09:03.420] 比较高是吧？开轿车的话跟视角不一样。
[09:08.350] 了实际上不一样，我得好像这样子一样，这样可能好一些。
[09:12.720] 到荡胆敢往上推到底，
[09:16.070] 到迎首先会出现
[09:18.310] 最下面银色的蓝色的是您后保险杠，
[09:22.250] 这条红线是车辆停车的临界点，
[09:25.680] 内侧的两个大宽限代表咱们轮胎当前的从目前所位置
[09:29.920] 动方向盘它也会告诉您怎么打轮，
[09:32.260] 左右两个外侧的气陷是车宽，
[09:35.430] 后雷达一个是看这，一个是看红线。
[09:47.680] 看他也开始提示了，
[09:49.370] 红线上食物白墙
[09:51.900] 这种情况
[09:53.440] 办理强就这么远。
[09:55.140] 就30公分，对，你要再到杠杆就蹭上了。
[09:58.780] 又见一泓质量不动了，
[10:00.420] 两边4个门左右的位置离近了都会有提示，您就记住红歌量不动车就OK。
[10:05.010] 了我知道同时。
[10:06.750] 这个车的话档位还有一个自我保护功能，不管您是前进档倒退档，
[10:11.260] 车速只要低于11公里，如果您的主驾位开门现在是到底。
[10:15.300] 看一下档位的变化，
[10:17.780] 它会切换为驻车手刹会自动上，只限土家开。
[10:24.100] 停好车您需要做的就是直接按一下侧面按键，
[10:29.760] 然后直接灭车，手刹会自动上就不用管了。
[10:33.830] 右边这个大屏幕，首先开关是金属键往下长按，
[10:39.200] 它会提示关闭或开启我就不关了。
[10:42.570] 操作大屏幕，这三个空间以及右边中控板都是控制右边的。
[10:47.690] 小房子和小房子就是现在主界面。
[10:51.140] 左右滑动点击确定这一致。
[10:54.040] 同时这个就是触屏，把您的电话设置打开蓝牙。
[10:58.040] 对滑动就行。
[10:59.520] 我把那个电话给你连上。
[11:04.480] 看一下大家名字说
[11:08.110] 30退伍季
[11:11.080] 它会自动查找，找到以后选择。
[11:13.970] 它会提示手机做一个配备。
[11:17.330] 对，然后您稍后
[11:20.370] 点一个同意就可以了。
[11:23.400] 您看电池电量移动信号都出现了，这个是您手机所有的通讯录。
[11:28.620] 马上就导入了。
[11:30.370] 来电一波的同时，屏幕手机同时显示您自己开车这个案件上推是接听下推出挂断，
[11:36.550] 有了声控系统，所以以后
[11:40.210] 打电话就不用那么费劲了。
[11:42.800] 比如说您手机现在有个人叫I
[11:45.530] 您打的话练完了牙以后你上
[11:52.200] 呼叫。
[11:54.640] 请告诉想要拨打的号码或者联系人的名称元。
[12:01.280] 我正好来电话，没事，明天接着。
[12:07.820] 上了没两天，
[12:09.460] 到了生活不能像
[12:13.100] 还没弄好，
[12:15.930] 弄好了现在正在交接。
[12:21.390] 行。
[12:23.000] 没事够了。
[12:24.440] 没事够了。
[12:26.990] 好我先挂了，等会再联系你。
[12:32.750] 后来上吹先激活语音。
[12:36.830] 呼叫。
[12:39.120] 请告诉想要拨打的号码或者联系人的名称。
[12:46.020] 正在呼叫花园的私人固定电话呼出了，
[12:49.900] 我就挂了。
[12:51.320] 呼叫加名字，因为他是一个电话就直接护住了，如果是。
[12:55.650] 二个电话。
[12:56.820] 它就蹦出来了，您选一个就是猎户座就记住呼叫家名字，电话本里的名字就可以了。
[13:02.090] 导航一致也是可以声控的上推。
[13:05.350] 导航是你们自带导航还是我手机的？原车导航现在导航怎么样？
[13:11.910] 导航还可以，因为是有实时更新了，所以就比较好跟以前那种小sd。
[13:17.070] 卡得比这个要好很多。
[13:19.060] 但是您要说
[13:20.580] 高德百度Google比那肯定。
[13:22.590] 要差一些。
[13:23.940] 上推。
[13:26.840] 导航。
[13:29.360] 请告诉我您想输入的目的地。
[13:32.530] 金融街、
[13:36.360] 精选了一条记录这个位置是吗？所以你就每次说话得冲他说清楚就行，计算路径。
[13:44.090] 选择自己的需求，导航自己又开始。
[13:46.660] 去跟着路线走就行，取消就点这个
[13:51.160] 除此之外，收音机的调频本身都是摸着挺好的，就用滑动就可以了。
[13:57.150] 其实礼拜二调频比较少，音量上大下小，
[14:02.730] 废药厂。
[14:04.070] 存储的话找到自己喜欢波段。
[14:06.890] 点击小加号它就存进来了，清除常人选项删除，
[14:11.270] 或者您直接说也行。
[14:15.040] Fm94.5，
[14:20.470] 都可以，除此之外。
[14:23.780] 空调的调整也可以用声控，你看现在是20度。
[14:29.780] 请将空调调整为18度。
[14:34.160] 好的。
[14:35.190] 我把温度调到18度，
[14:37.760] 就接过来了，再有的话。
[14:44.230] 手机咱们连玩蓝牙以后想听哥您就记住了，选择媒体的界面。
[14:51.370] 他会默认是您的蓝牙歌曲，如果
[14:54.820] 听歌手机直接放就可以了。
[14:57.320] 对。
[14:58.080] 对，我还需要试一下，不用。
[15:00.200] 点一下试一下。
[15:01.440] 无所谓的。
[15:03.480] 随便找一个播放器就OK了。
[15:08.480] 他这个音箱的效果比较好是吗？
[15:12.010] 还可以。
[15:17.650] 那就开始。
[15:18.540] 好，剩下一整点这两个也行，左右滑动型大屏控制桩问题。
[15:24.070] 这儿设置的您看一下，
[15:26.370] 有一个音响的选项，中高低音可以根据音乐风格或需求去调整。
[15:31.230] 包括。
[15:32.810] 输出的重点位置现在是居中的，你可以天昨天又偏偏前后都可以选择。
[15:40.960] 再看一下车辆。
[15:43.780] 功能是相对选项多一些的。
[15:46.050] 快速访问里只有。
[15:47.300] 二项E sp是防止车辆甩尾侧滑的。
[15:50.750] 茂盛开启咱们就不做关闭了。
[15:53.860] 雷达关闭，刚才演示雷达一圈对应的黄鹤楼小盒提示，
[15:58.670] 洗车机的时候有可能离得很近，它一直会想临时冠。
[16:02.950] 一下。
[16:04.200] 出来以后一定想着开启，一般不要
[16:06.910] 辅助项里都是这个车的主动安全，默认开启就不做任何变更或关闭了。
[16:12.490] 车辆里都是一些对应的小功能，首先轮胎因为不是极寒地带，不换灯离开这个不用动。
[16:19.570] 锁车喇叭响声就提示您做好车辆。
[16:22.660] 车速1~15公里，这4个门的中控室自动。
[16:25.960] 阻止了。
[16:26.790] 还有就是锁车镜子电动折叠收回来，
[16:30.240] 包括缺油了加油站提示。
[16:33.020] 最下面这个待机模式，您关注一下他
[16:36.500] 关闭发动机的前提下才可以选择。
[16:39.500] 干吗用？比如这车您长时间不开，
[16:42.170] 咱们列车以后把她选辆变成黄色的，
[16:46.860] 这种情况下，
[16:48.230] 您下次长时间不开，上来以后他会把电瓶的供电量降到最低，
[16:53.900] 防止您长时间不开。
[16:55.400] 打不着车去练的。
[16:57.240] 我觉得。
[16:58.390] 照明的话，
[17:00.000] 第一个就是氛围灯颜色64种，
[17:03.830] 这个多色彩您选择的话动态他是有色。
[17:06.900] 细的看到吗？
[17:08.190] 还有这些色系的，您可以去选择去。
[17:12.360] 如果您觉得。
[17:13.490] 都太票了，咱们把不动产取消掉，单一的64色色板，
[17:18.170] 根据循环选择就行，多次踩您选一个
[17:21.310] 自己喜好的色系就可以了。
[17:26.920] 亮度也能调。
[17:29.290] 越高越亮，有一半足够了，晚上就非常亮的一个状态了。
[17:34.510] 锁车离开的同时，咱们可以让大灯照亮一会延迟熄灭，建议15秒一般够用。
[17:40.850] 对，车内延迟也是对应的，还有晚上您停车左右的镜子下面两侧会有小的照地灯出现。
[17:49.180] 系统里的时间不对，我就给您。
[17:51.640] 跳一下。
[17:55.960] 市区都没有选，稍等。
[17:58.170] 现在。
[18:12.640] 好对中国它这大头它最下面
[18:19.380] 上英文的鞍山中文的对。
[18:27.670] OK。
[18:28.500] 时期对表情自动都切换过来了，都不用做调整了。
[18:32.570] 然后再有
[18:34.680] 这一行全是车辆空调的手动调整，
[18:38.510] 兰空店头温度上加下减，它是半妒半周调整的。
[18:42.940] 然后风量
[18:44.290] 最大是7冠，一定记住这个县官。
[18:49.170] 开的话都可以无所谓。
[18:51.320] 自动空调就关只能是手动吗？不是应该电动的也可以吗？
[18:57.250] 对电动的话，空中没有出行。
[19:00.080] 赢没有出庭，对，这只能在这儿观，就是所有空调的操作这种的都是手动。
[19:08.710] 然后自动空调设定车里的一个合适温度以后，点亮凹凸见车就会一直保持这个状态。
[19:16.000] 雨雪天如果遇到起雾的情况，这是前窗除后窗处这两个键点亮，
[19:21.640] 双闪的位置在中间。
[19:23.170] 对。
[19:25.140] 这个是内外循环，目前室外循环亮灯是内循环雾霾扬尘制冷空调建议内循环。
[19:31.440] 制冷一定想着开AC。
[19:33.900] 右侧是风向调节，定在这儿，就是您吃什么位置，前锋挡正面，脚下自行去切换，它是一个循环的状态。
[19:42.000] 出风口水平状态都是开启，垂直状态都是关闭，角度就是上井字形去切换这种情况，对。
[19:51.190] 这车有一个自动启停，是在这儿默认开启，您不用摁一下，这会显示关闭状态。
[19:58.260] 什么意思？就是每次启动
[20:00.580] 这个功能会默认开启，在您开车一段时间以后，水温油温进入工作状态，同时会出现什么情况？
[20:06.870] 这个车辆只要杀停静止不动了，
[20:09.630] 这时候发动机会自动熄火，
[20:11.620] 它的目的是结构减排，
[20:16.320] 不堵车您就正常用，如果说走上下班路非常的拥堵，频繁的启停对发动机并不好，
[20:23.470] 咱们就按一下，
[20:24.600] 这个状态是关闭，关闭以后，
[20:27.060] 不管这个车不停车，发动机永远是一个工作状态，
[20:30.870] 她不会灭车了。
[20:32.250] 建议就是不堵车，你就开着，如果是上下班又还是关了，因为太比北京太堵了。
[20:38.530] 基本上就是用不上。
[20:40.220] 对，我也觉得基本上用不上这些，对。
[20:43.060] 小的一个组合，这样不用您关闭就行了，这有两个杯托。
[20:48.810] 这两个药吗？10号。
[20:52.080] 都一样，不分主次这样的是什么？这条装饰作为装饰对没有用。
[20:58.030] 这个案件是快捷进入导航一键进入。
[21:01.580] 第二个蓝牙音频和收音机是一个案件。
[21:04.760] 按一下蓝牙赞一下收音机的切换。
[21:07.740] 按Q他。
[21:09.760] 电话
[21:10.910] 一线进入，
[21:12.020] 包括小的收藏家意义不太大。
[21:15.840] 就是说小图标跟您手机的爱好是的，它可以承受顺序，
[21:20.360] 您也可以给自己给他新建重新建立名字都。
[21:23.660] 可以也不太大。
[21:25.220] 车辆刚才金融看到了，
[21:27.590] 停车怎么样？
[21:31.200] 自动泊车，有事吗？我试过试过，就这个必须得按一下才能自动波车才能启动。
[21:37.230] 对。
[21:38.480] 意一下您的状态，比如说到了停车场怎么用这个功能，首先就挂一先进，
[21:43.510] 挂完以后记住安摄像头，
[21:45.610] 它会提示前行对吧？
[21:47.760] 然后在找的过程中他就开始找车位了，找到以后她会在
[21:52.970] U盘上对应车位标识出现，这时候车是在后方看到以后想停就自己去刹停车辆，
[21:59.310] 停住了，他这就变成选择并确认对吗？
[22:02.830] 一个车位没得选就能确定，如果是左右或上下是多个车位，就滑动到需要停的位置上。
[22:08.800] 自然确定他会提出关注到达。
[22:11.050] 关到两自动停吗？对自动火车的。
[22:14.320] 你要挂完倒档以后才是自动泊车。
[22:16.680] 对，只要挂在倒档之后才自动。
[22:19.860] 是找车位找到以后，你要自己去。
[22:22.110] 任去哪个车队？
[22:24.180] 外玩到档以后，
[22:25.330] 倒影那时候就不是黄色，是绿色的印象，对，然后他就开始找了。
[22:31.710] 这种情况下在挂完到档以后一定要带着刹车走，不能完全抬起来。
[22:37.700] 当时不是跟我说那个是假的时候说不用管他骂不。
[22:43.430] 一定要带刹车。
[22:44.880] 一定要自己带上。
[22:46.040] 要不在刹车会踩得非常硬，他会点头的就嘎登一下到那，
[22:50.610] 一定要带刹车控制收缩。
[22:55.120] 天天向上，好好。
[22:59.840] 一定要宰杀说切记不能吧。
[23:02.840] 说。
[23:04.120] 我得白色是经典就行是吗？但是它是控制车速，你要觉得快乐就踩得深一点，他慢点走，就是这意思。
[23:12.770] 但是。
[23:14.090] 他进不去的时候他会换挡吗？他会杀停换岛内都是他自己操作的，但是建议您
[23:20.820] 会不会有影响，我的意思就是让您一定带刹车控制车速，如果离得远的车速可能快，
[23:27.310] 他刹车会采纳，非常应当一下就到那订了，一定要在刹车。
[23:32.900] 都可以了。
[23:34.300] 一定要带，千万不能忘号。
[23:36.600] 我记得对平衡了以后记得吗？它会自动切换为P挡，对你就完成了，按下启动键就结束了。
[23:44.010] 然后自动驶出功能也是要按这个吗？
[23:47.560] 对你停进去，你先是必须事先停进去以后，
[23:52.090] 你在上车的时候启动，按一下它才有自动。
[23:55.460] 支出，如果说这个车位是我自己倒的，我让他自动驶出，还有应该没有这功能，只能是他自己到来之后他。
[24:03.120] 在会稽一这个状态。
[24:05.580] 侧方，因为我不知道您是垂直的还是侧方。
[24:08.470] 方顺性的。
[24:10.200] 左侧方OK，
[24:11.290] 但那种状态他就只能报上去，
[24:13.710] 对吧？如果你停的是一个这样的车位，垂直车位，你在选完车位以后，他会多于一个选项，叫做倒退前进。
[24:22.470] 印、
[24:23.230] 倒退指的是倒着进车头冲外前进，指的是车头进车尾冲外，还有两个选项垂直车位才会出现，
[24:30.890] 侧方不会有这点区别，其他的完全一致。
[24:35.680] 驾驶模式，这个车对应的在这C字母上下选择由低到高，分别是节油一状态，
[24:43.180] 舒适C以及运动S这三个模式由低往高涨，每上一档这个车的动力都会变强，功率放大，同时提速变快。
[24:53.210] 他的
[24:54.060] 油耗会相对高一些。
[24:55.750] 一般的建议就是C
[24:57.970] 舒适就可以了。
[25:00.830] 这个车有手动。
[25:02.250] 高速的时候是运动吗？
[25:05.780] 我告诉您三个的状态，这三个模式都能跑到120，比如说你要想开高速的话，但是他在
[25:13.800] 0~120的提速是不一样的，S是最快的，他跟你这个没有关系，
[25:19.380] 你就是哪个模式你都能跑高速，只是它的提速不一样。
[25:23.270] 哪个相对来说比较常用，就是舒适比较多，因为它是树。
[25:27.860] 平换的，对他最成熟的。
[25:30.320] 是有点像S的那种。
[25:32.810] 他动力输出的对比较大，换挡间歇会比较大，所以它提速会变。
[25:38.070] 快一般的话还是舒适
[25:40.740] 号。
[25:41.500] 手动挡
[25:43.040] 刚才挂档地市。
[25:45.480] 想开首档的时候，方向盘左右各有一个播片，按一下这个拨片的同时，它就变成手动状态了。
[25:52.510] 这时候你要换挡，
[25:54.380] 必须对拨片进行干预，右侧按一下家长
[25:58.870] 当天车速不够，左侧上睑倒，否则你给多大元他都不换，他遇到这个状态怎么办？就是这个拨片你要搂住她不要动。
[26:07.980] 看两秒。
[26:10.280] 他就切换成正常模式了，别到时候开着开着碰了，会出现什么情况，你光给以后他不走车，为什么低档位高转速。
[26:18.330] 这种情况对，因为这个位置还真是容易碰。
[26:21.680] 要是老这么习惯这么过，没事，你要是随便两边有可能就容易触碰到。
[26:28.110] 再有这个车它不是USB接口，是这种小扁口叫TPC
[26:34.780] 您安卓的系统可能都需要买TC的转换头
[26:39.370] 才能充电，您这是不是也是对应USB接口充电？对。
[26:42.910] 所以得买一个tbc的转换头，大概是6块钱一根，
[26:46.660] 才能插上对应。
[26:48.000] 这是什么样的tp C口。
[26:51.550] 因为他那个型号还是不太一样得。
[26:54.280] 是不是得有那个没有。
[26:56.400] 直接搜tbc转头就行，都是一样的。
[26:59.430] Pvc的是想象。
[27:02.320] 是那小扁口对小编。
[27:05.040] 椭圆的行动好像是。
[27:07.160] 这有点像的接口是吗？有点像对。
[27:12.000] 但您那一头不是USB。
[27:13.870] 对。
[27:15.230] 你得事先是一个小平口对曰载着，另一条是1GB的对接口跟您那数据线才能对接。
[27:20.640] 在充电俩对接窗口，对。
[27:24.480] 因为让你买USB口他可能用更广一些，比如说听U盘能直接用，
[27:29.520] 你要是TC转TPC你就只能用你这个手机，其他的苹果你要是用肯定用不了了。
[27:35.950] 因为它都是USB这样一种
[27:38.620] 他说买一个
[27:40.490] 多头的是吧？也可以。
[27:42.890] 其实一般就是转一个USB。
[27:45.570] 耻了。
[27:46.510] 这一横的话全都是车辆的灯光，
[27:49.530] 阅读灯左侧在这，
[27:51.840] 对应的右侧。
[27:54.230] 阅读灯有什么用，晚上用。
[27:56.930] 就是照进右边的，对，这是左边一个右边。
[27:59.980] 以前是在这个位置是吗？
[28:02.000] 化妆镜有专门的化妆品东西。
[28:04.320] 对，你聊起镜子它就自动亮了。
[28:09.040] 第二个也是设定一个开门亮灯，比如说晚上没充电，这车门只要开，
[28:14.570] 它会自动谅解，次门一关好都熄灭了，车辆的前排照明，
[28:20.760] 包括后排。
[28:22.280] 两边是可以独立开启控制的。
[28:24.910] 这两个介绍一下叫me互联这个车里有一电话。
[28:28.980] 卡。
[28:29.640] 跟您的手机又没关系，激活这个功能以后能干嘛，首先这两个文件您
[28:34.950] 它会自动接到奔驰的服务后台，
[28:37.260] 由人工接电话，同时又是三年的一个免费使用周期，
[28:41.430] 密标识这是一个信息咨询件，比如说
[28:44.800] 您想订机票、酒店、餐厅查询兴趣点，
[28:48.320] 包括出去玩旅程的咨询服务，或者说您这车开工中遇到问题看不了了，抛锚了，
[28:54.170] 道路救援都是这一个。
[28:56.070] 按SOS。
[28:57.760] 尹集呼叫有人员受伤紧急情况。
[29:00.640] 奥采用平常不占用，就是说比如说有时候要拖车只能按宓是吗？
[29:07.220] 天窗和张连就是这一个案件您往后的第一项是掀开这样炼。
[29:13.170] 对广高速的话，如果说
[29:15.840] 小放弃，改良以后往上推。
[29:21.350] 第二下往后就这一个档就这么大梦，只能伸这么大，
[29:27.070] 那两个口都只能伸这么大，那两个因为这不是两个玻璃。
[29:31.700] 对后排固定的都。
[29:33.400] 打不开，后排打不开这个。
[29:35.190] 只有前排的天窗可以动，
[29:37.720] 后排都是固定动不了的。
[29:39.640] 这个口好像。
[29:42.270] 对，就是跑高速换季用。
[29:43.850] 了，其他都可以伸缩那种的，没有前后这种开大气的有。
[29:51.890] 我说是翘起只有这一个岗位。
[29:54.580] 前后
[29:55.990] 小婷随时然后最大就开到这儿。
[29:59.020] 我想说不会，我记得应该都。
[30:01.030] 有一个对这叫平开那张特写。
[30:04.140] 启示。
[30:06.150] 往上推，对他会后边翘一份起来。
[30:08.970] 往上走，
[30:11.080] 然后
[30:13.620] 往往这个推是指的是说。
[30:17.430] 第一完全关闭的前提下，你第一下首先要开启张连才能开天窗。
[30:22.290] 窗，所以第一下会把连打开。
[30:24.530] 打开以后，如果你想测窍就是往上推。
[30:28.070] 平开就是往后推，它是两个位置。
[30:31.540] 网上是
[30:34.260] 然后往后是平开。
[30:36.500] 你要是说
[30:37.950] 我开他的手直接就想开开，大的停开就别往上推这一下，直接往后。
[30:42.640] 可以了。
[30:44.010] 观都是两下往前先关窗后关联，这都是。
[30:47.390] 的。
[30:48.900] 有漏雨情况吗？
[30:51.690] 应该没有。
[30:52.900] 理论上
[30:55.380] 说理论上会有他漏雨，是因为你的导水槽堵了，你要是导水槽没问题，他不会留在这上，它会有点里头直接就顺出去了。
[31:07.220] 就是说怎么看，比如说有没有哪个奔波。
[31:10.870] 不会出现这种情况，因为你这个上面不会
[31:14.270] 都是雨水。
[31:15.680] 对，你看不到里头。
[31:16.980] 条的，因为有可能比如说
[31:20.140] 咱们比如说有可能你在高速行驶忽然下雨，然后开着有可能
[31:25.670] 渗水不大可能不大，对。
[31:32.100] 这个是手动防眩目后视镜，正常呆到一个后档视角就行了。
[31:37.360] 晚上如果眼光刺眼，小黑哥这就这么做一个折射就可以了。
[31:41.560] 他那个光源就从车顶上反过来就不会刺眼。
[31:45.230] 了
[31:46.040] 有一个光线的
[31:49.890] 调整。
[31:50.850] 这个是现在正值的，看的是后风挡玻璃，你上推这个光源就从车顶做了一个折射，在。
[31:57.920] 来，所以就不刺眼了，这样的状态。
[32:00.710] 这设计还真是挺好的。
[32:02.660] 所有车都一样，你要是手动不是电子方向路就是带着小哥的都是手动，
[32:07.620] 不带的都是电控，它本身就。
[32:09.270] 麦克风我用过，我就这功能基本上没说过，也没怎么看过对不对？基本上就是从来都睡觉。
[32:16.730] 下回回去可以试试。
[32:18.150] 这块还是不让放那些挂饰是吗？对。
[32:21.570] 尽量不放，影响视线应该是。
[32:24.480] 列车就直接按一下，启动的时候必须踩刹车，带一点青G
[32:32.000] 前面。
[32:33.330] 一本就是这些功能，看看有哪些事情了解的。
[32:36.040] 老师没问题，咱就下车说说外边和后备箱有些东西做个轻点。
[32:42.520] 以前不是这块可以放个小冰柜没有了是吗？的就是装小冰柜。
