[00:00.800] 是啊就他首次现在开始。
[08:03.630] 啊你们这里边还有这么多呢。
[08:09.320] 就是没人接。
[08:10.070] 嘛
[08:10.540] 嗯
[08:20.580]  G l o b. 哈
[08:21.880] 嗯
[08:23.320] 为什么？
[08:24.430] 身份证是身份证写上我看看。
[08:27.200] 你他妈给人写这么一个字。
[09:10.120] 1367这是他的是吗？
[09:11.660] 嗯
[09:21.810] 你能你能你能解释清楚吗？
[09:28.080] 没关系。啊
[09:30.480] 对对。
[09:32.880] 什么
[09:34.880] 嗯
[09:35.840] 这个这这情况应该是不太对，这确实不方便没问题，你要说都没有问题，
[09:42.070] 但是这事儿不能那么说，啊
[09:44.610] 三分钟之内我个电话我还没来得及给我打光，还没起来没发这个信息，你有什么路？啊
[09:51.330] 原来的。
[09:52.240] 那个那个
[09:52.800] 什么
[09:53.980] 自己。
[09:55.500] 被告人
[09:57.480] 说完了。
[09:59.010] 20分钟。
[10:00.020] 9公里。
[10:02.320] 那接的了吗你？
[10:04.920] 啊中国车对对我现在已经在核定。
[10:08.620] 成交了再说。
[10:10.240] 不是动电脑的吗？
[10:11.840] 能理解吧？
[10:13.390] 就是是这样吗？因为因为。
[10:16.730] 啊对。
[10:19.210] 可以吗？
[10:21.130] 我我没意见。
[10:22.490] 一个一个班子一个是500还好。
[10:25.960] 啊
[10:28.440] 第二个
[10:30.050] 有些东西可以看到，
[10:32.140] 他就说没事。
[10:36.090] 你好，吴先生。
[10:37.900] 登记完了，来下面给您收好。
[10:40.760] 呃咱们是这样，
[10:42.540] 那咱现在出发还是过会。
[10:44.940] 噢他他他是
[10:48.130] 唉可以。
[10:49.440] 没事，您先看看，我在那个前台那儿等您。
[10:52.560] 嗯
[10:53.440] 噢就是我啊我觉得挺好的。
[10:57.210] 表示他的行为
[10:59.750] 没有了。
[11:01.410] 好。
[11:03.010] 嗯
[11:05.370] 你看能不能
[11:11.680] 你就开不了了，您要是这样的。
[11:16.090] 没有，我也不会再去，我也不会再。
[11:18.560] 我也同意在群里发别人说就是说说嗯嗯
[11:24.210] 好来，
[11:26.160] 你把我签个字。
[11:29.640] 咱们私下沟通，我刚刚给您需要吗？
[11:32.120] 唉听到水您需要不用是吧？然后您再帮我签个字，试驾过程中别超速的违章，
[11:37.360] 如果发生交通事故的话，请您和处理，稍等稍等哥，还有一个谢谢。
[11:44.190] 然后您再掀石头火车站大概9公里20分钟左右好吧？
[11:49.500] 那那我问你三为什么三分钟之内呢？
[11:52.570] 等着吧你去了，头发被热了。
[11:55.970] 我也挺好的。
[11:57.060] 代劳工作。
[11:59.030] 那个试乘车架路径，要不然我跟您说一下，因为我知道
[12:02.910] 追加不了啊那走吧。
[12:06.200] 嗯现在我就是和那个
[12:08.600] 这个市场上那个那个货架，车上是40万全部拿下来。
[12:12.840] 就差一点买之前谁接待的您？
[12:15.290] 啊
[12:16.960] 他那个是。
[12:19.180] 呃是什么电机和油混合的，啊那你都试驾过了你就直接开。吧
[12:25.050] 都了解过了，也都是老客户了，其实也不小啊对就这说。
[12:29.710] 呃
[12:31.000] 那先生您就
[12:32.920] 你你说你这样说。
[12:34.800] 啊
[12:39.440] 我坐坐就行。
[12:42.920] 我靠
[12:44.040] 这是我感觉挺好的，
[12:45.820] 必须要适合我的那个
[12:48.000] 嗯你们大技术再加上拿这么多。呢
[12:52.980] 对，啊这这样的没错，那太。
[12:55.480] 空调怎么调？啊这个
[12:57.240] 来。
[12:58.120] 去年是不是便宜？啊
[13:00.580] 别超速别违章，然后呢您借好安全带，调压座椅方便盘后置镜就ok了。
[13:06.280] 唉去年是加价50万，啊
[13:09.050] 啊前几个月差不多也是在50左右的价格，当然现在北京已经控制期，全国有一个控制器应该到年底才会有近500，慢慢的没有了。
[13:21.150] 啊
[13:21.920] 近500位暂停几个月的生态，所以说现在都没车了。
[13:27.830] 原因是没车在家也在家。
[13:30.530] 嗯市场紧俏一般都没说了。
[13:34.120] 好累。
[13:37.830] 我我还特别喜欢那个大鸡。
[13:41.480] 这没有手刹是吧？唉呦
[13:43.440] 咱们右转。
[13:52.330] 唉你还别说，唉
[13:54.090] 我还真觉得这车可以啊比grc还便宜，啊他
[13:58.390] 你看我一看就行了，
[14:00.280] 这是比较适合我的身体。
[14:03.810] 简洁大方是吗？然后在在右转。
[14:06.920] 这车的动力是多少？
[14:08.390] 1.5t是吧？1.33t然后变速箱啊7速变速箱，
[14:13.130] 1.33t相当于多少？
[14:14.700] 2.0，呢但是它的收入功率是120千瓦，
[14:18.080] 所以说调的比较高，百公里加速是9.4秒，它动力比较差，好像
[14:22.720] 不是高兴好一点，啊所以说您看现在您感受一下我感受一下动力，这款就是小排量的。
[14:31.300] 就没有动力大一点的吗？没有没有2207的。
[14:40.530] 那么大的。
[14:41.710] 我现在也不在场。
[14:45.710] 牵头是吧？
[14:46.890] 拿不到头。
[14:53.090] 唯一
[14:54.410] 开的最高的有
[14:56.600] 我爸生病的时候，
[14:57.790] 嗯现在差不多多少？
[15:00.310] 噢
[15:03.310] 干了180。
[15:05.110] 其他还有没有？
[15:08.890] 用了120条。
[15:10.600] 嗯
[15:11.360] 然后咱们这款车同样采用的也是直接转向系统就是跟加入c来说你都体验过都差不了太多。
[15:19.320] 是怎样的呢？
[15:20.560] 嗯一样的还行。
[15:22.650] 呃说实话一上车的感觉比grc还好呢感觉，
[15:27.680] 然后稍微也很舒服，然后转向也会比较轻是吧？
[15:31.890] 对，开起来，然后开起来感觉也没什么困。
[15:35.470] 就是可能动力差一点是吧？
[15:38.430] 不会出没有那个什么，哈其实一般的第一第一批车质量会好一些是吧？对对对对。
[15:45.870] 好好的。
[15:46.860] 我买的第一辆车都有不同，
[15:49.590] 我就想着他们应该是应该还没卖了。
[15:53.380] 那个要不是第一批车半年好，我不上次不是
[15:56.710] 客户啊就是
[15:59.290] 卖了5000块钱，
[16:01.000] 啊5000块钱。
[16:02.580] 哼
[16:03.510] 我不是把那个养孩子又送给他了吗？
[16:05.790] 噢
[16:06.750] 嗯好的，这是个什么呀媳妇？
[16:08.600] 呃矿石东西。
[16:11.970] 下次你去也可以啊
[16:13.560] 让我们两个人
[16:15.350] 好像你的眼格在那了是吧？
[16:17.630] 还是上次那速腾我还做了呢那速腾，他撞坏了我慌了4万块钱修起来的，
[16:23.690] 上次他去接我就去拿的速成好不好？
[16:27.380] 唉那车嘛
[16:29.250]  one。
[16:29.960] 尽量知道吧？
[16:31.330] 这个车就是高配。吧
[16:35.340] 嗯别管对对就是时尚就是高配的高配。
[16:40.030] 这个车肯定要卖高配，因为它便宜，嘛现在也是第二次。
[16:43.510] 这就是最高配置了是吧？
[16:50.240] 加油是有那么一点拖沓，
[16:52.830] 那你这主管到条条也打不开呢。
[16:55.990] 嗯
[16:56.820] 卓越当时
[16:58.150] 是分数的一体的吗？
[17:00.990] 指出自一体了是吧？啊咱们是9速变速箱，
[17:04.500] 合7速变速箱，
[17:05.960] 那声带不
[17:07.200] 有换挡拨片，
[17:09.570] 你想超车的时候用这个话筒能不能再摸一个下来？
[17:13.370] 我这边也找了一下，咱们这台车没有换掉，嘛就像这里一样，在这在这两天一个
[17:19.360] 嗯
[17:20.990] 如果你要换卡的话，大部分都在测，我选择公示期也可以从我的位置直接调一下，你看到也有模式。
[17:26.920] 这样比如说你要提速，啊各方面来说还是比较好的，这样公路上看也足够了，
[17:32.950] 对吧？
[17:33.680] 如果给你换到正常的数值模式的话，就是咱们最常用的模式。
[17:43.310] 他现在用这个号是因为什么好了，
[17:45.630] 啊那这个你要他干嘛，那你超市的时候怕过一个
[17:51.190] 动力很高，啊
[17:52.870] 每次都让他再出去是吧？咱们这冲南乌桥往那初夏，
[17:58.790] 对他那个车吧你你
[18:01.480] 在后面一弄完，吧他开一段时间，开个一分钟，他自动就跳过来了。
[18:07.280] 你妈
[18:08.460] 降低了那个这车也有什么问题，我感觉错了，整个车轻
[18:14.790] 嗯很明显。
[18:16.300] 没有加上税那么重，对，就感觉的那个感觉还是轻。
[18:21.480] 北京。
[18:24.040] 唉嗯
[18:25.120] 10万10万10万，对差不多10万块钱左右，这办下来也就三十四五万。
[18:30.530] 要么呢
[18:31.350] 是吧？
[18:31.880] 咱们从这该出了，
[18:33.130] 噢
[18:34.020] 呃您看一下5座还是7座的？
[18:36.720] 噢还有7座，呢对。
[18:39.790] 这是个5座这是7座的啊这是个7座的是吧？
[18:43.860] 做股票的时候我们家里这些人
[18:45.960] 反正5座都都办齐了，差不多也就在30左右这价格了，130 30左右高配是吧？呃没有200加入一二百动感型。
[18:57.160] 不是要高配，呢高配就就只有7座，没有没有其他的朋友，对就只有这款车是吧？
[19:03.610] 他多少钱？
[19:04.870] 差一个5个一个7座差不多差了
[19:08.450] 呃1万多块钱，你们的配置是一样的。
[19:11.240] 配置来说多了一个俩座，然后多了一个氛围灯。
[19:17.350] Right。
[19:18.240] 没有。
[19:18.780] 啊
[19:20.050] 还有假如说您平时这车就上下班代步用的话，基本上就不
[19:24.920] 50万就够用了。
[19:33.160] 你要不要下来，上来
[19:35.040] 我们都不知道。
[19:36.890] 你开好车开的这车开的不一般，
[19:40.260] 这车就是太轻了感觉。
[19:42.600] 明显清。
[19:54.760] 操控感还可以。
[19:56.280] 嗯
[20:10.980] 没错。
[20:11.700] 以后也还会有。
[20:17.280] 什么
[20:18.780] 被上诉人
[20:21.610] 噢
[20:22.870] 条件比较硬是吧？
[20:25.490] 还有什么？
[20:30.570] 你坐后座还可以。
[20:35.040] 它这个是平的比那个好。
[20:36.820] 我我又
[20:37.660] 也不喜欢玩的东西，
[20:42.450] 建立了后排，
[20:44.300] 我也觉得
[20:51.880] 然后咱们一直走上坡再下坡出去就行了。
[20:55.610] 看一下。
[21:03.310] 你这手里缺个东西，
[21:06.160] 你把那手放在这放在那个档位上，
[21:09.200] 发展
[21:09.920] 嗯哼
[21:16.010] 很喜欢了。
[21:46.600] 肯定能走那那个什么？
[21:48.820] 五流红红红什么？
[21:50.990] 嗯
[21:51.700] 红光多的是他妈这是路上。啊
[21:56.370] 差不多。啊
[21:59.700] 啊咱们从这出
[22:01.550] 泡沫没问题，我告诉你就我那个死虫子上了，老板那回去那个也拿不错，那时候可收拾他们，
[22:09.340] 就跑跑扔不上堵路，堵堵的就翻那个山，我有时候要
[22:14.860] 挂胰岛，挂二岛那个时间就是上上不去，啊
[22:19.280] 我拉着小张是不是开那个开他们车？
[22:22.020] 你们三家去哪里做？啊
[22:32.000] 除了穷点整体感觉还不错。
[22:34.300] 我感觉里面还挺好的。
[22:36.440] 我们语言还看上了，
[22:51.000] 是吧？
[22:53.060] 他骑着车你知道吗？
[22:55.230] 因为它这个高是吧？它这个顶高
[22:57.990] 让人感觉不压抑。
[23:00.230] 不知道。
[23:01.270] 我认为是
[23:06.310] 他们他们从这儿又搬进去。
[23:13.070] 你的卡宴
[23:14.320] 嗯
[23:18.050] 这还不是科研，这叫什么？
[23:20.610] 噢我真看是这么的，因为小孩买那个车走了之后，
[23:25.260] 就这个
[23:27.640] 那为啥没买？啊
[23:28.880] 太低了，不是他那个是4座的是吧？没有5座的。
[23:35.570] 100块钱。
[23:37.960] 这个给人感觉怎么也办不了，你看到没有？
[23:41.100] 对对。
[23:41.940] 这你怎么看也看不了这个。
[23:44.480] 这个可能
[23:57.320] 这个车的重量比grc能差多少？
[24:02.750] 这个应该是1.5吨左右，那个大概是1.8吨左右差不多。
[24:19.900] 穿山
[24:20.840] 44万，
[24:23.080] 全办下来全办下来40。
[24:25.140] 呃
[24:26.550] 对。
[24:27.390] 他跟joseph差不多。
[24:29.540] 差差不了5000块钱。
[24:32.610] 他办下来看一下，
[24:34.710] 那这个车办下来可能三十二三吧32估计差不多是吧？
[24:39.330] 差不多。
[24:43.740] 挺直的，
[24:48.750] 就感觉没那么高档，
[24:50.370] 是吧？
[25:03.430] 唉我怎么记得1.5t啊1.37是吧？
[25:06.480] 对，这都有一两三批了。
[25:09.830] 你知道吗？
[25:10.810] 嗯原被告签字。
[25:34.670] 设计的也挺好是吧？整个一连板
[25:55.440] 唉你想你打开听一下，
[25:56.960] 把。这个
[25:57.960] 好勒。
[26:06.030] 呃听这个听个音乐。
[26:08.300] 然后咱们有一个MBox功能的，比如说
[26:11.740] 呃你好，文池。
[26:13.840] 你好。
[26:14.970] 有什么可以帮您收音机调频90.0，
[26:29.300] 就放个音乐随便放个音乐。
[26:33.870]  This is over from the x m s m CE e z
[26:37.640]  hi, this is karen barnes from austria. 
[26:56.760] 没有所有的车位都可以用。
[26:58.750] 那就听到了。
[27:00.810]  Very nice. 
[27:06.190] 往上摸摸到底就行了。
[27:08.370] 一型房子可以了可以了是吧？对有道理有道理，你只要看一看那个 r n d挂上倒档r就可以了，
[27:16.570] 这没问题了。
[27:18.510] 不习惯。
[27:21.510] 我现在没听懂。
[27:22.290] 每个影片我都不会照抄，我听不通过我都不看，你们还影响吗？
[27:27.520] 不习惯看这玩意儿。
[27:29.850] 这可以吗？
[27:31.600] 稍微稍微往我这边来点，没事。
[27:51.430] 美啊是吧？
[27:53.080] 成没问题，谢谢。
[27:55.140] 你来来来来来来来来来来来来来来来的谢谢优秀优秀，好拜拜拜拜拜拜好好好好。
[28:04.730] 嗯
[28:05.350] 可以是按一下按一下是吧？对对对可以了，然后带我去最终物品就可以了。
[28:11.510] 是黄芪。
[28:12.960] 嗯
[28:15.250] 嗯嗯
[28:20.670] 你们也说。
[28:24.350] 我
[28:25.050] 没事我来吧对不起那没事没事没事。
[28:30.310] 没有
[28:34.480] 你们要买的话怎么买，然后准备怎么办？
[28:36.850] 啊
[28:37.490] 我看到。
[28:38.560] 这个
[28:39.020] 找他用那些话。啊
[28:40.800] 西湖下给您评估一下，咱们店里有评估师，
[28:44.520] 还是回头到时候您准备换的时候再说。
[28:50.280] 比较符合我的眼光。
[28:52.350] 我还是觉得。
[28:54.840] 大小也还行。
[28:55.900] 哈
[28:58.090] 行，您一会我看一看，其他的不需要了，您就
[29:01.280] 嗯
[29:02.940] 你办起来不是32万左右吗？
[29:05.190] 对，30~30万左右。吧
[29:07.670] 对。
[29:08.870] 250做的差不多30左右。
[29:13.410] 这个
[29:17.830] 二。
[29:24.470] 但是7座的话每两年年检一次错。啊
[29:27.360] 嗯
[29:28.260] 什么意思？
[29:28.720] 啊
[29:30.460] 嗯
[29:31.340] 那就是前6年在是吧？
[29:33.980] 呃前6年每两年选一次车。
[29:40.530] 87年。
[29:42.250] 谁知
[29:44.750] 嗯
[29:47.390] 那咱们找个地儿休息一会儿，然后给您做一个报价好吧？
[29:51.340] 需要喝点什么吧再。
[29:53.030] 老师
[30:09.720] 有的地方
[30:10.900] 对我们的
[30:14.110] 就是有的地方价格就是
[30:16.240] 不让我们在一起
[30:17.930] 坏数据。
[30:28.290] 没有
[30:52.790] 不一样的。
[30:53.690] 嗯
[30:57.380] 大部分好像
[30:59.520] 五。
[31:02.780] 你好这位先生。
[31:04.550] 就在这。
[31:05.870] 不是这样的。
[31:08.370] 嗯
[31:09.480] 嗯
[31:10.280] 非常好，下面我们
[31:11.800] 没有
[31:13.330] 嗯
[31:16.730] 四圆白白的，
[31:19.360] 同时呢
[31:20.420] 是谁的？
[31:22.550] 嗯
[31:23.730] 这个
[31:25.040] 嗯嗯嗯
[31:26.440] 嗯
[31:30.000] 去年还是去年。
[31:31.140] 嗯
[31:31.860] 还有第二个问题，
[31:33.100] 好好好
[31:34.320] 坏数据
[31:41.410] 数据、
[31:46.340] 数据、
[31:50.890] 数据
[32:04.870] 这是一个前提。
[32:07.120] 唉呀来了咱们一起
[32:12.760] 数据。
[32:19.010] 嗯看到了
[32:21.530] 重点强调一下，
[32:23.370] 我们有一个
[32:25.040] 嗯
[32:32.520] 还要再给我。
[32:33.720] 也不用。
[32:34.650] 数据
[32:36.830] 可能
[32:57.920] 双方当事人之间
[33:06.520] 可以了。
[33:11.100] 嗯
[33:12.660] 买最近
[33:16.120] 我说您这是打的最近购车吗？
[33:18.500] 对，你有想法随时就可以倾向于全款还是分期啊是的。
[33:24.000] 嗯就是说你考虑分期吗？还是全款给我退？
[33:28.500] 我说您是分期吗？啊对对对对嗯。
[33:33.190] 都可以都可以是吧？
[33:35.460] 哪个要分析要优惠一点。
[33:37.530] 啊对。
[33:39.960] 要优惠划算就可以，分期划算，我就直接现金直接选款了。
[33:44.650] 好了，这车主要是家用就是您开好勒。
[33:48.300] 然后我给您做一个分期的方案，吧您看看觉得合适你就考虑不合适，可以不考虑。
[33:53.010] 嗯
[33:54.400] 嗯利率多少？
[33:56.920] 我
[33:58.350] 就是tmd
[34:00.270] 我我给您算一下。
[34:02.560] 然后整个车有点轻，嗯然后把双眼都给拿掉了，我这边跟不上，先装上看看。
[34:11.270] 就是半蹲那个先放在
[34:13.560] 后备箱。那个
[34:15.730] 不好意思。
[34:16.270] 啊
[34:17.280] 您那个都需要给您做一个评估吗？
[34:20.870] 嗯还是说等您确认好以后到时候确认好吧？唉
[34:25.500] 12年2月份的。
[34:27.600] 12年2月份73,000公里是吧？
[34:31.560] 不好意思啊那个样子这个样子。
[34:34.350] 那个张张张静玲。
[34:39.960] 是是是
[34:41.650] 所有的这些
[34:43.860] 好好好好好好。
[34:46.500] 被告人还有没有辩论意见？
[34:48.260] 嗯
[34:51.100] 好好好好
[34:53.710] 嗯嗯
[34:54.870] 嗯
[34:56.270] 那么他可能
[34:57.480] 的
[35:15.600] 城市化改革的
[35:21.680] 电脑
[35:24.810] 的。
[35:28.470] 嗯
[35:29.730] 二
[35:43.110] 因为你没有
[35:44.640] 数据，
[35:49.750] 你像这样的
[35:50.770] 拿出来，
[35:52.020] 嗯
[35:54.290] 现在全国各地。
[35:56.750] 但是打架的优惠的比较多了。
[36:00.020] 嗯对对，然后厂家给的补贴也比较多。
[36:06.520] 一年。
[36:07.220] 打电话。吧
[36:08.400] 我觉得就是说
[36:11.030]  D
[36:12.840] 谁知
[36:16.680] 差不多
[36:18.090] 影响还是？
[36:19.290] 刚才不要变嗯回报他是怎么考虑也可以。
[36:24.510] 因为你应当知道不承担责任，
[36:27.680] 嗯是吧？你就说了这三点，
[36:29.940] 他只是说那个
[36:31.410] 嗯
[36:32.150] 我欢迎这个我我觉得。
[36:33.850] 这个
[36:35.320] 利率多少？
[36:37.310] 那个我算了一下，差不多是200多一个，还跟我分开，
[36:44.030] 跟他一起给你。
[36:45.760] 但是他。
[36:46.930] 那个
[36:47.800] 二点多是算上。
[36:50.270] 属于为什么？
[36:50.970] 呢
[36:51.460] 啊首先咱们只有公约以后的话，没有任何的分期手续费，这也是咱们
[36:57.060] 现在就是奔驰在整个汽车行业来说是第一个，您只要自己花力气就可以了，
[37:02.990] 呃啥手续费没有没有，任何手续费利息4400多是一年还是两年一共？
[37:10.030] 两年一共是24期，14万多，2年一共到4期。
[37:15.870] 你那个用车你那个旧车的话开起来的话也是很好是吧？我那车开起来特别好，全程4s店保养没有去过，外边做一次，
[37:26.190] 全都是4s店包养好了，刚才先生也提到了，这是全国统一包养8家单给您做一个报价，但是做这报价之前，您别想我啰嗦再给您重复一下，所有报价内容都是明码备价，公开透明，
[37:40.670] 没有绝不捆绑销售，强制消费结构升级让你自动好4008888应该监督我们，然后呢你要考虑分期，
[37:46.940] 咱奔驰也是第一个没有任何分期服务费的，啊在整个汽车行业来说，
[37:50.970] 然后咱们给您做的是报价是gLV200时尚型，然后颜色外观不影响整个价格都一样。
[37:58.110] 还有一个就是动感型，一共就两个配置，
[38:01.150] 一个动感一个时尚有啥区别？就是一个5做一个7座，然后配置上有点不一样，时尚是7座，时尚折7座，版就是5，动感就是5座嗯行。嗯
[38:10.750] 嗯有两款出来，对两个配置动力是一一模一样的，动力是一模一样，发动机变成三个直接都一样，车的指导价呢是328,800，
[38:20.180] 然后我们现在优惠的话优惠44,000，优惠完了284,800。
[38:23.840] 工程税呢国家统一征收呢大概是2万多块钱的税，
[38:27.060] 然后你要考虑在店里验车呢有一个2500的费用，如果你要考虑在店里做装饰，呢大概是13,800的装饰，
[38:33.650] 然后人保平安、太平洋这几个保险公司，如果下面险种你能上全了，大概在1万块钱左右，
[38:39.070] 如果您要置换我们送您2000保险，但前提是那旧车的价格给您评估完以后，您觉得合适
[38:44.650] 那您就卖，这不合适没关系，您可以自己去卖都行。
[38:48.070] 这样办起来是334,303这个价格。
[38:51.690] 然后下面给您列举了一种交通方案，呢是50%首付是按照284,800首付5014%万到14万多，24期一个月还6100多利息，一共两年一共是4000多块钱的利息。
[39:03.900] 嗯还嗯还没睡对，没有错就没了，以前奔驰有去问一下现在那个事儿，
[39:11.150] 他他他这个我买的时候也是他一定要你，这个我算了一下，基本上划到5左右，
[39:17.780] 是吧？
[39:19.300] 好的，您看看整体价格上有没有什么其他问题，但是给您算的所有报价那个门口都有公事，您这有效可以看。那个嗯
[39:26.870] 嗯嗯嗯不开会吗？
[39:29.750] 要看您这了，您这今天考虑定下来吗？
[39:35.960] 如果定下来还能给。
[39:37.690] 对，所以说你要住没定下来的话，我可以再给您申请申请给您问问。
[39:42.200] 嗯你说啥时候你啥会有，没事，嗯反正在游戏。
[39:45.880] 对。
[39:47.770] 你负责。
[39:48.560] 吧
[39:49.820] 能到万八千的吗？
[39:51.800] 这到不了，没那么大。
[39:53.990] 能能做多少？几千块钱，吧估计15,000块钱。
[39:58.360] 差不多。
[39:59.120] 吧
[39:59.600] 嗯那我们现在也就是33万拿下来。
[40:03.930] 吧
[40:04.360] 是吧？直接拿下来可以谈保险，
[40:07.300] 保险税上牌所有的还有装饰，所有东西该有的东西都有了，
[40:11.560] 3000还是多少钱，3000要1万多，啊差不多1万块钱左右。吧
[40:18.740] 为什么我们要全选？呢
[40:20.410] 像我们这样司机一定要给钱想我，你一定说我我想我成不上全球这条，
[40:25.990] 一定要买盗抢，你要不想要可以去掉，剩下的其它的三者100万射箭，您该买的都买了，我问问
[40:32.480] 省事，我就因为我那个红车就买了，我那时候还往后勤办公室原修理厂设备的服务，
[40:40.780] 他就买了个一般的险，就自己不是叫别人去开，就想着他车给撞了一塌糊涂，
[40:47.300] 花了4万块钱修，我以后买车全是钱，
[40:50.680] 不计免赔的钱钱。嗯
[40:52.610] 嗯不麻烦这个事很有保险公司也省事了。
[40:57.930] 对。
[40:59.190] 嗯那您看看还有什么其他顾虑吗？我考虑一下行，然后价格单的下方有一个二维码，是一个公我给您写上吧我的联系方式，
[41:07.960] 这样发行为什么我就然后这是一个服务供应二维码，是一个服务空间，三星调研会到时候您用微信手机微信扫一下，帮我们反馈一下，证明咱们这里没有任何捆绑好吗？谢谢您。嗯
