[00:01.560] 就在我之前同事
[23:16.350] 往往
[23:19.440] 的
[23:20.440] 制定主任
[23:22.340] 拿着走。
[23:24.960] 你问我帅哥。
[23:27.320] 肯定是
[23:29.480] 很好，10%的。
[23:36.840] 可以了，领导人谈好了总
[23:42.430] 我说
[23:50.380] 3月11号楼
[23:58.230] 然后
[24:03.670] 的
[24:38.230] 别的
[25:06.890] 两
[25:11.010] 一
[25:15.070] 老板
[25:19.770] 不用买。
[25:23.960] 知道没定？
[25:32.370] 来我要坐车大概
[25:45.760] 照片、
[25:52.340] 数据
[25:54.480] 你好。
[25:56.960] 你好
[25:58.240] 知道。
[26:20.000] 的
[26:53.160] 二
[26:54.090] 了
[26:55.630] 的
[26:58.320] 号，
[27:01.110] 谁知
[27:55.890] 总还有
[27:56.660] 还有什么手术吗？他什么的？
[28:00.060] 找在哪？
[28:01.740] 找青山典型设备的
[28:04.290] 专业，
[28:05.240] 给女士指导一下，好，期待马是谁的？
[28:10.820] 186131。
[28:18.210] 什么点上？
[28:35.570] 这边上
[28:36.880] 过来。
[28:39.770] 下午
[28:42.470] 了。
[28:43.460] 谁知
[28:45.630] 今天的
[28:49.340] 今天周二
[28:55.930] 点
[28:57.860] 忘了。
[29:11.070] 你别上心，
[29:12.000] 别着急。
[29:13.920] 有戏可能
[29:16.560] 没有不信是吧？
[29:20.210] 今天这一天16了，三完全相等，还设计了
[29:26.040] 数据
[29:27.980] 数据
[29:29.790] 场场
[29:36.190] 数据
[29:38.180] 的
[29:39.800] 场。
[29:42.470] 场
[29:45.340] 数据
[29:48.080] 数据、
[29:49.300] 数据、
[29:53.030] 数据
[29:55.490] 话
[30:05.400] 五
[30:07.950] 数据
[30:09.080] 数据、
[30:14.150] 场
[30:19.100] 场
[30:21.120] 场
[30:21.840] 场
[30:23.290] 远。
[30:45.850] 场
[30:52.860] 你拿什么呢？
[30:54.650] 给你放在房子里面，
[30:57.550] 上面的洪亮，
[31:06.600] 虽然说
[31:12.640] 一半。
[31:19.160] 的
[31:41.310] 等等
[31:42.160] 数据、
[31:43.660] 数据
[31:48.880] 的
[31:54.260] 就OK你就转转，你就让你加个备注。
[31:58.230] 快。
[32:03.040] 好勒OK，拜拜。
[32:08.580] 排。
[32:20.090] 的
[32:26.870] 坏。
[32:36.830] 五
[32:42.410] 花、
[32:59.780] 了，
[33:58.510] 看看
[34:09.360] 远远
[34:10.740] 花花。
[34:14.110] 结婚很好
[34:22.830] 了。
[35:26.520] 场
[35:32.540] 数据
[35:36.500] 数据
[35:39.730] 句
[35:54.120] 数据。
[35:55.170] 坏数据。
[35:59.850] 了
[36:04.330] 场
[36:08.600] 场
[36:11.250] 花、
[36:12.180] 坏、
[36:17.350] 的
[36:19.210] 花。
[36:26.010] 您转一转，然后嘴巴烧点，水我登记好了找好吧？
[36:35.420] 的
[36:36.850] 的
[36:41.360] 可能
[36:49.190] 的
[36:51.170] 远远
[36:55.400] 数据
[36:57.670] 的
[37:00.550] 的
[37:01.270] 五
[37:07.430] 数据
[37:17.840] 的
[37:41.960] 远。
[37:44.830] 数据、
[37:57.130] 数据。
[38:05.900] 老板
[38:07.730] 数据。
[38:08.710] 数据。
[38:10.200] 三
[38:11.510] 的
[38:12.480] 场
[38:14.500] 的
[38:15.890] 数据
[38:18.680] 数据
[38:44.320] 的
[38:45.420] 花
[38:49.050] 的
[38:51.100] 的
[38:52.920] 哗哗哗
[38:59.690] 三
[39:04.800] 的
[39:10.560] 数据
[39:14.410] 站
[39:19.640] 花
[39:24.850] 数据、
[39:26.150] 场
[39:38.880] 场
[39:39.770] 场
[39:40.890] 数据
[39:41.800] 远
[39:43.250] 的。
[39:46.460] 场、
[39:48.790] 场
[39:51.170] 数据
[39:53.880] 场
[39:54.790] 场
[40:02.240] 二
[40:06.800] 的
[40:08.180] 场
[40:15.720] 数据
[40:20.150] 坏。
[40:22.890] 二
[40:41.320] 场
[40:42.650] 坏。
[40:52.480] 下班
[41:04.810] 数据、
[41:09.630] 数据、
[41:13.780] 数据
[41:15.640] 场
[41:17.070] 数据
[41:18.900] 唱
[41:20.480] 数据
[41:23.580] 数据
[41:27.000] 了
[41:32.880] 二
[41:38.460] 三
[41:41.200] 4
[41:43.000] 月
[41:48.910] 市场
[41:55.090] 场
[42:03.360] 场
[42:09.320] 坏
[42:17.500] 的。
[42:20.160] 数据、
[42:23.990] 数据、
[42:33.070] 号
[42:40.790] 坏数据
[42:44.280] 数据
[42:45.580] 坏
[42:48.330] 数据。
[42:51.250] 专业专业。
[42:56.150] 快
[42:57.440] 坏数据。
[43:07.190] 场。
[43:13.120] 数据
[43:16.730] 数据
[43:18.990] 场
[46:33.890] 场。
[47:09.520] 场
[47:10.760] 坏
[47:12.330] 为
[47:14.670] 坏数据
[47:18.450] 的。
