[00:02.520] 说白
[19:05.350] 收到了，然后北京上海上天津上保险鉴定验车置换包含一个4000块钱的，
[19:11.930] 店内提供一个5000块钱的
[19:15.180] 置换4000，鉴定提供5000对吧？
[19:17.870] 然后客户店内消费一个5800块钱装套餐，我们这里跟你说，
[19:22.720] 店内提供验车，验车得2500供您掏了了，然后客户咱们是分期购车，肯定要开放，
[19:28.610] 先交1万块钱的订金，然后车辆尾款就不用管，
[19:31.890] 交付时间最晚是7月10号，
[19:33.690] 就周五之前能过来把首付交了这条，下次过来，对，都是您过来吗？下午都一样，是一共三份合同，到时需要您签字。
[19:43.630] 这个是一个奔驰的服务公约，合理合法，你什么时候交费什么这些到您这些咱们都需要。
[19:56.420] 周四是交首付首付，
[19:59.720] 购车客户确认第二步就1万块，不是1万这对13万多加税加保险。
[20:05.640] 你们家那些
[20:06.700] 给盒十五六万差不多。
[20:10.470] 线上都签。
[20:18.880] 签证。
[20:24.010] 日期写到今天7月5号。
[20:29.200] 三证一样，
[20:36.310] 我们把那车定了，那车不该收起来了。
[20:39.260] 待会一会锁上，下班你好下班然后就开出去了。
[20:43.830] 走完之后然后写您花有主了，别人就开不开了。
[20:46.920] 然后晚上就开始
[20:48.620] 回后边车库了，等您提车那天我们再洗一遍，
[20:52.660] 又给您放在展厅账号，然后您再看一下咱们那边有个郊区，
[20:57.240] 看在检查外观检查，这是这些价格跟刚才说的为区别。
[21:01.400] 没区别，就是20
[21:04.410] 26万 266,800。
[21:07.830] 到对266,800，然后赠送的这4000+5000都给你写在这里了，置换4000，
[21:14.310] 然后提供一个5000
[21:16.230] 验车送的吗对吧？
[21:18.080] 偷税那是死的，然后5800装饰你再过5000块单子，一会儿给我们会一会给您张，对您再看吧。
[21:26.270] 我您找您签个字，您稍微做一下，然后一会您交的钱是怎么交，定金是1万是刷卡。
[21:32.690] 这储蓄卡刷卡您带卡了吗？直接转别转，从那走不让转就是刷卡刷储蓄卡我这方便稍等。
[21:56.730] 报价5。
[21:59.240] 发的现金对吧？然后
[22:01.690] 我店里提供午餐保险对吧？然后置换一次，
[22:06.280] 然后5800装饰对吧？然后建立肯定验车中心，
[22:47.270] 你刚才说你去吃饭，
[23:01.840] 二
[23:15.020] 的
[23:23.300] 的
[23:27.480] 坏
[23:35.800] 对，可能换。
[23:47.450] 我也没区别吗？
[23:48.990] 这样。
[23:56.690] 是吧？
[23:58.110] 真倒霉的地方。
[23:59.720] 有点问题。
[24:00.910] 你要是吧？
[24:05.010] 我问你一下，
[24:12.910] 每天600家。
[24:18.330] 9刘美娟。
[24:28.250] 有个1Java的东西在这里卖了吗？要。
[24:31.860] S
[24:39.390] 张晚上买药换那台，
[24:47.610] 小S806，
[24:50.310] 好吧？
[25:01.550] 走赶紧去那边发一下。
[25:26.430] 你家里有
[25:27.420] 头痛。
[25:28.490] 现在
[25:31.060] 走。
[25:33.750] 没有。
[25:44.440] 我喊着。
[26:19.000] 这手稿是1万公里，还是说时间。
[26:21.960] 1万公里或者一年，我现在还没
[26:29.720] 那些年差不多。
[26:31.770] 5年你跑多少？
[26:34.150] 历史上差不多，连上下班只有几公里，对，房山就是两。
[26:40.880] 你看你跑不了，你不出去玩时候。
[26:47.590] 那一年得过来过来。
[26:49.630] 对了5年。
[26:50.910] 你出去玩天没有原料传达，要下还有疯了。
[26:57.010] 38。
[27:15.710] 我念一下。
[27:17.080] 你放假。
[27:19.580] 对。
[28:09.510] 您过去找外找您。
[29:13.080] 我加您个微信。
[29:15.230] 做了多少电话？
[29:21.030] 1831。
[29:23.430] 0871。
[29:25.520] 866。
[29:36.160] 通过一下，然后。
[29:37.690] 我见一个分期的。
[29:40.360] 待会把那个人拉进来之后，
[29:42.550] 需要的东西到时候你在那里发就行。
[30:23.820] 完事了。
[30:24.970] 没事了，然后今儿就回就行了，然后
[30:28.800] 分期待会一会咱得发完之后，
[30:32.430] 然后您就劈了过来之后直接周四找我就行了。
[30:37.220] 对，周四在锅炉厂。
[30:40.360] 有劲就没什么事，赶上车看到这车去吗？
[30:46.300] 看看干什么，你说四周四对。
[30:50.480] 周四能开走了。
[30:51.760] 了。
[30:52.900] 驾驶本给了了
[30:59.890] 问题
[31:24.590] 一会就能坐上之后。
[31:26.720] 晚上就出去了。
[31:28.080] 反正店里
[31:30.160] 就没有A没有他新车是吧？
[31:33.570] 没条件，他的新车就是红色的这款的全新
[31:39.430] 库里有，我们库里都在，那网友
[31:53.800] 甭管了，待会一会就锁上。
[32:00.740] 句
[32:01.900] 的。
[32:12.990] 拿手机扫一个停车马。
[32:19.560] OK超三小时停车不方便，不是这个微信吗？
[32:25.250] 对微信。
[32:26.080] 早。
[32:29.250] 谁知
[32:36.440] 走OK了，好不用过来了是吧？对待会一会出去它直接拆干了对。
[32:42.830] 行周四。
[32:43.640] 燕我那车旧车D车是拆下来。
[32:47.860] 拆下来，然后等新车上牌之后拿etc还得去上etc那和大哥撞再装上，
[32:56.980] 但是他得给你换一个原车用不了了。
[33:01.600] 到时候把东西收拾一下。
[33:03.280] 没事，周边帮我您从前面。
[33:08.980] 那一出口从那出去之后直接就上四环了。
[33:13.200] 特别那些
[33:14.790] 好。
[33:22.210] 慢点您。
[33:46.160] 慢点。
[34:35.650] 你直接机器体验吗？你别费那劲了也买不了。
[34:39.850] 对。
[34:41.520] 定完车了。
[34:45.230] 好，来放一下。
[35:33.850] 名花有主那个吗？
[35:35.950] 照片好的。
[35:41.030] 好。
[35:46.960] 场
[36:26.630] 数据
[36:28.250] 广场
[36:35.410] 数据、
[36:37.990] 花。
[37:25.600] 的。
[37:32.210] 数据
[37:33.610] 三
[37:48.720] 试驾
[38:07.170] 谁知
[38:29.790] 我会一天应该要夸张。
[38:31.770] 用
[38:32.760] 了
[38:35.910] 的
[38:36.860] 是
[38:37.860] 好。
[38:39.270] 完了净身走了。
[38:41.720] 走了到时候过户时候给打电话。
[38:44.310] 怎么了？
[38:45.280] 没事，那个指标不是还没给他注册，然后再说。
[39:04.370] 进来找哪个？
[39:10.050] 找找看不了。
[39:12.380] 我等你发给我，好。
[40:08.210] 收哪收的？
