[00:00.960] 接待二次客户交周客户孙美容女士。
[09:29.360] 我就不太会使S说
[09:31.620] 我这里面没有多余的意外上面负责，
[09:35.260] 这样稍微倾斜角。
[09:39.660] 你那显示有是吗？
[09:41.990] 而且已经做了。
[09:44.480] 可以周转了。
[09:46.240] 老师后台给你看一下，觉得哪个情况。
[09:50.000] 看看。
[09:54.120] 上看看了。
[09:56.590] 你看一下。
[10:29.960] 三贴。
[10:34.630] 等。
[10:35.630] 去看一下。
[10:40.370] 慢慢等。
[11:06.530] 天黑的
[11:18.890] 我小马也是帮一个同事都办临牌了，你就我们
[11:23.510] 我没听出来了，我也特别。
[12:27.910] 有没有好看的特别多，三是最好的
[12:34.700] 监管。
[12:36.650] 行，你别给我打电话，我现在可以看一下。
[12:48.510] 定金设置吗？
[12:53.310] 佣金设置写着车辆定金1万元红色的字
[13:00.540] 后面有没有什么其他好看，后面有蓝色的框框写着取消定金申请，还有一个旷世同步定金。
[13:09.200] 看
[13:13.530] 点完之后变成了红色的装的收取
[13:20.770] 的。
[13:22.710] 那就可以了是吗？我再过一个来看一下。
[13:28.650] 了。
[13:30.290] 就变成待结算，这样就可以了是吧？
[13:35.600] 我这信号不是特别好，就这样就可以了是吧？如果有这种情况就点定金是吧？
[13:44.150] 行了，谢谢。
[13:52.170] 场
[13:57.470] 的
[14:01.510] 的
[14:05.840] 场。
[14:11.230] 场
[14:18.170] 坏
[14:19.290] 的。
[14:21.130] 这两天还有没有置换？
[14:23.310] 没有。
[14:27.750] 最近这两天没有想到
[14:31.840] 你师傅你怎么跟你说告别？
[14:34.550] 我还得给我教会他跟我了。
[14:39.040] 他怎么跟你确实没有关系吗？我可不赖，我把它寄不走了。
[14:43.870] 你干这么多年了，刚刚遇到你掉了，我也想了，我说我现在离职了。
[14:52.230] 是不是？因为我做错了什么这么决绝。
[15:02.000] 如果说
[15:11.660] 谁知。
[15:14.590] 的。
[15:16.520] 的
[15:18.680] 数据
[15:26.070] 的。
[15:30.290] 场、
[15:32.310] 场、
[15:35.460] 场、
[15:47.820] 场
[15:49.360] 谁知。
[15:59.110] 场。
[16:01.940] 数据、
[16:04.960] 等。
[16:07.760] 里边的东西，
[16:16.250] 怎么能退出他的名字呢？
[16:22.290] 是谁的？
[16:24.330] 我这退出一下。
[16:29.030] 我把别人的退出来，
[16:31.690] 也可以再重新新开启示吗？
[16:39.360] 一下。
[16:40.830] 小写的周家是账号是吧？
[16:45.060] 一下。
[16:51.560] 密码是小写的周嘉陵509。
[16:58.610] 然后订单查询是吧？
[17:03.320] 场
[17:07.410] 名字叫什么？
[17:08.890] 场。
[17:17.520] 数据。
[17:19.950] 远远
[17:21.710] 数据
[17:26.160] 场
[17:30.160] 的
[17:31.090] 数据，
[17:35.340] 我的显示已经O完了，我是不是可以打单子了？
[17:39.890] 应该是我还没弄过这对开始了错了，你现在上的是我的吗？是不是？我上次是我师父的，我给他查一个东西很快。
[17:47.310] 师傅我找到了姚峰，然后
[17:50.470] 点项目吗？
[17:52.390] 上
[17:53.320] 了。
[17:54.840] 这手机啥情况？
[18:01.890] 第二姐姐姐
[18:03.780] 是吧？我找到了姚峰，然后我没有看到有保养吗？
[18:10.590] 抬头里是吗？我看一下
[18:15.460] 吗？
[18:19.150] 抬头里面是
[18:21.030] 自购12,300精品，提供5000保险，提供
[18:25.830] 保险和验车，提供A宝抬头里写着
[18:41.370] 看看你。
[18:42.950] 对，但是你这路里面哪有保养体现吗？没有看到。
[18:53.550] 轿车、
[18:57.290] 啥时候要？
[19:03.400] 上面写着
[19:06.110] 我能问你。
[19:09.300] 的。
[19:12.970] 到。
[19:19.800] 远。
[19:22.480] 黄花
[19:27.230] 五
[19:30.690] 的。
[19:41.760] 的。
[19:48.730] 二
[19:51.630] 月。
[20:03.190] 可以分两转，
[20:07.090] 手机上网放在这上面选中妈磨一剑，
[20:14.740] 不选关了就行了吗？
[20:20.080] 一和B有什么区别？就是差一个这个地方我正常是国产图A就行。
[20:31.920] 的
[20:48.390] 等。
[20:52.920] 首先。
[20:55.560] 我们就出发了，睡不着不是那不着急的事，那都不着急了。
[21:02.550] 因为我这里今天也办不了过户，也不着急，
[21:05.860] 你先抓紧时间开心的，因为您在那里多半天，
[21:09.980] 黄山的人特别多，因为就两个，一个黄质量的佯装焦急。
[21:15.020] 现在这两个是你去过吗？阳光宾馆。
[21:20.160] 看着刚才那块石头，
[21:22.220] 大致有一个平台进行着分开制度，在这记者包括跟
[21:28.070] 包括加上第二在这方面没上线更不能进去了。
[21:32.960] 但是人家差不多了，近这些东西
[21:38.210] 进人多，因为我跟您说的人都收到了，你按照那个地址去找人多，
[21:44.130] 那就之前的相伴新车都不着急，实在今天来着没关系，您再随时就是说您回去以后把生字宝宝拿走，你输完了送过来行不？宝贝？您车子这里完了，反正时间那个车我还得开，
[21:57.960] 你得处理。
[22:00.270] 每当不需要车我怎么行，万一怀疑
[22:05.820] 你听我讲一会查完了，如果不跟你去开车去处理违章，如果不扣分了你不就管吗？
[22:12.110] 你做了吗？OK了，咱们先看看这老头管折腾没事儿。
[22:21.320] 咱们看一下新车，然后我去楼上给咱们打单子，在家上班，没事联系你们问了，问问我们就行，没事儿。
[22:32.430] 这个问题随时给你。
[22:35.810] 给您。
[22:39.260] 没有问题，比如说。
[22:40.760] 你现在说后面的性能吗？你认为之后。
[22:45.320] 瘦肉很大，你把电话
[22:48.890] 就送给我了。
[22:59.370] 交钱是吧？
[23:00.380] 不，咱们先去开新车看车开新车，然后在您到您边上二楼，然后咱们打单子，咱们单子再交钱，没事，你可以放那走车上就行，走了得到了一个小时上海。
[23:11.610] 没事儿是吧？你的这种上你也是。
[23:15.640] 谁知
[23:22.100] 然后咱们从这边我带您从这个门走，咱们去后面看一下新车。
[23:27.020] 昨天想着万一你们昨天能来，昨天我就把车收拾好，停边上了，5。
[23:32.000] 了。
[23:32.580] 现在没钱，钱没到，我说您来两趟还比较麻烦，咱们来一次得了。
[23:39.370] 来
[23:41.540] 对交车。
[23:45.480] 不了，我这忙都不知道什么地方。
[23:47.690] 吃上了。
[23:52.100] 你去哪？
[23:53.490] 谁知
[23:59.460] 行。
[24:00.470] 那行吧我忙了。
[24:01.920] 好勒。
[24:02.720] 耽误这一块。
[24:04.960] 你又出去了。
[24:06.800] 昨天我就洗好了，对。
[24:09.960] 估计会有点露点会还行，挺干净的，昨天没有什么陈
[24:14.350] 不跟咱们什么俩模式一样，
[24:18.990] 然后您看一下就是说咱怎么还不算。
[24:21.930] 对，不喜欢黑的都是您喜欢的类型是不是？
[24:28.370] 然后今天待会咱们拿脚垫记录仪或者上线，待会咱们交完钱之后，你讲出来之后，我会带着送到那边都给他们装上。
[24:35.660] 贴膜不贴。
[24:37.260] 等咱们回来见完车在贴膜，
[24:40.660] 点完车验完建了一个窗台上贴膜，不然贴上验车过不去。
[24:47.510] 明天
[24:48.750] 明天练车而且
[24:50.530] 验不了，因为您那个指标还没出来，咱们把旧车卖掉，过户之后指标腾出来才能去验车上牌。
[24:56.850] 我知道这上边可以把临牌开走。
[25:03.350] 别带钥匙。
[25:04.360] 对，现在
[25:05.990] 您给听一下，待会我们会有销售专员，或者要是哪有你的，所以也会给你所有的都讲一遍讲解怎么操作，会给你同意调解样子，没看着人进来看看。
[25:20.510] 对什么座椅怎么调，方向盘哪个按钮都管什么用的，然后开怎么开都会跟你讲的，我们有专业的，所以我们
[25:28.040] 销售还专业的。
[25:30.870] 挂了。
[25:31.990] 今天会开走了，对，下午咱们办完开走，但是估计您中午得在这吃过午饭了。
[25:37.950] 场上咱们餐吃个午饭，然后您
[25:41.080] 下午
[25:42.050] 办好绿牌你就可以开走。
[25:48.570] 那不会的。
[25:51.220] 为什么我们中间会有一天做咱们ppi就是第二次的时间就是在交车给你之前，我们要再检查一遍，因为一旦给你一个有问题的车，
[25:59.770] 我们得退一赔三赔的太多了，
[26:02.640] 必须得我们也得检查好，害怕着。
[26:05.140] 毛病不会是有什么，你只是你开的时候，你看看那个东西看了有啥对表明好看不对，您就看外观，然后确定一下，就这个说别拿错了。
[26:17.050] 看一下。
[26:18.980] 后面的电流按一下它可以定的变形。
[26:23.390] 可以奠定对你按一下。
[26:25.740] 他就是好了要那么快，对，还有拍你阿姨发的这块。
[26:32.770] 手不行分手就行，那个是
[26:36.400] 按他之后出门会帮你锁上车，门会所。
[26:40.320] 大伙都会跟你讲，这里面都有什么说明书，反光背心这些东西，我们销售员都会给你讲一遍都有什么东西。
[26:47.510] 然后使用功能，比如这后备箱什么这种他都会讲，他讲的时候他如果说的快，你哪不明白，你随时打断他，你说这有点快，我没听懂，你再给我讲一遍，随时跟他说。
[26:58.760] 其实他听你讲天天讲可能讲的比较快，您就跟他说就行。
[27:08.830] 有点。
[27:09.760] 然后就在后备箱对你按一下。
[27:12.620] 你让他然后收手，没事你收走就行，她就过来。
[27:16.200] 二那天了这就。
[27:19.330] 因为他
[27:20.290] 跟关车门一样，他几乎有声音的。
[27:24.640] 行，咱们就到里面带您到楼上。
[27:29.840] 看看。
[27:30.620] 看看。
[27:32.280] 反正
[27:33.310] 基本上他
[27:37.190] 有人开他不用开，有司机。
[27:40.570] 您坐车我也不会，我是管做的，对不做就行。
[27:53.430] 老头光心疼那肉，
[27:55.730] 好黑这拿着没肉了，针对咱们雅阁，但是它外观可能是当然说查查比雅阁略宽一点长，
[28:06.790] 压根的价格。
[28:08.520] 但是他这里边可能事后还是因为他里边做了很多宽大的扶手，这种的为了彰显它的豪华感，
[28:16.310] 所以不像您雅阁它中间的位置没有那么宽大，没有那么厚，所以你看这中间您自己乘坐的感受性的空间要大一些。
[28:29.070] 对它的空间对，因为你看咱们这多以你就觉得这轴距好像小，因为他做以后就多出来一块，如果雅阁的话他就凭着没有这么多出来一块，
[28:37.340] 所以你整体的视觉空间感觉贡献它小，但是你也后妈会后一些对这块
[28:43.520] 这个位置高的话，它也有薄还是厚一些，座椅它也厚一些长一些，你就看着A
[28:49.440] 怎么着就这么点破了，因为他做隐藏作业后，
[28:52.580] 因为咱们跟其貌主要是豪华和舒适性，
[28:58.130] 没问题，我给你关一下了。
[29:02.400] 咱没贴膜吗？没有，咱们后面是隐私玻璃没贴膜您看着，我说。
[29:10.720] 这也会牵个零头会贴都会贴的，除了天窗以外，谁哪4个挡在后面？
[29:17.130] 窗帘的遮阳的在哪儿？
[29:21.370] 怎么能这按哪我
[29:24.240] 第二点是吧？
[29:25.800] 我没有听见，我说就在这。
[29:28.910] 在这就上对他这个位置，你看它这个位置它不光可以这张脸，你看这个了两个小箭头，这个就是他会奖客源也会跟你讲，
[29:38.570] 就这样子就要推到这样在身上，在野党在这了，这不有的小鸟他就趴在这了。
[29:52.790] 就不用电流的，只能看着
[29:54.400] 你前面那是要善良点补贴，但是会晒仆克斯都白了贴的那里面因为前导的话你也要贴，它也有防晒的，这个是人家贴膜了贴过的。
[30:06.910] 对，因为你看她这些表了，我一看你这泼猴对
[30:12.210] 对，咱们都会些一个角，到时候膜的颜色深浅，您到时候过来自己选。
[30:16.630] 只要深的险要浅的都可以，慎微慎点的贴之前咱们才选您选一个。
[30:22.360] 对，您自己一下罢了。
[30:24.120] 对这个应该是过来，因为我们那边还有奥迪店就过来一起看车的，那我坐上车了。
[30:29.970] 点这是奥迪A6现在多少钱了？
[30:35.010] 哎哟现在如果说是之前那款优惠的事还挺多的，应该也30，一个月应该30。
[30:42.210] 咱们想那么多，
[30:43.870] 好奇现在太太好了，这个牌子做的现在不太好了，所以感觉有点行了。
[30:52.500] 它整体的品质的时间越长，它对
[30:59.170] 可能档次没。
[31:01.400] 对，整体就以前pp跟宝马奥迪才能排上，但是现在我们的跟他去宝马，
[31:07.250] 他带一个什么了，他可以是。
[31:09.510] 现在可能跟什么沃尔沃。
[31:11.520] 雷克萨斯、凯迪拉克他们。
[31:13.570] 等于差不多20是吗？因为它现在价格包括配置，比如说最简单的K5不是卖的特别好，大家都知道，
[31:21.780] 之前他起码是8速的变速箱，现在变成跟A4便宜的30来万的车一样变成7速双离合了，
[31:28.330] 所以它整体的配置各方面都不是特别好。
[31:36.200] 咱们这边
[31:44.050] 后面这些
[31:45.120] 单子。
[31:52.470] 对这边的话性能车的
[31:58.190] 这边应该有位置，
[32:03.600] 因为工作日交车的都多，所以有的时候都不用，我先看一看那边有没有位置。
[32:31.050] 那边都有人在这边吗？反正你走了。
[32:34.370] 咱们。
[32:35.900] 对。
[32:36.860] 咱们是一。
[32:37.970] 咱们说这边说是吧，然后我去那边给您打单子。
[32:41.150] 玩游戏logo。
[32:43.120] 咱们就这边那边有人。
[32:56.020] 咱们做这边有打印机。
[33:05.730] 我先给您看一下咱们保险，
[33:08.740] 您先看一下。
[33:10.760] 没有微信。
[33:15.380] 咱们的保险险种你们看一下看看。
[33:19.470] 我还不小，您两点廿8号。
[33:22.750] 行，咱们的车损险，然后三者50万，然后盗抢险，
[33:29.210] 然后玻璃单独破碎险，车身划痕险保额是1万的，然后吴三方特约险每个车都会有着164块7毛4，
[33:38.360] 然后咱们还会有一个
[33:39.880] 假成员，就是司机车上的人，司机乘客驾乘险，然后是25 20万的保额，然后一一意外医疗是1 15,000，然后住院津贴150亿至1000，然后随车物品丢失是3000每个车，然后保费是400块钱，
[33:58.420] 然后咱们合计车船税加上保费，然后加上交强险一共是15,295毛3，
[34:08.600] 应该。
[34:09.800] 然后咱们不是给您提供5000块钱的，有一个
[34:15.380] 保险是换的保险5000，然后咱们正常不是有一个17,800送您4000，我就直接给您收13,800，然后您健康保险正常收就行。
[34:26.860] 然后您就在自己要是交的话，就是一万零
[34:32.140] 290
[34:34.450] 5.3。
[34:35.920] 然后咱们都是您就直接交13,800就行，就不能这样三。
[34:41.350] 反正险种基本这些也没有额外再多的了，基本都是能用到的，你新修订前的全险。
[34:48.980] 基本都有的。
[34:50.360] 这都有了，除了咱部门要涉水吗？自然肯定有重要，新车除了那两个部分都有了，司机、乘客车
[34:57.950] 车的保险，对方的保险，咱们自个的保险
[35:00.750] 都有了。
[35:01.760] 没问题。
[35:08.480] 给您录一下系统，然后咱们打单子稍等。
[35:19.330] 拍出来。
[35:35.430] 多少？
[35:39.940] 您看一下除了交强是吧？交强险950车船使用税是200，
[35:46.290] 商业险是14,000。
[35:49.780] 因为现在不够一。
[35:50.710] 一年35块钱一个月12个月的，咱现在已经过了一半了，
[35:55.850] 所以你只要剩下的就行了，
[36:00.480] 明年你就得交全额的了。
[36:03.460] 35块钱一个月应该是算他这年底，对，但是这样你车船使用税买保险的时候你就买到这个就行，但是你享受的还是正常是一年的。
[36:13.900] 你等明年这个时候你在交强险的时候，你在交全部的车船使用税就行了。
[36:19.280] 然后交钱，然后商业险是14145.3
[36:23.850] 4。
[36:29.550] 没问题。
[36:30.860] 没事，你有啥问题您就跟我说。
[36:32.980] 给您看一下我们的单子。
[36:55.470] 事先跟咱们说车怎么开，还是先给做装饰。
[36:59.610] 装饰后座。
[37:01.160] 装饰后果贴膜是厚街模式，接完车才停了，就是说先教怎么开还是
[37:08.110] 先给他咱们弄小店什么的这些，他就是交完钱他就弄这些。
[37:15.310] 然后你现在给那装饰。
[37:19.410] 我估计你
[37:20.920] 还得去交罚款。
[37:23.230] 肯定得。
[37:25.490] 要是走车道应该是什么？
[37:28.660] 得寇风。
[37:30.120] 对，她衣扣分，他就不让银行这边帮我放不了，所以就得去到
[38:09.510] 我走。
[38:12.780] 个交房款。
[38:16.910] 高德是不是他的？
[38:19.330] 什么？
[38:21.050] 他就叫
[38:22.110] 海
[38:23.500] 海淀黄庄。
[38:25.680] 你看从这儿走，
[38:28.460] 就出门上四环。
[38:36.670] 外面大喊
[38:37.910] 的。
[38:39.080] 然后四环总府路
[38:41.970] 这样
[38:43.430] 很难。
[38:45.530] 这个叫什么节呢？
[38:48.790] 哪个？
[38:49.890] 这条路
[38:52.500] 不显示。
[38:53.410] 男变成吗？
[38:55.110] 蓝天蓝蓝天蓝天。
[38:57.930] 蓝靛厂就是热蓝图，对。
[39:03.390] 这个是哪个口？
[39:05.120] 可能
[39:05.960] 出来的是哪个？
[39:09.270] 四合院。
[39:11.030] 就上去第一个口就出来的。
[39:13.560] 没有了。
[39:16.730] 主要有
[39:20.450] 一个是世纪金源，
[39:22.100] 谁知
[39:24.590] 就是人多他说的。
[39:26.810] 那还去那个吗？
[39:28.510] 到哪弄那个？
[39:30.510] 我原来就是在小肉那边时间多吗？
[39:34.310] 那边也不少。
[39:37.050] 怎么这么多还在乎他。
[39:40.420] 运行时间出来了。
[39:43.340] 洲茶还需要预约吗？
[39:45.750] 需要
[39:47.230] 旅行不是说。
[39:49.780] 立秋期间都得预约。
[39:57.670] 必须。
[40:05.310] 先得把旧车卖了才能那啥。
[40:11.180] 如果卖不了怎么会卖？
[40:13.600] 不了。
[40:15.050] 他是卖给个人还是卖给公司，那就不管了，他肯定给你处理了。
[40:34.790] 你俩怎么都进了小疙瘩在这边。
[40:37.570] 太短。
[40:39.850] 他早就加了
[40:41.960] 放了一点。
[40:44.290] 累得疼，有点那个点了。
[40:48.080] 我回家了一点了，我俩之前太了，然后攻击。
[40:53.650] 没了。
[40:56.190] 我早上起来一出门我这在院里现在不戴口罩，我出门我就忘我一下楼这想起口罩，
[41:03.630] 一进来我进门我就拿，因为一般我就肯定拿手发到那边儿，
[41:08.800] 或者张冉这样有时候现在不太厉害账发了口罩，
[41:12.780] 我带他
[41:14.310] 今天这门口我顺便抛出来就拿出来了。
[41:19.120] 我说这小疙瘩等在家没事儿，
[41:22.100] 冬天戴着帽子看不见你在那天他给他优惠了多少钱，
[41:28.310] 又投一次优惠了优惠15,000千，后来弟弟二次优惠一，
[41:35.470] 还有个2800。
[41:37.050] 2000没有。
[41:40.100] 凑了1000，还有。
[41:41.920] 还有2000。
[41:43.140] 我记得就有过两次，不是三次，一次说他就直接给你减2000，从保险里边还有一次说，
[41:49.900] 因为你卖这个车他给你补贴两，
[41:53.290] 然后又减了5000，
[41:54.990] 是吧？说
[41:56.340] 然后后来说就是说太贵了，让它代办5000 2500太贵了，
[42:01.930] 然后他就去找他们领导又减了1000钱是吧？
[42:05.210] 三次。
[42:07.180] 30块钱千千。
[42:11.100] 反正是保险减8000，他说的是
[42:14.060] 再从保险
[42:15.200] 反正他是59万不到59万，还有54.49万，
[42:22.050] 不到36-1000以后不到49了。
[42:25.680] 对，那就是800，原来是590,049 490,800，
[42:32.200] 08又减1000。
[42:36.660] 40块。
[42:38.900] 204元。
[42:41.550] 这个保险可能又把那什么
[42:47.670] 涉水假的多少钱没多少钱，
[42:52.020] 这个钱他设置一个自然
[43:13.390] 是每个4S店都有午餐时间，
[43:18.350] 一会你那个车到超过他们三小时又给你收费了，
[43:23.980] 你出去办那些东西了。
[43:27.850] 他对你跟比如说弄
[43:30.480] 东西
[43:33.730] 有点干嘛？
[43:35.410] 没电话。
[43:37.350] 现在10点了。
[43:38.960] 快11点了两
[43:40.840] 崔满他们办事
[43:44.450] 这照一天下去了就是吧？
[43:50.910] 你以为容易真的。
[44:03.250] 估计。
[44:03.960] 找什么了？
[45:22.280] 我们开
[45:23.530] 坏了年年检、维修保养，
[45:28.230] 不管处理罚款、
[45:31.180] 扣分，
[45:32.520] 扣分还不让用他张假证驾驶驾驶证。
[45:38.430] 你说用它你不用白不用吗？
[45:41.910] 你再不用你一辈子不用照样你该怎么的怎么的还是怎么的。
[45:47.670] 好像是算你没有名分的话，就不知道是叫什么。
[45:53.390] 媒体吗？
[45:54.440] 年检也这每年也有的话，年每年都去把不是去掉了，自动都去掉了。
[46:01.510] 如果扣的话每年去掉。
[46:06.070] 我要是没有说我就不用年检了，年
[46:10.400] 不是年年10年，当年几年，
[46:15.090] 根本没这个时候。
[46:17.680] 有他们说的有啥有13年这几年就免检了，什么免检
[46:23.790] 都问了。
[46:24.720] 没那一说你赶紧
[46:26.940] 给你10年就是10年，
[46:28.650] 原来第一年是6年就干，有的20年对我的驾照都快到期了，说你换取驾照都快到期了，车都没碰过几次，
[46:41.710] 在哪学就是在北京。
[46:45.600] 东方阵线，那么车为什么扎紧那车，完了到时候别
[46:51.810] 没人，星期六他那车太大了，我都开不了，
[46:55.390] 找个宽敞的地方，
[46:57.220] 你开完大车习惯了你在开小车
[47:00.570] 更好开。
[47:02.110] 比如说你像福克斯
[47:04.680] 转个弯干什么方便打车的话战国
[47:08.380] 刚才找大文豪，
[47:16.230] 仅仅是这还
[47:19.370] 算了。
[47:35.430] 小兵你那什么给我带来了吗？
[47:37.860] 在包里
[47:40.970] 想给你。
[47:44.240] 也没起床是吧？没去还我去取。
[47:49.830] 我那天是下午15号，
[47:54.410] 他都看事实，15:00 3:00来说的对。
[47:58.500] 2:30开始2点快点。
[48:02.330] 早点迟9点。
[48:04.640] 下午2点上班，你们
[48:07.160] 门诊2点，专家号2:30，普通的讲两点。
[48:12.480] 好了。
[48:16.270] 好。
[48:17.490] 不是我高德地图出不来了。
[48:21.090] 你破手机。
[48:22.670] 给你买，你不用用谁手机吗？
[48:26.090] 有，不用看看。
[48:29.060] 我说我用媳妇，
[48:32.720] 你看看张冉的什么？
[48:37.510] 我怎么能登上？
[48:40.140] 你手上等一下。
[48:43.910] 等了。
[48:50.290] 岳母当我失败。
[49:05.990] 每个月都要摇号吗？还是几？
[49:12.610] 三个月要一次。
[49:16.200] 两个月。
[49:19.310] 两个月，原来是一个月。
[49:22.690] 能
[49:50.560] 关了被重新起。
[49:52.390] 那就好。
[49:59.170] 我刚问了一下然姐她说是
[50:01.560] 那天是说的是9000
[50:04.570] 什么9斤，第一次剪的是3800。
[50:13.720] 三，
[50:14.440] 讲了三天，
[50:16.680] 3000万不要。
[50:20.470] 装置。
[50:22.440] 反正总共说优惠，第一次说保险可以给你们减三，
[50:26.640] 后来说
[50:28.400] 卖壳还能再给5600-1000，他说他讲了3000 5000钱，
[50:40.830] 上车去打产品的时候，
[50:48.750] 他们网内放量。
[52:03.750] 我看看书的信息，
[52:07.680] 如果
[52:10.160] 你刚才正在审核吗？
[52:14.160] 那就没必要再上，没有必要再说
[52:18.670] 的。
[52:27.920] 的。
[52:30.390] 第
[52:33.180] 的。
[53:02.510] 旧车处理完才那种
[53:06.590] 是吧？
[53:08.210] 把如果处理完了才给你。
[53:13.840] 对。
[53:18.020] 了
[54:38.800] 二
[56:32.560] 几点开饭？
[56:33.880] 11:30。
[56:35.120] 餐厅在什么地方？
[56:37.540] 对面里边。
[56:50.460] 号。
[56:51.580] 五。
[57:16.400] 别明天上班。
[57:17.620] 今天
[57:19.060] 摇头，
[57:22.260] 两头
[57:23.300] 早班晚班，
[57:26.340] 这早班晚班，
[57:28.440] 中午休息，白天休息，
[57:30.630] 早上上班，晚上
[57:45.120] 特别
[57:53.280] 我两天我也弄牙，
[57:54.520] 也在弄牙齿。
[57:55.860] 你要到什么？
[57:58.130] 漏神经了。
[57:59.620] 你上次补来一次，后来专门读好，
[58:03.010] 还有点漏。
[58:04.290] 你怎么弄？
[58:05.820] 他就是从外面看。
[58:08.120] 牙龈
[58:09.930] 牙和牙龈之间不是有一道沟，
[58:14.600] 那个时候时间长了神经过，
[58:18.050] 把
[58:19.380] 把勾。
[58:22.570] 有。
[58:24.650] 你在这直接就去挂号就行，他现在是
[58:28.080] 谁知
[58:29.870] 最快是吧？
[58:31.390] 也较大。
[58:32.320] 其实给他们留着好，
[58:35.070] 我们到
[58:36.930] 现挂线了，
[58:38.510] 像发现像一些产品
[58:40.770] 上面就可以。
[58:43.240] 肯定没问题直接的。
[58:45.600] 的。
[58:48.710] 这就是差距，你看他们去阿姨他们去了一去8个号立马太难。
[58:54.360] 挂个号都挂不上，道的话。
[58:57.590] 看对。
[58:58.990] 孩子倒还。
[59:02.560] 说人家喜欢穿这种浅色蜜吗？
[59:06.030] 给我鞋好看吗？好好，我小时候就穿这么鞋，我自己做的。
[59:12.560] 李辉老师。
[59:14.340] 我也老了也一样。
[59:16.360] 完了给我送的之前还有塑料底的那种贸易总量的
[59:20.930] 这种交流，
[59:22.050] 他有的没带焦点，
[59:24.790] 没有了解水泥肉也几乎用了冬天很多。
[59:30.130] 我小时候特别身心，因为我大拇指太长，老危险了。
[59:34.160] 老太新鞋奶姥姥给我做的浅口的、粉色的、紫色的、黑色，
[59:39.840] 什么都还有G带的那种。
[59:43.130] 对然后潜口就到脚这边了，然后颈戴在手上，我姥姥手
[59:50.190] 特别。
[59:51.350] 没错对。
[59:56.350] 然后红的那种。
