[00:00.000] 5月5号就算出去，董先生33
[11:13.880] 您这不用我的驾照，在那市场感受一下行吧？您看看车因为周末人比较多，你没有时间约，我看前面排着几个人一下，如果你多的话我们就行，没问题。
[11:24.760] 行没问题，我看那个条件。
[11:28.030] 没关系就算了。
[11:36.130] 的
[11:40.310] 数据、
[11:44.030] 的。
[11:50.150] 三
[11:56.880] 的。
[12:20.560] 6。
[12:26.000] 也提到了
[12:27.480] 这样消费养老，
[12:31.010] 因为第二我到现在差一分，不用了，知道
[12:37.560] 要。
[12:45.010] 程序。
[12:55.520] 提高你们
[12:56.360] 谁知
[12:57.490] 因为他的号的
[13:00.310] 他说他因为
[13:08.420] 谁知
[13:10.410] 的。
[13:11.850] 的
[13:14.290] 因为我这么他的生活他的
[13:18.370] 要身份证，
[13:19.730] 一块都会留下来用。
[13:24.510] 数据。
[13:26.070] 数据、
[13:28.630] 数据、
[13:31.080] 场。
[13:32.400] 场、
[13:33.110] 场
[13:36.660] 场
[14:06.960] 场
[14:08.070] 数据
[14:12.870] 9。
[14:19.190] 数据。
[14:24.930] 数据。
[14:26.620] 数据、
[14:31.240] 发现每天都
[14:35.100] 关注双击两个小。
[14:41.270] 试驾过两。
[14:51.550] 不是应该很忙吗？
[14:55.260] 这12点时不小心看。
[15:01.900] 加热，
[15:04.400] 你得交点滞纳金。
[15:06.650] 软件都。
[15:09.280] 本身。
[15:11.800] 他以前管控期间，他说可以营销已经结束后办理。
[15:16.620] 好，是三个月都可以办理。
[15:19.800] 我这应该刚过，没办法，钢管可以。
[15:23.350] 交警APP不行了，123123。
[15:27.940] 不能
[15:29.510] 不能上你就是我参与。
[15:34.200] 你妈妈弄了陪孩子吗？
[15:38.710] 姐我要他妈手贱了，
[15:42.000] 又花了300。
[15:44.110] 买了。
[15:45.400] 又买了套装备，
[15:47.600] 钓鱼岛
[15:50.830] 跟国际的消化在你不看人家跟你也不说你
[15:55.050] 你当竞争力上依靠不？
[15:57.110] 尽管那装备太贵了，
[15:58.720] 我刚才专门这么
[16:01.360] 我可以处理二手给你，对，这不错那就不错的路子。
[16:07.330] 还得想还得抢的，不是每个人都有这名额，你爸爸一样的钱应该品质应该可能会好一些。
[16:17.950] 我这想的周二要能到多少去钓鱼行。
[16:22.080] 加上清河底下的菜那元吗？
[16:25.040] 最佳的原则。
[16:30.450] 买了一个5米4
[16:34.340] 吗？
[16:37.120] 不行，你问问他不行，不是太多了，不是。
[16:40.960] 是你在邻国里不用那么大哥，他后面4米5的。
[16:45.930] 对你没事你要的，我看你知道吗？
[16:50.990] 比较。
[16:52.710] 好玩。
[16:55.010] 数据
[16:57.770] 的
[17:06.040] 咱们别处发。
[17:09.250] 因为是流程化，您在家照在您体验一下，你看看。
[17:14.930] 下次您到时候再开也行，可以。
[17:17.540] 流程就是咱们9公里20分钟，然后这边出发，然后从这边掉头一圈，行行可以。
[17:28.190] 这样。
[17:29.190] 半数
[17:50.160] 在一块。
[17:50.930] 价格差别不大没区别，家人一样。
[17:54.930] 价格不一样的，对，只不过现在很少有人全款买书。
[17:58.720] 而且奔驰的话。
[18:00.790] 率比较低，两年三年是吧？对，因为。
[18:04.840] 利率。
[18:06.120] 不是说大家对。
[18:07.990] 对，而且奔驰没有服务费。
[18:10.470] 对。
[18:12.120] 了。
[18:17.900] 除了奔驰都有服务费，部分是没服务免费贷款，其实大家基本都在
[18:23.440] 现在比较贬值，小李他这是dsc加C260对。
[18:34.200] 0. 
[18:35.030] 9260。
[18:37.600] 20080027。
[18:39.520] 那东西差不多就260L
[18:42.510] 就二龙的L2002
[18:44.670] 现在没有260了，都是L260L咱们就完了在特招做一个或者这块都空调都给调节，
[18:52.960] 奔驰全新用的环绕，因为你自己家里有奔驰车都知道，回到D挡直接出发了。
[19:01.500] 他就比之前那个款多了一个10公分，
[19:05.430] 然后改了一下，那是跟前两
[19:08.850] 刚刚爸爸今天长华千三得他结婚的时候，我一直帮他开了，
[19:15.840] 他们结婚不能开车，
[19:19.070] 不知道，谁知
[19:36.230] 您朋友的指标是吧？对。
[19:38.280] 他征信肯定没问题是吗？不是竞争。
[19:42.110] 估计没问题。
[19:44.390] 他不用跟别人了，别人不要了带身份证就行了。
[19:47.630] 你俩的身份证可以了。
[19:49.550] 坏。
[19:51.870] 远远
[19:54.380] 坏快车的用户
[20:10.540] 全程四驱是适时四驱。
[20:21.030] 咱们有一种
[20:22.890] 模式，谁知模式的话
[20:28.490] 更强劲一些。
[20:29.700] 起步推背感，
[20:31.820] 谁知
[20:43.370] 是现在基本上
[20:44.950] 买。
[20:46.260] 对。
[20:47.560] 也油耗也低一点，对友好地点等红灯的时候直接就踩生产早就后的功能
[20:53.170] 了。
[20:54.300] 绿带的话直接给油直接出发了。
[20:57.470] 您那奔驰也是在这个店买的吗？不是在。
[21:04.050] 好像现在满的，对，因为他是进口的。
[21:07.600] 沉浸的将来450
[21:10.120] 老板的
[21:11.190] 是哪个？
[21:14.610] 不是4S店的车是吗？
[21:16.850] 不要从港口上那边。
[21:19.600] 你应该是买平行进口车是吧？
[21:21.990] 对。
[21:41.390] 你待会帮我算一下，全下来大概多少钱小六？
[21:44.440] 算。
[21:48.200] 300。
[21:49.740] 260还能拿多少了？
[21:52.290] 打了一个22。
[21:55.370] 空间其实大小都快掉了，空间是一样的是吧？
[21:59.940] 但是他那个背景在那空着，也看不到了干嘛，
[22:05.160] 还有缝纫机什么的。
[22:09.140] 空间
[22:10.810] 那种感觉看着感觉上比较少，但其实
[22:14.780] 设计上
[22:16.770] 那种感觉颜色什么的那种感觉，白色显大，白色当有点小，对。
[22:22.900] 对吧？黑色有些什么
[22:25.210] 有限制吗这个？
[22:28.350] 白色显大你知道吗？什么你看这个。
[22:30.760] 所以她对白色蓝色。
[22:32.560] 白色它就是
[22:34.030] 拉长视觉。
[22:49.000] 的
[22:50.170] 觉得
[22:52.110] 小CL的
[22:59.450] 这个车
[23:26.030] 确实
[23:28.160] 车
[23:29.950] 的。
[23:36.250] 我开车
[23:46.780] 也这样。
[23:51.480] 您要有指标你干嘛不置换？
[23:53.790] 揣着留着用是吧？对。
[23:58.420] 因为我朋友他有
[24:00.250] 有那个指标那就够了，他买那要是车
[24:04.170] 还要用。
[24:05.320] 你家里还有人开
[24:30.740] 买给了手术，
[24:31.680] 是吧？
[24:32.540] 就是条件谁知
[24:38.480] 你家里车这块鼠标对吧？也什么的。
[24:41.630] 也是这种知道对。
[24:45.430] 女儿刚买没多少时间。
[24:47.970] 这去年买的到钱了。
[24:53.650] 然后大屏的是吧？对。
[25:12.240] 后备箱可能有点小。
[25:15.480] 那些上两次都给房东去底下也可以，你叫我看看是在那个桥，
[25:21.150] 然后后排座椅全部放倒，反而差点东西也行。
[25:24.740] 小东西现在下面能不能放一放2260还有
[25:28.430] 320 2602的
[25:31.250] 豪华的
[25:32.700] 态度，
[25:33.540] 三码的
[25:34.720] 主动性的
[25:36.000] 动漫型的区别的。
[25:38.320] 发动机高低功率、
[25:40.120] 踏板
[25:42.920] 就这两点。
[25:43.720] 然后51进入
[25:45.710] 对这个地方什么模样是金融。
[25:56.040] 以前比较拼命了，200
[25:58.340] 还有豪华版都有320的。
[26:00.960] 那种连都没有是吧？车是吗？你说。
[26:03.800] 现车都有。
[26:05.520] 还有他的这里配置没有，我跟你说那几个三二楼的花没有？
[26:11.650] 车就是现实都有，不一定有您要的颜色的，就是黑茶延长黑有两种黑是吧？
[26:19.540] 不是有一种肥就是调研费，只有一种黑色，对，您的意思是
[26:25.770] 推荐我们买的豪华版吗？
[26:28.420] 浩瀚不推荐您买。
[26:30.190] 好吧，做那些配置多少钱不少，没必要多花那个钱，
[26:36.140] 而且没多几个配置，主要就不能声音小，
[26:45.550] N久没有卖过，
[26:47.340] 基本上都是300多的或者是二楼的号码。
[26:50.260] 你看20其实300都敢卖的多少，因为很多人会选择踏板，觉得不下车不方便。
[26:56.770] 你这头像了是吗？谁知。
[27:19.650] 这个。
[27:20.970] 什么红包是黑。
[27:22.230] 什么。
[27:23.030] 我待会看向黑的阳光照耀翻红，他不就是两种黑，一个保湿，还有一个。
[27:26.940] 什么黑？
[27:27.930] 这是类似于这种棕红色吗？
[27:34.200] 好吧，我们先给您算个价格，对。
[27:36.560] 下面。
[27:51.090] 早上来了以后吃两个
[27:53.020] 干其他我吃掉不这两个职业。
[28:06.310] 我看。
[28:08.450] 谁知。
[28:10.430] 的。
[28:11.400] 我不你用吧录歌。
[28:13.340] 有够吗？有客户是吧？我没您。
[28:19.510] 喝点什么药水，我去拿等算一下价格。
[28:23.750] 反正既然公诉人说。
[28:26.080] 我就想。
[28:27.410] 谁知
[28:32.600] 了。
[28:33.500] 什么左右又肯定就不了，肯定是那什么。
[28:46.130] 罗攀你去世了吗？
[28:48.140] 回来了。
[28:49.070] 回来之后哪个位置在郑州呢？
[28:53.090] 我不知道东南西北，反正我也不知道哪里，我们开始中国这几分钟。
[29:01.310] 好了。
[29:04.090] 了是吧？
[29:10.840] 看我们老家现在很nb了，
[29:13.180] 我们老家现在弄了一个叫旅游开发区，叫同盟古镇，
[29:18.940] 跟丽江古镇一模一样，
[29:22.850] 仿的那个是一模一样。
[29:25.360] 我不是前上个月回老家了吗？
[29:29.160] 然后昨天晚上就大修，平常看了看
[29:32.480] 东西是一模一样，设计什么都一样，就是你吃的东西雷击不贵，
[29:37.820] 买泡芙就能卖点15块钱一个，我说其实常常怎么样？
[29:42.290] 后去买。
[29:44.270] 北京还贵，
[29:48.710] 而且那帮人都是属于香港的，钥匙怎么开，领导让我回来。
[29:54.070] 我让你们。
[29:56.090] 你们给我打工。
[29:57.870] 你拍这个时候你看河南烩面是吧？
[30:00.350] 原材料什么都不用。
[30:01.930] 你不用买什么面，
[30:03.710] 我都给你
[30:05.070] 营地就可以了。
[30:07.310] 然后医院营业超级规模完成的任务高多少，按5%。
[30:12.780] 36倍。
[30:14.330] 来吧。
[30:16.680] 除了这个人打了。
[30:18.330] 就算了。
[30:22.200] 我们的。
[30:25.050] 谁知
[30:27.220] 的
[30:30.710] 谁知。
[30:32.930] 的。
[30:47.000] 谁知。
[30:48.260] 的。
[30:49.760] 我给你查一下，两天有时候卖的比较多，
[30:56.380] 就这点。
[31:00.310] 628，您看我给您算哪个配置，咱们就算二元阳的豪华是吧？和300元的动感。
[31:10.270] 这两个笔算一下。
[31:11.880] 上面还好，你要多少我，想说的我们的算算哪个你。
[31:20.130] 130200
[31:22.540] 8点还有配置，只有豪华和感两个配合的对不对？夫妻和不一样。
[31:29.630] 谁知二
[31:33.580] 状态谁知。
[31:39.800] 别老是的话我到这儿
[31:45.750] 没放买的现场的下去就看完之后提到。
[31:58.020] 我给你麻烦。
[32:01.590] 不是就把车牌我这样的等着咱们有一台标准配置的黑车同类，然后其他的那台就一台了，然后其他的话都是选装了旁边辅助系统，
[32:15.510] 其他都选装了。
[32:18.240] 是吧？你家都怎么样选装了盲点辅助系统只能
[32:24.730] 我跟你说了透镜里面有小三角，比如说您要并到比如注意力不集中，
[32:30.500] 后面有一车路上来了，你看不见的时候有个提示量，厂家选中价格4100块钱，
[32:37.590] 以后最后
[32:39.710] 一人一斤，他工程师根据自己开发的理解，他们根据个性化调校，
[32:45.670] 以前算上每年算是吧，他紧张的
[32:49.740] 找一下特别重要。
[32:51.870] 大家非典在干嘛？
[32:54.690] 有一块。
[32:55.680] 但是
[32:59.080] 后来
[33:00.040] 这样的
[33:00.780] 讨论一样的，
[33:03.210] 一切标准全部他出多少来。
[33:06.560] 我家里
[33:07.850] 一般人高兴的不一样的，还是说
[33:11.050] 这个公司掉了网络安全下边发动机
[33:17.310] 电车
[33:18.570] 转账
[33:20.880] 往往要出去还是自己？
[33:24.190] 用
[33:26.440] 投票通过。
[33:30.600] 这种
[33:32.920] 基本
[33:37.680] 好多。
[33:42.290] 你现在的。说完
[33:52.260] 觉得
[33:58.150] 也行。
[33:59.160] 我知道。
[34:00.610] 主要觉得手上有点儿
[34:12.970] 分期的话您有没有首付的一些要求？
[34:16.320] 等会大概要多少，然后还是我给您算一个利息最低的
[34:20.520] 年。
[34:21.310] 还有您倾向选的话是两年还是三年？
[34:24.970] 最低的是多少？最低的是今年，最低一年一年到三年都可以选择三年。
[34:35.850] 百。
[34:41.810] 的
[34:43.250] 多少钱特别低？
[34:52.850] 远
[34:58.480] 的。
[35:01.090] 的
[35:05.320] 数据
[35:08.160] 场、
[35:09.900] 数据、
[35:18.320] 快。
[35:22.040] 4
[35:26.610] 三。
[35:41.630] 然后咱们给您算一个全国统一模板的报价
[35:45.240] 的，反正我们定的比较回归，他什么咱们一块咱就走了，这客户就可以商代晚期。
[35:52.510] 谁知的给您算的价格，咱们觉得没有工厂销售不行，你消费
[36:01.920] 别说咱们这价格怎么来的，我跟你讲一下，我给您算的是gl C 260L豪华版的
[36:08.530] 官方指导价格422,800，因为我们这边现在是有优惠政策，有团购节活动，
[36:16.420] 可能会高一点，不知道有多少效果，也通过这些活动，所以说我们平时用为4万，
[36:21.990] 这两天周末这两天优惠45,000，裸车就是377,800，甚至国家收的会议室个点收取的咱们都得少补，咱们实际发生为准出来33,000左右，
[36:32.330] 保险给您按1万块钱给您预估的，当然你租这少胡，咱们实际发生为您自己选，没有强制。
[36:38.210] 北京牌的话有一件上面服务费用千五，给您办临牌缴税供验证验车的费用。
[36:43.830] 店里我有一个大礼包装饰车子装饰，
[36:47.090] 全套15,800，包括全面的防爆隔热玻璃贴膜，奔驰专用隐藏式的记录仪，
[36:53.920] 立体包围皮革脚垫、后仓垫，还有咱们整个漆面镀晶峰用半期间价格是439,000都拿起。
[37:01.360] 不好意思，我跟同事说句话说就行了，按给他定一上那边看怎么样，他环保得了感冒，
[37:09.850] 然后再改密码肯定不会。
[37:12.520] 完了不到了，还有所有的都落地了，我也做不了。
[37:19.950] 对，主要你们也说了，
[37:23.410] 想要的谁知那时候就是三人对
[37:32.000] 他的号什么全都没有了。
[37:35.450] 我不知道说不定你的订单
[37:38.240] 的应该并的，也不知道你说我你应该没有任何必要的。
[37:46.470] 手术18万的越好，而且将来手机前段
[37:50.840] 还有系统整体的高新园也有事，从前有，但是没有这样的。
[37:56.490] 没让赔付设计部门那里对，你要让他们进来，你等着你先等一下。
[38:02.920] 谁这是今天胡经理你说你们要现在怎么办？
[38:08.320] 现在怎么做？我想跟沟通还没定过，没有把它马上就好了。
[38:14.050] 好，这就是然后下来对咱给您算的税费，保险验车费用多少费用，你看我们公示牌给您看一眼。
[38:22.340] 不用咱接着往下说，这两个方案是目前客户选择最高最多的，也是您产生的利息最低的，我就给您算了这两个方案。
[38:31.350] 然后这个是奔驰金融针对疫情4567这个月最后一个月刚推出的第7方案，
[38:36.500] 什么意思？就是你可以首付一半带一半。
[38:39.200] 三年。
[38:40.470] 如果三年期的话是每个月还5500，
[38:43.520] 您看您189,000188,000将近19万，您每年的利息在3000块钱，这是非常低。
[38:51.290] 他的奔驰金融利率是总率是3.49，和银行利率的话1.82才一个多点，
[38:57.150] 这是非常合适的，如果您要做两年更低，
[39:00.990] 首付也是一半一半两年，但是月供的话肯定要比三年要高一点8000块钱，您看您在19万两年一共
[39:08.260] 4900，还了一年才2400多块钱和银行利率，万一两三个点那就更低了，然后这奔驰的话没有服务费，
[39:16.470] 你带多少钱不收你服务费？
[39:18.260] 没有贷款手续费，明白了。
[39:25.600] 您家里自己家理财吗？您？
[39:29.900] 这个不太懂什么，它是我就说保值金额跟那没关系，我就按这个格式给你写的是月供交月供。
[39:40.280] 是首付一半大一半吗？每个月固定还，您自己家里会有理财吗？
[39:44.760] 也会理财是吧？您要理财比如比较高的话，你肯定对你越长越合适，
[39:50.100] 是吧？肯定越长越合适。
[39:52.480] 有的我有很多是吧？队友银行的，
[39:56.480] 有银行的，
[39:57.730] 像建行的话，工行这两天都有活动，都是3.6的利率，然后这两天
[40:04.080] 工行。
[40:05.090] 招行的话得给您问一下，工行的话这两天贴息3.1的利率可以做5年最高，
[40:10.790] 那就更合适了，你手还可以调，
[40:13.940] 你不管多，你不管就11年也好，3年也好，5年也好，都是3.1的利率，这就比较合适了。
[40:20.280] 变还是不变，利率的不变，而且你最低可以收5% 10%都行。
[40:27.070] 你能帮我算一下300300是吧？300。
[41:26.720] 5万的保险是不是都是全权权限不够，1万块钱不够，这群原来大概得一万三四左右，一万二三。
[42:06.640] 三
[42:10.520] 的
[42:12.560] 的
[42:20.780] 来
[42:25.090] 这是指导价格，优惠价格，睡保险验车装饰都一样，万七47万。
[42:30.200] 3万元，这是豪华的吗？这是动感的。
[42:35.910] 您说豪华的奔这50万去了，你不知道了，
[42:40.020] 其实300都没必要，这二楼能不能够用了？
[42:45.040] 因为大小高矮里面的一些东西都是一模一样的。
[42:50.190] 你说300和260L是一样大吗？肯定一样大，大小高矮都是一模一样，大的就发动机功力
[42:59.060] 起步快一点，跟您说开上去的感觉都一样。
[43:03.310] 而且后期比如说你要用个10年8年的对吧？你后期你肯定260保值高，
[43:08.770] 你成本也高可以。
[43:10.300] 脚油跟这一脚油肯定不一样了，
[43:17.760] 你没必要在这基础上再升点功率了，没必要了，用不到了，
[43:22.790] 又回老家的多拉开，要不然我就把它去换掉，然后您把行车就您那什么说花灯有什么其他问题跟你问问，咱们看哪一块不是特别明白的地方。
[43:31.800] 没有。
[43:35.880] 车辆的话现在都是现车，然后今天咱们那边也是通过节活动，您那边是考虑定下来吗？
[43:41.550] 他已经走了，这边的话，但
[43:47.650] 谁知
[43:48.840] 53,000
[43:53.690] 又好看苗你说找杠杆是有什么国家，因为我不知道。
[43:59.710] 那就是身子他这个是不是伸出来的，他那不是有一个踏板吗？你下车就伸出来就挂，咱们是那车不是旁边没有踏板吗？你发你说他下车的时候，
[44:15.190] 咱车不刚是这样的事故，没有踏板没有直接下号码。
[44:21.500] 刚那是动感的是吧？对。
[44:24.490] 豪华的会有脚踏板是吧？对，你再跟我说一下，你是不是这300动感有踏板？
[44:31.430] 250豪华没有踏板，
[44:33.530] 260都没有踏板，只有300它有踏板。
[44:36.560] 没有。
[44:39.260] 还有其他的你说。
[44:41.200] 你说二楼等等这么给你打算了，
[44:45.440] 这有一踏板对不对？看着树上百8260是这样的，
[44:50.650] 没有踏板分别是这样没有踏板，很多人觉得下车的话踏板不特别方便，你要下雨怎么弄，你裤子脏，
[44:58.260] 没有踏板的，
[45:00.400] 没有太晚的。
[45:03.500] 我觉得就那么点小车，你再弄个踏板就感觉非常的明白吧，就感觉有点不是特别大，对，要不说大厨向gl一张S踏板，
[45:13.610] 看那个时候他对
[45:16.240] 还有其他的区别，你再给我讲讲，因为我不太说实话不太懂，无钥匙进入功能，
[45:22.780] 无钥匙进入，
[45:24.110] 手机放兜里，直接手触摸那个门，只能开杆不用钥匙。
[45:29.340] 唯一最重要就是发动机高功率多了，他们三十匹马力，
[45:35.670] 还有耳朵上面有一个小三角，
[45:39.100] 比如说你要从内到病房内到对后面有一车突然出来了，他要给你提示滴滴响，但是咱们这个车可以选装。
