[00:11.200] 看您
[05:00.970] 剩下其他没什么太大区别。
[05:03.000] 然后再给您介绍之前，因为您来奔驰看车有一个服务公约，我先跟你宣读一下客户为尊以礼相待，
[05:09.240] 诚信经营和马德里明码煤价公开透明，绝不跟宝销售强制消费，
[05:13.240] 绝不使用假以次冲好40081818进行监督。
[05:17.090] 然后这个是整个车型B级车的一个概览，
[05:20.130] 你要详细了解，你可以扫一码相当于电子多数，
[05:23.170] 它包括什么180、动感10
[05:26.560] 180这应该是时尚的。
[05:28.440] 然后就动感200，时尚，然后还有260，
[05:32.810] 但基本上国内很少到最顶层，现在原来都不是特别合适了。
[05:37.020] 咱们有的基本上
[05:38.820] 这个和时尚型到货量也不是特别高，也不是特别大，这俩有啥区别？
[05:44.560] 这俩
[05:46.320] 这俩主要差的区别像倒车影像没有造成影像，对我记得。
[05:52.090] 对，然后一个道这样肯定也没有，这俩都没有造成影响，但是它标配前6后6一共12座雷达，这是标配的。
[05:59.510] 比如你侧方停车到同一个车回来车都没问题，而且自动泊车
[06:03.530] 我记得好像应该也是标配的，
[06:07.190] 剩下其他就是功率上，你看长宽高尺寸这有了4米4多，
[06:11.420] 然后宽高，然后再有功率，
[06:14.390] 都是这个是100千瓦，这是120千瓦，更有近一点加速度，对，但要从市里代步开基本上够用，没问题，都没什么是对没什么区别。
[06:26.640] 像您的需求也很简单，就是咱送的小孩怎么的是吧？我上班代个步。
[06:33.430] 对，平时售价一般会开大车，对就开心，对那就没问题了，您买这小哥就行，您是00
[06:41.010] 180就行了，980现在优惠多少？
[06:44.100] 挺多的，五六万的优惠。
[06:46.170] 再倒手多少钱，您看这个只是车价优惠一部分，我记得这车原指导价是239,800，
[06:52.630] 他优惠了一点儿206,800还能再优惠，我记得优惠完好像18万多，我前两天卖个180
[06:58.350] 18万
[06:59.080] 一。
[06:59.930] 然后办齐了也就20出点头，这俩就是说还差一天了，
[07:05.290] 差一大钱庄。
[07:06.790] 然后前景这边是前后分两是吗？
[07:09.900] 但是他
[07:11.320] 分着的。
[07:12.520] 一直后边也有。
[07:15.080] 然后再有来说的话，
[07:17.460] 登上这是卤素的，那是LED的其实也无所谓，因为城市里开始抽烟
[07:25.140] 都很少，一一走乡村路段都很少可能，然后我记得应该没有一个电动后视镜折叠，
[07:31.700] 这个地方应该没有。
[07:33.340] 这不是电动后视镜折叠吗？褶叠的话他是这样，一所车的话，它两个后视镜不会自动收回来，就需要您
[07:41.750] 给他掰一下或者镜给它翻回来就行了，电扇调节都是电动调节这些都一样。
[07:46.590] 得自己手动去弄，其实很简单，比如说你要通达小区里，对谁稍微你们俩就给他这样，
[07:53.670] 你搜就交了。
[07:55.260] 就这样了。
[07:57.160] 我现在
[08:01.900] 您是打算什么时间购这车？是最近吗？
[08:05.380] 其实
[08:11.210] 没有。
[08:12.360] 我那个号在哪个时间？
[08:15.220] 我就不断的
[08:20.330] 这个鬼相就是了。
[08:22.020] 对，然后后排座椅可以放倒，是那种四六放平是吧？对，然后底部没有备胎，也咱们弄的是地下去行，他就是防爆胎，你底部可以放点东西也可以，谁知
[08:33.600] 对，因为他用的是防爆拆，
[08:35.440] 把钥匙扎开了零胎压您还可以继续行驶，但石头别超80迈，你还得跑80公里。
[08:43.150] 对，比如说你找个附近的维修就行了，也比较方便。
[08:46.980] 反正
[08:48.010] 就没地儿装排队，而且他用的是防爆，蓝色又不涉及到备胎，按一下
[08:52.970] 按一下波浪门的变乱。
[08:55.630] baby因为都空间是吗？
[08:58.040] 有点空间你可以装一些其他的东西。
[09:01.150] 我们有建议
[09:03.590] 找到
[09:05.610] 我们不是自动的没有，电动尾门200也没有。
[09:11.910] 然后详细了解，要不然我把那个产品大概跟您说说，基本上因为您可能刚才
[09:19.540] 倾向的
[09:20.900] 两厢车来说的话，咱们现在目前在售的只有这一个。
[09:24.500] 再有的话就是A35，包括A级车了。
[09:27.850] 刚才也跟您说了大概解释了一下，因为35
[09:31.150] A3我属于AMD的，
[09:33.200] 就属于性能车的价格在40左右，觉得不太适合您。
[09:36.610] 对，你看这款车来说的话，因为B级车
[09:39.890] 首先它是整车进口的，然后再有一点他刚才跟您说的功能配置，比如说前6后6雷达，就是这边也有雷达，
[09:47.160] 比如说您侧方停车的时候就要看不见的地方，他也给您提示，也能增加您驾驶安全。
[09:53.720] 轮胎刚才跟您说完了对吧？然后再有发动机变速箱了，这是主见了。
[09:59.030] 发动机变速箱来说的话，它是采用1.33T发动机，然后电路箱是7速变速箱，因为奔驰有百年的历史，就是发动机变速箱都是奔驰自主研发起诉不是那种cd的，
[10:09.410] 他是现在都不用CVT和cv T后续的成本太高，比如说现在它采用都是7速双离合的变速箱，
[10:15.400] 但这个跟大众的切除双联盒还不太一样，
[10:18.210] 这都是奔驰自主研发的，没有任何外采技术，所以说匹配度会相对来说还是比较好的，因为都是自己的东西，
[10:25.240] 他传送效率可以达到92%，就是这样，然后再有内饰的这一代来说的话，你像
[10:32.150] 一块连平，其实这也能增加纳税的豪华氛围，对吧？
[10:36.030] 您干焯一看两块就摸它一整块玻璃，
[10:39.230] 采用金刚玻璃材质的应用来说，比较用微信是一样的吗？A7都一样，对很像，
[10:47.640] 其他的来说的话，其实这款
[10:50.800] 再有
[10:52.470] 这款车跟普通的车不一样的，就是您坐在里头以后，你会感觉到头部空间真的是比较舒服。
[10:58.330] 当你座椅调好以后。
[10:59.380] 以后。
[11:00.000] 然后再有奔驰的一个内饰的座椅的设计，它的座椅比如说有可能比如说你要乘坐老人，因为这款车它可能它采用的皮革包裹都是机构批核，
[11:10.680] 但是他按摩度非常好，然后整体上来说的话也不至于说用过几年以后这皮子磨损特别大，
[11:17.640] 而且他这款的设计中间采用是这种绒的，
[11:20.790] 这种单调了，
[11:22.220] 可是相对于来说冬暖夏凉。
[11:24.820] 坏。
[11:28.710] 对。
[11:30.310] 然后都是手动的人，都是手动调节，200也都是手动，只有二百十兆才有电动。
[11:38.200] 这车我们
[11:40.650] 当时也挺不能理解的，第二为什么全都是手动调节？
[11:46.430] 奔驰你说2020多万的车你扣到这程度连个都不做，但是国外你像
[11:52.500] 这俩车一个C口味，一个E裤配这俩车都是50多万，连前排座椅加热都没有，
[11:57.950] 可能他这也没有达到加热，
[12:01.240] 但他不一样的地儿，比如说灯光采用的感应式大灯，然后雨刷也是自动感应雨刷，
[12:07.000] 他有些功能来说，他觉得这车
[12:10.380] 可能一个人开是吧？
[12:12.360] 可能座椅调试的地方不是特别多，所以没设计。
[12:16.490] 然后这款说一会我们有私家车，你要有时间你可以感受一下。
[12:22.550] 你加班
[12:24.020] 我家。
[12:24.880] 我在大车。
[12:26.870] 对，您可以先了解一下买和不买没关系，后续您有其它对比的品牌都是现在比较痒的。
[12:32.730] 你比如说我们大致同级别的，我们本来挺长的喔，后期的保养费用上面，
[12:41.600] 反正你要买
[12:43.010] 所谓的bd这三个品牌，或者说稍微豪华品牌，沃尔沃的后期保养费用要高。
[12:48.550] OK我觉得对象宝马
[12:51.520] 我比奔驰、宝马、奥迪都要高，这1万11,000，
[12:57.380] 费用大概在1000块钱左右。
[12:59.580] 对，就普通的钱保养多，相当于万1万是不是也得说半年1万是吧？
[13:06.350] 半年时间限制，没有时间限制，比如说您一年，我们一般是建议年是一年。
[13:13.070] 对，比如说你一年就跑距离还比较近，可能一年就跑个5000多公里，
[13:18.710] 难道对，我觉得一年可能六七七十七八千我就应该唱歌。
[13:24.270] 您这样我就建议您过一年过来保养一次就可以。
[13:27.910] 对。
[13:30.150] 这并送吗？谁知？
[13:33.900] 那个不是那是换挡拨片，因为咱们采用奔驰采用都是怀档的设计，有适当位置在，
[13:39.720] 就跟原来最早CRV是对档位是在这，所以说他没有收到模式。
[13:47.670] 电子手刹是在这有个P电子手段，那是一个首播，就是一个手快，没有什么其他。
[13:53.510] 没用。
[13:55.220] 还有飞行员
[13:58.540] 在定义网络
[14:07.400] 测量，
[14:09.000] 西部试点该有的气器件气囊都有，
[14:14.340] 奔驰一般很少说技能，因为他觉得他造成第一理念就是安全的，所以说你像您提到的所谓的气囊，
[14:21.950] ABC柱，包括前面这些应该都是标配都有的，费用也没有，
[14:29.090] 包括近场技术应该都是有的。
[14:31.470] 没有。
[14:34.260] 没有标识吧？
[14:35.660] 这有。
[14:36.610] 没什么事吗？
[14:38.070] A杜有事吗？B柱？没有。
[14:39.940] 第。
[14:40.860] 这有。
[14:41.230] 避暑。
[14:42.170] 这不有吗？相当于侧气帘吗？
[14:45.150] 这是一个
[14:46.280] 没有。
[14:48.100] 但是C柱上没有。
[14:50.120] 应该没这么。
[14:51.750] 对，他是一个侧气帘。
[14:54.130] 长长的对。
[14:56.210] 然后前面主驾驶的侧气囊这都有。
[15:10.660] 然后再有您
[15:12.840] 带您看看车身颜色。
[15:16.560] 因为刚才给您提到的是我们主要常卖了一些颜色，
[15:20.920] 但是
[15:22.000] 还有一些
[15:23.780] 我觉得还有一个叫浩沙，
[15:25.910] 回头后续您可以考虑。
[15:28.170] 详细了解的话，官网上
[15:30.760] 也都可以看得到。
[15:32.480] 这是所有在售的颜色，深灰就是787。
[15:36.830] 稍等一下，他反应不是特别快。
[15:39.300] 787颜色，这个车姗姗灰色的，
[15:43.200] 有点煽灰。
[15:44.910] 然后再有就是钱。
[15:47.320] 对，这属于西兰的，被最近蓝。
[15:51.210] 蓝的也可以，对，一会咱们可以从这下去，然后您再看看，然后顺便我给您办个事件。
[15:57.540] 你可以感受一下车辆方面有什么其他问题。
[16:01.150] 网友大概
[16:03.190] 对，而且现在奔驰
[16:05.720] 多少呢？丢单率。
[16:07.540] 对，而且其实现在奔驰上都有公示的，你可以从官网上或者门店上都可以看得到，对，因为他这些东西现在做的都非常透明化。
[16:17.760] 比如说你要做B保养的时候，有的客人就会稍微花的多一点，
[16:22.480] 大概1300~1500，带有花2000多的，比如说大家您请点做清点，您可以选择不清，您说我就按奔驰星徽套餐做就行了，
[16:31.660] 就OK了，什么时候要听什么东西，其实也对，他会推荐您，但您可以选择不清，您说我就按正常的作用，一般的
[16:41.540] 店都有这种搓擦什么的，对都有。
[16:44.950] 而且慢慢我们后续也会出一些，比如说您可以先处置，处置完以后的话，几年6年8年之内您都可以享用，一直用这个都没问题。
[16:56.050] 处置个几千块钱以后保养就不用花钱。
[16:59.060] 当高200
[17:02.480] 200的话是259,800，我记得没错的话应该是。
[17:06.700] 明白了。
[17:07.530] 对。
[17:10.150] 我看一下。
[17:21.160] 的
[17:25.360] 远
[17:26.380] 场。
[17:32.640] 259,800优惠5万，优惠完了也是209,800。
[17:36.820] 就是说
[17:38.340] 如果跟动车的话，应该还能再
[17:41.810] 可以，如果人家考虑订的话，到时再给您申请，真的没关系，应该还能掉了是吧？
[17:47.300] 不管。
[17:49.990] 看你这睡觉要是说
[17:52.640] 什么时间性，因为我们价格政策都有直接来调整。
[17:57.130] 我现在想的是
[18:01.510] 品牌先看看对比，对比完以后然后缩小一下，最后其实我十几年前那会儿
[18:09.600] 就想买一个第二版，
[18:12.920] 当时我们
[18:21.070] 是在新窗口。
[18:24.590] 有红灯的。
[18:28.620] 红色。
[18:32.260] 那个是一个防盗报警的标趋势，这个。
[18:36.560] 到偏房什么没接吗？没有离了也没有，这车没什么拍着。
[18:42.030] 那个是防盗。
[18:43.810] 然后这款车我记得他应该也没有电动调节座椅，
[18:47.550] 也都没有什么。
[18:49.130] 主要就是灯光。
[18:50.460] 差一天窗，然后这边有个电调。
[18:53.260] 其他的没有了，合并对就没了这样。
[18:57.680] 不要再说，但其实在二手
[19:01.780] 不用帮忙。
[19:02.700] 多花型白色好卖好吧？
[19:06.750] 您车停哪了？你要帮我了，别保养了。
[19:11.610] 你哥还吃不了，我是了，为啥吃不了？还有嫁妆没有见面，嗨我还以为你好。
[19:18.120] 您回答您休息一会喝点水我给你办个假。
[19:21.540] 10下。
[19:24.300] 你车放保养好D没有，我在石景山那边保养的，然后
[19:30.720] 本来剩山旁边不也有一个奔驰吗？我以为那就是奔驰的，不是那个意思，商务车，而且在这边玩那行三车祸没三周，
[19:40.330] 还有福建本村
[19:41.790] 卖商务车的，
[19:46.050] 那样的那些
[19:48.820] 您这样嘴您稍作休息一会，
[19:51.140] 或者说您看看书，然后我大概几分钟的时间就半个暑假。
[19:55.440] 好好没问题。
[20:13.290] 你早上时间了。
[20:14.610] 经常练练。
[20:18.180] 没有喝好多天。
[20:21.870] 有可能。
[20:23.590] 差不多。
[20:27.290] 还有我感觉
[20:29.560] 在这个跟以前
[20:31.640] 咱这块就感觉卖点车能挣点钱，感觉就是聊聊青蛙，不断转型，不方便，买房子感觉
[20:40.480] 不断
[20:41.320] 我想吃的
[20:46.330] 8张。
[20:48.950] 场上
[20:51.690] 数据。
[20:53.560] 数据
[20:55.020] 场、
[20:56.540] 数据
[21:03.640] 的。
[21:11.190] 的。
[21:13.930] 起点高，
[21:22.660] 应该是吧？
[21:25.400] 长得一样。
[21:49.850] 10
[21:52.730] 五
[21:56.140] 手。
[22:07.280] 的
[22:08.600] 情。
[22:17.830] 坏。
[22:19.330] 场
[22:22.430] 数据
[22:26.010] 五
[22:27.780] 行。
[22:29.570] 坏
[23:19.850] 坏、
[23:20.970] 场
[23:27.150] 花
[23:28.310] 用。
[24:01.830] 的
[24:18.960] 了。
[24:19.680] 8月16号到8
[24:31.000] 行。
[24:31.700] 来找我玩了。
[24:35.550] 家用车
[24:37.000] 价格1万2万吨。
[24:41.210] 那个车也是加强的。
[24:44.430] 一点
[24:46.050] 快乐。
[24:47.450] 714 500块。
[24:54.720] 百
[24:56.490] 889,800，咱们
[25:02.640] 不到10分钟
[25:08.960] 了。
[25:11.680] 刺激和调动
[25:16.440] 的
[25:21.800] 929,800。
[25:23.950] 三。
[25:48.680] 25。
[25:51.360] 好。
[25:56.700] 然后那个时候还发微信。
[25:58.910] 授权。
[26:01.390] 您加一下。
[26:02.560] 然后作为一个运动，因为就出去到我们
[26:07.460] 集团孩子
[26:09.330] 要求
[26:20.520] 后面
[26:27.310] 的。
[27:21.890] 有平流水需要吗？您哪儿呢？
[27:24.240] 能说说帮我签个字。
[27:27.880] 然后是大股东是这样，
[27:32.190] 跟您说一下，试驾过程中千万别着急，别违章就行了。
[27:35.920] 对，那路线我只给您一会儿。
[27:39.490] 对，这是一个试乘试驾协议。
[27:41.620] 您的先生能获得价大概4公里24号线，如果发动交通事故的话肯定没错，处理9公里那么远。
[27:48.790] 你要想进一点就四青桥调头回来走，没关系，可以试一下就行。
[27:55.110] 好路线我跟您说一下。
[27:58.090] 这边有一个
[28:02.210] 大概
[28:03.250] 这是咱们起点，然后订婚这
[28:05.920] 咱们掉过头，
[28:07.150] 到南乌桥这儿换手，您开过来就OK了，我然后大概兄弟20分钟左右好吧？
[28:13.660] 稍微等我一会，我把车给您开到门口。
[28:17.680] 200的。
[28:19.360] 然后一会您直接上课就行了，我一开到门口。
[29:31.000] 没钱交现在。
[29:33.670] 咱们私下里晚上是边买的，
[29:35.990] 就是高功率的版。
[29:38.140] 能
[29:42.620] 然后我先简单跟您说一下，合理的大致的一个水功能情况。
[29:49.220] 之前使用过吗？
[29:50.710] 没有是吧？第一开了开。
[29:54.440] 这一条是我就不跟您说了，因为他这边手动的在这下面你泡脚OK了，
[29:58.640] 然后后视镜调节是在这，比如说咱们调左边把左边解变量，然后那条件都要求看A
[30:04.150] 右边也是一样同样的道理，
[30:06.390] 然后方向盘它也是只调节，但是他是手动，这应该都没问题，主要就是挡位这稍微有点不一样。
[30:13.440] 刚才电子手刹跟您说了就在这，它基本上奔驰比较智能用不上。
[30:17.750] 什么意思？比如说您现在沙沙坡往下摸到顶这个位置，我像一个DE咱们就可以刚刚总和了，
[30:24.320] 然后把上波波到庭，
[30:26.800] 马上到达，
[30:28.240] 做完然后按下键回到P档，
[30:31.850] 那就OK了就可以了，然后按但一换挡的时候不要碰，远景不用说按着他去挂挡，不用
[30:39.780] 等他往上不往下拨就可以。
[30:41.860] 好病魔这个屏幕来说的话，同样也是触屏，也可以通过它去调节这两种方式都可以了。
[30:49.280] 没什么问题。
[30:51.390] 咱就出发好吧？文件。
[30:54.520] 有。
[30:55.380] 自动启停功能都有。
[31:01.350] 起调试出厂默认就是die。
[31:04.920] 每次得上车得关，再关的是在这儿管，看见了这边还有一个给它关掉就行。
[31:10.520] 你有吗？现在都要求必须得有。
[31:13.560] 国家强制要求必须得
[31:15.610] 完事。
[31:16.510] 因为涉及到环保问题，
[31:20.060] 你像本村现在有很多车都出来，都是小麦辆的车，然后同时大概的都是
[31:25.510] 要不然48伏轻微滚动，一般都会关注。
[31:34.500] 这辆车开起来还是非常转向也特别清，然后又特别上头，
[31:40.800] 是吧？
[31:41.760] 特别省油是吧？方便造谣，051同样就够了，老师郑州晚还有见过简单猜一下，
[31:48.270] 连体出来报警，
[31:49.870] 天天可以。
[31:53.920] 肯定是硬的。
[31:55.780] 别要求太高，是不是有点硬，统计员来说，它大概的还是书这种情况有说过，可能二号楼面的时候他还能有点调试，
[32:04.490] 对吧？反应可以调，
[32:07.170] 然后转销它采用能直接转，不是比如说要求高不高，我的意思就是说是不是它就属于
[32:13.090] 偏硬的那种，不算便宜算是失踪是吧？
[32:17.560] 你要说特别舒适也查不到。
[32:19.610] 他只能说
[32:21.340] 在
[32:24.200] 不算特别硬，
[32:25.420] 这要跟ng的比例会还可以，
[32:29.570] 不管在家也是中耳积。
[32:34.080] 其实奔驰这个车像E级车、B级车、C级车，他也不是说
[32:38.710] 入门级，因为它每个车型设计的理念都不一样，你像一汽车里面那时的特别豪华，然后
[32:46.480] 就会感觉让你感觉到这个车机里面以后，因为它的设计理念上是的广告语是戏正在
[32:52.670] 就是说里边比较宣布一些电器过多，
[32:56.220] 然后B级车就是代步用，可能这个车大家觉得可能外观上没那么时尚，
[33:01.710] 但是他确实空间上这种受伤。
[33:03.910] 然后C级车关于
[33:07.160] 一汽车的这件新闻停车，
[33:09.890] 飞机特别东西，反正ct刚才我做了一下，就是在地对面里可能
[33:15.560] 特别矮，
[33:16.940] 对吧？
[33:26.520] 这可以。
[33:27.960] 小一点增加开始两的。
[33:34.090] 前面
[33:36.270] 还是明天？
[33:37.510] 后面也没有。
[33:39.120] 后面。
[33:39.900] 后面只有一个。
[33:41.510] 充电没有出口是吧？
[33:43.940] 好，牌应该这个位置没有出口。
[33:46.290] 200也没有吗？
[33:56.370] 如果需要东西的时候，这个位置
[33:58.730] 保险
[33:59.720] 就相当于L的一个S档跟咱们有4种模式，
[34:03.810] 节能手势，
[34:05.120] 有这些模式，
[34:06.490] 但用的比较多的就是数值模拟。
[34:12.370] 对您那边那条线加热
[34:15.640] 是有点脏，那种消失也一样。
[34:20.460] 比如说他两个结果不一样是吧？
[34:23.100] 然后有一个远端的那种
[34:25.340] 我知道。
[34:26.350] 有点类似于像大视野那种感觉。
[34:34.700] 都是犯罪。
[34:40.070] 这车我买了以后，
[34:41.930] 为什么可以做天堂了？
[34:45.100] 尽量还是企业的，
[34:47.440] 要不然
[34:48.790] 迎着阳光财，特别现在做的
[34:51.670] 这个确实要穿深色衣服确实比较忙。
[34:56.560] 它的本身是绿色或者私密玻璃，但是如果说你要之间沟通，
[35:01.970] 没有或者你长时间使用的话，他没有风暴，
[35:06.320] 也没有这种
[35:07.290] 种了小部分。
[35:08.760] 达不到
[35:10.120] 的。
[35:13.840] 怎么开口了？大学？
[35:17.010] 远远
[35:20.510] 可以
[35:22.360] 的。
[35:26.800] 的感觉
[35:30.680] 的
[35:40.310] 行。
[35:46.080] 跟你没关系。
[35:47.490] 而且
[35:51.960] 还是周末时间。
[35:55.730] 到下午了。
[36:15.330] 上面天穿这层黑板，
[36:17.530] 能摘着
[36:19.110] 这样
[36:20.750] 这样
[36:25.230] 咱们在这换个
[36:26.920] 我等你过来感受一下。
[36:29.250] 在这里。
[36:31.480] 行吧没事。
[36:32.940] 我就开了，没事。
[36:56.510] 你叫安全大。
[36:57.520] 调一下座椅方向盘或者行。
[37:02.290] 差不多。
[37:05.080] 这习惯。
[37:06.340] 那得啥？我手机号我知道手刹手刹电子扇在那边有个品。
[37:13.090] 对。
[37:16.890] 对，然后咱调头回去，我
[37:21.840] 人均系完全看。
[37:24.180] 你飞行了
[37:28.570] 就买这车不是为了尽速，就是为了上班。
[37:33.280] 你稍一下。
[37:36.340] 咱们下面进主路行驶2公里5路居出口处，
[37:40.340] 咱们前面进驻路径震惊，对。
[37:43.800] 这主路入口
[37:46.280] 这有这种相似下的
[37:49.570] 对吧？
[37:50.220] 4S店电话
[37:52.650] 做完保养了，
[37:54.890] 应该是做了。
[38:01.680] 打的早就说明不了时候有什么问题。
[38:04.420] 拿到
[38:05.350] 说完了。
[38:25.490] 这座应该还能再高一点对吧？登高
[38:28.200] 调高，
[38:30.590] 我一般跳得更低一点。
[38:34.310] 要是习惯于
[38:35.720] 其实说这个车的隔音还可以，因为我觉得他转向的声音特别清晰，点击条，
[38:42.740] 你平常怎样身上？
[38:47.010] 因为咱们像一点音乐都没有开，然后纯粹的都是正常的
[38:51.990] 一个车的最真实的那种感受。
[38:55.960] 对听证会比较清楚一些。
[39:00.150] 因为挺穷。
[39:01.810] 然后咱们上了桥下了，桥以后，有个谷段5路居出口刚从那儿出去了，
[39:10.940] 所以
[39:12.060] 左边这中间还有一个女儿，
[39:14.780] 那个是喷水的，
[39:16.420] 实际上回来就会次
[39:33.720] 车小。
[39:35.260] 有点素。
[39:38.830] 回去也得从那边
[39:41.050] 不能够拿
[39:43.820] 保时捷那个门就行了，四环边上拉博那边就等于4万进去，对。
[39:54.250] 9公里。
[39:55.400] 明天上班。
[40:01.430] 上面平时到从这走走这条线天天就走私，
[40:04.980] 下班就上班走的时候，
[40:11.830] 我都不知道这里我以为这不明就卖保时捷。
[40:15.650] 对，那里这么多次了。
[40:18.250] 奔驰、保时捷、沃尔波、奥迪、
[40:22.150] 罗马。
[40:23.850] 没有，我们老板就只能这都是一个老板，对都是一个老板的。
[40:29.480] 但是宝马跟他们放一块就好像是不允许这样。
[40:34.810] 没事儿不太喜欢了。
[40:38.680] 不行，宝马前脸时代，
[40:44.000] 宝马买什么产业？
[40:46.390] 不喜欢的行为名片，
[40:51.720] 就像小车里
[40:54.750] 两厢车好停车，
[40:58.650] 他俩都不费劲。
[41:03.580] 而且你觉得在后台
[41:05.280] 电吗？
[41:06.770] 三天不
[41:17.790] 彩椒以后。
[41:29.250] 对，咱一直从前面一块
[41:34.220] 这还有一个口，
[41:35.680] 在一圈这一块。
[41:37.320] 您是从南门那头去，对我从哪边最南边那条街上早街那块进来。
[41:42.880] 对。
[41:45.970] 奥迪结果也没看，你觉得起来
[41:53.610] 应该一点
[41:54.480] 承担的比咱高一。
[42:04.960] 然后正好等待的这些时间里感受一下，平时您听收音机比较多，
[42:10.770] 关注小心点，S969，品味时光是PIP过，
[42:18.440] ask is the打击它支持卡普类car life都会有，都可以W登记到没有东西，
[42:26.560] 不要怎么办？
[42:27.710] 你要好好的好心听到的为什么？
[42:30.460] 好这4门都4个窗户都是意见的，
[42:33.920] 在都是以前的，德国差点热，它设计就
[42:38.250] 下面感觉
[42:41.380] 再好的车他只有一个，
[42:43.520] 请一下委屈。
[42:47.250] 浩浩青，对，发现难确实挺清楚。
[42:54.360] 七
[42:57.110] 的。
[42:59.280] 听说卖了多少效果，那种订婚就行了。
[43:10.080] 谁知前面的
[43:15.730] 干啥都行。
[43:16.870] 句
[43:25.880] 没有倒车影像也关了，
[43:33.420] 这边我干嘛有时候拍我们马您倒车影像。
[43:37.290] 有点不适应，好像现在。
[43:41.290] 像7怎么做没有了，雷达监测你离他车身的一个周围情况，比如你在进来他会有给您
[43:49.590] 然后按一下。
[43:52.860] 不应该是。
[43:54.200] 这就OK了，然后手刹你也不用管，当你灭了车以后手拿自动就带了。
[43:59.520] 比如说你现在写个安全带，你越说
[44:03.360] 你看那边红色的皮就了不起了，它就会自动的就给你再重登的时候，
[44:08.860] 等红灯的时候，咱们有一个厚的功能，就身材一点，
[44:12.520] 刹车，然后他会出现电子众多，你可以直接用那个就行。
[44:18.260] 这个应该是刚才先生的水杯。
[44:22.440] 没事，我来了。
[44:23.680] 慢点。
[44:27.000] 这应该是您的水吗？对，你等会先给人4S店打电话。
[44:33.520] 不着急为
[44:48.770] 先回感觉走就完了。
[44:57.350] 怎么没见礼了。
[44:58.910] 然后看看
