[00:00.000] 文的话，
[10:06.680] 怎么讲网购的跟
[10:10.930] 高利用
[10:26.020] 你看豪华版的
[10:28.210] 差多少钱的，洞的动感差多少钱是吗？
[10:32.440] 航华的指导价是422,800，动感的指导价是394,800，
[10:38.240] 两个车大概是差了不到3万块钱，全办齐差不多差了3万块钱。
[10:44.900] 是吧？33
[11:08.710] 好好的任务。
[11:10.010] 这里的话那个吗？
[11:12.930] 妈妈没有，现在咱们客户都是电子的。
[11:18.600] 反正他主要是我不知道按照那动感。
[11:23.250] 动感的算，对可以表的。
[11:29.470] 我觉得这也是标配的就可以了，拿到了根本
[11:33.870] 他的。
[11:35.830] 他那边是分期付款是吧？
[11:39.270] 他人在外地，
[11:41.470] 工作什么都在外地，指标是北京的。
[11:44.460] 场地，还有工厂是吧？行。
[11:50.520] 北京人来他人
[11:53.010] 他们自己来提车了。
[11:59.230] 指标是现成的，对，指标北是北京的行。
[12:03.630] 几个也是他的名字。
[12:05.240] 好。
[12:08.790] 我给您算一下。
[12:10.360] 我也会多少钱，我给您查正在查您稍等。
[12:15.630] 114260。
[12:19.640] 行
[13:32.860] 谁知
[14:00.080] 的
[14:03.210] 好。
[14:09.090] 来
[14:13.430] 的
[14:18.250] 做
[14:21.690] 为
[14:31.040] 的
[14:35.280] 了
[14:36.570] 材料
[14:42.240] 的。
[14:47.860] 还有
[14:48.700] 要
[14:50.670] 完了。
[15:07.600] 大不了
[15:12.640] 的。
[15:13.960] 上午看完。
[15:24.960] 今天
[15:27.090] 数据
[15:30.730] 场
[15:33.400] 场
[15:36.390] 二
[15:37.650] 五
[15:44.170] 的
[15:46.990] 的
[15:48.040] 的
[15:49.270] 的
[15:54.620] 分析的话是给您算贷多少年，
[15:58.360] 你看能做多少，
[16:00.640] 能做。
[16:03.600] 万，
[16:04.530] 首付大概40%，每个月还588，
[16:08.300] 然后三年以后再还本金，这种方式现在比较适合你们做生意的。
[16:13.000] 总共交多少？
[16:14.380] 首付大概是加上税什么的首付一共
[16:19.240] 看看。
[16:21.420] 首付一共大概交20万，
[16:23.160] 是吧？
[16:25.690] 行吗？这样。
[16:27.550] 我给你写上。
[17:06.410] 这是咱们全国统一模板的报价单，然后报价之前再跟您说下奔驰的服务公约，客户为尊，以礼相待，诚信经营、合法得体，明码标价、公开透明，飞剑渠道统一公示，绝不捆绑销售，强制消费，
[17:17.450] 绝不使用假店以次冲好，欢迎广大消费者监督，监督电话是4008116188，
[17:22.360] 然后您看一下这个是车的指导价是394,800，
[17:26.130] 现在这个车优惠48,000，优惠完之后是346,800，购车税是30,691，
[17:31.630] 装饰日套餐的话是13,800，验收上牌是2500，保险大概是在12,000，这已您实际上的为准，全班齐的话大概是405,791，
[17:40.430] 然后给您300算的所有价格在这边都有共事。
[17:43.230] 可以带您去看一下，不是套装。
[17:47.600] 装饰不要行吗？
[17:49.320] 装饰是不捆绑的，可以。
[17:52.290] 不要是吧？我们自己有地方有，
[17:56.350] 我们都在做这种东西的。
[17:58.220] 你们是做什么的？做装饰的。
[18:00.570] 做汽车用品的，对。
[18:02.190] 都做哪些方面？
[18:03.630] 我们做的挺多的。
[18:05.350] 比如说那一次感受什么换皮什么乱七八糟的，
[18:11.630] 你们做的。
[18:14.060] 眼红。
[18:14.690] Ae什么都做。
[18:15.660] 对，你们做的都是什么品牌的押。
[18:18.100] 品牌。
[18:20.750] 品牌那些现在都是
[18:25.380] 品牌那些都是
[18:26.860] 都是我跟你说，
[18:30.440] 其实那种这种东西说白了的一些事。
[18:35.040] 都是贴的是吗？都是那种贴标签。
[18:38.700] 进口的进口的不好一点吗？
[18:42.500] 进口的好一点，进口过旺两两三万
[18:46.240] 就可以进口的。
[18:48.670] 是吧？你们贴的进口贴的进口那车一他也都是tp O的，
[18:54.450] 都是留着是牛牛牛牛B组的，
[18:57.770] 有牛皮的白牛的，
[18:59.880] 车衣也能贴牛皮的。
[19:01.690] 对。
[19:02.990] 他跟tp U哪个好？
[19:04.790] 他肯定nb号的厚度薄动引擎。
[19:11.430] 您不知道
[19:14.010] 还能做牛皮纸的，
[19:16.550] 但是那种它的模型包括华什么的，对。
[19:20.270] 不可以在自动修复的吗？
[19:22.420] 有一朋友有一种一家做就有了，一家住它慢慢就收了，
[19:28.090] 这种食物是骗人的，你知道吗？
[19:30.540] 什么视频？
[19:31.750] 这种熊都是骗人的。
[19:34.120] 自动修复对，还有中兴社区也是加热吗？对都是加热回去，对一拉开
[19:42.600] 一拉开不对就滑到你开回去他给你修复，然后用一
[19:48.330] 过一下，
[19:49.230] 热天烤一下就可以了，就好像靠什么号枪
[19:54.420] 扛着看你们的膜一些最好的是啥为过的？
[20:00.440] 我最好的有2万多的1万多的，2万多的是什么的？
[20:05.900] 我们这边一般2万多的都是付思迪的，
[20:08.430] 我们这2万多都是酷思迪的。
[20:11.600] 骗人的。
[20:13.750] 你们
[20:14.840] 你们这一套做有多少或者
[20:17.830] 11万多什么作业座椅，对我们不做作业。
[20:23.180] 是吧？你知道这家装饰是怎么就是贴膜，
[20:27.610] 玻璃贴膜隐藏式的记录仪，
[20:29.990] 然后脚垫后备箱垫车漆的一个镀晶，
[20:32.940] 这些它记录仪不是原车带的不带。
[20:37.800] 原车带什么了？原车代表原车带倒车影像，
[20:42.310] 他前后雷达。
[20:44.710] 后备箱在电动座椅
[20:47.590] 大概有个只有整车下来的话应该能够
[20:54.060] 倒车雷达，
[20:55.730] 前后雷达本身说你全系标配的前6后6的雷达，如果你要自己加装的话，等车下来也就六七千块钱。
[21:03.340] 加什么家里
[21:05.140] 导航架什么乱七八糟，
[21:07.450] 但是这边车都有，你也不用装了，你也其实这车
[21:13.120] 你们贴个膜多少钱？
[21:16.160] 规模玻璃瓶贴膜有好多的，
[21:20.560] 便宜的话几百块钱，
[21:22.890] 一般都贴都1000来块钱的千钱，两三千三四千，那漂亮的你知道吧？
[21:30.190] 就费劲了，工钱贵吗现在？
[21:33.360] 你们做那种改色车衣多少钱，什么电光车E什么的，不是电光那种的。
[21:39.380] 四五千都看看过个人的。
[21:42.830] 看那个车大小。
[21:44.840] 对，看他个人的车险什么的。
[21:48.960] 四五千应该都是四五千块钱。
[21:51.280] 吃饱几年三年？
[21:53.320] 半年。
[21:55.130] 还是聚宝一块给你。
[21:57.590] 这怎么会给你包，他就希望给你一个号，你给我冲了它那个吹，
[22:02.460] 一有时候一桌一碰不是三年以后给你们给撕吗？或者多长时间之后撕下来别丢交，你知道这十几特别简单你知道吧？丝物流
[22:13.230] 心事特别简单的。
[22:15.120] 对，他会不会留在交在7上？
[22:17.310] 不会，你岩岩周期不会的，如果你说喷过漆，包括预制它肯定会的，你知道吗？明白，天气一坐车19的话，那就全部都考进去了，
[22:26.570] 但是你得
[22:27.610] 吃的话，
[22:28.690] 你特别简单，他开掉
[22:30.560] 开到
[22:33.610] 高温不行，灯下面照他全部就转化了，后来意思下来吗？不会的，有留级生。
[22:41.450] 对。
[22:42.540] 教也不会留着的车辆，那还除交接一出就行了。
[22:47.090] 这种贴一个得多少钱？三四千。
[22:49.730] 4000块钱的四五千块钱。
[22:52.150] 没那么贵了。
[22:55.950] 我一直都觉得这东西挺贵的，没有你们那个店在哪？
[23:00.820] 我们在红宏桥丰益桥。
[23:03.620] 西北旺那事吗？那不是西国贸，
[23:07.200] 我家就住那边，我家住花乡夏家胡同应该知道吧？
[23:11.800] 就一圈就夏家胡同没到1000家胡同，
[23:16.310] 这比你那很近，大概
[23:18.080] 大概十十七八年，但是你们那边现在应该也受影响，疫情弄的不影响是吧？我们自己有客户动物，我们这边还有个店
[23:28.670] 还强，
[23:30.170] 就在长城南路那里，我们还有一个空气层汽车的。
[23:36.270] 那还行
[23:38.290] 的。
[23:39.590] 你们现在不影响爱情，反正我们卖车到现在也还好，也没受什么太大影响。
[23:45.430] 他们就会以前都影响，对，但是也得因为她还好一点。
[23:56.360] 才三十三十几万多。
[24:01.290] 对。
[24:02.120] 十几万多的话。
[24:05.280] 5块钱了。
[24:06.800] 装修就贵了，但是11万多其实没有什么活动，你就便宜的给你便宜点就得了。
[24:13.630] 对。
[24:14.540] 你装个记录仪，他那极度不知道你们装的记录仪是什么样的，你们装记录仪吗？
[24:19.160] 装也装特别便宜的东西，不是你们装的是什么样的，你们装的是什么样的？
[24:25.620] 变得
[24:26.340] 安装是那种细谈是那种什么是摄像头在前面的还是什么的，我也不知道你们才能够我们都是兵奔驰专用的，都有那种隐藏式的，对。
[24:35.980] 到送的东西看到你
[24:37.970] 了，
[24:44.480] 首付就14万多。
[24:48.710] 手术就算是吧？车款的石蒜对na加税加保险加上装饰什么的全办齐，首付大概20万。
[24:56.390] 放在这里。
[24:57.750] 他这样算钱很贵的什么。
[25:00.960] 他这样你们这车价格比比他们贵的。
[25:06.620] 比三环那里
[25:10.890] 那里全羊那边。
[25:13.460] 我的绝对不可能比它贵，咱这是指导价您得看着。
[25:17.660] 您是什么时候去的那儿？
[25:20.330] 后面看电影。
[25:21.600] 你那边多少，您有报价单你最好看一下哥，因为我之前在那里干，我在那干了三年多。
[25:27.490] 是吧？对，所以说您说价格比他贵真真不可能，你要说你这个车真的不能，
[25:33.190] 你看这个不能看这个。
[25:38.740] 那里面有一个高飞经理你认识吗？
[25:41.020] 谁高贵？
[25:42.740] 高飞不是二手车的吗？对认识。
[25:46.820] 对他哥你们是哥们吗？
[25:49.730] 认识。
[25:57.960] 他是买
[25:59.950] 我们奥迪都是从中报里面提的，
[26:05.780] 奥迪奔驰没有，您那会儿奥迪是找高飞买的。
[26:11.000] 我们怎么办？
[26:12.000] 包括原来是亚洲节，
[26:22.460] 给
[26:24.640] 了。
[26:32.270] 刚刚
[26:39.500] 刚刚西方瓜
[26:45.800] 你电话是吧？
[26:48.010] 对我电话号。
[26:50.880] 你吃饭。
[26:54.530] 很好的，好看过两天好吧？
[26:58.250] 行，你们想什么时候订，今天定不下来。
[27:06.830] 杂卦你可以抵扣那些。
[27:11.830] 一抽往长期给你看看他想干什么。
[27:16.570] 某一抽往有关信息怎么会退？
[27:19.400] 然后
[27:30.990] 算了。
[27:35.250] 又到了。
[27:40.520] 贷款方式都合适，每个月您还500多，
[27:43.300] 特别适合你们这种做生意的。
[27:45.550] 谁知
[27:48.270] 谁知
[28:05.090] 月供500多是吧？
[28:06.700] 利息收入
[28:09.470] 都是10万。
[28:11.040] 它包括上牌。
[28:14.540] 对，包括给您做工伤认证，验车上牌交税，这些都是我们给您做，然后验车的话您开着车跟着去就行了。
[28:21.530] 咱们去验车去，7421检测厂都在南边。
[28:26.510] 其实
[28:28.650] 在鼓楼那点不是其他要在新疆路那边。
[28:41.290] 行了，我叫他什么？
[28:43.040] 连保险都在的话，保险债大概12,000给您算的，不
[28:48.980] 不是保多少保三者您看自己看100怎么也得100万。
[28:53.310] 现在三者几乎都上100万，没有上少得100
[28:55.920] 50万。
[28:56.560] 百150万。
[28:58.840] 几，反正50万跟100万差不多，就差400400多块钱。
[29:02.660] 不会差太多。
[29:05.180] 快点。
[29:06.450] 我想介绍太贵了以后
[29:10.620] 结果
[29:11.880] 没准保险你新车保险都会
[29:14.880] 其实保险都差不多，反正您自己看着上。
[29:21.240] 对。
[29:24.120] 新闻稿。
[29:25.150] 也这样。
[29:26.840] 相互。
[29:28.880] 怎么把落地国家。
[29:30.910] 怎么落地修复膏？健康。
[29:37.510] 高级
[29:40.770] 工作表来
[29:43.670] 三年了是吧？
[29:46.030] 三年是吧？三年过后。
[29:48.560] 三年过后再还贷款这部分钱再还这20万，
[29:55.720] 算你二三不要再开放，肯定就买贷款，
[30:03.240] 总共下来就是40 40多次四十零点几了，
[30:08.280] 到时候您做装饰就给您填一点。
[30:16.790] 我先等我一下哥，确定这一块没事。
[30:19.690] 您试驾一下吗？帮她不用，我给你到时候我做。
[30:23.940] 行，你什么时候能给我信，因为咱白色车就一辆车叫我给你回去。
[30:29.820] 我看他怎么回答好吧？
[30:31.560] 坐着呆。
[30:31.970] 会不着急。
[30:33.700] 您说待会我去那边拿个手去。
[30:36.750] 我给砸了好吧？行没事。
[30:40.340] 行您慢走，然后我这边到时候给您打电话或者发短信，您看您上午方便，下午方便都行行，您先在这看看车。
[30:47.910] 不行，您开车来的是吗哥？一会您到前台去扫个码，
[30:52.770] 要是停车的话，要是走的话
[30:55.470] 怎么办？你不停这园区里了吗？一会到那扫就行，现在不着急。
[31:00.920] 先不着急了，你先看。
[31:02.520] 走的时候再扫就行。
[32:12.210] 你吃饭了。
[33:20.280] 都在减肥，大众把体重降低
[33:24.280] 70。
[33:26.170] 我们的体重主要是由脂肪组成，
[33:30.270] 我们集中的手
[35:09.610] 问题
[35:10.720] 氧化
[35:11.920] 咱们
[35:12.860] 在我身上
[35:15.720] 总是给
[35:33.180] 的
[35:41.880] 谁知
[36:32.860] 青春
[36:34.480] 的样子
[36:35.800] 身上
[36:39.380] 永远
[36:44.320] 花。
[36:46.250] 花。
[36:47.980] 的
[36:51.880] 身上
[36:53.330] 总是
[37:40.160] 二
[37:41.200] 发展
[38:47.260] 数据
[38:49.080] 坏
[38:50.420] 数据。
[38:51.940] 号
[38:55.190] 坏。
[38:56.140] 坏。
[38:57.700] 一。
[39:34.790] 数据。
[39:36.000] 场
[39:41.560] 场
[39:43.170] 场
[39:49.930] 坏
[42:14.470] 突然想吃，
[42:17.250] 我下班上超市买馒头片，突然想吃面，我没买废话，
[42:24.350] 包装好的我这一块待
[42:30.450] 了三，我想吃两
[42:37.240] 吃。
[42:39.000] 对。
[42:44.720] 还想吃。
[42:47.860] 因为以前我特别想吃糖，我哪里找我老我楼上有一张老师，你想要他跟大家一块，我们上班时间不吃11 12百，
[42:56.530] 拖着水了。
[42:58.080] 呵呵。
[42:59.150] 戴着口罩嚼着看电视心里好买到这右上角划算了，是吗？不是结束吗？
[43:11.110] 晚上睡得过吗？
[43:13.640] 帮的对在哪里吃饭对不对？你下班一晚上我真的把炒好了。
[43:21.980] 前两天王你说你码头票没反应过来，但是你说那种
[43:28.310] 对吧？也分各种各样的
[43:32.530] 这样
[43:33.480] 了下来
[43:40.490] 然后上面
[43:45.400] 你好
[44:16.020] 9号。
[44:17.720] 上周几上一个周六周日。
[44:25.710] 那就是周四。
[44:28.200] 然后我不是反正10号之前，
[44:31.660] 但是不是特别全，9号。
[44:34.150] 86号。
[44:36.340] 行，你那边登记的是几号？
[44:40.120] 二
[44:41.340] 二
[44:42.660] 129号。
[44:44.980] 好了，拜拜。
[44:48.830] 然后第二个月
[44:49.820] 购买
[44:51.920] 39万
[44:52.720] 5800大家
[44:54.440] 高管股份
[44:56.850] 按照罚款
[44:58.530] 35万6万
[45:01.110] 3万平米。
[45:03.270] 把这个车办理。
[45:05.620] 现在保险
[45:07.400] 1.三秒三秒时调整和转变，
[45:13.630] 签了
[45:15.230] 走下来的。
[45:16.430] 300万3
[45:21.390] 的银行，
[45:22.520] 包括U盘的材料，
[45:24.100] 或者是休假的，
[45:25.720] 到了没有本事，
[45:28.340] 包括交税。
