[00:00.010] 照片。
[09:19.440] 看看茶山或者配股，奔驰就考虑奔驰了，现在这跟吃挺好的是不是？
[09:28.970] 还就三码，原来最早
[09:31.510] 扫一扫早，原来最早是
[09:36.570] 是这个人吗？
[09:38.940] 原来最早的时候还真是考虑260，完了后来三你要计算够的话肯定是300，好您可以越高提升，一级也差不了多少钱，我何必我不这个
[09:50.440] 没学。
[09:59.840] 登录一下。
[10:01.650] 你手机
[10:06.360] 现在都得都是这种的吗？
[10:08.950] 没有人直接出门了。
[10:13.960] 确认吗？
[10:16.070] 还是？
[10:19.640] 验证码，对上面没事没这么麻烦，是7月刚变了吗？我说上班没有验证码，对，上次直接就是说。
[10:37.840] 说您的车牌号
[10:39.590] 千
[10:41.330] 晚上
[10:46.560] 行，您跟咱们看一下。
[10:54.380] 应该是这个
[10:55.680] 八佰伴金融京N2NA07。
[11:00.910] 因为我看的比较随意，比较松散，它有新能源的能再多一位，我说
[11:07.060] 这个怎么比较突出感我都不敢确认，没事您客气有问题，我跟这个钱让我们随时电话再联系，这想法是我帮您留意点，我
[11:17.300] 这核心的就是你要有现车，我就是让你您老头你肯定还有有一点不
[11:25.210] 你甭管是真找着找着哪儿，我得给您找领导的，
[11:30.700] 你就能做，肯定还是有一定的是找领导能再便宜点，有一定的。
[11:35.940] 对这肯定的是不是？
[11:37.950] 对。
[11:38.560] 您哥您客气先生，行没事，有现车有优惠。
[11:44.270] 我通知你，再见先生。
[11:50.680] 怎么？
[11:51.670] 顾客没有
[11:54.730] 没车，他就想优惠，它主体动那种优惠，
[12:02.940] 约来了还行，有二弄24，
[12:05.700] 我给骗了。
[12:53.630] 吕先生要报价是吧？
[12:57.200] 您在哪我过去就算了不得了吗？
[13:02.490] 你走了是吗？
[13:07.670] 行，你或者是咱加个微信都行，给你拍个照片过去。
[13:11.890] 不方便吗？是这号吗？
[13:14.960] 帮我开开。
[13:16.200] 1312476，对你就加我这号就行了，下午的号我给你发过去，好了李先生不好意思了。
[13:31.150] 沈阳再开了。
[13:32.760] 再给你说。
[13:34.140] 沈阳接待二次就在这。
[13:36.890] 1326
[13:40.610] 的
[13:55.990] 对吧？等会儿这里哪个是你们的这块通过检验方法。
[14:02.210] 应该是这。
