[00:04.450] 燕话跟您核实一下女士，13910008563。
[05:43.550] 现在玩不了，你客服那边看他们可能也不了解学员情况。
[05:47.800] 今天你看这么老C什么的，还有7OK，
[05:50.620] 介绍K是传统中传动轴照顾老子，现在基本都是唤瞿塘。
[05:59.520] 说到保养
[06:00.640] 保养的，现在我特早就免费了是吧？
[06:04.110] 阿宝现在他有活动，现在
[06:07.900] 这个月套餐的话特别便宜。
[06:11.040] 荣荣帅。
[06:14.120] 我看着写的要保养的超过了没有200公里的，
[06:39.970] 现在跑了六万九千六万一千九百三十六。
[06:44.310] 4万多6万6万1 61,936。
[06:48.840] 936公里，
[06:51.400] 然后由表的话1/4多一点，
[07:13.530] 三遍，后边这边蹭了一下女生。
[07:17.780] 变成这不知道。
[07:25.450] 这有打算修修它吗？没有。
[07:28.440] 你是修什么？修外表。
[07:30.020] 外观还先这么着。
[07:32.830] 乐视。
[07:33.730] 好。
[07:35.070] 好好几年都没修外观了。
[07:38.600] 对，应该的，别人多少
[07:41.700] 人家不修它也无所谓了，你要。
[07:43.770] 被show他的时候，
[07:45.110] 你可以修他之前先上个保险，你最近一年你要修的话，你可以先上上那什么保险，只要你修车，
[07:52.090] show一回车就赔2500。
[07:54.850] 一回车就点。
[07:56.260] 对，只要走一回保险修一回车就赔2500块钱。
[08:01.080] 现在专门有一鲜有一险种，
[08:04.670] 怎么。
[08:06.070] 一会到里边我给你简单详细的跟您说一下，
[08:09.250] 不管你走自己保险修车，还是别人把你管了，只要你来这修车，
[08:13.480] 就陪你2500修修车的时候拿你银行卡什么的，来了之后修完车直接打你卡爹了。
[08:19.430] 每次都很。
[08:21.830] 他现在这显示刚开始现实这个活动，因为现在
[08:25.220] 疫情期间日子不是不好过吗？
[08:27.170] 奔驰和保险公司联合的，就是只要你奔驰来下店，
[08:31.220] 这修就烦你，前提，你Y为了防止你别去外面修了，你来三店修，
[08:35.980] 就这意思。
[08:38.800] 这个地方。
[08:39.970] 你这伤挺多的确实是。
[08:45.350] 就是说只要不管是你走你自己保险还是走别人保险。
[08:49.170] 都给你黑，我今天还不行怎么？
[08:52.190] 后边
[08:53.280] 东东刚刚给我放点水果，
[08:56.220] 就这么拿走。
[08:58.540] 吃过打车，
[09:00.430] 让出租车来了之后然后
[09:03.740] 搬走。
[09:05.270] 你哪个？
[09:06.460] 这个可以上去，
[09:09.910] 然后从这边从那边进来用，
[09:12.180] 从这边进来，
[09:14.640] 进来之后你再把水果拿走，
[09:20.560] 这边也蹭了。
[09:26.360] 北京到这里。
[09:27.220] 是你要是走保险修车的话，没准保养钱都。
[09:30.120] 都出来了。
[09:32.830] 放两天都出来了。
[09:35.110] 行。
[09:36.080] 这里不想这边也喝了。
[09:38.000] 你这样不能
[09:39.750] 好好多年，你说这同时去吧。
[09:42.460] 你这先修一块去就修一处就行，只要走保险休息处。
[09:47.230] 他要赔2500，
[09:49.440] 你看哪难受？
[09:51.580] 只要show。
[09:52.510] 两个一年最多赔两次。
[09:54.950] 就两次。
[09:55.970] 对，一年最多赔你两次。
[10:13.820] 你先打车让出租车来，
[10:16.090] 还是怎么着？
[10:17.130] 这就出车来。
[10:18.710] 你让他来先打车打车，然后。
[10:22.870] 来了之后然后先把东西弄了。
[10:25.260] 我先给你先办下手续，你先叫车。
[10:27.720] 他这个有点着急。
[10:29.230] 快，那。
[10:30.260] 叫个车来，来之后你不还得拿东西吗？
[10:32.420] 这边能做这边也能做吗？你这边做我给你打断一下。
[10:41.040] 给
[10:46.950] 的。
[10:49.080] 数据、
[10:51.000] 数据、
[10:53.490] 数据
[10:54.520] 三
[10:56.110] 对。
[11:05.310] 做。
