[00:00.000] 保养
[06:40.000] 我这样不行，这上保险的时候没人跟我提，后来有了上个月还有
[06:52.820] 针对那种想修车的比较
[06:58.010] 记得咱们的交钱是微信，支付宝微信可以
[07:09.070] 7786。
[07:13.930] 怎么开？
[07:18.900] 也拍了1万公里，这半年一穷就基本上没开，
[07:25.410] 没有规律。
[07:30.140] 诚信数据，
[07:38.980] 场
[07:51.920] 咱们车衣
[07:53.590] 18年的。
[07:55.870] 两年，然后这回
[07:59.620] 27,000公里，
[08:01.780] 这回做一个保养。
[08:05.040] 空调滤芯去年话，这次你要是没怎么开就别换了
[08:08.560] 了，还不到一年。
[08:12.740] 应该是10月份，你要是觉得
[08:16.910] 有问题的话，你就入冬的时候在
[08:19.280] 行冬天用暖风的时候，你看看有时候
[08:23.870] 然后两年唯一建议您换的就是一个
[08:27.650] 刹车油，那个东西是厂家标准是两年换一回，
[08:33.160] 但是话那么就是说你不换他也不会出什么问题。
[08:37.610] 直接说
[08:41.170] 换成贵吗？贵倒是不贵，几百块400多块钱。
[08:46.170] 先不换了再说，
[08:48.780] 就没什么了。
[08:51.910] 然后您上回不是办了一个2A2B的套餐，不是一一套
[08:58.590] 两回都用完了，这回咱们再办。
[09:02.530] 能便宜点。
[09:05.920] 正常应该是多少？
[09:10.640] 差了，谁知
[09:13.880] 正常1308可以吧？
[09:21.700] 贵点
[09:23.490] 1580。
[09:26.690] 1300。
[09:31.750] 两两。
[09:37.280] 加一个空调，
[09:48.910] 数据、
[09:53.360] 场
[09:55.220] 远远
[10:04.310] 要
[10:05.920] 数据。
[10:08.990] 数据。
[10:14.390] 今天电话了吗？给我打电话了。
[10:18.760] 水泵拆清水，
[10:22.280] 我还没看多少钱，
[10:24.660] 结完了了。
[10:28.680] 餐厅了。
[10:37.420] 号
[10:44.790] 的。
[10:49.810] 远场
[10:54.120] 主场
[10:59.850] 场
[11:02.740] 数据
[11:04.510] 6。
[11:06.610] 13304。
[11:27.190] 要
[11:33.210] 1360124330。
[11:42.100] 场
[11:45.840] 数据
[11:52.250] 场
[11:59.030] 2800 2894。
[12:02.380] 3700。
[12:08.120] 二
[12:23.230] 里面都差不多。
[12:25.840] 对。
[12:31.410] 因为他拆了以后，
[12:34.950] 拆完了以后有一些清洁剂什么的，几百块钱没给你算，
[12:40.480] 那叫调。
[12:42.220] 我跟您对。
[12:44.080] 我跟你说的都是主要零部件，就是那环体，
[12:47.160] 然后两桶油，还有一个蜜蜂店，这些是明摆着拆了，
[12:52.480] 就报了两桶。
[12:54.000] 两桶。
[12:55.030] 你换的话里边搁好多，我跟他说了，我说你这个油是刚换的，能给你接着就给你接着，
[13:00.740] 但是他肯定不可能那么干净，
[13:02.810] 不可能接的那么一滴，一不一滴都不浪费。
[13:07.370] 对，所以说我就让他报了两桶也没多多棒。
[13:12.580] 两那两桶油得赚钱，
[13:14.990] 两桶有可能是损耗。
[13:17.520] 不是我已经加上了。
[13:20.000] 对，主要的这三样我都已经加上了。
[13:27.520] 对，1万11,000前后差不多。
[13:31.300] 1万。
[13:32.870] 对，差不多那点东西，因为他们给你报价他也不是
[13:39.880] 他也是报主要的配件，它附件他也不知道用多少，他没法弄。
[13:46.560] 的。
[13:49.940] 差不了多少钱。
[13:56.460] 别的真没了。
[14:01.320] 11,000左右。
[14:04.730] 11,000左右。
[14:07.980] 时间太长了。
[14:14.160] 的。
[14:17.040] 没法
[14:21.410] 那天完了我就给你了。
[14:33.430] 差不多不含以后市场
[14:41.900] 今天订上就没问题。
[14:43.880] 因为他一天就定两次，
[14:48.240] 一天只能订两次货，上午一次下午一次，
[14:51.810] 就给我们发订单只能发两次，
[14:55.400] 厂家那边直接接订单，一天就接两天。
[14:58.440] 我现在定我只能下午1点。
[15:02.280] 然后礼拜四
[15:04.320] 礼拜四要是能送过来，礼拜五就差不多能调。
[15:15.920] 修完了他们说没问题，
[15:19.560] 但是也不至于放个一两天。
[15:27.910] 情况，
[15:33.890] 场场
[15:39.770] 数好了。
[15:46.620] 号
[15:49.310] 场
[15:56.470] 场，
[16:02.000] 单独也差800多块钱，
[16:06.980] 买。
[16:09.500] 比如
[16:11.350] 谁知
[16:15.130] 办套餐这两个价格就是你单独一次400块钱，
[16:19.500] 那两个差了，上次办的吗？上海办的也
[16:24.260] 有多的，你觉得你们搬有两个A两个B
[16:29.690] 就一包养了，
[16:33.750] 数据。
[16:36.660] 谁知
[16:49.410] 话
[16:53.490] 的
[17:04.590] 老板
[17:14.210] 你们不受影响是吧？
[17:16.730] 受影响。
[17:17.900] 人舒不受影响？
[17:20.770] 客户影响了，客户不就影响我们了。
[17:24.720] 有好多客户公生意也不好，单位也不上班，
[17:30.390] 对吧？
[17:33.160] 而且咱们
[17:41.170] 奔驰的客户群体谁知
[17:45.170] 对吧？
[17:46.380] 什么？
[17:49.310] 开店的。
[17:50.760] 现在咱们都是
[17:56.600] 陈
[18:00.760] 肯定
[18:01.980] 数据。
[18:03.680] 而且就奔驰车多了，别的店也没什么人。
[18:10.170] 现在我们挣的钱都是贴给他们，
[18:13.420] 没办法。
[18:15.330] 集团太大，要是就我们一家行。
[18:20.440] 奥迪了多少了？
[18:26.280] 没什么车。
[18:28.080] 更
[18:33.890] 看一会儿的时候您转转。
[18:40.600] 看看他们车间看看。
[18:44.040] 其实
[18:49.480] 还行好多。
[18:52.980] 就跟什么似的，就跟你比如说斯柯达、沃尔沃，
[18:57.120] 这些车其实都不错，
[18:59.630] 中国人他就不认可卖不好就卖不动，怎么办
[19:04.550] 的？
[19:07.690] 就像我买斯柯达
[19:10.540] 挺好，
[19:12.680] 但是那车销量低迷，
[19:15.540] 帕萨特迈腾没啥区别。
[19:18.260] 而且配置还比他们高。
[19:21.220] 对，配置的后备箱空间。
[19:25.630] 但是污染
[19:34.670] 以前多就是因为它事关对进入中国
[19:40.690] 好多
[19:45.380] 各个企业根据
[19:47.630] 跟政府打交道什么的都喜欢买那些
[19:50.540] 的。
[19:54.830] 的
[20:01.500] 那就是换个机油机滤，
[20:07.960] 一共2000来块钱，
[20:11.820] 你中午在这吃饭吗？
[20:13.490] 这点了就从那吃，你们冷的时候给我留个视频。
[20:17.780] 中午工人他可能也得找个班，换过一个是吃的
[20:23.680] 时间可能会更长，时间我们还得来谈谈。
[20:26.750] 我吃完饭以后还得有
[20:28.770] 还有我发给你了。
[20:34.410] 开始照片。
[20:45.020] 我还问一下我看套餐，比如说刚才你说的低保就换了一些东西，比如说现在刹车油我没换对吧？
[20:54.160] 如果换了跟着套餐是没有关系的，没关系，
[20:57.220] 这就是最基本的保明白。
[21:01.480] 刹车油、刹车片、轮胎、火花塞，
[21:06.500] 这都算在
[21:09.480] 吧没事了。
[21:20.320] 我们再见。
[21:28.390] 坏数据。
[21:31.080] 数据
[21:32.770] 远远
[21:35.060] 数据
[21:40.510] 数据、
[21:45.480] 数据
[21:48.680] 远。
[21:52.120] 手机号1331139
[21:59.360] 五
[22:01.300] 1381
[22:03.860] 三
[22:07.370] 说
[22:11.790] 4
[22:13.080] 数据
[22:14.440] 远远
[22:18.360] 数据
[22:21.720] 场
[22:24.690] 花、
[22:27.450] 坏
[22:32.310] 的
[22:37.310] 花
[22:40.270] 月
[22:42.200] 的
[22:44.560] 远远
[22:51.510] 的
[22:54.320] 场。
[22:59.890] 场
[23:04.470] 数据、
[23:14.200] 数据、
[23:22.630] 有的是外号。
[23:28.180] 对，如果要车牌号
[23:30.190] 或者再要一个身份证的照片照的照片，
[23:43.080] 的
