[00:01.320] 证据
[12:41.220] 好吧，安全带咱们G座以待粉条前后高低都在这方面没有过多
[12:48.490] 做，这样
[12:50.720] 左再往前推，我们这有P过点没有，
[12:54.910] 以备这个事。
[12:56.500] 然后反光镜在这边条都是一样的，把玩两手搭在
[13:01.940] 提一下就松开。
[13:03.930] 主要是岗位在哪才能查一个百强做事前进的
[13:07.580] 地方。
[13:08.520] 我上去到底
[13:09.960] 中间
[13:11.130] 那一块
[13:12.890] 咱们不稳这样
[13:14.260] 感觉。
[13:15.440] 翻番的话调到房间。
[13:17.120] 行。
[13:18.570] 这样才能它热完了。
[13:20.640] 在地上当天接受了的
[13:22.700] 环境对我这不衣服有什么用，当以丸气死没事习惯就好了。
[13:29.670] 咱们这车一般就在左边的头上，你知道。
[13:34.380] 没接触。
[13:38.380] 我有一个我当时学车的时候，教练给我弄的地儿放顶上去了，然后我到那上面让我停车，到底肩上我停车，我把所有的全开北京刷时完卡送我东西都看手好快，我自己都不知道自己怎么看教练的傻的，
[13:55.510] 怎么才这么快的时候，我送你都抓了怎么吗？对。
[14:00.350] 咱们那车还有一个梅赛德斯me的互联系统，就是在用过程车所载信息中心能够
[14:06.500] 如果你需要一些紧急帮助，画着一个S版的功能，
[14:09.690] 按下按键24小时什么东西，
[14:12.320] 哪出问题了？
[14:14.380] 救援什么的这些，
[14:16.410] 包括屏幕他们都是双十，他都知道车站怎么。
[14:20.000] 对，可以定位。
[14:21.760] 这双是三种型号，刚才的这瓶
[14:25.320] 这么大概
[14:26.290] iPad难怪。
[14:30.260] 而且车内有64种颜色，侧移动开始灯带可以调整有60多种颜色。
[14:34.950] 所以根据咱们系统当中
[14:38.210] 寻常
[14:38.980] 全面健康。
[14:40.190] 是不是会比较好一些？
[14:42.360] 可以完全打开的那种。
[14:45.800] 有热情还很晒国际的研究员，当然也
[14:49.510] 让网站
[14:51.830] 没办法只能用帐链，
[14:56.310] 而且车子的话咱们是全时四驱，
[14:58.830] 路况任何
[14:59.960] 四驱
[15:00.760] 稳定性安全性会高，
[15:04.670] 而且变速箱也是9速变速箱全部赎回，
[15:08.030] 也不知道
[15:09.490] 案场工作
[15:10.550] 他们换过来感觉对方很快，
[15:17.650] 不大时间。
[15:18.380] 谁知
[15:21.360] 如果一会都是感觉三的结合千万了，
[15:25.880] 你看不到。
[15:27.840] 然后
[15:32.630] 含片
[15:35.490] 还高，
[15:44.480] 安全带系好，然后条约是作一番空气欢快。
[16:03.410] 我有
[16:04.480] 你要干嘛？
[16:06.140] 我有他身份证照片
[16:08.270] 才出车。
[16:11.240] 等会儿。
[16:12.620] 二
[16:13.660] 是吧？
[16:14.990] 77年的。
[16:17.030] 四川的
[16:19.850] 莲花留饭不死，
[16:22.000] 算43，
[16:24.090] 咱长得还18的。
[16:27.720] 不是刚才讲结婚了等等，
[16:30.870] 怎么可能往前进往前，你是想做一个往前吗？
[16:36.870] 往前倒推下边。
[16:38.840] 谁知
[16:42.120] 具体操作是你
[16:45.520] 再往前推就行。
[16:47.040] 一直处于被动状态。
[16:49.610] 对，一直好。
[16:57.040] 气功你看行吗？
[16:58.320] 一般要不起，他进门看行吗？
[17:00.730] 反光镜尽管可以了，
[17:06.200] 超美的美女上消费的水平对你了是吧？
[17:11.130] 玩着
[17:12.040] 怎么办？往下就是前进，
[17:14.380] 往下面过日子，但是全面我怕我错了这么多种会把倒退往下，
[17:21.120] 到早上在上面，
[17:23.680] 看你们这条方向盘比较
[17:27.930] 知道了，
[17:31.990] 行文也还可以也
[17:33.680] 写不成，
[17:35.590] 小小也依然还是要抬脚。
[17:39.170] 答，我觉得他比初期造不好，咱们这是葱还是前面那个玩意太晃眼，
[17:46.030] 这是一个抬头显示可以观，前面左转转就
[17:50.320] 就被关掉。
[17:52.770] 这还是选装呢。
[17:54.700] 选装了最好，不装你都看不见，那就是你前面也是呆着最我说才有昨晚上火眼睛我想看看还都显示。
[18:06.000] 不习惯就感觉到黄就是网眼的总结，前面有个东西眼睛花皮壳就好开。
[18:12.850] 这比克就好开。
[18:15.510] 就是说我没开过这款车，就算车头开了，
[18:20.880] 不错了。
[18:22.010] 号
[18:22.880] 你看
[18:25.110] 放心20年老师。
[18:26.400] 没事，咱们前面在周转白车，
[18:32.640] 下身软组织。
[18:36.210] 祝愿在从哪走转？
[18:40.120] 第一个是柔和
[18:43.160] 不干了。
[18:44.280] 对。
[18:47.390] 这稍微有点硬。
[18:48.740] 刹车有点硬，
[18:51.490] 这点挺疯狂的那种感觉。
[18:54.650] 最好手脚一样。
[19:03.600] 不优惠。
[19:05.000] 对，没有人会
[19:11.410] 奔驰的一级的吗？
[19:13.610] 亦有用你用过7万多块钱，
[19:18.120] 你现在还是
[19:20.680] 一两百都翻遍了。
[19:23.000] 都是2点胖子它可以是吗？我让他适应就在院里试一下等等，好你来试一下。
[19:28.990] 我感觉这个好。
[19:34.630] 比较专业的试一下。
[19:36.500] 我试着就是感觉好。
[19:38.600] 大腿吗？
[19:40.760] 我腿的啥瘦了这两个来句子，因为感激之以后刚定植了。
[19:46.840] 这是不是都得装拓本？对，你要是觉得上车便的话就装个踏板，不显不是上车并就是下车便就正常打腿上。
[19:55.890] 别人没有这个问题吗？
[19:57.560] 也有，反正要看是打起肚子高以后他都这样。
[20:03.110] 有些没有，我那车也从来没啥过去，再往上一点，
[20:07.110] 感觉上爬下去了，没有感觉就挺多了，蹭进去了。
[20:10.860] 没有就可以了。
[20:12.710] 好看就这一个毛病特别痛的，
[20:18.120] 然后觉得脑顶就窄了，
[20:20.540] 上面不拆了。
[20:23.180] 后来我觉得挺清楚高兴，应该可以调的高开。
[20:30.470] 但是他
[20:32.770] 交换
[20:34.800] 起来就是你给我去
[20:36.940] 要顺手就是给我新鲜感竟是450。
[20:41.430] 450。
[20:42.590] 350是不是就暖和了，就没这个软回来一样，350就是动力小一点，2.0T的
[20:52.530] 弄得小一点。
[20:53.730] 照相机
[20:54.950] 对你来说够用不够用，
[20:57.130] 用你要看肯定有没有价值，不要求非常大的操控系统，
[21:03.450] 他疏漏都是一样，
[21:08.290] 但是我不喜欢太
[21:09.980] 就开着加油，加不上那种塑料，
[21:13.470] 二人替咱们这都是高功率，没有问题。
[21:22.160] 勇气开始。
[21:23.050] 现在
[21:26.480] 舒适就是操控性是提供技术，
[21:33.830] 要搬家在家里。
[21:36.200] 你说刹车。
[21:37.820] 您
[21:39.180] 仨车应是怎么着？你说软一踩小人就跟着
[21:43.720] 踩到底还跟着哼哼。
[21:47.320] 我说的这个意思发给你。
[21:49.810] 我给你停，咱们再转一圈圈里面抽就行，我开
[21:54.750] 给你抓一下我再开，你我再问一下就走，我觉得他感觉还行。
[22:00.490] 你让他来看一下。
[22:05.960] 干嘛退？
[22:09.110] 没有受伤，电子一开盘自己就雷住了。
[22:15.950] 但是这个车这块设计的有问题，就这部分打嘴仗。
[22:19.320] 他底盘刚才肯定都这样，是他高太高，
[22:23.220] 就是说你上腿不敢，
[22:26.670] 我腿短吗？我腿不短好不好？
[22:29.650] 还有什么？
[22:31.580] 手机的。
[22:32.860] 我感觉明朝的时候清新第二名销售，
[22:40.330] 但是你
[22:41.320] 没事保住了前三位置，
[22:45.840] 接受大型
[22:47.170] 赶紧走，就好像不但后排可以不行，感觉上面对他那条不了，别人一
[22:53.890] 一生气我就只关心我开起来大的一个
[22:57.800] 因为我感觉我的手上手软，
[23:01.960] 能开一个手腿的行
[23:03.590] 车。
[23:09.650] 我总觉得我就想是我这个刹车我到底能
[23:13.430] 奇怪的，
[23:15.350] 这是适应问题，开一段时间就都习惯了。
[23:22.250] 他这个刹车有点像，你现在没有发售。
[23:25.210] 反正我看现在是感觉这样，
[23:27.490] 像不需要我再不是那种
[23:32.450] 我觉得在后面
[23:37.560] 还
[24:03.680] 这是信号，听电话让你们上海的事了。
[24:06.650] 先进的
[24:08.450] 取消，
[24:09.600] 小立马停下，停下了。
[24:13.780] 30米，
[24:30.450] 开车还得注意集中点。
[24:36.290] 不要怪吗？
[24:37.160] 前辈怎么了？
[24:43.510] 我前两年想买凯宴，我试了一下，
[24:46.300] 我愿意谁知
[25:02.560] 你开QQ了，你在换歌有什么区别？我就这大典活动。
[25:06.440] 你是你优惠的多，你说
[25:09.440] 没人买他优惠的多。
[25:12.930] 这种活动我想还是换了，但是我觉得这个厉害了，你
[25:17.290] 应该是老看投票。
[25:19.060] 对老板那会有优惠，新款，因为很多
[25:22.040] 穷也没好在那里，我说那时候我说我买他觉得没必要了，完蛋，对。
[25:28.550] 不一样你快点发过来往里按一下。
[25:31.160] 管理。
[25:32.180] 这就是你们听说型号的
[25:36.900] 怎么样感觉开着挺好，赶紧把这东西都拿好。
[25:41.650] 行。
[25:42.940] 别等我了。
[25:54.970] 最多的根本躲不开，你想驶证上面有
[25:57.780] 有电动的吗？这都是固定的，奔驰没有电动的，我先把车开回去。
[26:09.620] 三
[26:11.620] 三
[26:12.520] 三
[26:13.610] 三
[26:14.720] 三
[26:15.420] 三
[26:16.600] 三
[26:17.610] 三
[26:20.600] 三
[26:21.600] 三
[26:23.680] 388888
[26:29.680] 三
[26:30.760] 二
[26:31.590] 三
[26:32.640] 三
[26:34.610] 三
[26:35.610] 三
[26:37.110] 333333333333333333。
[26:43.200] 一
[26:44.480] 33333333333333333。
[26:52.600] 333333333333333333。
[27:00.700] 333333333333333333。
[27:08.260] 33333333333333333333。
[27:16.900] 333338888。
[27:24.910] 333333333333333333 300。
[27:32.620] 888888888833333338888。
[27:42.150] 33333333333388888。
[27:47.890] 88888888383333388883。
[27:55.810] 88888888888833。
[28:00.960] 333
[28:02.100] 三
[29:02.480] 天生
[29:25.090] 看
[29:27.480] 哪个单位咱们这边坐这边我给您算一下。
[29:33.570] 的
[29:35.600] 的
[29:37.000] 的
[29:58.810] 你在这座我打一个报一下给您算一下
[30:01.660] 的。
[30:31.000] 号
[31:30.160] 几个点？
[31:31.730] 基本上就是黑色白色。
[31:34.630] 我刚才看颜色，对，没有那种单独定制了，时间就比较长了。
[31:42.810] 多久？
[31:44.000] 得半年。
[31:45.870] 对。
[31:46.970] 因为那种都属于个性化定制。
[32:06.630] 给您说一下。
[32:07.930] 看。
[32:15.630] 看电表看不到这。
[32:18.600] 咱们说之前有一个湖公园先给你读一下，咱们客户为根，以礼相待，诚信经合法得体，明码标价，公开透明。第二条新攻势，咱们这些咱们都绝不捆绑销售强制消费，
[32:27.790] 结果使用假这一次升华nothing，88188大概的意思就是咱们。
[32:34.370] 都不捆绑销售，咱们都可以自由自主选，这边都有公示价格。
[32:38.840] 你可以看一下，包括。
[32:40.290] 车架拉衍生项目咱们都有。
[32:42.090] 公式，
[32:42.710] 然后这个是梅赛德斯奔驰全国统一的报价单给您算的，但是GLE350时尚型、黑色外观，棕色内饰，
[32:51.500] 这个车成交价是708,800，
[32:54.650] 然后购置税是62,725，
[32:58.050] 上牌费的话是2500，保险的话大概在21,000左右，精品装饰化15,800。
[33:03.540] 这些加在一起的话总共合计是795,025，就可以把这车开走上路了。
[33:10.080] 你看着报价一个青春一倍，我再给你解答一下，对350是有时尚型还有豪华型，
[33:15.910] 时尚型的是5座的，豪华型是7段，
[33:19.400] 但您拍7段也没什么用，推荐您武断的这款就可以了。
[33:24.830] 450的话，如果刚才咱们看的这款的话，全办齐10是102万，
[33:30.000] 用了多少算了。
[33:32.130] 对，其实这款性价比挺高的。
[33:36.390] 850，我给您看一下这车源情况。
[33:46.630] 不是什么上来当我的现在是政府的。
[33:49.810] 对，咱们现在是比较流程比较正规的是吧？
[33:53.570] 等一大堆。
[33:56.140] 350的话，咱们倒是有蓝色的，你喜欢吗？不喜欢。
[34:01.750] 蓝色就那种蓝色
[34:04.020] 的不是那种笔端，你这种颜色有深。
[34:08.930] 就那种盖是。
[34:10.550] 然后其次黑。
[34:12.200] A色的。
[34:16.320] 黑色。
[34:19.440] 你只有黑的了。
[34:23.230] 蓝色我觉得挺好看的。
[34:25.740] 不到太多，能带你看一眼，找一个蓝色的车，他们看见。
[34:31.080] 那男子太像男孩子了这个问题。
[34:34.580] 很好的蓝色。
[34:44.190] 咱们保单的二维码过来服务业调研应该扫码一下，帮我们做一个评测。
[35:08.320] 好
[35:14.020] 颜色都棒。
[35:15.710] 这就加一三姑娘。
[35:26.410] 对，颜色挺漂亮，他总结一下麻烦，而并非不好吃，黑的好比肥料时尚一些。
[35:34.560] 里边棕色内饰也挺漂亮的。
[35:46.920] 你是开盘的怎么样？
[35:50.230] 这种颜色不就是女10块吗？
[35:57.210] 这是451
[35:58.550] 非常好。
[35:59.700] 好喜欢这款也可以，我觉得
[36:03.830] 这个也没有这个颜色。
[36:06.090] 我现在开的也是这种是可能看习惯，你要是老是开着你不得换种颜色吗？
[36:11.790] 但是
[36:13.000] 喜欢这个词儿，
[36:14.370] 你得换种风格。
[36:18.440] 跟这类似。
[36:24.320] 也不一样。
[36:25.450] 得了100多一点，
[36:27.270] 没必要来差那么多。
[36:28.900] 对。
[36:32.910] 没有。
[36:39.090] 我一直都喜欢这个颜色。
[36:40.600] 是吧？
[36:41.870] 说态度差，
[36:44.890] 20多22。
[36:48.710] 没办法，他高低配他这卡下叉就这么。
[36:51.880] 这个低配的吗？
[36:53.470] 这就是离开。
[36:54.880] 还有比这还贵的吗？
[36:59.010] 注意我就觉得喜欢别人了，对，我觉得栏的
[37:03.420] 这个就是时间长了可能就没太看。
[37:12.680] 对。
[37:15.760] 没事我喜欢。
[37:20.070] 那是咱们除了这就是棕色的了。
[37:47.170] 颜色。
[37:48.090] 看到七八年那边收购，你要是上一个开始颜色，你换就换一种颜色，
[37:55.680] 你不能老开。
[37:57.040] 脑瘫的颜色跟没换没什么区别。
[37:59.200] 不是，一开始我想买自然律，就是在边上
[38:03.360] 看出一款颜色，然后我就觉得这样也挺好看的，黑色的偏而且特别干什么。
[38:10.560] 对，所以说我推眼镜蓝的。
[38:20.190] 自行车没有这个事儿。
[38:21.910] 原来
[38:22.680] 这个车型要颜色。
[39:00.910] 那边打电话
[39:02.250] 吗？
[39:18.240] 您说颜色。
[39:19.540] 着。
[39:20.860] 找也没有，就没地儿找去。
[39:24.400] 4点
[39:26.220] 4504507也就那一个。
[39:29.090] 404。
[39:31.100] 你还差的多，因为一个颜色你买那值吗你？
[39:37.560] 对吧？你差了20多万，那也是
[39:40.390] gd能多少钱下来的，那天最低得102。
[39:56.450] 102位了。
[39:58.200] 是，因为他配置也差不多。
[40:04.330] 你除了蓝的就是黑的了，没有别的。
[40:08.770] 黑色您考虑吗？
[40:11.370] 不少
[40:12.990] 了。
[40:14.550] 那就是咱们看这个蓝色，
[40:18.860] 咱们真的喜欢
[40:20.970] 的。
[40:22.400] 定不行。
[40:24.000] 半年期。
[40:26.560] 因为那就得从厂家单独定制了，那时间就比较长了。
[40:35.930] 不过人家三
[40:38.140] 这个车咱们为什么这个颜色它往中国来就不来颜色？
[40:43.990] 咱们这台颜色色彩都放了好长时间，就是厂家应疯。
[40:48.880] 这车在这放着就一年多了。
[40:50.910] 哪个蓝色还是蓝色？
[40:53.120] 您看的灰的。
[40:55.600] 金色的。
[40:57.520] 金色的灰色不那叫浩沙。
[41:01.320] 学名叫好茶。
[41:03.360] 为什么要花钱？你看颜色的就是没人买，所以厂家就不产颜色。
[41:09.120] 像您这种说喜欢色的太少。
[41:12.810] 当然每个人跟每人审美也不一样，喜好也不一样，
[41:17.160] 太小众。
[41:22.840] 说
[41:24.880] 的
[41:26.630] 小。
[41:28.510] 对。
[41:30.820] 远。
[41:36.370] 蓝。
[41:37.740] 多漂亮
[41:43.520] 的。
[41:46.450] 的
[41:48.690] 现在架势拦车的是吧？对这男的咱们看着。
[41:54.550] 这还有优惠吗？
[41:55.840] 这车基本上就这样了，因为新款的。
[41:59.120] 有3万。
[42:06.120] 有一辆车有一个。
[42:07.330] 银色的一个蓝色的在门口。
[42:10.050] 我特喜欢颜色，他说放了一年多了都没人要，但是银色100 100 102岁的
[42:18.670] 79差。
[42:19.750] 了20多以为那是高配，那是450，那是一个
[42:24.790] 哎哟西干为什么？
[42:26.920] 他说那个不是喜欢，但是我最喜欢那种每个人跟每个人审美不一样，你可能赶上你就喜欢这样的。
[42:32.790] 记得我上。
[42:33.970] 这样。
[42:35.150] 颜色。
[42:36.290] 看一下。
[42:40.250] 为啥？
[42:41.960] 数据
[42:43.500] 的。
[42:44.740] 书画展的。
[42:54.960] 对，反正除了蓝色就是黑色了。
[43:00.750] 号
[43:10.240] 的
[43:12.220] 的。
[43:13.640] 别的没有，现在能订到的黑的蓝。
[43:21.150] 因为这个车他肯定还是以黑色为主，80%这个词都是黑的，然后其次会有少量白的
[43:27.560] 别的那种太另类的颜色特别少，
[43:34.410] 行吧你
[43:35.470] 你把电话我给你写个上对。
[43:39.390] 对，今儿咱们是确定不下来还是吗？
[43:42.350] 我说今天咱们确定不下来吗？你们打。
[43:45.100] 基本上就是行。
[43:47.190] 你修行还。
[43:48.900] 按那个价。
[43:49.790] 看皇马，完了他号码就超5倍比。
[43:53.450] 我本来是他们说现在宝马然后有活动，本来是看着好几个号码来了，但是我也想看对奔驰您是得看看。
[44:04.250] 您可以带走，行行，那里边有什么疑问顾虑您解答一下。
[44:10.650] 还有行，有问题您随时我打电话就行，好吧？
[44:15.310] 您开车来的是吗？我简单问一下。
[44:17.720] 现在都是200个人300建设120 300万什么1920~300 201.5T的，300是2.0P的。
[44:28.350] NASA19万你知道包括那款优82
[44:36.210] 三
[44:37.190] 33150886点。
[44:39.640] 135。
[44:47.230] 你少在这筹码。
[44:49.030] 您现在走吗？
[44:50.340] 带走你扫兴，明天我们还回访，上午明天下午就电话，你方便车辆给你介绍一下。
[44:59.340] 等等，我们已经销售了。
[45:03.070] 谁知
[45:05.660] 你过了吗？家里了，不能重复两三
[45:10.590] 110号要超值可能就废了。
[45:15.750] 没事不客气。
[45:19.470] 这片有吗？院里没有宝马，我们这有位。
[45:22.780] 奔驰、
[45:23.920] 奥迪宝爹这4角。
[45:28.760] 老爹彩虹吗？
[45:30.010] 小圈圈一样。
[45:33.370] 那也归。
[45:34.720] 那个也是吗？1234你说他算不是咱开那个吗？
[45:39.830] 但那也不小时候看也挺好看的，那也得去。
[45:56.650] 你蓝的再看看没。
[45:59.600] 我都喜欢看，觉得挺干净。
[46:03.120] 没有栏杆合作。
[46:07.290] 行了听班长好要你给我打电话，你再看看宝马，
[46:41.880] 给他送到看不见尾灯。
[46:44.560] 标准吗？
