[00:00.370] 别的二次托付
[03:16.410] 这么着了，人要买我们也不能不卖给人家对吧？人家说这交钱刷卡你提我们是卖车的，我们都问我了，我说我后天他问你，人家问人销售一台车没卖的，人家买就卖人家，
[03:30.190] 对吧？我现在都这么着，好的我完全没有办法了。
[03:36.000] 因此我有这意思我是20万，
[03:40.150] 正好把车的修理费用出来了是吧？
[03:54.240] 你们到时候
[03:56.770] 你们把你们这车的所有的配置
[03:59.740] 给我发过来，
[04:00.920] 到时您来我给你打一份就得了吗？你这么有空这回我不能我激动了，我再给你发电子的给发咱家微信给你发发微信上就叫你叫我给你给我发过来。
[04:11.830] 睡着了，不是你直接扫描二维码就行，我没有都有。
[04:17.410] 有没有？
[04:18.190] 刚刚手机。
[04:21.990] 这个特点了。
[04:23.570] 谁知
[04:24.820] 或者您上官网什么都有。
[04:28.760] 没事。
[04:30.640] 用当时就这个号这码我帮你找。
[04:34.830] 扫这个是用
[04:36.730] 老师。
[04:39.540] 这是车钱，不知道全部得了，稍微收藏一下，点右上角收藏一下。
[04:47.410] 谁知
[04:48.240] 谁知
[04:55.610] 已经2000。
[04:57.430] 咱们这都有了。
[05:03.320] 我看
[05:04.820] 宣传的车的
[05:07.250] 视频，
[05:08.290] 方向盘这有一个什么对不对？这个东西没有。
[05:12.600] 对。
[05:13.450] 这个没有对。
[05:27.200] 车
[05:28.060] 都没有了。
[05:29.230] 没有什么。
[05:32.410] 没有。
[05:34.210] 你说空气悬挂K线在哪里合作？
[05:42.150] 我说你
[05:53.970] 女孩这边打
[05:55.060] 打
[05:55.820] 打出来。
[05:56.830] 你也是看这个
[06:00.230] 毕竟配置根本就出不来。
[06:03.420] 没有为什么？
[06:07.450] 他不就行了。
[07:40.830] 我这正接完客户我这几分钟就完事，我就过去找您行不？
[07:47.780] 着急是吧？行，我马上给你车取了。
[07:52.440] 车取了。
[07:56.240] 行行好你不好意思，完了给你拿着。
[08:08.630] 恩你忙你的吧。
[08:10.120] 你要再看一看，行您再看看，一会给我打电话。
[08:14.160] 行。
[08:23.830] 张阳在吗？
[08:34.650] 这帮吗？
[08:35.590] 上班又回来了，回来。
[08:39.480] 这边
[08:40.560] 秒
[08:42.900] 之前定的
[08:44.940] 换了一个公司领导把给您退了，然后没有咱们公司名称给弄。
[08:52.090] 刚才。
[08:54.630] 原来。
[08:56.570] 的。
[08:57.710] 看一下。
[08:58.770] 我老婆都没拿着，凶也。
[09:01.040] 是我那客户找了一个厂家姓什么呢？
[09:06.450] 哪个？
[09:07.890] 对阿姨。
[09:09.590] 就找厂家。
[09:11.250] 姓桑不是。
[09:12.800] 不知道妈妈不让我找你着联系，没问我就没感觉吗？从哪？
[09:16.980] 觉得难看手机号码。
[09:18.630] 你问我一会其实你说
[09:22.610] 他提完车了。
[09:30.270] 几分钟了？
[09:33.450] 你看。
[09:34.270] 还找我的吗？说哪的车是不是你卖了？
[09:37.320] 比较理智。
[09:39.170] 你看
[09:40.370] 它是我们交了钱以后打的电话，我们当时交完钱以后，因为当时我也不知道他们认识是我们都买完车了以后，然后他们联系的张总说上午给你们打过天怎么着，那我就跟他说没有，
[09:58.390] 让我。
[10:11.870] 宣传往后分期。
[10:14.500] 能什么了？
[10:16.550] 他工作能带吗？前往自己有多大？
[10:21.790] 刚才我们没什么太大问题，
[10:35.430] 咱新建这个活动。
[10:37.060] 对，你平均没法抵了。
[10:39.820] 你这能比
[10:41.570] 名字变了怎么抵押？
[10:43.450] 农抵押胡经理发的东西都不看，不知道吗？
[10:49.670] 胡经理人老发下去还是不注意，我都知道。
[10:54.530] 我就知道我就跟他说了，
[10:56.590] 你那天问我打楼梯口，你是不是卖一个叫什么吕志远的一个什么，说你问我这车
[11:03.440] 多少钱卖的？
[11:05.240] 我刚从哪来的，这客户不是这客户，他在我这买完了车他又去找厂家。
[11:12.400] 是我好像有这事淡忘了谁是什么了，买完了怎么着，应该是厂家，谁知
[11:18.830] 应该是厂家给。
[11:20.520] 产品他姓什么我还没丢，我说我们投也我们头没找到。
[11:24.540] 能够来找了她今儿上牌。
[11:27.250] 怎么找我玩金融。
[11:29.420] 想要的东西。
[11:30.670] 想什么多他也没说他那意思我们。
[11:33.230] 认识他们找人吵架，不再跟你们说过怎么回事。
[11:40.280] 要不然我就说我不。
[11:42.250] 到这事儿。
[11:42.960] 别的我都想不起来了，你。
[11:45.680] 有没有印象是我们是有这么多事吗？这么一事儿，但是我忘了是谁了，但是当时。
[11:49.690] 我跟他说也是都订完车了吗？
[11:51.520] 对就这意思，当时你找我。
[11:52.860] 你说我提完了吗？
[11:54.180] 咱怎么跟他说？
[11:56.630] 跟你说。
[11:57.810] 我不知道了，有点毛了，从我大一点。
[12:01.700] 行。
[12:02.730] 你说这意思行。
[12:04.910] 那也挺便宜的了吗？
[12:06.300] A的邋遢还怎么就那大姨特别墨迹。
[12:09.870] 你也不知道我们短期的我。
[12:11.760] 去哪拿去？
[12:12.540] 后面。
[12:29.330] 了。
[12:38.470] 这了都3.5了还长。
[12:48.030] 都上这屋倒。
[12:50.030] 张敬礼状，另外雨伞。
[12:51.490] 我给您
[12:52.220] 看一下，我先去你知道积极性期待召回。
