[00:02.310] 次
[05:27.970] 好好，这样我特别的也看过了，谁当时也跟谁也聊过了，这样的绝佳就是做到了
[05:38.220] 23A然后两臂，然后镀膜，然后
[05:44.230] 暑假
[05:46.250] 43万。
[05:49.650] 24。
[05:51.700] A宝我们这没有，全北京只有西五环的金冠。
[05:56.200] 对全北京都没有那保养，所以保养全北京没有。
[05:59.590] 但是您要想要用，你就得明年开始就从他去西南六环去保养。
[06:04.580] 去年吗？
[06:05.950] 今年年底明年应该就搬走了。
[06:08.710] 你送一次保养首保是免费的对吧？花钱的。
[06:12.840] 奔驰宝马没有免费的首保不可能。
[06:16.120] 我们没停车都是投保是免费，这个是公开的，奔驰没有
[06:20.790] 没有哪个奔驰没有，北京没停，还是进口值也是1万公里，我自己开宝马也你说宝马有收保险费，
[06:28.650] 进口奔驰肯定是没有的，谁知首保您从我不知道您是怎么着，你说宝马有受保险费吗？
[06:36.840] 我不知道没了解过，宝马跟奔驰是一个机制，都是1万公里保养一次，作为医保做B宝雄华奔驰的
[06:43.010] A宝也一样时候是花钱1万公里保养一次，
[06:48.230] 我A保B保我是必须在这座上，不一定我送您的，您不在那做吗？
[06:55.910] 不是您这是厂家的对吧？
[06:58.670] 厂家您随便哪个店都可以做，我们这边看的是我们这边截的什么？
[07:03.770] 我们这边街的AB的费用还是
[07:07.590] 不是这里多少，这可能吗？
[07:10.360] 您售后也不挣钱，反正送您的您导演不一样，你俩搞得不一样吗？
[07:16.040] 不是可以，我的意思就是说你跟我说这个是不是说我去哪都可以的，不是往我们了解到的话，是我们送的就在店里来做，这个是
[07:26.590] 您了解到首保免费也有误差，
[07:29.860] 没有误差，我现在就可以跟姑娘那次打电话，因为我说我不了解阜阳本事，我不了解福建门知识保险都是那什么收费的，所以这我干了5年多了就没听过首保免费，我跟你说，
[07:42.230] 你这还是有那什么呢？
[07:44.060] 你们这个影像您项目的销售不用您去奔驰，现在卖乘务车小二家店您去哪家问也没有首保免费，您随便打电话问也没收保险费这么一说，这么多客户在这，要不知道这电话太了，
[07:59.290] 就是说现在你
[08:00.760] 我说的能做到吗？
[08:03.090] 到不了场会见。
[08:04.620] D看多少？
[08:05.690] 您申请了，这已经给您都不低了，人家申请个一两千块钱，估计能争取过来再问问。
[08:11.690] 一两千块钱，我待会给您做个动作。
[08:15.470] 交车钱给您都做完了，这些东西弄。
[08:17.810] 也就这样着车什么也没，怎么45,000直接都给你捡到现金给您这边保险，您也没要求您上什么全险这的。
[08:28.110] 我不知道。
[08:30.790] 说吗？
[08:32.160] 没有优惠了，就这么多了，也就适应一点了就。
[08:35.280] 你不要申请一点，您是多少你知道我今天来我找你来，
[08:39.960] 但您的价格确实到不了，减不了5000多，这车不可能优惠5万。
[08:47.070] 的。
[08:48.520] 不用，是要优惠到5万都轮不着，你买这车真的是
[08:53.540] 5万早期没事，它就是4万多的航行着算。
[08:59.180] 您在哪？福建奔驰。
[09:02.210] 我说的就是的花香。
[09:05.800] 在线。
[09:06.860] 您身边愿因为我觉得这朋友跟这个应该是那对，所以说
[09:11.520] 价格都透明，你
[09:13.200] 对吧？
[09:14.960] 你们那个里面
[09:19.600] 现在价格都透明了是吧？
[09:21.640] 是透明的，有时候旋差政府巡查。
[09:25.310] 反正很正常，他那要搬走了，送您一个终身的一把就是了。
[09:30.690] 我就说除了他那也一样对吧？
[09:33.440] 北三三环上午在三环那看得三环就是2A2B然后现在是又回到了432,000，
[09:42.390] 然后这些也都全有了，
[09:45.160] 就比你多LD然后
[09:48.790] 木门还有一个什么车灯了，
[09:52.780] 迎宾车都
[09:53.980] 没有停车。
[09:56.150] 有现车周三到。
[09:58.350] 白色那也挺合适的，您现在跟我要的价格。
[10:03.380] 对没什么区别，那没在这地方是为什么没啥区别？
[10:07.050] 我的理想价格就是离我家最近您住哪儿，我就说你后边保养，刚才您说的什么全国纠结还有没有异议？
[10:16.770] 您住家门口住着不咋保险来了，
[10:20.300] 咱俩都做销售的，我觉得他对客户就是实话实说是最重要的，诚信对吧？你别告诉他就是说对我跟您说这首保没有免费的。
[10:29.650] 行，你们还是有问题吗？
[10:32.320] 我们福建奔驰咱俩别吵嘴架，
[10:35.320] 都是做销售的，也都弄二手车的，在哪？您什么劲，您不是二二首车那什么吗？
[10:41.940] 上一首歌在哪服务员不吃不喝
[10:45.400] 米的事吗？
[10:47.440] 看有朋友在那，我说看看要这有找找关系没有咱
[10:51.650] 猴子的时候没事，你把你旁边最后的腐蚀不就可以了，你就说你首保是不是免费，我
[10:59.530] 不了解福建奔驰，
[11:01.670] 不干说主要是不了解。
[11:06.320] 但是您一样您不干我这个乘用车，我现在告诉您没有首保免费这么说，您为什么不相信呢？
[11:14.490] 另外要求
[11:23.710] 的？
[12:00.060] 咋让你
[12:01.080] 早就到深圳一下，到不了你那5000能到了，没必要耽误您时间，要能到5000枚币给人家好了。
[12:06.690] 上次跟张阳聊的也差不多，就是这样。
[12:09.670] 5万。
[12:10.900] 当时指标不行，当时
[12:13.720] 没想到这么快把这车卖掉了。
[12:16.890] 那会儿不是没这么火吗？那车？
[12:19.700] 在车上。
[12:20.620] 基本上没有现车了。
[12:22.130] 待会车都卖不出去，一行停电还行。
[12:26.760] 你这最早什么时候到车？
[12:30.610] 最早
[12:34.350] 白的价钱不行，站着我就算有现在我说5000卖不了，你没卖过5万这件，我自己朋友买不都4万多卖，我能卖您5万。
[12:45.040] 说您说尽管都能做到，全虽然比不了肌肉，你比不了比酒店更电池也没有错，您不是您对您不是干，您更应该知道每个电池价格肯定不一样，对不对？
[12:58.320] 您要真是说了解这东西，他肯定每个店不一样，不可能全卖一个价，
[13:02.470] 对不对？
[13:06.330] 回去之后，
[13:11.690] 那就
[13:12.800] 您5000~8你要说给您申请这车，
[13:15.820] 也就奔着47,0002000块钱给他了，
[13:19.190] 所以我就变3000元送。
[13:23.630] 我不能2000元，我就问领导3000能不能给人讲？
[13:27.730] 你觉得聊了，我觉得4万块的话，现在是我们
[13:31.500] 我最理想的，我本来说要把两两千都磨掉，然后
[13:37.200] 家也近，在你这多保险给你算多少钱？
[13:41.700] 保险转载了1万27,000打7000我就用不了那么多，
[13:46.530] 人家在今天我这424,000
[13:48.320] 要看里面有，我不知道您这保险您在哪个店全是统一的，
[13:52.900] 7000不可能上全险。
[13:54.960] 这车学院得一万二三那样。
[13:57.330] 三
[13:59.720] 4S店算的还是您自己算的？
[14:03.450] 我自己。
[14:04.260] 您自己算。
[14:06.200] 我让你看保单。
[14:08.360] 车
[14:09.700] 谁知
[14:12.310] 三
[14:15.370] 快。
[14:36.150] 你在哪？
[14:36.860] 我这个车价还贵48万。
[14:40.700] 什么车？
[14:41.990] 的免赔率赔付率不一样。
[14:45.530] 福建奔驰跟乘用车赔付率不一样，乘用车
[14:50.030] 乘用车都是高赔付的，
[14:53.560] 商务标肯定不要。
[14:58.130] 咱们这么着，我给她用了2000保险自己上，
[15:01.010] 行不行？
[15:02.290] 你自己上保险去，您不是
[15:04.200] 给我认识这那什么的吗？
[15:06.240] 出单的。
[15:07.790] 反正您报警您自己。
[15:11.590] 我这边您在能不能就是说白了
[15:14.200] 练个车收服装是您自己保险自己上
[15:17.210] 申请了再给您看能不能申请2000块钱。
[15:26.950] 保险进去了，您自己上多少钱，您自己的药，
[15:32.090] 但是我用了多少算，我
[15:37.120] 3,427,000的。
[15:46.490] 保险您问哪也没有让您自己上的。
[15:49.780] 对吧？
[16:01.650] 了
[16:03.790] 了。
[16:05.980] 没了的话，不是保险我都不让您唱，还不行话你
[16:12.810] nana上你还不行。
[16:20.690] 您这干嘛呢？
[16:24.040] 我主要是看你的总体优惠。
[16:26.750] 对，您不想上保险，我想让您自己上，您还。
[16:36.190] 的聊了会。
[16:37.640] 这样聊了的，天塌了不是保险，您想您自己上保险
[16:43.170] 上就要我就说那啥甜点，
[16:45.800] 全险100万，您1月二三反正出完之后这车城卖一万二三全险。
[16:50.020] 这是什么？
[16:51.630] 全县您不知道吗？
[16:53.580] 不知道，您不是干这都不知道全险吗？我告诉您车损三者，盗抢、划痕、涉水玻璃、不计免赔、全险，
[17:00.830] 一万二三自然，您要是卖车的自然是在质保里面不用上自燃。
[17:07.550] 您要真卖车一下您懂了吧？应该我让
[17:10.110] 的让我们买的
[17:12.020] 车房子是整个睡着了，
[17:18.960] 那就没用了，咱俩走着这。到不了你。
[17:22.970] 我知道您说您开始想让自己上保险，
[17:27.410] 没得聊了，您说您自己想上保险，我先把保险给您去了，保险利润不挣您自己上您这又不行了。
[17:34.420] 会就是说别人的价格能做到这样，我就让你过去理解保险，您这车7等下来您买保险不去了，对给您自己不上，您看您刚才自己说价钱比这贵，您上完全也才7000块钱，
[17:48.390] 我这没有渠道给您说，按照这么价钱给您上去，让您花7000，我得让您花翻一倍，
[17:55.290] 我现在把让您不混，整天在店里，
[17:57.990] 哪上保险看您上多少。
[18:00.820] 前面您上次选择肯定高。
[18:04.230] 要
[18:31.520] 现在这个钱它减去1500让他买单不减吗？
[18:35.090] 更加也可以对。
[18:37.170] 你就这意思吗？只是现在你谁知
[18:42.520] 1500都让他干这事不是吗？
[18:45.760] 1500给他现在不缺钱了，给当地市场
[18:53.040] 一开1500一天50
[18:54.650] 来概括，
[18:55.920] 然后他就走。
[18:57.640] 他又超生了吗？
[19:01.670] 造船就行了。
[19:03.230] 了照片不一样的，一家铁路上
[19:07.010] 不一样，
[19:08.640] 人他妈也没说肺脉两倍的，
[19:13.870] 但是你知道你不卖的是不是现货是期货的，期货干嘛不高了已经。
[19:20.030] 一样也带不。
[19:21.930] 刚刚对。
[19:23.930] 还有一样，我从来的空气您总有新的有
[19:29.710] 一个叫姓董的一个姓张的上高架跟真的不是
[19:35.710] 当他用的
[19:39.580] 车辆是这样的，
[19:44.910] 对，谁知
[19:47.590] 到底刘女士再见，我这边
[19:50.590] 通胀的
[19:53.910] 有谁知。
[19:55.460] 还有5000没有非常
[20:02.030] 几乎
[20:04.400] 没接上。
[20:06.690] 因为
[20:10.840] 看完以后再接着一堆上在这里就
[20:13.860] 听懂了这家伙，虽然胡某傻逼似的草，
[20:18.800] 今天咱们要她嫁给不了，然后我说你自己上保险去，我一看保险利润其实不乘25，25其实没多少钱，我说这么着，
[20:26.660] 你俩自己上保险，你不是找能便宜吗？你自己上保险不行。
[20:31.480] 那女的还有点问题，
[20:33.740] 我说您
[20:35.260] 转着，
[20:37.490] 我说这也是一招，要不说自己上保险其实也没多少利润，就这么多。
[20:42.540] 这不是给他拼，而且惨了。
[20:44.100] 你保险名9分，
[20:45.860] 咱保险都是2分一分，这个事儿你卖车才几分，所以说要6分，但是这样的话成交的就是水水两分可能利润
[20:54.670] 没人在客户那就会觉得不止这一两千25%。
[20:59.140] 刚才我刚想了想你自己上保险，
[21:03.510] 你在我这检查在我这做装饰自己上保险，
[21:08.840] 上
[21:13.120] 没有，媛媛你稍等两分钟没？
