[00:00.000] 623。
[13:48.730] 谁知
[13:52.670] 你拿去。
[13:53.880] 我差一点，然后自己完全不对。
[13:57.030] 你这块
[13:58.910] 重点考虑。
[14:00.260] 不要上了，
[14:02.150] 你别说拿不了。
[14:03.890] 我拿一个你看的。
[14:10.750] 这个是黑车米色内饰的，咱现在那是什么？那是的黑车黑内的。
[14:17.270] 这跟有漂亮，但是
[14:19.620] 是品尝加以之后还跟他
[14:23.340] 1工程
[14:24.760] 肉反正半年到一年过去回去是春节，
[14:35.030] 就这么的。
[14:36.750] 但是不一样，这边下来
[14:39.710] 公园设计真是不一样，
[14:42.520] 动力配置有什么要求挖掘？
[14:46.630] 如果在都不够了，你之前原来用什么车？
[14:51.620] 如果伊朗开小车开着车怎么着？
[14:54.000] 这个我原来开大道的话应该没问题。
[14:56.930] 还有nothing。
[14:58.940] 应该没问题。
[15:01.560] 我家没事我还我家准备没有小车。
[15:04.730] 路不太好看。
[15:06.950] 没问题。
[15:09.390] 你让人想要买卖，不分咱买黑黑内是吧？
[15:14.080] 不是买的那个数了，中了图中的种类
[15:17.530] 我总要张明白。
[15:19.570] 还有半
[15:20.980] 行共管就是台黑米的。
[15:24.010] 然后豪华的话有他是不是
[15:26.990] 晚上
[15:28.250] 要不房子不是。
[15:29.460] 同伴帮他那个车。
[15:31.010] 不了了。
[15:31.930] 买了大库。
[15:36.760] 设计
[15:38.210] 一样。
[15:39.710] 你现在沙子用一台车，
[15:42.330] 豪华的还色跟那一样，
[15:49.760] 不好看了。
[15:51.110] 你干吗？
[15:53.650] 知道吧？
[15:55.510] 人那么不怕涨了，
[15:57.680] 底下拔刀一样的后背疼，
[16:01.410] 谈做没法，因为用不了做事特别难受，然后把什么咱们
[16:10.380] 而巨兽
[16:14.930] 要不将液态了。
[16:17.780] 这个没了。
[16:19.150] 这个板块
[16:23.420] 点贸易有关同志的吗？
[16:26.160] 交易。
[16:29.570] 拿铁铲和你昨天博战哥来的，
[16:56.270] 小S豪华，
[16:58.660] 昨晚上也进去了，到那边前期的好朋友咱们看一下，好好拿到包装你知道。
[17:05.050] 对。
[17:08.650] 谁推在北京了吗？
[17:10.380] 没干着。
[17:11.350] 刚刚开始咱这说是上
[17:15.120] 不要走，不开我那就走。
[17:17.280] 摇号。
[17:18.830] 我吃饭的吃饭，
[17:22.530] 还是财经没有规定，没有说是一家一户一个车已经
[17:28.130] 没确定了，大家没有这说法，点燃会这样。
[17:32.240] 对。
[17:33.160] 没有指标的一家的可能有分析指标，
[17:36.340] 然后只消您下说的，
[17:38.680] 一直开
[17:39.820] 开刀后我就指标已经寄出来了怎么办？但是没办法，所谓您指标主要有控制指标了，指标忘行可以把一个类似的指标买完车以后，
[17:51.080] 就不能再换了，换成改路线不是我这车，
[17:54.370] 有辆车北京办，然后我现在手里有指标我就进来了是吧？完了还给我，甚至下一步我也给上，
[18:01.650] 只要指标下来了你了，
[18:04.260] 但是看完之后，
[18:06.040] 他什么唇裂什么了以后再换车就没指标了，宁夏怎么样？
[18:11.220] 明白。
[18:11.960] 就存在一天时间才能期间只能通过。
[18:17.060] 您为什么不过去？
[18:19.160] 直接
[18:22.670] 原来从三行了，基本上看不到那部分，哈尔滨经常严重欢迎对。
[18:28.320] 北京
[18:30.470] 多核心也
[18:33.800] 还是可以，我不行给我们企业三点，对你可以送。
[18:41.310] 我打。
[18:42.950] 谁知
[18:45.720] 不要这个没问题，这是豪华的老大，你看这车
[18:51.910] 没法过。
[18:55.130] 没有，对，就这个。
[18:58.470] 中国的你想给你买这个是吧？
[19:03.610] 哪个要
[19:05.670] 开始。
[19:06.950] 可以看一下的是吧？
[19:09.290] 他配置确实也高一点，包括方向盘完全可以自动导航的，自动评查那种在，但这类似的功能，但是不要完全相信他。
[19:21.160] 对。
[19:22.900] 但现在的辅助驾驶其实已经算是很不错了是吧？但是他达不到咱说
[19:29.270] 美国大片人工智能
[19:32.700] 或者说像剪开的话，辅助功能多一点，动力配置乘坐人员驾驶情况
[19:37.880] 也都在预算范围之内，豪华的可能还是更合适一点。
[19:43.670] 有安全，现在咱买车买的什么都是安全的。
[19:49.210] 迈巴赫什么
[19:51.800] 哪个？
[19:53.840] 那是迈巴赫450那就先。
[19:56.780] 那款的话是100工是价1,558,000，如果咱们现在上北京牌的话，
[20:02.950] 就是1,458,000。
[20:04.620] 都按指导价。
[20:06.890] 行贷款吗？
[20:08.070] 指标是他自己的。
[20:11.370] 你现在尤其买这大车谁都不愿意，
[20:14.210] 就来到全款，
[20:16.450] 所以买了房你这个月是吧？
[20:19.820] 那都是咱们马上
[20:23.350] 你说算就算了，不是换了。
[20:25.950] 我也说
[20:27.150] 那个路口我就还有内陆开5了，
[20:31.280] 我就算卖了，卖不卖给自己的那不是不一样，然后慢慢的让我自己我怎么做。
[20:41.610] 这个不好，那边可能现在的
[20:44.280] 卖卖不上面，因为自己化工厂不用上了，算了就这么
[20:51.110] 这么着合适。
[20:53.810] 很多听大家都着说，
[20:55.930] 两人都跑了都考虑过，
[20:59.240] 如果把这事儿再过10年以后咱们还没了，实在以后咱们还没到。
[21:05.140] 咱工作时间说了，
[21:08.750] 我这习惯等等，
[21:10.790] 不带半点就是原来那样，
[21:16.640] 哈尔滨南京走的话最低是随便我走，
[21:19.470] 别上也不说产不能你们地方的话，
[21:24.000] 不用出去找你100块。
[21:29.720] 基本上
[21:31.080] 人都
[21:34.690] 1100 8000米。
[21:36.240] 对。
[21:37.410] 完了。
[21:39.650] 不管的话，如果像北京
[21:41.980] 成都味道的话是1,308,000，
[21:44.570] 包括
[21:46.020] 128是咱们
[21:49.080] 它的公式价值，你觉得指导价，比如说如果是送给品牌优惠的话，比这个
[21:56.730] 这就是我们正常报的售价，卖什么价格我要买车价格给我对不对？
[22:01.170] 我们看看
[22:08.310] 这就是咱像北京牌的价1,318,000，如果您要是确定要的话，给您问问领导估计能卖68,000的。
[22:16.220] 差不多。
[22:18.800] 您买小S
[22:21.460] 可能豪华您那张照片。
[22:24.550] 差不多。
[22:26.070] 我们买家都买了专业化，说实话今天我来办事了，进口进来了，我们还拿得好晚点，
[22:34.800] 给他也要
[22:37.000] 就这么说这什么情况，新款还是款的存款吗？
[22:42.520] 是什么？
[22:43.820] 借款是200 78,000。
[22:51.590] 这边过来吗还是？
[22:53.580] 快乐。
[22:57.900] 洪水中
[22:59.970] 职业388，哪个这都是武装的，其实我觉得这种后面特别看上他。
[23:05.930] 这已经看到了。
[23:08.260] 这种唇语对他的空间都不大，因为它太长了，总是在托底了，通过一下能力了。
[23:18.270] 横向这又不是太高。
[23:20.850] 没车辆我给您介绍，您车辆为您讲解一下讲解。
[23:29.120] 1B
[23:32.600] 北京算是比较好的代步工具。
[23:38.720] 然后电子水牌我跟您说一下，
[23:41.770] 它的颜色
[23:43.620] 理论上很多，
[23:45.240] 但实际上基本都是黑的，其他颜色咱们也电力也不尽，一般客户也没人愿意要。
[23:51.000] 然后内饰颜色的话会有
[23:53.460] 有问题。
[23:54.420] 有米色、黑色还有红色，
[23:56.850] 等哥说可能有一黑的了，
[23:59.280] 然后你又不太喜欢这宗的，其实比较合适的都是真的。
[24:04.640] 中的对外面黑里面钟这样搭配起来不俗气。
[24:09.500] 功能的话，这车的功能可能现在咱家也有还是挺丰富的。
[24:14.340] 首先有一个主动智能辅助，
[24:16.280] 这个是一个通宵讲究自动刹车，
[24:18.860] 安全功能。
[24:20.680] 当他们快速接近前车，仪表盘上会有提示，如果没有措施他会有声音报警，如果还没有措施，他会帮它们刹车，
[24:27.630] 可以减小甚至避免碰撞发生大大提升价值程度的安全性。
[24:34.110] 咱那车您用过吗？
[24:36.540] 应该有一个消息听不到，也是刚刚还是还没看见，对又派来的，明白了。
[24:45.410] 这个太好了，我们现在选出合适车不瞒你说，我不是宝马或者奔驰或者毛4节，
[24:51.990] 你肯定把这三个品牌买了，你要是想选大尺寸的SUV，T rs确实是比较多，家里大小口碑导游八道都有，但是我还是喜欢大学，
[25:02.670] 谁知他还没拿保时捷的，
[25:07.550] 但是不太但你要开惯了SUV，然后就开轿车，您特别不习惯对，所以轿车换SUV。
[25:14.180] 所以说现在我就在纠结这个地方，咱们可能还是这种，为什么好多包括家里人现在愿意给家人用车买SUV，
[25:23.820] S又有先天的安全性因素在里面，
[25:26.770] 在事故碰撞当中他跟轿车是错位的，爱它本身的高度是在那，我觉得
[25:33.100] 这是特别实用的，咱赶过轿车确实不想开了，这东西你看内蒙古，
[25:39.320] 你看它的这款是豪华版，这个事ANG露物流，
[25:43.160] 这都是大二的。
[25:45.330] 没有，这应该是2120 21的。
[25:49.120] 然后它全系都带有特别好亮点，什么空气什么。
[25:53.120] 咱们再一个是舒适感能够增强，空降队，再一个的话户外的脱困能力他还是有的，
[25:58.830] 沟沟坎坎的。
[26:00.370] 你像说过水路面或者说越野什么的，他把底盘升高，刻苦努力方向，前面那个人看着他抽的比较长一点，看能不能看到
[26:10.050] 格尔减肥北京做里面
[26:16.480] 这车还有一个特别好的智能语音，这可能您没用到。
[26:20.720] 咱们很多功能像导航、收音机、空调，包括天窗、遮阳帘这些，
[26:26.600] 您都可以通过语音来实现。
[26:28.580] 咱们原来开车都有过这种经历，北京的路况很复杂，等低头找一案件也不是后改运能进来，就是原装进来的。
[26:35.470] 您找一个案件之后，那个房子相当就跟这个一样，
[26:39.600] 连的一样，
[26:41.870] 可能找到案件一抬头，眉庄上来吓一跳，赶紧得调整，但您通过语音来实现，你可以全选，对。
[26:49.400] 咱们说空调调到28度，
[26:52.060] 打开座椅加热，对他都可以实现。
[26:55.170] 你就不用像原来低头找按键了，
[26:57.670] 这与语音识别
[26:59.660] 好多客户觉得很炫，但其实奔驰出于安全考虑，
[27:03.450] 还有我
[27:04.960] 刚到这个天看了你，但是真的就是一个方法，可能多多对这个介意我就三个选择，一个宝马跟它对比的算是叫差7，
[27:15.320] 跟他算是比较接近，
[27:17.710] 不能就装一个电话，
[27:19.980] 吃鱼也特别一条的家业，全神贯注的开脱，
[27:24.870] 通过语音来实现功能部分神更加的活动中，
[27:28.970] 奔驰比较长的三年不限公里数3000不是那么多，
[27:33.930] 股票
[27:35.880] 没有不着我那棵树前面是多少四宝，几年该买的人家牌子的话，奔驰的车都是三年不限公里，三年不对。
[27:45.590] 你像我之前的大哥他那是L一年跑了5万多将近6万，他敢出车子，
[27:50.940] 然后我这公司用谁也不闲着，一天的车，我这要用文字少，
[27:56.460] 感觉放心，为什么说他敢不限公里数，他对他这个产品有信心。
[28:03.080] 你像这款豪华就是桃木方向盘了，
[28:05.680] 装液晶，
[28:07.050] 然后还有64册的氛围中，
[28:09.400] 可能咱S是哪款也是新款的，也有氛围灯的效果。
[28:14.860] 一张40。
[28:16.020] 咱们登
[28:19.070] 越野车，我当时买贵了，卖一百一百五六十万买，
[28:23.220] 人家是一几年卖
[28:25.480] 100最开始那样S加价10万15万，为什么？就是
[28:31.990] 你还得紧张。
[28:33.760] 对是这东西月薪肯定价格越高，早点想了，没错，迈巴赫阵加二三十万，
[28:41.730] 现在评价了150，但是人第一批享受到。
[28:45.910] 还有一个特别好的梅赛德斯，
[28:48.200] 在这头顶SOS，包括蜜饯福建，这是个一站式交互平台，几乎车上的所有问题都可以帮你解决。
[28:55.180] 以前可能车辆出问题，咱不知道找谁，现在直接联系他，对甚至您远程启动都可以了，坏了要出问题有机下APP，或者是机动车要时候他帮你去了。
[29:06.190] 对，我觉得夏天咱这车里不热吗？提前找好车吹一吹，
[29:12.470] 舒服点，冬天天天找好车咱不冷，
[29:16.000] 不会自然也我们导演拿手手机就能控制了。
[29:20.160] 很方便很重要。
[29:21.970] 越来越智能化越高，陈建过来
[29:26.580] 车辆什么的别的不需要介绍了，没有什么疑问的，这地方没有那么想。
[29:32.780] 好好的，还有啥功能还满意吗？这车辆您觉得还可以吗？
[29:37.650] 我们人就对着这辆车，还有宝马他看好了，行没事您对比。
[29:45.000] 功能上其实都差不多，像盲点辅助车道保持都比较全的了，像两棵电线它都有畸形，
[29:51.510] 还有试驾车带您试驾一下，你感受一下什么？
[29:55.070] 这种型号后面有
[29:57.250] 煤炭加上那不成必须得有完整了，完了或者连就上午下午去店，或者你忙着看一下手一下也行，
[30:05.250] 晚上干什么没用，我给你天你开着不行，这水再加上我离开，那算了，我开过来我开了，
[30:11.740] 或者名字您上午下午几点方便变成
[30:15.160] 我们一看好了，咱们俩都商量好了，行，这地方就决定明白了，成长咱们这边我来
[30:21.370] 我先找个电脑在给查一下库存。
[30:41.630] 大哥您坐。
[30:43.490] 理论谁知妈房屋屋里抽烟，我不用查。
[30:51.890] 没错。
[30:54.820] 你不告诉滴什么价格怎么样。
[30:58.360] 我是这样，因为我天天卖这个车，所以说多少钱我大概有谱，
[31:03.490] 喜欢价格nana，但是这个板离我们领导来拍，但是你要说今天咱定不下来，我确实不好问他，
[31:13.790] 但是正常的话比我着我的权限是比指导价贵了5万块钱，
[31:19.210] 我们领导比我多不了万八千的，因为现在这个东西也很透明，
[31:23.680] 您可以对比一下送假的，能给您算一下多少钱，
[31:30.160] 然后您看一下好吧？
[31:32.960] 我们肯定是要
[31:35.300] 没问题，对不对？
[31:38.420] 这都是再加上提前看好，你要比较一下就写对。
[31:55.240] 如果您上北京牌，正常我们的权限是1,318,000，
[31:59.630] 五一找名导便宜点便宜点万八千的，也就是这样。
[32:03.810] 也得138差不多。
[32:07.320] 但是这个东西还得看看领导，因为他要看
[32:10.250] 当时的库存情况，包括任务的完成情况有
[32:13.560] 号现在的话就这一台黑车棕的，
[32:18.130] 然后当然后续也有了，现在就这一台相机EOS多少时间，
[32:24.370] 如果比较近的计划应该有越来越能到。
[32:29.920] 差不多。
[32:31.290] 因为焦S你买过知道像这种SUV百十来万的，
[32:35.500] 哪个店都不会有太多的车，
[32:37.950] 甚至很多小的经销商压根就没车，
[32:40.760] 甚至他没有授权。
[32:44.630] 反正没事您考虑。
[32:46.400] 有什么情况到时可以随时电话里我电话了。
[32:49.720] 我知道叫我媳妇看那车就行，他看看给他看一眼，你看我看着了他们干啥。
[32:55.240] 您对比一下我这歌不行，但是你要说要买你原来开的修，
[33:01.110] 可能现在您还是说SUV和对，然后换句话说太不习惯。
[33:05.520] 天气
[33:06.480] 宝马了的卓玛DJ。
[33:08.680] 宝马我知道，那哪边女装那边有京宝行，在这里这也没事没有了，这没有，这就是保时捷，您得看我们集团保时捷。
[33:17.310] 宝马您就苞米方新保房也是老店了10多年了，
[33:23.360] 那块车型全就是现在因为小弟可能漆器长期没有第一个给我们
[33:30.440] 闵庄路有一京宝行，我不知道您知不知道。
[33:34.810] 闵庄路我知道，对，那边是一个老店，他们那边推行全叉7好多小店没有。
[33:41.620] 你去看看去，对，后来我们园区的保洁。
[33:46.720] 那边的对。
[33:48.640] 王总这位百各地也都我们集团。
[33:52.800] 戒没事，您告诉。
[33:55.510] 反正有什么车行，二两名演员。
[33:57.960] 还是这样，我上
[34:00.580] 洛阳我见过这么高，谢谢中有点像还算好。
[34:05.680] 一会咱走的时候在老师那边想的天天扫二维码，每天都
[34:10.620] 是吧？
[34:11.830] 好勒。
[34:12.960] 您设定好了，要这喝酒的话，当时您给我打电话，我再给您看看，一会回来给你查一下。
[34:18.710] 行行有我给了。
[34:21.830] 在哪上班了？
[34:23.670] 户口前台，每个店前台都有，对。
[34:27.960] 走得时候早，提前走的话15分钟离场了，好了，
[34:32.170] 咱就执行前面我门口就行了。
[34:34.860] 好了歌。
[34:35.890] 然后明天我们这边需要给您做一个回访，您看什么时候方便？
[34:39.650] 刚不到一两分钟好吧，回家回去来赶紧来电回去。
[35:28.790] 有事没事吗？
[35:30.020] 没事赶紧来，你别让等我觉得
[35:39.030] 可能发生
[35:40.820] 店
[35:45.200] 的
[35:46.960] 肯定。
[35:48.810] 我让他明天后天。
[35:52.690] 一样620一个没事，它是确定是11,000还是12,000，然后问问
[36:01.190] 验车的事你给落实好了，告诉清楚吧？
[36:05.940] 电车多少钱行不行？行。
[36:08.130] 杨子林来杨经理验车多少钱？一共有405首。
[36:14.280] 你别回头让你欠钱不合适，
[36:16.910] 我得吃饭他妈了逼我给他把钱要过来，他还不还不知我怎么了，行，那就是
[36:23.090] 车12,000，然后400块钱验交钱是不是？
[36:26.920] 我们先问问这到底
[36:29.990] 2000万什么？
[36:33.530] 耗时一。
[37:04.680] 五
[37:07.110] 3点。
[37:54.040] 五
[37:55.570] 谁知
[38:00.790] 三
[38:06.870] 这边
[38:09.380] 最近
[38:11.250] 谁知
[38:16.050] 然后后面
[38:18.250] 有人问你，
[38:20.370] 外地的什么？
[38:25.950] 快递还有
[38:27.220] 的。
[38:32.060] 没事。
[38:34.840] 是吧？另外一块。
[38:46.030] 的
[38:52.490] 一
[39:00.080] 三
[39:05.020] 的
[39:21.270] 中
[39:23.040] 中订单，然后
[39:32.850] 能卖太狠了。
[39:37.890] 行这边张条。
[39:41.610] 知道，然后肯定能卖。
[39:45.380] 肯定。
[39:46.830] 拜拜。
[39:49.450] 我就拿去了。
[39:51.980] 好没事伸脚拿过来了拿给他了，他说他拿回去完了你来拿。
[39:58.240] 这个都一样。
[40:10.830] 40 17。
[40:12.620] 24。
[41:05.260] 妈妈
[41:32.150] OK你下下。
[41:34.310] 花了没有？
[41:36.850] 怎么了？
[41:38.490] 还快吗？
[41:39.600] 我早上找张经理去了，
[41:42.290] 这货说没报备把我听回来了，
[41:46.060] 然后紧接着你这又报废了，
[41:51.150] 我到了我现在往
[41:59.220] 刚刚开始。
[42:00.690] 对，有事你就先忙去，然后没事你回来等着，但是他得下午这。
[42:06.320] 让你感觉到
[42:12.320] 我这会能够放台车给他生出来，
[42:16.000] 我们应该有一个大老师被打开，
[42:18.770] 就我在网上找到，马上拉开车门，
[42:26.030] 那叫车。
[42:26.880] 哥哥要吊销，每次吊车下来还是很费劲。
[42:30.480] 上到这里
[42:49.010] 的好吧？
[42:50.210] 5
[42:51.910] 放有帮助，
[42:54.190] 用户
[42:56.120] 要从最早之前我们在这住着。
[42:58.710] 对，然后他也不住，你的客户没看我在这边做，
[43:02.510] 是吧？对不对了？
