[00:00.000] 客户这边和杨很高兴为您服务，有什么能帮到您呢？
[09:09.910] 所以说它二手车的价格肯定不会说阿姨下跌10万，不会，比如你买个宝马，您出门开买二手车绝对就直接跌了，不能说对吧？跌吧1/3的爹这是肯定的。
[09:20.350] 奔驰GLC跟E这两款车是非常保值的，您不管是从汽车之家还是看哪个车，它的二手车跟新车的价格不会差除以多少，肯定不会跌10万。
[09:29.650] 甭管他是除非说他是10年以上的车，特别车况特别次的那种，他会稍微便宜一点。
[09:35.780] 所以您不用担心，咱们这边拍卖车，我刚才帮您看了一下，有260的一款
[09:42.300] 豪华。
[09:43.670] 俺家。
[09:44.450] 又比您现在配置更高一点的，他裸车指导价是42，
[09:47.780] 差不多优惠也是五六五六万块钱，然后车况就是非常好的，
[09:53.100] 它比新车肯定要更便宜下来，而且您购置税跟保险也能到店谈，肯定是比新车要上的少的。
[10:00.880] 这样也不要喝了吗？
[10:02.680] 了。
[10:03.880] 对。
[10:05.220] 对，然后您琢磨有没有必要考虑一下拍卖车，因为拍卖车咱们家一共就19台，
[10:10.350] 如果你要近期过来的话，可以先调先选一下，因为目前我看有黑色的，有白色的，
[10:16.180] 然后还有太阳，有北极白、钻石白。
[10:19.750] I. 
[10:20.280] 然后还有一个SE43S300的这种AMD，车型，他可能稍微价格高1.五六十万了，咱们就不考虑了，您就考虑普通的性价比肯定会比新车更高一点。
[10:36.050] 没问题，然后我先把我的电话发给您，要是有什么质量问题不懂的您再联系我就行，您贵姓先生？
[10:42.530] 喂牙雕。
[10:44.360] 赵先生您好，我叫侯阳，然后我把我的电话发你手机上了，近期要过来看车，您随时给我打电话好吗？
[10:51.440] 行。
[10:52.470] 行，期待您的光临，赵先生不客气。
[10:55.770] 高兴为您服务，祝您生活愉快，再见。
[10:57.900] 您好是那样我知道吗？你知道就没饭吃，人家当了也怪我，我跟你说
[11:08.070] 晚上我带你吃饭了吗？报一下。
[11:16.170] 那个时间点用手没事都检查。
[11:20.400] 好的。
[11:22.320] 师兄刚有快捷的是什么客户？
