[00:00.000] 您的行驶本身份证
[04:31.410] 有没开过来就不想。
[04:35.410] 你看这两天有没
[04:40.210] 可能下个雨衣暴晒两天。
[04:42.400] 他可能接着他就那什么了，他又想了，
[04:55.560] 到时我们开始再听一听，看能不能听出来。
[04:58.860] 但如果要能有声音还好一点，本来我说那有一次前两次想了，我说给老婆赶紧录，咱录像一下，录下也不一定听出来，我录完了到时候这听完了之后，
[05:11.170] 你感觉是哪个轮的又不小了？
[05:13.730] 因为我们要确认肯定是对右后轮下，
[05:19.190] 后来激动要不讲，但是A级车新款车真的还没约，你要说GSE还真挺多的，是我是吧？贴吧查了TRC挺多的，要说小是有相关的维修方案，这款车。
[05:32.910] 你不确定是
[05:38.540] 大概多长时间？
[05:39.470] 现在几点了？现在10:30 11:30 12:30，我估计怎么着也得着1:00左右的有点多了。
[05:48.000] 也早点。
[05:49.820] 这就一个手板，做个手板给你洗个车加玻璃水全车都检查一下。
[05:55.390] 对还行。
[06:02.970] 补贴叶子。
[06:04.180] 有小小优酷杠也行，我看到。
[06:09.160] 这底下蹭了点，
[06:11.600] 这蹭一个。
[06:14.370] 不是很严重吗？
[06:15.740] 应该是的。
[06:16.880] 不知道。
[06:17.640] 对，这个颜色还不明显。
[06:20.110] 你技师
[06:22.240] 这没有就把啥全翻了的。
[06:34.670] 行，咱里边听。
[06:43.960] 一点问题没有。
[06:45.220] 仓库还行，挺省油的，这小车一开。
[06:49.520] 我不看我老婆上下班。
[06:52.160] 这不是
[06:53.390] 去年买了之后开才开了7000多了。
[06:58.110] 这小小半
[06:59.390] 就到咱这边往北那中展现了
[07:03.810] 您的手机号。
[07:09.250] 你这车买车时有没有办保险卡或者送保养之类的？
[07:14.610] 我又花了几千块钱。
[07:18.060] 这么快，不那报有什么后续的，那是延保延长，保修期是那个玩意不是我一查一下。
[07:26.470] 你查一下我不知道我查一查。
[07:30.750] 因为奔驰的法院。
[07:33.200] 期是三年。
[07:36.520] 到
[07:41.990] 场
[07:54.040] 下午
[08:00.090] 数据
[08:01.800] 坏
[08:06.160] 要
[08:09.940] 的。
[08:14.500] 场
[08:23.040] 的
[08:28.700] 数据。
[08:33.660] 的
[08:37.080] 坏。
[08:40.550] 场
[08:44.000] 数据
[08:45.830] 数据。
[08:46.560] 一
[08:48.920] 您说是您双手分析的话，现在就像一个产品喷，
[08:55.810] 让您交1500过日子，15天之后过来分析，他给你2500现金返还。
[09:01.470] 不浪费。
[09:03.240] 这个盒子买夜用哪个店卖的应该是
[09:08.850] 对着电脑，
[09:14.410] man赚的。
[09:20.450] 不要光了应该？
[09:24.210] 小麦看看，右看看。
[09:32.870] 是不是了？他不是为了明确它是放到全国，他没有知道全国他
[09:39.890] 员工可以，比如说它关门了之后，
[09:42.920] 旅游上市开放，
[09:44.830] 好，还是说要关押，我一直没开，你这样不用查了，是没有保养的，古墓里头没有龅牙，现在你这个车型现在7月份也有一个活动，两次A保两次壁把plus，
[10:00.280] 还有两次空调滤芯，还有你4万公里更换火花塞，
[10:03.820] 这一个大头它相当于5200跟5284就是4次保养的，
[10:08.440] 4万公里保养。
[10:11.650] 里面含了两次A两次BA是1500IAE是1000 1000多一点比较多，B事。
[10:21.040] 一般我给你看看
[10:23.330] 我怎么算？
[10:29.000] 退出了
[10:31.030] 百
[10:32.660] 多少？
[10:33.880] 4500.4200多总共。
[10:38.280] 我们交已经说过了，我先不用下下。
[10:43.990] 宝马是4500，
[10:46.010] bc结果一个弼马温。
[10:51.220] 你用不了那么多玩玩，你看这5
[10:55.160] 不是插就在那哪，就是我们家山姆旁边。
[11:02.920] 看一下。
[11:06.070] 场。
[11:08.750] 场
[11:10.200] 场
[11:12.880] 场
[11:17.120] 2万元。
[11:19.890] 1500 1506，
[11:22.740] 空调绿色300多，
[11:26.660] 哗塞900多。
[11:28.660] 保养都包含啥？B保养、机油机滤、空滤、
[11:32.000] 低保，你看这图片，
[11:34.910] 机油滤芯还有一个空气滤芯儿，
[11:37.990] 谁知公司
[11:43.520] 行行你给高远打个电话，
[11:48.030] 让他过来试车，
[11:50.490] 完了你就每次省事了，保养正常保养这些全有了，比如说咱
[11:57.720] 像玻璃所这里头不含交额外花个钱，比如说你刮片不行了，光雨刮片再额外花钱，比如说当时可能要洗喷油嘴，节气门，
[12:06.750] 这些东西不是每次都做的，一般三四万公里建议做一次，到那时要做的话再花额外的冰箱正常保养，没有了就
[12:14.200] 刹车油到两年要换刹车油，
[12:16.610] 这都是两年两年事再说，这是在里边，他不再的不再那么
[12:21.900] 在里头这还有图片吗？
[12:23.570] 这都是每次都做的项目都在。
[12:27.000] 我要30~4万公里要换，所以它包括了
[12:31.390] 等于是4次还钱肯定是一次。
[12:36.620] 怎么得审一次保养？
[12:38.720] 行。
[12:39.540] 完了。
[12:40.880] 还要因为你定期房也是要做的，
[12:45.960] 明白。
[12:52.170] 好了，应该找个车位停下介绍了一下这个阶段。
[13:00.560] 行4年4000块钱，最后
[13:07.960] 对我坏了。
[13:12.050] 不过别人要是想跟他说，
[13:22.520] 这次就1000 1500。
[13:24.680] 好，我知道你打电话了，稍等一下。
[13:35.820] 的
[13:41.250] 特别
[13:44.650] 谁知。
[13:47.280] 哇塞
[13:50.140] 坏
[13:54.840] 花
[13:56.950] 坏数据。
[14:00.360] 场
[14:01.500] 的
[14:05.100] 花花
[14:12.780] 的
[14:14.240] 数据。
[14:26.060] 三
[14:35.440] 行远。
[14:40.300] 到。
[14:43.160] 没啥关系？
[14:47.220] 的
[14:59.950] 场。
[15:08.720] 经
[15:14.190] 好的。
[15:15.460] 您过来。
[15:23.300] 那两个人开车习惯不一样吗？跟习惯没关系，我看得多，他一般不。
[15:28.770] 哥不是那种
[15:30.610] 半天让他们在那车慢速的时候，刹车钳跟沙盘的这圈有可能特别没有车位了。
[15:38.150] 没有征兆，刚才我的师傅咱们这边。
[15:41.540] 一个车位都没有了。
[15:49.190] 一到都行。
[15:49.900] 你别门了。
[15:54.730] 又不套上了，没事儿了。
[15:58.380] 这是我们汽车。
[16:03.680] 这感觉好亏气。
[16:06.340] 咱们这车配汽车
[16:09.500] 可能
[16:10.840] 一点。
[17:28.200] 每次倒车都讲怎么到你这就不想了呢？
[17:31.100] 他现在不了，现在我就哆嗦了。
[17:34.190] 真的，而且想得特别大声，连我同事都说我这车怎么那么想。
[17:38.790] 一般都是凉车的时候，比如说你上一下班马上下班再开车是吧？对。
[17:43.080] 你可能你看着就热了。
[17:46.980] 你看这样行吗？你用车吗？现在这两天也不用说，你放着我们俩车都是一下，因为现在车已经都查过两次了，
[17:55.010] 都没查出来。
[17:56.200] 所以刚才拍的时候不想吗？这不空调不想说也没讲没变化。
[18:01.740] 不同有可能热了没问题，您反映的一般都是粮食的时候，可能现在还是有点热，可是我到家了看我都单位到家，然后到家庭的时候也小。
[18:11.080] 按说这段路我已经太热乎了。
[18:15.600] 你到这就不行了，因为他沙水这块。
[18:19.040] 不确定是哪块是啥，别开门了，等会儿不行再试着起来你起来。
[18:35.030] 往前多走走，有人形容就是说像小孩上医院去的，到医院哪都不难受了。
[18:40.750] 我都来了三次了，都不想。
[19:12.120] 有时候
[19:13.120] 我还没。
[19:14.610] 实在不行的话，就是现行的事情放在这，昨天晚上放着，第二天早上我们梁晓在睡，
[19:20.320] 我怀疑热水还不够，粮食可能性大小。
[19:23.290] 这限行是周二限行周一。
[19:26.600] 晚上他下班给哥账，对，可以坐在这边上。
[19:29.280] 我们自己能出声音，我们录完这视频，如果我们确定哪块还好受确定不了我们家可以，反正我感觉因为他有穿，有时候特别想穿透力，感觉就是又透露的
[19:50.900] 怎么办？我刚才跟先生说，我说见你你不周六10周二行行。
[19:57.150] 周二下周一晚上你下班你送过来放到。
[20:00.940] 周二的时候我们再试一试。
[20:03.120] 然后周二你
[20:04.290] 在那什么show，晚上电脑
[20:06.640] 放假了，完了以后二
[20:09.200] 我家几点4:30下班，我加了8:00 8:00我给你送来，我给你开了，或者到时要真要修好了给你送车就行，8点以后给你送到家去都行。
[20:17.010] 不是您今天不能查，保养的时候不能查吗？你都没有现象怎么查？
[20:21.880] 你这现象没有让我们这样，我们怀疑只是说的东西都是怀疑，是不是他的问题都
[20:26.660] 都没有证据，也没有实际的一个现象，您说的查查不只能一看常规的看看刹车片薄，对现在一看都是很厚的，没有彩业务只能看看这种，比如说
[20:38.690] 一不到场那来了，
[20:40.680] 什么啥看出来的声音现在也确定。
[20:43.440] 我这动车是不是就是这个毛病？
[20:46.340] 这所有都是毛病就知道了，别去了都直接知道咋弄了，别说不这样对。
[20:51.910] 所以还是像你说不正常的都是这样，正常的就不用查了，这房子是不？
[20:57.480] 这对的，我今天搁着行吗？可以。
[21:00.040] 不用了是吧？不用车。
[21:02.010] 为什么？
[21:03.320] 你上去喝上一星期都没时间，这个是你跟一星期都没查出来，所以你就是周一搁着，我们只是说它能不能试出来。
[21:11.350] 其实周一也不耽误你用车吗？你也用不了。
[21:14.640] 中医我能用，对周二哥。
[21:17.760] 你周日晚上收到了，
[21:20.180] 我上班里边住早点办了。
[21:22.320] 周二的晚上或者你要是如果那一天就能给我查出来是吗？不好说，你上次查一星期，如果说你来桌上放过来还是不想还是没有异议。
[21:34.350] 或者说您就
[21:35.450] 频率特别高的时候，您再换过来也行。
[21:38.060] 办理如果说您桌上放着可能也意义不大，如果不想的话，
[21:41.730] 这行门了，我这天天想到是不想了，
[21:45.880] 谁知
[21:47.320] 吃多了学会了你也路过声音，虽然对我们可能有一点商场，
[21:54.170] 有车我们可能有一点有点参考之类的，
[21:58.080] 怎么办？
[21:58.860] 因为你保养啥我有一个固定时间，你说检查这东西它不是一个固定的时间，
[22:06.450] 我就先给你安排养好吗？
[22:08.560] 行，那套才买。
[22:11.780] 你没听懂我操这什么意思，就省的省钱，你每次保养你打不打，他每次都在着作，你打算做的话你就办一个，你要不打算住，可能今天说了明天我可能我不涨这座来了，或者部长4S店做去了，
[22:24.200] 你这车新车肯定得带电作业，
[22:26.830] 因为你还有质保省多少钱？省1800。
[22:30.300] 到不了那么多。
[22:32.480] 没有那么多，不是2000一个1800多300多滤芯，这加起来就将近2200。
[22:39.500] 这是1500多，两个1500加起来是3000，完了两2000。
[22:45.550] 还有一次花三。
[22:47.460] 4200多。
[22:49.870] 这就7000多块钱了。
[22:53.280] 套餐，现在4次保养的套餐加上两次空调滤芯，加上一次华彩5200
[22:59.080] 应该5200吨，就是你。
[23:01.510] 这次用一次还剩三次，就每次保险直接从电脑里往下减就行了。
[23:05.840] 本来想就是说必须有的项目里面都有了。
[23:14.490] 走咱进屋。
[23:16.720] 不掉这个才开的贝贝纳利的听清楚了。
[23:22.920] 我害怕了。
[23:25.510] 好了，今天这个月办套餐还能送个小孩的一个水杯。
[23:36.730] 如果我办宝马。
[23:38.400] 宝马的有数。
[23:46.910] 可以。
[23:49.100] 来这边行了？
[23:50.930] 不行了。
[23:52.950] 上
[23:54.270] 上。
[23:57.840] 对。
[23:59.250] 行，一会您就过来好吧？她要是准备给大家，谁知
[24:05.410] 行保养也会给你检查，但是他检查都是常规，每次都检查的地方一眼就能看到远，那肯定
[24:12.970] 离开对轮胎给你加气压，对刹车片的厚度，
[24:18.700] 再转转轮子有没有卡到异物这方面检查。
[24:22.830] 瞄一眼就能看到了，卡这一路那好说了。
[24:26.780] 但是这种可能性很
[24:28.760] 很小。
[24:30.320] 下周一人在这。
[24:32.760] 嗟这是干嘛的？
[24:34.660] 早上就跑掉了，后来
[24:36.960] 轮胎后来算出来，对轮胎没报价，轮胎没报价。
[24:41.400] 算还是不算？
[24:43.620] 5500 284÷4。
[24:46.660] 32，你说这样走吧，行，在这么长时间都没开。
[24:58.040] 我就给你办一个
[25:00.490] 先生玻璃所33家麻烦，
[25:06.370] 33加满了就行了。
[25:09.270] 天天想怎么操不想我了。
[25:13.840] 那边啥也没有。
[25:19.980] 或者
[25:28.730] 咱们这仓位没问题。
[25:32.770] 我问你一下，如果查的话，
[25:35.870] 我中午晚上还行车号，我拖上去等一下车就先搁在我这可以。
[25:43.940] 你要真不用这不打算用车，这两天我就放着。
[25:46.590] 我这试试。
[25:47.670] 明天我要能取能去吗这样。
[25:50.880] 这主要是看检察完是什么结果。
[25:53.420] 有没有是畜生？
[25:54.600] 比如说放这两天没事，不是你想用是吧？那你就去走，如果你不想用这个方子，我再多试一试。
[26:00.040] 我们是不是说一直开你车，是我们肯定说
[26:03.180] 放着偶尔去试一下，过一会儿客户师傅有时间再听一下去再开一下，就这样。
[26:08.850] 对。
[26:09.620] 他们不能开你车上外面一直整不出来养生，只能说凭听的声音来判断是哪。
[26:16.550] 他不像说你这个仪表里报一个故障，我用电脑
[26:20.180] 一读这故障码能读出来，这想上电脑里是不报故障的，
[26:24.360] 没带这只能听听觉，完了听听经验来去
[26:28.660] 判断。
[26:43.090] 兄弟
[26:54.990] 视频等的。
[26:58.090] 有对。
[27:03.060] 图片，谁知
[27:06.600] 我照相
[27:08.240] 登录普的轮胎，谁知
[27:14.850] 他只报前面的，
[27:16.740] 只是前面是后面的。
[27:18.830] 是前面的对。
[27:20.340] 给
[27:26.960] 三。
[27:29.120] 不一定换上对他今天没时间，应该是现在知道价格。
[27:35.200] 爆了得在车上查下来了也行，你这茬你不知道有没有过期。
[27:41.150] 报个假去看，他想话再上网查。
[27:50.810] 大概。
[28:03.700] 中午
[28:23.110] 的
[28:50.970] 来
[28:53.730] 简单不用了。
[28:54.880] 不用了没钱了，你没有工作。
[29:07.510] 实在还有一个方法，我一个小建议你要今天能放着，我们发不管听没听到声音，我们把刹车片拆下来，
[29:15.960] 在这个需要时间差，帮你看看有没有异常的，完了能不能重新安装一下再说。
[29:21.850] 看后期还有没有
[29:23.310] 那啥的你说。
[29:27.310] 晚上
[29:29.280] 明天反正我不能保证你修好，但是我说先给
[29:34.400] 试一下，弄完以后你再试观察一下有没有改善，或者有没有
[29:38.840] 给他们拆了打磨一下，或者看看上面用点什么的。
[29:42.810] 行，但如果好了，可能就是我们怀疑对了，如果还没好，到时只能说
[29:48.470] 在是对你们这毛病没必要过去吗？
[29:52.620] 看到车险不行了，
[29:54.570] 这车行不？既然C有分车型，
[29:58.440] 那个词就是被网上说啥都有，我们修车不是看他们来了，
[30:04.590] 远远
[30:11.030] 数据
[30:16.350] 数据坏。
[30:21.530] 你可以打个车，
[30:28.200] 打个票留着，就这个车票能报30块钱，谁知
[30:37.580] 市场
[30:44.270] 2000。
[30:48.240] 两三百多是吧？
[30:51.360] 打仗了
[30:56.550] 的
[30:58.250] 的
[31:00.570] 的。
[31:01.600] 你就出来留着是吧行吗？我要师傅给你弄一下。
[31:11.160] 场、
[31:14.320] 场、
[31:17.530] 场
[31:19.610] 的
[31:27.310] 场。
[31:28.910] 电话、
[31:42.620] 这电话到时电话联系好吗？好。
[31:46.420] 完了吗？汽车是给钱，对现在不用交钱，好，这样就行了，拿着停车就行了。
[31:53.250] 好了，谢谢，明天什么时候我不好说，咱俩打电话打电话行好。
[31:58.770] 6
[32:00.800] 陈先生。
[32:04.590] 你好，上班。
[32:08.840] 上
[32:15.610] 明天
[32:20.440] 明天你下午过来，上午车肯定非常多，每天上午下午
[32:26.650] 下午2点。
[32:28.480] 2:00~2:30你过来找我。
[32:30.680] 后天
[32:33.280] 天天
[32:36.070] 来
[32:44.760] 的
[32:47.250] 数据
[32:49.290] 数据
[32:54.080] 场
[32:56.600] 数据
[32:59.520] 的
[33:06.640] 2点
[33:12.390] 五
[33:13.490] 场。
[33:17.710] 马
[33:22.840] 你就过来了不用。
[33:27.670] 差不多。
[33:32.750] 你说。
[33:34.590] 过来你前面那有伤，如果想喷我不知道师傅是怎么跟您沟通的，三交易谁知
[33:47.960] 厂家卖的有多大，但是就有一个15天空置期，
[33:52.200] 就15天之后你再报案修车，行，我问书价还大概是多久才能睡着，没麻烦。
[33:58.970] 好的，您总是要喷那7，
[34:02.990] 除非你说我就无所谓不喷了，你光把俩能弄好，你看放在下午2:00你过来。
[34:09.780] 当天能弄好好吗？
[34:11.140] 也行，你就后天一早来。
[34:16.320] 9点之前到这，就是因为你没征用给您补充一九点钟过来找我这个原因。
[34:22.150] 行，你周围有点不能让我的损失的补偿，
[34:27.780] 只要干净223的，你帮我签字写一个你车牌号。
[34:36.730] 奔驰
[34:38.190] 签名。
[34:47.920] 微信打开直接给你。
[34:50.430] 微信有个收款收款。
[35:02.630] 数据、
[35:08.800] 停车游月大概要1万多一些，我需要给你打一个清单吗？
[35:20.170] 回去好勒。
[35:28.080] 你就不了，上午了然后直接
[35:33.360] 我明白那不好没关系，上网这几天倒没事，我就怕您着急用。
[35:44.480] 好了。
[35:45.840] 行，我给你打一张，你们看看明天。
[35:51.190] 好吧？
[35:53.510] 驾照C给他打电话，给师傅打电话，他说问一下多久能好。
[35:57.880] 点C在思科机场那边放着，
[36:01.100] 没事似的吗？刚才试了以后吃完还有事，吃完了宿舍回去装什么东西了，他说他可能要走，他说他去车间找了一圈没找着车，你打过去一点，
[36:09.190] 问一下不怎么好，回去下班回家
[36:15.150] 要上班了。
[36:24.940] 了。
[36:25.740] 看一看打电话要叫你结账吗？
[36:28.640] 要强化喂不是吧？
[36:32.090] 就刚才那件C客户问一下你是装东西了现在是吗？
[36:35.520] 不是，他说他有事问多长时间能好，他是先办事还是先等你一会？
[36:42.520] 大概多长时间我不行，现场我让他走了就
[36:48.440] 看看。
[36:49.750] 你跟客户说了是吧？
[36:52.060] 行。
[36:53.550] 看客户了。
[36:54.810] 看看客户给这车交了，你得下一个项目
[36:59.870] 来。
[37:00.860] 下一个A宝雅的
[37:04.190] A什么？
[37:06.270] 而且这个是两千几，轮胎2300 2000时候左右。
[37:11.910] 5359。
[37:17.770] 场
[37:34.710] 的。
[37:49.140] 极速达有货是吧？
[37:51.450] 看过。
[37:55.860] 已经截屏了。
[37:59.880] 没有，现在奔驰换机油的房子，
[38:08.330] 次次的卡现在是3600，
[38:11.650] 可以给您办一个
[38:13.480] 换机油这次就可以从中用其他的项目单次会。
[38:18.490] 就看您。
[38:21.300] 行。我先给你算。
[38:26.760] 谁知
[38:30.680] 不是在车友不同的办法，因为每个车都用油量
[38:37.430] 不一样的。
[38:39.010] 1万公里或者一年
[38:47.250] 你好，石女士，百得利奔驰店的咱的车保养好了，也洗完车了，你过来好吗？
[38:54.230] 好，再见。
[38:56.160] 稍等一下我刚通知。
[38:59.430] 一个客户取车，你坐着等我一下好吗？
[39:02.370] 谁知
[39:07.590] 这个是
[39:17.090] 我给这车交完就回来给你办手续。
[39:22.790] 车牌号是多少吧？
[39:24.440] 二
[39:29.530] 做一个出版权的检查。
[39:32.300] 行，你坐着等就行了。
[39:34.220] 也。
[39:35.720] 我高三每次公里就晃预计三小时。
[39:41.150] 我不知道没看到黄色。
[39:48.620] 你好。
[39:55.030] 对。
[39:57.180] 号
[40:03.220] 对
[40:05.980] go
[40:09.680] 前期
[40:11.760] 了。
[40:16.790] 手脚
[40:21.380] 对
[40:25.120] 户口。
[40:26.240] 户口得很
[40:35.050] 能进去。
[40:36.250] 都办完。
[40:44.620] 没有直接就到办数学，我房子都在前期。
[40:49.320] 老大。
[40:51.540] 我老大我家带孩子各二小上学，不跟小小上4小时，
[40:56.450] 就在一个学校。
[40:57.900] 我怎么接送？
[40:59.280] 场。
[41:06.880] 你跟我媳妇联系，我告诉你电话你给他打电话的。
[41:14.510] 七
[41:16.600] 120116。
[41:23.630] 116。
[41:29.730] 高。
[41:31.130] 跟他说我没在家现在
[41:36.610] 把
[41:38.290] 了。
[41:42.680] 客户来没？
[41:45.850] 来，然后来了等一下交给女士想了，
[41:50.120] 我来了我代理记账，我去办这一说去。
[41:56.230] 我跟您去办您车，
[41:59.060] 给你开车就完事了，这次作为网下次
[42:04.930] 正好
[42:05.920] 第4次
[42:08.770] 给我这车推送过来，刚才给我一份。
[42:13.160] 但没推送过来没有我知道。
[42:17.560] 还有不对？
[42:20.960] 第298889，对好好，后来有了。
[42:32.390] 那边。
[42:36.940] 老师用一下。
[42:42.090] 得快走吧。
[42:43.240] 不开走一会师傅过来开，
[42:46.640] 一会我要用。
[42:52.130] 对着开到一会开了对车间里检查，
[43:15.190] 我说
[43:16.440] 一下的这边什么一直我换了手机了，我就没装上。
[43:20.180] 一会能帮忙。
[43:22.240] 行没问题。
[43:23.660] 或者一会你可以到销售部让他给你装一下，测试一下功能是否正常的销售这边。
[43:29.910] 对前面卖车这块卖车有交涉员，他们那块有一个码就扫，完了你就重新下去了。
[43:36.470] 完了用户名你忘了问他，他那块有一个原始的。
[43:40.040] 对他那有你当时买车他留原始的了，想。
[43:43.280] 通常
[43:45.280] 你看看能不能搞，
[43:47.650] 可以通过
[43:49.960] 行，我这到2万还有在保养或者到一年的时候，保险刚满年保养正常保养都到基地的，
[43:59.490] 8月份又到了这一次给你做一个检查，看有没有什么问题。
[44:06.200] 比如说你现在发现问题的话，现在可以给你还没过访的可以免费修。
[44:11.550] 现在自己就觉得。
[44:13.070] 倒车的时候。
[44:14.590] 问这就是踩着刹车减速，慢慢倒车的时候有思想，
[44:19.810] 应该是刹车片就保不了了，那张照片
[44:23.780] 保修期已经过了。
[44:25.410] 上边对刹车盘刹车片的话GRC是2万公里，其他车型都1万公里，不两年。
[44:31.810] 两两对。
[44:34.490] 多踩刹车磨一下，只能。
[44:36.880] 它是有人跟我说是可能是到了最硬的那一段点，对应点过了那点就好。
[44:47.000] 杀死
[44:48.820] 这种可能性也有，但是很小，沙子没劲变得薄，看从这一块你后面还挺厚的，看到这么厚，
[44:57.290] 这里面我手指那是刹车片，前面的应该更后前面的狠劲用的
[45:03.360] 是有点对的，对着看着里面
[45:07.020] 这么厚看到吗？靠这盘这里面对前面的估计能用个5万6万公里才换一次。
[45:13.880] 对，起码好几年以后才能换一次。
[45:16.860] 最里头的那一次，对。
[45:20.610] 您一踩刹车的时候，刹车片这个盘是转动的，它夹住这排队，
[45:50.640] 检测能给附带的自己驾车吗？
[45:52.560] 会帮你洗的。
[45:53.830] 检测完都可以刷下车。
[46:08.110] 你这车有办理延保吗？
[46:10.780] 没办，跟你说过吗？
[46:14.050] 因为话
[46:15.470] 保修期要一过，一旦过一天以后你想上就上不了了。
[46:20.480] 他的保的话就可以把你这4年或者第5年岩上有问题，他还是
[46:26.080] 有问题还是给你保修也
[46:27.940] 可以，它有个交一个延保费相当于。
[46:33.640] 你看一下您警察拿着，
[46:54.980] 有东西是要去拿。
[46:57.360] 先走了。
[47:01.670] 检查
[47:45.750] 楼上还有吗？
[47:47.310] 有的。
[47:58.160] 你这是这样，现在
[48:00.350] 刚才我跟你说，
[48:02.830] 原厂整车延保，整车延保就是所有的整车全包括了，这是6200多一年，
[48:09.120] 两年就是12,000多了。
[48:12.630] 如果是核心部件，但是仅限于就是今天做这个
[48:17.260] PW12就出保前检测的车辆，
[48:20.050] 这是三千零 3000块钱，
[48:22.870] 这是保证核心部件。
[48:25.160] 核心部件是啥？发动机正
[48:27.560] 这车的最主要的部件，
[48:29.420] 这方面的就是3000块钱。
[48:33.150] 你可以考虑一下好吗？
[48:35.490] 这延保的话是
[48:37.860] 走的保险公司的吗？不是保险公司，这跟迟到跟保险是没关系的，房地产是有意外，那是保险公司。
[48:44.810] 得这是车有故障。
[48:46.320] 我给你打个比方，就是说你发动机比如说哪些发动机里边有灯亮了，但是灯一检测是发动机上某一个部件坏了，换了部件是不用花钱的，
[48:55.220] 包括什么发动机的什么
[48:58.990] 脚垫，
[49:02.090] 他们的软件，
[49:03.460] 发动机的脚上都有支撑的，像交通是吧？
[49:07.340] 还包括他对
[49:10.660] 发生发动机和环境部件，发动机和发动机，变速箱前后墙。
[49:16.080] 对，整车的整车就全包括了。
[49:22.660] 掉下去所有零件包括除了一只片，意思就是轮胎刹车片这是磨损件，不管
[49:28.650] 还有漆面，网络还有内饰，比如皮的坏了，这种我剩下故障的都搞过来，不管是
[49:35.850] 对，比如说打个比方你关系不动了，
[49:39.200] 电梯坏了，放电梯换算了，胶条不算，对，因为他是一个保养意见不算。
[49:45.450] 比如说
[49:47.330] 因为现在有活动一般会在
[49:49.790] 你可以坐着坐你坐一下，我给你大概
[49:54.280] 多少万公里，一般的话公里数的话一般
[49:58.560] 怎么来三四三四万公里以后有点小问题之类的。
[50:03.200] 玩了年数也得三年以后，因为三年之内向您费用比较少，1万多公里根本没怎么用，它一般不会出什么。
[50:10.470] 整体也没开，对不不好意思打断你。
[50:14.260] 他就一共2200多家，没有别的钱吗？没有，对2285，就这个费用没有其他费用。
[50:21.740] 好安排工作了，送车是卖给他了，
[50:27.770] 所以你像您开的比较少，
[50:30.740] 核心部件还是比较合适的，因为它是车上最主要的包装这些，比如说
[50:37.540] 所有的电脑模块，
[50:38.850] 还有一些开关，比如座椅的开关留一下座椅调不了了，这开关坏了，咱们使用
[50:44.830] 这套
[50:45.720] 你可以考虑一下对这种情况，你到时候就是上车时候，
[50:50.000] 你再跟我说那些看了一下，
[50:52.160] 你可以照个相也不可能对不对？
[50:53.820] 花了3年6个工放工时也
[50:59.560] 那个的东西要研究得在短期内沿着沿着你现在没吃饭不可能
[51:06.950] 出版的眼部
[51:13.070] 的
[51:15.220] 干不完中午什么优惠，这都是给厂家的钱，不是给我们的，
[51:20.340] 我们只是一个代收，完了会送一个礼品，
[51:23.520] 有奔驰像香水、雨伞、水杯一样可以选一样，
[51:28.540] 凭着这傍晚背着一个账单，到现在可以选一样礼品，现在也是这样，别的没有，不管我办一年还是两年的都是一样的，
[51:38.430] 选择这两年了，但这两年可以申请一个梨，申请一个保养，
[51:43.830] 但是没有礼品，要一年的话可以申请一个礼品，
