[00:00.170] 开始接车开去接车，
[08:36.010] 我说一句你杀的骗得单花钱，
[08:39.350] 刹车片是你保养卡之外的一个东西，
[08:42.900] 对这1000多块钱三对你单出就行了，对你不用管你只付这个钱就行了。
[08:49.910] 这就属于不让属于做保养的用对是吧？对是作者一保养是对。
[08:56.130] 都能做试试，这次算一次，
[08:58.510] 一买衣服还是合算的，肯定是划算，刚才那客户是E级车，他花了7000多他都买一个
[09:05.510] 他那2A2B但他那带火花塞，
[09:09.800] 您划财政拿了4万公里换一次，对没问题。
[09:14.410] 您为什么便宜？因为他一是车型对。
[09:20.440] 第二个是您这个车出了三年质保期，
[09:24.130] 他都会
[09:25.730] 降价，
[09:27.140] 等于是每天胶着平台。
[09:30.060] 然后这个车队我给你算一下，你叫我给你加一下。
[09:34.960] 好，如果。
[09:38.160] 谁知。
[09:39.120] 结婚了，围观的我介绍的。
[09:43.250] 我没发生之前，我觉得
[09:47.420] 我是初中8年那个的时候想了以后错过了4569
[09:55.550] 456。
[10:00.970] 行这叫对。
[10:03.090] 完了就是我颂扬的就非常简单和三次保养，还有两次空调风道清洗的，
[10:11.520] 还有4次水箱外部
[10:13.270] 都含在里边了。
[10:14.690] 等这次浦江清洗了，这次把水箱空调风扇就不给你洗了，因为你
[10:21.310] 空调风道咱们用。
[10:22.860] 因为你的空调功能洗空调风道的。
[10:27.840] 他是怎么洗，你可以了解一下，它是你的空调开到最大风开内循环，
[10:34.830] 然后把它放在你的副驾驶脚底下，副驾驶脚底下它有一个风口，
[10:39.590] 它循环从那循环进去的缝，然后把液体它有一个角度
[10:45.330] 全喷到空调风道里头，然后在里面就循环是内它能起到两个作用。
[10:50.580] 我今天现在夏天夏天热，
[10:53.500] 你想洗可以洗，
[10:55.450] 洗哪个节水，我觉得你空调风道你可以留到下一次息，对水箱吗？水箱这次有必要写，因为上次我看你这没有水线，这单这里加一口腔是吧？
[11:08.530] 这样水箱是免拆的，
[11:11.950] 这是免开的，然后有费用的没有，都从卡里扣除了。
[11:16.690] 行。
[11:19.660] 我这边给您做单子，结账的时候会有一份明细单，上面写着里面就是2A2B
[11:26.910] 保养卡包含4次水冷气外部清洗，再加上2次的空调发票信息，
[11:32.290] 都有单子行就算了，我估计2000多差不多以后，明天行咱们就开工。
[11:40.040] 我是你那取的时候付款就行，现在。
[11:43.950] 过去了。
[11:46.010] 刹车片这东西这必须得换。
[11:50.400] 这段时间快两小时，
[11:54.020] 当时也好，
[11:56.220] 只要你来得早，
[11:57.500] 对后山医院估计在那后刹车片您这就无形存在在能开个3万公里都没问题。
[12:06.830] 我这不用着小车，他不费刹车片，基本上
[12:09.420] 这车本身就是跑的也少。
[12:11.640] 现在还年还跑4万，像您这客户您应该也会看到你自己名字可以看一下，对。
[12:19.600] 是其实我们女朋友
[12:23.350] 工厂我就不愿意了。
[12:24.880] 这东西便宜不了多少钱，对，他那东西都是看他在外面都
[12:31.110] 不怕他的东西买不了什么。
[12:33.190] 他们是这样。
[12:34.450] 的他们因为有一些人也主动联系我们。
[12:38.580] 修理厂的，
[12:39.480] 他们联系我们干嘛，他不知道跟客户要多少钱。
[12:42.810] 你知道吗？因为我们这东西有一个价格，他肯定得比我们这低，
[12:48.350] 对吧？他说你们这刹车片多少钱？
[12:51.210] 我说1100，他可能会要客户要900，
[12:54.640] 就这样。
[12:56.470] 他不知道价。
[12:57.730] 特别干那些大活什么的，
[12:59.840] 是我们那哥们他就干局长干
[13:03.130] 多少年10多年，
[13:04.720] 我到我这些
[13:06.690] 因为剐蹭我们都找到了，外观都无所谓。
[13:11.040] 但是保养我觉得还是比较差的。
[13:17.030] 如果我也有奔驰车的话，我也跟你一样，就保养技术保养在这做，对。
[13:22.090] 然后
[13:23.350] 剐蹭蹭什么的。
[13:24.930] 那就在外边。
[13:26.690] 轮胎什么的，
[13:28.520] 如果店里便宜的电力坏也行，如果他们这轮胎是多少？差不多1200左右二。
[13:37.350] 稍等。
[13:41.970] 明天来玩的。
[13:43.000] 行，我们然后5万以上您听力库停室外，以前P我现在搁外边
[13:51.590] 听歌，外面可能会老化快一些它会有裂纹。
[13:57.370] 室内的话它老化速度特别慢。
[14:01.330] 我过一段我就还是哥哥，我们单位在我们家里我看看我约
[14:07.040] 就是那份。
[14:13.330] 您直接签字。
[14:14.680] 载入车这金额您不用看他的金额是您
[14:20.840] 厂家来负责
[14:29.130] 好，您就实际付的就是我刚才跟你说那个费用我给你写上吗？
[14:37.710] 写到
[14:40.220] 的。
[14:49.150] 变频超过3
[14:51.520] 应该也差不多快，完了有点费劲。
[14:58.030] 行这张卡你拿着宝马下次不用拿过来。
[15:04.550] 数据。
[15:10.720] 手
[15:15.270] 数据。
[15:23.310] 在家里面要变好扔掉了。
[15:31.710] 好，您加我一个微信，到时候可以直接联系我。
[15:52.090] 数据
[16:03.930] 的
[16:06.880] 你下车
[16:09.600] 的。
[16:12.410] 好我就安排得好。
[16:25.580] 电脑发电脑。
[16:28.060] 宝洁过去看看。
[16:35.370] 您到前台给您做一下登记的时候，
[16:44.160] 数据。
[16:49.340] 花
[17:01.600] 一下
[17:03.020] 车
[17:06.880] 远场
[17:09.750] 的
[17:21.810] 你好也
[17:24.770] 上。
[17:32.160] 的
[17:34.190] 10月10号。
[17:38.270] 了。
[17:39.760] 的。
