[00:00.310] 您车怎么了？是走保险还是什么这边？
[08:14.120] 车险报案。
[08:14.810] 一次出险6次，
[08:17.950] 有4车，
[08:19.840] 当时拍过照，有一场要按键操作，据说元安全
[08:26.790] 用库，比如。
[08:29.030] 说。
[08:29.480] 返回。
[08:30.580] 谁知。
[08:32.800] 对，第二年可能也没有，如果有的话。
[08:42.290] 开放。
[08:44.310] 转身电业。
[08:46.990] 一般都用移动号。
[08:48.720] 这状态有。
[08:50.080] 的。
[08:55.110] 这照片
[08:56.350] 但是。
[08:57.540] 地方的时候。
[08:58.490] 您好。
[08:59.890] 怎么了？您车险报案。
[09:01.710] 我想。
[09:02.800] 等一下我就。
[09:04.050] 有点刮痕，上5月30号上午行行您自己是哪个保险工作？
[09:11.350] 人走买房特警楼。
[09:13.640] 四角修门走划痕是吧？就是车牌号京P2用花椒称称了，
[09:20.300] 然后还有一点小孩，完了就手机官网弄的，我给你弄好了，在小区里他们停车的
[09:29.290] 50太高给咱们做成谁，这个没有他这两个方面。
[09:34.400] 来。
[09:35.620] 对这块进行是，完了您第二个就是假的S的。
[09:41.790] 对我就是上海因为这边千对吧？今天老讲到的
[09:51.930] 我这是对。
[09:58.820] 今天上午8:30左右我取车时发现车上发生
[10:07.000] 往往是
[10:08.640] 对车上发生滑道上，
[10:12.270] 别人在上面。
[10:18.070] 您这样您把行车本驾驶本身份证
[10:22.710] 了。
[10:24.440] 要。
[10:26.100] 可能没有别的损失。
[10:29.920] 先。
[10:31.700] 驾照的您拿手机打95的话，您保险就行，事还得去拍，是不是？您打电话报告其次我反正就是说。
[10:41.960] 早上起来车被划了就行了。
[10:44.070] 给。
[10:45.590] 打95518那不就行。
[10:48.590] 那么就还挺麻烦，我一想到你们这就了，这方案主要是。
[10:57.750] 他就问我，我就说这小区的还是。
[11:01.140] 对，你就说在楼底下，然后车被划了就行了。
[11:05.180] 195518。
[11:08.630] 95188. 
[11:11.560] 那就完事了。
[11:12.770] 了。
[11:14.010] 完了
[11:15.800] 个人调料。
[11:18.810] 当时也没有一家，谁知。
[11:26.130] 对，您上完大夫特点第一次出险是吧？
[11:28.920] 对，他一年可以给你两次，这次2500下次吃完了过来时间，如果说还有上会再走一次，
[11:36.750] 然后再配合点。
[11:41.730] 车险报案。
[11:44.090] 你好
[11:46.550] 对。
[11:48.010] 好。
[11:50.350] 京N88你好。
[11:53.220] 刚才我的车。
[11:55.250] 被人家划了一下。
[11:57.930] 然后我说我报案了，那就跟保险你说有人已经给您办了，你对已经有人压着我。
[12:06.540] 查了半天监控。
[12:07.920] 我知道谁要用。
[12:09.240] 哥。
[12:10.990] km6856，谢谢。
[12:14.240] 来
[12:16.940] 这样打电话刚给发工资报案了这样
[12:22.040] 了。
[12:23.950] 今天早上
[12:28.160] 今天早现在这样，刚刚8:00 8:00八 8:00 8:30之间，完早上起来出门开车就看见
[12:39.000] 您那个年检掉在车上贴上了是吗？
[12:41.490] 对。
[12:42.270] 年检车辆年检标识新车对可以。
[12:46.220] 剪了是吧？
[12:47.750] 对，四季青旱河路。
[12:52.360] 海淀，然后自己先。
[12:57.280] 不用具体了，就是说外形
[13:03.150] 青春倒没什么损失。
[13:07.370] 有一个。
[13:08.860] 小坑很小就有。
[13:11.670] 他。
[13:13.730] 那里面都看不太清楚。
[13:15.800] 是。
[13:17.430] 的得利百。
[13:21.650] 得力800得利，因为我车是在这保养。
[13:24.530] 咱们辽宁已经确定了，
[13:26.800] 感觉大部分吃8号说高腰18 128。
[13:32.010] 摩的。
[13:34.340] 您先把字签了，好来签字捺印逻辑就行了，对，然后谁知。
[13:41.310] 再看一下。
[13:44.210] 行赚点钱，对是电子的。
[13:49.160] 说好了你给我。
[13:52.820] 就可以了，一会问一下，我说了你分包一会儿我的
[13:58.870] 来了到今天才上班，这肯定签字。
[14:03.640] 太多了，为什么？
[14:06.240] 应该发一个报个号什么之类的，没事，这都能查到，能查到就不用我这个了。
[14:11.910] 那就行。
[14:13.490] 发给你接着行我也得弄机动车交通快来。
[14:22.490] 每年你都应该在客户，那咱俩一块过去，你先把他电脑
[14:27.280] 发给
[14:41.270] 没有，您都应该在这段。
[14:42.960] 我不知道她模式的错开，我给您上了一个提前了几天。
[14:48.890] 他上面领导
[14:54.960] 拿手机角度比赚钱好。
[14:58.800] 效果明白了，现在他跟他说，
[15:03.430] 而且简单地说在这儿看看，
[15:09.360] 2000元钱有的老师
[15:15.540] 钞票一点点看吗？
[15:24.280] 我又写了。
[15:25.900] 不用谢谢，谁知。
[15:29.510] 在咱这张盖一个章。
[15:31.710] 7月
[15:33.310] 2月9号
[15:43.830] 还要家里的
[15:45.930] 你知道对方同时完善一下，
[15:50.970] 但他讲如果是咱们
[15:56.080] 如果说是对方不愿意在咱们这儿的话，正确没错，这个电话了，一会你。
[16:03.590] 行再说。
[16:05.820] 对，没有，三楼都没拿到。
[16:11.330] 他今天。
[16:45.170] 前杠跟左侧两车门。
[16:54.920] 师傅跟您说一下，因为咱走划痕险，就像您这坑咱没法照，这我得给您花几个稻子，咱照滑道上，
[17:01.410] 但是修是整个都给您修了。
[17:07.360] 两门牌前杠，
[17:14.560] 这是葛。
[17:15.560] 对走划痕险。
[17:17.560] 完了。
[17:29.380] 白的不好膜，我回头给你底气照。
[17:36.790] 先照完之后就觉得把车间干了，你这么没事。
[17:40.680] 没事生活回头我给你底下。
[17:42.950] 故也行，我给你留一点底气，照您现在摩根没魔一样。
[17:53.610] 那边D没有，他整根前杠跟整修完。
[17:57.950] 我说的是不是因为您右侧伤势刮蹭的上咱报的八字里面，
[18:04.790] 因为划痕险像您剐蹭是一次性剐蹭那种，他包公司能赔，像因为您这个伤势段子一看不是一次撞击造成的，
[18:13.010] 要不然您就得出两次，这4年出一次险，
[18:38.520] 这下就能
[18:39.240] 都修了，反正您这三个部分都能修了。
[18:42.900] 因为您还只报了一
[18:44.920] 1万，他只能分三块。
[18:47.110] 我都变成我原来
[18:49.550] 代步的。
[18:51.300] 不是代步车显示直接给您返现金，您修车走保险，修车是直接给您钱的。
[18:58.030] 就直接给您现金的，
[18:59.970] 一次给您2500块钱。
[19:02.250] 如果是我要不走保险，你要不走保险，他这2500等于等于说您这逮捕车险就白上了。
[19:09.760] 不，我知道，我觉得保险的话，
[19:12.670] 我对
[19:15.240] 大夫车险只要您跟着走保险修车，他就直接一次给您返2500块钱，我要是
[19:20.920] 不保划痕，您要到车损也能反映2500。
[19:24.230] 反正只要走保险就能给你2000块钱，甭管您走什么险种。
[19:29.730] 因为您这车肯定走房的钱肯定划算，
[19:38.400] 而且您不能一次性说是
[19:40.670] 来一次出两次险，然后一次给您5000，这不行，他是按您进店
[19:45.800] 开单子来算。
[19:48.460] 这点小事要玩新蒙丢了过去，要不然就等您不是还有一次，反正您要是说走的话，
[19:54.400] 能修肯定也能赔。
[19:56.680] 要不然您修完这次过一个星期左右，然后您在修这个也行，在修，这个的话我是不还得不好意思，对，那到时候您只能报搜索了。
[20:06.590] 最后我要是明年
[20:09.830] 我要上保险的话，您说您出两次险应该是两次险应该7个商业险折后7级车，我现在是这样。
[20:16.990] 这得看您当时买保险，他没跟你说商业多少钱查不着，
[20:22.060] 只能说买保险的时候问一下6比那两个提车是吧？您要说现在您出这一次险，您再上保险也是六几，
[20:29.750] 您要再出险就772左右，
[20:32.160] 也
[20:33.830] 现在就是两个门
[20:36.250] 加一条杠，
[20:39.150] 这两门就能放一块，它是一个部位，你要说那一电商
[20:44.300] 都在一个门子上，那没问题。
[20:46.590] 它是按照部位走，就是要
[20:50.680] 我主要是担心
[20:56.540] 这有点生锈，要不然拿白旗点描一下也行，就是稍微点两下这点事好吧，别让着
[21:03.030] 我不怕你就把你说的营销什么的，行行，已经漏铁了，我让他给点白漆。
[21:09.930] 行好的。
[21:11.260] 好了。
[21:12.730] 后边缩料的就没事。
[21:14.720] 现在的更是这样。
[21:17.150] 到了我这个是保险期是从什么时候到什么时候算，比如说我现在我5月份今年5月份算的是到明年5月份，对对象，明年5月份这代步车险是这么算，那您商业险不是。
[21:29.540] 商业险我知道，那是这样的话，我在这个期间内我要明年再上的话，我这个盘这
[21:37.260] 一次出险对吧？
[21:39.830] 因为我这个保险我是到今年的12月，再不车险是5月份，对我
[21:45.800] 这个不就到了明年，谁知后再出去是吧？那也行。
[21:52.670] 就在您再不出险之前，最好是别赶最后一两天，最好赶一个星期之前。
[21:58.050] 5月份之前。
[21:59.840] 没事，主要是那边弄完了，我就可以把这个。
[22:08.470] 您把推按您给我。
[22:13.960] 行，帮留个底七八行刘你记回头我发群里面好吧，正好也给我签。
[22:19.690] 可以这样吗？
[22:21.610] 对没错。
[22:22.340] 好的。
[22:27.280] 像这种能
[22:28.020] 抛一下。
[22:31.260] 行，我让他给您稍微打。
[22:33.280] 你让他怎么要靠，应该能抛下去这块。
[22:36.130] 就帮我来一张。
[22:37.320] 我会不会
[22:46.880] 稍微有点。
[22:50.040] 行，这么着，您稍后不要再倒了。
[22:52.490] 客户来一下。
[22:54.080] 来给您照一下。
[22:55.950] 问一下您野战特边上照一下。
[22:59.810] 行了。
[23:00.890] 行，叔叔您上车我带您去咱保险那边，我给您开单子完事。
[23:13.100] 三跑，然后跟我说差不多半个月左右没解决，然后到现在4S店也在联系，我们通过多现在公里数40,816，
[23:24.270] 248,000 40,810 60公里，说如果您听我们前年汽车天下每周四节目的话，应该是在秋天的时候，我们追过一段，
[23:35.130] 这是一个集体维权案例，就是日产楼兰混动车型的变速箱问题，当时出了什么问题？当时是
[23:42.570] 有一部分可能买的车比您早的一些客户，他的出保之后出现了变速箱的问题，
[23:49.540] 转速上去了，但油电切换的时候可能有点问题，然后转速在动，那车不动，然后有其他方面的一些动力，
[23:57.470] 创宗或者是失去动力的这样一个问题，对切患者出现一些问题，这个问题其实
[24:03.520] 反映给日本，
[24:05.450] 日本都没有办法解决这个问题。
[24:08.620] 对，现在您在保质保期之内，现在比如说20还在质保期之内的话，
[24:14.550] 长城是基于免费更换变速箱总成的。
[24:18.400] 对，谁知到15年不管怎么着都得享受千多，对走保险修车那种公司才能给您钱，不是我们才能给您钱，他这种代步车险实际应该
[24:32.340] 就给您代步车但是咱现在没有代付车费，就直接给您2500块钱，您这2500块钱您怎么处理都随您的，原因您刚刚说情况，前年的节目我们听过，
[24:44.540] 我也有一些开资产过来投票，我见过最多的一台车，5年换了三个表象，我觉得因为这个问题不是格力，所以我是希望变更您修完车之后我会给你一张账单，月您还得拿那张账单月卡给后面，保险不然后您还得拿一张您的身份证跟银行卡，因为他后期这2500元就修完之后，大概几两星期左右
[25:11.280] 应该就能到那银行卡里了，这个状况来说是张律师可以给我们解释一下，虽然它是一个就是说您当时比如说上这个现状时候，他有没有银行卡厂家就
[25:23.110] 对P没有任何的一个研发表示谁知到
[25:28.840] 然后那张银行卡您还给他提供什么，跟哪上的银行的那些集体的哪个开户行基本情况。
[25:38.090] 那么现在整体这个情况，
[25:41.240] 单位
[25:43.840] 您再看看车里还有什么贵重去需要拿。
[25:47.000] 我都拿完了。
[25:48.840] 我问我爸拿着。
[25:51.430] 来你来。
[26:31.010] 第
[26:42.410] 不好说，反正他这是从今年过了一行4月份开始的这活动，
[26:49.380] 但是
[26:52.780] 谁知
[26:54.300] 的操作
[26:55.720] 不是。
[26:58.150] 他这个就指向咱们
[27:00.710] 咱们店买车。
[27:02.070] 这不是咱们店买的，就是咱们电项目保险
[27:06.300] 商业管理。
[27:08.940] 对。
[27:53.850] 人收货。
[28:04.430] 1490多，就是说1500。
[28:10.650] 下。
[28:31.720] 坏
[28:40.520] 三
[28:52.330] 的
[29:16.180] 的
[29:18.090] 三
[29:19.570] 一
[29:26.870] 的
[29:33.690] 的
[29:43.170] 4
[29:48.490] 号
[29:50.120] 月
[29:53.170] 两
[29:54.900] 远
[29:59.530] 的。
[30:03.240] 的
[30:09.400] 钱。
[30:12.870] 还有什么消息？
[30:16.400] 部门
[30:18.010] 来
[30:19.260] 说。
[30:24.540] 还有别的
[30:27.320] 的
[30:31.950] 的
[30:33.370] 的
[30:49.730] 了
[30:50.900] 坏
[32:58.360] 谢谢您签字。
[33:05.210] 感觉
[33:07.990] 快了。
[33:12.230] 行那也行，你这单子写我名就行，好勒。
[34:05.960] 点
[34:09.680] 一
[34:10.790] 场
[34:13.970] 的。
[34:23.320] 二
[34:26.320] 谁知
[34:33.130] 教育
[34:34.680] 谁知
[34:36.390] 的
[34:37.920] 不好，收这个是取车单。
[34:41.880] 将18010210179是我的电话票，我的姓名，
[34:45.440] 咱们可以后期电话沟通，我这边应该是三天左右就完工。
[34:51.940] 今天星期四我估计应该这周六日最晚周日快点周日
[34:56.060] 就能完事。
[34:58.500] 反正我修完了，我通知您看您的时间。
[35:01.640] 如果您今天要带银行卡，您可以一会就去还是他保险那女的办理了，
[35:07.560] 然后您可以直接给他让您到时候忘了。
[35:11.570] 小后记我送进来吗？
[35:13.930] 好请您去那也行，反正最晚在70块钱去那了。
[35:17.700] 后期不用去那
[35:19.340] 了，你要说今天就跟比如说把银行卡什么都给完他的话，要您看一下就没事，那就后期不用再去了，我就在这提完车就可以，对，直接到我这拿车就行
[35:28.750] 了，我直接修完了，我给他一张单子，他自己就到时候两个星期左右打电话，那你
[35:35.520] 还是刚才那女的
[35:37.530] 的医疗，
[35:41.140] 然后当时保险
[35:43.130] 年检标他没给您照，是在那玻璃贴着是吧？就应该在部队不行，我去照个照片给发过去，咱那就行了是吧？
[35:50.090] 对，选好慢点。
[35:53.620] 要您都没有，比如说113上应该能查到这个位置。
[36:45.570] 场
[36:59.510] 小。
[37:03.270] 点。
[37:11.120] 没事。
[37:17.540] 就下手了。
[37:22.560] 哎哟你们了，刚才那车年检标没照没照了吗？我了东西。
[37:30.950] 我发觉保存行行。
[37:34.000] 不如在这儿姐，您把您那张单子您给我就行。
[37:37.800] 就是一个的。
[37:40.080] 咱们理智给你
[37:41.350] 老人啥等等，我刚把先生
[37:47.830] 分给你了。
[37:50.900] 然后您的证件我也用一下，行，这跟您的驾证身份证也行，其中一个就可以。
[37:57.350] 为了分类，
[38:01.070] 我吃饭咱们再
[38:04.360] 差不多。
[38:05.860] 走走快点。
[38:10.660] 好好几次。
[38:12.360] 没事。
[38:13.520] 一上一个就行了吗？
[38:19.030] 又没拿那扇门有山庄感觉到我这没上楼，
[38:22.480] 我就回去拿一下。
[38:28.080] 前面
[38:42.310] 三
[38:45.810] 要。
