[00:00.000] 出去谁知到了
[47:27.410] 申请我觉得都差不多，这个东西公费交互加36,500，装饰15,800，就刚才有贴膜脚垫后备箱垫什么距离，
[47:36.820] 这个要不能不要可以去申请，也可以弄。
[47:42.630] 电视上面又垫了一条龙是2500，保险预计来算是14,000左右险种您自个来定。
[47:48.930] 我按我这初步给您收钥匙，上牌的话不用你们上面字数上也可以，您自己上牌就要交一个1万的上牌押金，
[47:57.490] 什么上完牌把手续给我们，我们把这钱给您退了。
[48:02.200] 您就对就怕您放外地房，对。
[48:06.280] 交易1万的押金，那就不收取费用，对，这不是其他内容，没有什么出库费，还有都是卖
[48:15.200] 全麦加我们这方案是48万，
[48:19.450] 如果您想要到2万25,000左右，这更高的优惠可能也得满足一些要求是吧？
[48:25.840] 更多裸车就可以到这个钱估计难一点。
[48:30.060] 行。
[48:31.230] 好好行。
[48:32.720] 就看你具体什么时候定，到时候定好了，您那边不跟这儿也约好了，也得对你跟他约好让那也聊一下子，也别着急定，因为离这儿近，
[48:42.900] 基本上价格他们能做的我们也都能做，但是最好您来能拿下东西，比如挂单什么来我
[48:49.350] 好，从老板就说了。
[48:51.030] 了。
[48:51.810] 我们都是也。
[48:52.430] 有活动的时候，我们主要优势就是离我近点，在商家面前。
[48:56.870] 我们周日也有活动，包括一些车架的冲动保养赠送都会有。
[49:02.790] 您是跟他约束周六周日就是他有一个深度时间，申通之下尽管拍到的是吧？再要一个星期睡觉。
[49:11.560] 焦点上，如果他那早了，您再回来我们再聊了，你要确定好那天想给定下来，
[49:18.510] 下午的结果
[49:19.880] 了，59263我们拿了您可以发个照片，因为咱们报价单子当日有效，然后下边也有这二维码，到底还是330服务应该在线调研，
[49:32.840] 就存在这个情况，销售全部都是
[49:38.340] 你别把我吗？
[49:41.290] 谢谢没事过去，然后价格这没有疑问了，没有，今天主要进到车的顾虑就是客厅那边来进行。
[49:50.950] 明天也会给您回访，一般是上午方便还是下午方便？
[49:54.550] 行行，电话短信都能联系。
[49:57.020] 就明天下午
[49:59.880] 分的容易打通。
[50:01.060] 开车来的吗？
[50:02.440] 早就停车。
[50:03.910] 对。
[50:04.880] 免费停车三个小时，
[50:06.380] 要命出牙的时候，
[50:18.850] 你得先注册一下。
[50:25.070] 来过去。
[50:25.960] 来就行了，他今天
[50:28.720] 手机号验证，
[50:54.640] 让苏宁出来好就可以。
[50:58.630] 最好大写。
[51:00.460] 对。
[51:07.920] 然后下边
[51:10.550] 行，当着外边去了就排班了。
[51:13.250] 好的，打扰您赶紧来吧。
[51:16.440] 发表。
[51:27.470] 这正常吗？
[55:32.610] 来拿一下杯子
[55:35.230] 的
[55:38.310] 单调
[55:40.240] 了。
[55:41.230] 你客户吗？
[56:10.650] 都是你的客户。
[56:12.470] 这都是你的客户，
[56:20.770] 他的打广告，
[56:25.080] 你们电话费给报销吗？
[56:27.920] 给你报。
[56:29.680] 不然你上交就不错了。
[56:31.710] 了，好行。
[56:41.290] 为什么不听女士什么？
[56:44.610] 的我都上了。
