[00:00.000] 先生您是打过电话预约过。
[08:13.560] 有前雷达是有的是吧？
[08:15.760] 行，我们的雷达是前6后6一共12颗，雷达探测范围是360度的，
[08:21.060] 通过它的实现奔驰第三代模特的功能。
[08:24.230] 这种模式对我来说太
[08:32.390] 因为这自动泊车还是比较好用的，而且我们是全系标配。
[08:36.320] 浅色的类似的话是白色还是黑色？
[08:42.010] 米色。
[08:42.530] 就跟交易一样的。
[08:46.230] 对差不多。
[08:49.920] 对黑历史。
[08:58.450] 不用私家车，如果车型没什么可了解的，可以带您试驾。
[09:01.830] 260 300我们都有私家车。
[09:04.230] 这样。
[09:07.000] 试驾过膜之间。
[09:12.540] 我带您做拍一圈感受一下。
[09:15.310] 有4家过吗之前？
[09:16.870] 有试驾过。
[09:20.740] 是的也是260。
[09:24.800] 行，回头上撕下大约
[09:27.010] 给您算一个报价，那行，咱们找个地儿没上报。
[09:36.040] 场、
[09:42.720] 的。
[09:46.260] 这边起床，
[09:48.140] 咱们
[09:52.660] 数据
[09:53.930] 坏。
[10:00.510] 数据。
[11:36.880] 产业园
[11:38.360] 提供资料
[11:40.950] 看
[11:41.760] 产业。
[11:49.520] 号
[11:56.960] 像您刚刚说的定柏林是肯定要订这种订的周期一般会有多久？
[12:03.200] 不好说，两三月都有可能，三四个月、四五个月、五六个月、七八个月都有可能。
[12:09.570] 厂家有自己的生产计划，咱们要是个性化订个性化订车的话，得往里边的计划里边加车，
[12:16.150] 看厂家接不接受，其实奔驰现在不接受个性化定制订单，根本就
[12:20.600] 如果不是那种个性化定制，但是你们刚好又缺了颜色或者怎么着，这种定制用来也并不重要，就是话可加分。
[12:29.870] 一般颜色还是相对来说比较齐的，对你能看到颜色基本都
[12:36.360] 我们店还比较大的，彩色动态比较多，一般都是小点电跟彩色比较少，就一般卖一些常见的颜色，
[12:43.170] 黑白这种觉得好卖的颜色，
[12:45.980] 其实现在如果彩色车也更好卖一些。
[12:48.560] 我不是是吧？为什么？
[12:51.350] 大概那个时候谁知
[12:55.120] 我这走了。
[12:56.430] 1200豪华是吧？
[12:58.790] 对。
[13:00.180] 300动感也考虑就。
[13:02.560] 看一下经理怎么样？
[13:23.240] 的
[13:26.230] 的
[14:41.990] 还有
[14:45.840] 还有大灯。
[14:49.730] 的
[14:59.280] 的
[15:08.250] 上
[15:11.040] 的
[15:13.000] 的
[15:15.800] 你好。
[15:23.750] 坏数据，
[15:50.040] 怎么样？
[15:53.620] 还不错，但是
[16:02.250] 的
[16:05.670] 的
[16:09.270] 的
[16:11.300] 了。
[16:18.130] 的
[16:21.660] 的
[16:24.170] 远远
[16:27.050] 的
[16:28.350] 的
[16:30.910] 场
[16:31.700] 远场。
[16:36.690] 场。
[16:38.330] 二
[16:43.970] 场
[16:47.390] 场
[16:48.600] 场
[16:51.670] 场
[16:59.250] 数据
[17:01.720] 场
[17:03.640] 的。
[17:10.040] 坏
[17:11.430] 月
[17:15.240] 的。
[17:18.670] 五
[17:20.660] 的
[17:26.330] 数据
[17:27.520] 场、
[17:34.400] 9
[17:39.560] 场。
[17:40.830] 场
[17:42.750] 五
[17:45.650] 场。
[17:55.670] 的
[18:00.690] 的
[18:24.270] 场。
[18:28.240] 数据
[18:30.060] 数据。
[18:33.000] 句
[18:37.870] 的
[18:43.060] 远
[18:44.650] 的。
[18:47.010] 的
[18:51.190] 数据
[18:52.010] 的
[19:01.800] 三
[19:10.960] 坏数据。
[19:15.760] 的
[19:20.970] 数据
[19:22.240] 场
[19:24.020] 的
[19:27.230] 你们楼下。
[19:29.140] 跑。
[19:32.200] 的
[19:35.200] 花、
[19:37.790] 花、
[19:42.740] 坏
[19:46.440] 坏
[19:48.300] 三。
[19:54.690] 号
[20:01.080] 二
[20:04.190] 的
[20:06.060] 月。
[20:22.060] 场。
[20:27.150] 场
[20:32.640] 场
[20:42.610] 场。
[20:46.880] 场。
[20:48.610] 场
[20:50.450] 场
[20:53.880] 数据
[20:55.510] 花。
[20:59.270] 谁知后。
[21:02.470] 这是我们奔驰全国统一模板一块报价单，在8班之前再给您说一下咱们的服务公约。
[21:07.440] 工业是主要以客为尊，以礼相待，曾经进行合法得体，明码标价、公开透明配件渠道信息公示，
[21:13.590] 绝不捆绑销售强制消费，绝不使用甲醛净化。4008181188是针对服务员接听电话，
[21:19.890] 这8个单就基于服务轨之上里边的项目，没有任何强制消费和捆绑销售。
[21:26.490] 车型给您算的是加C260的豪华，知道公司价格是422,800，
[21:33.260] 车我的权限可以优惠42,000，优惠完380,800。
[21:37.690] 购置税
[21:39.210] 开办算了大概33,699块1毛2，基本就按这数来。
[21:44.350] 车上全险大概在13,000，已实际发生为准，就交给保险公司的，店内代办验车上牌2500，
[21:51.030] 给您加了一个13,800的装饰套餐，我们13,800装饰头它含的是全车威固贴膜，完我们家用的是最好的。
[21:58.100] 隐藏式的行车记录仪，大包围的脚垫，后备箱垫用13,800。
[22:04.280] 刚才您提到你有个车置换的话，加C可以补贴6000块钱保险，
[22:09.800] 这车全款合计购车的话443,700，
[22:13.860] 如果咱再减掉6000块钱保险的话，这车大概在437,000。
[22:20.370] 给您算两种贷款方式，这贷款方式也比较合适，刚才就说了在您朋友出国之前可以把这事办了，现在其实贷款特别合适，
[22:29.250] 一个低首付20%，低收20%是
[22:34.260] 最低的一个首付了，首付7万多。
[22:37.880] 76,160，
[22:39.800] 贷8036%，期年化利率2.9，每个月还9195，
[22:46.590] 三年就还清了，
[22:47.840] 三年利息用了我是26,000多。
[22:51.160] 首付合计的话，这车14万就可以开走，
[22:54.120] 也比较合适。
[22:55.500] 右边客户直观上看更合适一些，收50%的，
[23:00.240] 如果收获达到50%的话，利率可以达到1.82不到两个点的利息非常低。
[23:05.680] 三年
[23:06.710] 一个月还5000，我三年一共还清三年利息一共是1万块钱，
[23:12.300] 收获25 25万。
[23:14.680] 这车都没开走。
[23:15.960] 同样这两个首付我是没有减掉6000保险的保险制度。
[23:21.050] 是吧？
[23:22.360] 不到25。
[23:24.240] 你这些保养送。
[23:27.870] 对车暂时没有什么保养。
[23:34.840] 装饰这点东西13,000万4，
[23:39.370] 这不太合适。
[23:41.480] 合不合适您自己看，我只能告诉您大概价格我们优势在哪，我用的全车威固贴膜，你可以了解一下威固贴膜这个品牌，
[23:50.120] 它在整个膈膜里边它是隔热是最好的了已经，
[23:54.110] 而且我们也不是随便的，而且我们都可以保温，外面卖得便宜，不过贴到玻璃上以后，我告诉你为顾客你看得出来吗？
[24:02.630] 您又看不出来，大概我们4S店不会对吧？我会给您开具相应的发票，
[24:07.380] 是吧？
[24:08.400] 昆医陪山咱们say这么大，
[24:10.590] 4S店不会拿这个给您，
[24:13.020] 您说是不是各种东西我们都有保障，像隐藏式行车用于这玩意走电的，
[24:18.520] 我做完随车质保，
[24:20.680] 对吧？在外边您装完这东西，他走电以后改完电它就保你仨月。
[24:25.020] 说着其它的事情也是装这些东西价格肯定高。
[24:29.730] 其他时间我也了解过，是比我们家便宜，但魔不是这个魔，
[24:33.750] 对吧？外边有个9贴强生的，有贴雷朋的，
[24:36.620] 您可以把自己上淘宝搜一下，强生膜成本多少钱？
[24:41.280] 5000~1500。
[24:42.800] 对吧？您可以上装饰店了解威固贴膜多少钱。
[24:47.200] 时间。
[24:48.190] 东西肯定都是不一样，一分价钱用户，
[24:50.950] 隔日膜里边微故事最好的了。
[24:57.860] 这东西不强制您可以选择。
[25:01.430] 对。
[25:02.540] 膜我也没有也有低端的。
[25:05.300] 8800的一模等级，基本上就跟你说那种的什么
[25:10.730] 比sam比龙跟龙膜在35之间。
[25:16.930] 套餐是8800。
[25:21.210] 这是13,800。
[25:24.050] 一般还贴威固的多。
[25:27.210] 真的是。
[25:30.830] 这边的
[25:33.420] 跟之前那边聊的给您付多少钱？
[25:38.810] 什么时候给您做的报价？
[25:40.540] 这是前天在那边送全险。
[25:44.400] 送全险。
[25:45.210] 俺对，然后装饰的话首先1万，然后送钱A。
[25:50.930] 然后再还送1万的保险费，
[25:55.840] 你真的这样比起来的话就比较尴尬了。
[26:02.930] 第二行那谁家经过。
[26:04.570] 了。
[26:06.810] 就看店面。
[26:09.160] 我们家电厂家他们家便利店。
[26:11.460] 车都是4S店的车马上动车。
[26:15.930] 电都不一样，车一样有什么用是车一样，
[26:20.030] 电都不一样，他能给你提供的服务和我们店提供服务能一样吗？
[26:24.490] 您光买的是车吗？您买的还有将来的服务。
[26:28.430] 对吧？就这么说，你这个价格你这个还得弄一弄对吧？
[26:33.490] 您说您参加价格我们确实也不了解。
[26:36.120] 对，确实像我说的，您买的不光是车，还有将来的售后服务这一块，
[26:41.800] 说明重C他家搬家您知道吗？
[26:44.730] 看来你这个放假也是。
[26:48.550] 为什么有这么多产品的捆绑着车辆进行销售？
[26:52.200] 因为参加室友
[26:53.530] 原因的参加即将会搬离那个地方，因为他家的标准根本就不符合厂家
[27:00.140] 审计标准。
[27:01.640] 参加的举架，说说白了升格能摸到棚顶，
[27:05.880] 对吧？
[27:07.790] 参加的售后车间是跟其他品牌共用车间，这是厂家绝对不允许的。
[27:13.840] 不是先不说说那家的问题了，有这些问题才会影响车辆价格问题，您知道吗？不说这些，我为什么要跟他一样呢？
[27:24.230] 您说是不是？
[27:25.020] 所以你这价格都是死是吧？
[27:26.920] 也不是死的，我给你个优惠，但是他您跟我说的那些东西我都满足不了，全程A保证担保我给不了，
[27:32.820] 给您1万保险我也给不了。
[27:35.090] 对，我可以给您申请，但是到不了那个程度。
[27:37.970] 对，您说非要咬死他家里来。
[27:40.790] 怎么办？都谈了，首先肯定一有一个参照对吧？
[27:45.330] 你自己你开了这个价，然后那边有这样一个参照，然后你说你这边可以优惠，你可以就看看你说说你这边用品我要申请
[27:54.790] 什么程度，在这价格咱们看您今天是否能订车，今天交定定交定金，我去给你找领导申请价格，最终价格。
[28:03.160] 反正这么说或者您说一个什么价格，您能接受的这两家人对比，我对我直接跟领导说也行。
[28:10.610] 我的一个预期期待的话，确实你们家店面确实不错对吧？对肯定的对，但是他们那边价格也摆在那边，所以说
[28:19.430] 从我的角度的话，我肯定希望能到这我也一样，我跟你一样就越合越价格越低越合适的，但是我给你指出来的这些东西就是影响价格同样的问题的是理解。
[28:31.250] 对。
[28:33.580] 像您说的保险，我们家肯定首先没有，株三一搞人家肯定也没有。
[28:39.410] 说车架上车价曾经贴多少钱？
[28:43.450] 家现在是优惠42,000。
[28:45.350] 你这个车价值包装你装修真的开了不是东西不一样，我不知道您之前开车有什么荆柯经验，您可以看一下，咱们自己上网搜一下也行。
[28:58.240] 胚布跟其他与他们
[28:59.870] 成本是差很多的。
[29:02.840] 你觉得你这边申请能申请到什么程度？
[29:05.590] 我具体得看领导什么时候。
[29:08.440] 政策现在估计也就申请了2万块钱有时间，
[29:13.350] 顶多最少也就到45,000，
[29:16.860] 最多也到4毛
[29:19.210] 4是吧？差不多了差不多。
[29:24.110] 那就少不了3000块钱，对也是这样。
[29:29.660] 他送中生意宝，我觉得这个东西您
[29:33.300] 是吧？他也没什么可可优势，A保就机油机滤
[29:37.750] 大概八九百块钱。
[29:39.730] 对。
[29:40.940] 将来你必保不去。
[29:42.730] A宝也一样不送你，你不在他家续保险也一样不送你。
[29:47.250] 而且你要查一下真他将来搬到哪去，
[29:51.110] 对吧？其实现在您购车主要看看那车价上他优惠多少钱，
[29:55.490] 其他东西都是虚的。
[29:57.690] 其他就是你这装饰13,000，你要是真的是我没有强制你买这个东西，你可以外边去贴，待会提车就可以。
[30:06.600] 对吧？
[30:08.370] 我只能告诉你，我告诉给您的东西保绝对保真的。
[30:12.290] 对吧？您在外边我承认有比我便宜的，这东西，您自己有能力分辨这东西是好于坏，是真的还假的吗？
[30:20.230] 可能在贴之前我给你开料，兄弟给您贴就没顾得
[30:24.370] 贴上我玻璃上。
[30:25.730] 你有分辨能力吗？
[30:28.530] 对吧？外面汽配城
[30:31.170] 对吧？
[30:32.830] 客户上当吃亏的太多了。
[30:37.820] 你在你价格优惠基础上，保险不是保险是保养。
[30:42.940] 还能够送。
[30:44.320] 送不了。
[30:45.450] 厂家不赠送我们的活动就确定了对确定仓库。
[30:50.080] 参加送东西是有原因的，不是无条件，因为大家都一样，你也知道都一样，车位你比我便宜那么多。
[30:57.810] 所以他们这个的话，
[30:59.900] 反正就别扯他们那选择。
[31:03.340] 不是为什么不扯他，因为他们家是提出有价格，我只能告诉您参加为什么给这价格。
[31:09.970] 因为您说了说希望两个价格居中一下合适一下对吧？但是我只能告诉他为什么。
[31:15.470] 给。
[31:16.050] 为什么我们给不了我们家这么些年13年了，我们家不会搬家，
[31:20.660] 我们一直搁着，
[31:21.960] 但是你这两三千块钱的一个空间，真的
[31:26.600] 我们家卖的是服务，
[31:32.190] 将来你车可以全国联保，您也到时候
[31:36.190] 保养的时候，你可以在他家尝试一下，保养一下，你可以来我们家宝宝一样。
[31:39.640] 我们家这么大，
[31:41.110] 一个月光售后进厂量就3000多，说咱再说一个简单点，
[31:45.610] 车修车这东西就跟咱们上学学习是一样的，
[31:49.500] 您只要有更多的这种车辆的进店，售后师傅摸得更多，
[31:54.320] 他的经验积累得更多，您说是吧？
[31:58.730] 的
[32:08.260] 你也说Y你说这么多客户不知道外边差我这么厉害，我其他家电比我们家便宜，
[32:13.560] 为什么还来我们家看车来送到他家去买车的？
[32:16.560] 您都知道他家价格为什么都参加卖的没有人家好？
[32:21.170] 店里没有人。
[32:24.510] 买车不能光看一面，主要看一遍看哪就看车架，大家多少钱，
[32:30.230] 是吧？
[32:31.060] 我现在达标，我给你多优惠3000，车票45,000，参加给优惠多少钱？
[32:35.200] 其他的附属咱先不说，
[32:37.000] 附属的东西肯定是有条件有原因的。
[32:47.680] 没事，您搁那买也合适，将来您觉得保养只要离得远就回来跟我们店保养一样。
[32:53.540] 所以你把话说的有点确实就那么死了，没办法是不是？
[32:59.310] 反正就是这样子。
[33:02.290] 这样我也不知道说一下。
[33:05.360] 确实就是那么死的，我怎么把这表现奖，因为我不是没有客户，因为他家离我们家太近了，
[33:11.780] 对吧？
[33:12.790] 接待这种客户不是就您一个人，
[33:15.280] 不是您一个人去他家看过车，反正这桩事我都可以不要没有任何强制消费和捆绑销售，保险什么验车您都可以。
[33:24.990] 面膜。
[33:27.280] 贴膜脚垫就。
[33:28.680] 玻璃到了吗？
[33:30.880] 但是
[33:51.950] 其实在你们这弄得。
[33:53.620] 这帮的。
[33:54.580] 但是。
[33:57.510] 我们家老板是德籍华人，
[34:00.060] 他这德国人从小受的教育跟他们不一样，老板就是比较直，他比较
[34:05.900] 要一样。
[34:06.850] 就是说我们家的装饰
[34:08.760] 没有特别次的，就忘你看我们店面整体装修，
[34:11.890] 我们的客休区你都没看我们科油漆这种是不是在室内。
[34:15.840] 我们是内科休息一面墙，
[34:18.760] 纯绿植是活的，置换的话是只提供6份保险，不能简单车价里面。
[34:24.350] 这个保险是厂家给的，
[34:26.540] 不是我们给的，药我们给的是可检查假假哪都行，厂家告诉你在店里置换就给你6000保险，我们只能贴保险，D贴，
[34:34.840] 看这个保险也必须在你店里面买，没有必须这一说，您只要置换了这6000块钱，保险只能在我们店里上，您在外边这钱拿不到，外边
[34:44.800] 有合作厂家不认。
[34:47.930] 不能。
[34:49.580] 买。
[34:57.240] 您知道为什么任何一家不会有像参加这种价格的？
[35:00.890] 但是你就摇头好三天。
[35:03.760] LC价格非常稳定，您看这马路上大街满大街加入C
[35:07.900] 接车了都，
[35:09.080] 这种车越多，价格销售就越。
[35:13.800] 只有难卖的车型，大家伙才会有一定的杀价，我也有我有着摄像头。
[35:20.330] 这车不好卖，
[35:22.000] 为了促销，为了完成厂家任务，
[35:25.370] 才会有一个价格的比较大的差异，COC的价格您在谁家看？他是都在42,000~45,000之间进行成交。
[35:33.830] 其他的附加条件就根据咱们每个店的自己的自身情况
[35:39.270] 来给客户订
[35:40.980] 其他的
[35:42.180] 让我说跟咱们聊，你说参加会议宝为什么有他肯定有原因的。
[35:45.880] 因为他
[35:47.200] 就不能送的那些东西，就是说没把方式。
[35:49.810] 我就说车你也没说他们参加车优惠多少钱。
[35:52.490] 对吧？他们送全险这边。
[35:56.050] 车优惠多少钱？
[35:57.240] 车优惠多少钱，那边差不多。
[35:59.580] 差多少？
[36:00.270] 袄差不多真差不多。
[36:03.290] 然后他们送的全险，关键全险是正儿八经也是实打实的，是那些装饰确实太太去了，大家都知道对吧？
[36:10.990] 但是他送一个全险，所以你这就。
[36:14.070] 又提裸车，送全险也可以，不买装饰也可以。
[36:17.310] 他只要提车就送钱。
[36:19.800] 用了多少钱？
[36:23.110] 4万。
[36:23.950] 4万加上。
[36:25.370] 都快差5000块。
[36:26.150] 钱，你加上1万。
[36:27.310] 全险保额是怎么保的？
[36:30.430] 就一样的，就是你债权也是安排
[36:35.100] 那就按这么说的话，就是比我多一个6000块钱，保险这车13,000。
[36:40.820] 13,000。
[36:42.150] 对，12,000一万一二也能下得来，说白了。
[36:46.280] 也其实就比我多个600，其实现今跟我优惠是一样的，多送5000保险，
[36:52.730] 45,000，对，如果中国6000万5000~6000万保险。
[36:59.330] 然后在这个基础上你装饰还跟着很多就算起来就成了亿万。
[37:05.880] 多了。
[37:11.210] 确实没招了。
[37:15.410] 你这个。
[37:17.070] 你要这么要死就只能少个三四千，这确实都是挺重要的，多了我卖不了。
[37:22.510] 然后还
[37:23.670] 确实差个一两万根本就多了，我卖不了。
[37:27.550] 我只能靠你能卖的价格。
[37:29.770] 不会这样。
[37:31.520] 所以说价格比较相对来说就比较小。
[37:34.320] 这种车我们45,000我就卖，没必要跟人一样。
[37:38.510] 对。
[37:39.390] 而且我做了卖车，我们不是光卖这车。
[37:42.140] 我们要服务。
[37:43.960] 你这边要能申请下来，我们可以继续，你要真的要死的话我们就咬死了。
[37:49.700] 对，您就去那里。
[37:52.860] 没办法对店面的大小运营成本都不一样。
[37:57.240] 对吧？
[37:59.570] 的
[38:03.520] 别让玩，咱们那报价单下边有个二维码，那是针对于服务调查问卷，没有附会帮我做一下。
[38:23.100] 行，那就感谢您了，看到没有再见。
[38:26.480] 然后拿来。
[38:29.950] 故障。
[38:30.650] 客户EME
[38:32.570] 尽管然后可以送佛送优惠，司马送全险。
[38:39.360] 虽然10万块钱。
[38:41.790] 全险的。
[38:44.260] 差不多。
[38:45.530] 反正送1万元装饰，
[38:47.960] 送C宝丸送1万1万块钱续保，
[38:52.570] 反正各种捆，
[38:54.920] 我说4万送全险不买装饰也可以，他说可以，
[38:59.370] 没法聊了，就说你扣多少钱，我报4万，我都优惠了两三千块钱，只有4万多。
[39:05.600] 昨天听了我能跟你一样，我一样不了，
[39:08.160] 就这么死，你要说能聊人家网上聊，我说聊不了就这么死。
[39:15.330] 我不是什么。
[39:17.010] 不知道。
[39:47.600] 今天忙。
[39:48.550] 稍微来看过到这块可能新高的您来的小手机的，您先用刚刚打扫一下版。
[39:57.660] 高雅。
[40:00.640] 要返回首页装修完全不走了，您扫一下。
[40:05.360] 妈妈也要马上过来。
[40:09.070] 后天客户
[40:10.770] 你那个不少。
[40:12.870] 专门
[40:13.590] 好早就那种就有区别，扫不出来。
[40:20.050] 为啥？
[40:21.530] 你看看我那天进来早就找不出来，我来过一回了。
[40:25.310] 我没想我没想到，我觉得谁知。
[40:29.880] 不清晰了。
[40:33.620] 要。
[40:41.480] 的。
