[00:03.480] 您觉得您账上接受的
[06:08.890] 您这次来的话还来这边，然后我们这边的话会提前给您安排好服务顾问，后期您这边的话维修还是维修，保养的话是由我们这边分配给服务会接待您，然后我们这边会帮您提前安排好，到时候您过来之后让他直接接待您就可以了。
[06:26.080] 行，这个也是免费的吗？
[06:28.040] 对给您免费做。
[06:29.750] 行好，您打一个周二下周二上午11点。
[06:34.120] 对，您得微信方便给我留一个，然后咱们后期可以微信随时联系。
[06:39.410] 勾就是大写的钩，然后135就是。
[06:44.460] 银行大写的分。
[06:47.010] 然后边实际上手机号。
[06:49.320] 稍等我添加一下看一下。
[06:51.490] 怎么着？
[06:53.090] 用的。
[06:56.520] 完了吗？
[06:57.760] 您的微信名字是叫小丸子对吧？
[07:00.740] 对。
[07:02.030] 行，我稍后添加一下，您通过一下。
[07:05.550] 行，那就是下周二上午11点是吧？我去了还是到做升级的地方是吗？
[07:11.340] 对，是这里。
[07:12.730] 他就可以看一看刹车或者是什么的。
[07:16.050] 他是用我到时候主要给您备注上，然后我给您约的是一个新车的检查，主要给您检查一下刹车片这一块。
[07:24.640] 然后新车检查它是包含一个36项的，然后主要是包含咱们的发动机、传动系统、刹车片、轮胎，还有一些控制单元这一类的。
[07:34.560] 还有我想问一下他这个车相当于是我做任何操作，他都是要重启的是吗？就是说
[07:42.030] 比如说我有红灯，然后我停住了，然后我在一起他就有洗车的声音。
[07:48.410] 相当于是他好像自己在做一个重启这种车是吗？
[07:52.960] 你是不是开自动启停了。
[07:54.840] 谁知动起停是哪个贱吗？
[07:58.230] 您车辆的话下边会有一个按钮。
[08:02.370] 二
[08:04.060] 在您空调那块旁边。
[08:06.940] 然后他过来。
[08:08.280] 你看见过吗？应该是写着一个O。
[08:12.410] O. 
[08:13.980] FF的。
[08:15.110] 明白吗？
[08:16.180] 没到没特意，我的意思是他每次等红灯不
[08:21.790] 停一会吗？行，比如说我踩N现在挂N档，关档以后，然后我
[08:28.170] 在现在红灯过了，我就挂上
[08:30.770] D档了，然后开始正常行驶，他就车相当于是
[08:34.340] 重启状态的，
[08:36.010] 老有重启的那种声音。
[08:38.440] 你在拍的时候你按一下OFF
[08:43.060] 然后他如果要是开着自动启停的话就关了。
[08:47.960] WiFi不在屏幕上吗？
[08:50.010] 他是一个案件。
[08:51.640] 不管对吧就在。
[08:54.420] 在您中控上一个圆圈A然后或者是一个圆圈A或者是OFF。
[09:00.730] 然后。
[09:01.580] 这个是代表自动启停的。
[09:03.430] Nasa吗？
[09:06.920] 对，他自动启行的话是你再踩刹车的时候，踩到底的时候它就会自动熄火，然后当你踩油门的时候他就自己开了。
[09:15.920] 这个跟我开不开车有什么区别吗？
[09:20.130] 你不开这个的话，你停车你就得正常踩着刹车，
[09:23.830] 然后如果你要开着这个的话，你停车之后你就不用踩刹车，自己用停了。
[09:28.530] 因为我买车的时候有一最开始的时候问过销售说这很正常，他就是这样的，我所以后来就没再问，但是你总能听到就感觉像车载重起的声音是的，像车在第一次启动的声音知道。
[09:43.950] 然后他这个的话很多客户都想都反映这个是省油的东西。
[09:50.810] 但是一般的话下雨天别开，特别路过水坑的那种就不要看。
[09:57.960] 叫什么OFF是吗？
[09:59.820] 我发给你微信发给我给你截个图，百度上有这个标志，我给你截个图给你发过去，你看一眼，但是可能不是咱们这沃尔沃车的，到时候您看一眼就是这个东西就行。
[10:09.850] 找这个标志就可以。
[10:11.710] 行。
[10:12.760] 好。没事，有问题您随时联系吧。
[10:15.600] 这个没有，您上面给我刚才跟你说，只要你有之前选择吗？
