[00:00.310] 他们打电话我你挺辛苦的，我想着你打好多回，我说去
[06:18.000] 我也不懂了。
[06:18.950] 因为
[06:20.120] 我还真是
[06:25.160] 放哪家保险公司？
[06:27.350] 我妈也不记得。
[06:28.960] 一会查着。
[06:32.410] 林宝什么时候上来的？
[06:35.230] 看还能不能退。
[06:36.870] 没事，我把让他给我补还怎么弄？
[06:42.780] 你上保险我花多少钱大概？
[06:45.680] 花了5000多，他还给我退了一个推了一个什么钱，还没给我退，他说要我退我
[06:54.000] 了，因为我这几年一直没脱鞋了。
[06:57.920] 差点
[06:59.830] 说是出钱出的少，
[07:05.040] 也没什么。
[07:05.940] 为什么？
[07:07.320] 也不放进去。
[07:14.710] 我这所有的都要记录，这样就简单让我这个走险我就走，只能搞明显的意思。
[07:22.030] 看到您从上半年投年金险到期了吗？
[07:26.370] 别着急。
[07:27.340] 不要去不要走成年了，成年跳楼就完了。
[07:31.450] 有看到吗？我就等明年了，等手机马上到期了，我就直接走下半年了，可以。
[07:41.110] 就等过来那么麻烦，我这边要给我算了，我不行，OK咱继续
[07:46.620] 里边做一下，连着点儿事儿。
[07:55.150] 来里边。
[08:00.240] 结束吗？
[08:03.620] 可以。
[08:43.390] 不管
[08:50.990] 你说话真的跟那个人联系。
[08:52.780] 等等一下我先。
[08:54.060] 把这个给你弄完了，咱电话18518185185185185。
[08:59.590] 6816OK。
[09:02.490] 到时候拿这个电话联系。
[09:19.760] 咱们就喷个前。
[09:22.790] 对OK。
[10:24.080] 干嘛还加班？
[10:30.070] 车放车站没放过三四天。
[10:33.940] 明天当时买不了不了豆腐脑了。
[10:44.330] 是咱也不知道了。
[10:46.100] 这也行，因为你看我明天回去，周一周二我休息，周三周四我上班的时候来。
[10:54.960] 上周一选号。
[10:58.480] 这您说好吗？
[11:01.390] 关于下雨了吗？带孩子出去。
[11:05.230] 下雨了。
[11:10.230] 现在下了一点点小雨，
[11:16.190] 没事你
[11:17.360] 他们肯定在你没下雨
[11:21.200] 的。
[11:38.460] 的。
[11:41.790] Bye bye。
[11:45.790] 来了。
[11:51.310] 小我把这供向给您下了，您要着急的话我就直接的您走了，我就把车拿上去让他们先弄。
[11:58.820] 人家干活我得需要给人下工单，让你知道干什么，
[12:02.800] 把姑娘给人下了，就这个意思，有成工时费吗？没有，您是免费的。
[12:08.680] 不收费没有就好这上面了。
[12:12.800] 好吧？
[12:16.250] 您还需要我什么教什么，我就测得给您个区直单位。
[12:20.280] 对OK？别的没什么，然后把咱车上贵重物品收一下就行了。
[12:30.560] 然后基本就这样，你有什么
[12:32.990] 袋子？
[12:35.360] 我给你看看。
[12:41.550] 拿包没拿？
[12:43.240] 都有什么东西我给您尽量找找。
[12:53.680] 三
[13:06.110] OK
[13:06.890] 给
[13:10.880] 选。
[13:25.750] 搞错。
[13:32.860] 我靠这个记这么清楚吗？
[13:36.230] 要求。
[13:37.260] 不是你要记住清楚，我到时候你比方那个车挡风，他说我不是当时碰的货有问题。
[13:43.540] 什么意思？保险是吗？
[13:46.190] 您到时什么时候碰的没关系，我这坏了我有保车玻璃险您得给我赔，要是你早就坏了，
[13:52.590] 不会的，你公告什么时间坏的我是坏了，我只不过有段时间没时间出去而已。
[13:57.880] 好吧，而且她你凭什么说我什么时候坏的，我就这两句话都不行了，我要走明显保险，这不是你这记录是经典的吗？没关系。
[14:16.230] 的
[14:26.040] 这个东西是心上下的，有的时候就特别不好用。
[14:31.500] 不随着咱们的意愿走，他的在发动机盖打开以后里面能洗吗？
[14:37.540] 可以写就直接拿洗车的资就行了，不行那不行。
[14:42.780] 我就差点让洗车，我谁知
[14:50.180] 风险太大。
[14:51.560] 了是吗？
[14:53.730] 很容易造成什么现象，如果你要是没弄好的话，一旦电子模块进水就比较忙了。
[15:00.910] 给您留一个取车单，
[15:02.840] 然后到有空给我电话，然后有问题给我打电话。
[15:10.650] 有感觉的OK。
[15:11.990] 咱今天设计完善，然后您要是
[15:15.440] 打算换玻璃的话，我给您个小建议提前上，刚才我跟您说险，
[15:20.960] 能够弥补一下咱们第二年保费上浮的显示。
[15:25.680] 没有写那对咱电子
[15:28.380] 我肯定明天我肯定等，前提是6月生鲜。
[15:33.300] 明年选生肖空白。
[15:35.320] 算合适，因为这个险有个十五千五百七。
[15:38.460] 您过的上完这个月15天之后再出险，我在这上面不知怎么多少钱，1500，
[15:45.280] 1500 1500两次，
[15:48.230] 获两次，一年两次。
[15:50.400] 1500就是险1500，这个险1500我考虑写的贵。
[15:56.170] 但是他相比已经给您了，厨房您的咱怎么也
[16:00.360] 您用您车辆的商业险，比如说出一次玻璃险，
[16:05.030] 然后从咱这儿修车在那修，然后他保险公司给您2500打卡，
[16:12.530] 好几天我没有通过，对，但因为什么？因为现在有一个什么问题，您肯定这个车风挡玻璃您是打算要修的。
[16:23.350] 对，然后您修意味着明年保费可能上浮，
[16:27.510] 显得您之前上了在修，
[16:30.440] 有这么一个
[16:33.250] 会上浮，但是这个不就给您科普吗？大夫讲智库3000块钱就是2500点小5。
[16:39.520] 对，就补你1000块钱1000多钱，然后还有一次如果下次在今年
[16:45.350] 保期内，
[16:46.500] 在出现凸显了别人中，咱们或者咱自己要管需要出简化，
[16:52.300] 还给你一个效果。
[17:05.920] 5800。
[17:06.980] 对，有一个数天等待期。
[17:08.940] 行，我看看我拿的时候。
[17:12.440] 可以你电话我在你这流程
[17:15.640] 通过了就可以买，对OK？
[17:19.120] 咱今天就到
[17:21.030] OK没有什么看法，我行。
