[00:08.650] 你好，我是缪先生是吧？
[04:50.420] 对，分期的话肯定优惠高，厂家补贴的高，但是店里边给的优惠政策都差不多。
[05:00.670] 好吧，先去掉来到临时。
[05:04.330] 厂家有厂家的原因，
[05:13.340] 看
[05:14.990] 话
[05:20.350] 装饰任何一家4S店都不能在店里边强行的要求您去花这钱去买去。
[05:26.250] 不止奔驰，任何一家4S都不允许。
[05:34.990] 主要
[05:37.440] 优惠幅度是一样的，不太一样，我不是给您说了大概区间吗？四五万左右的现金有可能42,000，有可能45,000，也有可能四万八九，但是这个东西的话我不能给你保证。
[05:48.570] 对，一是分车型20分实效，实效的意思就是说我们只按照您来的那天当天的价格给您处理一个最优惠的方案，
[05:56.930] 有可能您今儿周五来的，您下周一再来肯定不是这个价格。
[06:00.760] 您可以把
[06:01.790] 给你转一下吃什么吧。
[06:03.910] 对，因为每经过一个6日她都会重新调价，所以买车的话基本上3456日这几天来合适一点，你要买的话，其实工作日比如说咱们周四周五左右买车合适，
[06:14.950] 您等到周六日的话，客户一多起来其实反而到不好谈价过程。
[06:19.810] 所以您。
[06:21.990] 对您所以大概了解一下哪个时间都要过来。
[06:28.460] 好对。
[06:32.550] 对我就大概跟您说一下，作为咱们个人而言，怎么去跟4S店谈的技巧，一是20机，然后其次一些技巧，包括咱们4S店能给您的一些福利，
[06:43.570] 因为咱们自己说实话挣钱买车也不容易对吧？肯定是能省，咱们既然就能省就多省一点。
[06:49.230] 然后您就看看您时间，主要这个车型得咱选好了，是要180还是200，两个车如果要是
[06:57.450] 差的不多，我们就都给您算一个报价单，您看看综合下来哪个更合适一点，哪个符合咱们的购车的比例预算，
[07:04.390] 都符合个人要求都满意了，您再买车。
[07:07.020] 然后我把我的电话先发给您发您到手机上，您琢磨琢磨这两天有没有控，有空来展厅里边我带您先去看看现车去好吗？
[07:15.290] 我这边是电话销售先生，我刚才跟您说过了。
[07:20.380] 但是我是可以带您去看车的。
[07:21.840] 的话，这大概办齐。
[07:24.360] 对，我在店里边我们都是这个店的员工。
[07:28.510] 没问题，我发你手机上我叫侯阳，到时候您来的时候带点驾照，有车我带您去试驾去好吧？
[07:34.170] 没有发。
[07:35.160] 好勒起来的光临喵先生，拜拜。
[07:38.700] 的话就320和207。
