[00:00.000] 开始接受开始结束。
[04:03.450] 你要想修车就得涨保费，
[04:06.600] 就这意思。
[04:07.950] 给你送发票。
[04:09.640] 明白，498能赔两次，一次赔2500，对就这意思。
[04:15.250] 那就是说肯定还是休两次职是吧？对，但是你要说修你坑修一次就行。
[04:22.560] 走一次保险就行，两个坑修一次吗？
[04:25.520] 对，有华人险。
[04:30.750] 你那坑不是特别可不是特别大，
[04:33.030] 你修修不回来了只能换了。
[04:36.020] 你明白我的意思吗？
[04:40.320] 因为我从那个里面看到他从
[04:43.900] 面拿把碰过去的那就行，上次反正人家也那啥，我说算了你自己修。
[04:50.900] 后来问我哥们说一声，你说了他用什么叫什么凹凸，凭什么给我拽出来，待会你帮我放羊变化咱们两部门
[04:58.610] 还听说我说他是不是也得拆了，拿锤子敲死，不用咱没有那个东西，但是咱们同为啥说不是让你那么牛逼呢？
[05:08.310] 咱得破破坏西面。
[05:09.970] 你先查了破坏，
[05:13.120] 还有那个东西装工具能给他拉回来，
[05:17.750] 但是弄完就看不出来是吧？你肯定看不了。
[05:22.330] 也做了。
[05:26.570] 这东西我跟你说你这有环线是
[05:29.430] 最好的，
[05:30.530] 要么你还不如没有花垣县，你要没有划痕险的话，你不用交少交纳保费，
[05:35.770] 你不用你不知道，
[05:37.520] 你说你上雪你还不修车，那你图啥？
[05:42.070] 还是如果我上去房钱我还用着这个也得
[05:46.410] 他只是没错，
[05:49.680] 然后相当于是走划痕险，没错，然后这个是相当于交1498，然后你们就直接帮我办了报案什么的都你们弄了报案，只要你打电话我们告诉你怎么报案，
[06:01.120] 我们告诉你怎么报案，你打还是你打电话。
[06:05.760] 要求。
[06:07.670] 这个的目的只是反潜，其他的
[06:11.960] 全跟正常一样。
[06:13.220] 也就是说我要是修两次，这一年保费不超过3500就直接不是，
[06:20.000] 但我觉得你要修两次肯定得超过3500，
[06:22.970] 但是你车修了你也值。
[06:25.830] 对。
[06:27.220] 那样的话我也有关系，没有必要你就这么说的，单休多少钱？
[06:32.370] 你单休4000，一个工4000，你不在一块，
[06:36.960] 我跟你说为什么我们有这个服务，我们挣的是你那4000，明白吗？
[06:40.980] 实际上是这样一个情况，就相当于出钱去贸易融资什么就4000，对，然后应该拿出，但是当时我们当然不会收到4000块钱报名，
[06:50.710] 那么so意思。
[06:54.940] 而且羊毛出羊身上你就走划痕险就行了，别的你得10001000块钱，
[07:01.610] 然后假如迫不得已真出又出点啥事儿，别人碰您，
[07:05.730] 让您更好，你不走您保险话，出租车你也一样得2500，
[07:09.710] 明白我意思吗？他别人碰您，别人把您给碰了，兄弟那车也一样，我还赔。
[07:18.120] 你这话说的我找一差不多朋友直接填一点车，走一点不就完了。
[07:24.330] 你轻易
[07:25.400] 是这意思吧？
[07:26.780] 他们早点便宜，比如一年2000块钱那种保险，所以tom一下子
[07:31.030] 对，它涨保险能涨多少钱，纷纷它也长不了多少钱，给了点钱。
[07:35.910] 对可以。
[07:37.440] 的。
[07:39.020] 没问题。
[07:39.920] 现在好多都这样，
[07:41.360] 对吧？你可以合并非得我自己保险。
[07:44.660] 对。
[07:45.920] 现在保险公司查到不能是直系亲属，不能是什么同事这么配置，还有
[07:50.120] 他查不着同事不会超过。
[07:53.320] 晚上收一下。
[07:56.980] 您这是换主副驾座气囊都算行。
[08:00.540] 二唤的时候可能得6个小时左右，
[08:02.560] 副驾驶都不好。
[08:04.030] 多少？
[08:05.000] 然后你到时候还跟我吵，上次保养的时候就有那毛病，他安全带插上之后，它老提示什么保险的气囊错误什么的，
[08:14.360] 后来说是等你休的时候给你查安全带，卡扣有问题我就不知道了，是卡号一般都是卡还有问题。
[08:21.990] 说18年6月份没事，反正。
[08:24.520] 能说得大概什么时候您说。
[08:26.280] 对
[08:28.420] 能修一般在10~15天左右，10~15天能修行。
[08:37.270] 本金的话大概多长时间？两斤的话三天差不多。
[08:42.810] 您到休息区坐会，我把手机走，手机走完您再开走去行吗？然后到时候怎么这一会给你弄，我先弄那个这个还用吗？
[08:52.970] 不用了，回来。
[08:54.640] 一会我给你打电话。
[08:58.190] 管。
[09:09.500] 的。
[09:11.610] 三
[09:13.980] 五
[09:18.330] 对。
[09:20.720] 来。
[09:21.480] 你好，来看一下。
[09:22.380] 看一下您的刹车油消耗，
[09:24.580] 还有我再次写一个近期的主打产生的政府，如果
[09:34.150] 前面
[09:37.160] 要。
[09:43.240] 是不是就需要销售员驾驶证不要了？
[09:45.980] 不用稍等，我给您办手续。
[09:50.900] 您今天办什么业务，我就办三年的检测的错。
[09:57.270] 还有一个当我想检查一下我
[10:00.480] 饭盆。
