[00:02.330] 然后
[05:00.410] 远远
[05:02.880] 场
[05:04.380] 场
[05:10.450] 数据。
[05:15.110] 发动机报警。
[05:20.770] 调查。
[05:29.530] 记录
[05:35.140] 五
[05:52.660] 水
[05:57.080] 变得青春容颜
[06:00.790] 本身的开心拿到哪里了？
[06:04.980] 数据
[06:09.880] 三
[06:17.040] 花。
[06:18.000] 花
[06:19.240] 花
[06:21.510] 的。
[06:31.110] 1186。
[06:40.060] 电话15901307490159有你们的电话，
[06:47.930] 然后电话沟通肯定不对，然后那个东西现在就这一块这边
[06:53.830] 反正就通知告诉如果说肯定百%就不修它了，
[06:57.270] 那就无所谓了，肯定不用上来，你上来还得交1499是吧？
[07:01.250] 完了体检来慢走要修一上，
[07:05.340] 就一次陪向你这车，
[07:08.460] 把前杠和右后那块修一下，这车基本上修好了，能给你5000块钱的现金当时。
[07:13.730] 130。
[07:14.820] 5000现金。
[07:17.690] 我明年什么保费上浮也看不到5000去。
[07:23.470] 然后你们这车相当于一个什么意思？相当于这个人车等车保险修了，因为你这车肯定
[07:30.610] 消防的有对吧？
[07:32.370] 也相当于一班车下车，就是你走保险，虽然保险但是不给你补人家了，5000给你补，你看你也长不到5000天。
[07:38.790] 谁知
[07:41.430] 他5000减去1500、1498、1500 3000 5500能做过不错，要不了应该跳，
[07:50.780] 而且中间还能省点。
[07:52.560] 这样是吧？
[07:54.050] 所以就看找半天最重要的就是不适用咱们，谁知我们说主要现在400也堵车，45好像就是具体的事实10，
[08:05.910] 因为你只能得到一个3000块钱，有的就是说我都不想修。
[08:09.900] 你那了期房只诱发地气，没错对。
[08:14.810] 主要是你想不想修这车，这是最关键的，因为保险就是为了让你去，
[08:19.400] 一上了保险就是为了反华了，后来就修个车，
[08:23.600] 然后现在都是小伤，我就考虑一下这活动到啥时候，所以随时这个活动是什么工作，都是他店里边说白了，这是把这钱都是交到保险公司，保险公司都不愿意跟着费，他们对他们来说很明显的，咱们就在赔钱做这个事儿。
[08:41.410] 但是现在不是意行这个店里边
[08:45.380] 车多，这就相当于一个活动，强压给保险公司，
[08:50.240] 让办公司赔钱，说我一年能出这么多订单，赶紧用的时候感觉这一块
[08:55.270] 所以说为什么不同也
[08:58.320] 相反。
[09:01.660] 春天A
[09:04.800] 轻微。
[09:06.320] 季浩看着我，谁知住的地方也有，直接人用的就可以了。
[09:15.050] 然后车上面其他的到期的有一个
[09:18.610] 刹车油、制动液，
[09:27.600] 没事没有有了，62。
[09:31.740] 快递78。
[09:33.890] 15205。
[09:42.180] 场
[09:48.580] 号
[09:49.870] 场
[09:50.620] 五
[09:59.810] 的
[10:02.770] 举手。
[10:03.720] 他们的车间话，
[10:06.190] 来看看这一块。
[10:09.830] 你把钥匙给我，
[10:11.530] 为啥样子？咱们安排完了作用。
[10:15.500] 对。
[10:17.050] 简单看一下保养的项目1234 14个项目，目前咱的车两年的车，
[10:22.190] 4个项目就是常规的4个项目，其中这类项目里面基础B保养这边有个基础，第
[10:27.770] 就包含了什么？发动机油机滤和发动机的空气滤芯，
[10:31.940] 这是1200
[10:33.280] 1213，这一下是不用再付费的一个系统里面买的时候赠送了。
[10:38.960] 然后刹车油谁知
[10:42.190] 只要是最晚的跟旅游是没有关系，有的车两年比方说两年跑到10万公里打比方，
[10:49.420] 有的上两年跑了1万吨，这1万和10万没有关系的，只是给您还有两年一换就可以了。
[10:55.330] 空调滤芯每一次B保养的时候更换场也就是说跟它实际上相当于一样，因为有的车一年跑公里数就有关系，两年
[11:02.870] 每次必保有的成本可能一年跑了2万公里，他一年就得换一次，像咱车的可能就是两年的多少不够多少公里差不多，谁知就可以了。
[11:14.450] 成功的滤芯的更换，然后另外还有一个索道就是天窗的索道，就每1万公里做一次就可以了，主要是谈水桶材料把它做清洁就可以了。
[11:23.050] 这三项都是常规的，另外还有一些没给你列出来，你比如说空调，刚才你说空调这些宠物的要更快，
[11:29.170] 如果说你感觉出风风口有些发霉发酸的味道需要清洗一下，但那个
[11:35.040] 也叫保养的强制，主要是看您的用车情况，你比如说如果有发酸地为你得提前说一声，还有一个空调清洗的项目，这个利息只是单独的需要更换的，
[11:47.110] 到期而已，就这意思是常规的这几个项目，然后
[11:50.680] 他这有409空调滤芯838，
[11:54.160] 是两个绿球，一个内循环，一个外交官两个空调滤芯，
[11:56.810] 一个是438，
[11:58.290] 一共是2898减去需要付费的再减一个1213，
[12:03.140] 1213应该大概是1000
[12:05.390] 1600多块钱差不多。
[12:07.640] 谁知李在那是自费的，对到期了，就是这意思。
[12:13.710] 我空调完全不用。
[12:16.120] 没事。
[12:17.620] 空调滤芯不用坏事，不会给没事我就给你标注好，因为空调漏水是已经到期了，空调律师不是一个红星快的。
[12:25.070] 那就先删掉了。
[12:26.610] 它是一个回汉，到期之后为什么要盗窃，是运动的不起作用，活性太不习惯了。
[12:32.930] 那就刹车油就是踩刹车的时候，
[12:38.950] 靠他去给您做自动的。
[12:40.960] 我这个到了吗？两年？
[12:43.390] 我这不到两年了。
[12:45.460] 我上次保养的时候没有弄这些，没有上次买了不需要也不到期。
[12:50.320] 然后上次
[12:57.030] 上次保养
[13:10.200] 厂里
[13:13.210] 二
[13:15.950] 7816，然后
[13:20.740] 显示
[13:24.640] 有个机油油道的清洗，就是你做首保首保需要做的什么换机油机滤放机油油道做过清洗就可以了，剩下都不需要。
[13:33.760] 对，然后空调滤芯这些什么沙石油是你到期需要更换的，首保的时候基本上都不到7，
[13:41.350] 就7816公里合作的。
[13:44.240] 119年3月份
[13:46.340] 首保是最简单的，
[13:48.190] 除了首保，你比如第三次保养叫什么叫A保养，
[13:52.240] 这次不是保养吗？上次就是A保养，第三怎么样也叫A保养，但是A保养和保养是不一样的，你
[13:57.350] 只有最简单的，只要首保的时候最简单是这意思。
[14:01.350] 所以肠子这就是常规的几个项目，对你们要把
[14:08.540] 这两个都是我必须要的。
[14:13.750] 到7点比较重要的一些东西，我不能会怎么样吗？当然这个是你不是
[14:21.060] 你比如刹车油他里边为什么需要更换，它就是需要上班他会吸收水分，
[14:26.950] 然后等于是变质了，说完就是油液变质了，
[14:30.850] 它里边时间久了之后，他会一些水分，它会稀释不到里边去，他然后这时候你再去踩刹车制动的时候，
[14:37.670] 很有可能要一式自动形成过高二，就说严重点咱说轻一点，制作成本过高了，
[14:43.710] 说严重点就是可能刹车系统不是问题，因为你想刹车密封的一个环境里边有一些水分就相当于比较严重了。
[14:50.680] 这个就是什么？你看现在
[14:52.820] 蓝的还是比较多的。
[14:55.100] AA柱就是你洗车要赶快下雨，因为下雨比较多，因为洗车的时候可能都喜欢过去了，现在还不是特别琉璃彩车A柱这水进了饺子里，
[15:04.760] 主副驾驶座着脚底下一颗瓜子水果，
[15:08.360] 因为咱们所有的车奔驰车，其他车应该是一样的，
[15:12.640] 从您的天窗顶上两侧叫滑轨，华为两侧水电排水孔要冲水的，
[15:18.700] 下雨也好，然后洗车也好，让水上面充满气氛，就从派出所全部顺出去，这时候你看白水应该是一年
[15:27.340] 就得需要做一次清洁，因为这样的话会把形成堵了，把水市A股流到你的脚家住市里边去，这样的话得不偿失的。
[15:34.870] 现在已经很多了，换电脑泡水了。
[15:38.830] 这个是哪个第三个全球华。
[15:48.440] 全程滑道什么意思？达到就是天窗上面的滑道，
[15:52.480] 加上你4个车窗玻璃导轨，这个叫达到，
[15:55.710] 能理解吗？
[15:57.800] 您开天窗的时候来回开的时候，天不是蓝来回走动，
[16:02.920] 这个滑道也要过水的，水稻也在这划到里边。
[16:08.480] 对，要把它彻底清洁干净，包括这残余的一些
[16:14.010] 兀自还有一些那些，你比如说要外面停放的话会更比较厉害点。
[16:19.300] 第三排水桶的一些脏东西，后来就是这些东西。
[16:23.800] 他在哪里开车？天窗顶部就您的栏目步伐走，天窗。
[16:30.730] 天窗然后顶到头，就是你从头顶上顶到头，羊头这两侧，
[16:35.480] 下雨之后从这房子钱要从这出去，
[16:39.280] 睡下去你不要睡倒一下水，怎么还会有近的情况，他赌了
[16:44.990] 了就这么走8点。
[16:47.340] 这也是刚刚
[16:49.310] 这个是咱们刚才前台师傅给您做的玉简的，
[16:52.520] 等您来的时候应该是把钥匙给他了。
[16:55.040] 给您看一下。
[16:58.440] 这边都不让我
[17:01.380] 这就发生改变了。
[17:03.280] 它实际上说白了就会吐三
[17:05.660] 93年的水道，
[17:18.990] 我如果这个不弄会怎么样，刚才您说的作用，您知道它的作用是什么？
[17:25.530] 就是说它的作用就是
[17:27.450] 防止它堵塞，
[17:29.000] 让水进到驾驶舱里面，
[17:31.590] 那会有这种情况。
[17:33.870] 厨房秘密的怎么会水浸到它自动它表明是源于
[17:39.240] 你看看这布兰的车顶，
[17:41.760] 对吧？
[17:42.130] 这是天窗，
[17:43.290] 然后你下雨的时候水落到窗户顶上了，他得看我不太方便去，他是
[17:50.330] 你划是正常下侧面划去，你看顶置平的，你比如说打个比方说如果天窗
[17:56.030] 是这样，正好下雨行了，
[17:57.800] 你看天的时候这个水没有蒸发掉，除非经过你坐到你的车里边了，
[18:03.360] 是吧？也许水面蒸发
[18:08.540] 就是说天窗是不是这样，一下雨就不会打开天窗关的。
[18:14.290] 不然你了你现在立马就想打开安装，你这上面水没蒸发掉，你打开香水之后就直接就传递，天天开开了，不
[18:20.890] 了不是我给你说这意思。
[18:22.940] 这不是落你车驾驶室里面了吗？这时候
[18:26.150] 他是不是得把这水想办法给盘出去？
[18:28.540] 排水孔就在您的窗顶上这两边。
[18:31.630] 这就叫咱们排水口。
[18:33.280] 然后一下雨之后药水一就是还睡正常睡下去，留意就从上面摔下去对吧？
[18:38.820] 再一个
[18:40.170] 它流到你的两侧，
[18:41.640] 这两块是要存水的，缺水你不能让你水水到车上来去，包括你洗车的时候也一样，不能水肯定会蒸发。
[18:49.410] 最主要不是靠这块儿，是靠排水孔把水
[18:53.320] 水洗完之后从都流到两侧，然后睡在这样就可以下水局势的。
[18:57.500] 是这两个小孔一直留下去留哪去，一个左前周六前轮两个没退里边
[19:02.930] 还有两个这么小啾啾叫手上的欧就全排就排到底下了。
[19:07.120] 咱们车辆设计所有的头部致飞车，
[19:10.340] 罗有的时候都得有N的，所有的都这是正常的一个设计，不是你想让它蒸发掉，蒸发掉这就不对了。
[19:17.970] 然后时间久了之后，
[19:19.960] 这两个一组三，
[19:21.420] 包括底下那两个统一水塞堵了之后水都不对，就聊到
[19:25.590] 出不去了，然后正好这两天是应该
[19:28.670] 他就说睡觉着睡着A柱肾出租屋视线知道
[19:33.670] 打下再加上吃了她哭点就是脚底下
[19:36.390] 地毯，他睡着A组
[19:39.020] 全是进去了，这时候咱们经常导致的故发现很低的时候，或者下雨或是洗完车之后，有的说脚底下
[19:46.250] 没走深水油田供水，打开之后里边一洼子水，那水从哪来就是情况，
[19:51.390] 就这意思。
[19:52.380] 大家能理解一下您说的意思吗？您得知道对。
[19:55.980] 而且知道他多长时间清洁一次。
[19:58.740] 繁琐行业我们就很长时间去。
