[00:02.010] 您翻过去。
[06:02.680] 在装饰壁柱。
[06:03.880] 再往里推的。
[06:04.930] 话就是这个座椅，
[06:06.860] 他先撞这根钢梁的画作也会向内侧平移，把中央扶手箱给几岁来降低人员。
[06:13.700] 对车辆对人员的一个伤害。
[06:16.340] 这就是最简单的一个
[06:18.620] 一个配置，但是很多品牌是没有的，说实在座椅的造价也非常。
[06:24.300] 因为都是真题里边都是环保材料，而且确实里面刚才念完了没有什么味道，包括这儿这个位置，
[06:31.460] 这不是
[06:34.150] 咱们要动个塑料条不是。
[06:36.700] 它是金属的。
[06:37.880] 并且经过防电解处理，
[06:40.410] 这样来讲的话也降低了对人的一个伤害，您坐着感受感觉。
[06:48.020] 打电话接我吃饭我等着。
[06:50.990] 号码。
[06:51.960] 没啥，我找不到了上面。
[06:55.760] 我正常我手机没拿着，我现在算是。
[06:59.550] 然后打完了搁里边帮我拿。
[07:04.840] 用不清楚了吗？都发掉全那什么。
[07:08.130] 不是想调节。
[07:09.840] 咱们是这样，我给您解释一下，首先座椅的话是。
[07:13.650] 靠背的角度。
[07:15.000] 然后自己的后边可以调座椅的高低，然后这边这儿可以调这个位置的高低，
[07:21.200] 包括还有腰部支撑，当然我们有腿托，您看这腿向您个比较高的话，长途开销的话这空着，
[07:29.170] 腿拖的话会支撑一下，将提高咱们的舒适性。
[07:32.470] 往上翻一下。
[07:34.460] 都会变成腰部支撑这书，对，而且腰部支撑四是上下前后都可以调节。
[07:41.170] 您看她这么简单一个座椅，这么多的一个位置条件，就是为了让客户坐在里面更舒服，并且您看一下它中间的9英寸触控显示屏，
[07:50.720] 所有的功能操作都在屏幕里头。
[07:53.690] 并且支持手机的can play。
[07:56.470] 支持频率还说它只能支持苹果打开play，
[08:01.880] 然后安卓系统确实没法支持。
[08:05.040] 这个是
[08:06.360] 这个就是中央扶手箱，并且咱们车里边没有点烟器，没有电源，对他
[08:12.750] 环保的话他不愿意让客户。
[08:14.510] 在那个车里面抽烟，影响咱们的车内质量空气。
[08:17.760] 还有。
[08:21.710] 而且咱们沃尔沃的话是豪华品牌里边唯一一款出口车型，您包括您可以看咱们的沃尔沃后边尾标会写一个。
[08:29.070] 沃尔沃亚太
[08:30.110] 上边的意思就是亚洲生产环太平洋地区销售品质的话，咱们是全球品质，
[08:36.840] 我心智过程，所以确实是他这个车还是非常好的，品牌比较低调，您打个比方，咱们这款车型是它的一个高。
[08:45.360] 他跟标配主要配置的区别在于
[08:48.920] 这个位置这个是有无钥匙进入的，外观的轮毂样式
[08:53.750] 会有区别，并且轮毂会。
[08:55.460] I俺这是多少次，这个是19的，那是18的，但是来讲的话其实
[09:00.750] 差别不大，两个车差了3万多块钱，这个是335,800，那是309,900。
[09:06.450] 像您现在置换购车的话，不管您旧车多少钱，可以享受一个厂家非常好的置换政策，
[09:11.910] 有一个7000元的置换补贴，厂家指导价多少钱，这款是335,800，标配的话是302,900，标配有现车标配的话，
[09:22.450] 车摆在门口这了，咱都能看到卖得最好的两个颜色，一个是门口的海艳辉这块，还有牛仔蓝也不错，还有一个就是白的，
[09:30.980] 大家都非常不错，我确实我喜欢这颜色要深一些感觉。
[09:36.790] 跟这个车型很大，这个车型都非常运动是多长？
[09:41.140] 全长4米。
[09:42.260] 48周。
[09:43.470] 轴距的话基本上达到2米8的一个东西。
[09:45.860] 家用足够了，对，考虑试驾一下吗？我们这边有试乘试驾车可以给您安排，没驾照。
[09:52.890] 没驾照那不行的话，周六您可以带着驾照，上午您过来试驾一下，带着家里人，我就跟家里一块一块来一块来试试，舅舅他们不上班来先。
[10:03.950] 刚刚那儿的话我都打
[10:07.630] 这段时间能放假能休息休息，对。
[10:10.040] 挺好。
[10:12.150] 您说这车现在是
[10:15.970] 比方说我要分期的话可能是
[10:18.660] 没有，要不然这样。
[10:20.880] 您坐在这，我去拿个报价单，我给您算一个报价，您看一下，好，您坐着休息一下，等会儿就在这儿等我就行。
[10:27.570] 这边那边吗？
[11:00.630] 徐哥。
[11:02.110] 不好意思，我注意不一样，他说
[11:07.240] 好好的好的，谢谢。
[11:13.730] 眼光。
[11:16.360] 沸优良。
[11:18.480] 是两只一段，
[11:24.600] 从这里
[11:25.490] 购买不会对。
[11:28.420] 都没动。
[11:31.050] 到时候再进行验证的。
[11:32.860] 和
[11:34.410] 不能不行了。
[11:48.400] 完了等于报价。
[11:54.160] 因为我们现在说就真是想买车试试看这两款，一个是林肯的
[12:01.110] 怎么样？感觉没看到吗？
[12:03.820] 林肯大陆
[12:05.400] MKIMK什么？
[12:09.580] MK差，
[12:10.960] 是不是SUV MCMPC我知道小一点，比MKZ要小一点，因为我觉得买SUV买小，因为这俩车价钱差不多，对。
[12:25.230] 确实我是想买我跟我妈想买这个。
[12:30.340] 喜欢。
[12:34.870] 沃尔沃咱说心里话，最大的卖点就是它的一个
[12:38.790] 安全，一个环保是对。
[12:40.990] 您这样您给我报一个就是对方的价格没问题。
[12:46.250] 你能优惠多少？
[12:47.680] 行。
[12:48.820] 然后我把分期给您算上。
[12:55.320] 我给您算哪一款算一个高配的，算一块30三三十，我车价302,900，好的。
[13:12.680] 厂商指导价是三十万两千九三十万两千九。
[13:32.120] 的
[15:23.950] 您看一下咱们报价。
[15:25.830] 您
[15:27.570] 需要发展
[15:33.030] 您说什么您能给我优惠多少？
[15:37.340] 优惠5万。
[15:38.470] 优惠5万，对，优惠57,000，应该说是因为有一七千元的置换补贴。
[15:44.000] 您说。
[15:48.030] 如果分期的话，我的裸车最终报价多少？
[15:52.430] 您看
[15:53.580] 您听我跟您说完，指导价是302,900，优惠5万一户还是252,900 7000的置换补贴，减完是245,900，置换补贴是多少？7000 7000，
[16:03.330] 然后优惠完是245,900，购置税21,000，保险大概8000，这块验车是3000，
[16:08.960] 合计的话是278,661。
[16:12.010] 购置税是不能有能便宜吗？能有优惠什么的？
[16:16.060] 购置税国家收了正常有多少对吧？对。
[16:19.410] 然后首付的话50%等于就是122,950，
[16:24.770] 代肯定也是这个数122,650，
[16:27.810] 24个月月还的话是5122，分期服务费是6000块钱，合计首付的话是161,711。
[16:35.940] 我记一下，不用您这个可以拿走，我能拿走了可以拿走。
[16:40.310] 我们不像别的店似的，不让客户拿，没必要。
[16:46.000] 二
[16:48.020] 如果分期
[16:50.470] 能优惠多少呢？
[16:52.570] 没明白，分期和全款没有区别，那是免息吗？免息挺有利息吗？
[17:00.120] 您还的就是本金这两年里边，
[17:03.140] 您两年还5122就是本金。
[17:08.120] 我用122,950÷2，
[17:11.100] 您比方说我买这车，您能送我什么售后服务什么？
[17:18.340] 暂时没有，售后服务就是什么这种保养什么的暂时没有。
[17:24.340] 是这车没有，还是说现在厂家都没有？
[17:30.470] 已经把所有的咱们的优惠政策都给你写在上面了。
[17:35.110] 所有的赠送全没有，因为我看网上有说送油卡的赠送保养，包括您在咱们汽车之家很多网站您都会看到，
[17:45.080] 但是现在暂时没有，
[17:46.870] 实际店端销售的话是没有了，我上牌费是多少，上汽车上面一条龙是3000块钱。
[17:52.440] 给您写哪个这验车3000验车和上牌加起来一这是一块的，
[17:58.710] 有的店可能写上牌，
[18:00.180] 我写的就写成电车，
[18:05.300] 我就先来了解情况，到时没问题，我今天会跟他们说一下可以，这不是现在。
[18:12.020] 其实您要是没什么问题的话，您可以周末带着叔叔阿姨您过来试驾一下，
[18:17.610] 先看这车开着感觉怎么样，如果开始感觉OK没问题的话，咱们再坐下来再看看价格什么的。
[18:23.130] 因为这东西您不可能说看一眼就完事了，怎么也得试试。
[18:28.310] 刚才留的电话是您的吗？
[18:30.430] 我这边24小时之内明天给您打一个回访电话，您看您什么时间接听会方便都行，全天都行。
[18:37.320] 行没问题，我明天跟您联系。
[18:39.480] 我贷款的话没有什么手续费，
[18:43.000] 手续费给您写在这儿了，分期贷款服务费是6000块钱都写上了。
[18:50.640] 如果我全款买的话，最终的车价是多少？
[18:54.140] 278,661，就是全款买278,000，我把全款的价格分期价格都给您列上了。
[19:00.780] 了您拿回去看的是特别直接的。
[19:04.450] 很清楚购置税保险验车合计首付贷款24个月，乐环服务费。
[19:11.510] 还有一个和首付的合计全都给你写清楚。
[19:15.920] 咱这车是多少？
[19:17.760] 这款车的话咱们是100 140。
[19:21.330] 140匹。
[19:25.350] 还有一个叫什么来着？
[19:27.930] 有扭距是300牛米，
[19:32.780] 家用绝对是足够的。
[19:37.540] 三。
[19:38.390] 我在看各车型，我咱看一下您拿着咱们拿都拿人都拿给您的。
[19:47.090] 放包里。
[20:28.550] 白的还有
[20:29.530] 一个金色，还有像广告宣传颜色，还有
[20:33.390] 还有一个红色，现在
[20:39.360] 其实
[20:41.000] 这个颜色还挺漂亮。
[20:42.630] 明天打。
[20:45.920] 但是这个颜色也是两个方面还不错。
[20:55.340] 您坐。
[20:57.400] 感受。
[21:01.950] 它是全新的一个发展。
[21:04.290] 主要。
[21:06.220] 8207都是2.0.2厘米，
[21:09.350] 然后
[21:10.520] 然后它的功率大小，您看看这写上。
[21:14.680] 第三张
[21:15.740] 写的就是100 120千瓦，然后这140千瓦、184千瓦、223千瓦，
[21:21.600] 他就是各种相机的调校的区别
[21:24.850] 等等，他的就是放弃调教的。
[21:27.770] 其他的没有区别，都是20的发动机。
[21:33.320] 后面
[21:34.990] 也但是
[21:36.400] 宝马根本的1.5T3缸对我们没有
[21:40.920] 都是20P的，所以您不用担心说三缸发动机会走，这个不会，
[21:46.160] 这车是多种。
[21:47.440] 这条全中的话，咱们是1.6吨。
[21:49.790] 1.6吨。
[22:05.880] 没有手动挡都是手自一体，
[22:07.820] 启发，这是这个吧it的风景途径。
[22:10.560] 在处理的就是说有手动模式，而且不是似的，
[22:18.080] 因为大多数
[22:30.950] 韩式
[22:31.880] 诗歌里面
[22:33.230] 一样大小，
[22:36.660] 能做到顶着，
[22:39.060] 您可以将一下做一些。
[22:40.460] 稍微降一点。
[22:43.630] 这个量刑你按一下。
[22:46.710] 下面您挑一个您熟悉的。
[22:55.880] 这个高度比较合适。
[22:57.280] 之前
[22:59.350] 你要完成高。
[23:01.050] 怎么有您是这样往下按一下，这个是咱们的腿托，
[23:06.440] 往下抬一下，new是咱们的腰部支撑，
[23:09.680] 腰部支撑确实长途旅行非常舒服，没吃饭没见着玩着，要不然交警太疼了。
[23:18.050] 时间长了以后腰酸对真的是这样，好多客户好长途就是腰酸开小车的下面站一会儿，
[23:25.210] 尤其是SUV更是
[23:28.310] SUV坐得更直那种感觉。
[23:31.950] 真正凭现在我们
[23:33.900] 可以没问题。
[23:51.660] 这车也是有，比如
[23:53.240] 说我等红灯的时候就是直接吸附启停有的哪个是
[23:59.660] 对。
[24:01.070] 在这上面可以对您可以观也可以打开，因为有怕有的都不习惯用这。
[24:08.150] 这是电子手上。
[24:10.040] 然后下边A着多厚的垫子堵车，
[24:13.000] 你说物流车那车您即便挂到D档，您开庭住了，这车他就不会动，
[24:19.470] 您给油它就走，没走。
[24:21.160] 是这样。
[24:22.280] 省去了咱们老这边换的会比较
[24:27.280] 电子手刹还是在我心里活以后，然后去。
[24:30.170] 它会自动打开的，自己打的不会，您先您一会以后下车捡信贷，它自己打开了。
[24:35.970] 挺方便。
[25:05.690] 您可以。
[25:07.830] 听说这个案件您跟他说我想去哪儿，
[25:10.540] 包括对方银行导航，包括您说我现在
[25:14.510] 想听什么121月我都可以帮你找，
[25:17.570] 那么这也不行。
[25:18.660] 这是我们的课程里面她决定用什么？
[25:21.580] 这个平台是吧？
[25:24.590] 做
[25:25.440] 加速减速，然后这个是设定自动平衡的距离。
[25:30.460] 这个多少呢？
[25:31.860] 咱们不是，因为咱们时间最长是2.5秒，最近的话是0.8秒，最近
[25:37.870] 一个调整。
[25:39.280] 利润增长的话，他就可以判断会发生碰撞，他就会防检。
[25:43.910] 但凡有一个距离，根据您的食宿，您说50公里每小时14分，它0.8秒可能会比的比较远。
[25:52.440] 左右。
[25:53.740] 左右的话也是定期银行的一个控制。
[25:58.950] 这个是你可以通过它，你看这边行车电脑一些信息，
[26:05.040] 公交就用军队上下一体的。
[26:08.450] 这也能开车打电话，比如因为我们现在男人打电话，人家听不听不说，
[26:14.150] 没问题，我们这没有，他们有什么收阴的地方，还有蓝牙
[26:18.940] 设计有您说话的时候他的喇叭扬声器就可以收音，
[26:24.330] 喇叭很懒，就是普通的原厂的。
[26:29.520] 您是不是我看马谁知
[26:33.440] 就不是顶内也是说宝华韦健对华为件S60没有。
[26:40.250] 对只有S90和S90上他也会被搞坏。
[26:47.800] 体店启动，
[26:48.880] 熄火和着车就是啥？
[26:51.830] 享有权利。
[26:54.250] 这是驾驶模式，功能操作您不用担心，如果您在店内购车的话，我们会有专业的销售人员怎么进行功能操作的讲解，这有几款产品？
[27:02.750] 我们有三种驾驶模式，
[27:04.920] 舒适经济、
[27:06.580] 还有一个是。
[27:08.800] 运动，
[27:09.630] 三种驾驶模式就是运动模式，
[27:13.050] 高转速换挡，对经济节能对吧？
[27:17.870] 第一个是舒适，就是普通的家庭模式的区别，
[27:21.740] 舒适模式经济模式你会感觉给油的时候会比较重一点，
[27:25.560] 车跑起来会稍微的肉一点，因为他把节能一些，
[27:30.570] 是这意思。
[27:31.660] 运动可能给人感觉比较轻，
[27:33.740] 您到时候试驾的时候你就会感觉比较明显大东西。
[27:38.360] 这是比较差价不了解。
[27:40.560] 这个是后备箱。
[27:42.080] 大不了
[27:44.230] 后备箱开不了没打电话。
[27:47.560] 后备箱我没看，可以没点。
[27:56.510] 备胎。
[27:57.670] 在下边。
[27:58.710] 因为我之前我那车胎爆了，爬山的时候，
[28:02.570] 我也不会弄那什么，
[28:04.480] 因为SUV在底下，对他在从底下拿这个也是19车的不是小块。
[28:11.560] 你看小18层，
[28:14.780] 你松手。
[28:17.640] 后备箱。
[28:18.930] 他用逗了。
[28:22.080] 后排。
[28:46.420] 除非就这儿了。
[28:48.030] 放水杯放在前面。
[28:52.960] 剩下
[29:06.800] 家用够用。
[29:23.600] 上面去标的，这能反正都可以拿下。
[29:26.790] 三个标杆。
[29:31.400] 这大灯是LCD LED的，
[29:34.720] 普通大众。
[29:44.670] 品牌比较，但是车是好车，对。
[29:47.120] 因为到现在防滑，对，但是可能没有奔驰宝马那么张扬，没有问题。
[29:58.610] 后续
[29:59.830] 钱却钱学先进
[30:02.590] 有不同。
[30:03.780] 七八十初期，
[30:05.530] 当时T8A车，
[30:09.350] 那就是我买的看刚才咱们
[30:11.510] 放假的当时都38的，肯定是前期的，就是前期的长时间没有数据是吧？没有。
[30:21.190] 然后这个也没有清洗大灯。
[30:23.490] 没有，咱们没必要，所以打车不用打车清洗的，
[30:28.750] 对不对？
[30:35.750] 我给您打开。
[30:43.360] 稍等。
[30:47.830] 我给你打别加您。
[30:49.830] 我给你打加上你。
[30:53.550] 对纸杯都没了。
[30:55.470] 这个不行。
[30:56.800] 您知道为啥吗？因为咱们展车没法在展厅里边着车，所以这电瓶容易没电，所以我们只能外接。
[31:05.040] 而且您看咱们的沃尔沃当机舱照明怎么软包装，一个是降噪，还有一个没有味道，
[31:12.280] 更环保一点都没错，而且全系标配了隔音棉回民了，
[31:17.990] 既有他来降噪也有它来保证，而且您可以用手可以悄悄站在
[31:23.270] 摸一下站下边，这是一根钢梁。
[31:26.050] 首先下边这一根钢梁上面这还只刚量，
[31:29.190] 这个就是沃尔沃的安全，
[31:31.030] 他可能做的
[31:32.950] 以前
[31:33.840] 更加安全一些。
[31:35.350] 你家玻璃不行，对。
[31:38.570] 哪个？
[31:41.190] 打开？
[31:43.810] 但是您可以加机油这些可以。
[31:47.620] 这不是假机油的，这是家房东骗什么的，怎么弄业主他跟什么还不一块P开刷，
[31:55.440] 这是由央行
[31:57.630] 他
[31:59.460] 最新做的更好，我没想到这么多。
[32:03.110] 因为一般的不是一塑料，谁知对任何品牌你去看都是塑料餐，只有沃尔沃这么
[32:09.180] 真不错，
[32:11.830] 还挺厚的，而且您看您的发动机布局非常规整，而且他不像有的品牌就是那线裸露了，
[32:19.750] 很少用塑料这种就是直接包裹起来。
[32:23.400] 这简直是什么？减震的话，咱们采用他的是一个其实跟S90检测不太一样，
[32:29.820] 咱们是一个优化的东西，它可以适应非底盘
[32:34.000] 对应的，当然来讲的话，如果你走的路况比较尖一点的时候，他的评价会稍微调的软一些，
[32:40.710] 保障您的舒适性，您如果不跑快以后，他可能需要一定的路感，他会调的硬一些，就是说
[32:46.390] 没法控制他电脑，然后他是车辆自己去控制四飞自身品牌，它是根据您行驶的路况去改变。
[32:52.870] 这样
[33:02.570] 我这客户咋
[33:09.290] 前面我都拍一下了。
[33:10.980] 没问题。
[33:16.690] 都是联网的，全国都一样。
[33:21.730] 对，天天怎么样？
[33:23.010] 把播音别的都开没问题吗？因为我这点我真没想到不太一样，对确实太好了这个东西。
[33:32.650] 觉得你放好勒。
[33:36.710] 我这圈也挺好，这只不错。
[33:46.080] 男士喜欢这种。
[33:48.040] 所以你得拍一下也行，一开我觉得也OK。
[33:52.480] 我就周六有时间的话，周六您过来，到时候带着叔叔阿姨，还有您咱们吃饭，
[33:58.680] 然后给你打电话行没问题，咱们电话联系好了。
[34:04.690] 再见，感谢管理王总再见。
[34:09.360] 那就来天天给打电话，还之前随时给我打电话就行了，慢走。
[34:13.980] 拿着驾照到时候到慢涨。
[34:18.400] 这是60
[34:20.050] 90米的大。
[34:21.760] 伴着好，再见。
[34:32.280] 好了。
[34:33.100] OK我已经不要你了，谢谢没试驾，没有叫什么。
[34:39.100] 姓刘。
[34:40.740] 稍等。
[34:45.590] 电话
[34:46.440] 交流，然后是181821101。
[34:49.620] 112010. 
[34:50.760] 707对，然后9638。
[34:55.780] 360。
[34:58.200] 一。
[35:00.160] 一
[35:01.160] 一
[35:02.770] 二。
