[00:00.000] 现在刘先生看amg
[03:50.040] 我用了有个大的，所以就弄个小的也无所谓做主持。
[03:54.350] 嗯
[03:56.590] 别老说没你这个有点不大的嘛那些都是我给你弄。
[04:01.630] 差不多看看那这么点，对对，而且那是你肯定没看呢对完善这往往
[04:09.090] 现在就是我觉得
[04:10.500] 他在这里
[04:12.570] 都大不了。
[04:34.030] 优惠也不太多，那评价。
[04:36.440] 同样的这个嗯
[04:38.320] 嗯
[04:39.580] 嗯
[04:40.680] 不是特别着急，反正因为他那个不是那号得，
[04:44.630] 过几个月我要留那号儿，所以咱们得做这这过两个月他那个还是满一年。
[04:49.960] 还不那玩意儿。
[04:52.580] 唉你
[04:53.620] 快啊快。
[04:54.990] 不是没拍那a35。啊
[04:57.340] 每个人都不一样。啊
[04:59.510] 我说你要拍我就不让你拿钥匙去了。
[05:03.320] 没没没
[05:04.530] 这个我拿钥匙去。
[05:22.400] 有很多。
[05:23.700] 嗯
[05:24.620] 下放到土土地就来了。啊
[05:28.100] 咱们在这儿。
[05:28.730] 啊
[05:31.680] 那吃冰棍来了，你这30公里全在吃冰棍了。
[05:35.020] 嗯
[05:37.240] 普通话
[05:38.720] 我还不错，我也有事。
[05:40.770] 呢
[05:43.120] 我们吊车的。
[05:44.040] 吧
[05:49.970] 他来了给你给你看一下啊哪一块哪个哥这条这。
[05:53.720] 行，我就是哪套哪套哪套我看一下我看一下a35。
[06:08.270] 有
[06:10.640] 啊
[06:15.790] 什么不好？
[06:27.360] 然后我住在一号楼。
[06:28.810] 不敢有不敢担保。
[06:30.440] 那当然这个价格可能会很大，
[06:32.640] 然后车也马上到了，
[06:34.650] 嗯经过了多少时间？
[06:40.810] 挂了的，现在都是用的。
[06:43.740] 也不爱新兰451，还有我说我想您当时留了多少钱就万劫不复。
[06:48.690] 什么东西？
[06:50.100] 然后450怎么了？还有多项要不能做吗？
[06:53.640] 有，啊你看这车上面有那手机那标志就有。啊那就
[07:01.920] 对。
[07:03.650] 那白的有订单，
[07:07.070] 那白的都订出去了，
[07:12.780] 这个我给开出来。
[07:14.240] 这边空间小点，
[07:15.730] 嗯正好散散少了里那么热，唉对对那个新的CROa最近什么能上也上不了了，没事了，我看那个也
[07:24.790] 而且这种款我倒挺喜欢，
[07:31.110] 唉呀我给你拍吧唉有什么太热了，
[07:52.440] 正好我拍几张照片给我那客户
[07:55.390] 都都都那什么呢您看一下。
[07:57.880] 是正常价，但是39万多呢还是。
[08:01.450] 这是39 399,000 39万多，那个但是这车有一个7的选装，有一个
[08:08.470]  t
[08:09.570] 揣个配子，柏林之声音响，然后这个方向盘旋钮。
[08:14.660] 啊
[08:15.520] 然后这个
[08:17.480] 抬头解释。
[08:21.130] 他这人下来以后就说。
[08:23.680] 这车
[08:26.580] 四十几啊
[08:28.530] 存下来。
[08:32.570] 四十六七。吧
[08:35.260] 因为它这个选装多。
[08:37.850] 就裸奔了。
[08:39.000] 裸车不是。
[08:40.560] 就这车是399,800加一个3万多块钱的选装，
[08:47.010] 就是说什么玩意儿来着？
[08:49.280] 全办下来，
[08:51.750] 这是什么？这个不是。
[08:53.760] 四是
[08:54.860] 46四十六七左右。
[08:57.240] 对。
[09:08.390] 那你现在能
[09:09.310] 大概
[09:11.190] 能能能到多少旅游费？
[09:13.680] 15,000。
[09:15.070] 对，现金15,000。
[09:30.570] 没事您看。
[09:31.400] 吧
[10:05.790] 动车就是大概。
[10:06.990] 指导价399,039.68配置完就就就就这款车这款车下来就得39，就说40 43多43万多，
[10:16.140] 全卖完了47左右。吧
[10:18.270] 嗯
[10:32.770] 反正其实。
[10:33.660] 这
[10:34.270] 有的女的看这傻人家也喜欢，
[10:36.620] 长得还行，因为你也得赶快长。
[10:40.520] 这车呢小一点，但是实用。
[10:43.040] 因为家里有大车，你
[10:44.910] 从里头开您能开的大车费劲，
[10:49.720] 我都不爱吃老鼠。
[10:50.730] 相当于我这小李现在是他是那个 smart，先给弄个smart先手，
[10:56.310] 那玩意拿来什么来置换，呢对练练手。
[10:59.990] 我觉得那个倒还挺好的，得哪儿停哪儿好停。
[11:03.840] 再跟我那那个弄个大哥都听得很费劲，他就来这个这没问题，咱这事他肯定没问题，那是无敌的。
[11:10.440] 这是什么？
[11:12.400] 就家里有点高，这个
[11:14.530] 我们分期现在贷款利息也不高，
[11:20.640] 普通的现在是。
[11:21.840] 大概就是
[11:23.130] 普通人。
[11:25.200] 普通的AP20多万全卖完了，也就不到30
[11:29.830] 1.33g的
[11:31.510] 这是2.0系统。
[11:33.350] 这普通不也有2.02.0的，那个那是220没车，一直就一直就从来没来过车一趟没来过。
[11:40.360]  Ok. 
[11:43.730] 那个背后拍的现在能
[11:46.460] 到多少就就那那个2万左右。吧
[11:50.930] 嗯好像是吧？
[11:52.960] 办下来当然大了。
[11:54.400] 是
[11:58.850] 我觉得
[11:59.600] 我也想干这个。
[12:01.980] 他好像之前看过，后来那个还行。
[12:06.170] 因为
[12:08.410] 很快
[12:11.460] 就后期再来有可能来这种就是
[12:14.120] 那个那个标标标标配的，嗯
[12:16.760] 我们后续有一个有还会有标配。
[12:19.700] 39万多吗？
[12:23.070] 不是40 45 40不到45。
[12:26.320] 反正也没优惠就是有点。
[12:28.060] 因为这车量不大，他要是上量了，这价格就就就能下来了。
[12:32.800] 不好意思啊您好。
[12:36.330] 对，
[12:40.470] 噢好。
[12:42.580] 啊
[12:51.510] 那他说人家教人教我们就按照顺序，
[12:54.360] 它就是我们就按照这个顺序，就是
[12:56.920] 从下往上就按照那倒库的顺序，我们就正常的来了，谁先就就你只要没交定金，你就我们就随便卖一个人就给卖走了。
[13:05.350] 车都一样，对车都一样没问题，对，我也不是说特意试着奶奶说，就是
[13:10.960] 按照我们的顺序随机给他配的那个车架号。
[13:13.730]  That. 
[13:28.200] 有有有有
[13:30.200] 对，
[13:40.370] 可以可以。
[13:41.520] 没问题可以没问题，啊明天您是怎么付款？是公司打款，还是说之前不是说有一个让您的一个同事过来给刷款刷卡吗？
[13:54.670] 刷卡的电话协议需要就不用你公司签了，就你个他他个他个人刷让他个人签就行了。
[14:01.170] 拿身份证来就行行，那没问题没问题，好。
[14:05.840] 我一会给您发，一会我我我给您拍一个照片，一会给您发过去，吧我现在这有个客户在客户这看车呢查敲车，呢
[14:13.510] 一会给您发过去。
[14:17.600] 好没问题好的。好嗯嗯
[14:20.560] 拜拜。
[14:21.230] 嗯
[14:24.930] 那地方防爆牌。
[14:26.080] 呗
[14:27.340] 这个我觉得
[14:28.890] 肯定不是防爆的，
[14:31.110] 肯定不是双胞胎。
[14:33.100] 因为这个AMD不可能
[14:37.280] 就跟你让刘翔跑步，给他弄了一呃
[14:40.500] 给他弄一战靴，他跑不快。
[14:42.510] 啊
[14:43.110] 唉这底下有规他也没法
[14:46.300] 没没他没被杀那波。
[14:51.720] 也都放帽子上了。
[14:53.150] 不是
[15:02.920] 那是那个那个好像是标配那配置低。
[15:13.040] 你看这没
[15:14.450] 这柏林之势就选一柏林，然后红内饰不带破上白雪鸟，嗯
[15:19.080] 不带太多钱是这配置地。就是这个
[15:33.120] 不好意思接个电话你好。
[15:36.000] 唉
[15:37.200] 你装完了。
[15:41.890] 呃俱乐部的。这个
[15:43.620] 俱乐部的，这我我一会给您打电话弄吧打电话也能弄。
[15:52.720] 嗯不那那不是得我得给您注册，这个对我们有考核的，我得给您弄好了，到时候还有东西，可能他过生日或者什么还有礼品给您呢。
[16:02.510] 嗯
[16:03.320] 一会我给您弄。吧
[16:06.190] 您先开车走，一会我给您打电话。啊
[16:09.910] 好。
[16:10.300] 唉唉
[16:11.520] 嗯
[16:13.660] 要如果分期金融那种是大概是那咱这么着，我把车停好了，咱回去咱屋里凉快喝点水在那我觉得大概了解一下。
[16:21.840] 不是特别着急。
[16:22.760] 嘛
[16:24.130] 那这车有一个特别一点就是着车的时候，
[16:27.080] 如果你提的这个它这个多票，带着波骗着车，他声音不一样，你看我普通找一下，
[16:34.600] 就这样。
[16:36.680] 不是我这样长的。
[16:42.480] 对不对？
[16:43.440] 有这么一个比较级对激情的启动的声音。
[16:47.450] 嗯
[17:25.600] 啊
[17:26.520]  You Know That
[17:31.640] 好。
[17:32.510] 对
[17:50.880] 两栽。
[17:52.550] 二两三，
[17:55.690] 你要把这个事情找到，这个
[17:57.790]  a35没有l这是两箱的。那个
[18:01.810] 写错了不了解了，我没说是你写的。
[18:05.380] 完事了，你说你说这是谁的？呀
[18:09.170] 对吧？所以你不是三点嘛是吧？
[18:12.800] 对了，爱不是啊行，我过去我问你们那活也不容易，
[18:17.600] 都不完全。
[18:25.120] 我忘了。
[18:25.690] 啊
[18:41.920] 也有也有。
[18:42.900] 有朋友嗯全都是电话二对太多。
[18:47.480] 现在国产的一下我反正也出来了，可以极大的东西。
[19:01.210] 空间大，呀
[19:03.030] 用不着自己了，就是加班机我就觉得不好说，你一说开smart就就没用了，
[19:09.830] 就不收费了，这这折腾了。
[19:12.620] 海关
[19:14.680] 这是什么？
[19:15.400] 他也同意了，他也不往外走。
[19:49.000] 您住哪？啊
[19:52.120] 这不是外面。
[19:55.010] 我们家
[19:59.720] 嗯门内全是老的。
[20:02.230] 我们现在只能说到这里，另外我觉得
[20:04.460] 有的时候拿车上车上去，
[20:06.600] 一走了回来就没地方走了，我看看。
[20:10.050] 对，那个花钱找地儿都没有。
[20:12.250] 哼而且那小区他也不卖车位。
[20:14.960] 稍微往前没交。
[20:17.340] 那里边信的话你以前不知道稍微有一点，
[20:20.570] 就马路边旁边互动的。
[20:22.360] 我没办法放假了。
[20:23.890] 不是等会儿过来。
[20:25.290] 哈哈哈
[20:26.520] 干什么？
[20:27.370] 这是一个。
[20:28.420] 数据凉快，
[20:30.980] 不能太大，就稍微小点。
[20:34.320] 公益也是公益。
[20:36.410] 嗯
[20:37.220] 咱们这今天开始。
[20:40.210] 嗯
[20:41.040] 发表完毕。
[21:07.470] 用。
[21:08.570] 嗯
[21:10.730] 谁知
[21:16.550] 除了没啤酒以外，其他的。
[21:18.300] 这个
[21:19.290] 没弄弄过来了。
[21:29.240] 呃国土资源。
[21:34.180] 那我们也
[21:56.340] 好吧？好好
[21:58.310] 没有没有。
[21:59.870] 其他的
[22:04.510] 嗯
[22:11.810] 嗯好。
[22:31.320] 可以跟我讲。
[22:32.860] 所以说
[22:34.520] 咱们一起
[22:37.610] 有没有什么意见？
[22:38.640] 这句话。
[22:42.390] 加油加油加油。
[22:44.180] 嗯
[22:46.150] 嗯嗯嗯
[22:47.560] 你好。
[23:12.030] 我是老板。
[23:15.380] 我们都有
[23:16.960] 嗯嗯嗯
[23:19.150] 嗯
[23:19.860] 一
[23:21.060] 这样一个问题。
[23:22.140] 那我们就一块儿
[23:24.610] 反正我微笑的东西哟而且就完了。
[23:37.360] 我们试驾的那个
[23:38.380] 车是在他那个他那个到那就随便看了一下。
[23:43.530] 几分钟是吧？
[23:44.700] 妈妈没办法。
[23:46.740] 还有一个是
[23:48.140] 这太闷了，别说了，半年了。
[23:50.960] 没事我等会你。
[23:52.430] 我们正好凉快凉快。
[23:55.250] 下午我那边是指导加工具加还还还还不太一样，指导价是哪个刚知道。
[24:00.860] 把它放下来做了很多的
[24:02.990] 我们会把它做起来，然后是吧？
[24:08.760] 电话营销费用。
[24:10.820] 你说啥？
[24:11.520] 你们是不是
[24:12.750] 感谢。
[24:15.870] 嗯
[24:18.190] 同学们再见。
[24:23.340] 那么你们有没有
[24:32.840] 数据。
[24:38.910] 但是你比如说
[24:40.960] 妈
[24:45.550] 嗯
[24:49.810] 我们可以看出
[24:50.960] 对不对？
[24:53.250] 一样的。
[24:54.050] 啊
[25:02.670] 今天下午9:00，我后来现在
[25:06.170] 这个
[25:07.350] 来，请坐下。
[25:12.530] 嗯
[25:14.150] 噢
[25:15.520] 怎么着，然后这个
[25:20.060] 分阶。
[25:21.420] 呃大概先了解一下，反正是就是按那个标标标价算的啊
[25:27.690] 嗯
[25:29.990] 对写完之后。呢
[25:32.550] 所以派现在还
[25:36.430] 还有那个那个
[25:37.640] 这个指导价销售价格。
[25:39.710] 我们算一下，啊我们先跟您说这amg的这个
[25:47.660] 相当有作用的。
[25:53.250] 呃年息3.44，
[25:55.120] 活到银行利息
[25:56.410] 贷19万多，两年总共利息2万块钱。
[26:00.650] 嗯
[26:01.620] 嗯三年。
[26:02.700] 给三级的日子。
[26:04.730] 就首付多少？1万1万1万。
[26:08.230] 还合适。
[26:10.420] 不高，3.44现在银行正常的没有，
[26:14.150] 大概3.93.67你还能有点结余。
[26:18.600] 这个
[26:19.550] 唉他比如说你那个
[26:22.060] 对对那个贷款这块，比如我们这边有科大，还有您要您是分支贷过款分支那边的。
[26:28.550] Smart不是什么不太管，就那个那个
[26:31.760] 到底一下还是有点那跟那没关系没关系，对。
[26:35.100] 反正是不会不会不会影响，如果说您那smart当初买的时候是
[26:39.260] 是谁是谁的名？啊
[26:40.670] 那是我媳妇，对你他当时贷款买的，这个我们在二次贷款的时候，
[26:46.160] 如果说先享后选那种方式的话，能够也也这样。
[26:49.830] 就直接把那车卖了。
[26:56.770] 就是要做。
[26:59.240] 然后还有没有什么。
[27:01.100] 嗯
[27:02.050] 有的就是30 39是国内全下来的。
[27:05.060] 存款应该是多少？
[27:06.950] 就按标准。
[27:10.010] 嗯
[27:11.260] 目的目的
[27:16.840] 马马马马虎，
[27:19.960] 嗯
[27:30.920] 楼上的。
[27:47.190] 还是实在实在不行。那个
[27:50.340] 这个
[27:56.320] 明白。啊
[27:57.770] 我们现在
[27:59.080] 对
[28:00.680] 嗯这个有点有用的，对的也丢。嗯
[28:10.510] 做成以后你直接
[28:11.920] 唉那本来是有点
[28:14.450] 唉你说那个有的话是不是得安静了一会儿？
[28:19.350] 不用再算了，你们你们都完事了。
[28:23.120] 嗯认识说我刚了一个
[28:27.620] 演完了之后直接在sat里面拿，然后也是有朋友，但是他们说我那样不对，
[28:33.530] 可以在我们公司里打，但是我们
[28:35.400] 咱们领导
[28:36.910] 你现在上sat好像就能直接打印。
[28:42.760] 我们来看一下。
[28:44.480] 没吃饭。呢
[28:47.190] 那个是这样的。
[28:49.790] 好的好的。
[28:50.810] 数据数据数据
[28:55.490] 一定不会的。
[28:56.560] 数据。
[28:59.620] 喂你好
[29:12.470] 我们传统的
[29:16.310] 多大了？
[29:17.210] 好。
[29:19.920] 辩护人有没有意见？
[29:21.970] 达到2000万。
[29:23.690] 上门上门上门。
[29:30.080] 年收入是多少？
[29:31.440] 嗯
[29:32.930] 其实呢然后我们
[29:35.110] 这个
[29:36.850] 这个协议书上没有
[29:53.410] 针对深化这个项目的
[30:00.070] 帮我标个车，
[30:01.540] 有6个
[30:03.030] 当然了，
[30:04.870] 嗯
[30:05.960] 嗯
[30:09.390] 啊这就已经取消了。
[30:24.640] 差不多嘛就他们变了。
[30:26.420] 还是见到最多的。
[30:27.610] 嗯这就是我现在一直没变，这是关键。
[30:32.800] 他是这个嗯
[30:35.330] 然后那个稍微等会我还会给你发。
[30:37.950] 那个
[30:38.680] 我们这是
[30:39.400] 刚才他讲的
[30:40.320] 河南的照片，
[30:41.440] 另外这个颜色呢就是197
[30:44.970] 要严黑，然后48是那个东北的时候，可以说东北是
[30:50.890] 嗯
[30:54.000] 嗯
[30:55.350] 嗯
[30:56.250] 还有是吧？
[30:58.960] 应该没什么问题了是吧？
[31:02.590] 就是说把这个项目的
[31:04.870] 面向大众的发展，
[31:22.080] 然后那个
[31:23.020] 好像让让各位领导来
[31:26.090] 会越来越好。
[31:27.510] 然后坐车还是坐车？
[31:29.230] 我这里面有没有东西？
[31:31.050] 一年到来的时候，
[31:34.150] 嗯
[31:39.560] 申请还有
[31:40.670] 男领导还是谁，
[31:42.330] 他们把这些原来的东西唉全都给
[31:52.070] 拿着钱下去。
[31:56.350] 那你们到底多少？
[31:57.640] 大概全款下来45，
[32:00.280] 对不对？
[32:01.120] 怎么样合作关系？
[32:02.590] 贷款其实还是
[32:04.600] 我画主要是画圆了。
[32:07.210] 新闻完了以后又优惠的优惠对，过去啊有优惠是因为收分期服务费，现在我们不收费及服务。
[32:16.770] 嗯
[32:18.050] 就就直接那个那个点出来。
[32:20.650] 就直接立起来了。
[32:21.970] 对，你我就利息我们也收不着，而且还是低息，比银行利息就低。
[32:26.400] 对吧？就直接的就是你要是别原来那分期服务费，我给您优惠点或者什么的就行了。
[32:34.480] 那现在股东也大概
[32:36.100] 有优惠吗？还是说普通的？呀
[32:38.420] 我给您看看。
[32:40.210] 普通的唉优惠不了多少钱。
[32:44.490] 你来读。啊
[32:46.110] 你来一个。
[32:47.710] 公司法人，包括
[32:49.910] 一般时尚还有
[32:51.920] 他没去过。
[32:53.290] 在天下上班的时候，
[32:55.560] 唉你说到那个份上，
[32:59.420] 嗯
[33:00.910] 就是过户这个牌子。呢
[33:03.370] 那么这个
[33:05.230] 做完过3500和360。
[33:15.720] 他们开医院的。
[33:17.040] 嗯
[33:42.480] 普通的。唉
[33:45.080] 现在店里大概优惠4万左右，完全是不对不对不对，那是国产的。
[33:51.180] 是国产的。
[33:52.610] 啊差不多。
[33:54.290] 差不多对。
[33:56.850] 国产a4万。
[33:58.410] 进口国产都差不多4万多。
[34:00.540] 我进口国产的3600是吧？然后看看
[34:03.820] 我们关系都没人知道。
[34:05.240] 主要看镜头也不干活，这进口的东西就没搁这等着，是对整个市场。
[34:10.170] 这
[34:10.940] 这这几个配置有什么区别？啊这个你那个2.0的那个那2.0的那块。
[34:17.760] 200那款是4区的，220没有，那个其他那两个款就是什么？那个那个
[34:24.270] 有没有导航带不带科普类，
[34:27.190] 然后带不带环境配煤灯，首条座椅电动座椅有没有造成影响，基本上就这些就这些配置类的差别。
[34:33.730] 你像龙骨不一样。
[34:35.350] 你基本上就这样。
[34:36.760] 织物座椅和他们那个皮革座椅。
[34:43.330] 呃等是等
[34:44.970] 噢
[34:46.280] 嗯看哪个是哪个等啊您要哪个
[34:50.810] 就是那个什么的那个进口的两厢的。
[34:54.420] 现在连计划呢连我们连表都没有估计。
[34:59.010] 就是说你就说包括你看我们这个课表，比如说就拿着B版币来说，吧你看我们这。
[35:04.960] 一年挣的这个也就是说
[35:10.920] 有在在读的
[35:12.300] 这车就很快就到了。
[35:14.720] 然后呢
[35:17.010] 嗯
[35:18.440] 没异议，这是不是这个
[35:20.160] 还是
[35:21.140] 还有还有一个那个什么
[35:22.840] 但是后面还有这个计划。
[35:26.050] 这个也是在不管，那计划呢就是您看着计划。
[35:31.240] 你这是没生产的，8月份生产的，是7月份生产的。
[35:34.320] 我还没有那个就等着。
[35:36.430] 呢
[35:36.960] 那就一点连个表都没有。
[35:39.320] 没有
[35:40.160] 没有没有没没有可能没有没有。
[35:43.370] 那谁不拍那谁不拍200？
[35:47.360] C购卖211.5是吧？1.51.5是1.6的1.6t
[35:53.520] 这样来涉及到就是
[35:55.840] 这样25，
[35:58.730] 谁知
[36:00.910] 1.5倍。
[36:02.490] 我们这有100个箭头一个蓝的。
[36:05.420] 那个现在价格怎么样？
[36:10.610] 就这几款看来
[36:12.000] 这个差不多的。
[36:17.350] 2万块钱，
[36:18.830] 这22万2万块钱的优惠，
[36:22.470] 这个钱下来大概
[36:24.090] 嗯
[36:27.240] 喂
[36:56.420] 一半一半。
[36:57.520] 也可以。
[36:59.150] 这个可能我给你看看这个例子。
[37:01.180] 啊
[37:02.160] 24小时。
[37:23.120] 真难使。
[37:23.880] 就是啊这个
[37:31.130] 原来。
[37:34.220] 啊
[37:34.860] 原来都是表。
[37:36.960] 网络
[37:40.560] 呵呵
[37:45.480] 你
[37:48.120] 能不能说一下？
[37:48.980] 这个
[37:52.560] 3.3.72. 
[37:55.240] 没有没有没有。
[37:56.380] 两年的3.72。
[37:59.270] 三年的4.2，这比那还高，这也不行，做银行就行，银行贷款是
[38:04.960] 3.7左右，利率比这个
[38:07.920] 就你说3年5年的可以做5年，啊
[38:10.850] 就是利息跟那个
[38:12.370] 他这两年的一样。
[38:14.020] 分支金融也是分车，这车就是车就是好卖的车利息高一点，不好卖的车利息低一点，然后这个
[38:22.690] 跑量的说利息低一点。
[38:24.390] 然后这一年总共来个三五台车的那个就就就就就就就搁着对对。
[38:30.390] 明白我的意思。
[38:44.480] 回去商量商量或者哪天来带他，
[38:46.920] 你让他来，我们这有a的试驾车，a35的试驾车，虽然是三厢，你让他开着感受感受，我给他讲讲，
[38:53.130] 你看看他喜欢哪个车，再看看哪个车是吧？就这几个车都在你那个预算范围之内是吧？
[38:59.160] 那个稍微高点给点给自己点压力给自己点压力给自己点压力给自己点压力，
[39:06.950] 稍微高点，这不老有，那么他说他媳妇要买个宝马，结果三年以后又换成了
[39:12.970] 我我什么知道大哥就别在家里。
[39:17.040] 你就没多少钱，差了多少钱，要是有辆车，还是说他们说只要有东西还是开着什么，从来也不打算
[39:24.400] 一直扔到那扔了一天，看不了多少，那肯定他是有这个需要的才换车的对吧？
[39:31.330] 还好，我主要我觉得那小车吧好评，如果说那
[39:35.200] 到夏天一开空调就没劲了。
[39:38.150] 上过班回去的是老款的新款的。
[39:40.960] 上房上房揭220 7.30 10来万。
[39:47.180] 三小时二就是这个如果在坡上不踩刹车往下溜吗？
[39:52.490] 他还是最好没试过。
[39:54.750] 反正就是不算最新。
[39:57.100] 吧就是就是
[39:58.560] 是那个半自动变速箱的，不是那新的那个饭店，那不不是那个楼房，房子管那什么太难使了，对对南海路一号都不管了了。
[40:07.360] 突然一哥们说是过的广告了，开始了，原来指定都不买了，
[40:12.040] 就正常比较多。
[40:14.490] 就因为原来有一个我。
[40:16.060] 这个
[40:16.910] 出去因为做活动，然后得用我车，然后给我赔那么一车，开了100，我的妈呀我。
[40:22.480] 他妈
[40:22.930] 没意思我
[40:24.140] 呵呵那时候21的这就就是对对对对对。
[40:29.080] 还是。
[40:31.710] 你带他来看看，所以股票
[40:34.060] 嗯就2000万也没有，你可以看那那个进口的，然后试驾车也都下车，你可以是C也可以是这A虽然都是常州，但你就体验一下感价值感。
[40:43.870] 你自己折我这样就比较感兴趣，说说白了咱今天看看铺配，
[40:48.670] 他觉得我也还行。
[40:50.590] 没有，您住的离我们这干嘛造还好，其实嗯对就是不远，您就这样吧您就看看。
[40:58.720] 周末周末都休息，吧周末就咱约好了，到周末你带他过来试一下。
[41:05.430] 他们
[41:06.400] 因为一个班还得有一段时间，要么就走，然后刘娜号是吧？
[41:10.840] 那号看看玩够了一下嗯把它错开了，面试面积有时间，正常弄着车玩什么车牌什么车牌什么经验的，今天有点
[41:20.370] 你不玩我走了把你干什么呢这车差不多点。
[41:24.520] 什么号？啊
[41:25.880] 经济权数字两个字，
[41:28.900] 那他妈更贵。
[41:29.940] 就是普通的那个金杯子。
[41:31.940] 因为那个
[41:33.270] 这里边最重要的是。
[41:34.640] 那不是现在在现在几千块钱就能弄的，不是。
[41:38.110] 那个
[41:38.920] 资质资质咱们这个原来
[41:42.940] 借款的一个
[41:44.100] 好像是一个弄个姿势弄一下。
[41:47.320] 噢那么贵等于弄了一个指标，啊
[41:50.170] 可能不行了，指标厉害了，
[41:52.200] 现在弄不了了。
[41:53.600] 就这么贵。
[41:54.680] 噢
[41:55.490] 我们加起来他们当客户做过保洁的了，
[41:58.900] 你要再再加一车，
[42:01.950] 那现在可值了钱了，现在弄也弄不了，唉呀我说这也是前前一段
[42:08.120] 我们在孤寂那么多年，然后又这么贵的价钱
[42:14.080] 小事我就觉得。
[42:15.310] 行那这么着，没有别的需求，然后咱们我一会儿给您发个短信，明儿给您打回访电话，周末您约咱过来看看来呗行吧？那你周末反正。
[42:24.000] 这最近事儿也比较多吧叨叨。
[42:26.220] 行，我平时没啥事，我先转吧行我先转好他再过来行。
[42:31.520] 嗯
[42:32.470] 这边可能分享，你知道有有有您弄您别着急。
[42:37.370] 离不开客户来的是吧？
[42:39.350] 停哪了？
[42:40.200] 你就扔扔了没法。
[42:41.980] 您这样不到三小时吧还不如去批他店了，吧嗯我看看。
[42:46.520] 嗯嗯好的你好的你好。嗯
[42:49.270] 到底我漏呀我都不太想要奥迪嘛这这有一辆没什么意思了。
[42:54.550] 嗯
[42:55.280] 觉得这地方也没啥。
[42:56.900] 我不认识。
[42:58.020] 那您就这样，您要是不走呢您就到奥迪那出去再走，因为扫完码15分钟之内出去，您不到15分钟就重新计费了就合适了，您就留完了您再走也行。
[43:07.690] 啊行没问题没问题。
[43:10.590] 好了好了好了，就这么着，感谢您帮您。
[43:14.580] 那你要低的话就溜达过去就行了，一会儿溜达过去回来再上我们这跑马了也行。
[43:20.200] 嗯好勒，那这么着慢点走，拜拜，嗯感谢光临。
[44:02.760] 啊
[44:05.090] 嗯
[44:06.590] 嗯
[44:10.650] 嗯好的。
[44:11.920] 听清楚了。
[44:12.910] 一个不高兴的事情。
