[00:00.000] 经济是现在不是又怎么管的这么意思，我们这边不是属于中风险，
[05:18.600] 时间中午左右。
[05:20.490] 6
[05:21.580] 月。
[05:23.130] 能不能这样？
[05:26.450] 换换一个时间短。
[05:31.360] 对，您要不就集合几率，就沙尘天气文化十二变不大了，要不你要着急咱就
[05:38.960] 做常规保养。
[05:40.750] 找您下回年底之前再来一回。
[05:45.160] 火花塞换的话还行，也得要保养家伙，咱怎么也得两个多小时至少。
[05:52.470] 行了可以，一般你们别到时候你们觉得他们为什么伙在一块给你换了时间可以在11点多钟可以。
[06:03.750] 11点现在9:30。
[06:07.000] 11:30怎么也得。
[06:08.800] 那就是机油机滤加活塞，然后下次你要能早点来，咱就
[06:15.030] 他们那些其实没事，有的车我以前开车8万公里，因为你得开的少，
[06:21.870] 但是他有一次免费的，所以您要是下次想换，您得在11月25号之前来。
[06:27.500] 坏。
[06:33.070] 然后您这车
[06:37.380] 的。
[06:39.840] 延长保修整车跟核心，因为您这车快出保了，
[06:45.990] 如果参加出保前检查活动，一年延保才1000多块钱，
[06:51.900] 两年是3000块钱，一年。
[06:54.570] 是什么意思？发动机变速箱帮你延长一年的保修，原来不是三年到今年年底吗？这样就到明年年底。
[07:02.950] 多延长一年，如果出现质量。
[07:04.770] 一问题，比如说故障灯报警，然后漏油这种。
[07:08.110] 都是免费维修的。
[07:09.650] 只是这样的景象吗？对，他是分一年两年。
[07:13.590] 这是奔驰推的延长保修。
[07:16.220] 原价买的话是一年是1800 2200 3300。
[07:19.980] 您现在不排除没什么才1000，这才省了200 200块钱，对，是因为您这车快出保了，所以买的话会厂家会有一个额外的优惠。
[07:29.870] 要这样我就不参加了，我到时到时候如果说我要延保，我到年底的时候我不是还来吗？您您打不了万一千八。
[07:37.060] 我知道您别过了，要是过了的话可
[07:40.500] 买不了可以，你们浮动不忘，不这是厂家的活动，然后我们电视外送您送个礼品。
[07:48.000] 算了一笔。
[07:50.180] 然后刚才一般保险是在咱们这上的吗？是在咱们上面。
[07:57.460] 保险也有一个活动，我年底前会回来上班。
[08:00.780] 保险现在是您有一个了是不是？跟这没关系，保险是现在有一个附加险，
[08:08.720] 叫代步车，
[08:10.590] 您交1500块钱，只要一年之内您来这修一次车是返您2500现金。
[08:15.440] 这个挺14年半斤，比方一个就返给您的钱直接打进卡里，
[08:21.350] 这是非常合适的。
[08:25.170] 的。
[08:26.020] 这个意思是我现在交钱可以，这个是您保险上保险跟您这没关系，这个是一年有效期，您什么时候买什么时候生效？
[08:35.040] 也就是说今天买他有一个15天的集合7，
[08:38.720] 也就是从今天算15天以后，您就可以随时来修车了，
[08:42.840] 然后跟修车有关。
[08:45.980] 这2500块钱只能是做修车用，不是。
[08:49.950] 他是额外的叫代步车险，您上完保险以后，
[08:55.030] 一年之内这个保险就跟您平常商业保险是的，一有要有效期是一年，一年之内，您比如说车有什么外伤剐蹭，或者别人把您车蹭了，您来这报保险修，
[09:05.240] 只要您修一次，不管修什么，只要报保险去修一次，它就直接保险公司会返给您2500块钱现金，
[09:12.820] 打到您的卡，我现在还没买新保险。
[09:15.590] 跟您保险费用对，跟您保险没有关系，您保险只要是有商业险
[09:21.730] 就可以。
[09:23.600] 如果您没有这个产品，您不是正常该修车报保险也保险吗？就没有补偿吗？但是您买了他就有补偿，你给我2500对2500修两次5000，一年最多
[09:36.490] 修两次，
[09:37.940] 我到底是交多少钱？1500 1498非常合适。
[09:43.130] 就这个月现在现实跟保险公司合作了，
[09:48.280] 所有的保险公司不行，你们这好几个保险公司，人保、平安、太平洋，我现在是哪个网页？
[09:53.690] 您是在这上的吗？到时让他给您查这三个保险公司都可以。
[09:58.800] 我明白，您只要在这上就可以这个弄一下，对，我觉得非常合适，需要您就是说唯一的如果我没有出起来就白交了。
[10:08.740] 您得这么想一年是吧？咱这一年是从什么时候开始？从您今天上
[10:15.020] 到明年的这个时候，它的有效期十几年，
[10:21.040] 这个还跟保险一不挂钩，跟保险它是两个险，您必须得有商业险能辅助您修车，保险才能生效，您不是也上商业险了对吧？车损不是都上了吗？
[10:34.230] 对，那就可以了，比如您到时候报保险修您车的时候得报您的商业险修车，
[10:39.890] 只要您修一次，这就反这两天我就
[10:42.910] 水质银行只能到明年。
[10:46.440] 到明年7月份对。
[10:48.940] 7月份对，到明年7月份7~7月底吗？
[10:52.560] 您要今天7月7号上班就到明年的。
[10:55.730] 月7月6号应该是。
[10:58.500] 应该谁知。
[11:04.130] 恶。
[11:04.700] 行，你先帮我办手续，你琢磨一下，待会我带您过来取的时候不是给你给了不用，待会我这样我带您到保险，不让他给您讲讲您就知道吧？
[11:14.500] 现在好多客户全买，因为这说说实话。
[11:18.530] 挣钱的一个买的。
[11:26.080] 的
[11:32.110] 你看我跟你说。
[11:36.700] 行，您到时候拿着行驶本跟身份证。
[11:42.200] 经常在外面
[11:45.520] 的。
[11:47.050] 其实一样，现在好多车都停那不动都被别人蹭了是吧？这东西说不好了。
[11:54.530] 其他一下车库里了稍微等两分钟骑车，咱没事，待会我知道您的车
[12:02.650] 快。
[12:09.520] 6
[12:15.470] 的。
[12:18.020] 二
[12:18.800] 您这车待会我让那边保险再给你洗车去，因为昨儿下雨了。
[12:28.920] 数据、
[12:36.270] 手机。
[12:42.560] 的
[12:44.370] 这样
[12:45.570] 到
[12:53.410] 行驶本跟身份证您都带着了。
[12:56.280] 身份证带着
[13:02.470] 我那车库里这边的。
[13:06.820] 可以，
[13:08.270] 包括我罗城墙上的也对，就是说白了您的保险涵涵盖的修车的面都可以，只要您在这走保险修车生效就能赔您钱。
[13:20.600] 他。
[13:21.940] 的前提是您得在这走保险修车就走您自己的商业险，我现在保险在哪呢？
[13:27.800] 您不是在这上的，您上的人保、平安、太平洋这三大保险公司也都能在这儿修车。
[13:35.440] 产品
[13:44.150] 会上火，
[13:48.570] 说话
[13:51.310] 远。
[13:54.890] 数据
[13:56.510] 数据
[14:00.650] 谁知。
[14:10.410] 我有点不信
[14:11.680] 景观
[14:13.370] 这一年保险
[14:14.700] 也想他了。
[14:19.090] 你就让他
[14:25.700] 了。
[14:27.350] 合适？为什么给业主。
[14:30.820] 到
[14:32.120] 当时我告诉你
[14:34.930] 还要办，
[14:37.120] 要注意看看。
[14:38.720] 不要紧，你按照
[14:41.200] 完了小时我这有。
[14:43.900] 他愿意还是在我们的帮我送。
[14:50.490] 可以以后要这种事特别小心一点，这是。
[14:58.590] 他在。
[15:00.920] 了把伞我知道，但是他为什么只解决了，当时你不在。
[15:10.650] 李先您这车号是尾号97对吧？然后
[15:14.650] 您稍微等会让他们买一汽车去，昨天下雨了。
[15:19.260] 好，要做好准备，好好谢谢，你们可以到这里看看，
[15:25.590] 好不好？
[15:27.820] 这东西咱们谁知
[15:32.690] 看你们吉它。
[15:33.960] 到了6月16号。
