[00:02.060] 接待了恢复介绍马女士。
[07:20.670] 然后现在就不做了，客户也觉得什么，以前是你做东西给你，这个钱能给您多送点东西，现在
[07:29.040] 我们也不让您坐也不让你做，你想做就做，不想做就不做，我们所有东西也都展示您都可以。
[07:35.960] 但是你买这车你肯定我觉得你该做的也还得做，到时候您做的化妆师上给您甜一点，做卖方。
[07:42.010] 初一了解过吗？
[07:43.480] 不做，如果您还是能不能在车队隐形车衣？
[07:49.210] 真的挺好。
[07:50.240] 看你华夏千家没有是吗？对可以多少钱，到时可以带您去看一下，然后还有模什么的都可以带你去看一下这个车多少钱。
[07:58.790] 我们这车衣是进口的，你说你先体验让我们竞品，我们直接是精品的人，直接给您跟您讲的。
[08:05.310] 没有意思，咱先说互换是就说这个事，就是车这块这车是加钱的姐姐，
[08:11.830] 你们都不信，真的是加钱的。
[08:14.470] 这价钱的车说实话他换一句话说任领导咱关起门，咱说人领导就这么的，车也不多，人也不愁卖，说句话。
[08:24.410] 对吧？所以说人家也就那什么，
[08:26.670] 人能干，你别忘了小姑娘疫情期间有好多人都资金周转不开，对温饱都是问题更换，但是你像您一样买100万的车的客户肯定实力还是很好，很有实力把这个问题能拿出去了，你想您说笑了，
[08:44.170] 别说笑了没什么吗？
[08:48.910] 喝太多了，您说的我都不信。
[08:57.170] 真美美。
[08:58.840] 因为我也比较实在，都是薛经理介绍过来的，所以
[09:03.120] 我就不舒服，不行不买了对吧？不去吗？我们拿过好几次，因为家长我们就不买，你是不是之前来比现在加的还多
[09:12.280] 了16万，是不是现在肯定比现在多了，我说不管你们这个毛病不买价格，谁知家家乐还是不加调查我就买，
[09:22.410] 估计等到10月份没有问题。
[09:24.480] 10月份是吧？我走了也是不买了走吧。
[09:27.960] 10月份他还不一定能有车到，都不一定能有车，一共在头也没几张，反正你不是有他微信电话吗？有便宜的你就跟他说他过来接定可以，但是那会儿不一定你评价的时候你也没有车，
[09:39.680] 让你判断你现在关键我家在不也订，我也不是，我说您凭着课都得9月份到，您觉得他9月份他能去评价了吗？不可能。
[09:49.010] 450450最顶配的真不能，你要是350您说等等再优惠个几
[09:54.460] 几千块钱，还有可能。
[09:55.890] 3000 5000还有呢？
[09:57.290] 450的还真
[09:59.060] 不太可能，你上次什么时候72%P24的村办点的车，但是
[10:05.250] 他这0335是2.0还是072.07对。
[10:10.900] 2.4和2.07动力更大，2.07:42.0他稍微动力强那么一点点，但不一样，一个您是自然吸气的，你是6缸还是济钢的？
[10:20.050] 对这就是钙吸气自然吸气的，你有可能他2.4的有可能会不到4钢圈6辆车，然后6缸车动力会好一些，
[10:28.320] 然后4缸车的话跟这车动力方面差不太多，涡轮增压的会比那个车稍微强一些。
[10:33.400] 第2.4的，
[10:34.770] 因为我看看尽快的，
[10:41.040] 谁知
[10:44.260] 这么算的，那边差5万，这两三天都算了25万，
[10:50.650] 我们不知道80 20 13这两万二五二15万，
[10:57.130] 一共就三台车，
[11:01.460] 一共在投这三台车那也没有。
[11:05.420] 是没有，就是说一个我们看到资源现在就三台，你们这边不是有几个店共享吗？是不是？
[11:11.670] 因为我们店是您要去闵庄，他到年底都干不了您车，
[11:15.340] 为什么？店太小了，厂家不会给他们什么多好的资源的，包括您说就跟电大进小镇有关系，摆到D是全北京算是最大的一个店了，每个月销量是300多台的，价格也是最贵的，不是您可以去您可以去，第一点我们店月任务314台，
[11:33.610] 你的目标我们目标是15台，每个人一个人已经完成几个完成？
[11:38.910] 11个。
[11:39.870] 快了我就要订一个就多了。
[11:42.880] 您是提不了没有现车以后他就算是吧，你就算我等到车到了预约的这么回事，
[11:50.750] 你就多优惠点就怎么着，9月份到了我也就过来交钱了，是不是？哪怕是您什么时候管他哪天到是不是？反正早晚点就到那天8月到9月也到了，
[12:05.350] 但是真的是
[12:08.710] 别的没有什么车给他推荐的。
[12:11.080] 别的你这种大的SUV再有更大记IOS了，S都7座就别跑了，那太大了。
[12:17.450] 103万多发动机跟他是一样的，轿车同级的S级轿车
[12:25.840] 8 852,800，
[12:31.290] 能够换成透明，但是不知道你喜不喜欢开轿车，我看过，因为我这差不多就叫出来，所以我就想换SUV，但是确实后边宽敞，没有轿车舒服，对确实是这么回事儿，S级特别舒服。
[12:45.670] S级确实挺薄，是因为骨骼的也舒服舒服，开着也舒服，也不用加钱是吧？也不用优惠，现在优惠车优惠5万，比我们店这周的时候做活动优惠5万，正常之前优惠4万，
[12:59.520] 因为那车有几辆库存，有三辆还是几辆，91万是1万全办齐成半集就是顶配吗？不是顶配，0分1,218,000，
[13:09.430] 差不多5。
[13:16.720] 免费的120。
[13:19.970] 也不能优惠。
[13:21.620] 加42,000，同时也不是事儿都没有，主要是您到时候看看您到时候都给您介绍，然后给您多送点，就您买的咱您送不了，我多给您买点东西。
[13:34.130] 您花一一次对您说的也没错，还是便宜点，实实在在比啥都行，再说是不是对装饰到时候你们看你们需要什么你做什么。
[13:44.550] 我们也不想是随您
[13:46.390] 将来要不再等等
[13:48.190] 等等，等下月再看下边反正都还是6万多4万
[13:54.010] 行等等。
[13:57.710] 这样。
[14:00.050] 看看你们怎么都行，你不能找你们经理申请一下，我去给您问问行，你去给你问问这个事，直接问450。
[14:10.130] 看看在哪安排一下。
[14:14.070] 三
[14:16.450] 三
[14:26.600] 做然后不管。
[14:37.030] 这车门打不开，那找书你到前面找那叔叔阿姨帮你打一下，
[14:46.250] 我还以为你都没肿，对太夸张了，我是一个小母脚趾头磨成那样，还有个中指，
[14:51.780] 我看到种植种子到没想到是昨天
[14:56.630] 了。
[15:53.000] 我明白了明白。
[15:54.670] 了，那么这地方还是水晶灰色的，
[15:57.050] 我们家整车放了一辆450动感的白色，然后那个地方就是很贵的，我感觉好看。
[17:25.680] 阳哥，
[17:26.730] 我一个朋友介绍的这LE450号3
[17:30.770] 5月份能到车，
[17:32.660] 然后我刚才报的是4+4万，然后他问能不能便宜点，就说来得有一个多小时，
[17:39.890] 两点来都行，多少钱？
[17:42.440] 他也没啥感觉，我说便宜不了，我说给你问问，然后那你就说要不再等等。
[17:46.530] 他说他之前来过这，
[17:48.360] 前来过这里。
[17:51.590] 咱权限都是全权就是48,000。
[17:54.570] 您的全名是35,000 35,000 35,000给他。
[17:59.370] 快乐。
[18:00.560] 三五年转贷我已经
[18:03.600] 装饰现在就没法聊了，为啥？他特别惧怕连验车都句号，但是他有个分期做，我给他推工行的。
[18:11.650] 5年。
[18:13.160] 但是9月份还能不能有的？
[18:19.290] 还真来过这人。
[18:21.350] 你看
[18:22.400] 里面有
[18:25.560] 激活的之前是被失效的。
[18:34.870] 反正无所谓还真是，而且还是他确实是学学支行介绍给我，还真是他记得还挺清楚。
[18:45.290] 他是吃了是吧？
[18:47.410] 对，失效了不就行了吗？它不时效的话反正
[18:51.050] 他也是
[18:53.840] 他是学学区这么这两你给他送装饰。
[18:58.300] 宋庄他要装是吗？他跟我要我给不了，我送不了我不想卖你。
[19:03.960] 你想卖了，我就想到时候卖他的车一。
[19:06.870] 行送。
[19:08.270] 但是现在就没法聊了，因为我。
[19:10.040] 送5000保险，
[19:11.480] 送5000块钱。
[19:13.530] 4万多名5000保险现在
[19:16.040] 没问题。
[19:17.910] 行，送到五金毛9。
[19:20.460] 他愿意订定不定你拉倒吧。
[19:22.920] 对，这种车也别跟他叹着。
[19:25.100] 了。
[19:25.600] 只要通过5000保险的前提是让你给
[19:28.700] 在他家里做装饰，
[19:30.810] 他不出来也卖，但是你不是想多挣点吗？那桩事我就得只能是什么，他交车的时候。
[19:36.340] 车到了她装着咱车道再聊。
[19:38.690] 现在就给他5000保险没有筹码。
[19:41.390] 小9月份价格有没有啥变化，也应该不会太大变化。
[19:47.020] 我想的9月份会不会有什么。
[19:49.080] 话，咱这期货其实是最早的。
[19:53.060] 可退的是吧？期货的和对吧？
[19:58.020] 你只能写一付款是吧？目光对。
[20:01.190] 就不跟没有主要的，所以说你就现在说。
[20:04.640] 刚才问我能不能她说你定了。
[20:06.010] 不能退了。
[20:07.630] 你别对是都应该这么说，当时还真是说你价格便宜了，我他要退，反正可以也给他，咱可以改，你现在跟他说什么不逼着人家到时候给你，是，所以我觉得现在是不是也行，就按照给他。
[20:21.500] 再让。
[20:22.280] 5000块钱送到5000保险835,000。
[20:26.110] 你再看一看，我给他看出来了。
[20:31.080] 450豪华
[20:43.890] 最新政策在哪里？有？
[20:46.260] 叮叮那个文档。
[20:48.560] 是15号楼，反正是没有最新没有，一直就没再更新了。
[20:52.980] 行。
[20:57.690] 装修现在没事。
[20:59.080] 什么事儿？
[21:10.010] 是吧？
[21:10.800] 说清楚北京高校。
[21:12.910] 但是
[21:13.800] 的话验车的现在先别说了，也成不了，然后拿雷装饰的事行，我再去问问。
[21:20.660] 分期。
[21:21.780] 5月份还有没有？15.5。
[21:23.380] 有事吗？你先问问好好。
[21:39.910] 听听就9月份车的9月份能到，还有张工行15.5的吗？
[21:45.820] 有是吧？行，那我就去跟他说好。
[21:51.890] 好。
[22:34.970] 当时那时候我们的销售总监给
[22:38.180] 薛经理打了个电话，然后让徐经理跟他又说了一下，然后在这基础上5000再送你5000块钱的保险，
[22:46.070] 这真的挺实在的了，也没说送一个贴膜什么的，贴膜你也知道那不好的贴膜，
[22:52.360] 千八百的几百块钱都有，就直接再给您送您5000保险，咱这也不会搞什么宋庄什么这种东西。
[22:58.380] 还是会的，您要是再觉得贵我就真没辙了，这上个边它真当他的面就给薛经理打电话，然后又跟薛经理跟他跟我们销售总监说了半天，
[23:09.380] 才给您再让给您送你5000块钱保险。
[23:12.280] 应该交2013
[23:17.480] 4。
[23:19.610] 你就定下来，我觉得这个价格可以了，刚才我同事
[23:23.670] 我让您看我还帮您问，
[23:25.950] 你怎么有这么牛
[23:30.280] 管理，
[23:44.780] 结果一丁点都不给你撒谎，我这是拿您当朋友，我就跟您说，这是我另外一个同事的店，我说加多少钱，他说7万，我说我们家加4万。
[23:51.710] 然后我刚才又问他，我说你们家最低能加多少钱？
[23:55.290] 三冠军都不是人的，咱真的有什么说什么。
[23:58.390] 因为我也在帮您找我，我也因为都是
[24:01.360] 都是朋友介绍的，您看您别问我，我就编给您问。
[24:04.520] 因为我这没去看看，我怕我说我给您报的多什么的，
[24:09.950] 都这么说，我都敢这么让你看，我好像被蚊子咬
[24:12.710] 了，有的是吧？我好像得了那样四五，
[24:16.100] 我添了这么多蚊子看见了都没看见，我给你咬了4个道，有个差不多我也好几个就搅和。
[24:23.670] 这叔叔多少包一个包1万。
[24:29.210] 昨天这一下有两个
[24:32.230] 真的挺低的了，还送你5000块钱保险价格35,000块钱吗？
[24:38.360] 133
[24:42.850] 9月份到车队，9月份到车，黑色的外观，棕色内饰5座的，
[24:50.630] 5座的对你的否定之声，
[24:53.660] 跨版你想要的都有了，
[24:56.840] 没有座椅通风，我还
[24:59.980] 夏天没有座椅通风确实没有，但是奔驰的车的空调制冷还是挺快的。
[25:04.510] 您的车开过来需要现在评估还是什么时候评估？
[25:10.070] 咱车再说行，您说我自己就败了，你别自己卖他6000块钱保险呢，
[25:15.690] 保险就是您置换还有6000块钱保险赠送的，大公司在说，但是你评估的话，那到时候比人家外头评估的低，所以说您综合比较
[25:26.070] 如果我们这给您提供5万，然后外边给您提供6万，您就踏踏实实在外边，如果我们这给您评估5吗？外边给您评估55,000，
[25:33.230] 你不也卖我们合适吗？56,000，你到时比较一下来写屁股，对，你现在正常以后看能不能给个。
[25:40.230] 对没错，你身份证给我一下。
[25:44.400] 您接着给银行把贷款，到时候贷款我都给您确认好了，贷款利率9月份说不变。
[25:50.400] 我就怕我刚才都跨店，我就跟你都确认好了。
[25:54.150] 利润会不会下午？
[25:56.890] 工行正常5年是20 20个点，这是我们跟他们合作大型车迈巴赫GLE记IOS特惠15.5，
[26:06.240] 所以我先去确认了一下，
[26:17.340] 我看到一个那个人这一波不行了，那行不行？还有有北京的晚上，一会昨天北京的太多了，有可能咱俩都招蚊子，
[26:26.820] 他应该有了，我看见文字找他出来，主要是这块快递，
[26:31.720] 咱坐那边也可以，这里边没有特别亮的地方都把我弄手去，然后我等等去。
[26:39.160] 姐您有居住卡居住证。
[26:42.370] 我没拿都在你一下有就行，好勒。
[28:33.630] 咱们期货能用毛笔做吗？
[28:36.600] 我看有偏好，然后
[29:46.720] 我想问一下LE450豪华889,800那个车，
[29:51.530] 能到的车架号是多少？9月份能到的？
[29:55.600] 我刚才没有记，
[30:01.680] 现在客户要订车，然后我说我榜下车，
[30:06.860] 不是这LE450豪华最顶配。
[30:17.430] 889,800那款。
[30:20.040] 一
[30:24.100] 对，在之前我还让您帮我查了一个450，
[30:27.320] 说有一个9月份能到的。
[30:37.970] 申请
[30:40.030] 数据
[30:44.040] 场
[30:46.910] 场
[30:55.280] 谢谢。
[31:16.850] 数据
[32:30.810] 数据
[32:35.330] 场
[32:42.290] 号
[32:47.730] 两
[32:57.040] 话。
[32:58.160] 请您稍等一下，这个车在途的车，然后我得把你让他给我绑一下车，这车就保给您保了。
[33:06.570] 不用问这什么东西是吧？就用您身份证就行，一会我叫你喝点水，稍微等一会。
[33:16.850] 场
[33:21.050] 大
[33:27.530] 数据。
[33:31.990] 对
[33:33.460] 的。
[33:35.430] 对。
[33:37.810] 二
[33:45.500] 二
[33:49.070] 三
[33:51.540] 10
[33:55.570] 给你打电话
[33:59.810] 的。
[34:03.590] 数据、
[34:10.710] 数据
[34:12.040] 的
[34:15.430] 场
[34:19.520] 场
[34:24.030] 的。
[34:42.620] 我用一下我这起来这没xp，再见。
[34:48.110] 电脑。
[34:51.030] 了。
[34:52.210] 给你
[34:57.480] 场
[35:00.520] 场
[35:01.980] 场
[35:06.510] 的
[35:09.830] 刚的银行的肯定。
[35:13.880] 他不是当地，他在内蒙了，
[35:16.830] 里面不能有S
[35:19.870] 怎么着？
[35:21.500] 包头也能交是吗？
[35:26.050] 对吧？报告翻了一下。
[35:38.750] 谁知。
[35:41.050] 没有。
[35:42.470] 如果后面就行了，托克斯、
[35:46.500] 福克斯。
[35:47.740] 哪个福克斯？
[35:49.250] 我说对了，他应该这两天就跟他联系了。
[35:59.870] 的确的10%等等我知道了。
[36:04.570] 但是当地就行当利润了。
[36:06.590] 没交。
[36:08.930] 我用S是做个订单，期货的一个订单还是加钱的？
[36:13.320] 所以我不会弄不让
[36:15.480] 我给你。
[36:17.530] 肯定什么是LE450。
[36:21.120] 我去。
[36:22.690] 魔比做不了，我比老师说加钱的没法做。
[36:26.920] 我知道他是国家前途在订单创建订单，对放假为什么？
[36:32.020] 创建会。
[36:33.240] 整车销售订单是吧？对。
[36:35.360] 客户。
[36:36.440] 这我就不再说了。
[36:37.920] 这么说不是这样的，我记者。
[36:40.580] 我其实好像。
[36:41.330] 不是这样的先点第一个。
[36:46.000] 是你的。
[36:47.750] 我们跟你们见面不太一样。
[36:49.440] 客户维护业务
[36:55.820] 听
[36:58.200] A
[37:00.760] 你在哪呢？
[37:02.760] 做。
[37:10.810] 有一个会谈到网站上在哪儿？
[37:15.070] 也没用过。
[37:16.750] 一回都没用过。
[37:19.170] 都是用锅里做的订单。
[37:22.240] 有一个能蹦到网站上在哪呢？
[37:27.270] 你在推出在什么一个为智能搜索在
[37:31.320] 哪位原来这里边不有一个能收入项目呢？
[37:34.820] 哪个人你们都盯自己的车。
[37:38.860] 提前退房两天我马上往里跳，
[37:41.860] 天天跟我们都有，我像说你那车我估计今天下午。
[37:46.080] 我那边名咋办？
[37:48.850] 我一早就给他打电话了，也没用。
[37:52.060] 提前说你今天说说第二天，
[37:54.670] 他头天晚上的车还掉不完。
[37:57.190] 所以你都得提前说。
[38:00.450] 对，明天。
[38:03.790] 想来接打电话的时候，我就在。
[38:06.110] 不是都已经第二天打电话了。
[38:09.330] 用他们车在我们。
[38:10.920] 答辩的时候说了三个车，然后我就看完了第二遍我。
[38:14.220] 我又问你问完了之后就紧接可以打电话。
[38:16.910] 因为你们发火的时候没有车。
[38:19.060] 然后或者是没有rp的，我都没法给你们做准备，而且是。
[38:22.510] 你发那个时间这么着，你用我那个放了不就得了吗？
[38:27.140] 你对。
[38:28.710] 我更没事了。
[38:30.000] 你也可以是吗？看我这脑子够快。
[38:33.220] 应该是可以，因为你。
[38:35.610] 创客户应该是可以的，然后在我那里边搜索。
[38:38.890] 对。
[38:41.360] 好的，sp好久没用了。
[38:45.050] 好就明白了，问那个老师吗？
[38:50.660] 我们都有这么一个东西你都没有，
[38:55.040] 对，我刚才说要不在上面搜索前面的名，
[39:00.540] 送他们就是你前面刚才谈谈吗？拍个照片。
[39:06.560] 一会儿
[39:07.330] 看看要不要换一电脑行不行？
[39:12.590] 换一电脑换外边，在老外边有人上二楼，不是上对面前厅，全球肯定没人。
[39:20.920] 你就着你们。
[39:22.220] 这是你的礼貌。
[39:23.420] 你说。
[39:24.740] 没有丢了，完了。
[39:28.330] 你们是一个朋友介绍的，
[39:30.000] 来了就跟我天即一顿，
[39:33.000] 你天天就这几个再联系，因为夏天打电话的时候，
[39:37.280] 我给她去坐车了，我这个星座了，
[39:39.840] 我给选择出错了，看错了。
[39:44.230] 然后后来说那个完了，我说你说他已经现成，我们现在说这个病，我说那不是你想要的，你不想在国内需求影响。
[39:52.570] 我们他说了半天，然后我就记错了，我说这35035450有一款是7座的，然后我忘了全都是选装了。
[40:03.110] 到了
[40:07.370] 笥我说什么到9月份
[40:10.620] 大期货
[40:13.810] 老板也有，我想固定，
[40:17.890] 我看有时候怎么
[40:19.680] 是不是不是去过的，
[40:23.760] 不错的。
[40:25.030] 后来我给你吃了或者两年，
[40:27.240] 他一想也这么回事儿，你吃过了。
[40:30.280] 反正你跟我说一声，今天给我打电话问我几点到什么。
[40:34.760] 你没跟我说没有车。
[40:38.230] 我看过介绍。
[40:40.210] 原来我们建的
[40:46.090] 现在见到
[40:48.880] 林经理。
[40:50.640] 不用。
[40:51.470] 我院隆重的句号还没。
[40:54.460] 可能今年
[40:58.250] 员弄过来，
[40:59.790] 只要现在和您联系什么事都没有，
[41:03.710] 林飞都没有。
[41:05.850] 黑莓。
[41:07.200] 谁都没说。
[41:17.590] 昨天我这话吗？
[41:19.020] 原来是2
[41:20.580] 刚刚开始，其实我还挺愿意用的，有些摸底还挺简单的模式了。
[41:26.020] 不是太难了。
[41:27.890] 瞬间我脑子就嗡一下。
[41:32.350] 咱们现在客户繁琐。
[41:34.300] 完了小明一点都。
[41:36.440] 阿姨送走。
[41:41.250] 还有希望不变。
[41:43.030] 完了。
[41:48.440] 我怎么没有那个项目？
[41:50.400] 应该就是在哪我也不开。
[41:53.240] 那天哥耗光我们弄，对，我记得庐山就是这样的。
[41:57.030] 对
[41:59.440] 没有了。
[42:00.660] 女士。
[42:02.760] 北京到这里，明天到北京地址。
[42:06.270] 断章取义。
[42:18.480] 大公司。
[42:33.410] 马姐我加一下您微信给我发您在北京居住的地址、门牌号、邮箱。
[42:40.270] 对，我给您发我加你微信你给我发过来。
[42:43.790] 好勒好。
[42:45.990] 电话。
[42:48.530] 电话就是我坐对面1368110。
[42:53.920] 可以吗？下面要不然条还有5。
[42:56.720] 我看龙山路过一遍。
[42:59.360] 进行
[43:13.300] 我没空，你这种情况只能你自己的一些，你当地处理还好。
[43:27.360] 这个地方你说
[43:30.520] 的。
[43:34.390] 个人
[43:35.900] 构成
[43:37.940] 然后我问这边了，我说因为他是专门干。
[43:42.500] 我说能不能处理，他说这种后现场他必须得本人拿，
[43:48.370] 但日本去。
[43:50.810] 他等于分实际上是当时候了，但应该还没扣应该是。
[43:56.180] 只是被揭露了
[44:04.720] 当地怎么说。
[44:30.280] 是吗？
[44:31.510] 这么走了那不行。
[44:36.040] 我问的时候我朋友不行，就等我休息的时候我给你跑一趟。
[44:44.920] 你别着急是吗？
[44:51.020] 换本了就着急这一两天就得弄。
[45:02.330] 黑
[45:03.680] 都赶上了这么
[45:11.010] 不是路，我路过的时候都下班了，人家。
[45:18.850] 是，但是一般我下班时候他们就下班了。
[45:22.680] 反正他这一块
[45:26.960] 我想
[45:36.590] 他们关键对。
[45:37.970] 他们不是在北京。
[45:41.120] 我想想
[45:44.280] 我在这问来的时候我再给问问，然后。
[45:47.030] 我这边我看看，我正常我应该是礼拜四休，但是礼拜四
[45:52.630] 四礼拜没问题。
[45:58.570] 当时我就问一下，
[46:01.310] 你想今天就弄是吗？
[46:31.490] 今天。
[46:32.320] 今天晚上谁弄的吗？今天
[46:34.710] 怎么也不想办，因为北京
[46:36.970] 是因为北京那边他排这个东西至少还得排一个小时，每次
[46:42.420] 他北京处理违章人太有报。
[46:46.330] 没事，我先再问一次，我先问问这种情况，还有没有别的处理方法？
[46:53.060] 我就问一下，没事我就问问。
[46:58.860] 你就直接有一个构图深入结合的，也是我看我经常见面是创建客户，
[47:03.640] 但是下面设计成一个证据，
[47:06.650] 完了
[47:08.170] 这不是上你的号。
[47:10.280] 上午的。
[47:11.840] 然后再退出来，这个上面不用记住什么事吗？不是。
[47:15.550] 不过那一步你主要就是要的
[47:20.400] 这别退。
[47:21.890] 为什么？
[47:23.730] 这怎么能交给张？
[47:30.450] 定金是18,000。
[47:31.900] 对。
[47:35.610] 上
[47:36.440] 看
[47:37.730] 创建订单。
[47:42.010] 简单了一下。
[47:43.510] 客户这就是放一个
[47:48.280] 是用户。
[47:49.960] 对，要刚才那块你。
[47:52.920] 日一下。
[47:54.200] 不知道吗？这样明明符合复制，
[48:00.760] 不知道。
[48:01.560] 是吗？
[48:02.610] 没有。
[48:04.310] 可能没有风险。
[48:09.050] 司马迁是机械的，
[48:10.870] 他那是一箱金的，对。
[48:13.040] 那就不用写了。
[48:17.140] 了，
[48:17.880] 这地方才健康。
[48:20.730] 这边放是吧？
[48:22.490] 行。
[48:25.080] 拍到我这
[48:26.160] 怎么办？
[48:27.550] 眼泪。
[48:28.390] 有多少也三级。
[48:31.520] 怎么没用，会没加4万块钱，然后送5000保险那就正常写吗？你就干了价格。
[48:51.170] 有这事处理违章的人吗？
[48:56.900] 不是，他那个是。
[48:58.070] 是我一颗，他是。
[49:00.090] 在长安街上。
[49:01.750] 一堆现场了，扣一个3分100。
[49:05.090] 然后分已经扣完了，他在。
[49:07.490] 第他是包头的蒙内蒙的，
[49:10.770] 他处理不了，他这100块钱他怎么教，他怎么范本了。
[49:18.600] 对他当地的内蒙的那边交管局说你北京那边报你身份证号，因为已经路上了，报他身份证，
[49:26.340] 就把这钱交上就行。
[49:30.530] 了，对，那边是这么说的，你帮我问一下，花了钱什么也没事，就这100块钱你看。
[49:35.910] 都给弄了。
[49:42.440] 走到前面学员。
[49:44.870] 原来。
[49:47.670] 然后按下该车工程价格检查问题，先把客户卖给你晚上8。
[49:52.430] 公示价格其实不是929,800，是。
[49:56.580] 是对怎么解决？
[49:58.620] 他不上北京牌照落在拍卖方式，
[50:07.910] 那倒不是上北京牌照，所以优惠
[50:13.850] 所以按公司价格出售。
[50:16.760] 所以。
[50:18.520] 客户上美容材料，所以你现在优惠完的价格多少？没有用户就是加班加完钱的929,800，
[50:25.030] 夹文件是92。
[50:26.660] 5880。
[50:27.620] 指导价88个就行吧。
[50:29.470] 那不是两个应该是98万。
[50:31.400] 9800。
[50:32.990] 对吧？
[50:35.910] 怎么说？
[50:37.120] 然后开车公示价格九十八九分988,000，
[50:41.560] 因为客户上北京牌照，
[50:44.440] 时间了签单，
[50:47.320] 因为客户
[50:53.870] 去了，对。
[50:57.700] 另外要销售吗？
[51:01.200] 之后上北京牌照。
[51:04.680] 然后
[51:06.410] 对12个。
[51:09.330] 9800
[51:10.760] 三个教授，
[51:13.000] 这个客户打电话还没有做，
[51:21.080] 他们公司的客户。
[51:31.250] 然后用客户签保险什么的，
[51:34.720] 因为什么客户呢？
[51:37.360] 你们因为啥？咱们的权限是4万，然后经理咱们辽阳金全年是35,000，想便宜点吗？
[51:44.390] 然后就转向了。
[51:46.010] 还是昨晚送5000毛钱一分钱。
[51:52.430] 你就讲包含母亲保险，
[51:55.560] 在这些还是小孩三小姐。
[51:57.770] 600后边这样。
[51:59.260] 85,000块钱。
[52:01.630] 没有你们了。
[52:02.560] 帮我
[52:04.080] 因为这边
[52:05.170] 包括5000块钱。
[52:06.480] 提供房间吗？不。
[52:09.020] 你说。
[52:12.400] 有的人说
