[00:01.850] 7月12号下午
[21:29.330] 小马刚刚三个小时没有吧，您现在要坚持着哪个方向要求？
[21:41.920] 然后您停车叫他们A的宣传册吗？现在选择专门好应该是没有了，您找一下，现在一般车都是电子的，在市场上面都有。
[22:20.270] 咱们A级都没有了，只有B级的，您可以回去看一下B级的车。
[22:24.560] 对A级的话到时候你也可以什么可以随时问我刚才彩页没我给您留给我的电话。
[22:30.710] 好这边了。
[22:32.040] 好了，你刚看一下。
[22:34.220] 还没有。
[22:36.830] 跟这个很像。
[22:39.180] 对，基本上一样。
[22:40.920] 差不多的。
[22:44.110] 有什么问题您给我打电话就行，这是我电话号码了韩。
[22:48.260] 好好慢点，感谢您光临。
[22:54.050] 我觉得那个点还可以看实物的话。
[22:58.490] 好慢走。
[23:00.360] 再见。
[23:22.790] 卡电干嘛？
[23:23.990] 你不让你撤出吗？
[23:26.000] 不让你
