[00:00.000] 然后呢
[03:58.330] 不不不不不比如说他现在这个车，他现在在生产线上面，呢您把这个车定下来了，只要他到了港口我们就能给您催。
[04:05.030] 但是现在有的车它现在是7月，比如说7月20号生产，7月15号生产都是最新的车，它在生产线上没没办法给您催，
[04:11.460] 只有显示他已经到港口了，我们能随时给您优先提回来。
[04:14.600] 他已经消掉了，我得再找一个相对的一点点拨的款。
[04:19.520] 一对一一般的问题，
[04:21.310] 礼拜六应该公开。
[04:22.840] 嗯
[04:23.590] 头几台车就是离着近的话，啊他能给您查出来，
[04:26.770] 就是先跳伞，吧因为最快的是蓝色白色黑色月光是灰色，如果您要特别喜欢石墨灰也得给您查，但是我这边权限就超出了我看不到。
[04:36.140] 嗯
[04:38.560] 嗯行，那张先生您看您时间。
[04:41.300] 不展了，嘛他不是在这就不是。
[04:43.540] 我想长点噢能办能办，就是店里边现在正好做这个款贷偿想的这个有一个7月份可能常讲计划到软件可以了解，啊就是说签什么3年期4年期这种的，
[04:53.230] 送4a4b或者3a3b包括磨损件更换都送的东西特别多，他是在您订车的额外优惠上给您送的，这些东西都是可以叠加的，
[05:01.940] 做金融金融分期。
[05:03.410] 那么多孩子不用玩游戏玩，你想怎么睡怎么着，不用靠什么怎么着，
[05:08.330] 没有声音。
[05:09.060] 没有手续费，现在不让收手续费，下调懂有效，对没有手续费，就是您做金融方案，我们直接给您出方案，然后您自己做吗？
[05:17.720] 不跑非洲，回头我们重来一个环节。
[05:20.640] 有利率减免的，有免息的，然后免首付的主要是您得先选，比如说首付比例是多少钱，呀还款你想选几年？呀
[05:29.070] 那是我给你算不了个，我不是故意的，但我真的不会。
[05:32.460] 为呵呵呵
[05:36.080] 嗯
[05:41.310] 对对，我就知道他这玩意儿很灵活，就是比如说您自己搭配啊首付是比例是20%的收益，比零50:70%都可以做，然后还款周期你也是自己选的，比如一年2年3年4年这种都是可以延期的，您这样搭配好之后，它会根据您的车型给您
[05:55.980] 出一个利率的金融方案，是这么一回事儿，而且利率呢咱们也不止奔驰金融，还有其他银行的，我们都会给您做对比，您看做哪个合适，比如说您在工行任人，然后您能找人给您推一个大客户，
[06:06.500] 唉那咱做工行的合适，咱咱咱做工行的，比如说您的心态特别特别好，那您就是开户银行，
[06:12.850] 如果您心态不太好的情况下，那就咱们就就是就银行就金融方式选您了，就是您看您能符合哪个？
[06:19.870] 没有
[06:20.860] 啊那没问题，那你可选择可太高了，那您就是自己出方案我们给您出，就是您自己说条件我们给您出方案，你自己选就可以了。
[06:29.930] 嗯
[06:33.290] 是的。
[06:38.510] 我还真不太清楚这个车，因为它是进口车。
[06:41.960] 对，我发誓我真不知道不是骗你的，我也不是框你，我也不是。
[06:45.310] 对对对。
[06:47.480] 哈因为我确实不太懂，有的时候客户问的时候你也是干着急，因为我们不涉及到这块的产品知识这个领域，有时候也想知道，但是确实不懂，所以就只能说让销售就是到展厅给您算算什么的，有的车因为刚才跟您说过了吗，有免息，
[07:02.150] 有免首付的，然后还有那种就是说减那个百分之多少个利率点我不太明白，啊反正说减两个点的利率啊还是减三个点的利率，有那种活动
[07:11.290] 我不太知道，但是
[07:15.790] 免个息对那你到店里跟他谈，呗看看有哪个活动可以做，因为他有什么款待，常想啊心时想啊什么什么什么这个想那个想法一堆。
[07:28.880] 啊
[07:34.770] 嗯
[07:38.270] 我我我我
[07:40.790] 我能给你算现金，但是综合我不太会，就是比如说打个比方，你要3160谱配啊360,800这款，
[07:48.080] 啊我我这边可以给您的现金优惠就是2万，因为我权限最低啊哥，我是做网站的，
[07:53.790] 哼就是综合下来，比如说你有没有置换，呀然后您做不做金融，啊分几期啊送您多少保养，这些我真的不太了解，我只能跟您说现金。
[08:06.280] 嗯
[08:08.600] 呃对，我的权限没问题，这妥妥的您可以照着往上谈，这就是您跟销售顾问沟通了，肯定有可谈空间，我不可能给您报死这个价格。
[08:19.440] 嗯
[08:23.550] 他是这么一个这么一个意思，我悄悄跟你说啊我是一个最低档的，然后其次是销售顾问，再其次是销售主管，在网上是展厅经理，在网上销售经理，然后在网上店总
[08:33.370] 一层一层的剥削，然后完了之后您就您他给您出了报价单，你别着急走就对了，你跟他好好谈一谈。
[08:38.930] 如果你要真想买车的话，价格肯定有可谈空间的，相信我。
[08:44.870] 啊
[08:48.590] 没断线，你哪句没听见，我可以重复。
[08:51.410] 嗯
[08:52.640] 我说你哪哪句没听见，我可以重复一下。
[09:02.680] 对他
[09:04.600] 不是演片子给你看，就是你到店里边就已经是第二等了，就已经销售主管，因为凡是做预约的客户，我们都是直接开通销售主管权限的，你要自己进店肯定是销售销售自己给你报一家了，
[09:14.780] 然后看你特别准，然后他再去找领导申请价格去。嗯
[09:19.350] 我跟你说的有点太多了，
[09:21.520] 那我跟你说的有点太多了，你要不然在店里边不行吗？
[09:25.100] 嗯
[09:29.110] 可可以没问题。
[09:30.880] 我答应你。
[09:32.370] 嗯
[09:33.320] 不演不演不演正儿八经的给你报价。
[09:41.480] 哼
[09:45.000] 我都跟你说的这么明白了，我就不跟你演了，我把套路都给你了，怎么跟你演呢？
[09:51.730] 嗯对，啊然后然后。
[09:54.480] 嗯
[09:57.660] 但我们我们我们全县低的人都比较诚恳，就不来那个虚的了。
[10:02.030] 然后要求你还有优惠政策是不是？
[10:05.220] 哈哈哈
[10:06.160] 可能我演不过你们可能我演不过有智商不够，所以上不了上边。
[10:12.530] 嗯谢谢。
[10:14.400] 嗯
[10:18.060] 我不知道。
[10:19.580] 我是最低档。
[10:21.010] 好。
[10:23.400] 嗯
[10:24.830] 嗯
[10:27.050] 哎呀我跟你说啊这个太虚了，什么汽车之家、易车、啊太平洋老司机懂车帝这些都是骗人的，全都是二级经销商的维护价格，就是你到展厅根本这这个价你没有时效性，提不了车，
[10:37.680] 他给你报10万，他没有车给你没有用。
[10:39.870] 因为有一个客户他就是交完定金了，可也给他签合同了，平了好多好多钱，然后最后这个客户等了半年，
[10:45.580] 耽误耽误了人家交车日期，人家客户直接把定金退了，从别的店直接买的现车，
[10:49.900] 就这这些东西都是虚的，
[10:56.440] 不是要往上涨，因为那价格就不是我们店里做的维护，就不是我们店里的实际的售卖价格，所以那网站没有没有一一看他那个东西，
[11:04.090] 嗯我们对我们这边正规的报价全是先看奔驰官网指导价，然后所有的报价肯定是书面形式报价单为准的，这个东西是白纸黑字我们改不了，肯定是板上钉钉的事。
[11:15.650] 嗯
[11:20.210] 对是的。
[11:25.150] 你看我都可以。
[11:26.460] 嗯
[11:32.580] 对，是的，白色跟蓝色。
[11:40.960] 开蓝色呀你说开个小轿跑干嘛要开黑白色的呢我就不明白了。
[11:47.820] 可以定，啊
[11:49.130] 灰色也可以定，啊嗯
[11:51.870] 灰色可以订。
[11:54.460] 两三个月左右肯定能提了就。
[11:58.830] 嗯
[11:59.680] 行。
[12:00.390] 好不客气，我等你。
[12:05.440] 我给你发半天短信了，你看看手机有个短信。
[12:10.260] 嗯
[12:11.510] 嗯我姓侯，嗯您搜一下，应该有我的短信，侯阳。嗯
[12:17.410] 嗯好，拜拜啊嗯拜拜。
[12:19.900] 嗯嗯
[12:21.100] 什么不懂，你问我什么？
[12:22.780] 这是可以。
[12:24.040] 谁知
[12:27.080] 我后天休息10号。
[12:29.890] 口号说一下。
[12:32.470] Ccp嗯
[12:34.200] 双方。
[12:35.420] 谁知。
[12:43.850] 客户从网上
[12:48.250] 他们
[12:49.200] 嗯
[12:51.880] 8万。
[12:54.480] 看一下。啊
[12:56.220] 高亮的。
