[00:00.000] 您要是
[10:39.980] 反正现在漏防冻液是肯定的，这肯定得修，水温高让她们看看有没有什么冷却系统的故障。
[10:47.730] 谁知
[10:56.150] 平常水平高，这种现象应该不长。
[10:59.490] 对，水温高无非就是房东也亏了少了，您这防冻液现在还没这么少。
[11:06.250] 要不就是节温器，像您说节温器坏了，他没有大循环了，
[11:10.350] 还有大凡是肯定没问题，让我摸了一下进口的，我也想给你快点，因为月底我还要回家的时候，还有水泵出去之后，主动比如他不工作了，不循环水了，
[11:25.150] 卡滞了，可能当时那一瞬间它不工作了，但是像您说空调油门它就转起来了，就都有可能。
[11:31.690] 但是这种像那种偶发的故障，
[11:34.970] 有没有比如说现在查都正常，
[11:38.750] 也许您在开的过程当中，他还会出现这种就不是特别好查，因为他是当时那一瞬间有问题，现在比如说U工作都正常了，
[11:48.090] 所以目前维修方案只能说是先把您漏水，肯定是最大的问题了，先把那修好了。
[11:57.480] 外企以前有过有问题。
[12:01.060] 你看上次有没有修过了黄工业的那种状态？
[12:04.840] 以前有的是哪个地方结成，好像是老大，应该是有个管，没之前好像是检查过茶馆，检查过漏水，然后是
[12:17.540] 谁知
[12:21.240] 当时检查过一次漏水，但是不是水箱当时没漏，
[12:27.770] 应该是哪个管的密封圈，可能应该是个队小地方。
[12:33.620] 行，4完了，这次估计是水乡了，先给您查查，先没估计水箱，估计水乡老太就。
[12:41.600] 那问题是现在看着像了他得打。
[12:46.050] 具体到是哪的问题再电话联系行。
[12:52.420] 其他就交给你了，不用管了，您帮我签个字就行。
[13:09.780] 万
[13:11.330] 三
[13:16.920] 的。
[13:19.900] 最近修车的太多了，排队的比较多。
[13:22.980] 这样。
[13:24.360] 稍等。
[13:26.450] 是不是时间长了没动也有关系？
[13:29.550] 应该其实都有关系，还有跟您这车龄也差不多了都。
[13:36.010] 快30万公里了，你想有些。
[13:37.830] 老化见他肯定该出问题。
[13:40.060] 您做稍等两分钟马上。
[13:46.460] 房叔您看看轮胎老化，
[13:53.230] 注意如果你要是出差不在北京，到时候您看谁来取车，拿着单子来就行了，然后让他找我就行，好吧？
[14:03.290] 然后我这边检查有什么问题给您打电话，
[14:07.660] 你跟我说对，我给你打电话，然后咱们再看看怎么修好吧？车里没有要拿的东西了。
[14:14.050] 好了，慢点好好。
[14:17.590] 还有吗？
[14:21.320] 昨天晚上可能又下雨了，
[14:25.530] 你看着基本很少。
[14:29.640] 不了，非常这早就不用了，多少年前的扔了没用了。
[14:38.120] 放长了最早之前奔驰没有套餐的时候出的积分卡调一下。
[14:45.480] 你瞧瞧，
[14:46.520] 这除了套餐都得有三四年了，
[14:49.380] 这积分没用过怎么办？给补偿点打个5折打50。
[14:54.840] 真是你们提醒我一下
[14:57.630] 的。
