[00:00.000] 客户
[10:41.050] 大家十分不差不多，这价位也都差不多，可能就是他喜欢。
[10:46.290] 而且现在那是跟吃两个大屏，12.3屏大屏，
[10:50.320] 一般44在上面体现的科技感比较强一些。
[10:53.990] 然后大家有没有电动后备箱，
[10:57.510] 非常风景，
[10:58.690] 速度放松的两方面个人，然后里边有模式的切换，那条什么运动舒适节能越野多种的驾驶模式。
[11:05.780] 然后现在奔驰用技术的变速箱这种，
[11:08.830] 然后换挡的定速非常小，也是舒适性比较高的。
[11:12.420] 宝马应该是85的宝马，
[11:14.430] 奔驰都是有数，
[11:16.530] 然后里边更多的墓室，
[11:19.150] 这种爆发性非常高，因为用实木的木饰，
[11:22.690] 人家60黑色的氛围灯没有4个颜色非随意的切换，
[11:27.250] 然后滑雪都比较高，里边都是
[11:32.490] 然后这边可以扫描二维码，一些车辆的参数，在微信上能看到非常方便，都是
[11:39.790] 内饰颜色。
[11:40.930] 然后学校
[12:43.800] 安全性能
[12:44.650] 他跟开机里面还有
[12:47.380] 都差不多，比如说超区也有什么自动刹车应该是。
[12:50.610] 这些什么雷达什么
[12:52.120] 天津的影像他差不多都能的。
[12:55.880] 对，他喜欢哪个品牌了，这个价位的东西肯定差不多了，是不是？
[13:35.530] 然后80多万，
[14:11.350] 这是高配的，高配1,298,000，然后dk到100 1,068,000，
[14:17.080] 06万125。
[14:18.210] 对。
[14:27.680] 我其他的还包括
[14:28.670] 你得交购置税交
[14:30.440] 1万多块钱。
[14:31.860] 10多万。
[14:33.030] 好的。
[14:33.640] 10万块钱。
[14:43.270] 产品上看看有没有什么疑问，没有疑问，咱们有试驾车方便先试驾一下，要不方便些，因为明天上午9点的试驾也可以。
[14:50.090] 现在时间是
[14:57.140] 我们现在回家你拿驾照给他办理手续。
[15:00.870] 咱们下车咱们我给你发手机。
[15:40.110] 一会我先等着。
[15:41.300] 先来。
[15:45.590] 这吃完了。
[15:48.240] 吃完就了。
[15:49.640] 没了，我看到是谁。
[15:52.430] 咱们
[15:54.230] 对吧？
[15:59.280] 三。
[16:00.060] 拿几个真的把这个实验放在吗？
[16:05.630] 拿一个我问一个
[16:12.750] 麻将
[16:13.510] 是这样理解800亿。
[16:28.530] 你介绍一下。
[16:32.680] 对。
[16:33.990] 场。
[19:55.560] 快。
[20:04.960] 这边签字。
[20:09.290] 驾照给您，然后咱们这是假协议的话，咱们从店里出发，从字形掉头回来，然后
[20:14.810] 主要提示您别违章，别超速行车，注意安全，如果在您开的过程中然后碰撞需要您承担这个责任，然后这边您签字声明日期，等之后可以感受到动力，输出兴趣都可以感觉到。
[20:26.880] 绕
[20:28.280] 查着是吧？谁知
[20:32.850] 二
[20:38.810] 身份证号对号。
[20:41.090] 今天7月19号。
[20:50.510] 的
[20:58.080] 好的。
[21:04.390] 还有
[21:08.460] 过来。
[21:16.810] 然后这边报价。
[21:20.790] 明天谁知
[21:47.070] 咱们这边
[22:09.840] 上车。
[22:10.770] 您先上副。
[22:33.570] 像咱们这边
[22:34.670] 还是说这边。
[22:36.400] 没事，你们这上也行。
[22:45.430] 等家人一块。
[22:47.060] 家人一块来稍等一下，他上卫生间了。
[22:49.950] 3:30吗？
[22:51.770] 家庭内。
[22:53.190] 他内全部坐那边对应的看看。
[22:55.870] 昨天我都能够看出，但是看着吗？
[22:58.690] 基本上承认在这边说他没看见似的。
[23:11.650] 个人喜好的。
[23:12.910] 然后奔驰的都是怀档的一个设计，这个是咱们档位，然后往下直接D档往上面就是倒档，后面就直接和到P档，
[23:31.760] 他后边第三排也能装二层。
[23:34.590] 第三块，
[23:35.380] 他三后天开机大概什么二
[23:39.550] 77个字。
[23:42.350] 会吗？后边两队。
[24:20.740] 酒色的变相的比较
[24:22.680] 顺，换挡的顿挫非常小的，
[25:06.100] 之后放进来看，然后咱们这边
[25:07.620] 一边重合说一句话，
[25:14.230] 然后侧面就回P档也比较方便。
[25:35.080] 这边介绍小姐好，座椅方向盘很
[25:38.090] 文件。
[25:51.730] 买都合适买是吧？你
[25:53.270] 说说人家都合适的打电话。
[25:55.610] 看一下说一下。
[26:34.640] 按钮我
[26:37.890] 很高。
[27:05.900] 如果是商业模式
[27:06.840] 其实还是不错。
[27:15.030] 元宵都有一点规整的
[27:17.550] 这种外表下面，
[27:45.490] 前面小节咱们掉头
[27:46.920] 传递宣传。
[29:50.430] 昨天我们
[29:55.490] 感觉他那个行业的
[29:59.700] 跟电脑的群，
[30:02.190] 我们了解这种东西，
[30:05.760] 一些指标的问题，大家
[30:07.420] 没有对比性的这方面
[30:24.500] 一个情感去感受整个的B振作
[30:26.520] 的这种数据产品，
[30:33.670] 业务模式，
[30:34.460] 结算给他运动节能扶持各种驾驶模式，北京现在开车的过程随时切换的，
[30:42.750] 用
[31:42.190] 周边交通的
[35:11.310] 知道了吧？
[35:12.080] 对，好，下来从保时捷那条信息咱们
[36:58.070] 她不用啥飞机呢。
[37:57.830] 那倒回到旧车。
[37:58.940] 私家车，
[37:59.790] 这时到达时间倒车感觉
[39:43.560] 他接受了，
[39:46.430] 要做到往左打。
[39:48.510] 我走了对。
[39:53.170] 能做到。
[39:55.770] 然后又回来。
[40:25.640] 现在我感觉
[41:43.760] 报单这边算一下车的报价，
[41:45.800] 要算一下这个车的。
[41:48.070] 你是不会给我出一个报价单吗？好，你帮我算一下。
[42:19.290] 要明天您
[42:20.360] 开车过来的吗？开车。
[42:26.810] 我拿。
[43:05.080] 不让我用上吗？
[43:06.600] 我不让您说一下。
[43:08.340] 咱们全国统一公司的发展，但是so8加内容车架都有价格的公式可以查询，
[43:13.230] 然后咱们报价都是应对服务公约，绝不捆绑销售形式消费全部使用，加价一次充好都是公开透明密码专家640881188接通电话，
[43:22.330] 我拿单位填写一下报价，您准备写那高配还是低配的？
[43:26.040] 也是目前
[43:29.020] 适度的两个市场稍等来等等。
[43:37.680] 两
[43:39.960] 不是的，那我是不会了。
[43:48.300] 听说
[43:50.250] 思路
[43:52.580] 关注一下。
[43:53.860] 其他的这方面的肯定的。
[43:56.690] 结果用的吗？过去的。
[43:59.610] 谁知
[44:04.370] 给恬静的他那首付10万了，
[44:09.280] 谁知
[44:11.600] 这样
[44:12.540] 最后不是
[44:14.640] 那一个400
[44:17.160] 对的。
[44:17.960] 那时候活动经理吃完12 12万。
[44:20.930] 这个了。
[44:23.600] 这样的定位，
[44:25.800] 其实不是
[44:28.750] 你是那种
[44:36.670] 你回事都没事。
[44:41.810] 这是B牌很高配的，三四百就算一百零几点算120吨，
[44:46.280] 还有他们总股本股踏板一，
[44:51.670] 然后牧师的翻盘
[44:53.470] 差距，
[44:55.130] 抗击冰箱都是一样的，
[44:57.320] 都是连算刚才算低的。
[45:00.370] 的。
[45:06.030] 还有nothing。
[45:09.120] 33。
[45:10.650] 相应的
[45:12.490] 谁知
[45:15.400] 这个时间了，
[45:18.270] 你说说看。
[45:19.980] 才有他。
[45:21.230] 商量。
[45:35.150] 其中车头的地方。
[45:38.350] 好，再给您看，咱们这车是1,068,000
[45:42.200] 94,500的购置税，验车上牌2500，保险是25,000左右，这些收看现在多少是一个活动。
[45:49.040] 我接下来一百一九，然后也可以选择分期，银行的话这边三年是4%，然后再选择5年，按银行的话15.5，
[45:58.690] 3.1利率还比较低的，可能咱们一起做一个月还在哪一个？
[46:05.950] 您看咱们报价或者二维码的一个互动，在线反馈您看有没有什么疑问债务上面。
[46:12.840] 你们两个我之前的时候不是通过内容，首先就是用金融方案，然后最终优势各种收费乱七八糟的，
[46:21.390] 现在是分支没有从的手上，然后交易今天项目你车三板都是评估，
[46:27.950] 卖了现在也有合适的资源的车，你要觉得合适你可以定下来这个车明天看看其他有什么顾虑吗？其他的？
[46:43.770] 就是一年的大概的运费，看您要开多少1万公里保养一次，看您的行驶的情况是一样吗？
[46:51.880] 谁知三。
[46:54.290] 对。
[46:55.590] 半年或1万公里是吧？一年或者一年或1万公里年。
[46:58.990] 当时
[47:01.560] 您平常
[47:03.380] 保险车险对车险多少年还能上现在多少？2万多到3万多，基本上他能上到现在多少了？
[47:10.230] 每年还有下调的。
[47:13.310] 第一次首保差不多是两两三万块钱是吧？
[47:17.290] 投保就是费用对1500。
[47:21.580] 1500是不是？保养？我是说保险首次保险差不多25,000~3万差不多3万左右，是看您最后上的险种是上全险还是险种不同，但是会有浮动的。
[47:34.800] 上的多单位保费就会高一些是吗？
[47:42.390] 行。
[47:45.400] 那就是这个了，对好。
[47:48.260] 我带走了给了好勒，谢谢，其他的看还有什么问题，其他的应该没啥行，然后明天会给您这边打一个回访电话，您看上午下午都方便的时间凌霄。
[47:58.350] 中午行，然后后续联系电话短信微信也能方便地行行，好勒谢谢没事，然后院里其他品牌再看看，有保证金或奥迪都可以对比看一下这样。
[48:08.590] 行，到时有问题咱们随时联系，再见，搞来搞点。
[48:24.430] 170
[48:33.730] 的
[48:36.400] 数据
[48:38.430] 数据、
[48:40.240] 数据
[48:41.550] 的
