[00:00.000] 先帮您办个手续。
[05:59.700] 没他也不知道车在哪呢。
[06:01.980] 电话多少来着？
[06:03.300] 4919。
[06:07.020] 你也开过来了是吗？
[06:09.040] 我带他一块过来的。
[06:10.580] 他不知道停，
[06:13.530] 他说去洗这个车，
[06:15.560] 我又去拍照了，
[06:17.460] 那号码就走。
[06:21.090] 您回来车在我这了你
[06:24.110] 会上
[06:31.530] 在哪呢？
[06:33.110] 过来。
[06:44.360] 北京回来你回来我就去了，我还真没看见就ca事儿。
[06:48.520] 白的胶印那辆是吧？行了。
[06:56.350] 车也不知道在哪，他说他也不知道在。
[06:58.990] 别过来了。
[07:00.240] 它一块下的车吗？从这我俩一块过来的车在车站这。
[07:05.600] 迷糊我赶快就从那开过来了，说是洗了车停在保险部那边，应该说我说您把车开过来，
[07:13.070] 喝，
[07:14.920] 我说我什么都可以干了，
[07:18.400] 你怎么把我车在那了，呵呵。
[07:25.860] 照样在这。
[07:32.680] 对，正好您收拾一下，他有没有东西需要拿走的。
[07:48.370] 来您帮我看一下好勒。
[08:14.010] 咱要了100
[08:15.470] 两。
[08:19.450] 来
[08:42.470] 现在是4832公里，
[08:45.380] 还有1/4的游乐，
[08:47.800] 这还没到保养的时候一年了显示时间到了，
[08:52.500] 我说刚还跑了还不到5000，它现在要多少天，对一年，还有另外一个就是1万公里，以哪个先到为准？
[09:01.170] 您了一年到了是吧？后来养羊年快乐，
[09:06.100] 反正一个台上显示到一保养到集市了已经了，对前几天
[09:12.100] 他只要提示的话，基本上快到时间了就来走，进屋咱们来
[09:17.740] 这边我帮您干个手续，
[09:19.580] 一会您帮我签个字。
[09:20.950] 就OK了。
[09:22.340] 我这边手续办完之后，让剑波那边再把您的保养应该就是一个机油几率K宝吗？
[09:32.750] 我看您这个是有待附险的是吧？
[09:35.160] 大夫写身份证跟银行卡
[09:39.410] 给了行了。
[09:41.840] 那就行，等了行先搁车量，
[09:45.590] 我会把账单就到时候让他们给您去做带动想了
[09:50.000] 吗？
[09:58.680] 来您稍作。
[10:32.720] 这边走了一个人保的保险，我看手机也都齐了，
[10:43.920] 玻璃那边帮您查有货没货我
[10:46.630] 我定了是吧？
[10:48.750] 你这样都给您订货了是吗？这个是很多的一个形式，一定马
[10:54.830] 给你打电话了。
[10:56.280] 处理完了没有多久？
[10:59.890] 远。
[11:06.290] 数据
[11:20.630] 数据
[11:22.830] 的
[11:28.930] 数据
[11:35.680] 数据
[11:40.870] 说
[11:43.660] 吃饭
[11:46.860] 印象这么热太热了，我的衣服都透了，我看天气包括雷雨，刚才我给救援去看着大屏幕这个问题尽量
[11:56.360] 让破坏车，虽有恐怕我重新买，不就那意思吗？
[12:08.080] 明白你的意思明白。
[12:10.030] 你开过来我给你看看，我这块让资金送过来看一下，如果是广告时间请投票。
[12:15.900] 没问题，你去买。
[12:19.400] 是地质几天？
[12:28.570] 你是我说话吗？
[12:33.660] 您看过来我看看有特点。
[12:37.520] 来，黄女士屏幕上您帮我签个字。
[12:39.960] 来给您。
[12:42.040] 这手牵首先就可以。
[12:45.200] 这下肯定涉及到了，就好像现在不知道你平台出来没事，
[12:50.440] 有没有互联的话把里面擦了。
[12:54.270] 完了。
[12:56.450] 对，你把资料
[12:57.560] 互搜一下。
[12:58.700] 来店里边我找律师看一下。
[13:00.680] 如果
[13:01.620] 破坏自身的话，可能休息就要休息。
[13:04.220] 因为部分车型的话也是维持时间长在一个文章，
[13:08.650] 在这个时候学习，
[13:12.850] 对，如果关心的话。
[13:17.780] 什么您电话多少我发信息打电话。
[13:26.110] 你收到我电话了是吧？
[13:29.500] 行，你到了给我打电话。
[13:32.360] 来给您照着取得单，我把我的联系电话给您写在
[13:36.250] 我这边是没有费用的，最后结完账之后我会把发票明细都给培训部，他们那边会在一个月之内给您打您代步险这2500块钱长久。
[13:45.670] 谢谢杨剑波那边有没有费用的话，到时候您再问一下他那边好吧？来把我这单子给您。
[13:52.570] 我就拿这个去收入，对，就拿着取着脚，这样朋友打电话会给您去电话的，好了以后来汽车是吧？对。
[14:00.510] 就你们电话打遍。
[14:02.550] 明天下午没戏。
[14:05.210] 你没戏，明天下午我或我换玻璃还得干24小时，
[14:10.140] 这不对的我得放这静置24小时我才能得后天了。
[14:15.130] 明天下午好回来还得做保养。
[14:17.640] 它这个不是说同步进行的，
[14:19.960] 它相当于是分展重拳是吧？对，到时候有可能建波都会给您去电话，因为我这边没费用，直接把它开走就可以了。
[14:27.790] 好吧，您去找夏静波这边。
[14:34.790] 三
[14:36.690] 一
[14:37.700] 发展起来
[14:39.790] 一点。
