[00:00.030] 坏
[08:24.720] 主要您换一个，然后您这里头这不是有点变形吗？这属于叶子板，有可能也得碰个气，记住
[08:31.820] 他出来了。
[08:35.700] 为什么？你看他这一块糊涂已经不对了？
[08:39.180] 确实好。
[08:43.030] 估计脚量你也得换了。
[08:45.260] 少量可以也
[08:46.550] 最起码得换一下边的。
[08:49.640] 因为你看她B处这块都变了那么大了，她脚链
[08:52.990] 完了上边可以先待定，
[08:55.200] 上面应该问题不大。
[09:23.910] 行找完了，行，你没事吧，我先报沟通，后期有什么需要跟您沟通。
[09:30.240] 你先爆，好，来女士您上车我给您看咱
[09:35.100] 我估计得三块钱左右，你这妈不用我给你开，我给你开那边您不开。
[09:40.030] 您坐4驾驶的时候我给你开。
[09:44.780] 您再看看车里有什么东西需要拿的，你收一下全都收走了我就
[09:50.190] 了。
[09:55.550] 俩看着不大行。
[09:57.670] 没关系吗？没关系，对，因为B柱这块变形了，导致它所对壳不住了，
[10:06.570] 就得使点劲。
[10:14.360] 你现在是开去修吗？
[10:16.210] 不是，我得先让车间回头把这些都拆了，然后再看看里的损伤，然后给邦公司先报价。
[10:22.670] 核损过了我才能订工作，既然是保险公司，对那是定损员。
[10:27.720] 之前前杠不就是他订了，
[10:30.400] 机器人是不是有什么问题是对他以防万一，他怕上面有什么找，实际一般大部分都没事。
[10:37.740] 有的像那种
[10:40.760] 他上面那盒损他是定损的，就是上面合同可能
[10:44.350] 心情不好，或者找赶上什么什么稍微刁难一下，
[10:49.340] 然后他就得跟他刁难一下，退了，然后再跟需要什么比如补什么证件之类，
[10:55.120] 在跟客户说一般问题不大，
[10:59.640] 一般保险这种东西，晚上出事故可能会比如只要前期您没喝酒，没那什么，
[11:07.380] 没喝酒，没有酒驾之类，一般
[11:10.190] 他都没有什么拒赔之类的都会配，
[11:13.520] 就说不高频能赔多少钱，最高赔到赔您这辆车的实际损伤。
[11:19.160] 实际价值，你比如说这个是车20万，它就赔20万，对差不多您这车市场价这车还值10来万的专车，什么不一样，自己就没那么多钱，您得这样，他这么着，
[11:31.660] 您买一车，比如说您这车买了30万，
[11:35.060] 如果说您要说修车，就把这车所有配件全打伞了，能顶您买一辆整车的将近10倍左右，当时不是也上新闻了，他肯定修车跟买新车肯定不一样。
[11:47.830] 比如说你像我这种都已经修第二次了是吧？今年会不会有一个次数限制或者说金额限制？
[11:56.890] 金额限制没有，当然次数限制就保险公司比如说你今天要真的出险次数太多了，来年办公司有可能会拒保您这辆车就不给您保了，您想保他不枉费一番说辞。
[12:07.990] 博士一般5次左右，1年5次是对，一般5次左右，可能来年他就不跑您这车的。
[12:14.910] 商业险只保您一个交强险0000，
[12:20.840] 尽量月初次数太多，初次太多了，其实保费涨的也比较多，一年也就一般两次左右差不多了天。
[12:27.430] 我这次全部这已经是第二次了。
[12:30.480] 反正一年您了您出5次险的话，就等于说跟您第一年车的事大概提翻倍，在商业肯定。
[12:38.530] 行，那进屋。
[13:01.000] 我给你整整
[13:02.680] 住哪里？
[13:03.990] 自己重新把定格，然后再分成还不到的汇报，
[13:09.370] 有可能找别人，
[13:10.930] 看谁有时间或什么之类的，有可能
[13:13.880] 来您做。
[13:17.560] 还能给我送给礼物。
[13:20.220] 我给您看看这个
[13:22.730] 最前面记得帮我分下去了。
[13:28.090] 还有
[13:32.980] 是左侧近光灯不太亮对吧？弄两个都不亮，两个都不太一样，对，我就晚上我打开近光灯，就跟
[13:41.300] 特别在黑夜道路上跟没登一样，
[13:44.380] 完全没登
[13:47.050] 劳动夸张。
[13:51.920] 我早都想让别人说是因为
[13:54.390] 电池没电了，我就在想那个是靠电池，反正这车肯定跟电池有关系，但是我得查一下。
[14:02.270] 有关系，但应该不至于说你要说真的是一点电没有了那种，您连倒车应该都可以。
[14:08.110] 车都应该找不了。
[14:11.650] 说。
[14:17.470] 真的
[14:18.840] 看不到。
[14:31.680] 来你们这三个字。
[15:15.850] 来您这儿。
[15:46.200] 了。
[15:47.120] 一会来。
[15:48.030] 可以随时拿出来了。
