[00:00.000] 二
[11:17.320] 然后咱们这个都是液晶仪表台，原来最早是260的动感，它都是那种机械刻度的，现在也都变成一些经济
[11:24.570] 环岛，这需要咱们适应的。
[11:26.660] 踩住刹车跟它的方向一样，一标牌显示在这，
[11:29.900] 往下递到倾听一台开到头这儿到达。
[11:33.190] 如果要住车的话，也算是王麟，这都是P档。
[11:36.280] 咱们260动感的话，倒车影像跟他是一模一样的，
[11:41.970] 也是还有一个清晰度很高的这么一个造成影响，然后这边是一个前6后6的雷达，
[11:48.500] 哪个方向有障碍物它也会显示。
[11:51.200] 好的，就像倒车这块对都是一样的，这块是一个钢琴烤漆的。
[11:57.550] 这不是一模吗？动感就是钢琴烤漆的。
[12:02.630] 您记一下安全带系上了。
[12:04.940] 你包其实到后边的待会你得换上。
[12:07.920] 如果到了。
[12:20.390] 因为我之前看挺
[12:21.720] 评测说
[12:22.990] 遮阳板还有点薄，容易晒的时候容易透过来，对，因为他不是张板，它张脸
[12:29.800] 这边
[12:32.290] 就这种张连你能看见，虽然包。
[12:37.660] 0。
[12:43.790] 对全景天窗他要收进去吗？所以他做不了板。
[12:47.500] 但是他有办法加什么东西吗？你就给他贴个膜革是吧？有客户会这样。
[12:54.710] 明白。
[12:57.050] 隔热防紫外相机。
[13:05.710] 他停机。
[13:06.650] 停车的话是电子刹车是吧？
[13:09.640] 电子什么电子手刹，然后刚才跟你讲这些岗位没有跟你讲好看，因为手刹再做出吸入这个位置，但是平常基本上用不到。
[13:17.200] 都看不到，就是她跟持智能
[13:20.260] 手刹，咱们在平常起步的时候，您不用空口杀，电邮自动解除，
[13:26.150] 然后如果说咱中途待会咱们去换成不起火的情况下，
[13:32.690] 去换手的话，只要主架出门离开，
[13:36.330] 它就会自动跳到批量发生后。
[13:39.620] 因为这车不会溜车，特别安全。
[13:42.180] 然后最后一步比如说它熄火了，
[13:45.490] 停车熄火之后他也会自己上来，
[13:48.980] 他只能站发现，
[13:52.230] 然后他是垫子，
[13:55.280] 警车的时候他启动是自动的是吧？切换还是
[14:00.440] 怎么可能会有泄洪自动是吧？
[14:02.620] 您说发动机智能汽车对7天内启动是美国在
[14:07.000] 开的开车的时候，你要不喜欢这个感觉，你们就得关一下把它关掉。
[14:11.640] 在媒体圈而已，OK了。
[14:14.360] 现在是开着的。
[14:16.990] 它能起到省油的还是说是省油，但是他省油消耗的火花塞到火花塞的话基本上
[14:25.350] 也不会太费。
[14:29.900] 就在这放着。
[15:06.600] 你看一下后视镜什么？
[15:07.960] 你先找一下先点亮，看看里边就可以跳了，行。
[15:11.520] 比如您要调左边，再把左边点亮，这样看看一条。
[15:20.400] 好像是手动了。
[15:28.310] 对，这就是挂上档。
[15:30.480] 把他打个左展商一个有就行。
[15:42.960] 是动力起步有稍微有点慢，
[15:46.500] 有点
[15:53.150] 197米马力全在同级，别的里边有2.6他还算
[15:57.880] 率高。
[16:01.090] 这车挺舒服。
[16:02.910] 他从前面进主动，
[16:05.060] 如果你把时间给送
[16:30.350] 结束了，
[16:32.640] 您会发现它升档换档起步都比较平顺，没有人口感，
[16:37.320] 这样咱9速变速箱的好处，
[16:39.600] 而且他这升油基本上1500多人，300吨就换挡的话，
[16:43.920] 他也会生动。
[16:45.090] 我刚才用舒适模式，平时在市区内用这种模式，部分行业只管生产，而且生动。
[16:51.450] 那么他到高速的时候，给整个运动也在维持的时候，
[16:55.620] 同样的油门力度没有发现推送会比较明显的加快。
[17:04.410] 一般用车的话百公里11个，由10个小时到不了，也就跟着这叫10个。
[17:11.810] 双方的生活有个其他过多。
[17:36.210] 谢谢这称号什么醒过来。
[17:38.590] 你会发现
[17:39.960] 打击
[17:40.950] 好的决策就是原来老款不加长，不带都是，然后现在待了
[17:46.440] 这个车在SUV排行榜里边还一直都是第一名，在下一个出口。
[17:53.870] 来
[18:01.120] 的
[18:06.230] 然后到他们感觉一下
[18:12.360] 场
[18:16.680] 句
[18:19.590] 动谁知
[18:24.300] 这套装是啥人？
[18:25.760] 咱们刚才说的两前两场的
[18:32.810] 我们自己拍的钱有啥区别？满天星。
[18:40.510] 对吧？禁带什么感觉好紧，收得很紧的，对。
[18:43.620] 他有这么一个记忆，当年上来去完之后，他有一个女生均大概能看得到一个什么样的位置，
[18:50.110] 如果真有紧急刹车情况下，它能把你固定单价
[18:53.330] 座位上。
[18:54.150] 然后当然
[18:58.480] 我说发现咱把搞好本土也行最清楚
[19:01.280] 了，因为他用的是一个直接转成一般的车，打别的车打一圈，它只需要打3/4，
[19:07.950] 他好多都是包括停车位都很好，操控非常方便，百分数
[19:16.030] 这个拨片如果是操作模式对不对？
[19:20.170] 要喜欢这种感觉，
[19:25.800] 但还是走主路。
[19:27.260] 咱新竹路。
[20:05.440] 三条。
[20:06.270] 然后每天晚上跳的
[20:08.500] 还是7个快是吧？是不是用的波点不用佩饰类非的一种。
[20:14.710] 但是要是听这种
[20:17.200] 想流行歌曲的话，差不了太多。
[20:20.950] 动感他是就把影响提上去了是吧？这不是豪华，这个也是增配，只有在300豪华上，明白，我只记得好像没问题。
[20:29.950] 对，都没有人类的家具还挺贵的。
[20:34.420] 车辆出场价还行。
[20:39.640] 有些嘉兴的就是姨妈这个价格远场
[20:43.190] 的智能破厂吗？
[20:45.440] 出厂的时候没有行车记录仪吗？
[20:47.870] 您快创新快也是吗？
[20:49.720] 明白。
[20:51.040] 随便选。
[20:52.070] 实际上就是说
[20:53.680] 北京的就是咱们店里头都能这样的，对行车记录仪基本上卓庄园大概能达到95%高价，
[21:01.950] 咱们前面我就只有500米处，
[21:04.850] 因为全是你要是自己外边假，他没有整车质保了，对。
[21:09.640] 对，要不加自己外接一个，从别人骑车接上一个月才能看了。
[21:14.850] 所以我觉得电力下面不是
[21:18.660] 原来开车开着车一般就不无所谓，
[21:23.900] 还好车一点还是假还有课，结果你能不能跟我说内外屏大汉
[21:31.600] 的
[21:32.870] 这种
[21:38.290] 感谢。
[21:40.440] 你身上咱们就更坚定这个环节之前说这个车比宝马试驾要差一些，我没事宝马，但是我觉得操控已经很好了，宝马好在哪？就
[21:53.120] 看到一个驾驶习惯，大家都觉得宝马疼痛挺好，是因为它配有就走属于那种
[21:59.190] 他起步快，但是它其实百公里提速的话跟这车就差不多了，但是让启蒙穿这样爆发一个特性。
[22:06.190] 不瞒您说我开的就是宝马对不是特别明显，但是它的悬挂太硬，
[22:11.400] 却硬太硬了，我还是个轿车，我那就会更应对不太偏远。
[22:17.730] 前面打个电话，
[22:19.560] 我就看看我看评价说这个车的什么应。
[22:23.470] 您要是失恋了，留个地图相当软了一点，对不是。
[22:28.850] 进不去了他也改了。
[22:30.460] 应该是台干的。
[22:32.530] 从前面到头再右转。
[22:38.360] 我知道我错了，我来接我就参加进来，然后就从这儿抄底光对。
[23:10.190] 然后自己车不用
[23:11.970] 试驾车都是
[23:23.840] 唯一的效果就是给油的时候稍微有点点肉，
[23:27.110] 是无论多大排量，奔驰都是这么设定的，因为在前行后退的时候，
[23:32.970] 他比较注重安全，确实
[23:35.340] 侧重点不一样。
[23:39.280] 像我那时候气魄
[23:41.240] 是曾经出去了，倒车也一样也碰到过了，所以我到说你要是慢了，他感觉没有，但是没有什么担心，没错。
[23:49.820] 你真的是吗？
[23:51.660] 因为
[23:52.880] 深有感触，而且我那车也就拿了个梦了，我是收的自己朋友的，
[23:59.480] 要不然我肯定买个奔驰，当时也刚开三年，我说这不行，我赔给宝马收了，
[24:05.230] 还是基本上有人说了都知根知底儿，但是也都协商了，在人手里没出过问题，到我手里小毛病不断，
[24:13.730] 也不是咱这就随便找个人就行，这停车。
[24:23.700] 抬到头上，
[24:25.640] 调回来这个叫什么？稍等。
[24:29.220] 没有调整一下，稍后还不快了。
[24:47.010] 找着
[24:49.890] 都得吃点。
[24:54.000] 习惯用这个道理。
[24:57.890] 来。
[24:59.530] 33333。
[25:01.310] 刚才的照片
[25:03.350] 篇文章后面不要，后面就算什么？
[25:08.840] 不错的，
[25:10.360] 不用等所有岗位直接往哪，你说上这亡灵就可以了，然后一熄火。
[25:18.520] 他手刹就上来了。
[25:21.120] 对。
[25:22.820] 好行。
[25:24.700] 特别方便。
[25:26.920] 后面。
[25:28.450] 在网上。
[25:30.760] 你看后边别忘东西。
[25:32.980] 后来空间说还挺大的，
[25:39.540] 这车就是变成加长了之后卖的更好了，主要是因为大家自己看看一下这同级别
[25:46.240] 跳舞什么的，都觉得这空间还挺大，挺实用的。
[26:18.960] 我还一下钥匙，你稍等。
[26:25.360] 我先走了。
[26:31.780] 要操作。
[26:42.080] 头发你那有客户吗？
[26:44.600] 行。
[26:46.150] 天。
[26:47.360] 稍等一会儿。
[27:10.490] 下。
[27:15.390] 对，没事了，也不敢说我们。
[27:20.420] 你说右手2015。
[27:23.150] 白色，然后
[27:34.530] 护理
[27:41.920] 远远
[27:58.280] 的
[28:02.110] 数据
[28:05.960] 话，
[28:08.890] 数据、
[28:11.340] 数据、
[28:13.150] 远远
[28:19.410] 场
[28:20.800] 数据
[28:23.870] 场
[28:31.280] 数据
[28:33.450] 场
[28:34.870] 场
[28:44.490] 场
[28:45.640] 数据
[28:46.760] 场。
[28:48.090] 场
[28:51.350] 场
[28:58.000] 句
[28:59.490] 变成平装，你选什么颜色的外观这一块。
[29:03.860] 黑的白的石墨灰。
[29:06.920] 离婚还可以，我看是他外面停了有跟
[29:11.870] 有点枣红色，但是有点灰的颜色。
[29:14.920] 红宝石中红色是吧？他开着车就是红色的。
[29:19.110] 他这边自己好像是要求
[29:22.200] 要他我看看推荐的一看看更深的颜色不同，价格是不一样吗？
[29:28.390] 一样的，您先帮我我先看看价格。
[29:32.170] 对，上个套餐的爸爸
[29:35.840] 还不好找。
[29:37.240] 还不好找是吧？
[29:38.380] 不没事能吃俩车，就觉得
[29:40.950] 这车那时可能不好卖，然后就不能试驾车了。
[29:45.160] 因为一般都是黑的白的，
[29:48.010] 还是先没有别的选择。
[29:50.780] 天池鞋黑色的大气，
[30:14.440] 咱们是有置换是吗？
[30:19.110] 这里能帮忙一块置换吗？可以，到时候就让我工作的考验就行了。
[30:40.920] 这可能就是加一个
[30:46.660] 加入。
[30:47.960] 加不了，加热这加不了，我开始不是可选。
[30:52.690] 不是官网上面有，但是您要是这么家常，在出厂时候就得家不是在店里，
[30:58.730] 如果在出厂的时候家排产7~8个月到翌年，
[31:02.670] 这样我有事店里面能加的加不上了。
[31:06.390] 不行的话豪华其实我觉得豪华下笔还可以，豪华的地方桃花的数据汇多少钱？
[31:12.640] 3948003286 2万多优惠价格也不一样的，有谁知。
[31:22.680] 28,000 80多块钱差3万出头，因为公司的保险还差得
[31:26.820] 但是他多了，
[31:30.790] 龙骨的好坏，然后前两是满天星灯了。
[31:34.770] 有的
[31:38.750] 每个座椅加热，然后有
[31:41.470] 环境氛围灯，
[31:44.000] 那些到时候作用不大，主要是大作，我以为您不在意这作为架构，所以太想太大了，原来只要动了啥也干不了，可见的。
[31:53.610] 下面
[31:55.140] 你不看这方面可选，我有时候店里还是。
[31:58.620] 对出场这家。
[32:01.360] 但是您提交的那一个需求他们给您做，她要像您这样的需求，暂时到20台车，他才去下这1和9岁，
[32:08.080] 所以周期要长得8~10个月。
[32:14.490] 行吧，你先帮我算算，就先按这个算一下。
[32:18.060] 行。
[32:19.030] 三加三四万块钱，我
[32:26.230] 后面讲到的
[32:30.250] 33，
[32:33.070] 你看300动感也就比贵5万块钱。
[32:38.620] 对，差的不太多，他只有300豪华差的比较多，300 300我看也都带这些东西。
[32:44.390] 都能了，对。
[32:46.640] 豪华。
[32:51.800] 花瓣差3万人。
[32:59.220] 三
[33:00.850] 五
[33:09.690] 优惠优惠多少？
[33:13.700] 对，但是我看了一眼豪华条件了，桃花43,000将
[33:26.350] 豪华是带方向盘加热带，
[33:29.760] 咱们跟全系所有的都没有发生。
[33:37.220] 数据、
[33:39.350] 数据、
[33:46.120] 花
[33:48.990] 场
[33:53.600] 花。
[34:43.200] 的
[34:49.960] 大
[34:52.240] 号。
[34:56.860] 是您的。
[34:58.550] 要考虑分期您
[35:02.320] 能
[35:05.910] 利率多高？
[35:07.360] 还是挺合适的，因为现在跟前没有手续费，它只有利息。
[35:13.420] 因为我问千万指标是不是咱自己的，如果不是自己的，它或者直系亲属得坐分期，它没有PC就不太合适，有贴息的还是挺合适。
[35:26.950] 肯定算一个首付一半的一半一半，因为做这个方案的比较多。
[35:32.360] 一般一半三年对两两年三年都行。
[35:41.200] 行。
[35:55.150] 三
[36:00.130] 万。
[36:02.510] 然后再聊。
[36:08.110] 场
[36:21.130] 的
[36:24.280] 4
[36:25.590] 刚
[36:29.580] 你看多合适。
[36:31.770] 咱先说全款的，说指导价90 394,800，咱们2120贷款，因为4万39,800开票，税的话3万出头，这个是咱们国家社会这些小活动，你就不会有什么差额，先说上完费2500，这里边都包含什么？咱们公司价格往上也写，
[36:47.790] 一共是5项服务，一事去税务局交税，购置税20办临牌，三个工商验证，46环保OBD检查，因为现在车都是国6到最后一次到公安颜色上床，
[36:58.270] 然后底下保险给您评估新车一年全险百分83折在13,000左右，
[37:04.140] 然后您如果有置换的话，我们做厂家置换补贴了，您的车给您评估多少次多条，额外再补贴一个6000块钱保险，就相当于今天花7000块钱左右的保费，
[37:13.670] 然后装饰是15,800，这里边有什么我也给您写了，贴膜大包围脚垫，后备箱垫隐藏式行车记录仪，
[37:20.810] 咱这个贴膜是为住的，跟别的店不一样，别的店用的过程3M量死的，他也卖电价。
[37:27.850] 然后合计的话这车46,000多，
[37:30.950] 很快分期首付一半代办两年期，每月还7000多年，两年才花了4500块钱利息，
[37:37.270] 您要合适不花钱，这两个算起来就不是40万，我们公司只能说车架号这座，城市保险那些事情能不能切？
[37:47.110] 可能跟车站
[37:48.240] 然后相当于这待了174,900，用两年才花了4500万，利润相当低的特别多，也就是他一点多联系，
[37:55.890] 只有就是说指标跟指标的直系亲属可以享受到这些，比如说您做个指标做这个不行，
[38:03.090] 对吧的。
[38:06.320] 所以说现在因为人民币通货膨胀，
[38:09.850] 车又贬值了，确实是好多客户不愿意把车一下走，或者说全款现金，
[38:15.830] 大概一算就觉得随便存个定期理财份的都能回来。
[38:20.920] 首付的话最低就是500，这个方案是利率最低的，所以说因为都是要我跟您直说了，您也可以投资30%，其实30%也不高，但是比会高一些。
[38:34.170] 我跟您说一下您看看，因为其实对于咱们来说，它不收贷款手续费确实是带的越多越好，因为
[38:42.210] 之前手机费都是按贷款额来征收的。
[38:46.970] 一
[38:50.850] 说
[38:52.630] 刚才应该是一点三几，这个是2.37。
[38:57.810] 如果首付30%两年的话，然后您带的是
[39:02.300] 待了244,800，
[39:04.860] 然后两年是11,600的利息，
[39:09.120] 没有那么合适，但是也还行也低，对。
[39:13.030] 然后每个月你得还1万出头了，你就看每个月压力大，好多客户都不相信。
[39:19.550] 男生说对他说可以最后一个月还的。
[39:24.170] 总的比较先前候选也挺低的，每个月月供挺低的，但是利率要不太高，我看你利息对先息后本我跟您说一下。
[39:37.460] 8号今天2
[39:41.080] 你了。
[39:42.680] 比如说我直接拿着计算器让你看，
[39:45.520] 比如说现在有两年期的，每个月你只还1100多的利息，然后两年最后一个月，因为他这是一个定值是调不了的，首付的30%多的比例，
[39:56.020] 所以到时候还款金额还款金额就这24是两年就第24个月您再去还这24，但是中间每个月扣1000多的利息，
[40:07.630] 总的利息其实要比这个高很多，但是中间没有压力，2万多的利息都算下来。
[40:16.640] 但是你现在做的他中间每月还得还不是这几个月就行，另一部分就是先息后本，
[40:24.390] 其实做的也挺多的，因为好多客户觉得二二十多万，
[40:29.840] 自己手里1000多利息还是
[40:32.230] 就能赚回来的，所以他就会选择在，因为有的客户上回有一个学金融的给
[40:38.330] 讲了一遍，就是
[40:41.310] 他们算这个利息跟咱算不一样，像咱们可能就是拿咱们的利息除以贷款额就算比较危险，
[40:47.360] 但是他是说它是每个月像这种方案本金在减少，利息还是那么多，所以说它真正对于他的用户来说，
[40:55.660] 相当于
[40:57.000] 他那个利息是翻倍的，根本就不是4500。
[41:00.870] 他就觉得就是翻倍的，他至少本金一直都没有动，它可以做一个那种投资。
[41:07.180] 但是对于咱们来说，我必须得给您算明白了，花了这么多利息，就是花了2万多例，
[41:15.240] 那就帮我
[41:16.650] 看您自己。
[41:19.360] 我也跟您直说了，我们也不想讨论这么多店去询价比价，我们今天第一次过来，你又告诉我们前面你还能给我们优惠什么东西，然后或者从您的这块能还能给我们什么东西，我就如果觉得合适我就买了这定额是吧？一般
[41:34.050] 大家都是周末都是这么想的，对不愿意不好，因为您就跑了，其实我跟你说现在车价特别透明，肯定不会说说这家店卖您45,000，那家店买您55,000块钱，
[41:45.590] 1000块钱2000块钱到头了都绝对是到头了，可能主要是他的这些东西吗？
[41:51.480] 我跟你说上次有个客户一说，他说我去别的电商都分了一件，我怎么传递跟差5000块钱，我说5000块钱不可能，我说差这么多，
[41:59.720] 我说你把这单子算算给我看看，
[42:02.180] 购置税比如说三万零多少，他给人预估25,000，我们这一块让我们的专业一看就能看出来我他给你越多的。
[42:10.710] 对，我说他给您预估25,000，我说最后您手续都不能拿走，您不补这购置税，人不可能让您拿手续，不是就这么简单，我还要玩套路，我说现在这个价格我说你可以随便转，
[42:22.070] 每家店没有那么大的差距，
[42:24.040] 而且我们家店这么大店12年了，
[42:27.470] 而且每个月说实在我们店都要卖三四百台车，
[42:31.730] 北京牌，
[42:33.200] 所以
[42:34.250] 我客户都说他说我觉得没有那么多人换车，一去检测场发现真多，每天都那么多，今天我们一行之间也没那么多人就来了那么多人，
[42:44.610] 这样现在这车还挺好卖的，而且分歧还是大家比较认可的。
[42:50.340] 然后您看看哪个配置，然后我就给您申请一下，因为我直接就如何待用来了，肯定我直接算一个评价。
[42:57.210] 所以您就看看您配置需要送吗？还是要保华，我再问一下经理还有没有很难的空间去问一问。
[43:04.210] 然后还有保养的话，咱我给您看一下厂家，因为厂家有咱们都送，因为留着我留着没有用。
[43:12.590] 我记得KFC好像记录有两次。
[43:18.680] 应该都是说送两2B是吧？
[43:22.330] 2A2B是咱们的豪华，
[43:26.390] 300号华300度版都没有，
[43:28.480] 然后因为上面都写着贴开票，20号，然后260是AD，
[43:36.930] 7月开票付钱一定两侧1000公里了是吧？
[43:43.590] 万1万公里百分非常还分成还挺省钱的，房子一次的话上面从2.0的1000多，
[43:51.370] B宝的时候也就2000，
[43:54.960] 您省钱，您要是日常的生活中咱们都在市区开的话，一年也就1万出头，也能这样的。
[44:03.550] 您看您要哪个配置，我就给你申请问问行，想想说对于我来说主要就是加热。
[44:11.430] 给您看看这颜色。
[44:12.800] 对，颜色刚才跟您说到的外观有黑的白的石墨灰，
[44:18.110] 感动。
[44:23.050] 苹果会什么
[44:24.600] 什么灰也都黑的，显得特别深，会，然后如果要
[44:30.750] 大家我觉得有点注定您该买豪华，你知道为什么呢？
[44:35.550] 居然这个词儿豪华有一台没要，傻子。
[44:38.960] 就听到这个词特别
[44:43.320] 颜色。
[44:48.440] 我觉得有色差，我在你的看看。
[44:56.520] 不是人家定了。
[44:59.060] 这号就897。
[45:02.470] 8点之后帮我收起来了。
[45:04.770] 肯定的。
[45:07.360] 7月9号订单那就是可以的白，如果是豪华只有被的白的。
[45:17.290] 如果是动感的时候，
[45:20.600] 懂的什么婚姻，其实这台时候恢弘的视野不能看。
[45:29.090] 我不知道你见没见过，因为我有一部分那会儿打车，他一下就看出那是
[45:34.800] 还不错，这里边您应该能找到内饰吗？您翻一下，那是您
[45:50.210] 有没有
[45:52.630] 颜色？
[45:59.430] 快。
[46:05.780] 很少
[46:09.900] 的。
[46:13.500] 我上次的时候他早上家飞一会10万，我觉得可以入手了，我说您入不了手，就这么一个。
[46:20.720] 谁知后会议咱们这产生的思想一下，
[46:26.330] 一般快他反正现在不满，还有刚才说的时候还可以，
[46:33.770] 然后石墨灰还有一个黑红，
[46:38.630] 可以，然后咱们吃点300的。
[46:48.070] 坏
[46:49.740] 花
[46:52.100] 哗哗
[46:55.680] 花
[47:07.090] 材料是这样的，在咱们
[47:17.460] 动感。
[47:19.220] 刚才去练车去豪华的。
[47:29.480] 拍的时候他会有一圈亮着的，
[47:35.500] 出去试试，
[47:37.210] 车钱不住，就是前两次满天星中网，
[47:41.120] 这叫满天星。
[47:45.760] 但您说后边库里边流这一块，
[47:48.250] 他都在外边。
[47:49.600] 因为也没多远。
[47:55.250] 既然打算定位代理人都投了实实在在的东西，
[48:08.610] 而且在车场可以看看黑的白的，
[48:11.280] 对比一下价格变化快跟和平稳定。
[48:17.480] 您看之前作家长这块，
[48:19.930] 到最后改款的时候他有很多400
[48:23.150] 用一左右了。
[48:24.960] 42016
[48:27.100] 把我的手机
[48:29.140] 这样的
[48:30.710] 定价的也不错。
[48:32.510] 因为现在他们电车我们不知道能长出了好吧？
[48:37.030] 可以打开。
[48:40.140] 黑白分明，一会儿您挽救，追求这种特殊个性的颜色，黑白基本上每个都有。
[48:48.680] 而且黑白棋上最好吃的，
[49:04.520] 你找bug在下面开始。
[49:06.660] 大队就是4:00 9:00，
[49:15.270] 这就真赚了。
[49:17.050] 我是有一个客户就是左前方
[49:19.880] 壮过去了，停一下打，
[49:24.470] 所以一定要有一个自然存在的好吗？
[49:38.860] 好好，只有非常
[49:42.900] 改变。
[49:44.730] 没事。
[49:55.250] 我今天上午那客户也是特别准，就是订车来的，然后给我戏台打车，就心里她是替她话少，
[50:02.210] 他发小也不懂。
[50:04.220] 特别排斥说不要转车，其实
[50:06.780] 我跟你说那个展车进来也就一个星期，最主要的是什么？
[50:11.700] 展车其实清理的比赛库里车干净多了，这是最主要好的，对。
[50:18.910] 小器械是吧？
[50:20.250] 他们可能觉得好多人都摸过什么的，其实
[50:23.880] 因为咱客流没有大到说在车展似的那么毁，
[50:28.080] 也不至于说弄的特别大，
[50:31.390] 这边的都是有家没有家地，
[50:33.920] 他这个叫黑色的。
[50:35.560] 黑色的钣金就是对，但是这个是掉跑鞋的，我带您跑这方的时候，咱们都看那种就白色的感觉，260豪华。
[50:44.450] 白色。
[50:45.180] 可以。
[50:45.980] 白色挺漂亮的。
[50:48.240] 然后黑色。
[50:49.130] 也不能看。
[50:52.080] 这就叫红宝石黑。
[50:54.400] 这要是
[50:56.380] 这就是他们定的啥，因为您现在在这边看。
[51:00.450] 上全是订单，明白，我的不是订单的，在大库离这边5公里。
[51:05.890] 这叫石墨灰。
[51:07.300] 是魔鬼有点像，对，就跟也都。
[51:12.040] 是这样是吗？
[51:16.400] 这是300。
[51:21.760] 你要说真正耐看的话还得黑的白的。
[51:25.620] 这种颜色可能
[51:27.060] 钢架一趟觉得挺个性的，时间久的话您会觉得有点凉。
[51:35.390] 白色反倒。
[51:36.170] 俺正是最耐脏的颜色。
[51:39.040] 对。
[51:40.050] 不要耐脏和频率是吧？反而白色。
[51:43.690] 别耐脏。
[51:44.490] 当然好看还是黑的在奔驰里边。
[51:47.920] 挺经典的。
[51:51.960] 还行，咱赶上还都挺全乎，这几个反正这事儿就都看了。
[51:56.780] 石墨灰，您说世博会的内饰是黑黑红的，冬天
[52:01.660] 我给你找一下吃少，
[52:40.760] 就这样的
[52:43.150] 黑红色。
[52:46.810] 像这种金色的那是必须外观是深刻太好看。
[52:50.640] 您如果白色选择这么一个内饰的话不好看，
[52:53.950] 而且的话
[52:57.950] 这叫不喝。
[52:59.190] 对，这不是。
[53:01.560] 好吧？
[53:02.560] 这不是这是那调跑正好是的SUV，你看看他后边又为什么不行，
[53:08.790] 但这个只是和品牌，
[53:10.670] 因为这手机也短，
[53:11.860] 后面公园一样，
[53:16.570] 肛交这种感觉。
[53:17.840] 自行陛下是带不带的？
[53:20.040] 整体加大，带着他调防没有
[53:23.530] 吊牌，他安不了情绪假，谁知
[53:28.360] 因为我知道他那个车是报的。
[53:31.620] 是幺六九几，
[53:33.720] 但是我就不知道在不在行里亚的高度。
[53:36.040] 比较大的，我比我们家你那么超过，对二高了荣誉，
[53:41.060] 你这个商家是和你再买大的就不行了，我有时候给我拿着
[53:45.520] 平面图加上尺子来的，
[53:47.520] 我买了这贴，
[53:50.560] 他那个高度包括评价。
[53:54.410] 特别价高，这是最nb，只要行李架没有他的布袋，
[53:59.250] 他现在价格
[54:19.720] 其它不用管。
[54:20.800] 都无所谓。
[54:22.070] 我之前
[54:23.510] 好多客户购买的原因是什么？觉得
[54:27.440] 我原来那车就没有做一家用，我认为黄金做我一定要能做一下，等其实真正把带做一家就买回去，他可能也用不了体会，这是冬天还是用过去。
[54:41.850] 当然你
