[00:00.000] 到。
[11:35.470] 行行，那。
[11:38.000] 没啥事了，这边到时候随时联系好了联系。
[11:39.910] 我就抓紧给他安排了，谢谢。
[11:42.000] 行。
[11:43.550] 卖点儿了。
[11:45.690] 慢点。
[11:50.510] 还有小汽车模型。
[11:52.320] 行了没有？
[11:53.520] 我上次有一次来以后看着有一个他看三天都没有，晚上下次要有的话多大的就这么一点，那消息就是流行
[12:01.450] 挖煤模式小这么点小声，刚才我看你。
[12:05.490] 现在那个时候就拿着一个。
[12:06.850] 他没有一直。
[12:09.310] 没有您说的销售那边。
[12:11.180] 尤其是。
[12:12.280] 以前在你们的保养。
[12:14.200] 的时候没有是目前还是友善的，
[12:18.150] 要目前有礼品上的形式要去
[12:24.010] 这怎么能给您送您？
[12:25.990] 杨拿两个人拿着对您说的，我不知道你我印象没有我。
[12:32.870] 小孩还是挺可爱的，我上次我特别想小了是吧？没有我们。
[12:39.070] 是吧？
[12:40.260] 目前没有。
[12:43.390] 谁知。
[12:45.400] 可以在后面了。
[12:47.480] 这个任务什么样，不是他的车上。
[12:52.790] 村里
[12:53.740] 没有补充了。
[12:55.150] 谁知
[12:59.040] 算了。
[13:04.160] 对就行了，最好的。
[13:10.760] 行吗？
[13:15.310] 三
[13:19.030] 数据
[13:21.580] 用
[13:28.010] 的
[13:29.000] 场。
[13:32.710] 场
[13:34.170] 二
[13:35.730] 场
[13:37.110] 的。
[13:39.640] 场。
[13:49.300] 场
[13:52.670] 数据。
[13:54.910] 的。
[13:57.010] 数据
[13:59.030] 的
[14:03.640] 场
[14:10.570] 你打车
[14:16.510] 场
[14:27.160] 场
[14:29.310] 的
[14:30.380] 坏
[14:33.500] 花、
[14:41.620] 大
[14:43.320] 数据
[15:01.930] 场
[15:02.740] 数据远场坏。
[15:07.710] 数据。
[15:10.120] 数据
[15:13.730] 数据
[15:19.810] 场。
[15:21.370] 场
[15:23.520] 快
[15:26.990] 快。
[15:29.520] 场
[15:30.860] 场
[15:32.640] 场。
[15:33.650] 场。
[15:36.250] 场
[15:39.990] 要
[15:52.650] 谁知
[15:55.960] 分明的。
[16:00.720] 打。
[16:02.010] 确保超在边上了。
[16:06.010] 你看他那么不关卡就跑了是吧？
[16:12.620] 对。
[16:14.750] 让他赶紧关等着打单子。
[16:24.150] 沟通
[16:31.410] 的
[16:36.140] 要
[16:42.460] 电话
[16:47.380] 句。
[16:50.090] 卫生。
[16:52.230] 你好能听见。
[17:04.400] 你发的什么，你发的邮址的拉杆。
[17:09.800] 现在是断了是吗？
[17:13.090] 金牛断了，
[17:18.310] 对不对？
[17:21.060] 他等于现在是什么情况，有事，我好像那天看到你发了一个微信，
[17:26.350] 有耻机油尺，
[17:38.160] 那应该是有
[17:40.900] 应该是老化了，在那倒没有特别留意到，没事精油只如果说你什么时候
[17:47.650] 什么那个东西也没多少钱，你放那时候我送你一个
[17:51.640] 谁知
[17:53.660] 没现货没进货，主要是那个东西，一个金融挺常见的会老化，因为发动机温度不是特别高，
[18:00.910] 然后有吃饭的时候不是塑料的，很常见，经常会有老化的。
[18:04.890] 咱们这边要是有的话，平常保养的时候，平常保养的时候要是有就给客户就说就给直接自费换一新的，因为老化了，如果没有就会做处理，但是你
[18:16.810] 我没有思路说过说是给处理过叫什么机油尺的，
[18:23.820] nana没事也没多少钱的事，等一下到时候有货了，我这边可以先送您这那都行。
[18:32.250] 好多。
[18:33.880] 对。
[18:35.440] 没办法
[18:36.340] 等等。
[18:37.590] 想
[18:39.400] 行。
[18:40.120] 没事我就可以你保养的。
[18:42.200] 时候你过来，你保养的时候过来，我这边到时候看。
[18:45.390] 等会给你打电话，你该保养了是吧？
[18:47.950] 就说。
[18:49.540] 你看什么时候过来？
[18:51.730] 明天就过来是吧？明天过来看赶不上，明天改不上。
[18:57.280] 明天那个东西肯定到不了。
[18:59.560] 谁知。
[19:00.980] 行行没问题。
[19:04.870] OK好的，我到时候跟你联系，你刚才是打电话了，没事。
[19:11.070] 好的没问题了没事。
[19:16.480] 这要么给你不要你好过来了，
[19:24.500] 等等你打个单子。
[19:26.310] 说
[19:28.170] 晚上给他通一电话，在昆明刚才你起来了吗？
[19:32.330] 对抗了能不能把他说有个什么招给他去个电话？
[19:38.090] 刚才刚换车这都没事。
[19:45.890] 刚刚出来，
[19:47.420] 前刹车片和后发现面试先是一起话还是不薄了，每个宝宝换哪个？
[19:53.990] 价格一样吗？不一样，片片比后面贵100多块钱左右，大概一共是1000。
[19:59.510] 你好女士，本来的本职查一下。
[20:07.530] 数据
[20:12.090] 三。
[20:13.870] 1161，后片1151差10块钱，您的意思是今天先开走是吗？
[20:20.930] 我还乐。
[20:23.760] 就业就行是吧？对，到时候我过来阅一下您的意思今天开走，然后明天您拍过来是吗？
[20:30.610] 行，明天
[20:33.710] 您明天下午能玩吗？
[20:36.080] 不一定。
[20:37.560] 您如果说现在已经到师傅手里了，你这样你是。
[20:40.320] 不但我说的
[20:41.310] 这单子已经直接打进去了，观众了，喂。
[20:47.580] 但现在已经到食物的时候。
[20:49.340] 是这样，我跟你说一下，现在已经到师傅手里了，咱的车然后应该会明天中午之前应该肯定能玩，但是你要说明天过来也行，但是不一定明天
[21:01.480] 不周六对周六日反正是肯定车也多。
[21:05.110] 刚才刚好师傅过来，刚好把车赶紧拿走了，已经就别再加班。
[21:08.920] 加急也是
[21:11.420] 对好吧，明天踏踏实实去就行了。
[21:15.410] 好好理解，已经安排上了，好的来。
[21:24.120] 看水龙茶叶。
[21:29.090] 二
[21:30.000] 5208。
[21:36.460] 装
[21:37.800] 都说好看。
[21:40.500] 反正非常
[21:41.450] 的
[21:43.890] 谁知
[21:50.870] 好。
[21:52.470] 号
[21:53.550] 不管
[21:55.360] 了。
[21:56.840] 上
[22:09.200] 等着打算。
[22:10.330] 好多人要把推荐稳健型的基金，
[22:14.560] 这时候后面
[22:18.790] 的。
[22:22.670] 坏。
[22:28.540] 的。
[22:34.260] 没事。
[22:45.830] 数据
[22:52.470] 的
[22:54.730] 数据。
[22:59.740] 行
[23:04.460] 好了，都是什么？
[23:09.350] 感觉。
[23:11.050] 也就是说他的电脑的不好，
[23:23.750] 直接拿车就行，带你一块可以大家。
[23:26.540] 再给你打了一份，你留一份就行。
[23:39.400] 上。
[23:40.540] 给你麻烦你给
[23:43.360] 我待会过去。
