[00:00.000] 我需要一下您的行驶本跟驾照，我帮您登个记。
[13:05.400] 首先这首先就行。
[13:08.450] 哪儿？
[13:12.590] 你走吧，没我。
[13:15.730] 谁知
[13:18.920] 你到老玻璃不开店这保险
[13:24.530] 原厂过来，喂您好。
[13:26.970] 7月
[13:30.910] 我等会我说产品。
[13:33.970] 您是货过来给您接车是吗？还是现在您保险部那边都已经下班了，我看。
[13:39.840] 企业都无所谓了，你要换配件的话，我建议会衰减13元远场的。
[13:45.990] 对不对？对您直接找我就行，我在咱奔驰售后，
[13:49.690] 当你。
[13:52.130] 行好勒，到什么地方你问他您往咱们的南边走，挨着喔就是您办理理赔D的南边这栋楼，我们就在奔驰售后。
[14:03.930] 行了。
[14:06.380] 是不是还得奔南走？
[14:09.740] 走。
[14:11.940] 对，那天您把网停在我们售后前台了吗那个位置？
[14:18.360] 那块那个楼。
[14:24.400] 我就在售后大厅。
[14:27.200] 对。
[14:28.480] 好勒。
[14:30.840] 好。
[14:31.840] 还扣下这单子给您。
[14:33.560] 盗取钞出事了，
[14:35.380] 定责还没给我回信。
[14:37.360] 啥意思？我问问他你没听说你帮我去做说明，对我就是这意思。
[14:45.630] 咱都帮你落实好了，都省事了。
[15:01.420] 为
[15:06.960] 您好
[15:11.390] 这听听不见声太小了。
[15:17.660] 听到了。
[15:22.810] 您说。
[15:33.140] 要
[15:36.000] 要
[15:44.900] 又这个可能跟您左前座椅模块有关，但是这得进厂来检测一下。
[15:55.590] 不见得是电脑，有可能是咱们是说座椅模块，它不是说电脑，
[16:06.160] 跟您调节咱说座椅的位置什么没关系。
[16:18.310] 不，他相当于是一个信号传导。
[16:21.480] 因为您不是有一个记忆吗？
[16:23.320] 记忆功能就是在您左手边有个记忆功能，它记忆功能的话咱得看他的电信号有问题还是什么情况，现在导致他不能回这东西不给钱这位先生。
[16:34.250] 您说了。
[16:35.060] 他就今天说明天说后天你等他两。
[16:38.600] 我好像还真没听说有能把这功能光了。
[16:42.160] 反正因为具体可能不知道哪天能开回来，我都帮您到，实际上操作一下都可以。
[16:50.280] 今天我和王林我俩人
[16:52.780] 给你说了，那人说也挺痛快的。
[16:55.180] 不是这申请操作，不是这样，我走单位到时整体的帮你检测一下，没事用他采取了。
[17:02.740] 如果他要不给我就先把车修，然后后面是他给保险公司钱没问题，明天给我打电话都一样的，我就想先修车行好勒。
[17:11.800] 好。
[17:14.270] 好，您这个车现在还有一个召回，谁知还有一个召回，我看现在是都
[17:23.800] 我看现在看不出来哪个州，明天我再让机修师傅开张单子，
[17:28.520] 看一眼，
[17:30.160] 看有没有中文的指导。
[17:33.420] 稍坐一下，请。
[17:37.760] 应该是我不知道您在其他店做没做过更换主驾驶和副驾驶安全气囊？
[17:46.020] 两边气囊都得给您换新的，这没
[17:48.840] 到时候我就让我们同事帮您开张单子，
[17:51.950] 再重新帮您把这个东西更换一下才行了，这是奔驰的一个免费的服务措施。
[18:00.990] 我给杨立飞打一电话，
[18:04.190] 一直不给我回。
[18:38.760] 我
[18:39.960] 然后要是别人包庇
[18:43.300] 就找到了。
[18:44.470] 然后我听了这边竟然没跟他们联系，
[18:49.940] 没人跟他联系。
[18:51.730] 等等会我看一下车牌号，车牌号咱们是京N4S617是三者车，
[18:59.560] 刚才刚到。
[19:01.270] 要不还有反光镜的。
[19:03.210] 点对，反光镜车主现场照片里边都挺清楚的，就两个车的房就别在一块了。
[19:10.870] 行行，手续齐了吗？
[19:25.410] 明白，我让咱车跟前东方联系了好吧？
[19:31.260] 等。
[19:32.230] 因为我看又现在能也写在对方叶子板上面了，我让文亮插一下看一眼。
[19:39.010] 应该问题不大，我把这张照片给你照过去好吧？
[19:44.030] 好勒。
[19:47.190] 对方现在没办直赔手续，他想等咱们这边金额出来之后，他那边才签字。
[19:52.340] 说您还得跟那边联系一下。
[19:55.270] 我跟他联系您还得两个人打个电话没事。
[19:58.700] 是说手机完了是吗？对，相当于现在是对方得等金额出来之后他才船手续。
[20:04.650] 他才签字，然后他签字不。
[20:07.020] 他不给办理直赔。
[20:08.820] 这先生有一个安全气囊嘱咐的召回，
[20:12.070] 是这样。
[20:12.990] 今天放着今天放在我这最起码得4天充一下，我今天周
[20:18.510] 今儿周二明天应该能订货。
[20:20.880] 你先开单子。
[20:24.960] 应该找人帮助可以说爱你。
[20:28.210] 我直接叫我单独的觉得还是没事，保修的周五A
[20:35.390] 委州回答你揭开观众等等，
[20:38.220] 我就行了，给你带给我就行了。
[20:43.330] 稍等。
[20:45.340] 马上我们
[20:47.560] 海淀区有古城地铁站。
