[00:00.000] 是投保了是吗？
[05:03.850] 因为现在车间的车非常多。
[05:06.760] 我要现在也把那个去掉了。
[05:12.410] 这得问他们那了，家装都不了，对，人家装的人家我们不做任何改动，我们只会恢复原，你要说您这东西要恢复成原车，然后您报价是买房。
[05:23.670] 换回原车的所有东西，没事的，我再问一个，如果是拆迁房话语权，行行。
[05:29.660] 那得问他们。
[05:31.110] 了，那就按您的。
[05:33.240] 咱这边就是检测费650块钱。
[05:36.520] 保养如果由于外加装导致，但是您不咱这疯了吗？就由他们来给您承担金，我们也不至于说跟您收钱对吧？
[05:45.140] 40左右按成绩来说，我们先查查完了以后对。
[05:51.650] 对，但您之前桥下不少钱，对，就直接给他们对走内部了。
[05:59.090] 两两两个。
[06:00.210] 对，这是两个单位，对，那不是从。
[06:02.750] 算是单独核算。
[06:04.430] 对。
[06:06.060] 原车维修和家庄。
[06:08.770] 对。
[06:12.180] 那就搁这检测一下。
[06:13.750] 万一要是不行回头好，他说的你们那边没有认可，
[06:18.990] 他也不承认你说。
[06:20.340] 我怎么办？那倒应该不至于。
[06:23.400] 不至于这事儿好长没上当的，这4次的话是4038点。
[06:29.360] 腰身。
[06:30.190] 就是一次交齐的，对。
[06:33.490] 还有分着分着交的是吧？还有就是一次做。
[06:37.010] 对。
[06:38.900] 每次干了多少时间，一次完了以后不经过你们，他们到时候好这个问题的时候。
[06:46.080] 都没有，那倒不是因为你这车在他们那也有保修的。
[06:52.130] 还行，然后基础做完了，然后。
[06:57.120] 对，主要这几天车间排队相当厉害。
[07:01.310] 不是说。
[07:02.640] 太差了。
[07:03.840] 包括水平太差，你改装的技师和还要什么工作人员工人
[07:11.020] 提供了太差了，这东西家庄本身就不远场东西，
[07:17.770] 东西的质量我们无法保证的。
[07:23.280] 你为了多卖钱，使尽量多恨不得你什么都得装着。
[07:29.100] 这条点评结果出了问题老是这样，
[07:34.350] Nana我想投诉了对吧？怎么做这不是一次两次了，这已经第二次了，弄半年
[07:43.470] 10个月的我再来一会。
[07:45.490] 您可以找客服部门，
[07:47.180] 因为这东西
[07:48.820] 或者跟精品那边让他们
[07:51.850] 他们联系您的时候跟他们说。
[07:54.290] 对，谢谢太太什么您觉得？
[07:58.560] 我这边没事了，我俩不敢那个东西，就是我们的房子开了快20年了。
[08:05.370] 起码是没有，所以我告诉您这东西要没有加装的东西，我们都没遇见过，要上来我们直接问有没有加装。
[08:12.850] 这东西远远圆圆。
[08:16.550] 原车所有带的东西没动过的，
[08:19.080] 从来没遇见过有漏电的，
[08:21.760] 除非你10年15年了用了可能老化的线路，对你
[08:27.270] 10年以内的车就没有，对。
[08:29.840] 对什么事儿也对。
[08:33.780] 东西坏
[08:40.790] 的，
[08:45.580] 说白了就这么一个功能，
[08:49.920] 真没什么大意义。
[08:52.680] 坏
[08:56.960] 上。
[09:01.360] 你好，
[09:06.840] 什么东西。
[09:12.610] 需要弄什么？
[09:14.040] 召回什么？
[09:20.300] 过来登记过。
[09:23.980] 数据
[09:25.430] 远。
[09:29.680] 您是什么车型？
[09:32.350] 每4年更换一个火花塞，还有变速箱油，您这么着您打58734。
[09:41.480] 4个9联系客服，因为现在所有。
[09:44.200] C级减震都交给他们了。
[09:46.540] 只有他们约来的
[09:47.840] 才给流动，其他的都不给留货了已经。
[09:51.400] 对所有库存都有，他们对转到了
[09:56.430] 问题的好对了不少钱了，对这次大保养每4年。
[10:01.930] 到时候取车用检查你说的
[10:07.850] 形状短信收到报警是吧？在行驶本送现在就找车，什么叫车上也建明报警了是吧？
[10:16.510] 我那说现在有点划分用完你拍下来。
[10:19.850] 好没事，您是不是改成英文模式，然后我用一下您的价值本或者身份证。
[10:23.910] 是总包。
[10:24.690] 报一下您的信息登记，我好到时候联系您。
[10:27.700] 您看一下这比那走保险合适，还能管您钱。
[10:35.320] 她比您交1400块钱就行，这块2500块钱现金
[10:41.230] 等于2500一年两次万五千块钱，您要是咱们新华还就善于这是比较合适的，如果有记录的话，它只能作为参考，您没就跟咱去医院做检查似的，哪回不得给你验这验。
[10:55.970] 一十四会这是比较合适的，您现金，谁知
[11:01.800] 现在新换的系统那时候也弄。
[11:04.870] 不行，你给我讲讲2:30典型。
[11:08.840] 这个跟保险公司性质，您那是常见病那种情况，您说像您这种相对这是非常贱的，主要
[11:18.610] 为了太快了在你的感觉是吧？
[11:21.890] 我也担心你说我肯定跟他急了，他太过分了，一人在咱三弄10个月我就得小心点半那时间不长，但是修的话是15天之后过来。
[11:33.910] 还有一个中期，您在去年9月份回事，肯定他们给你还赔了一点评了，我看。
[11:41.250] 他们说赔了您点评了那就可以是吧？对您他是不是也应该给我？
[11:47.870] 要不您有问题的那没问题，他用不着，我如果要是漏电，就是说这
[11:54.480] 按说不会电瓶，就是说保险公司您现在只要能高车，一般不至于说话。
[12:00.820] 是我问没什么没上划痕险用应该不会收您的，他们怎么说的模式？
[12:07.810] 我陪不陪建平还充电，那到时候看什么情况？
[12:13.640] 他不会什么说说。
[12:17.830] 他等于是像咱们手机乐乐用电群代机
[12:24.130] 短那种的，随着年限会有影响，但是您也这个情况不对，您这情况一般不适宜。
[12:32.370] 不介意了，对。
[12:33.810] 可以说他应该用什么换，欢迎，行行您可以跟他们商量看看，我再问一下，感谢你下来以后我真不像我们商量不是原产的原车一样的，对。
[12:47.010] 只有一样不一样可不行，那不会那么
[12:50.310] 咱没有你想换那种便宜的，没有咱这有换原车一样的结果。
[12:56.730] 对，只有原车一种，再好的咱也没有，对，只有跟原车一样的一种
[13:02.970] 的。
[13:07.040] 那就先让他们检查。
[13:11.270] 然后有结果是那方面有漏电的，我会给您转过去。
[13:16.850] 做的我争取感谢，然后您别的还是电话尾号9241您的好的。
[13:26.070] 电话92410行没事行。
[13:29.850] 就没事了，就打电话，没有太多，加上咱会尽快放心，都在里边。
[13:37.120] 放心咱尽快弄，然后拍到了肯定快乐，对。
[13:41.150] 口上18个两三天的都有现在。
[13:44.350] 我直接跟你说哥两三天天。
[13:47.290] 一样，您得快点，行，咱尽快谢谢。
[13:51.980] 也二静了看病了，好勒，那行您慢点，我这有礼的什么？
[14:01.190] 无所谓，我通知也条，你留着有门票，我要是急了我就打电话，行行，好你问那个有消息我告诉您，不至于说不告诉你了。
[14:11.970] 那里好了您尽快帮忙，对，能尽快有消息会通知你，然后您就卖了。
[14:18.090] 对，对于女士对策了吗？你们看看行您帮忙测一下，你刚才正忙着对我这还一车没弄完，我们的东西。
[14:26.430] 接着对，让他先帮您过一下办公楼打电话，对。
