[00:00.080] 周女士是吧？交流。
[07:02.920] 钱下来玩，然后都有什么？
[07:06.800] 归结什么
[07:08.750] 赠送还是这样，哪些其他的没有，只是做自己，你自己愿意，对，现在正常原来咱们都是单独花1万多次装饰，现在也不强制了，不自愿，
[07:19.790] 但是咱也没有动作，
[07:21.400] 原来是你要花1万多做了，
[07:23.580] 等于说这个价格多少，现在是优惠是46,000。
[07:27.350] 万六用的是7万。
[07:30.520] 谁知
[07:33.040] 好像
[07:35.600] 毕竟属于吊车，然后吊车上空间各方面卖的比较好。
[07:39.760] 然后SUV的话只要cc卖得好，
[07:43.430] 然后还有PSP
[07:44.740] 跟差不多大，但比排量要小一点，第二点1.3345，
[07:48.960] 时间有点太小了，也不想了，因为那缺点费劲，反正就是排量小，就是和那种家用的课。
[07:55.830] 其实我也不相信，但是我觉得
[08:00.520] 他是一式两种标是吧？一是一个绿标一个大标价格是一样的，
[08:06.560] 稍后您可以自己选择。
[08:12.120] 因为一的话马上上新款。
[08:19.360] 行。
[08:19.960] 新款一到就基本没什么优惠。
[08:23.090] 不是应该马上就要开始卖，9月份。
[08:28.190] 是吧？所以现在优惠7万。
[08:30.280] 一
[08:32.500] 平常里头优惠就三四万。
[08:34.290] 四十几来429,800。
[08:37.960] 他也是真的。
[08:39.460] 你刚才不说有2001 300，
[08:41.380] 你说的42万90的低配，
[08:45.560] 低配也是没有加热，都有没有座椅加热，但是其他的该有的基本没有高职影像形成冰川这些自动刹车，
[08:54.010] 这些基本都是标配，
[08:55.500] 比他高配的多少钱？
[08:58.480] 高配有300，高配是300 3,465,800，然后优惠是6万就完了405,800都办完46。
[09:06.410] 46号。
[09:07.850] 6万块钱。
[09:09.230] 看看一下，然后加
[09:13.360] 三。
[09:14.490] 它主要是发动机不一样，
[09:16.640] 肯定是想买一条。
[09:18.290] 260是1.5，T+48伏电机，它是属于这种清灰的，就是油电混合的，
[09:23.780] 一三百的是20T还有发动机不太一样，
[09:26.960] 然后这个动力是184米，
[09:30.060] 300的动力是250吧，密码都是一样
[09:33.130] 的。
[09:36.570] 要是自己开车子离开的话，
[09:39.410] 一般反正长260的不够，这个车是更适合城市内开什么堵车什么的比较手游。
[09:46.570] 那是多少？有百分7个油。
[09:48.760] 7个油。
[09:50.090] 原来得10个，现在不是加了变低了，就等于2个小3个。
[09:58.510] 其实那个赛季差不多基本都差不多，没有什么太大的差别。
[10:07.500] 因为现在这个车
[10:09.060] 奔驰这些车价格都特别透明。
[10:11.200] 对，没有必要说给您报高了或者哪个店，他也不会说比如我们店因为除了他就是9万，
[10:17.230] 不存在这种可能。
[10:20.110] 对，他可能会查的是送福利是买那个车说保养独立，只要是有一两个保养赠送，
[10:30.200] 然后也有的店它可能又会不那么多，但是它可能店里边额外给您送您主持保养，
[10:35.730] 但是他也是羊毛出的员工，羊村长这也是肯定不一样的。
[10:40.390] 对。
[10:41.120] 这个车如果假如说
[10:43.350] 定的话题多长时间提车看颜色，比如你要黑的话都有电车的，随时都可以
[10:50.280] 都可以贴过去。
[10:52.150] 然后还有一些比如蓝的灰的，包括红的一些额外的颜色，谁知
[10:58.270] 内饰就是黝黑的东的跟米的。
[11:01.230] 对，这就是棕色。
[11:05.520] 然后前面对米色就是白色的，
[11:08.880] 重点人家还谁知
[11:18.560] 从那个门边来调，他前后直接搬就行。
[11:21.560] 直接推得对。
[11:30.480] 然后他有双12.31侧的大屏。
[11:33.270] 对，然后有64册的氛围灯，有64种颜色，到时候都可以调的。
[11:41.080] 对。
[11:42.260] 他还会比如说可以加柏林之声音响，就是顶级音响。
[11:46.340] 现在因为他原车是只有一三百号华氏标配，
[11:50.200] 他那个车就得49万多，
[11:52.150] 然后像260的您可以选择你可以定制，
[11:55.080] 她订了8000多块钱，
[11:57.920] 然后车会有主动刹车辅助，如果您以前车比较近走神了都可以自动刹车，这些都是标配的。
[12:05.320] 好。
[12:07.720] 对。
[12:08.620] 然后也会有黑内饰，米色内饰都会有。
[12:11.910] 260就是没有座椅加热，
[12:15.870] 反正座椅加热的话，反正就是配置，因为它性价比比较好，价格比较合适，性价比最高，
[12:23.240] 但是配置比300的话稍微低一点，
[12:26.320] 但是它该有的其他的都有，像倒车影像，
[12:30.000] 全景天窗，
[12:31.630] 然后像那种东风算盘大屏等一等这种都有。
[12:36.170] 看看这种没什么问题。
[12:40.740] 对，一般都不会有，因为咱们标配它全息都是天天
[12:47.050] 原来就是小轩窗现在这种大的，
[12:58.450] 然后现在也是卖的比较好的，比如武器比A6卖的都要好，
[13:02.950] 要应急。
[13:04.560] 这样
[13:06.000] 的
[13:12.880] 的
[13:14.880] 开
[13:17.770] 雷克萨斯一般都是保养都免费。
[13:20.460] 好多都是6年，一般都是。
[13:23.060] 8年。
[13:28.700] 了
[13:35.040] 这位的想买了后续还有好多乱七八糟，我就看他什么是吗？国产的就是在北京的。
[13:44.210] 因为咱走量的车型大部分还都是国产
[13:47.400] 的对的，然后他们说
[13:50.060] 当一个人吗？都进口的两个，您刚才一进门坐的那就是假门的那个是最好。
[13:55.710] 对进口药的进口对，然后那个钱又不行，我们可以说。
[14:01.630] 我来看看这个的有拿看不懂吗？看您打一本他那边也没有。
[14:08.420] 这是运动版的，给你找找比如有标准的，
[14:31.680] 这些都是不加长的。
[14:33.610] 没有是吧？
[14:35.520] 我再跟嫂子二二维码一下，还有那种
[14:45.310] 好刚才那个是吧我。
[14:47.470] 不是。
[14:48.620] 号这个号行。
[14:51.190] 然后到时您收藏一下，要不然下次退出去开导。
[14:54.620] 再加上微信了，
[14:55.700] 然后他有咱们全系奔驰在卖的所有
[14:58.940] 您都可以看，到时您可以选择科学，行行行行行行，我有您的名下，然后需要的家庭行行联系了一会给你打一个分享行行短信电话电子邮件每个方面短信就行，比如中建有时间上午还是下午，
[15:15.450] 明天什么都行，有点就简单的问您，还有什么需要您随时联系，您慢点赶紧过来。
[15:37.800] 先生这样吗？
[15:40.400] 就这么想
[15:44.960] 反正
[15:48.140] 都是看对他中国特殊。
[15:50.410] 你干嘛呢？
[15:51.680] 看看。
[15:52.560] 差不多了。
[15:54.330] 这个世上
[15:57.360] 没了。
[15:58.340] 我想问卖多少钱要买大字，然后想聊聊。
[16:04.200] 非洲的电话了。
[16:06.610] 买不了。
[16:11.680] 知道。
[16:12.880] 你看得懂英语现在开始什么等等30车。
[16:32.280] 没法吗？
[16:33.210] 你丫小小杰。
[16:35.200] 谁知
[16:43.360] 我先让我
[16:45.340] 他
[16:47.350] 才14个。
[16:49.440] 两天不看了。
[16:52.260] 没订单了。
[16:53.820] 不交该交的全都没给它交了，上去签了多少年准备了？
[16:58.020] 1万1万1万16,000多。
[17:00.440] 36,800当天买几个车，一般？
[17:03.950] 13个车才卖几千6800，
[17:07.400] 你这创新也不行，
[17:09.490] 上月我没完成，你外面tmd这么想，上又没完成试驾，没完成接待，
[17:17.610] 所以就签的少，你这太瘦弱了，你
[17:21.840] 没有肉把你蒙我就
[17:24.240] 不能
[17:26.310] 你这样只不过
[17:28.240] 是只不过你没有肉，哪有肉，我这么热的肉，
[17:33.550] 我就今天吃点苦头，
[17:38.390] 我这吐出来吃的多。
[17:40.540] 太瘦了吗？
[17:43.470] 花太多。
[17:46.040] 有120斤有100多。
[17:53.810] 为啥？
[17:55.310] 场
[17:57.900] 了
