[00:34.830] 这么着聊吗？
[10:53.190] 胡师傅带着去了。
[10:54.550] 谁胡经理那去了，
[10:56.980] 但是他让我过来找你们人了，人没回来，
[11:00.840] 人人没回来找我客户，这是那车您先看看。
[11:05.490] 先不想挺全的，一会我给您看，我先帮我客户先报个保养。
[11:12.160] 对，胡经理带着去看车了，
[11:15.000] 我发完消息胡经理直接来了。
[11:18.200] 没有那边。
[11:25.800] 烧。
[11:29.510] 谁知。
[11:38.960] 的。
[11:40.450] 然后中午需要吃午饭的话，您微信得先关注一公众号，我给您发个餐卷。
[11:46.390] 然后我这。
[11:48.590] 他卡完了我再给您说一下项目和价格和总费用。
[11:53.590] 这太卡了。
[12:01.820] 您需要微信上面搜索一个公众号叫百得利集团。
[12:06.350] 对，有是一个公众号。
[12:09.090] 您那边先手机操作一下，我这把这项加一下。
[12:14.950] 这个很好。
[12:16.810] 那就等你们说，我先了解一下关注。
[12:20.820] 然后我这边
[12:27.040] 关注以后有一个我的对点击我的
[12:30.410] 然后就会出来一个。
[12:33.690] 登录需要点一下上面头像登录一下。
[12:38.020] 登录就是输一下手机号。
[12:40.200] 手机号和
[12:42.710] 一会他会发一个验证码，
[12:44.810] 验证码跳上就行了。
[12:47.240] 通过微信渠道金融
[12:57.770] 渠道、
[13:03.300] 了
[13:14.170] 句
[13:16.760] 二
[13:18.030] 坏数据。
[13:27.240] 花花。
[13:32.660] 场
[13:35.310] 数据。
[13:36.960] 是吧？来。
[13:39.500] 关注
[13:42.480] 远。
[13:52.600] 手机号132
[13:56.240] 06553。
[14:00.080] 我发一个验证码过去看我
[14:05.300] 场
[14:09.040] 了。
[14:09.980] 没书号13号你对不对？你5张了。
[14:14.820] 多多一个是吧？后面
[14:17.640] 加个3。
[14:19.140] 行没事，不要发给
[14:21.410] 了。
[14:26.520] 数据。
[14:28.950] 13
[14:30.800] 2206123843。
[14:38.670] 三。
[14:41.360] 等。
[14:50.800] 梅花7376973776。
[14:57.070] 五。
[14:59.600] 都行没关系。
[15:03.900] 不知道，反正有时候手机就这样，没事我直接发给您。
[15:09.140] 1320。
[15:11.200] 6123843。
[15:13.800] 您今天几位到店？
[15:16.430] 一位成功以后回到这里边，
[15:27.760] 您看。
[15:28.980] 把照下来还是我截图发给你的？
[15:31.330] 我您不能扫，对这不能走，这得让他们走。
[15:39.680] 这样就行了，然后中午吃饭。
[15:44.900] 二维码。
[15:50.560] 大概项目跟您解释一下。
[15:55.700] 比较明显。
[15:58.480] 首先是基础A保养是933，然后有一个清洗水箱是325，然后还有一个就是每次换机油做保养，
[16:05.910] 然后咱们有一个针对于发动机，什么机油到了一个经期养护也是一个店一项，这个是111块钱。
[16:13.580] 这个可能不是这可作考虑，
[16:16.440] 不考虑她的话，就下面这把这个删掉，好。
[16:22.810] 这我会正常跟您说，但是您做考虑。
[16:26.140] 删掉就删定等会他又看我美。
[16:29.830] 演一步操作都得这会儿。
[16:31.560] 等于基本上其实就是说B。
[16:34.380] 做主板跟相当，咱们现在目前需要的。
[16:40.980] 一般都是1万公里做出来。
[16:44.190] 次提醒您算了，如果你有时候都会做，因为对方你好，
[16:49.230] 互联网有点跳跃正当性，一年2万公里就再开个再说，这没事。
[16:56.770] 等于通常应该算的话1200就没了。
[17:00.180] 然后我就直接下来给他们了，所以的律师差不多，他是两个内外做一个。
[17:06.590] 完了中午的话咱们是11:30开餐，
[17:11.030] 11:30~1:30在后边，保险楼到二楼，就后边那栋楼不出园，后边那栋楼二楼。
[17:19.330] 然后再就是给您留一份单子，然后您就可以休息，稍微坐一会儿，到饭点了您去吃午饭，然后我这好了我给你打电话，
[17:31.960] 花椒这个方向往前走，完了里边是打泡沫，等一下拿个单子检查放过，然后把脏东西放过来，我打出来了。
[17:40.230] 说。
[17:41.520] 后就一张取了，但其实。
[17:43.140] 无所谓，整天看着教材，
[17:45.180] 右侧景点2点过去那条，
[17:50.810] 那就时间长化分片，
[17:53.760] 放假了跟我一样。
[17:56.780] 好，等等我一下。
[18:00.850] 三
[18:06.150] 你等我电话就行了。
[18:08.160] 如果没什么事，我就直接通知你取车了。
[18:10.930] 车间检查要有什么情况，我再跟您联系。
[18:14.600] 您先关注一下百得利集团。
[18:17.550] 有一个公众号微信摆的历史我还没下载。
[18:21.300] 没下完。
[18:23.300] 微信它不用下载。
[18:26.210] 找着他，他不需要下载。
[18:29.510] 哪个哪里的，微信有一搜索，上面有搜索给你放大镜，
[18:36.970] 也没见到，
[18:39.360] 不行，然后直接打摆到立即转，就不是你们美国人发展，
[18:44.970] 一个月一变我们也烦。
[18:47.950] 老B还
[18:49.760] 看到您前面水箱部分给您开通了吗？把它给集团。
[18:55.910] 对百得利集团，然后。
[18:57.300] 那不是有了吗？关注他。
[18:59.220] 没有，对，这就是咱这周家这边。
[19:03.760] 我还没招了，咱这第一个就是
[19:07.680] 我关注一下，对关注他，然后他就进去了。
[19:11.590] 进去以后下边由于我的
[19:13.460] 对点着我的完事，这上面有一图像点，它登录
[19:20.010] 号登陆就属于手机号，他给你发验证码过来。
[19:26.340] 叔叔一手机号，
[19:31.400] 来
[19:36.740] 登上87
[19:41.420] 达不到登录
[19:48.470] 才能给您发过去。
[19:52.420] 东西过去1330843行了。
[19:59.180] 上面显示头像了吗？那车别着急了，我们俩3万公里正常单位建议后各有多少用它了，他不用了，我都发给你就行了，一会去先吃饭，吃完饭再回去办手续吗？
[20:13.850] 行。
[20:15.160] 对，然后你把字帮我签了，签完字之后我给你结账去。
[20:18.920] 手机号多少那就来这是基友6850，跳舞一万五68266报价交流新修也他把车放回去，机油的油倒就换机车就在这儿，然后还是跟之前一样，还是得需要签一个字，然后再给你。
[20:37.270] 还跟之前一样，不是有一个签字给刘奇留着，然后我。
[20:43.150] 给你拿回去西北
[20:45.370] 提供。
[20:47.040] 我就上回接过一条。
[20:51.800] 这应该是明细，帮我报一下，应该是刘明细。
[20:55.920] 这交给刘琦刘。
[20:59.920] 停车开始搁在那了，我要直接给你。
[21:06.700] 机油机滤空调那些挂帐了，也不用在这等了是吧？
[21:10.960] 好保重。
[21:14.350] 这样
[21:15.940] 我很自信，
[21:17.000] 精神远
[21:22.080] 坏、
[21:24.620] 场。
[21:25.620] 坏数据。
[21:31.270] 的。
[21:35.090] 刹车油、月。
[21:39.880] 6
[21:44.480] 的。
[21:47.980] 坏数据
[22:00.440] 的
[22:09.530] 老板的字。
[22:18.140] 数据。
[22:20.740] 坏数据
[22:27.350] 数据。
[22:29.480] 场
[22:38.910] 让他给你回一下，再
[22:48.970] 数据
[22:58.400] 为
[23:00.870] 没事。
[23:05.990] 做。
[23:06.620] 下个月再来。
[23:09.600] 我不找了。
[23:10.620] 下雨他车在你那了是吧？
[23:14.000] 没即那行，我让二手车师傅过来找你一下，等会我在这儿车最后给我找一会。
[23:19.090] 你不是没交车了吗了？
[23:21.260] 给你了行行。
[23:23.350] 你待会再叫你等我一下。
[23:26.070] 我这就去。
[23:27.660] 行，我叫人过来，咱哪个位置？
[23:31.780] 我带你去，我正好要送单子。
[23:37.430] 看一下我哪拍的，哪拍到你再看看。
[23:42.570] 有点。
[23:44.160] 因为有人举报我好几天。
[23:56.230] 车载车间快修，
[23:57.930] 快乐老人给您发过去，
[24:00.800] 拍的地方您二。
[24:02.370] 拍背拍完了记录是。
[24:04.970] 腰后有上北园。
[24:06.540] 不是出过一次保险，
[24:09.240] 出过一次后部事故的保险，是不是U口也不敢
[24:12.990] 口干。
[24:15.530] 等我一会儿，
[24:19.390] 这警察什么我玩，
[24:21.650] 我在。
[24:28.400] 车在这等着，告诉你往往往里走车车牌号，
[24:34.230] 找一个车网车，
[24:35.670] 轿车广播
[24:37.410] 车广川车网车车在他手里往里走就行。
[24:41.320] 你说。
[24:45.430] 62。
[24:46.500] 对。
[24:48.770] 你多一点。
[24:52.410] 132
[24:53.520] 06123843。
[24:56.360] 车牌号是黑。
[24:59.330] 悲哀。
[25:00.650] Ca 708P
[25:05.440] 108
[25:07.840] 没有女孩白浩明调理。
