[00:00.720] 怎么钞您桂香姓王。
[12:21.450] 女朋友音乐，
[12:23.470] 你的
[12:24.630] 还有你的因为高配的话是保快件的原因引起
[12:29.750] 直接效果。
[12:30.820] 也行，一边根据的电厂，因为有的可能还新马泰，
[12:35.400] 节奏非卖品，别和他们分享一下我们中国国际
[12:42.870] 我刚才说最低配能加这个影响吗？加不了了。
[13:03.750] 有品牌没有什么特点。
[13:05.540] 耳膜的话其实也非常新的车，一会所有车里边最安全最环保的车型，
[13:10.060] 有没有什么让你们没有
[13:12.600] 没法儿等。
[13:23.010] 开蓝牙搜查，
[13:24.590] 找着窝了还没有，最近电脑不用晒，不知道什么叫om。六是记录仪，今天刚才路过地方有沃尔沃的车记录仪，
[13:37.030] 我看看
[13:39.990] 您打开的是WiFi吧？
[13:42.550] 你要打蓝牙。
[14:22.010] 油耗现在是
[14:24.010] 差不多多少还是礼尚往来？
[14:26.080] 正常S90这款车的话，如果在北京城里边看八九个
[14:31.420] 10个以下是吧？这肯定是10人以下，这车跑高速最少的能稳定在5点多。
[14:37.380] 这个点34就是120，对。
[14:40.300] 这个车120应该也差不多也就2000转。
[14:58.930] 手机的音量比较小。
[15:01.080] 现在放完了。
[15:03.340] 个人跳，
[15:05.410] 我觉得脸红，要打赢电厂10666666武器的挺
[15:14.560] 千元公里在哪了？说厂商干脆的人，
[15:20.230] 我想
[15:29.350] 赶紧
[15:30.200] 南方
[15:31.320] 是谁说还有希望
[15:34.000] 就在网边回
[15:36.340] 到
[15:39.230] 生活哪去了？
[15:42.760] 我听到相等方向
[15:46.530] 挖到了放心，
[15:53.150] 自带能比的差多少？
[15:55.760] 就带音响效果
[15:58.340] 肯定还会有差异，因为这个比较
[16:01.750] 当家的一套音响的话就得
[16:04.530] 3万块钱，
[16:06.620] 在这块完整展现，
[16:33.970] 调研之后调整
[16:34.980] 坐一块儿去。
[16:55.400] 你像这个车，包括我刚才试一下奔驰为什么做的都那么低？
[17:00.220] 座位
[17:02.140] 轿车肯定要跟SUV的设计简直不一样，比蒙丢巴菲特什么的
[17:08.970] 都做起来都
[17:10.910] 都是前面高了，还是前鼻子是更平一点？
[17:15.820] 也不是
[17:18.220] 全是做比较谈。
[17:21.280] 您可以往高了调一点事我都不知道了。
[17:25.720] 现在是没打火，没对参加车我要宁找我这个事对。
[17:33.170] 但是我们灭车的时候也是王小宁都是王小宁对都是一样的，谁知。
[17:39.450] 然后手刹是送的，不用送用手不用不要
[17:44.850] 直接挂档挂到D档给你管，我停在这儿，
[17:48.650] 我摘打
[17:49.980] 它自动就自动的是吧？
[17:52.230] 电子手刹对你吸管的话可以自带电子商，但是不熄火他是没有的，对，你如果是条开开奥特厚的话，它就有
[18:03.650] 你不开他的话，只有吸管之后在手刹，你这着最后的话你只要停停了车，速度将来临之后自带手刹，这个事
[18:13.790] 我是公馆调出来的，我想问一下换一下，对好经济舒适。
[18:21.010] 对，因为是什么工程师是吧？
[18:23.390] 北极星对一星我们平常的话都没有，
[18:28.260] 平常的话都是舒适模式就行了，然后他有运动模式，北极星我记得好像是北京的话，现在好像
[18:34.700] 北极星的话它在属于一个运动套件，相当于发一下程序，他能做到现在没有还有有
[18:42.340] 陌陌也有材料这块打工了。
[18:45.610] 就是说从开始
[18:48.270] 倒显示在屏幕里边，
[18:51.140] 等于挂到前进档，
[18:53.700] 到达
[18:55.120] 带着对这个自行车车队就开始手动，
[19:03.090] 你把伤口放在
[19:06.270] 看到注意解放的车辆，
[19:19.280] 刚才是二档是吧？
[19:20.720] 对没有公开。
[19:22.850] 因为车内的话，
[19:34.190] 咱们
[19:35.640] 有需要进职工吗？咱们不进主路，
[19:45.570] 到前面4都会被桥交通、
[19:52.450] 车
[19:53.460] 开得紧凑一点是吧？
[19:56.010] 太得紧凑一点，刚才说的价格天气夸大的开店，
[20:02.400] 他的悬架系统可能
[20:06.200] 不太一样，或者说是她调教模式不一定
[20:14.920] 抗争起来。
[20:16.340] 掉头是吧？对这个老头今天
[20:33.490] 说沃尔沃低配的
[20:36.240] 车静音好不好说，风噪可能外面的声音尽在大一点。
[20:41.420] 有就说说的高配才行，低配不行，其实都一样，都会他跟高飞跟地位它都是一样的，
[20:49.820] 没有什么，现在自动驻车开着，我就抬脚就可以对松刹车就行了。
[20:54.940] 给油门它发动机启停现在有吗？有，现在也没关系，现在没关，但是没开是吗？你部门？
[21:02.840] 看看。
[21:05.480] 开着。
[21:06.480] 开店对。
[21:10.200] 这张画这是刚上。
[21:19.390] 这是高配的，这下车都是高配一点，但是你开这个感受跟你买低配的是一样的，一模一样的。
[21:59.480] 兆头别。
[22:00.180] 没事吧？
[22:20.730] 咱们现在是奔北
[22:22.140] 是吧？这是咱们现在往往北走，你那4S店那边就在西面装，
[22:35.060] 这个提示牌没问题的，7.2秒的1.4%。
[22:38.640] 对。
[22:42.570] 性价比很好，沃尔沃的车
[22:44.690] 主要是优惠的也多。
[22:53.000] 下一个要进主路，不用附近，就是在到调节车上，
[22:59.690] 到四季青，
[23:15.590] 这款车牌功率制动距离36米也
[23:19.350] 五，
[23:20.120] 目前同级别辆车里边百分之接近多少人口，
[23:24.690] 其实可以上车吹飞，
[23:28.610] 说好多车为什么刹车就做不了，那么那什么呢？
[23:32.940] 是吧？好多车四五十万的做不了，第20万的
[23:36.880] 还反而能做到。
[23:39.000] 这东西他也不那个什么，你说
[23:41.320] 我就不太理解。
[23:45.170] 可能车辆的总设计师觉得第六的，比如说第6代38，
[23:51.330] D期待能给你弄一四十，第8代可能又回到30多这个东西。
[23:57.060] 知道。
[23:58.120] 怎么想的这东西。
[24:02.560] 每个设计师他这个理念不一样，
[24:06.400] 总工程是理念不一样，
[24:09.660] 它是根据它的
[24:12.390] 理念来设计出来，
[24:24.290] 沃尔沃出栏前传最有名就是他的合同。
[24:28.050] 很多人说Volvo个人效性能不好，是因为他所有的个人材料用的是无害的殊荣界面，
[24:34.510] 它不像
[24:36.250] 其他品牌在用的是理清总理片，理清楚音频的话它效果确实要好一些。
[24:42.180] 它就是温度稍微高一点，它就有Volvo，对。
[24:48.650] 有的。
[24:49.480] 其实支架上面不有个大标车，它做窝的拆车时间
[24:53.550] 上面说了在中国能买到的车辆除了沃尔沃之外，其他所有还都用的是沥青。
[25:03.480] 我说
[25:04.310] 所以
[25:05.770] 开始比温泉一感觉好一点。
[25:08.210] 调解调就是这块料槽，
[25:11.670] 也不像这么大个的车，这是4米9，这1的比/50835083还尝试，
[25:18.290] 但是1/1窄是吧？
[25:21.160] 载不了茶都差不多，可能车内感觉窄，因为他门的
[25:27.310] 就木香5083的车，
[25:30.930] 因为这个车悬架用得非常好，能
[25:34.380] 前提和你分开臂悬架后边用的是符合也开始仓皇
[25:38.840] 车跟柯尼赛格同样的悬架，
[25:42.150] 跟泰格也是前提，和前双叉臂后我也开始看房，
[25:46.200] 一些顶级的超跑，
[25:48.550] 知道宝马没时间了，而且他底盘的话都是用的跟法拉利保时捷同款的微博瑞的一个底盘模拟机调教过的，
[26:00.690] 他可能感觉他的
[26:03.030] 操控性会好一些。
[27:06.820] 这个是245。
[27:08.490] 5235，
[27:10.010] 这个是235的。
[27:13.390] 我就是低配也是这个态度是吧？
[27:15.840] 开车不太一样，
[27:17.640] 买的型号牌子也都一样。
[27:20.370] 以前不一样，好像开了都一样。
[27:22.680] 对，现在高配的也将回来看看。
[27:26.600] 这不能地位给加上去，以前他其实还有一个最高开至尊的，后来20块就没有再配置了。
[27:36.970] 所以说
[27:39.080] 对于他来说没抢着，只不过是把最高配就是去砍掉了。
[27:46.390] 刚才空调没问题是吧？没有人反映说空调不凉吗？没人骚扰我就空调不了，或者我不能经常的
[27:55.080] 牛说是把福克斯的目标给装上了。
[28:50.590] 咱们一会从保时捷那块近，
[29:04.510] 这是什么
[29:06.320] 这啥的。
[29:07.810] 对替补的话，现在目前一共有三个配置是E致远只，
[29:13.140] 直译是甄选之一，是咱打听。
[29:16.360] 是的，对这个是优惠完了多少钱？
[29:20.000] 这个Youku完了得小40了。
[29:23.470] 对。
[29:24.830] 志一发动机功率跟一样的，
[29:28.440] 发动机变速箱底盘跟他一模一样，沃尔沃品牌
[29:32.530] 它不像其他品牌，
[29:34.170] 他高功率是吧？
[29:36.270] 他也有高低功率，但是低功率的话基本上不卖，它不生产。
[29:41.680] 它这个品牌的话它喔咱们就很容易出来，对。
[29:47.940] 他的所有的合金科技
[29:50.140] 都是标配，像Volvo相隔14 60公里，自动刹车，紧急避让服务对象超市，陛下这些安全科技都是标配，都是有。
[29:59.570] 包括刚才给您试试的领航无人驾驶都是比较
[30:05.720] 你前面一口气
[30:33.110] 就是右转。
[30:34.120] 对。
[31:11.120] 停还停车位上
[31:13.270] 停电就行。
[31:15.790] 停车位上面走火车对。
[31:51.150] 好的。
[31:52.080] 对，给油门才会走。
[31:53.940] 正常我用套这个车的话基本上都是
[31:57.520] 的好的，如果说院里边挪车就不把它关掉，
[32:01.740] 因为不给油门它不走，给多了的话还容易造成这种
[32:05.540] 没事歪点。
[32:07.980] 这还真是挂完挡着不走，对，因为他有别的，这车也是歪的。
[32:14.400] 这车位是歪的。
[32:19.970] 你像别的自动挡的话，到党的
[32:23.160] 抬脚就走了。
[32:26.620] 没事，P是吧？对IP打就行了，然后手刹也不用管，送他直接吸管的话就带就熄火了。
[32:37.290] 起火时必须要踩刹车吗？
[32:39.530] 不用直接完了你们就行了。
[32:42.770] 不用了。
[32:44.720] 对这样就OK您拿好您的手机。
[33:04.670] 照旧可以。
[33:05.550] 在我这。
[33:56.030] 我先回去要看。
[34:04.560] 我们。
[34:05.910] 那天不去了，明白。
[34:11.000] 帮我打个
[34:14.560] 草他妈
[34:16.670] 我他妈自个打的怎么会，他们说没有，那。
[34:20.490] 真心就可以形成，但是盖得干好了，明天放楼上，然后拿电脑倒来。
[34:27.350] 你这还得改不了。
[34:29.270] 他就说后台那电脑里导出来，你是今天的吗？
[34:32.650] 我为什么宝贝
[34:35.020] 上那查去我这345。
[34:37.280] 看他那查你这个不准，还得看电脑会导出来一个数据。
[34:45.470] 他们从哪儿找发动机后6位。
[35:07.840] 傻逼
[35:10.350] 的。
[35:25.520] 0287
[35:31.890] 05287。
[35:34.050] 稍等一下。
[35:36.000] 7万。
[35:39.670] 完了。
[35:40.930] 你搁桌上那etc是茶具对吗？
[35:46.840] 就连沟通。
[35:48.820] 告诉我我打什么清单，
[35:51.510] 拿着后面给一下老挝那边。
[35:55.600] 感觉
[36:05.590] 抱歉，
[36:10.040] 你帮我算算。
[36:15.060] 第最低他也不知道吗？
[36:17.460] 行，您稍坐一下，咱们给您算一下。
[36:59.720] 这车指标是在您名下吗？
[37:02.400] 或者是。
[37:04.390] 能问一下您什么工作单位吗？
[37:06.760] 因为您爱人因为指标人
[37:13.240] 或者指标那人，如果说是像三甲医院的医生，包括去武汉的医护人员都会有额外优惠。
[37:19.150] 没有，必须是医生吗？
[37:23.090] 三甲医院的。
[37:24.830] 医疗协会的可以吗？要学会不可以，不行必须得医院。
[37:29.810] 对。
[37:30.490] 三三甲医院的不是医生和护士医护人员。
[38:02.500] 的。
[38:03.720] 北京12
[38:13.490] 28690。
[38:54.320] 咱们考虑全款还是考虑分期？
[38:56.580] 分分期、
[39:23.970] 10. 
[39:28.940] S90的话目前两种做的比较多，一个首付一半带一半，然后是
[39:36.800] 两年免息，
[39:38.650] 等于要不就是走30%带71%型免息，还有一个是三年定额贷，
[39:45.470] 带的少一些，贷10万块钱，
[39:47.520] 都是免息的。
[39:49.230] 等于如果像你说的首付50%，剩下的分两年平均环。
[39:55.210] 对，这是免息的。
[39:56.470] 等于我跟全款买是一样的。
[39:58.340] 对。
[39:59.150] 是吧？那就另外一种是。
[40:04.360] 我说的这三种都是免息的。
[40:06.370] 都是免息的，是定额贷那是怎么。
[40:09.660] 定额贷的话是只贷10万块钱。
[40:11.670] 固定的。
[40:12.460] 比如说需要30万，我先给你20万。
[40:14.650] 对。
[40:15.900] 10万块钱，我在分多长时间还？
[40:19.130] 分三三年还三年，这样的话你首富会稍微高一点，但是。
[40:25.420] 但是的话这个怎么
[40:28.310] 反正
[40:32.130] 没事了，甭搭理他了。
[40:34.380] 我就放心了。
[40:36.310] 放在屋那块了，
[40:38.220] 摸索着，然后放小柜台那里。
[40:43.320] 没事先放那边，我明天我再处理。
[40:45.710] 没事他肯定早走了。
[40:52.800] 这三种都是免息的，刚才就说带穿可能首付高一点，但是你的月供压力很低，因为每个月的话还3333就够了。
[41:04.630] 如果是您带一半，首付一半带一半，
[41:08.050] 整我可能月供稍微高一点。
[41:10.880] 年代的年头哪一种是什么？还首付30%~70%？
[41:15.900] 一年得7只能待一年年多了。
[41:20.430] 会比较高。
[41:21.510] 大的多？
[41:22.360] 那就按两年首付50%，
[41:25.890] 剩下两年。
[41:27.780] 但是所有的贷款免息妫免息有1个贷款的金融服务费是贷款额的4个点，
[41:35.330] 贷款额的4个点那就是一半的4个点。
[41:45.550] 你们要是全款的话还能有优惠吗？还是说？
[41:50.010] 全款跟分期价格是一样的。
[41:51.360] 一样的就百%一样了。
[41:52.910] 对，百%一样。
[41:53.780] 都在说。
[41:54.640] 就看我掏不掏。
[41:56.920] 分析
[41:58.530] 服务费。
[42:36.680] 您看一下。
[42:37.750] 这是
[42:46.200] 这等于是优惠，这是多少优惠？9
[42:50.130] 10万多一点。
[42:51.570] 都会在3万。
[42:53.000] 多10万多。
[42:55.150] 然后这是12,000是什么意思？没太明白。
[42:58.010] 置换咱们不是就是置换，就是置换的话有12,000的一个优惠额外的描述。
[43:04.200] 拿一个指标买卖，但是。
[43:06.030] 那就没有12,000了。
[43:07.070] 我置换必须彻底在你们这儿。
[43:09.450] 对吧？你们给收走，对，到时候您可以把车开过来做评估足够。
[43:14.850] 还是
[43:17.760] 购置税、保险，
[43:20.550] 这个保险的话，如果我做首付的话。
[43:25.650] 有几年在你们这上保险没有，就第一年在里面，第一年对，明年你这9000是全险吗？还是怎么钱？9000的话给您大概估算的保险第一年主险也行，对我们这不要求您就算了，就在我们这上个车损上三者就 OK，其他的您玻璃划痕什么盗抢涉水之类的看个人需求了，
[43:52.360] 我们这没有强制的。
[43:54.610] 挂车的车身
[43:56.260] 上牌。
[43:57.310] 我这个就是提车上牌我自己弄也可以，还是这3000块钱。
[44:02.470] 这个都是统一的，都是3000，不管是您买S60是吧？S这个车40或者说买车90都是固定都是3000，包括您后期办临牌的所有的费用都在这里边。
[44:13.260] 我在上牌的时候人得去是吧？还用。
[44:17.620] 对您得开着车去，什么都不用管，衍生事故给您办手续。
[44:21.290] 这个不能不交是吧？
[44:22.740] 都统一的
[44:27.500] 12万。
[44:29.290] 4200. 
[44:32.200] 收获50%。
[44:36.010] 你这个服务费是
[44:41.240] 服务费是怎么是算在这里头了吗已经？
[44:45.650] 服务费的话，就算在您首付的车款里边了，在这个里边就是这个钱怎么来的，首付的车款加上服务费、购置税、保险验车全办齐了，交这么多交完这个钱之后每个月还有空就OK了。
[44:58.290] 首付我是18万多。
[45:00.820] 剩下我还24个5970。
[45:02.770] 对，一共还14万多。
[45:05.000] 对，一共还14万多，他就是比全款多了一个。
[45:09.220] 服务费就等于全款多一个5738。
[45:13.450] 5738，我再买车的时候一次性就给你们了。
[45:24.610] 行我回去我看一下。
[45:50.700] 大概就是我的蒙丢。
[45:52.290] 盖能抽多少？
[45:53.530] 得评估您的车，给二手车评估师给看一下您的车况。
[45:57.430] 五六万块钱。
[45:59.080] 我不太懂二手车，这得让他们看。
[46:04.180] 好有好，其实就早买了一号。
[46:07.880] 行，我把这个能拍。
[46:09.290] 一下吗？可以。
[46:13.690] 其实我刚跑12万，
[46:16.800] 龚律师也不多。
[46:22.860] 现在北京的指标比车子比前面
[46:25.470] 对那些东西。
[46:28.260] 北京他们买。
[46:30.270] 买一个直落的指标去购买一个S90，
[46:33.040] 你找直落呢，
[46:35.670] 人家给你办这只鹿了。
[46:39.080] 名字就是你的。
[46:42.870] 不过现在
[46:44.130] 骗子太多，
[46:45.520] 靠谱的很少，
[46:47.530] 但也确实肯定有
[46:54.260] 熊。
[46:55.180] 琢磨所黑色的。
[46:58.530] 主要是黑色多，对。
[47:01.410] 偶尔会有这种白的或者是蓝色的这种。
[47:05.640] 咱们仨车那颜色，
[47:07.450] 运动款的话有样用。
[47:10.510] 你运动款跟普通款式什么区别呢？
[47:13.880] 他就是多一个什么颜色，基本运动款都基本都是那样玩的。
[47:17.880] 然后外观不一样，那是稍微有点差别，其他都一样。
[47:21.070] 其他都一样，对。
[47:25.070] 然后
[47:28.310] 你这块是4S店还是？
[47:30.830] 4S店，正规4S店都能买，对，就在咱们对面的钱都可以做保养培训班都在后边。
[47:37.090] 他也是11,000保是吧？
[47:39.770] 1万公里一年保养一次。
[47:41.190] 次，反正或者是先到一年，或者是。
[47:45.040] 到1万公里，
[47:46.450] 哪些到哪个来？
[47:47.860] 西藏哪里玩？
[47:51.540] 他备胎是小妹太小，备胎是吧？他。
[47:55.850] 都没有前途。
[47:56.540] 次没开了。
[47:57.330] 为什么？差一个轮胎。
[47:59.590] 成本。
[48:00.410] 肯定是成本。
[48:02.070] 等他什么用不着怎么着，肯定是为了降成本。
[48:06.000] 1000多块钱一条胎给你变成了
[48:09.520] 说一半几百块钱，对那一一台车可能就成本就这么多，
[48:16.730] 一个东西降那么多，你肯定是。
[48:20.710] 量大了之后肯定就显利润了。
[48:24.040] 所有的品牌都在，但是他。
[48:26.830] 哥小备胎的地方割不了，正常胎搁不了。
[48:29.650] 尺寸在那摆着，但是他如果是在设计的时候，你设想大一点的矿，那。
[48:36.280] 就可以了应该是。
[48:38.130] 他的模板他的模具落落上去的话，您可以看看后备箱里边，但是问题是我那个小位置要坏了，
[48:44.720] 我还得找你们买。
[48:46.370] 所谓他有的是卖的地方正常卖都卖轮胎都有小微。
[48:51.250] 我不用这么太送。
[48:53.810] 我不知道我这个东西有时候在外头外地
[48:56.640] 买不到。
[48:58.080] 您正常买正常备胎，这正常买悲惨的地儿都有这种小白菜。
[49:04.370] 肯定他小魏他还好，有点把国道上。
[49:10.310] 药店陈列。
[49:11.540] 能买别的牌子的。
[49:13.540] 哥哥一样带。
[49:15.190] 好。
[49:21.800] 等我。
[49:22.980] 你看聊天没事，
[49:25.110] 我们的政纲也下不了班，一大堆。
[49:30.330] 你找
[49:31.340] 24小时也会给您打回访电话，回头有问题的话咱们再沟通。
[49:35.710] 说一下您特别好。
[49:47.260] 你是不是输错了？输错Q3CEO还是C0？
[49:52.340] 肯定只有
[49:53.880] 我说了CEOC0。
[49:56.950] 第三。
[49:58.350] 行街。
[50:00.010] 出去行了，关了了。
[50:02.000] 好吧，再见。
[50:27.690] 他说我那环保清单明明我自然打印出来放在袋里边了，他说没有。
[50:33.010] 现在就给你说一下，因为我7月份说。
[50:37.400] 皖信发完了，
[50:39.230] 然后刚接完客户，我短信发完了，刚接完客户。
[50:42.750] 说可能比上个月要回来。
[50:44.320] 3000多。
[50:45.900] 价格
[50:47.710] 了吗？
[50:48.740] 您看看要是。
