[00:05.440] 京N28738。
[04:40.120] 就是门喷漆叶子板E板金喷漆后杠喷漆，然后又底边喷气后的右后轮股给你修复，大致就是这么一个过程。
[04:48.950] 您可以跟老板说一下，你看这个单子我记得不清楚的话，他带着现在拍不了这个东西，只能跟您口述这个东西。
[04:58.150] 谢谢。
[05:00.660] 他定损员定损完了给我一个定损单吗？你现在还没定损，你这边您方案还没决定他怎么给你定损呢，
[05:10.570] 对不对？
[05:11.540] 你让他给你定都换都行。
[05:15.760] 关键是方案是哪个？
[05:17.810] 你要说让这俩东西让他都修，他也能定他们保险公司省钱了，但是修出来这什么都不叫，这
[05:23.960] 这后果可就需要您承担了。
[05:25.940] 油油的对，然后还有一个说比如说您强烈要求修他光肺没问题，我们也没问题，
[05:33.710] 但修完了什么都不叫，
[05:35.580] 您在觉得说再给我换这个费用，可办公司只管一回，其中剩下的多余的那次费用就需要您自己承担了。
[05:43.670] 查一下什么时候出来。
[05:46.430] 比如说你不愿意换对不对？你去要求修对不对？这修完了之后，不你看着看着都你自个就不能说我们内行人了，你这外行人都看都不会去对不对？
[05:57.910] 因为是你要求修的，我们按照你的方式对不对？就是说我要去说它show出来是什么样的不管了。
[06:04.370] 对，那修成啥样是啥样，
[06:07.450] 因为我们肯定是奔着自己最大的能力去修去，但是我的能力就这么大，对不对？
[06:13.600] 谁知
[06:15.320] 但是不一定能给选修漂亮，那是肯定修不回来了，到那你要是活你去北京哪家4S店，
[06:23.320] 你要说那去修理厂，咱没法说叫你去哪家4S店没有show票了。
[06:31.070] 因为换门，然后叶子板
[06:33.730] 小伙电子版
[06:36.030] 返修。
[06:42.730] 知道。
[06:44.040] 现在没有那么牛牛的工人了。
[06:53.790] 夏雨说这么大本尽量你时间长了你使不住了，
[06:57.220] 然后后面报告投放偏1.7。
[07:01.280] 他刚分期，对，正好把你左后边那块企业都一块毕业一下就能喷了，刚刚整天的是吧？
[07:14.240] 做
[07:24.050] 龙骨修复重新读一下。
[07:29.510] 数据。
[07:32.050] 还有吗？
[07:33.230] 空气。
[07:54.390] 刚才
[07:57.110] 我再跟您核实一下，
[07:58.760] 关门，然后叶子板业钣金修复，
[08:03.240] 并且R后杠补漆人口是修复，
[08:07.890] 又底大边预期，
[08:10.470] 对吧？这是提亮是吧？
[08:13.740] 这个要珠宝它可能出多少钱呢？
[08:17.020] 是多少钱？大概得在2万块钱左右，2万块钱上明年保费是不是涨多？
[08:25.500] 这跟你出险次数有关系，跟你这次没什么长肺没有关系。
[08:30.680] 明年保险按次数不按金额4万，对花一块钱能花10万块钱是一样的。
[08:37.680] 这样。
[08:42.810] 没有准确的数字是吧？之前的话你还没告诉我们给你的建议，你还没告诉我们方案，
[08:51.970] 我们现在出不来价格，
[08:57.900] 其实你告诉我们方案了，我们这活也给你1万多来讲，因为你看他第一次跟我说的是1万多，就是三块分期就1万多了，
[09:05.390] 三块喷喷47多少钱？
[09:07.730] 三块不不用说一块多少钱，咱别细节，这会还不没到那份上了，三块分期就1万多了，你甭再加上换个门了，
[09:16.550] 肯定得奔着2万多。
[09:23.000] 你有平安好车主到时后来说他这些信息从上面一项一项都能看得到。
[09:29.500] 刚看完一下，然后看一下。
[09:36.310] 坏。
[09:40.820] 要换门，
[09:43.720] 然后
[09:52.870] 出险的话差不多要2万。
[10:02.950] 你要不换门的话也行，但是学完以后
[10:06.770] 没有看到好看。
[10:08.550] 数据。
[10:16.770] 数据。
[10:20.320] 数据里边厉害，
[10:34.170] 然后我问他明天他说
[10:37.550] 按次数算出一块钱10万块钱，
[10:47.150] 数据、
[10:50.040] 一次。
