[00:00.000] 测一下二次，是不是张女士？二次对吧？
[04:51.150] 你们这家店就专门清理各自
[04:54.990] 快乐是吧？对。
[05:03.260] 首先干完了不要怕，这点上现在在这里也不知道吗？
[05:08.770] 因为他到这边过来，现车现在只有绿色，
[05:12.410] 只有绿色的白色也得等着吗？对白色昨天上定了。
[05:17.410] 白色的话
[05:19.460] 一周内。
[05:20.850] 明天9点对吧？
[05:23.830] 都要
[05:25.630] 一周今天。
[05:27.910] 我
[05:29.760] 完了我了。
[05:32.890] 的。
[05:34.380] 还有什么可以分期一年的是吧？可以。指标是您的是吧？
[05:39.230] 那指标是别人的，但是我租的。
[05:42.750] 他能配合您做贷款吗？能，那就是他贷款的话是他带给我用她名字，还是您带
[05:50.110] 您来带您来还，但是他也得配合。
[05:52.870] 行了。
[05:54.470] 我写了你可以问一下。
[05:56.470] 这个不行。
[05:57.730] 不用。
[06:00.770] 我不过去了。
[06:08.580] 到
[06:10.160] 给你看一下。
[06:12.100] 用一下。
[06:18.860] 万一你可以考虑的，
[06:20.360] 我就多一点。
[06:22.670] 年年多少？
[06:24.700] 一个月6号
[06:26.240] 更长期的责任问题。
[06:28.160] 因为
[06:29.110] 有点工作，
[06:57.160] 我去年的大概有
[06:58.580] 消费者
[07:00.190] 这个东西来要全款都跟亲密度在时间上到底在这上一个就是唱片大地不是特别的
[07:10.040] 就把了，那就别让他上了。
[07:13.450] 民生都比如我再等等，行还通过那个东西，
[07:19.040] 首付将小付百分之多少？
[07:21.560] 最低是百分30%，这是。
[07:25.210] 34 50，
[07:27.390] 利率30%最高。
[07:29.950] 70%. 
[07:31.120] 3%就30多少？30 40 50 60 70吗？对首付比例。
[07:37.150] 他这个裸车是多少？25万是吗？253,800，我说25万50%的话就是10
[07:45.350] 12万多，这个不对。
[07:47.200] 1000 50%。
[07:51.200] 了一下他的地方，反正我说一个
[07:55.970] 分期，你看30~70他这有什么区别？有或者50%利息低，
[08:04.280] 今年70%不应该利息共计是吧？他不是
[08:09.690] 他有一个固定的专案号码，
[08:13.110] 10左右就能到账，
[08:25.710] 会员的话，这几能有多好，我再给你算。
[08:31.160] 谢谢电话。
[08:33.490] 他打电话
[08:39.510] 的。
[08:41.870] 好了。
[08:48.410] C 200L运动版的白色外观，黑色内饰运动，
[08:53.000] 有时上就是时尚运动，运动就是达标，这个叫运动时尚运动吗？
[08:58.850] 又喝完了，我给你的太清楚了。
[09:01.000] 因为我看网上马云对他写的比较，
[09:06.970] 然后车架游玩是25万，
[09:09.940] 3800，购置税的话是22,460，
[09:13.370] 上门费的话2500，供述完了你是按65,000算的是吗？我听我跟你说。
[09:19.820] 这个是223,800，购置税的话是22,000，上牌2500，保险大概在1万左右，左退少补，
[09:28.210] 上盘还。
[09:29.190] 这么贵，对上面都是2000上不来我
[09:31.480] 看我不在这上班去了，上要分期了，咱们上映后期涉及到一个抵押登记，
[09:39.110] 超了奔驰都是这样，别的地方收3000 3500，
[09:45.490] 咱们这2500在奔驰里边算是低的了。
[09:47.860] 对，然后精品的话13,800。
[09:53.070] 全办齐了302,000，然后再送5000保险20,007,000~297,000，车价是优惠62,000，然后送55,000，毛险67,000。
[10:02.050] 32万千对。
[10:04.200] 297,000。
[10:05.240] 这么我记得刚那个时候火爆的，刚刚27万27万那会是裸车不是问题。
[10:12.910] 车。
[10:15.060] 对，那是裸车价格，
[10:19.710] 然后这个是分期首付50126,900%，
[10:23.470] 然后带了50126,900%，0.99的利率，每个月还104，
[10:28.840] 最后一期再还这126,900。
[10:31.840] 对这事实对，这是18个月的第一笔付17万。
[10:38.640] 对喂。
[10:43.440] 我们
[10:49.540] 一会找你接客户一会找你。
[11:01.930] 10。
[11:03.070] 18月18个月他是1个专案，就首付5018%个月，
[11:08.640] 这个方案的话率是最低的。
[11:10.630] 我想一年的12月，
[11:12.740] 12月就没有这个方案了，
[11:14.320] 每个月本金加利息了。
[11:16.870] 8月就是一年半对。
[11:21.360] 这个力，因为这利息低0.99，如果你要是
[11:24.750] 一年的话那种是3点多，
[11:27.020] 差了三个点。
[11:28.240] 三
[11:30.370] 105.8。
[11:31.720] 这怎么看你这个价格也怎么样，高压就是按67,300 62,000还送您5000万枚，外边没有7万的价，您知道吗？
[11:43.060] 自己打电话问的。
[11:46.190] 对吧？
[11:48.220] 你打电话问我跟你说8万，您过来谈。
[11:50.680] 你就是这套路你们怎么办？
[11:53.730] 咱们咱联系这么长时间了，你都来过。
[11:57.000] 你干啥？不是说两个点怎么两个点，我说的是优惠两个点，一个点。
[12:03.020] 具体说一个点对一个点就是优惠62,000，然后送那5毛钱。
[12:09.610] 谁知
[12:11.470] 就有车架62,000多，优惠了一个5000块钱的保险麻烦。
[12:15.360] Nothing，对5000块钱保险也是钱。
[12:21.120] 是这样现在就行，然后其他就没有了是吗？这就是一个所有的那些都是送保险什么，除了送保险，然后价格里边这297,000的价格里边就包含贴膜、脚垫、记录仪，
[12:34.950] 这些钱全都包含了。
[12:37.380] 你全都不要，你也是这个价格你得送了，你要是
[12:41.370] 送你的你干嘛不要了？
[12:43.600] 不一样的。
[12:50.150] 对，但是没有手续费里面没有，您说那7万的票。
[12:55.810] 那个时候不要到时资料对吧？
[13:00.790] 17万平米以后。
[13:04.240] 你还得加上税跟保险什么的呢，
[13:07.010] 然后每每每个月还多少？
[13:10.920] 等到37贷款一般300多块钱算的一起参加不一样，他们就是按吵架算的，
[13:22.230] 按20万算，未成年已经是125,000，是您分期只是分车架部分，但是您的购置税您的保险是分不了的，因为购置税是交给国税局的，保险交给保险公司的，
[13:35.220] 明白吗？
[13:36.060] 为什么126,900这是按车价百分比分的，因为你还得再加上购置税什么的，第一批的您得付这么多，
[13:43.540] 是这个意思，不是说您加在一起的都可以分期向购置税保险，这些是分不了期的，
[13:49.600] 然后每月拿多少还104块钱，还有多少？
[13:53.540] 对。
[13:54.850] 为什么每个月不能多还他，我想多还在哪里，每个月还给三块钱，你可以还几千块那样利息不高，你大姐你没闹过这门了吗？力
[14:04.950] 提高很多，那是三点多。
[14:07.330] 干嘛？
[14:08.810] 所以我给你算。
[14:10.060] 那一样的，你这一下最后一个月还十几万二十三时
[14:16.650] 126,900，再谁在你手里过18个月，你这126,000就你存支付宝里头每个月的利息也比这104到
[14:24.730] 不过你多少钱你。
[14:31.980] 我给你算一个。
[14:33.480] 现在我
[14:38.550] 很少再管了，
[14:47.380] 我算的话也就不一样了。
[14:49.840] 首付是一样的，就是月供不一样。
[14:52.590] 等于便宜让他的意思吧2万
[15:00.530] 贷款
[15:08.270] 每月还5397，
[15:12.240] 利息有多少价值？
[15:13.970] 利息的话，那个方案的话就是只有两年的。
[15:19.320] 所以。
[15:20.360] 对你想要一年的是吗？
[15:22.490] 你看这个低首付的。
[15:24.640] 低首付的
[15:26.920] 50%，
[15:42.590] 除了这方案就都是两年的了，没有一年的了。
[15:47.850] 都是24个月的。
[15:49.290] 24个月的话，就刚才跟你说的每个月还5000，
[15:53.720] 5397，
[15:56.000] 两年加一起的利息总额是2600多，
[16:00.970] 两年没有一年的
[16:04.850] 原告所称的价格是253,800，
[16:09.070] 然后所有的家里面多了3万块钱对吧？对。
[16:13.270] 你得交税保险什么的这些
[16:17.380] 也就是说如果买的话不按发的话，无法待一年的对吧？对，没有一年的，这个是最少7数的是十八七。
[16:25.140] 谁知。
[16:27.460] 大这月供太少了，104年最后一下趴下了，行。
[16:31.680] 你就24个月首付二。
[16:33.920] 4月全年他没有，今年你怎么办？没有这个方案没有。
[16:38.490] 是奔驰金融就没有推出这一年的方案，就是计算器的奔驰金融统一的，你全国哪家4S店买都是自由，
[16:45.370] 我还不知道还得。
[16:47.650] 行。
[16:49.490] 两年前你过得快活，
[16:54.230] 两年的话是从这个是一样的一个共识，一样，第一笔首付是一样的，就是月供不一样，
[17:01.970] 月共有5397，
[17:04.040] 我24个月，
[17:08.500] 对。
[17:10.380] 包括本金加利息包含在里边。
[17:14.230] 如果贷款的话，我需要出示哪些。
[17:18.590] 您需要提供。
[17:21.590] 身份证、信息、居住信息，
[17:25.360] 然后提供这两个前期提供这两个就可以了，然后我们会有一个初审，您要如果说信用方面没有什么
[17:33.550] 不良记录的话，基本上就能过了，如果说要是过不了的话，您就再补充一个流水就可以了。
[17:40.050] 流水的话现在我在医院上班，等我6月3号把他给我转账提供，你就是近半年的流水，你银行卡流水都可以。
[17:50.150] 你以前是在医院上班是吗？上多长时间？
[17:53.590] 您这应该没问题。
[17:56.160] 对，因为您这在医院上班，他那种一查你征信的话就长期稳定，这不刚7月份吗？你不上月刚辞了。
[18:04.000] 应该那种算是固定工作，累的应该是好批。
[18:08.450] 这边有想过这车基本都在这个价格。
[18:17.070] 3326的话应该是比较在D3260的话钱办起来应该是在32万多。
[18:24.710] 前半截了。
[18:32.760] 送
[18:40.310] 贴膜记录仪、行车记录仪、脚垫、后备箱垫，
[18:45.970] 全都给你配齐了。
[18:48.590] 你这车也不需要别的了，你这配置已经很全了，
[18:52.580] 不行了，玻璃贴膜四周五一共是6块玻璃板，前后风挡还有多少呢？
[19:00.620] 我不想让我想要有条件的，你这个价格包含这个，您不要我们就少了，
[19:07.000] 你干嘛自己还出去再花一份钱？
[19:09.980] 什么来看一下。
[19:16.800] 反正我其实过来的话都是计算，汽车没有的话，也就是就这一个东西现在订一周能提。
[19:24.280] 因为我们有一批车要到，如果说如果这车卖完了，你可能在定的话，那时间就不确定
[19:30.650] 了，就这个意思。
[19:32.560] 定下来了一个二超他说
[19:35.930] 情况
[19:37.480] 处理不方便，
[19:42.500] 钱也是必须的，保险第一年是在咱们这上的，因为我们赠送您5000。
[19:50.510] 把
[19:52.920] 告诉你，还是说里面去了，行没问题，您考虑好了。
[20:05.390] 2500。
[20:06.560] 上班费对。
[20:14.560] 的
[20:17.470] 的。
[20:23.510] 咱们这个方案力是最低的，您也可以30%，
[20:29.070] 你可以自己选，
[20:31.350] 连到3/300，你是怎么算的？是25万，价格算出来中间当然是25万。
[20:38.530] 对，你只要贷款都是25万的比例来算吗？
[20:42.690] 有三年了，你要行业就是一个月一遍的，反正对吧？不是这样，它是有不同的专案的，如果你首付50%这个方案他是利息低的，
[20:57.410] 你要30%的话，你首付50%，
[21:00.160] 利息要高一些，
[21:02.270] 你守70%跟50%利息也是一样
[21:07.460] 的。
[21:09.560] 没问题。
[21:13.130] 电话
[21:15.590] 的。
[21:21.520] 的
[21:23.440] 点。
[21:26.770] 一个点是3000吗？
[21:29.000] 因为你之前不是说6万，现在你用户一点不就优化两个就完了吗？他后来直接给你多优惠了5000，保险武器也不是说点不点，马上就是5000吗？5000的和一个多点吗？
[21:42.590] 天一个多点应该是比如说小时多点，
[21:46.740] 不到两个点，就9:00~9:30，保险的第一点认为来。
[21:52.560] 你觉得跟你的家庭保险跟车不一样吗？咱们保险也是钱，您买车应该在上保险。
[21:59.850] 我今年看见上网现在我几乎都行，对不上你第二年你去哪上无所谓了，咱们这不强制。
[22:07.750] 但是这不是我的钱以前是第一年的第一年你选多少钱保险从里边给你减5000呢？
[22:16.600] 为什么这样写这个问题？
[22:18.770] 有点沟通，马上要上的东西。
[22:22.850] 里边那些
[22:24.610] 动力通过它才能发挥
[22:27.390] 完了。
[22:34.310] 行，那待会咱们再电话联系。
[22:36.580] 好。
[22:39.020] 没事。
[22:45.200] 如果弄得这些电话一
[22:47.140] 我都看到。
[22:48.460] 反正就是您29万，
[22:51.540] 297,000开走这车给我都给您办齐了。
[22:55.040] 睡城保险里边也都寒了。
[22:59.290] 谢谢没事您慢点。
